duration,gross,genres,cast_total_facebook_likes,content_rating,aspect_ratio,movie_facebook_likes
226,198655278,Drama|History|Romance|War,1862,G,1.37,16000
104,143653,Biography|Drama,1281,PG-13,2.35,0
152,14873,Adventure|War|Western,2888,Approved,2.35,251
92,,Drama,3229,R,1.85,237
107,8000000,Biography|Comedy|Musical|Romance|Western,731,Passed,1.37,456
97,304137,Comedy|Crime|Drama,1269,R,1.85,17000
115,,Drama,222,R,2.35,385
95,37606,Comedy|Crime|Drama,2658,R,2.35,0
102,2956000,Adventure|Comedy|Musical|Romance,282,Approved,1.37,359
99,19959,Drama,298,R,2.35,0
109,2706659,Comedy|Drama,5977,R,1.85,0
113,61094903,Action|Mystery|Thriller,17151,PG-13,2.35,29000
25,,Comedy|Drama|War,2195,TV-PG,4.0,0
113,,Drama,465,X,1.85,0
91,45857453,Comedy|Drama|Music,2323,R,1.85,0
88,83400000,Comedy,2726,PG,1.85,16000
88,,Action|Thriller,2886,R,1.33,358
97,27900000,Comedy|Drama,3455,R,1.85,8000
97,27900000,Crime|Drama|Thriller,3036,R,1.85,0
42,,Drama|Music,4337,TV-14,16.0,14000
85,14000000,Comedy|Fantasy|Horror|Thriller,3617,R,1.85,1000
121,,Comedy|Drama|Romance|Western,1970,R,1.85,357
134,,Biography|Crime|Drama|History,970,Approved,2.35,0
149,,Drama,646,Not Rated,1.78,930
121,,Action|Crime|Drama|Mystery|Thriller,2402,Not Rated,2.35,470
116,,Thriller,771,R,1.85,0
92,25138292,Horror|Mystery,1122,R,1.66,43000
93,10305534,Comedy,987,R,1.85,280
96,9449219,Comedy|Drama|Romance,995,R,1.85,453
105,6390032,Biography|Drama,4238,R,2.35,0
129,20167424,Drama|Mystery|Thriller,1044,R,2.35,33000
87,,Horror,1592,Unrated,1.85,3000
94,,Horror|Thriller,836,R,1.85,804
37,5923044,Comedy|Fantasy|Horror|Thriller,1347,X,1.85,0
81,3293258,Action|Adventure|Comedy|Musical,2238,PG-13,1.85,0
97,,Horror,3075,TV-14,1.78,93000
106,886410,Drama|History,222,R,1.85,140
103,252652,Comedy|Drama|Fantasy|Horror,44,PG-13,1.85,38000
101,220234,Comedy|Romance,3574,R,1.85,360
102,34350553,Action|Comedy|Sci-Fi,2486,R,2.35,15000
98,101228,Comedy|Drama,20009,R,1.85,414
91,96793,Action|Comedy|Romance,6380,PG-13,2.35,1000
105,123777,Action|Biography|Crime|Drama|Family|Fantasy,1043,PG-13,1.85,0
98,,Crime|Drama|Mystery|Thriller,668,,1.85,127
104,,Action|Comedy|Crime|Thriller,2406,R,1.37,18
45,,Drama|Thriller,1393,,,405
96,,Horror|Thriller,2307,,2.35,211
148,,Action|Animation|Crime|Sci-Fi|Thriller,5526,PG-13,,5000
100,29233,Documentary,24,,,121
86,,Action|Adventure|Fantasy|Thriller,854,R,1.78,721
92,,Action|Crime|Drama|Thriller,3854,Not Rated,1.85,482
88,,Drama|Thriller,2497,,2.35,570
90,,Crime|Mystery|Thriller,1183,R,2.35,606
94,,Comedy,2861,PG,1.85,0
80,77413017,Documentary,11218,G,1.85,0
107,5354039,Biography|Drama|Thriller,22834,R,1.85,21000
99,,Drama|Romance,320,Not Rated,2.35,224
92,2926565,Comedy|Drama,3608,R,1.66,0
107,13092000,Drama|Music,26495,R,2.4,129000
135,7563397,Crime|Drama,1211,R,1.85,28000
99,104257,Comedy|Music,1430,R,1.85,0
102,,Biography|Drama|Music,1011,PG-13,,0
93,17311,Crime|Drama|Mystery,11860,R,1.85,799
