director_name,num_critic_for_reviews,duration,gross,actor_1_name,actor_3_name,plot_keywords,movie_imdb_link,language,content_rating,title_year,actor_2_facebook_likes,imdb_score,movie_facebook_likes
Wes Craven,109,107,18090181,Miko Hughes,Tracy Middendorf,earthquake|elm street|freddy krueger|nightmare|sleep,http://www.imdb.com/title/tt0111686/?ref_=fn_tt_tt_1,English,R,1994,449,6.4,0
John Schultz,59,91,17843379,Stephen Collins,Keri Lynn Pratt,centennial|girl|next door neighbor|prom|school,http://www.imdb.com/title/tt0164114/?ref_=fn_tt_tt_1,English,PG-13,1999,442,5.7,0
Doug Atchison,95,112,18811135,Curtis Armstrong,Tzi Ma,national spelling bee|principal|school principal|spelling|spelling bee,http://www.imdb.com/title/tt0437800/?ref_=fn_tt_tt_1,English,PG,2006,801,7.5,0
Tamra Davis,40,82,17278980,Dave Chappelle,Clarence Williams III,bail|diabetic|friend|jail|pharmaceutical lab,http://www.imdb.com/title/tt0120693/?ref_=fn_tt_tt_1,English,R,1998,503,6.7,0
Jonas Elmer,121,97,16699684,J.K. Simmons,Harry Connick Jr.,love|manufacturing|minnesota|plant|small town,http://www.imdb.com/title/tt1095174/?ref_=fn_tt_tt_1,English,PG,2009,827,5.6,0
Stephen Gaghan,358,128,50815288,Matt Damon,Kayvan Novak,cia|hezbollah|lebanon|oil|prince,http://www.imdb.com/title/tt0365737/?ref_=fn_tt_tt_1,English,R,2005,903,7.0,0
Mary Harron,288,102,15047419,Christian Bale,Samantha Mathis,1980s|business card|male rear nudity|materialism|narcissism,http://www.imdb.com/title/tt0144084/?ref_=fn_tt_tt_1,English,R,2000,1000,7.6,18000
Miguel Arteta,107,93,14015786,Jake Gyllenhaal,Tim Blake Nelson,dysfunctional marriage|marijuana|small town|store|trying to conceive,http://www.imdb.com/title/tt0279113/?ref_=fn_tt_tt_1,English,R,2002,11000,6.5,938
Erik Canuel,28,116,,Colm Feore,Sarain Boylan,border|hockey|killer|police|tattoo,http://www.imdb.com/title/tt0479647/?ref_=fn_tt_tt_1,English,R,2006,290,7.0,758
Troy Duffy,91,138,10269307,Norman Reedus,Clifton Collins Jr.,final showdown|ireland|justice|priest|sheep,http://www.imdb.com/title/tt1300851/?ref_=fn_tt_tt_1,English,R,2009,3000,6.3,0
James Ivory,55,117,,Alexandra Maria Lara,Diego Velazquez,child|student|university|widow|writer,http://www.imdb.com/title/tt0896923/?ref_=fn_tt_tt_1,English,PG-13,2009,277,6.4,638
Nicole Holofcener,231,93,17536788,Christopher Nicholas Smith,Michaela Watkins,dating|divorcee|ex husband|ex wife|party,http://www.imdb.com/title/tt2390361/?ref_=fn_tt_tt_1,English,PG-13,2013,265,7.1,12000
Will Gluck,262,92,58401464,Emma Stone,Fred Armisen,gay|gay interest|high school|school|student,http://www.imdb.com/title/tt1282140/?ref_=fn_tt_tt_1,English,PG-13,2010,1000,7.1,19000
Matty Rich,7,110,8880705,Jada Pinkett Smith,Larenz Tate,fire|marriage|martha's vineyard|teenager|vacation,http://www.imdb.com/title/tt0110137/?ref_=fn_tt_tt_1,English,R,1994,780,6.5,160
E. Elias Merhige,196,92,8279017,Eddie Izzard,Catherine McCormack,actor|breasts|film actress|nosferatu|vampire,http://www.imdb.com/title/tt0189998/?ref_=fn_tt_tt_1,English,R,2000,595,6.9,0
Joe Nussbaum,83,104,10106233,Cameron Monaghan,Aimee Teegarden,decoration|father daughter relationship|high school|prom|teenager,http://www.imdb.com/title/tt1604171/?ref_=fn_tt_tt_1,English,PG,2011,962,5.4,0
Matt Reeves,18,98,,Mark Margolis,Carol Kane,bachelor party|directorial debut|funeral|pallbearer|wedding,http://www.imdb.com/title/tt0117283/?ref_=fn_tt_tt_1,English,PG-13,1996,975,4.9,125
Steve Rash,11,89,4692814,Barry Corbin,Jake Busey,hold up|hostage|stockholm syndrome|swat team|vegetarian,http://www.imdb.com/title/tt0165831/?ref_=fn_tt_tt_1,English,PG-13,1999,826,5.1,77
Fina Torres,72,92,5018450,Harold Perrineau,Mark Feuerstein,cross dresser|food|friend|motion sickness|restaurant,http://www.imdb.com/title/tt0206420/?ref_=fn_tt_tt_1,English,R,2000,905,5.3,859
James Ivory,51,140,25967000,Anthony Hopkins,Samuel West,england|friendship|prejudice|upper class|working class,http://www.imdb.com/title/tt0104454/?ref_=fn_tt_tt_1,English,PG,1992,898,7.5,788
,18,60,,Dominic Cooper,Ruth Negga,heaven and hell|preacher|supernatural|vampire|vertigo comics,http://www.imdb.com/title/tt5016504/?ref_=fn_tt_tt_1,English,TV-MA,,788,8.3,18000
Duke Johnson,328,90,3442820,Jennifer Jason Leigh,David Thewlis,full frontal male nudity|hotel room|multiple characters voiced by same person|one night stand|sex in hotel room,http://www.imdb.com/title/tt2401878/?ref_=fn_tt_tt_1,English,R,2015,442,7.3,0
Mike Leigh,248,129,3205244,Jim Broadbent,Phil Davis,autumn|four seasons|friend|looking at one's self in a mirror|unhappiness,http://www.imdb.com/title/tt1431181/?ref_=fn_tt_tt_1,English,PG-13,2010,579,7.3,0
François Ozon,128,111,3076425,Catherine Deneuve,Emmanuelle Béart,cook|industrialist|secret|snowstorm|suspect,http://www.imdb.com/title/tt0283832/?ref_=fn_tt_tt_1,French,R,2002,678,7.1,0
Mark L. Lester,45,79,2275557,Cary-Hiroyuki Tagawa,Vernee Watson,bare chested male|detective|electric torture|japanese american|yakuza,http://www.imdb.com/title/tt0102915/?ref_=fn_tt_tt_1,English,R,1991,1000,6.0,0
David Dobkin,49,104,1789892,Janeane Garofalo,Kevin Rahm,breasts|serial killer|small town|vomiting|widow,http://www.imdb.com/title/tt0118863/?ref_=fn_tt_tt_1,English,R,1998,261,6.6,515
Anna Boden,163,101,6350058,Zoë Kravitz,Jim Gaffigan,based on novel|depression|psychiatric ward|suicide attempt|therapy,http://www.imdb.com/title/tt0804497/?ref_=fn_tt_tt_1,English,PG-13,2010,769,7.2,20000
Nigel Cole,163,113,1094798,Bob Hoskins,Sally Hawkins,equal pay|machinist|minister|protest|sex,http://www.imdb.com/title/tt1371155/?ref_=fn_tt_tt_1,English,R,2010,629,7.2,0
Anand Tucker,90,92,1071240,Colin Firth,Gina McKee,cancer|children|death|terminal cancer|time,http://www.imdb.com/title/tt0829098/?ref_=fn_tt_tt_1,English,PG-13,2007,1000,6.9,429
Steve James,23,106,532190,Kurtwood Smith,Amy Locane,long distance runner|olympics|oregon|runner|watching television,http://www.imdb.com/title/tt0119937/?ref_=fn_tt_tt_1,English,PG-13,1997,273,6.8,0
Michael Winner,17,98,,Faye Dunaway,John Gielgud,female nudity|highwayman|nell gwynne|nudity|whipping,http://www.imdb.com/title/tt0086582/?ref_=fn_tt_tt_1,English,R,1983,649,4.0,79
Tomm Moore,118,75,686383,Sean Lennon,Evan McGuire,barbarian|fairy|forest|monastery|unfinished book,http://www.imdb.com/title/tt0485601/?ref_=fn_tt_tt_1,English,Not Rated,2009,5,7.7,11000
John Carney,283,104,16168741,James Corden,Mary Catherine Garrison,manhattan new york city|new york city|record label|singer|song,http://www.imdb.com/title/tt1980929/?ref_=fn_tt_tt_1,English,R,2013,12,7.4,43000
David Jacobson,74,108,568695,Hunter Parrish,Rory Culkin,beach|cowboy|cowboy hat|neo western|valley,http://www.imdb.com/title/tt0398027/?ref_=fn_tt_tt_1,English,R,2005,844,6.5,412
Michael Corrente,41,99,398420,Jerry Ferrara,Alexa Havins,1980s|friend|friendship|loyalty|mafia,http://www.imdb.com/title/tt0283503/?ref_=fn_tt_tt_1,English,R,2007,257,6.4,226
Edward Hall,17,180,,Rufus Sewell,Charlotte Rampling,espionage|motel|mother son relationship|murder disguised as suicide|shot in the head,http://www.imdb.com/title/tt2241676/?ref_=fn_tt_tt_1,English,,2012,2000,7.2,434
Keith Gordon,66,109,336456,Robert Downey Jr.,Alfre Woodard,detective|detective novel|fantasy sequence|hallucination|writer,http://www.imdb.com/title/tt0314676/?ref_=fn_tt_tt_1,English,R,2003,18000,5.6,494
David Leland,36,111,146083,Anna Friel,Steven Mackintosh,dorset|farm|friend|love|women's land army,http://www.imdb.com/title/tt0119494/?ref_=fn_tt_tt_1,English,R,1998,306,6.3,75
Andrew Currie,140,93,298110,Alexia Fast,Kesun Loder,decapitation|neighbor|neighborhood|next door neighbor|zombie,http://www.imdb.com/title/tt0457572/?ref_=fn_tt_tt_1,English,R,2006,177,6.8,0
Andrew Wilson,32,99,127144,Will Ferrell,Jacob Vargas,directorial debut|fantasy sequence|nurse|old age home|prison,http://www.imdb.com/title/tt0373445/?ref_=fn_tt_tt_1,English,PG-13,2005,489,5.5,143
Jonathan Lynn,68,98,117190,Rupert Grint,Geoff Bell,apprentice|assassin|hitman|kleptomaniac|thief,http://www.imdb.com/title/tt1235189/?ref_=fn_tt_tt_1,English,PG-13,2010,692,6.9,0
Marc Schölermann,79,95,108662,John de Lancie,Johnny Whitworth,corpse|dark humor|medical school|murder|pathology,http://www.imdb.com/title/tt0964539/?ref_=fn_tt_tt_1,English,R,2008,513,6.0,3000
,9,142,,Tom Hardy,Kevin McNally,abuse|love|moor the landscape|revenge|tv mini series,http://www.imdb.com/title/tt1238834/?ref_=fn_tt_tt_1,English,,,698,7.7,0
Robert Moresco,26,107,53481,Brian Dennehy,Dash Mihok,desert storm|fbi|fbi agent|fragmentation grenade|woman kills attacker,http://www.imdb.com/title/tt0360323/?ref_=fn_tt_tt_1,English,R,2006,551,6.4,294
Thomas Vinterberg,100,102,23106,Michael Angarano,William Hootkins,gang|gun|loner|love|outcast,http://www.imdb.com/title/tt0342272/?ref_=fn_tt_tt_1,English,Unrated,2004,526,6.6,532
Claudia Llosa,56,97,52961,Ian Tracey,William Shimell,,http://www.imdb.com/title/tt2494384/?ref_=fn_tt_tt_1,English,R,2014,63,5.3,675
Katsuhiro Ôtomo,150,124,439162,Mitsuo Iwata,Tesshô Genda,based on manga|biker gang|gifted child|post thermonuclear war|science runs amok,http://www.imdb.com/title/tt0094625/?ref_=fn_tt_tt_1,Japanese,R,1988,5,8.1,0
John Herzfeld,30,97,,Paul Walker,Jason Flemyng,drug lord|on the run|prison|vegan|vegetarian,http://www.imdb.com/title/tt0473188/?ref_=fn_tt_tt_1,English,R,2007,10000,5.9,0
Charles Binamé,20,124,,Stephen McHattie,Julie LeBreton,fan|french canadian|hockey|hockey player|machinist,http://www.imdb.com/title/tt0460505/?ref_=fn_tt_tt_1,French,PG,2005,265,7.7,520
Keith Parmer,21,96,,Rachel Ann Mullins,Grant Bowler,police officer killed|police officer shot in the chest|police officer shot in the forehead|police officer shot in the head|police shootout,http://www.imdb.com/title/tt2112277/?ref_=fn_tt_tt_1,English,R,2014,920,4.6,438
Dennie Gordon,11,114,50000,Leehom Wang,Jack Kao,,http://www.imdb.com/title/tt2102502/?ref_=fn_tt_tt_1,Chinese,,2013,20,5.1,81
Ol Parker,85,90,671240,Celia Imrie,Darren Boyd,florist|friend|friendship|lesbian|love,http://www.imdb.com/title/tt0421994/?ref_=fn_tt_tt_1,English,R,2005,119,6.9,0
Bruce Beresford,5,104,,Mckenna Grace,Natalie Coughlin,,http://www.imdb.com/title/tt4196848/?ref_=fn_tt_tt_1,English,PG-13,2016,206,8.0,205
François Ozon,160,102,10105505,Charlotte Rampling,Jean-Claude Lecas,luberon|mystery writer|night|publisher|swimming,http://www.imdb.com/title/tt0324133/?ref_=fn_tt_tt_1,English,R,2003,521,6.8,0
James Nunn,25,93,,Spencer Wilding,Kacey Clarke,bare breasts|firm|hooliganism|training|west ham supporter,http://www.imdb.com/title/tt2628316/?ref_=fn_tt_tt_1,English,R,2013,524,5.4,0
David Webb Peoples,21,90,882290,Delroy Lindo,Anna Katarina,battle|blood splatter|combat|game|showdown,http://www.imdb.com/title/tt0094764/?ref_=fn_tt_tt_1,English,R,1989,643,6.5,999
Michael Winnick,15,106,,Scott Takeda,Craig Sheffer,gun|mayor|nightclub|police|vigilantism,http://www.imdb.com/title/tt4060866/?ref_=fn_tt_tt_1,English,R,2016,505,4.2,689
Bruce Beresford,61,99,106593296,Morgan Freeman,Patti LuPone,1950s|african american|jewish|old age|widow,http://www.imdb.com/title/tt0097239/?ref_=fn_tt_tt_1,English,PG,1989,509,7.4,3000
George Tillman Jr.,34,115,43490057,Vanessa Williams,Vivica A. Fox,1990s|family relationships|food in title|sister|unity,http://www.imdb.com/title/tt0120169/?ref_=fn_tt_tt_1,English,R,1997,1000,6.9,508
Stanley Tong,62,89,32333860,Françoise Yip,Garvin Cross,fight|gang|greed|street gang|wedding,http://www.imdb.com/title/tt0113326/?ref_=fn_tt_tt_1,Cantonese,R,1995,147,6.7,0
David Oelhoffen,102,101,,Viggo Mortensen,Ángela Molina,algerian war|based on short story|hostage|teacher|title at the end,http://www.imdb.com/title/tt2936180/?ref_=fn_tt_tt_1,French,,2014,154,7.3,2000
Jason Reitman,239,92,24792061,J.K. Simmons,Todd Louiso,cigarette smoking|lobbyist|political satire|reporter|tobacco industry,http://www.imdb.com/title/tt0427944/?ref_=fn_tt_tt_1,English,R,2005,829,7.6,0
Eli Roth,252,94,17544812,Jay Hernandez,Stanislav Ianevski,american|hostel|slovakia|torture|train,http://www.imdb.com/title/tt0498353/?ref_=fn_tt_tt_1,English,R,2007,683,5.4,0
Lone Scherfig,278,100,12574715,Dominic Cooper,Ellie Kendrick,1960s|age difference|france|loss of virginity|oxford,http://www.imdb.com/title/tt1174732/?ref_=fn_tt_tt_1,English,PG-13,2009,766,7.3,12000
Anand Tucker,124,106,10281585,Frances Conroy,Clyde Kusatsu,artist|depression|gloves|photography|slacker,http://www.imdb.com/title/tt0338427/?ref_=fn_tt_tt_1,English,R,2005,545,6.4,1000
Tony Richardson,9,109,5100000,Joely Richardson,Nastassja Kinski,football|hotel|teenage girl|terrorist|wien,http://www.imdb.com/title/tt0087428/?ref_=fn_tt_tt_1,English,R,1984,552,6.0,345
Joe Carnahan,127,105,10460089,Jason Patric,Alan Van Sprang,blood splatter|cover up|murder|police shootout|undercover,http://www.imdb.com/title/tt0272207/?ref_=fn_tt_tt_1,English,R,2002,466,7.2,1000
Paul Gross,9,102,4239767,Molly Parker,Kari Matchett,championship|coach|curling|marriage|rural setting,http://www.imdb.com/title/tt0263734/?ref_=fn_tt_tt_1,English,R,2002,329,6.0,0
Charles Robert Carner,35,97,4131640,Ivana Milicevic,Richard Bull,fbi|polo|possum|sheriff|shotgun,http://www.imdb.com/title/tt1001562/?ref_=fn_tt_tt_1,English,PG-13,2008,749,3.1,140
Russell Holt,6,118,3347439,Eric Johnson,Tiffany Dupont,1830s|baptism|intolerance|mormon church|sibling rivalry,http://www.imdb.com/title/tt0410454/?ref_=fn_tt_tt_1,English,PG,2004,266,6.9,31
Mike Judge,192,92,10814185,J.K. Simmons,Clifton Collins Jr.,freak accident|gigolo|hit in the crotch|nosy neighbor|on the job injury,http://www.imdb.com/title/tt1225822/?ref_=fn_tt_tt_1,English,R,2009,15000,6.2,0
Larry Charles,51,112,533344,Jeff Bridges,Bruce Dern,concert|jail|journalist|revolution|singer,http://www.imdb.com/title/tt0319829/?ref_=fn_tt_tt_1,English,PG-13,2003,844,5.5,655
Claude Miller,38,103,206400,Sandrine Kiberlain,Roschdy Zem,child|criminal|death|depression|novelist,http://www.imdb.com/title/tt0269329/?ref_=fn_tt_tt_1,French,,2001,59,6.9,26
Michael Winterbottom,133,93,197148,Samantha Morton,Natalie Mendoza,genetics|i.d.|love|sphinx|totalitarian,http://www.imdb.com/title/tt0345061/?ref_=fn_tt_tt_1,English,R,2003,163,6.3,0
Sacha Bennett,4,101,,Bob Hoskins,Vincent Regan,,http://www.imdb.com/title/tt1772422/?ref_=fn_tt_tt_1,English,,2012,659,4.8,223
Paul Haggis,287,115,54557348,Don Cheadle,Jennifer Esposito,race relations|racism|racist|social problem|stereotype,http://www.imdb.com/title/tt0375679/?ref_=fn_tt_tt_1,English,R,2004,912,7.9,18000
Rodrigo García,222,113,3014541,Mia Wasikowska,Mark Williams,19th century|hotel|painter|waiter|woman pretending to be a man,http://www.imdb.com/title/tt1602098/?ref_=fn_tt_tt_1,English,R,2011,415,6.7,0
Jeta Amata,6,95,,Akon,Razaaq Adoti,color in title|number in title|two word title,http://www.imdb.com/title/tt2147225/?ref_=fn_tt_tt_1,English,,2012,65,5.6,389
Siddharth Anand,16,153,872643,Saif Ali Khan,Vic Aviles,comeback|family relationships|marriage|new york|racer,http://www.imdb.com/title/tt0833553/?ref_=fn_tt_tt_1,Hindi,,2007,249,5.4,108
Vincent Paronnaud,242,89,4443403,Catherine Deneuve,Danielle Darrieux,dream|girl|iran|islamic revolution|revolution,http://www.imdb.com/title/tt0808417/?ref_=fn_tt_tt_1,French,PG-13,2007,545,8.0,14000
Joe Dante,147,92,,Bruce Dern,Haley Bennett,basement|family relationships|hole|no opening credits|slow motion scene,http://www.imdb.com/title/tt1085779/?ref_=fn_tt_tt_1,English,PG-13,2009,708,5.7,0
Dennis Gansel,93,107,,Max Riemelt,Jennifer Ulrich,autocracy|based on real events|dictatorship|germany|teacher,http://www.imdb.com/title/tt1063669/?ref_=fn_tt_tt_1,German,,2008,150,7.6,25000
Nicolas Winding Refn,253,118,1330827,Keanu Reeves,Charles Baker,beauty|cannibalism|fashion|lesbian|model,http://www.imdb.com/title/tt1974419/?ref_=fn_tt_tt_1,English,R,2016,860,7.0,0
Daniel Barber,224,97,1818681,Joseph Gilgun,Sean Harris,bayonet|death|police|self defense|widower,http://www.imdb.com/title/tt1289406/?ref_=fn_tt_tt_1,English,R,2009,698,7.2,0
Sam Raimi,392,156,336530303,J.K. Simmons,Kirsten Dunst,sandman|spider man|symbiote|venom|villain,http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1,English,PG-13,2007,11000,6.2,0
Robert Marcarelli,39,100,12610552,George Coe,Ayla Kell,code|evil|false accusation|megalomaniac|torah,http://www.imdb.com/title/tt0203408/?ref_=fn_tt_tt_1,English,PG-13,1999,488,3.5,129
Jason Reitman,387,96,143492840,J.K. Simmons,Rainn Wilson,adoption|baby|friend|pregnancy|school,http://www.imdb.com/title/tt0467406/?ref_=fn_tt_tt_1,English,PG-13,2007,3000,7.5,10000
Ernie Barbarash,36,104,,Darren Shahlavi,Brahim Achabbakhe,fighting|hand to hand combat|jujitsu|kickboxing|organ,http://www.imdb.com/title/tt3488328/?ref_=fn_tt_tt_1,English,R,2015,284,5.1,0
Guy Hamilton,120,120,43800000,Desmond Llewelyn,Jill St. John,cat|diamond|ford mustang|james bond 007|yanked off bikini top,http://www.imdb.com/title/tt0066995/?ref_=fn_tt_tt_1,English,GP,1971,177,6.7,0
Francis Ford Coppola,208,175,134821952,Al Pacino,Robert Duvall,crime family|mafia|organized crime|patriarch|rise to power,http://www.imdb.com/title/tt0068646/?ref_=fn_tt_tt_1,English,R,1972,10000,9.2,43000
Adrian Lyne,51,95,94900000,Michael Nouri,Lee Ving,ballet school|dance|dancer|overalls|steel worker,http://www.imdb.com/title/tt0085549/?ref_=fn_tt_tt_1,English,R,1983,174,6.1,0
Marc Webb,331,95,32391374,Joseph Gordon-Levitt,Zooey Deschanel,friend|greeting card|office|summer|true love,http://www.imdb.com/title/tt1022603/?ref_=fn_tt_tt_1,English,PG-13,2009,17000,7.7,40000
Jane Campion,83,121,40158000,Holly Hunter,Geneviève Lemon,adultery|daughter|male rear nudity|new zealand|piano,http://www.imdb.com/title/tt0107822/?ref_=fn_tt_tt_1,English,R,1993,18,7.6,0
Steven Soderbergh,324,110,113709992,Channing Tatum,Matthew McConaughey,bank|male nudity|male objectification|male stripper|stripper,http://www.imdb.com/title/tt1915581/?ref_=fn_tt_tt_1,English,R,2012,15000,6.1,54000
Jonathan Liebesman,140,96,32131483,Sullivan Stapleton,Angus Sampson,boy|darkness|light|tooth|tooth fairy,http://www.imdb.com/title/tt0282209/?ref_=fn_tt_tt_1,English,PG-13,2003,970,4.9,2000
Guy Hamilton,136,121,35400000,Yaphet Kotto,Clifton James,british|cards|heroin|murder|tarot card,http://www.imdb.com/title/tt0070328/?ref_=fn_tt_tt_1,English,PG,1973,547,6.8,0
Jay Russell,79,95,34099640,Clint Howard,Cody Linley,1940s|dog|mississippi|puppy|veteran,http://www.imdb.com/title/tt0156812/?ref_=fn_tt_tt_1,English,PG,2000,934,7.0,0
Adam Brooks,160,112,31973840,Ryan Reynolds,Paulina Gerzon,college|daughter|girl|sex|wisconsin,http://www.imdb.com/title/tt0832266/?ref_=fn_tt_tt_1,English,PG-13,2008,109,7.2,0
Salim Akil,52,112,37295394,Gary Dourdan,Laz Alonso,martha's vineyard|mother|older woman younger man relationship|wedding|weekend,http://www.imdb.com/title/tt1640484/?ref_=fn_tt_tt_1,English,PG-13,2011,912,5.7,0
Baz Luhrmann,490,143,144812796,Leonardo DiCaprio,Steve Bisley,ingratitude|mansion|party|title appears in writing|tragedy,http://www.imdb.com/title/tt1343092/?ref_=fn_tt_tt_1,English,PG-13,2013,509,7.3,115000
George Clooney,351,93,31501218,Robert Downey Jr.,Alex Borstein,cbs|expose|fear|paranoia|reporter,http://www.imdb.com/title/tt0433383/?ref_=fn_tt_tt_1,English,PG,2005,650,7.5,0
Bennett Miller,271,110,28747570,Philip Seymour Hoffman,Kwesi Ameyaw,book|holcomb kansas|kansas|killer|truman capote,http://www.imdb.com/title/tt0379725/?ref_=fn_tt_tt_1,English,R,2005,68,7.4,0
Robert Rodriguez,93,104,25625110,Quentin Tarantino,Salma Hayek,crushed by a car|female frontal nudity|female nudity|female rear nudity|one against many,http://www.imdb.com/title/tt0112851/?ref_=fn_tt_tt_1,English,R,1995,12000,7.2,0
Michael Winterbottom,71,115,403932,Milla Jovovich,Shirley Henderson,gold|gold mine|miner|railroad|surveyor,http://www.imdb.com/title/tt0218378/?ref_=fn_tt_tt_1,English,R,2000,900,6.5,141
,54,53,,Kirsten Dunst,Oliver Platt,anthology|death|insurance salesman|minnesota|police officer,http://www.imdb.com/title/tt2802850/?ref_=fn_tt_tt_1,English,TV-MA,,1000,9.0,61000
Michael Anderson,112,119,25000000,Farrah Fawcett,Peter Ustinov,cat|computer|cult film|runner|sanctuary,http://www.imdb.com/title/tt0074812/?ref_=fn_tt_tt_1,English,PG,1976,659,6.8,0
Guy Hamilton,118,125,21000000,Christopher Lee,Desmond Llewelyn,assassin|bikini|girl in a bikini|mission|secret agent,http://www.imdb.com/title/tt0071807/?ref_=fn_tt_tt_1,English,PG,1974,387,6.8,2000
Craig R. Baxley,35,96,20257000,Bill Duke,Carl Weathers,murder|power|psychotronic|tough cop|union,http://www.imdb.com/title/tt0094612/?ref_=fn_tt_tt_1,English,R,1988,841,5.2,978
Neil Marshall,342,100,26005908,MyAnna Buring,Craig Conway,cave|expedition|friendship between women|group of friends|survival horror,http://www.imdb.com/title/tt0435625/?ref_=fn_tt_tt_1,English,R,2005,239,7.2,10000
Don Kempf,14,46,18642318,Bill Murray,Bob Costas,basketball|basketball player|character name in title|chicago bulls|imax,http://www.imdb.com/title/tt0245280/?ref_=fn_tt_tt_1,English,,2000,366,7.5,407
Matt Bettinelli-Olpin,137,89,15818967,Zach Gilford,Vanessa Ray,eiffel tower at night|honeymoon|implied insemination|party|taxi driver,http://www.imdb.com/title/tt2752758/?ref_=fn_tt_tt_1,English,R,2014,479,4.0,0
David O. Russell,50,92,14891000,Lily Tomlin,David Patrick Kelly,adoption|armpit fetish|mistaken identity|new mexico|overalls,http://www.imdb.com/title/tt0116324/?ref_=fn_tt_tt_1,English,R,1996,524,6.8,824
Rob Zombie,261,109,16901126,Sid Haig,Lew Temple,escape|police|road trip|sheriff|texas,http://www.imdb.com/title/tt0395584/?ref_=fn_tt_tt_1,English,R,2005,649,6.9,0
,96,44,,Sarah Michelle Gellar,Emma Caulfield,action heroine|coming of age|destiny|double life|vampire,http://www.imdb.com/title/tt0118276/?ref_=fn_tt_tt_1,English,TV-14,,3000,8.2,6000
Rick Famuyiwa,180,103,17474107,Kimberly Elise,Kiersey Clemons,african american|geek|hip hop|party|tomboy,http://www.imdb.com/title/tt3850214/?ref_=fn_tt_tt_1,English,R,2015,256,7.3,23000
Michael Rymer,28,95,14003141,LL Cool J,Nia Long,cunnilingus|oral sex|police|sex scene|undercover,http://www.imdb.com/title/tt0160401/?ref_=fn_tt_tt_1,English,R,1999,865,6.1,375
Sam Mendes,750,143,304360277,Albert Finney,Rory Kinnear,brawl|childhood home|computer cracker|intelligence agency|terrorist cell,http://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1,English,PG-13,2012,563,7.8,80000
Rob Zombie,202,105,12583510,Sid Haig,Erin Daniels,actor playing multiple roles|axe|dark comedy|masked man|sadism,http://www.imdb.com/title/tt0251736/?ref_=fn_tt_tt_1,English,R,2003,340,6.0,0
Sharron Miller,8,79,,Bernard Fox,Charles Aidman,affair|child murderer|mortician|strangulation|supernatural power,http://www.imdb.com/title/tt0072626/?ref_=fn_tt_tt_1,English,PG,1978,29,4.1,44
Ethan Coen,341,106,9190525,Michael Stuhlbarg,Peter Breitmayer,bar mitzvah|jewish|marital breakup|nose job|rabbi,http://www.imdb.com/title/tt1019452/?ref_=fn_tt_tt_1,English,R,2009,105,7.0,10000
Aaron Schneider,160,100,9176553,Bill Murray,Bill Cobbs,funeral|funeral home|hermit|party|secret,http://www.imdb.com/title/tt1194263/?ref_=fn_tt_tt_1,English,PG-13,2009,3000,7.1,0
Steve Miner,31,103,9094451,Julian Sands,Lori Singer,17th century|book|death|warlock|witch hunter,http://www.imdb.com/title/tt0098622/?ref_=fn_tt_tt_1,English,R,1989,554,6.2,0
Gina Prince-Bythewood,71,116,14612840,Minnie Driver,Darryl Stephens,domestic abuse|public humiliation|sex symbol|singer|suicide attempt,http://www.imdb.com/title/tt3125324/?ref_=fn_tt_tt_1,English,PG-13,2014,664,6.9,0
Tom Ford,281,99,9166863,Colin Firth,Keri Lynn Pratt,car accident|male full back nudity|practicing a suicide|public nudity|suicide contemplation,http://www.imdb.com/title/tt1315981/?ref_=fn_tt_tt_1,English,R,2009,343,7.6,16000
Martin Scorsese,114,164,8373585,Irvin Kershner,Roberts Blossom,carpenter|exorcism|faith|reference to jesus christ|temptation,http://www.imdb.com/title/tt0095497/?ref_=fn_tt_tt_1,English,R,1988,618,7.6,0
Michael Corrente,72,96,7292175,Jonathan Brandis,Shawn Hatosy,class|cornwall connecticut|dog|friend|pawtucket rhode island,http://www.imdb.com/title/tt0125971/?ref_=fn_tt_tt_1,English,R,1999,412,6.4,0
Gurinder Chadha,119,122,6601079,Indira Varma,Anupam Kher,bollywood|india|jane austen|london england|travel,http://www.imdb.com/title/tt0361411/?ref_=fn_tt_tt_1,English,PG-13,2004,579,6.2,0
Phillip Noyce,74,94,6165429,Roy Billing,Deborah Mailman,aborigine|based on true story|colonialism|fence|half caste,http://www.imdb.com/title/tt0252444/?ref_=fn_tt_tt_1,Aboriginal,PG,2002,93,7.5,0
Don Michael Paul,25,93,5694308,Jeffrey Jones,Lil' Wayne,2000s|golf caddy|golf course|golfer|question mark in title,http://www.imdb.com/title/tt0785077/?ref_=fn_tt_tt_1,English,PG-13,2007,585,2.0,446
Tony Maylam,39,96,5430822,Michael J. Pollard,Alastair Duncan,appearing from water|breasts|creature|partner|water,http://www.imdb.com/title/tt0105459/?ref_=fn_tt_tt_1,English,R,1992,192,6.2,0
,27,60,,Melinda Clarke,Aaron Stanford,assassin|death|female protagonist|rogue|training,http://www.imdb.com/title/tt1592154/?ref_=fn_tt_tt_1,English,,,485,7.7,0
Mitch Davis,27,113,4720371,Anne Hathaway,Miriama Smith,1950s|idaho|love|missionary|mormon,http://www.imdb.com/title/tt0250371/?ref_=fn_tt_tt_1,English,PG,2001,43,6.5,650
