director_name,actor_2_name,genres,movie_title,actor_3_name,plot_keywords,country,content_rating,title_year,movie_facebook_likes
Anthony Hickox,Zach Galligan,Fantasy|Horror,Warlock: The Armageddon ,Paula Marshall,druid|eclipse|rune|scalping|warlock,USA,R,1993,217
Tom Schulman,George Hamilton,Comedy|Crime,8 Heads in a Duffel Bag ,Dyan Cannon,camera shot of feet|female stockinged feet|female stockinged soles|nude pantyhose|pantyhose,USA,R,1997,417
Terrence Malick,Stuart Margolin,Drama|Romance,Days of Heaven ,Richard Libertini,farm|farm worker|grasshopper|harvest|wealth,USA,PG,1978,0
Jill Sprecher,Rob McElhenney,Drama,Thirteen Conversations About One Thing ,Amy Irving,attorney|happiness|house cleaner|physics|professor,USA,R,2001,430
Darren Stein,Judy Greer,Comedy|Crime|Thriller,Jawbreaker ,Jeff Conaway,best friend|bitch|friend|popular girl|prom,USA,R,1999,0
Julian Schnabel,Michael Wincott,Biography|Drama,Basquiat ,Courtney Love,andy warhol|art|artist|friendship|street artist,USA,R,1996,0
Noah Baumbach,Grace Gummer,Comedy|Drama|Romance,Frances Ha ,Vanessa Ray,best friend|black and white|father daughter relationship|female protagonist|mother daughter relationship,USA,R,2012,11000
Gavin Hood,Nambitha Mpumlwana,Crime|Drama,Tsotsi ,Rapulana Seiphemo,baby|bathing a baby|criminal|slum|vomiting,UK,R,2005,0
Todd Solondz,Jon Lovitz,Comedy|Drama,Happiness ,Dylan Baker,ensemble cast|episodic structure|satire|social satire|suburb,USA,,1998,0
George Gallo,Joe Howard,Comedy|Documentary,DysFunktional Family ,Robert Noble,african american|family relationships|stand up comedian|stand up comedy,USA,R,2003,26
Kevin Smith,Haley Joel Osment,Comedy|Drama|Horror,Tusk ,Michael Parks,canada|human becoming an animal|mad scientist|part of trilogy|walrus,USA,R,2014,20000
Chan-wook Park,Ji-tae Yu,Drama|Mystery|Thriller,Oldboy ,Hye-jeong Kang,brother sister relationship|hypnosis|imprisonment|love|revenge,South Korea,R,2003,43000
David Nixon,Michael Bolten,Drama|Family,Letters to God ,Christopher Schmidt,cancer|faith|hope|letter|prayer,USA,PG,2010,0
Jason Eisener,Robb Wells,Action|Comedy|Thriller,Hobo with a Shotgun ,Molly Dunsworth,hobo|pedophile|rampage|shotgun|vigilante,Canada,Not Rated,2011,37000
Enrique Begne,Héctor Jiménez,Action|Comedy,Compadres ,Erick Elias,,Mexico,R,2016,174
Matthew Bright,Dan Hedaya,Comedy|Crime|Drama|Thriller,Freeway ,Robert Peters,freeway|nightmare|police|school|trailer park,USA,R,1996,0
Michael Landon Jr.,Kevin Gage,Drama|Family|Western,Love's Abiding Joy ,Brianna Brown,19th century|faith|mayor|ranch|sheriff,USA,PG,2006,76
Andrea Arnold,Harry Treadaway,Drama,Fish Tank ,Jason Maza,15 year old|dancing|essex|little sister|suburb,UK,Not Rated,2009,0
Whit Stillman,Megalyn Echikunwoke,Comedy|Drama|Romance,Damsels in Distress ,Zach Woods,college|college campus|dance craze|depression|fraternity,USA,PG-13,2011,0
,Colm Feore,Horror|Sci-Fi|Thriller,Creature             ,Megalyn Echikunwoke,author cameo|family relationships|island|monster|two part tv movie,USA,,,518
Leslye Headland,Adam Scott,Comedy|Romance,Bachelorette ,Andrew Rannells,bachelorette party|drug use|high school|overdose|wedding dress,USA,R,2012,0
,Megan Hilty,Comedy|Drama|Horror|Sci-Fi|Thriller,BrainDead             ,Zach Grenier,brains|exploding head|politician|swarm behavior|washington d.c.,USA,,,3000
Bobby Roth,Aaron Ashmore,Drama|Family|Music,Brave New Girl ,Lindsey Haun,based on a book|based on a novel|made for tv movie|music school|support,USA,PG-13,2004,47
Tim Heidecker,William Atherton,Comedy,Tim and Eric's Billion Dollar Movie ,Bob Ross,film in film|man with glasses|reference to steven spielberg|self referential|shopping mall,USA,R,2012,0
Rupert Wyatt,Cjon Saulsberry,Crime|Drama|Thriller,The Gambler ,Griffin Cleveland,dog|gambler|gambling|gangster|professor,USA,R,2014,0
,Amanda Mealing,Drama,The Grand             ,Tim Healy,concierge|front desk|hotel|maid|prostitute,UK,,,450
Marco Kreuzpaintner,Kostja Ullmann,Comedy|Drama|Romance|Sport,Summer Storm ,Robert Stadlober,friend|friendship|rowing|storm|summer camp,Germany,R,2004,442
Kate Connor,Eric Stoltz,Drama|History|War,Fort McCoy ,Brendan Fehr,,USA,R,2011,348
Deon Taylor,Betsy Russell,Horror|Thriller,Chain Letter ,Noah Segan,blood splatter|chain|murder|mysterious killer|warning,USA,R,2009,0
Jason Alexander,Patti LuPone,Comedy|Drama,Just Looking ,Peter Onorati,1955 chevrolet|nurse|peeping tom|reference to brooklyn dodgers|spying,USA,R,1999,117
Xavier Gens,Lauren German,Drama|Sci-Fi|Thriller,The Divide ,Rosanna Arquette,doggystyle sex|rough sex|sodomy|torture|violent sex,Germany,R,2011,0
Conor McPherson,Iben Hjejle,Drama|Horror|Romance,The Eclipse ,Jim Norton,ghost|irish|kissing|novelist|widower,Ireland,R,2009,580
Will Canon,Scott Mechlowicz,Horror|Thriller,Demonic ,Aaron Yoo,death|detective|house|missing|supernatural,USA,R,2015,0
Philip Zlotorynski,Darren Keefe Reiher,Comedy,My Big Fat Independent Movie ,David Douglas,independent film|spoof,USA,R,2005,48
Tim Burton,Alan Rickman,Adventure|Family|Fantasy,Alice in Wonderland ,Anne Hathaway,alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion,USA,PG,2010,24000
Lance Kawas,Michael Rapaport,Comedy,The Deported ,Talia Shire,actor|italian american|mexico|orphan|usa,USA,PG-13,2009,54
Francesca Gregorini,Amy Sedaris,Drama,Tanner Hall ,Chris Kattan,boarding school|coming of age|female friendship|lesbian|new england,USA,R,2009,448
Marcio Garcia,Kristi Clainos,Action|Drama|Thriller,Open Road ,Emily Nelson,dealer|drugs|killer|police,Brazil,,2013,433
David Wain,Amy Poehler,Comedy,They Came Together ,Jack McBrayer,halloween party|new york city|racism|romcom|spoof,USA,R,2014,0
Craig Moss,Ashley Martin,Comedy,30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo ,Olivia Alexander,exorcism|female nudity|haunted house|lesbian kiss|masturbation,USA,R,2013,2000
Michael Jai White,Alex Meraz,Action|Drama|Sport,Never Back Down 2: The Beatdown ,Jillian Murray,bad cop|college|second part|sequel|wrestler,USA,R,2011,6000
John Boorman,Angie Dickinson,Crime|Thriller,Point Blank ,Carroll O'Connor,criminal|gangster|money|revenge|violence,USA,Approved,1967,3000
Paolo Monico,Sarah Rafferty,Comedy,Four Single Fathers ,Salvatore Santone,number in title|single father,Italy,,2009,32
Youssef Delara,David Bianchi,Thriller,Enter the Dangerous Mind ,Jason Priestley,dubstep|tied feet,USA,,2013,406
Darin Scott,Shantel VanSanten,Drama|Horror|Mystery|Thriller,Something Wicked ,John Robinson,eugene oregon|independent film|obsession,USA,R,2014,395
Christian Sesma,Brooke Newton,Thriller,AWOL-72 ,Brett Wagner,police officer|police officer taken hostage,USA,R,2015,398
Monte Hellman,Jack Taylor,Adventure|Crime|Drama,Iguana ,Fabio Testi,19th century|based on novel|disfigurement|harpooner|independent film,Italy,,1988,37
Kenneth Branagh,Derek Jacobi,Drama|Family|Fantasy|Romance,Cinderella ,Lily James,dress|duke|fairy godmother|fairy tale|pumpkin,USA,PG,2015,56000
Brian Caunter,Stacy Keach,Action|Adventure|Crime|Drama,Chicago Overcoat ,Frank Vincent,detective|killer|police|shootout|thong,USA,R,2009,229
Chris D'Arienzo,Cybill Shepherd,Comedy|Drama|Romance,Barry Munday ,Shea Whigham,doctor|letter|paternity|sex|testicles,USA,R,2010,480
Walter Salles,Matheus Nachtergaele,Drama,Central Station ,Othon Bastos,brazil|letter|rio de janeiro brazil|sertao|teacher,Brazil,R,1998,0
Frank Capra,Glenn Ford,Comedy|Drama,Pocketful of Miracles ,Thomas Mitchell,1930s|apple|dude|luck|new york city,USA,Approved,1961,612
Isaac Florentine,Nick Chinlund,Action|Crime,Close Range ,Scott Evans,corrupt sheriff|drug cartel|flash drive|niece|sheriff,USA,,2015,968
Susan Seidelman,Michael Nouri,Comedy|Romance,Boynton Beach Club ,Brenda Vaccaro,title spoken by character,USA,R,2005,88
Michael Polish,Patrick Bauchau,Drama|Horror|Mystery|Thriller,Amnesiac ,Mia Barron,child in peril|electroshock therapy|memory|memory loss|teenage girl,USA,,2014,421
Heidi Ewing,James Ransone,Documentary,Freakonomics ,Tempestt Bledsoe,cheating|economics|experiment|human nature|sumo wrestling,USA,PG-13,2010,0
Richard Donner,Patrick Troughton,Fantasy|Horror|Mystery,The Omen ,Billie Whitelaw,ambassador|death|hospital|priest|stillborn child,UK,R,1976,7000
Alexandre Aja,Maïwenn,Horror,High Tension ,Oana Pellea,car chase|plot twist|police van|rear ending a car|slasher,France,Unrated,2003,0
Leon Ford,Patrick Brammall,Comedy|Drama|Romance|Sci-Fi,Griff the Invisible ,Kelly Paterniti,alter ego|awkwardness|office|scientist|superhero,Australia,PG-13,2010,0
Hank Braxtan,Gregory Cruz,Action|Horror|Thriller,Unnatural ,Allegra Carpenter,alaska|climate change|global|polar bear|scientific,USA,R,2015,369
Craig Brewer,Paula Jai Parker,Crime|Drama|Music,Hustle & Flow ,Elise Neal,baby|friend|hip hop|pimp|stripper,USA,R,2005,0
Billy Wilder,Joe E. Brown,Comedy|Music|Romance,Some Like It Hot ,George Raft,all girl band|band|cross dressing|musician|yacht,USA,Not Rated,1959,10000
John Carl Buechler,Terry Kiser,Horror,Friday the 13th Part VII: The New Blood ,William Butler,death|jason voorhees|massacre|slaughter|telekinesis,USA,R,1988,0
Victor Fleming,Terry,Adventure|Family|Fantasy|Musical,The Wizard of Oz ,Billie Burke,evil witch|tornado|witch|wizard|wizard of oz,USA,Passed,1939,14000
Mel Brooks,Peter Boyle,Comedy,Young Frankenstein ,Teri Garr,assistant|castle|experiment|frankenstein's monster|scientist,USA,PG,1974,14000
George A. Romero,Shawn Roberts,Horror,Diary of the Dead ,Joe Dinicol,barn|film student|hospital|mummy|video camera,USA,R,2007,0
Rajkumar Hirani,Sanjay Dutt,Comedy|Drama|Romance,Lage Raho Munna Bhai ,Jimmy Shergill,love|professor of history|radio|satyagraha|unscrupulous builder,India,PG-13,2006,349
Victor Nunez,Patricia Richardson,Drama,Ulee's Gold ,Vanessa Zima,beekeeper|bound and gagged|dysfunctional family|man with glasses|tied to a chair,USA,R,1997,381
Carroll Ballard,Kelly Reno,Adventure|Family|Sport,The Black Stallion ,Hoyt Axton,black horse|boy horse relationship|horse|rescued by a horse|training,USA,G,1979,0
Rohit Jugraj,Neeru Bajwa,Romance,Sardaar Ji ,Diljit Dosanjh,,Canada,,2015,50
Thorbjørn Christoffersen,Frank Hvam,Action|Adventure|Animation|Comedy|Sci-Fi,Journey to Saturn ,Casper Christensen,crew|cult film|denmark|earth|wristwatch,Denmark,Not Rated,2008,77
John Ford,Cesar Romero,Adventure|Comedy|Romance,Donovan's Reef ,Jack Warden,falling into water|medical doctor|priest|roof leak|swimming in the ocean,USA,Not Rated,1963,573
Alex van Warmerdam,Ariane Schluter,Comedy|Drama,The Dress ,Henri Garcin,bare breasts|bra|panties|topless female nudity|underwear,Netherlands,,1996,121
Victor Fleming,Esther Williams,Drama|Fantasy|Romance|War,A Guy Named Joe ,Irene Dunne,heaven|pilot|teacher|training|world war two,USA,Passed,1943,116
