director_name,director_facebook_likes,actor_1_name,movie_title,cast_total_facebook_likes,movie_imdb_link,language,country,title_year
Tom Sanchez,0,Nataniel Sánchez,The Knife of Don Juan ,5,http://www.imdb.com/title/tt1349485/?ref_=fn_tt_tt_1,Spanish,USA,2013
David Caffrey,4,Marley Shelton,Grand Theft Parsons ,1438,http://www.imdb.com/title/tt0338075/?ref_=fn_tt_tt_1,English,USA,2003
Adam Jay Epstein,0,Rich Ceraulo,Extreme Movie ,1190,http://www.imdb.com/title/tt0806147/?ref_=fn_tt_tt_1,English,USA,2008
Michael Curtiz,345,Errol Flynn,The Charge of the Light Brigade ,1621,http://www.imdb.com/title/tt0027438/?ref_=fn_tt_tt_1,English,USA,1936
Justin Thomas Ostensen,0,Michael Berryman,Below Zero ,862,http://www.imdb.com/title/tt1641388/?ref_=fn_tt_tt_1,English,Canada,2011
Brenton Spencer,0,Christie Burke,Crowsnest ,630,http://www.imdb.com/title/tt2180333/?ref_=fn_tt_tt_1,English,Canada,2012
Rob Bowman,38,Alanna Ubach,Airborne ,1218,http://www.imdb.com/title/tt0106233/?ref_=fn_tt_tt_1,English,USA,1993
Ossie Davis,282,Redd Foxx,Cotton Comes to Harlem ,1581,http://www.imdb.com/title/tt0065579/?ref_=fn_tt_tt_1,English,USA,1970
Jay Alaimo,2,William McNamara,The Wicked Within ,11257,http://www.imdb.com/title/tt1943014/?ref_=fn_tt_tt_1,English,USA,2015
Dylan Bank,0,Seregon O'Dassey,Bleeding Hearts ,1810,http://www.imdb.com/title/tt2622294/?ref_=fn_tt_tt_1,English,USA,2015
Rob McKittrick,6,Ryan Reynolds,Waiting... ,19957,http://www.imdb.com/title/tt0348333/?ref_=fn_tt_tt_1,English,USA,2005
Shane Meadows,222,Paddy Considine,Dead Man's Shoes ,1311,http://www.imdb.com/title/tt0419677/?ref_=fn_tt_tt_1,English,UK,2004
,,Richard Cawthorne,Wolf Creek             ,1617,http://www.imdb.com/title/tt4460878/?ref_=fn_tt_tt_1,English,Australia,
Jeff Burr,155,Terry Kiser,From a Whisper to a Scream ,1329,http://www.imdb.com/title/tt0091671/?ref_=fn_tt_tt_1,English,USA,1987
Harry Gantz,0,,Sex with Strangers ,0,http://www.imdb.com/title/tt0304692/?ref_=fn_tt_tt_1,English,USA,2002
Guy Maddin,126,Sarah Murphy-Dyson,Dracula: Pages from a Virgin's Diary ,21,http://www.imdb.com/title/tt0293113/?ref_=fn_tt_tt_1,English,Canada,2002
Regardt van den Bergh,12,Sean Cameron Michael,Faith Like Potatoes ,521,http://www.imdb.com/title/tt0850667/?ref_=fn_tt_tt_1,Zulu,South Africa,2006
Panos Cosmatos,22,Chris Gauthier,Beyond the Black Rainbow ,645,http://www.imdb.com/title/tt1534085/?ref_=fn_tt_tt_1,English,Canada,2010
Gareth Evans,338,Iko Uwais,The Raid: Redemption ,1445,http://www.imdb.com/title/tt1899353/?ref_=fn_tt_tt_1,Indonesian,Indonesia,2011
Matthew R. Anderson,252,Johnny Pacar,The Dead Undead ,2510,http://www.imdb.com/title/tt0923653/?ref_=fn_tt_tt_1,English,USA,2010
Joe Marino,0,Piero Maggiò,The Vatican Exorcisms ,12,http://www.imdb.com/title/tt3043194/?ref_=fn_tt_tt_1,English,Italy,2013
Michael Curtiz,345,Humphrey Bogart,Casablanca ,3442,http://www.imdb.com/title/tt0034583/?ref_=fn_tt_tt_1,English,USA,1942
Joel Anderson,0,Talia Zucker,Lake Mungo ,29,http://www.imdb.com/title/tt0816556/?ref_=fn_tt_tt_1,English,Australia,2008
Shimit Amin,6,Ranbir Kapoor,Rocket Singh: Salesman of the Year ,1052,http://www.imdb.com/title/tt1434447/?ref_=fn_tt_tt_1,Hindi,India,2009
Douglas Trumbull,136,Bruce Dern,Silent Running ,1080,http://www.imdb.com/title/tt0067756/?ref_=fn_tt_tt_1,English,USA,1972
John G. Avildsen,80,Sylvester Stallone,Rocky ,16094,http://www.imdb.com/title/tt0075148/?ref_=fn_tt_tt_1,English,USA,1976
Mona Fastvold,2,Christopher Abbott,The Sleepwalker ,622,http://www.imdb.com/title/tt2723576/?ref_=fn_tt_tt_1,English,Norway,2014
John Carpenter,0,Jamie Lee Curtis,The Fog ,4878,http://www.imdb.com/title/tt0080749/?ref_=fn_tt_tt_1,English,USA,1980
Tony Richardson,62,Albert Finney,Tom Jones ,1371,http://www.imdb.com/title/tt0057590/?ref_=fn_tt_tt_1,English,UK,1963
Levan Gabriadze,6,Shelley Hennig,Unfriended ,1565,http://www.imdb.com/title/tt3713166/?ref_=fn_tt_tt_1,English,USA,2014
Martin Scorsese,17000,Robert De Niro,Taxi Driver ,23525,http://www.imdb.com/title/tt0075314/?ref_=fn_tt_tt_1,English,USA,1976
Joe Dante,287,Patrick Macnee,The Howling ,4438,http://www.imdb.com/title/tt0082533/?ref_=fn_tt_tt_1,English,USA,1981
Terence Young,92,Ursula Andress,Dr. No ,1421,http://www.imdb.com/title/tt0055928/?ref_=fn_tt_tt_1,English,UK,1962
Bradley Parker,18,Jesse McCartney,Chernobyl Diaries ,2665,http://www.imdb.com/title/tt1991245/?ref_=fn_tt_tt_1,English,USA,2012
Clive Barker,385,Andrew Robinson,Hellraiser ,673,http://www.imdb.com/title/tt0093177/?ref_=fn_tt_tt_1,English,UK,1987
Harold Cronk,18,Benjamin A. Onyango,God's Not Dead 2 ,1810,http://www.imdb.com/title/tt4824308/?ref_=fn_tt_tt_1,English,USA,2016
Jeff Wadlow,65,Julian Morris,Cry_Wolf ,3155,http://www.imdb.com/title/tt0384286/?ref_=fn_tt_tt_1,English,USA,2005
Takao Okawara,2,Hiroshi Abe,Godzilla 2000 ,53,http://www.imdb.com/title/tt0188640/?ref_=fn_tt_tt_1,Japanese,Japan,1999
Derek Cianfrance,310,Ryan Gosling,Blue Valentine ,35941,http://www.imdb.com/title/tt1120985/?ref_=fn_tt_tt_1,English,USA,2010
Duncan Tucker,2,Kevin Zegers,Transamerica ,3192,http://www.imdb.com/title/tt0407265/?ref_=fn_tt_tt_1,English,USA,2005
William Brent Bell,19,Fernanda Andrade,The Devil Inside ,988,http://www.imdb.com/title/tt1560985/?ref_=fn_tt_tt_1,English,USA,2012
Russ Meyer,199,Charles Napier,Beyond the Valley of the Dolls ,731,http://www.imdb.com/title/tt0065466/?ref_=fn_tt_tt_1,English,USA,1970
Robert D. Webb,0,James Drury,Love Me Tender ,831,http://www.imdb.com/title/tt0049452/?ref_=fn_tt_tt_1,English,USA,1956
Davis Guggenheim,49,Billy West,An Inconvenient Truth ,929,http://www.imdb.com/title/tt0497116/?ref_=fn_tt_tt_1,English,USA,2006
Allan Dwan,23,James Brown,Sands of Iwo Jima ,510,http://www.imdb.com/title/tt0041841/?ref_=fn_tt_tt_1,English,USA,1949
Martin Scorsese,17000,Mick Jagger,Shine a Light ,1218,http://www.imdb.com/title/tt0893382/?ref_=fn_tt_tt_1,English,USA,2008
Eli Roth,0,Daryl Sabara,The Green Inferno ,2082,http://www.imdb.com/title/tt2403021/?ref_=fn_tt_tt_1,English,USA,2013
Andrew Steggall,0,Juliet Stevenson,Departure ,283,http://www.imdb.com/title/tt2248739/?ref_=fn_tt_tt_1,English,UK,2015
Ben Lewin,20,W. Earl Brown,The Sessions ,1899,http://www.imdb.com/title/tt1866249/?ref_=fn_tt_tt_1,English,USA,2012
Robert Kenner,11,Michael Pollan,"Food, Inc. ",42,http://www.imdb.com/title/tt1286537/?ref_=fn_tt_tt_1,English,USA,2008
Andrew Erwin,10,Rachel Hendrix,October Baby ,1147,http://www.imdb.com/title/tt1720182/?ref_=fn_tt_tt_1,English,USA,2011
Brad Anderson,122,Philip Seymour Hoffman,Next Stop Wonderland ,23461,http://www.imdb.com/title/tt0119778/?ref_=fn_tt_tt_1,English,USA,1998
Jason Reitman,655,J.K. Simmons,Juno ,28817,http://www.imdb.com/title/tt0467406/?ref_=fn_tt_tt_1,English,USA,2007
Craig Johnson,7,Ty Burrell,The Skeleton Twins ,3986,http://www.imdb.com/title/tt1571249/?ref_=fn_tt_tt_1,English,USA,2014
Sean Durkin,46,Christopher Abbott,Martha Marcy May Marlene ,1263,http://www.imdb.com/title/tt1441326/?ref_=fn_tt_tt_1,English,USA,2011
Gillian Robespierre,9,Gaby Hoffmann,Obvious Child ,1587,http://www.imdb.com/title/tt2910274/?ref_=fn_tt_tt_1,English,USA,2014
Courtney Hunt,33,Charlie McDermott,Frozen River ,994,http://www.imdb.com/title/tt0978759/?ref_=fn_tt_tt_1,English,USA,2008
Morgan Neville,9,Sheryl Crow,20 Feet from Stardom ,198,http://www.imdb.com/title/tt2396566/?ref_=fn_tt_tt_1,English,USA,2013
James Toback,56,Robert Downey Jr.,Two Girls and a Guy ,21124,http://www.imdb.com/title/tt0124179/?ref_=fn_tt_tt_1,English,USA,1997
Nicole Holofcener,132,Kevin Corrigan,Walking and Talking ,2400,http://www.imdb.com/title/tt0118113/?ref_=fn_tt_tt_1,English,UK,1996
Peter Cattaneo,11,Tom Wilkinson,The Full Monty ,2323,http://www.imdb.com/title/tt0119164/?ref_=fn_tt_tt_1,English,UK,1997
Chris Paine,2,Ed Begley Jr.,Who Killed the Electric Car? ,1447,http://www.imdb.com/title/tt0489037/?ref_=fn_tt_tt_1,English,USA,2006
Greg Berlanti,112,Justin Theroux,The Broken Hearts Club: A Romantic Comedy ,3085,http://www.imdb.com/title/tt0222850/?ref_=fn_tt_tt_1,English,USA,2000
Don Coscarelli,152,Daniel Roebuck,Bubba Ho-Tep ,1587,http://www.imdb.com/title/tt0281686/?ref_=fn_tt_tt_1,English,USA,2002
Rob Letterman,11,Odeya Rush,Goosebumps ,5497,http://www.imdb.com/title/tt1051904/?ref_=fn_tt_tt_1,English,USA,2015
Marc Levin,12,Sonja Sohn,Slam ,295,http://www.imdb.com/title/tt0139615/?ref_=fn_tt_tt_1,English,USA,1998
Richard Dutcher,13,Wilford Brimley,Brigham City ,1107,http://www.imdb.com/title/tt0268200/?ref_=fn_tt_tt_1,English,USA,2001
Khalid Mohamed,10,Karisma Kapoor,Fiza ,773,http://www.imdb.com/title/tt0248012/?ref_=fn_tt_tt_1,Hindi,India,2000
Mel Brooks,0,Madeline Kahn,History of the World: Part I ,3931,http://www.imdb.com/title/tt0082517/?ref_=fn_tt_tt_1,English,USA,1981
Trey Parker,406,Trey Parker,Orgazmo ,904,http://www.imdb.com/title/tt0124819/?ref_=fn_tt_tt_1,English,USA,1997
David Gordon Green,234,Zooey Deschanel,All the Real Girls ,12385,http://www.imdb.com/title/tt0299458/?ref_=fn_tt_tt_1,English,USA,2003
Finn Taylor,4,David Arquette,Dream with the Fishes ,1692,http://www.imdb.com/title/tt0119019/?ref_=fn_tt_tt_1,English,USA,1997
Karen Moncrieff,22,Frances Fisher,Blue Car ,1641,http://www.imdb.com/title/tt0290145/?ref_=fn_tt_tt_1,English,USA,2002
José Luis Valenzuela,0,Cheech Marin,Luminarias ,2289,http://www.imdb.com/title/tt0160498/?ref_=fn_tt_tt_1,English,USA,2000
Gia Coppola,71,James Franco,Palo Alto ,12234,http://www.imdb.com/title/tt2479800/?ref_=fn_tt_tt_1,English,USA,2013
Scandar Copti,13,Shahir Kabaha,Ajami ,42,http://www.imdb.com/title/tt1077262/?ref_=fn_tt_tt_1,Arabic,Germany,2009
Goran Dukic,21,Leslie Bibb,Wristcutters: A Love Story ,4720,http://www.imdb.com/title/tt0477139/?ref_=fn_tt_tt_1,English,USA,2006
Mike Cahill,135,Steven Yeun,I Origins ,7098,http://www.imdb.com/title/tt2884206/?ref_=fn_tt_tt_1,English,USA,2014
Efram Potelle,2,Shiri Appleby,The Battle of Shaker Heights ,2489,http://www.imdb.com/title/tt0357470/?ref_=fn_tt_tt_1,English,USA,2003
Peter Jackson,0,Michael Imperioli,The Lovely Bones ,2369,http://www.imdb.com/title/tt0380510/?ref_=fn_tt_tt_1,English,USA,2009
Joshua Oppenheimer,50,Anwar Congo,The Act of Killing ,6,http://www.imdb.com/title/tt2375605/?ref_=fn_tt_tt_1,Indonesian,UK,2012
Alex Gibney,141,Alex Gibney,Taxi to the Dark Side ,313,http://www.imdb.com/title/tt0854678/?ref_=fn_tt_tt_1,English,USA,2007
Paul Crowder,10,Pelé,Once in a Lifetime: The Extraordinary Story of the New York Cosmos ,118,http://www.imdb.com/title/tt0489247/?ref_=fn_tt_tt_1,English,UK,2006
Rohit Jagessar,0,Kumar Gaurav,Guiana 1838 ,15,http://www.imdb.com/title/tt0428609/?ref_=fn_tt_tt_1,English,USA,2004
Griffin Dunne,165,Mira Sorvino,Lisa Picard Is Famous ,3258,http://www.imdb.com/title/tt0233699/?ref_=fn_tt_tt_1,English,USA,2000
Anthony Powell,9,Josh Swanson,Antarctica: A Year on Ice ,86,http://www.imdb.com/title/tt2361700/?ref_=fn_tt_tt_1,English,New Zealand,2013
Kief Davidson,0,G.W. Krauss,A Lego Brickumentary ,28,http://www.imdb.com/title/tt3214286/?ref_=fn_tt_tt_1,English,Denmark,2014
Johnny Remo,74,Matthew Ziff,Hardflip ,263584,http://www.imdb.com/title/tt1907639/?ref_=fn_tt_tt_1,English,USA,2012
Vivek Agnihotri,5,Emraan Hashmi,Chocolate: Deep Dark Secrets ,2024,http://www.imdb.com/title/tt0454431/?ref_=fn_tt_tt_1,Hindi,India,2005
Ti West,243,Lena Dunham,The House of the Devil ,3833,http://www.imdb.com/title/tt1172994/?ref_=fn_tt_tt_1,English,USA,2009
Nick Tomnay,11,David Hyde Pierce,The Perfect Host ,1452,http://www.imdb.com/title/tt1334553/?ref_=fn_tt_tt_1,English,USA,2010
John Hamburg,29,Harvey Fierstein,Safe Men ,1141,http://www.imdb.com/title/tt0120813/?ref_=fn_tt_tt_1,English,USA,1998
Nickolas Perry,5,Patrick Renna,Speedway Junky ,1042,http://www.imdb.com/title/tt0155197/?ref_=fn_tt_tt_1,English,USA,1999
Dan Zukovic,8,Yul Vazquez,The Last Big Thing ,196,http://www.imdb.com/title/tt0161743/?ref_=fn_tt_tt_1,English,USA,1996
Craig Mazin,82,Judy Greer,The Specials ,3905,http://www.imdb.com/title/tt0181836/?ref_=fn_tt_tt_1,English,USA,2000
Becky Smith,32,Will Rothhaar,16 to Life ,1647,http://www.imdb.com/title/tt1130087/?ref_=fn_tt_tt_1,English,USA,2009
Eric Nicholas,0,Jordana Spiro,Alone with Her ,509,http://www.imdb.com/title/tt0472259/?ref_=fn_tt_tt_1,English,USA,2006
Benjamin Dickinson,4,Nora Zehetner,Creative Control ,928,http://www.imdb.com/title/tt3277624/?ref_=fn_tt_tt_1,English,USA,2015
Hal Haberman,0,Michael Rapaport,Special ,2694,http://www.imdb.com/title/tt0479162/?ref_=fn_tt_tt_1,English,USA,2006
Darren Stein,18,Frances Bay,Sparkler ,2633,http://www.imdb.com/title/tt0124137/?ref_=fn_tt_tt_1,English,USA,1997
A. Raven Cruz,0,Scott Levy,The Helix... Loaded ,1188,http://www.imdb.com/title/tt0401462/?ref_=fn_tt_tt_1,English,USA,2005
Brian Trenchard-Smith,53,David Keith,In Her Line of Fire ,1284,http://www.imdb.com/title/tt0487156/?ref_=fn_tt_tt_1,English,Germany,2006
Frank Whaley,436,Lynn Cohen,The Jimmy Show ,920,http://www.imdb.com/title/tt0271020/?ref_=fn_tt_tt_1,English,USA,2001
Amat Escalante,50,Kenny Johnston,Heli ,351,http://www.imdb.com/title/tt2852376/?ref_=fn_tt_tt_1,Spanish,Mexico,2013
Wajahat Rauf,3,Rasheed Naz,Karachi se Lahore ,19,http://www.imdb.com/title/tt4590482/?ref_=fn_tt_tt_1,Urdu,Pakistan,2015
Katherine Brooks,57,Ilene Graff,Loving Annabelle ,1635,http://www.imdb.com/title/tt0323120/?ref_=fn_tt_tt_1,English,USA,2006
David Cross,0,Jason Ritter,Hits ,2607,http://www.imdb.com/title/tt3145220/?ref_=fn_tt_tt_1,English,USA,2014
Randall Rubin,0,Nicole Randall Johnson,Jimmy and Judy ,997,http://www.imdb.com/title/tt0425151/?ref_=fn_tt_tt_1,English,USA,2006
Robert Bennett,15,Randy Wayne,Frat Party ,1752,http://www.imdb.com/title/tt1414361/?ref_=fn_tt_tt_1,English,USA,2009
Guy Hamilton,82,Oliver Reed,The Party's Over ,964,http://www.imdb.com/title/tt0060816/?ref_=fn_tt_tt_1,English,UK,1965
Mary Pat Kelly,3,Aidan Quinn,Proud ,1593,http://www.imdb.com/title/tt0393616/?ref_=fn_tt_tt_1,English,USA,2004
Lori Petty,923,Jennifer Lawrence,The Poker House ,52113,http://www.imdb.com/title/tt1014806/?ref_=fn_tt_tt_1,English,USA,2008
Charlie Levi,0,Joe Mantegna,Childless ,1996,http://www.imdb.com/title/tt0867270/?ref_=fn_tt_tt_1,English,USA,2008
Kevin Hamedani,23,Russell Hodgkinson,ZMD: Zombies of Mass Destruction ,292,http://www.imdb.com/title/tt1134674/?ref_=fn_tt_tt_1,English,USA,2009
David DeCoteau,142,Maureen McCormick,Snow White: A Deadly Summer ,1549,http://www.imdb.com/title/tt2149137/?ref_=fn_tt_tt_1,English,USA,2012
Mikel Rueda,0,Álex Angulo,Hidden Away ,90,http://www.imdb.com/title/tt3289362/?ref_=fn_tt_tt_1,Spanish,Spain,2014
Stefan C. Schaefer,0,Nicole Beharie,My Last Day Without You ,2116,http://www.imdb.com/title/tt1679248/?ref_=fn_tt_tt_1,English,USA,2011
Michael Taliferro,105,Wesley Jonathan,Steppin: The Movie ,1350,http://www.imdb.com/title/tt0826751/?ref_=fn_tt_tt_1,English,USA,2009
David DeCoteau,142,William McNamara,Doc Holliday's Revenge ,11466,http://www.imdb.com/title/tt3359872/?ref_=fn_tt_tt_1,English,USA,2014
Katie Aselton,224,Katie Aselton,Black Rock ,344,http://www.imdb.com/title/tt1930294/?ref_=fn_tt_tt_1,English,USA,2012
Robert Heath,0,David Oakes,Truth or Die ,1226,http://www.imdb.com/title/tt1838722/?ref_=fn_tt_tt_1,English,UK,2012
D. Stevens,6,Magi Avila,The Pet ,109,http://www.imdb.com/title/tt0825728/?ref_=fn_tt_tt_1,English,USA,2006
Jeffrey St. Jules,0,Boyd Banks,Bang Bang Baby ,231,http://www.imdb.com/title/tt2655734/?ref_=fn_tt_tt_1,English,Canada,2014
Robert Hall,53,Angelina Armani,Fear Clinic ,1825,http://www.imdb.com/title/tt2165765/?ref_=fn_tt_tt_1,English,USA,2015
