director_facebook_likes,actor_3_facebook_likes,genres,movie_title,num_voted_users,actor_3_name,facenumber_in_poster,language,imdb_score,movie_facebook_likes
21,680,Drama|Romance,Now Is Good ,26863,Paddy Considine,3,English,7.2,0
32,238,Comedy|Horror,Girls Gone Dead ,2012,Al Sapienza,2,English,3.5,0
0,569,History,America Is Still the Place ,22,Mike Colter,0,English,7.5,337
406,152,Action|Mystery|Thriller,Subconscious ,292,Tom Stedham,0,English,2.2,353
33,135,Comedy|Drama,Crossroads ,34219,Dave Allen,1,English,3.3,0
0,120,Mystery|Thriller,Enter Nowhere ,5025,Christopher Denham,3,English,6.6,701
0,15,Crime|Drama,The King of Najayo ,197,Claudette Lalí,1,Spanish,6.9,126
0,212,Action|Romance|Sport,Fight to the Finish ,60,Vincent De Paul,0,English,4.0,381
163,303,Horror|Musical,Alleluia! The Devil's Carnival ,259,Terrance Zdunich,5,English,7.4,707
0,33,Comedy|Mystery|Thriller,The Sound and the Shadow ,30,Felix Avitia,0,English,8.3,70
431,317,Family,Rodeo Girl ,62,Yassie Hawkes,2,English,5.7,0
0,0,Action|Biography|Documentary|Sport,Born to Fly: Elizabeth Streb vs. Gravity ,40,Laura Flanders,1,English,6.8,44
0,53,Family,The Little Ponderosa Zoo ,15,Jamison Stalsworth,2,English,5.2,9
0,11000,Adventure|Family|Fantasy,Oz the Great and Powerful ,175413,James Franco,4,English,6.4,60000
6,10,Action|Comedy|Horror|Sci-Fi,The Toxic Avenger ,19253,Pat Ryan,0,English,6.2,0
10,10,Crime|Drama,Straight Out of Brooklyn ,475,Matty Rich,4,English,5.9,123
521,80,Drama|History|War,Bloody Sunday ,19732,Tim Pigott-Smith,0,English,7.7,0
5,237,Action,Diamond Ruff ,53,Fredro Starr,6,English,4.3,62
3,446,Comedy|Drama|Romance,Conversations with Other Women ,10143,Nora Zehetner,0,English,7.1,0
365,49,Comedy|Horror|Musical,Poultrygeist: Night of the Chicken Dead ,5931,Kate Graham,0,English,6.2,0
0,304,Comedy|Romance,Mutual Friends ,64,Michael Stahl-David,1,English,6.8,31
24,45,Comedy|Musical|Romance,42nd Street ,7921,George Brent,2,English,7.7,439
0,0,Documentary,Rise of the Entrepreneur: The Search for a Better Way ,78,Eric Worre,0,English,8.2,460
89,3,Comedy|Drama|Romance,Metropolitan ,7143,Ellia Thompson,1,English,7.5,865
10,19,Comedy|Drama|Music|Romance,As It Is in Heaven ,13543,Nils-Anders Vallgårda,15,Swedish,7.6,0
15,93,Drama|Horror|Mystery|Thriller,Roadside ,268,Alan Pietruszewski,0,English,4.1,61
100,482,Comedy,Napoleon Dynamite ,161448,Jon Gries,0,English,6.9,0
57,92,Crime|Drama|Thriller,Blue Ruin ,42678,Amy Hargreaves,0,English,7.1,0
110,21,Horror,Paranormal Activity ,184824,Amber Armstrong,0,English,6.3,12000
147,5,Documentary|Sport,Dogtown and Z-Boys ,10366,Jeff Ament,0,English,7.7,0
0,332,Adventure|Comedy|Fantasy,Monty Python and the Holy Grail ,382240,Terry Jones,0,English,8.3,14000
25,138,Drama,Quinceañera ,3675,Alicia Sixtos,1,Spanish,7.1,426
14,6,Comedy|Fantasy|Horror|Musical,Gory Gory Hallelujah ,179,David Frederick White,2,English,4.7,39
,833,Drama|Fantasy|Sci-Fi|Thriller,Heroes             ,202115,Greg Grunberg,4,English,7.7,0
20,0,Biography|Documentary,Tarnation ,5709,Renee Leblanc,3,English,7.2,754
4,12,Documentary,I Want Your Money ,1123,Mike Huckabee,0,English,5.1,638
0,271,Comedy|Horror,Love in the Time of Monsters ,143,Alex Sanborn,3,English,5.4,194
385,22,Horror,The Beyond ,14985,Al Cliver,0,Italian,6.9,2000
,6,Animation|Comedy|Drama,Home Movies             ,7458,Melissa Bardin Galsky,0,English,8.2,526
12,149,Comedy|Romance,What Happens in Vegas ,140740,Michelle Krusiec,2,English,6.1,0
3,39,Horror|Thriller,The Dark Hours ,4788,Gordon Currie,0,English,6.1,166
350,33,Comedy|Drama|Romance,My Beautiful Laundrette ,10577,Garry Cooper,1,English,6.9,0
0,36,Drama|Horror|Mystery|Thriller,Fabled ,191,Desmond Askew,0,English,5.8,7
0,83,Drama|Thriller,Show Me ,369,Gabriel Hogan,0,French,6.0,12
0,92,Drama,Cries & Whispers ,19964,Erland Josephson,0,Swedish,8.2,0
204,9,Drama|History|War,Intolerance: Love's Struggle Throughout the Ages ,10718,Walter Long,1,,8.0,691
3,513,Documentary,Trekkies ,4407,James Doohan,1,English,7.0,672
4,4,Musical|Romance,The Broadway Melody ,4546,Charles King,8,English,6.3,167
0,58,Fantasy|Horror,The Evil Dead ,141219,Ellen Sandweiss,0,English,7.6,12000
33,118,Horror|Thriller,Maniac ,27297,Liane Balaban,0,English,6.1,0
0,,Documentary|History,Censored Voices ,186,,0,Hebrew,7.2,111
30,0,Documentary|Sport,Murderball ,9037,Andy Cohn,1,English,7.8,0
44,93,Action|Drama,American Ninja 2: The Confrontation ,6046,Larry Poindexter,0,English,4.7,583
0,0,Documentary,51 Birch Street ,695,Mike Block,2,English,7.5,70
,576,Action|Adventure|Drama|Sci-Fi,Revolution             ,72017,David Lyons,6,English,6.7,17000
0,0,Family|Sci-Fi,Rotor DR1 ,209,Christian Kapper,2,English,3.4,240
0,598,Horror|Thriller,Halloween ,157863,P.J. Soles,0,English,7.9,12000
0,253,Crime|Drama,12 Angry Men ,447785,John Fiedler,1,English,8.9,40000
3,258,Animation|Drama,My Dog Tulip ,1272,Lynn Redgrave,0,English,6.9,675
964,21,Comedy|Romance,It Happened One Night ,64888,Walter Connolly,1,English,8.2,0
252,14,Drama|Thriller,Dogtooth ,44864,Sissy Petropoulou,0,Greek,7.3,13000
