director_name,num_critic_for_reviews,duration,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,budget,title_year
Meiert Avis,41,97,230,Kip Pardue,922,1046166,Comedy|Music|Romance,Undiscovered ,2599,1835,Perrey Reeves,bare chested male|box office flop|diner|german shepherd|one word title,http://www.imdb.com/title/tt0434424/?ref_=fn_tt_tt_1,45,English,Germany,9000000,2005
Julian Jarrold,91,102,35,Warren Clarke,10000,,Crime|Drama|Mystery|Thriller,Red Riding: In the Year of Our Lord 1974 ,9305,10369,John Henshaw,ejected from a moving vehicle|gun held to head|handcuffs|shot multiple times|strangulation,http://www.imdb.com/title/tt1259574/?ref_=fn_tt_tt_1,44,English,UK,,2009
André Téchiné,66,105,98,Ronit Elkabetz,963,2874,Drama,The Girl on the Train ,1219,1375,Émilie Dequenne,bar mitzvah|lawyer|train|wealth|wrestler,http://www.imdb.com/title/tt1183672/?ref_=fn_tt_tt_1,14,French,France,,2009
Emily Young,19,103,664,Erika Christensen,4000,,Drama|Romance,Veronika Decides to Die ,10100,6426,Jonathan Tucker,boyfriend girlfriend relationship|female protagonist|letter of resignation|mental hospital|sex,http://www.imdb.com/title/tt1068678/?ref_=fn_tt_tt_1,42,English,USA,9000000,2009
Peter Faiman,35,93,93,Linda Kozlowski,442,174635000,Adventure|Comedy,Crocodile Dundee ,74743,822,David Gulpilil,australian outback|crocodile|female reporter|journalist|new york city,http://www.imdb.com/title/tt0090555/?ref_=fn_tt_tt_1,93,English,Australia,8800000,1986
Martyn Pick,19,76,151,Steven Waddington,722,,Action|Animation|Fantasy|Horror|Mystery|Sci-Fi|Thriller,"Ultramarines: A Warhammer 40,000 Movie ",4990,1254,Donald Sumpter,grimdark|mutilated corpse|space marine|ultramarines|warhammer 40k,http://www.imdb.com/title/tt1679332/?ref_=fn_tt_tt_1,64,English,UK,,2010
Roland Suso Richter,33,90,327,Sarah Polley,1000,,Mystery|Sci-Fi|Thriller,The I Inside ,9296,2310,Stephen Rea,2000s|hospital|man in a wheelchair|year 2000|year 2002,http://www.imdb.com/title/tt0325596/?ref_=fn_tt_tt_1,57,English,UK,8800000,2004
Jeremy Sims,17,122,59,Gyton Grantley,174,,Drama|History|War,Beneath Hill 60 ,5741,498,Steve Le Marquand,blue clay|diversion|ends with biographical notes|ends with historical notes|tunnel,http://www.imdb.com/title/tt1418646/?ref_=fn_tt_tt_1,39,English,Australia,9000000,2010
Maïwenn,163,127,68,Maïwenn,580,171320,Crime|Drama,Polisse ,10796,1129,Karin Viard,abusive parent|child molester|child protection|photographer|police,http://www.imdb.com/title/tt1661420/?ref_=fn_tt_tt_1,33,French,France,,2011
Joby Harold,133,84,896,Fisher Stevens,4000,14373825,Crime|Mystery|Thriller,Awake ,63216,6954,Denis O'Hare,anesthetic|anesthetic awareness|heart|heart surgery|surgery,http://www.imdb.com/title/tt0211933/?ref_=fn_tt_tt_1,196,English,USA,8600000,2007
,47,23,265,James Arnold Taylor,668,,Action|Adventure|Animation|Drama|Fantasy|Sci-Fi,Star Wars: The Clone Wars             ,28190,1484,Tom Kane,begins with narration|female warrior|inbetwequel|jedi knight|war against machines,http://www.imdb.com/title/tt0458290/?ref_=fn_tt_tt_1,73,English,USA,,
Ekachai Uekrongtham,66,96,305,Mike Dopud,2000,162,Action|Crime|Thriller,Skin Trade ,5228,2802,Celina Jade,bangkok thailand|detective|human trafficking|revenge|sex slavery,http://www.imdb.com/title/tt1641841/?ref_=fn_tt_tt_1,38,English,Thailand,9000000,2014
Joel Schumacher,147,97,673,Jami Gertz,967,32222567,Comedy|Fantasy|Horror,The Lost Boys ,92924,4458,Jason Patric,1980s|california|death|small town|vampire,http://www.imdb.com/title/tt0093437/?ref_=fn_tt_tt_1,339,English,USA,,1987
Scott Cooper,273,112,175,Beth Grant,12000,39462438,Drama|Music|Romance,Crazy Heart ,67760,13172,Debrianna Mansini,country music|country western singer|journalist|musician|singer,http://www.imdb.com/title/tt1263670/?ref_=fn_tt_tt_1,226,English,USA,7000000,2009
Mark Rydell,32,125,122,Frederic Forrest,563,29200000,Drama|Music|Romance,The Rose ,6142,1097,Alan Bates,awol|demand|driver|drugs|roses,http://www.imdb.com/title/tt0079826/?ref_=fn_tt_tt_1,52,English,USA,8500000,1979
David E. Talbert,52,96,1000,Christina Milian,3000,21564616,Comedy,Baggage Claim ,7098,8097,Boris Kodjoe,woman wearing only a man's shirt,http://www.imdb.com/title/tt1171222/?ref_=fn_tt_tt_1,41,English,USA,8500000,2013
Roger Vadim,107,98,170,David Hemmings,949,,Adventure|Comedy|Fantasy|Sci-Fi,Barbarella ,24436,1510,Milo O'Shea,41st century|angel|future|laser gun|space opera,http://www.imdb.com/title/tt0062711/?ref_=fn_tt_tt_1,186,English,France,9000000,1968
Nils Gaup,6,92,3,Louisa Milwood-Haigh,35,,Adventure|Family,Shipwrecked ,1984,47,Stian Smestad,boy|island|pirate|ship|treasure,http://www.imdb.com/title/tt0099816/?ref_=fn_tt_tt_1,14,English,Norway,60000000,1990
Alexander Payne,175,103,133,Chris Klein,2000,14879556,Comedy|Drama,Election ,73640,3516,Molly Hagan,female protagonist|high school|self destructiveness|student council president|student government,http://www.imdb.com/title/tt0126886/?ref_=fn_tt_tt_1,441,English,USA,8000000,1999
Mira Nair,167,122,341,Brooke Smith,579,13569248,Drama,The Namesake ,16530,1637,Tabu,bengali|india|reference to gogol|train|train crash,http://www.imdb.com/title/tt0433416/?ref_=fn_tt_tt_1,117,English,USA,,2006
Ari Sandel,132,101,429,Romany Malco,35000,34017854,Comedy,The DUFF ,51326,36892,Skyler Samuels,cartoon on tv|generation y|high school|overalls|strong female character,http://www.imdb.com/title/tt1666801/?ref_=fn_tt_tt_1,116,English,USA,8500000,2015
Vondie Curtis-Hall,66,104,202,Max Beesley,736,4273372,Drama|Music|Romance,Glitter ,19412,1854,Valarie Pettiford,cult film|disc jockey|female protagonist|music business|one word title,http://www.imdb.com/title/tt0118589/?ref_=fn_tt_tt_1,308,English,USA,22000000,2001
Tom Elkins,79,101,559,Cicely Tyson,1000,,Drama|Horror|Mystery|Thriller,The Haunting in Connecticut 2: Ghosts of Georgia ,13167,3164,Brad James,daughter|georgia|mother|slave|trailer,http://www.imdb.com/title/tt1457765/?ref_=fn_tt_tt_1,57,English,USA,9000000,2013
Woo-Suk Kang,15,135,13,Sung-kee Ahn,28,,Action|Drama,Silmido ,3290,97,Kyung-gu Sol,based on book|based on true story|rape|title spoken by character,http://www.imdb.com/title/tt0387596/?ref_=fn_tt_tt_1,17,Korean,South Korea,8000000,2003
Jane Campion,222,119,179,Paul Schneider,2000,4440055,Biography|Drama|Romance,Bright Star ,21360,3279,Samuel Roukin,19th century|friend|john keats|passion|poet,http://www.imdb.com/title/tt0810784/?ref_=fn_tt_tt_1,110,English,UK,8500000,2009
Karan Johar,210,128,81,Jimmy Shergill,8000,4018695,Adventure|Drama|Thriller,My Name Is Khan ,69759,8532,Christopher B. Duncan,airport|asperger's syndrome|autism|muslim|racial profiling,http://www.imdb.com/title/tt1188996/?ref_=fn_tt_tt_1,235,Hindi,India,12000000,2010
Herbert Ross,60,107,304,Chris Penn,967,80000000,Drama|Music|Romance,Footloose ,51459,1962,Lori Singer,church|cowboy boots|dancing|high school dance|teenager,http://www.imdb.com/title/tt0087277/?ref_=fn_tt_tt_1,113,English,USA,8200000,1984
J.C. Chandor,346,106,,,0,6262942,Action|Adventure|Drama,All Is Lost ,59545,0,,boat|container|sea|shipping container|storm,http://www.imdb.com/title/tt2017038/?ref_=fn_tt_tt_1,312,English,USA,9000000,2013
John Sayles,46,126,39,Casey Siemaszko,638,1997807,Adventure|Drama|Thriller,Limbo ,5158,823,Vanessa Martinez,alaska|island|motorboat|singer|wilderness,http://www.imdb.com/title/tt0164085/?ref_=fn_tt_tt_1,140,English,USA,8000000,1999
Vipul Amrutlal Shah,15,128,119,Clive Standen,3000,1207007,Comedy|Drama|Romance,Namastey London ,13577,4004,Riteish Deshmukh,india|london england|marriage|stereotype|sugarcane,http://www.imdb.com/title/tt0795434/?ref_=fn_tt_tt_1,47,Hindi,India,,2007
Ken Loach,169,127,6,Orla Fitzgerald,97,1829142,Drama|War,The Wind That Shakes the Barley ,36846,128,Martin Lucey,civil war|colonialism|hatred|independence|rural ireland,http://www.imdb.com/title/tt0460989/?ref_=fn_tt_tt_1,222,English,Ireland,,2006
Ayan Mukerji,25,160,417,Madhuri Dixit,964,3827466,Comedy|Drama|Musical|Romance,Yeh Jawaani Hai Deewani ,25122,2350,Aditya Roy Kapoor,jealousy|jumping into sea|love|swimming pool|wet clothes,http://www.imdb.com/title/tt2178470/?ref_=fn_tt_tt_1,102,Hindi,India,,2013
John G. Avildsen,81,126,225,William Zabka,668,90800000,Action|Drama|Family|Sport,The Karate Kid ,126916,2004,William Bassett,apartment|bully|fight|karate|master,http://www.imdb.com/title/tt0087538/?ref_=fn_tt_tt_1,235,English,USA,8000000,1984
Mervyn LeRoy,54,171,346,Deborah Kerr,440,,Biography|Drama|History|Romance,Quo Vadis ,9808,1373,Robert Taylor,christian|emperor|general|hostage|nero,http://www.imdb.com/title/tt0043949/?ref_=fn_tt_tt_1,90,English,USA,7623000,1951
Darren Lynn Bousman,147,150,636,Paris Hilton,2000,140244,Horror|Musical|Sci-Fi,Repo! The Genetic Opera ,20419,4168,Paul Sorvino,future|murder|opera|repossession|surgery,http://www.imdb.com/title/tt0963194/?ref_=fn_tt_tt_1,259,English,USA,8500000,2008
Serdar Akar,16,122,173,Bergüzar Korel,205,,Action|Adventure,Valley of the Wolves: Iraq ,14486,808,Ghassan Massoud,abu ghraib|bomb|christian|explosion|iraq,http://www.imdb.com/title/tt0493264/?ref_=fn_tt_tt_1,159,Arabic,Turkey,8300000,2006
Quentin Tarantino,215,178,857,Eric Stoltz,13000,107930000,Crime|Drama,Pulp Fiction ,1324680,16557,Phil LaMarr,black comedy|cunnilingus|neo noir|nonlinear timeline|postmodern,http://www.imdb.com/title/tt0110912/?ref_=fn_tt_tt_1,2195,English,USA,8000000,1994
James Frawley,63,95,842,Jim Henson,1000,76657000,Adventure|Comedy|Family|Musical,The Muppet Movie ,25498,5673,Dom DeLuise,friend|frog leg|on the road|restaurant|the muppets,http://www.imdb.com/title/tt0079588/?ref_=fn_tt_tt_1,92,English,UK,,1979
Dan Gilroy,534,117,85,Michael Papajohn,15000,32279955,Crime|Drama|Thriller,Nightcrawler ,293304,15554,James Huang,employer employee relationship|ethics|journalism|sociopath|tv news,http://www.imdb.com/title/tt2872718/?ref_=fn_tt_tt_1,552,English,USA,8500000,2014
Jay Chandrasekhar,66,119,422,Lindsay Price,861,4992159,Comedy|Horror|Thriller,Club Dread ,23823,3306,Jay Chandrasekhar,beach|island|party|resort|serial killer,http://www.imdb.com/title/tt0331953/?ref_=fn_tt_tt_1,201,English,USA,8550000,2004
Robert Wise,119,174,195,Angela Cartwright,354,163214286,Biography|Drama|Family|Musical|Romance,The Sound of Music ,148172,1495,Nicholas Hammond,austria|children|governess|love|orchestral music score,http://www.imdb.com/title/tt0059742/?ref_=fn_tt_tt_1,406,English,USA,8200000,1965
Ron Howard,43,111,51,Howard Morris,15000,69800000,Comedy|Fantasy|Romance,Splash ,54723,15361,Patrick Cronin,cmnf|cmnf scene|mermaid|new york city|public nudity,http://www.imdb.com/title/tt0088161/?ref_=fn_tt_tt_1,99,English,USA,8000000,1984
Jonathan Dayton,270,101,27,Steven Christopher Parker,7000,59889948,Comedy|Drama,Little Miss Sunshine ,355810,7227,Jill Talley,gay|graduate student|sister sister relationship|sprite|uncle nephew relationship,http://www.imdb.com/title/tt0449059/?ref_=fn_tt_tt_1,889,English,USA,8000000,2006
Rob Reiner,99,89,107,Frances Lee McCain,217,52287414,Adventure|Drama,Stand by Me ,271794,644,Casey Siemaszko,friendship|summertime|treehouse|walking on train tracks|woods,http://www.imdb.com/title/tt0092005/?ref_=fn_tt_tt_1,584,English,USA,8000000,1986
Danny Boyle,224,113,27,Megan Burns,133,45063889,Drama|Horror|Sci-Fi|Thriller,28 Days Later... ,297250,241,David Schneider,laboratory|london england|military|virus|zombie apocalypse,http://www.imdb.com/title/tt0289043/?ref_=fn_tt_tt_1,1441,English,UK,8000000,2002
Chris Stokes,58,95,360,Marques Houston,389,40066497,Drama|Music,You Got Served ,23671,1792,Steve Harvey,competition|dance contest|friend|money|street dancing,http://www.imdb.com/title/tt0365957/?ref_=fn_tt_tt_1,247,English,USA,8000000,2004
Don Siegel,53,112,459,Patrick McGoohan,16000,36500000,Biography|Crime|Drama,Escape from Alcatraz ,87090,17568,Fred Ward,alcatraz|escape|inmate|island|prison,http://www.imdb.com/title/tt0079116/?ref_=fn_tt_tt_1,142,English,USA,8000000,1979
Rick Famuyiwa,37,109,458,Sanaa Lathan,1000,27362712,Comedy|Drama|Music|Romance,Brown Sugar ,5971,3199,Wendell Pierce,basketball|hip hop|rap music|record company|writer,http://www.imdb.com/title/tt0297037/?ref_=fn_tt_tt_1,60,English,USA,8000000,2002
Martin Lawrence,11,108,388,Lynn Whitfield,585,34746109,Comedy|Crime|Drama|Romance|Thriller,A Thin Line Between Love and Hate ,3122,3023,Della Reese,african american|dating|independent film|irreverence|revenge,http://www.imdb.com/title/tt0117891/?ref_=fn_tt_tt_1,14,English,USA,8000000,1996
Jonathan Levine,327,100,3000,Anna Kendrick,23000,34963967,Comedy|Drama|Romance,50/50 ,270441,39807,Bryce Dallas Howard,best friend|cancer|survival rate|therapist|vomiting,http://www.imdb.com/title/tt1306980/?ref_=fn_tt_tt_1,378,English,USA,8000000,2011
Masayuki Ochiai,135,90,297,David Denman,449,25926543,Horror|Mystery|Thriller,Shutter ,26609,1534,Daisy Betts,car accident|japan|newlywed|photograph|photographer,http://www.imdb.com/title/tt0482599/?ref_=fn_tt_tt_1,148,English,USA,8000000,2008
George A. Romero,127,130,602,Hal Holbrook,875,,Comedy|Fantasy|Horror,Creepshow ,29935,2662,Adrienne Barbeau,anthology|child abuse|critically acclaimed|death|grindhouse,http://www.imdb.com/title/tt0083767/?ref_=fn_tt_tt_1,211,English,USA,8000000,1982
Tom Gormican,164,94,117,Lola Glaudini,363,26049082,Comedy|Romance,That Awkward Moment ,76791,1024,Josh Pais,dating|divorce|father daughter relationship|mother daughter relationship|party,http://www.imdb.com/title/tt1800246/?ref_=fn_tt_tt_1,100,English,USA,8000000,2014
Ken Shapiro,14,93,213,Dabney Coleman,484,,Comedy|Fantasy|Sci-Fi,Modern Problems ,3904,1455,Mary Kay Place,air traffic controller|nuclear waste|orgasm|telekinesis|voodoo,http://www.imdb.com/title/tt0082763/?ref_=fn_tt_tt_1,48,English,USA,8000000,1981
Justin Tipping,6,80,102,Natalie Stephany Aguilar,861,,Adventure,Kicks ,59,1279,Justin Hall,,http://www.imdb.com/title/tt4254584/?ref_=fn_tt_tt_1,6,English,USA,,2016
Kenneth Branagh,41,111,591,Denzel Washington,18000,22551000,Comedy|Drama|Romance,Much Ado About Nothing ,37269,37645,Brian Blessed,16th century|bachelor|dishonor|masquerade party|wedding,http://www.imdb.com/title/tt0107616/?ref_=fn_tt_tt_1,165,English,UK,8000000,1993
Peter R. Hunt,143,142,244,George Lazenby,803,22800000,Action|Adventure|Thriller,On Her Majesty's Secret Service ,59941,1769,Desmond Llewelyn,bond girl|british|mission|portugal|switzerland,http://www.imdb.com/title/tt0064757/?ref_=fn_tt_tt_1,452,English,UK,7000000,1969
,9,60,460,Philip Winchester,666,,Action|Crime|Drama|Thriller,The Player             ,5817,4043,Jeff Marlow,bet|friend|pit boss|secret|surveillance,http://www.imdb.com/title/tt4474310/?ref_=fn_tt_tt_1,25,English,USA,,
Wes Craven,109,107,112,Heather Langenkamp,969,18090181,Fantasy|Horror|Mystery|Thriller,New Nightmare ,38191,1775,Tracy Middendorf,earthquake|elm street|freddy krueger|nightmare|sleep,http://www.imdb.com/title/tt0111686/?ref_=fn_tt_tt_1,271,English,USA,8000000,1994
John Schultz,59,91,292,Mark Webber,452,17843379,Comedy|Drama|Romance,Drive Me Crazy ,14904,1760,Keri Lynn Pratt,centennial|girl|next door neighbor|prom|school,http://www.imdb.com/title/tt0164114/?ref_=fn_tt_tt_1,147,English,USA,8000000,1999
Doug Atchison,95,112,268,Sean Michael Afable,876,18811135,Drama,Akeelah and the Bee ,15337,2832,Tzi Ma,national spelling bee|principal|school principal|spelling|spelling bee,http://www.imdb.com/title/tt0437800/?ref_=fn_tt_tt_1,172,English,USA,,2006
Tamra Davis,40,82,475,Harland Williams,744,17278980,Comedy|Crime,Half Baked ,48225,2400,Clarence Williams III,bail|diabetic|friend|jail|pharmaceutical lab,http://www.imdb.com/title/tt0120693/?ref_=fn_tt_tt_1,164,English,USA,8000000,1998
Jonas Elmer,121,97,631,Frances Conroy,24000,16699684,Comedy|Romance,New in Town ,17461,25792,Harry Connick Jr.,love|manufacturing|minnesota|plant|small town,http://www.imdb.com/title/tt1095174/?ref_=fn_tt_tt_1,78,English,USA,8000000,2009
Stephen Gaghan,358,128,414,Amr Waked,13000,50815288,Drama|Thriller,Syriana ,109191,14747,Kayvan Novak,cia|hezbollah|lebanon|oil|prince,http://www.imdb.com/title/tt0365737/?ref_=fn_tt_tt_1,625,English,USA,50000000,2005
Mary Harron,288,102,517,Justin Theroux,23000,15047419,Crime|Drama,American Psycho ,357275,25462,Samantha Mathis,1980s|business card|male rear nudity|materialism|narcissism,http://www.imdb.com/title/tt0144084/?ref_=fn_tt_tt_1,1061,English,USA,7000000,2000
Miguel Arteta,107,93,596,Zooey Deschanel,15000,14015786,Drama|Romance,The Good Girl ,37952,27646,Tim Blake Nelson,dysfunctional marriage|marijuana|small town|store|trying to conceive,http://www.imdb.com/title/tt0279113/?ref_=fn_tt_tt_1,298,English,USA,5000000,2002
Erik Canuel,28,116,50,Richard Howland,539,,Action|Comedy|Crime|Thriller,Bon Cop Bad Cop ,8616,895,Sarain Boylan,border|hockey|killer|police|tattoo,http://www.imdb.com/title/tt0479647/?ref_=fn_tt_tt_1,90,English,Canada,8000000,2006
Troy Duffy,91,138,968,Julie Benz,12000,10269307,Action|Crime|Thriller,The Boondock Saints II: All Saints Day ,53251,17524,Clifton Collins Jr.,final showdown|ireland|justice|priest|sheep,http://www.imdb.com/title/tt1300851/?ref_=fn_tt_tt_1,188,English,USA,8000000,2009
James Ivory,55,117,86,Omar Metwally,471,,Drama|Romance,The City of Your Final Destination ,2311,858,Diego Velazquez,child|student|university|widow|writer,http://www.imdb.com/title/tt0896923/?ref_=fn_tt_tt_1,25,English,USA,8300000,2009
Nicole Holofcener,231,93,216,Ben Falcone,434,17536788,Comedy|Drama|Romance,Enough Said ,49240,1183,Michaela Watkins,dating|divorcee|ex husband|ex wife|party,http://www.imdb.com/title/tt2390361/?ref_=fn_tt_tt_1,142,English,USA,8000000,2013
Will Gluck,262,92,424,Dan Byrd,15000,58401464,Comedy|Romance,Easy A ,276746,16982,Fred Armisen,gay|gay interest|high school|school|student,http://www.imdb.com/title/tt1282140/?ref_=fn_tt_tt_1,264,English,USA,8000000,2010
Matty Rich,7,110,582,Joe Morton,851,8880705,Comedy|Drama|Romance,The Inkwell ,1103,3293,Larenz Tate,fire|marriage|martha's vineyard|teenager|vacation,http://www.imdb.com/title/tt0110137/?ref_=fn_tt_tt_1,11,English,USA,,1994
E. Elias Merhige,196,92,306,Udo Kier,776,8279017,Drama|Horror,Shadow of the Vampire ,34191,1761,Catherine McCormack,actor|breasts|film actress|nosferatu|vampire,http://www.imdb.com/title/tt0189998/?ref_=fn_tt_tt_1,339,English,UK,8000000,2000
Joe Nussbaum,83,104,741,Thomas McDonell,1000,10106233,Comedy|Drama,Prom ,12702,5190,Aimee Teegarden,decoration|father daughter relationship|high school|prom|teenager,http://www.imdb.com/title/tt1604171/?ref_=fn_tt_tt_1,32,English,USA,8000000,2011
Matt Reeves,18,98,636,Michael Rapaport,1000,,Comedy|Romance,The Pallbearer ,6124,3502,Carol Kane,bachelor party|directorial debut|funeral|pallbearer|wedding,http://www.imdb.com/title/tt0117283/?ref_=fn_tt_tt_1,55,English,USA,8000000,1996
Steve Rash,11,89,660,Nia Long,883,4692814,Comedy,Held Up ,2870,3291,Jake Busey,hold up|hostage|stockholm syndrome|swat team|vegetarian,http://www.imdb.com/title/tt0165831/?ref_=fn_tt_tt_1,34,English,USA,8000000,1999
Fina Torres,72,92,417,John de Lancie,1000,5018450,Comedy|Fantasy|Romance,Woman on Top ,8546,2687,Mark Feuerstein,cross dresser|food|friend|motion sickness|restaurant,http://www.imdb.com/title/tt0206420/?ref_=fn_tt_tt_1,86,English,USA,8000000,2000
James Ivory,51,140,136,Vanessa Redgrave,12000,25967000,Drama|Romance,Howards End ,21254,13180,Samuel West,england|friendship|prejudice|upper class|working class,http://www.imdb.com/title/tt0104454/?ref_=fn_tt_tt_1,86,English,UK,,1992
,18,60,648,Joseph Gilgun,3000,,Adventure|Drama|Fantasy|Mystery,Preacher             ,22848,6034,Ruth Negga,heaven and hell|preacher|supernatural|vampire|vertigo comics,http://www.imdb.com/title/tt5016504/?ref_=fn_tt_tt_1,85,English,,,
Duke Johnson,328,90,0,Tom Noonan,1000,3442820,Animation|Comedy|Drama|Romance,Anomalisa ,31489,1442,David Thewlis,full frontal male nudity|hotel room|multiple characters voiced by same person|one night stand|sex in hotel room,http://www.imdb.com/title/tt2401878/?ref_=fn_tt_tt_1,140,English,USA,8000000,2015
Mike Leigh,248,129,386,Imelda Staunton,1000,3205244,Comedy|Drama,Another Year ,23629,2265,Phil Davis,autumn|four seasons|friend|looking at one's self in a mirror|unhappiness,http://www.imdb.com/title/tt1431181/?ref_=fn_tt_tt_1,141,English,UK,10000000,2010
François Ozon,128,111,569,Isabelle Huppert,963,3076425,Comedy|Crime|Musical|Romance,8 Women ,23660,3543,Emmanuelle Béart,cook|industrialist|secret|snowstorm|suspect,http://www.imdb.com/title/tt0283832/?ref_=fn_tt_tt_1,162,French,France,8000000,2002
Mark L. Lester,45,79,112,Tia Carrere,1000,2275557,Action|Comedy|Crime|Thriller,Showdown in Little Tokyo ,12561,2404,Vernee Watson,bare chested male|detective|electric torture|japanese american|yakuza,http://www.imdb.com/title/tt0102915/?ref_=fn_tt_tt_1,102,English,USA,8000000,1991
David Dobkin,49,104,168,Vince Vieluf,1000,1789892,Comedy|Crime,Clay Pigeons ,9494,1795,Kevin Rahm,breasts|serial killer|small town|vomiting|widow,http://www.imdb.com/title/tt0118863/?ref_=fn_tt_tt_1,109,English,Germany,8000000,1998
Anna Boden,163,101,472,Jeremy Davies,943,6350058,Comedy|Drama|Romance,It's Kind of a Funny Story ,106098,2786,Jim Gaffigan,based on novel|depression|psychiatric ward|suicide attempt|therapy,http://www.imdb.com/title/tt0804497/?ref_=fn_tt_tt_1,150,English,USA,8000000,2010
Nigel Cole,163,113,594,Robbie Kay,5000,1094798,Biography|Comedy|Drama|History,Made in Dagenham ,11158,7692,Sally Hawkins,equal pay|machinist|minister|protest|sex,http://www.imdb.com/title/tt1371155/?ref_=fn_tt_tt_1,73,English,UK,7200000,2010
Anand Tucker,90,92,291,Jim Broadbent,14000,1071240,Biography|Drama,When Did You Last See Your Father? ,3571,15848,Gina McKee,cancer|children|death|terminal cancer|time,http://www.imdb.com/title/tt0829098/?ref_=fn_tt_tt_1,34,English,UK,8000000,2007
Steve James,23,106,200,Laurel Holloman,1000,532190,Biography|Drama|Romance|Sport,Prefontaine ,5673,1610,Amy Locane,long distance runner|olympics|oregon|runner|watching television,http://www.imdb.com/title/tt0119937/?ref_=fn_tt_tt_1,37,English,USA,8000000,1997
Michael Winner,17,98,249,Marina Sirtis,977,,Adventure|Drama,The Wicked Lady ,802,2413,John Gielgud,female nudity|highwayman|nell gwynne|nudity|whipping,http://www.imdb.com/title/tt0086582/?ref_=fn_tt_tt_1,15,English,UK,8000000,1983
Tomm Moore,118,75,4,Mick Lally,61,686383,Adventure|Animation|Family|Fantasy,The Secret of Kells ,22811,75,Evan McGuire,barbarian|fairy|forest|monastery|unfinished book,http://www.imdb.com/title/tt0485601/?ref_=fn_tt_tt_1,71,English,France,6500000,2009
John Carney,283,104,7,Karen Pittman,480,16168741,Drama|Music,Begin Again ,99430,517,Mary Catherine Garrison,manhattan new york city|new york city|record label|singer|song,http://www.imdb.com/title/tt1980929/?ref_=fn_tt_tt_1,182,English,USA,8000000,2013
David Jacobson,74,108,710,Bruce Dern,2000,568695,Drama|Romance|Thriller,Down in the Valley ,16617,3921,Rory Culkin,beach|cowboy|cowboy hat|neo western|valley,http://www.imdb.com/title/tt0398027/?ref_=fn_tt_tt_1,110,English,USA,8000000,2005
Michael Corrente,41,99,209,Tony Devon,480,398420,Crime|Drama,Brooklyn Rules ,5049,1234,Alexa Havins,1980s|friend|friendship|loyalty|mafia,http://www.imdb.com/title/tt0283503/?ref_=fn_tt_tt_1,48,English,USA,8000000,2007
Edward Hall,17,180,844,Hayley Atwell,3000,,Drama|Romance,Restless ,2098,6343,Charlotte Rampling,espionage|motel|mother son relationship|murder disguised as suicide|shot in the head,http://www.imdb.com/title/tt2241676/?ref_=fn_tt_tt_1,12,English,UK,,2012
Keith Gordon,66,109,1000,Robin Wright,21000,336456,Comedy|Crime|Musical|Mystery,The Singing Detective ,7116,41645,Alfre Woodard,detective|detective novel|fantasy sequence|hallucination|writer,http://www.imdb.com/title/tt0314676/?ref_=fn_tt_tt_1,79,English,USA,8000000,2003
David Leland,36,111,227,Catherine McCormack,735,146083,Drama|Romance|War,The Land Girls ,1591,1378,Steven Mackintosh,dorset|farm|friend|love|women's land army,http://www.imdb.com/title/tt0119494/?ref_=fn_tt_tt_1,27,English,UK,,1998
Andrew Currie,140,93,33,Henry Czerny,553,298110,Comedy|Drama|Horror|Sci-Fi,Fido ,25055,786,Kesun Loder,decapitation|neighbor|neighborhood|next door neighbor|zombie,http://www.imdb.com/title/tt0457572/?ref_=fn_tt_tt_1,98,English,Canada,8000000,2006
Andrew Wilson,32,99,399,Eddie Griffin,8000,127144,Comedy|Drama|Romance,The Wendell Baker Story ,5159,9608,Jacob Vargas,directorial debut|fantasy sequence|nurse|old age home|prison,http://www.imdb.com/title/tt0373445/?ref_=fn_tt_tt_1,27,English,USA,8000000,2005
Jonathan Lynn,68,98,405,Rupert Everett,10000,117190,Action|Comedy|Crime,Wild Target ,29994,11770,Geoff Bell,apprentice|assassin|hitman|kleptomaniac|thief,http://www.imdb.com/title/tt1235189/?ref_=fn_tt_tt_1,86,English,UK,8000000,2010
Marc Schölermann,79,95,448,Larry Drake,905,108662,Crime|Horror|Thriller,Pathology ,26849,3185,Johnny Whitworth,corpse|dark humor|medical school|murder|pathology,http://www.imdb.com/title/tt0964539/?ref_=fn_tt_tt_1,107,English,USA,8000000,2008
,9,142,427,Jack O'Connell,27000,,Drama|Romance,Wuthering Heights             ,6053,29196,Kevin McNally,abuse|love|moor the landscape|revenge|tv mini series,http://www.imdb.com/title/tt1238834/?ref_=fn_tt_tt_1,33,English,UK,,
Robert Moresco,26,107,463,Brad Renfro,954,53481,Crime|Drama|Thriller,10th & Wolf ,5557,2512,Dash Mihok,desert storm|fbi|fbi agent|fragmentation grenade|woman kills attacker,http://www.imdb.com/title/tt0360323/?ref_=fn_tt_tt_1,34,English,USA,8000000,2006
Thomas Vinterberg,100,102,488,Chris Owen,947,23106,Comedy|Crime|Drama|Romance,Dear Wendy ,9003,2572,William Hootkins,gang|gun|loner|love|outcast,http://www.imdb.com/title/tt0342272/?ref_=fn_tt_tt_1,58,English,Italy,50000000,2004
