duration,director_facebook_likes,actor_3_facebook_likes,genres,num_voted_users,facenumber_in_poster,plot_keywords,num_user_for_reviews,country,title_year,actor_2_facebook_likes,imdb_score
130,14000,366,Adventure|Drama|Thriller,412454,0,beach|blockbuster|fishing|great white shark|shark,962,USA,1975,559,8.0
95,80,1000,Comedy,315549,6,1990s|first love|milf|prom|virginity,789,USA,1999,1000,7.0
80,2,186,Animation|Comedy|Crime|Drama|Family,12029,0,bear|dentist|friendship|mouse|prejudice,32,France,2012,637,7.9
94,23,148,Action|Adventure|Comedy|Fantasy|Mystery,39798,1,boy|child|chosen one|demon|detective,69,USA,1986,255,5.9
122,167,807,Comedy|Romance,34579,8,advice|black romance|hip hop|reading a book|sex scene,62,USA,2012,966,6.6
102,167,436,Comedy|Drama,22147,0,barber|barbershop|blaxploitation|loan shark|theft,156,USA,2002,528,6.3
116,120,664,Action|Adventure|Sci-Fi,91414,2,jamming communications|planet|space station|taunt|trap,359,USA,1982,980,7.7
78,293,567,Comedy,216486,1,detective|dolphin|mascot|nudity|stupidity,242,USA,1994,595,6.9
114,139,793,Sci-Fi|Thriller,71842,0,computer|game|high school|norad|teenager,152,USA,1983,883,7.1
112,608,733,Crime|Drama|Romance|Thriller,66966,1,amish|love|murder|police|train,175,USA,1985,10000,7.4
110,16,11,Action|Adventure|Drama|Thriller|War,57996,0,mission|navy seal|terrorist|torture|valor,349,USA,2012,17,6.5
104,98,920,Crime|Drama|Music|Romance,90938,0,dance|dancer|school|showcase|student,271,USA,2006,2000,6.5
81,406,616,Adventure|Animation|Comedy|Crime,42892,0,beavis and butt head|fbi|score|television|television set,154,USA,1996,2000,6.8
154,16000,889,Crime|Thriller,239540,5,arms dealer|atf|bail|money|multiple perspectives,462,USA,1997,1000,7.5
102,22,816,Adventure|Comedy,113918,2,bong|escape|ex girlfriend|guantanamo bay|texas,165,USA,2008,954,6.6
89,128,371,Drama|Sci-Fi|Thriller,204327,0,found footage|high school|subjective camera|teen angst|troubled teen,471,USA,2012,465,7.1
132,0,122,Drama|Musical|Romance,9503,1,love|study|talmud|wedding|yeshiva,68,UK,1983,194,6.6
103,0,504,Adventure|Comedy|Fantasy|Sci-Fi,45890,0,cult director|dwarf|robin hood|satire|treasure,177,UK,1981,561,7.0
93,33,135,Comedy|Drama,34219,1,audition|friendship|graduation|high school graduation|love,578,USA,2002,188,3.3
93,166,281,Comedy|Crime,157051,0,birthday party|high school|high school senior|millennial generation|party,261,USA,2012,329,6.7
172,76,78,Biography|Drama|War,76398,0,allies|dead soldier|destiny|general|tank,258,USA,1970,416,8.0
96,132,933,Drama|Thriller,97938,0,insanity|photo lab|photo shop|photography|voyeur,605,USA,2002,989,6.8
89,66,1000,Horror|Sci-Fi|Thriller,57446,0,apartment building|found footage|television|trapped|virus,369,USA,2008,1000,6.0
92,0,451,Horror|Mystery,44130,1,cellular memory|eye|eye transplant|seeing dead people|violinist,156,USA,2008,527,5.4
97,4,826,Comedy,5928,5,cross country|cross country trip|highway travel|on the road|road movie,49,USA,2004,1000,4.3
93,58,722,Comedy|Fantasy,42644,2,college|drugs|harvard|pot|smoke,102,USA,2001,729,6.2
89,53,84,Comedy|Drama|Family|Fantasy|Musical,33850,0,christmas|christmas eve|miser|muppet|scrooge,147,USA,1992,94,7.7
144,258,834,Action|Adventure|Thriller,470501,1,casino|espionage|free running|james bond|terrorist,2301,UK,2006,1000,8.0
123,278,898,Biography|Drama|Romance,61651,0,art|bisexual|marriage|pain|revolutionary,271,USA,2002,1000,7.4
93,4,8,Documentary|Music,12383,0,female protagonist|reference to britney spears|singer|song|world tour,50,USA,2012,9,5.9
133,131,733,Drama|Romance,249688,0,cancer|falling in love|friendship|novel|teenager,548,USA,2014,1000,7.8
121,131,599,Crime|Drama,121676,2,breasts|cult film|loan shark|poker|reference to christy turlington,290,USA,1998,940,7.4
102,0,555,Comedy|Romance,21672,10,bare breasts|celebrity|in medias res|reference to planet of the apes|sex talk,93,USA,2014,966,6.5
102,287,79,Horror|Sci-Fi,3000,1,cabin|monster|monster movie|paper mill|pollution,75,USA,1979,122,5.4
99,192,282,Horror|Mystery|Thriller,62468,0,disappearance|hearing voices|hypnosis|post hypnotic suggestion|seeing a ghost,374,USA,1999,301,7.0
55,,898,Action|Adventure|Biography|Drama|History,173172,2,female frontal nudity|female full frontal nudity|gladiator|group sex|slave girl,302,USA,,939,8.6
98,350,322,Biography|Drama,76094,2,catholic|convent|gay love|gay relationship|irish adoption board,233,UK,2013,482,7.6
118,57,805,Comedy|Drama,19007,1,anger|baseball|drinking|radio|secretary,219,USA,2005,931,6.9
125,76,801,Drama|Thriller,20660,3,1970s|jew|nazi|nazi hunter|paraguay,123,UK,1978,837,7.0
104,20,717,Comedy|Family|Fantasy|Romance,30462,3,beach|love|mermaid|storm|swimming,150,USA,2006,826,5.3
109,14,376,Drama|Mystery|Romance,63390,2,based on novel|female neighbor|friendship|travel|trip,160,USA,2015,558,6.4
86,17,581,Comedy,3119,5,animal costume|break up|fatherhood|rapper|talking baby,18,USA,2004,691,4.5
115,729,622,Adventure|Comedy|Drama,91082,0,aging|billings montana|lincoln nebraska|nebraska|pickup truck,274,USA,2013,844,7.8
92,226,580,Action|Fantasy|Horror|Thriller,16646,1,blood|blood of christ|demon|key|loud sex,104,USA,1995,851,6.7
91,25,611,Comedy|Crime|Family,5794,0,bully|moving|principal|revenge|school,69,USA,2001,626,5.3
94,655,390,Comedy|Drama,64682,1,car damage|computer printer|female band|fingernail polish|narcissism,203,USA,2011,786,6.3
93,83,501,Action|Crime|Thriller,196422,1,assassin|cult film|doctor|heart|poison,444,USA,2006,725,7.0
93,3,324,Comedy,2301,2,breaking the fourth wall|doorman|friend|party|sex,15,USA,1997,560,5.3
