director_name,num_critic_for_reviews,director_facebook_likes,actor_2_name,genres,actor_1_name,num_voted_users,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,language,country,budget,title_year,imdb_score,movie_facebook_likes
Richard Kelly,287,219,Gillian Jacobs,Drama|Fantasy|Mystery|Thriller,Frank Langella,76303,Celia Weston,1,alien|library|moral dilemma|nosebleed|supernatural power,http://www.imdb.com/title/tt0362478/?ref_=fn_tt_tt_1,English,USA,16000000,2009,5.6,0
Carter Smith,233,27,Jonathan Tucker,Horror,Laura Ramsey,60062,Sergio Calderón,0,bow and arrow|group of friends|horse|rifle|ruins,http://www.imdb.com/title/tt0963794/?ref_=fn_tt_tt_1,English,USA,8000000,2008,5.9,0
John Schlesinger,86,154,Rupert Everett,Comedy|Drama|Romance,Mark Valley,9361,Illeana Douglas,1,best friend|cartoon on tv|custody battle|gay|gay friend,http://www.imdb.com/title/tt0156841/?ref_=fn_tt_tt_1,English,USA,25000000,2000,4.7,378
Wes Craven,160,0,Emily Meade,Horror|Mystery|Thriller,Frank Grillo,16411,Zena Grey,2,evil|killer|murder|psychopath|serial killer,http://www.imdb.com/title/tt0872230/?ref_=fn_tt_tt_1,English,USA,25000000,2010,4.8,0
Luke Greenfield,126,42,Timothy Bottoms,Comedy|Drama|Romance,Chris Marquette,171151,Jacob Young,2,forced to strip|male rear nudity|porn actress|scantily clad female|teenager,http://www.imdb.com/title/tt0265208/?ref_=fn_tt_tt_1,English,USA,25000000,2004,6.8,0
Ringo Lam,50,17,Zach Grenier,Action|Crime|Mystery|Romance|Thriller,Natasha Henstridge,15814,Paul Ben-Victor,1,fbi|fbi agent|mafia|russian mafia|twin,http://www.imdb.com/title/tt0117011/?ref_=fn_tt_tt_1,English,USA,25000000,1996,5.4,503
Bruce McCulloch,52,54,Megan Mullally,Comedy|Crime,Martin Starr,11211,Chris Penn,1,black humor|crying during sex|harvard|humor|man with glasses,http://www.imdb.com/title/tt0265808/?ref_=fn_tt_tt_1,English,USA,25000000,2002,5.1,215
Brian Helgeland,260,241,Paul Anderson,Biography|Crime|Drama|History|Thriller,Tom Hardy,87682,Tara Fitzgerald,2,1960s|based on a true story|gangster|identical twins|murder,http://www.imdb.com/title/tt3569230/?ref_=fn_tt_tt_1,English,UK,30000000,2015,7.0,43000
Akiva Schaffer,111,82,Jorma Taccone,Comedy,Sissy Spacek,59900,Chris Parnell,5,humiliation|man child|moped|neighbor|slacker,http://www.imdb.com/title/tt0787475/?ref_=fn_tt_tt_1,English,USA,,2007,6.7,0
David R. Ellis,231,160,Joel David Moore,Horror|Thriller,Chris Zylka,20823,Katharine McPhee,0,lake|louisiana|redneck|shark|vacation,http://www.imdb.com/title/tt1633356/?ref_=fn_tt_tt_1,English,USA,25000000,2011,4.0,0
Alan Parker,99,317,Devon Murray,Drama,Emily Watson,16995,Pauline McLynn,1,drink|ira|irish|limerick|prejudice,http://www.imdb.com/title/tt0145653/?ref_=fn_tt_tt_1,English,USA,25000000,1999,7.3,0
Ivan Reitman,159,425,Chi McBride,Drama|Sport,Jennifer Garner,39357,Patrick St. Esprit,1,cleveland browns|head coach|linebacker|nfl|team owner,http://www.imdb.com/title/tt2223990/?ref_=fn_tt_tt_1,English,USA,25000000,2014,6.8,14000
Tobe Hooper,159,365,Steve Railsback,Action|Horror|Sci-Fi|Thriller,Frank Finlay,15531,Peter Firth,0,alien|halleys comet|life force|space vampire|vampire,http://www.imdb.com/title/tt0089489/?ref_=fn_tt_tt_1,English,UK,25000000,1985,6.1,0
,7,,Jennifer Hale,Action|Animation|Comedy|Family|Fantasy|Sci-Fi,Elizabeth Daily,23664,Tom Kane,0,campy|castle thunder|female hero|female protagonist|monster,http://www.imdb.com/title/tt0175058/?ref_=fn_tt_tt_1,English,USA,,,7.2,581
Robert Redford,199,0,Tom Wilkinson,Crime|Drama|History,Robin Wright,23696,Stephen Root,0,john wilkes booth|lawyer|lincoln assassination|trial|truth,http://www.imdb.com/title/tt0968264/?ref_=fn_tt_tt_1,English,USA,25000000,2010,7.0,0
Catherine Hardwicke,119,308,Michael Angarano,Biography|Drama|Sport,Heath Ledger,43903,Rebecca De Mornay,0,1970s|skateboarder|skateboarding|surf|swimming pool,http://www.imdb.com/title/tt0355702/?ref_=fn_tt_tt_1,English,USA,25000000,2005,7.1,5000
Patricia Riggen,120,36,James Brolin,Biography|Drama|History,Marco Treviño,21098,Jacob Vargas,7,disaster movie|mine|minister|president|trapped in a mine,http://www.imdb.com/title/tt2006295/?ref_=fn_tt_tt_1,English,Chile,26000000,2015,6.9,0
John Carpenter,180,0,Kate Burton,Action|Adventure|Comedy|Fantasy,Victor Wong,92464,Peter Kwong,1,1980s|airport|cb radio|truck|truck driver,http://www.imdb.com/title/tt0090728/?ref_=fn_tt_tt_1,English,USA,25000000,1986,7.3,19000
Pascal Chaumeil,58,8,Malonn Lévana,Comedy|Romance,Dany Boon,5525,Alice Pol,2,curse|divorce|marriage|tourism|travel,http://www.imdb.com/title/tt1986843/?ref_=fn_tt_tt_1,French,France,17000000,2012,6.3,853
Gavin O'Connor,317,149,Frank Grillo,Drama|Sport,Tom Hardy,332276,Kevin Dunn,1,alcoholic|mixed martial arts|return home|tournament|underdog,http://www.imdb.com/title/tt1291584/?ref_=fn_tt_tt_1,English,USA,25000000,2011,8.2,77000
Neil Jordan,44,277,Liam Neeson,Biography|Drama|Thriller|War,Alan Rickman,24145,Julia Roberts,2,ireland|irish|irish civil war|irish free state|sinn fein,http://www.imdb.com/title/tt0117039/?ref_=fn_tt_tt_1,English,UK,28000000,1996,7.1,0
Ron Maxwell,22,33,William Morgan Sheppard,Drama|History|War,Tom Berenger,21940,James Patrick Stuart,0,american civil war|battle|blood splatter|civil war|irish american,http://www.imdb.com/title/tt0107007/?ref_=fn_tt_tt_1,English,USA,25000000,1993,7.7,0
Kimberly Peirce,143,108,Channing Tatum,Drama|War,Joseph Gordon-Levitt,17757,Abbie Cornish,2,friendship|honor|iraq war|soldier|texas,http://www.imdb.com/title/tt0489281/?ref_=fn_tt_tt_1,English,USA,25000000,2008,6.5,982
Stephen Gaghan,72,79,Zooey Deschanel,Drama|Music|Mystery|Romance|Thriller,Charlie Hunnam,7909,Tony Goldwyn,3,college|detective|disappearance|police detective|thesis,http://www.imdb.com/title/tt0267248/?ref_=fn_tt_tt_1,English,USA,25000000,2002,4.9,261
Jonathan Kaplan,70,57,Tom Amandes,Drama|Mystery|Thriller,John Doe,18693,Daniel Lapaine,0,bangkok|friend|lawyer|smuggling|thailand,http://www.imdb.com/title/tt0120620/?ref_=fn_tt_tt_1,English,USA,25000000,1999,6.4,0
Ole Bornedal,264,30,Madison Davenport,Horror|Thriller,Kyra Sedgwick,47169,Natasha Calis,0,basketball coach|box|jewish|rabbi|yard sale,http://www.imdb.com/title/tt0431021/?ref_=fn_tt_tt_1,English,USA,14000000,2012,5.9,17000
Richard Benjamin,20,121,Jane Krakowski,Comedy|Drama|Romance,Brendan Fraser,5668,Cathryn de Prume,3,love|train|train wreck|twin brother|two word title,http://www.imdb.com/title/tt0117104/?ref_=fn_tt_tt_1,English,USA,25000000,1996,6.2,491
Rod Lurie,190,37,Laz Alonso,Action|Drama|Thriller,Alexander Skarsgård,27117,Rhys Coiro,1,gang rape|panties pulled down|rape|rape victim|sexual humiliation,http://www.imdb.com/title/tt0999913/?ref_=fn_tt_tt_1,English,USA,25000000,2011,5.8,7000
Lasse Hallström,142,529,Christopher Evan Welch,Comedy|Drama,Hope Davis,14581,James Biberi,0,book|fabrication|fake|hoax|manuscript,http://www.imdb.com/title/tt0462338/?ref_=fn_tt_tt_1,English,USA,25000000,2006,6.7,348
Craig R. Baxley,27,22,Sam McMurray,Action|Crime|Drama|Thriller,Brian Bosworth,4972,Richard Gant,1,biker|biker gang|fbi|mississippi|undercover,http://www.imdb.com/title/tt0102984/?ref_=fn_tt_tt_1,English,USA,17000000,1991,5.9,0
John Hillcoat,355,214,Charlize Theron,Adventure|Drama,Viggo Mortensen,177401,Robert Duvall,2,apocalypse|boy|food|pistol|survival,http://www.imdb.com/title/tt0898367/?ref_=fn_tt_tt_1,English,USA,25000000,2009,7.3,32000
John Guillermin,21,71,Donovan Scott,Adventure|Fantasy,Tanya Roberts,3334,Ted Wass,1,chimpanzee|elephant|jungle|mercenary|shaman,http://www.imdb.com/title/tt0088103/?ref_=fn_tt_tt_1,English,UK,25000000,1984,4.8,739
Marcos Siega,31,32,Nick Cannon,Action|Comedy|Crime|Drama|Thriller,Cheech Marin,4875,Kaylee DeFer,3,police|private school|shootout|undercover|wigger,http://www.imdb.com/title/tt0373416/?ref_=fn_tt_tt_1,English,USA,25000000,2005,4.1,206
J.B. Rogers,87,6,Chris Klein,Comedy|Romance,Eddie Cibrian,11375,Jack Plotnick,2,bestiality|brother sister incest|fisting|hit on the head with a pipe|wedding,http://www.imdb.com/title/tt0239949/?ref_=fn_tt_tt_1,English,USA,25000000,2001,4.9,295
Roger Donaldson,126,79,Antony Starr,Biography|Drama|Sport,Anthony Hopkins,44198,Craig Hall,1,mortgage|motorcycle|speed|trailer|utah,http://www.imdb.com/title/tt0412080/?ref_=fn_tt_tt_1,English,New Zealand,25000000,2005,7.9,11000
David R. Ellis,285,160,Kenan Thompson,Action|Adventure|Crime|Drama|Thriller,Lin Shaye,115650,Rachel Blanchard,0,baby rattle|famous line|murder|passenger|snake,http://www.imdb.com/title/tt0417148/?ref_=fn_tt_tt_1,English,Germany,33000000,2006,5.6,4000
Rachel Talalay,60,54,Lori Petty,Action|Comedy|Sci-Fi,Naomi Watts,24790,Jeff Kober,0,2030s|21st century|desert|jet|tank,http://www.imdb.com/title/tt0114614/?ref_=fn_tt_tt_1,English,USA,25000000,1995,5.2,0
Jeffrey W. Byrd,23,2,Loretta Devine,Comedy|Crime,Donald Faison,3229,Regina Hall,7,hit in the crotch|kidnapping|nail gun|police|release from prison,http://www.imdb.com/title/tt0388183/?ref_=fn_tt_tt_1,English,USA,15000000,2005,4.1,83
Fernando Meirelles,229,353,Joe Pingue,Drama|Mystery|Sci-Fi|Thriller,Don McKellar,59462,Yûsuke Iseya,0,blindness|epidemic|hospital|pubic hair|quarantine,http://www.imdb.com/title/tt0861689/?ref_=fn_tt_tt_1,English,Canada,25000000,2008,6.6,0
Uwe Boll,143,892,Udo Kier,Action|Adventure|Fantasy|Horror,Meat Loaf,30628,Michael Paré,2,escape|half human|king|vampire|vampire hunter,http://www.imdb.com/title/tt0383222/?ref_=fn_tt_tt_1,English,USA,25000000,2005,2.9,937
Roman Polanski,376,2000,Christoph Waltz,Comedy|Drama,Kate Winslet,96480,Julie Adams,3,based on play|meeting|salesman|single set production|whiskey,http://www.imdb.com/title/tt1692486/?ref_=fn_tt_tt_1,English,France,25000000,2011,7.2,21000
Atom Egoyan,97,460,Alison Lohman,Crime|Drama|Mystery|Thriller,Colin Firth,14982,Rachel Blanchard,2,breasts|death|female rear nudity|lesbian cunnilingus|rear entry sex,http://www.imdb.com/title/tt0373450/?ref_=fn_tt_tt_1,English,Canada,25000000,2005,6.5,507
Andrew Adamson,73,80,Erica Linz,Fantasy,Dallas Barnett,7100,Igor Zaripov,0,aerialist|circus|cirque du soleil|clown|surrealism,http://www.imdb.com/title/tt1792647/?ref_=fn_tt_tt_1,English,USA,,2012,6.8,0
Robert Towne,28,162,Monica Potter,Biography|Drama|Sport,Billy Burke,5841,Billy Crudup,0,car crash|coach|death|oregon|university of oregon,http://www.imdb.com/title/tt0119934/?ref_=fn_tt_tt_1,English,USA,25000000,1998,7.2,942
Richard Linklater,160,0,Aidan McArdle,Drama,Zoe Kazan,9264,James Tupper,3,high school|mercury theatre|opening night|school|theatre,http://www.imdb.com/title/tt1175506/?ref_=fn_tt_tt_1,English,UK,25000000,2008,6.8,0
Giuseppe Tornatore,124,911,Sean Buchanan,Crime|Drama|Mystery|Romance,Jim Sturgess,69676,Liya Kebede,2,antique|art|heiress|older man younger woman relationship|plot twist,http://www.imdb.com/title/tt1924396/?ref_=fn_tt_tt_1,English,Italy,13500000,2013,7.8,31000
Werner Herzog,280,0,Shea Whigham,Crime|Drama,Nicolas Cage,64944,Shawn Hatosy,2,drugs|flood|hallucination|lieutenant|murder investigation,http://www.imdb.com/title/tt1095217/?ref_=fn_tt_tt_1,English,USA,20000000,2009,6.7,6000
Ben Stassen,56,4,Jenny McCarthy,Adventure|Animation|Family,Ed Begley Jr.,5385,Stacy Keach,2,apostrophe in title|character name in title|punctuation in title|sea turtle,http://www.imdb.com/title/tt1230204/?ref_=fn_tt_tt_1,English,France,,2010,6.1,0
Guillaume Canet,118,0,Benoît Magimel,Comedy|Drama,François Cluzet,18395,Gilles Lellouche,6,friend|restaurant|secret|unrequited love|vacation,http://www.imdb.com/title/tt1440232/?ref_=fn_tt_tt_1,French,France,25000000,2010,7.1,0
Taylor Hackford,49,138,Bai Ling,Comedy|Drama|Romance|Sport,Scout Taylor-Compton,2395,Gil Birmingham,9,argentine|brothel|cancer|female full frontal nudity|fight,http://www.imdb.com/title/tt1125929/?ref_=fn_tt_tt_1,English,USA,25000000,2010,5.7,636
Jérôme Deschamps,4,0,André Wilms,Adventure|Animation|Comedy,Yolande Moreau,753,Jérôme Deschamps,0,cartoon cat|cat|character name in title|puss in boots|surrealism,http://www.imdb.com/title/tt1239462/?ref_=fn_tt_tt_1,English,France,25000000,2009,2.9,90
Inna Evlannikova,16,0,Evgeniy Mironov,Adventure|Animation|Comedy|Family,Sergey Garmash,891,Aleksandr Bashirov,0,dog|flea|meteor|space|space dog,http://www.imdb.com/title/tt1272051/?ref_=fn_tt_tt_1,Russian,Russia,25000000,2010,5.2,200
Ridley Scott,336,0,Brad Pitt,Crime|Drama|Thriller,Michael Fassbender,80861,Goran Visnjic,4,cunnilingus|drug trafficking|lawyer|no panties|shootout,http://www.imdb.com/title/tt2193215/?ref_=fn_tt_tt_1,English,USA,25000000,2013,5.3,24000
Jonathan English,91,9,Mackenzie Crook,Action|Adventure|History|Romance,Jason Flemyng,34338,Derek Jacobi,2,castle|england|king|knight|templar,http://www.imdb.com/title/tt1233301/?ref_=fn_tt_tt_1,English,UK,25000000,2011,6.2,0
Sergey Bondarchuk,16,27,Dan O'Herlihy,Action|Drama|History|War,Rod Steiger,5911,Jack Hawkins,2,battle|costume drama|final battle|napoleon|napoleon bonaparte,http://www.imdb.com/title/tt0066549/?ref_=fn_tt_tt_1,English,Italy,25000000,1970,7.3,690
Teddy Chan,65,3,Charlie Yeung,Action|Drama,Siu-Wong Fan,5900,Wai-Keung Lau,2,fight|kung fu|martial arts|police|wire fu,http://www.imdb.com/title/tt2952602/?ref_=fn_tt_tt_1,Cantonese,China,25000000,2014,6.5,0
Mario Van Peebles,7,535,Mario Van Peebles,Action|Thriller,Martin Kove,1084,Jacob Vargas,0,exploding airplane|fighter pilot|hands tied|held at gunpoint|military,http://www.imdb.com/title/tt1946381/?ref_=fn_tt_tt_1,English,USA,25000000,2014,4.1,437
Stephen Frears,51,350,Peter Capaldi,Drama|Romance,Keanu Reeves,52846,Swoosie Kurtz,2,catholic|corruption|emotional abuse|france|seduction,http://www.imdb.com/title/tt0094947/?ref_=fn_tt_tt_1,English,USA,14000000,1988,7.7,0
Walter Salles,252,179,Viggo Mortensen,Adventure|Drama,Kristen Stewart,33107,Kirsten Dunst,4,benzedrine|cactus|drugs|poem|year 1949,http://www.imdb.com/title/tt0337692/?ref_=fn_tt_tt_1,English,France,25000000,2012,6.1,27000
Leonard Nimoy,106,12000,Nichelle Nichols,Adventure|Comedy|Sci-Fi,Leonard Nimoy,61621,Walter Koenig,5,alien probe|humpback whales|probe|time travel|whale,http://www.imdb.com/title/tt0092007/?ref_=fn_tt_tt_1,English,USA,25000000,1986,7.3,0
Sylvester Stallone,285,13000,Burt Young,Drama|Sport,Sylvester Stallone,162130,Mike Tyson,0,boxing|fight|heavyweight champion|restaurant|retired boxer,http://www.imdb.com/title/tt0479143/?ref_=fn_tt_tt_1,English,USA,24000000,2006,7.2,0
Ericson Core,163,19,Edgar Ramírez,Action|Crime|Sport|Thriller,Ray Winstone,33958,Delroy Lindo,1,athlete|extreme sports|fbi|fbi agent|heist,http://www.imdb.com/title/tt2058673/?ref_=fn_tt_tt_1,English,USA,105000000,2015,5.3,37000
Wes Craven,195,0,Jada Pinkett Smith,Horror|Mystery,Omar Epps,124941,Kevin Williamson,5,college|ghostface|killer|killing spree|murder,http://www.imdb.com/title/tt0120082/?ref_=fn_tt_tt_1,English,USA,24000000,1997,6.1,0
Gavin O'Connor,123,149,Noah Emmerich,Action|Drama|Western,Natalie Portman,8885,Boyd Holbrook,0,brothel|death of husband|ex lover|haunted by the past|redemption,http://www.imdb.com/title/tt2140037/?ref_=fn_tt_tt_1,English,USA,25000000,2016,5.8,0
Tim Story,52,167,Regina Hall,Comedy|Romance,Romany Malco,15310,David Walton,8,african american|imperative in title|las vegas nevada|nevada|wedding,http://www.imdb.com/title/tt2239832/?ref_=fn_tt_tt_1,English,USA,24000000,2014,5.7,3000
Jonathan Lynn,129,36,Matthew Perry,Comedy|Crime,Bruce Willis,90374,Natasha Henstridge,4,adultery|black humor|dentist|hitman|sex in bed,http://www.imdb.com/title/tt0190138/?ref_=fn_tt_tt_1,English,USA,24000000,2000,6.7,0
Herbert Ross,60,71,Chris Penn,Drama|Music|Romance,Dianne Wiest,51459,Lori Singer,0,church|cowboy boots|dancing|high school dance|teenager,http://www.imdb.com/title/tt0087277/?ref_=fn_tt_tt_1,English,USA,8200000,1984,6.5,0
Todd Phillips,123,480,Leah Remini,Comedy,Will Ferrell,185258,Patrick Fischler,4,college|fraternity|friend|house|party,http://www.imdb.com/title/tt0302886/?ref_=fn_tt_tt_1,English,USA,24000000,2003,7.2,0
Terry Gilliam,84,0,David Hyde Pierce,Comedy|Drama|Fantasy,Jeff Bridges,63274,Harry Shearer,1,friendship|holy grail|massacre|redemption|video store,http://www.imdb.com/title/tt0101889/?ref_=fn_tt_tt_1,English,USA,24000000,1991,7.6,12000
Danny Cannon,125,41,Mekhi Phifer,Horror|Mystery,Muse Watson,55398,Bill Cobbs,2,bahamas|fisherman|hook|island|roommate,http://www.imdb.com/title/tt0130018/?ref_=fn_tt_tt_1,English,USA,24000000,1998,4.6,891
Bonnie Hunt,106,597,Jim Belushi,Comedy|Drama|Romance,Minnie Driver,16469,Bonnie Hunt,1,heart|italian restaurant|restaurant|transplant|waitress,http://www.imdb.com/title/tt0122459/?ref_=fn_tt_tt_1,English,USA,24000000,2000,6.9,0
Kevin Smith,247,0,Jeff Anderson,Comedy|Romance,Gerry Bednob,149835,Jennifer Schwalbach Smith,7,actor|friend|male frontal nudity|male full frontal nudity|penis,http://www.imdb.com/title/tt1007028/?ref_=fn_tt_tt_1,English,USA,24000000,2008,6.6,0
Neil LaBute,156,119,Pruitt Taylor Vince,Comedy|Crime|Drama,Morgan Freeman,30119,Kathleen Wilhoite,4,hospital|kansas city|obsession|salesman|soap opera,http://www.imdb.com/title/tt0171580/?ref_=fn_tt_tt_1,English,Germany,24000000,2000,6.3,455
Grant Heslov,271,293,Jeff Bridges,Comedy|War,Kevin Spacey,109620,Stephen Root,0,first person narration|general|hampster|reference to loch ness monster|reporter,http://www.imdb.com/title/tt1234548/?ref_=fn_tt_tt_1,English,USA,25000000,2009,6.2,15000
George Gallo,45,269,Eddie Griffin,Action|Comedy|Crime|Thriller,Daniel Roebuck,5431,Garcelle Beauvais,2,cia|cia agent|fbi|mexico|train,http://www.imdb.com/title/tt0238948/?ref_=fn_tt_tt_1,English,USA,24000000,2001,5.3,204
James Mangold,133,446,Clea DuVall,Biography|Drama,Angelina Jolie Pitt,125421,Vanessa Redgrave,0,1960s|father daughter incest|mental hospital|suicide|suicide attempt,http://www.imdb.com/title/tt0172493/?ref_=fn_tt_tt_1,English,USA,24000000,1999,7.3,0
Robert Luketic,84,126,Gary Cole,Comedy|Romance,Topher Grace,22844,Nathan Lane,1,best friend|contest|date|small town|west virginia,http://www.imdb.com/title/tt0335559/?ref_=fn_tt_tt_1,English,USA,24000000,2004,5.6,876
Tim Hill,70,25,F. Murray Abraham,Adventure|Comedy|Family|Fantasy|Music|Sci-Fi,Josh Charles,14637,David Arquette,0,alien|breakfast|escape|rat|ufo,http://www.imdb.com/title/tt0158811/?ref_=fn_tt_tt_1,English,USA,24000000,1999,6.2,619
Sidney Lumet,32,0,Diana Ross,Adventure|Family|Fantasy|Music|Musical,Lena Horne,10895,Theresa Merritt,0,melancholy|new york city|sadness|teacher|wizard,http://www.imdb.com/title/tt0078504/?ref_=fn_tt_tt_1,English,USA,24000000,1978,5.2,0
Brian Robbins,51,48,Ellen Albertini Dow,Comedy|Sport,Oliver Platt,11709,Martin Landau,1,gay subtext|homoerotic fight|homoeroticism|homosexual subtext|wcw wrestling,http://www.imdb.com/title/tt0217756/?ref_=fn_tt_tt_1,English,USA,24000000,2000,5.3,650
Ron Shelton,73,41,Robert Wagner,Comedy|Drama|Sport,Willie Garson,10100,Lolita Davidovich,0,boxing movie|friendship|highway travel|male rear nudity|road movie,http://www.imdb.com/title/tt0196857/?ref_=fn_tt_tt_1,English,USA,24000000,1999,5.4,153
Douglas McGrath,169,41,Busy Philipps,Comedy|Romance,Olivia Munn,16437,Jessica Szohr,0,black comedy|delivery boy|dinner|gym|punishment,http://www.imdb.com/title/tt1742650/?ref_=fn_tt_tt_1,English,USA,24000000,2011,4.9,0
Alexandre Aja,365,192,Kelly Brook,Comedy|Horror,Adam Scott,72552,Jessica Szohr,0,bloody water|boat|party|piranha|spring break,http://www.imdb.com/title/tt0464154/?ref_=fn_tt_tt_1,English,USA,24000000,2010,5.5,13000
Kevin Spacey,113,18000,Bob Hoskins,Biography|Drama|Music|Musical,Kevin Spacey,12821,Brenda Blethyn,1,bobby darin|career|love|marriage|sandra dee,http://www.imdb.com/title/tt0363473/?ref_=fn_tt_tt_1,English,USA,23000000,2004,6.7,0
Steve Boyum,18,9,M.C. Gainey,Comedy|Family,Paul Walker,2265,A.J. Langer,2,accidental kiss|eating a worm|park|worm|yellowstone national park,http://www.imdb.com/title/tt0120645/?ref_=fn_tt_tt_1,English,USA,24000000,1998,3.9,839
Richard Williams,10,18,Kenneth Williams,Action|Adventure|Animation|Comedy|Fantasy,Donald Pleasence,2541,Clive Revill,0,cobbler|desert|gold|princess|thief,http://www.imdb.com/title/tt0112389/?ref_=fn_tt_tt_1,English,UK,28000000,1993,7.2,408
Mary McGuckian,16,6,F. Murray Abraham,Drama|Romance,Robert De Niro,2919,Geraldine Chaplin,3,bridge|friar|inquisition|peru|rope bridge,http://www.imdb.com/title/tt0356443/?ref_=fn_tt_tt_1,English,UK,24000000,2004,5.1,181
George Tillman Jr.,196,88,Tom Berenger,Action|Crime|Drama|Thriller,Dwayne Johnson,80574,Mike Epps,1,gun|prison|reference to god|reference to jesus christ|vengeance,http://www.imdb.com/title/tt1433108/?ref_=fn_tt_tt_1,English,USA,24000000,2010,6.5,12000
Hayao Miyazaki,212,6000,Blythe Danner,Adventure|Animation|Family|Fantasy,Christian Bale,214091,Jean Simmons,0,anime|castle|demon|steampunk|witch,http://www.imdb.com/title/tt0347149/?ref_=fn_tt_tt_1,Japanese,Japan,24000000,2004,8.2,13000
Ruben Fleischer,445,181,Bill Murray,Adventure|Comedy|Horror|Sci-Fi,Emma Stone,386217,Derek Graf,4,amusement park|on the road|zombie|zombie apocalypse|zombie spoof,http://www.imdb.com/title/tt1156398/?ref_=fn_tt_tt_1,English,USA,23600000,2009,7.7,26000
Peter Jackson,446,0,Thomas Kretschmann,Action|Adventure|Drama|Romance,Naomi Watts,316020,Evan Parke,0,animal name in title|ape abducts a woman|gorilla|island|king kong,http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1,English,New Zealand,207000000,2005,7.2,0
Frank Coraci,108,153,Clint Howard,Comedy|Sport,Adam Sandler,119450,Peter Dante,0,coach|college|college football|domineering mother|football,http://www.imdb.com/title/tt0120484/?ref_=fn_tt_tt_1,English,USA,20000000,1998,6.1,0
Irvin Kershner,223,883,Kenny Baker,Action|Adventure|Fantasy|Sci-Fi,Harrison Ford,837759,Anthony Daniels,0,duel|famous twist|rebel|rescue|snowy landscape,http://www.imdb.com/title/tt0080684/?ref_=fn_tt_tt_1,English,USA,18000000,1980,8.8,17000
Michael Bay,63,0,Tchéky Karyo,Action|Comedy|Crime|Drama|Thriller,Will Smith,172405,Theresa Randle,0,drugs|heroin|murder|police|witness,http://www.imdb.com/title/tt0112442/?ref_=fn_tt_tt_1,English,USA,19000000,1995,6.8,0
David Zucker,43,119,Priscilla Presley,Comedy|Crime,George Kennedy,83269,O.J. Simpson,6,american president|evil industrialist|ex girlfriend|political leader|president,http://www.imdb.com/title/tt0102510/?ref_=fn_tt_tt_1,English,USA,23000000,1991,6.8,0
James Wong,211,70,Brendan Fehr,Horror|Thriller,Daniel Roebuck,181058,Kerr Smith,1,dead teenager|death|explosion|premonition|teenager,http://www.imdb.com/title/tt0195714/?ref_=fn_tt_tt_1,English,USA,23000000,2000,6.7,0
George Clooney,421,0,Philip Seymour Hoffman,Drama,Ryan Gosling,188652,Jennifer Ehle,1,governor|intern|manager|ohio|politics,http://www.imdb.com/title/tt1124035/?ref_=fn_tt_tt_1,English,USA,12500000,2011,7.1,22000
David Twohy,214,123,Radha Mitchell,Horror|Sci-Fi,Vin Diesel,193962,Cole Hauser,0,captain|darkness|eclipse|space|survival,http://www.imdb.com/title/tt0134847/?ref_=fn_tt_tt_1,English,USA,23000000,2000,7.1,5000
Tony Goldwyn,92,956,Ellen Barkin,Comedy|Romance,Hugh Jackman,19709,Catherine Dent,3,apartment|girl in panties|roommate|thong panties|upskirt,http://www.imdb.com/title/tt0244970/?ref_=fn_tt_tt_1,English,USA,23000000,2001,6.1,0
Spike Jonze,574,0,Brian Johnson,Drama|Romance|Sci-Fi,Scarlett Johansson,355126,Matt Letscher,1,divorce|female frontal nudity|future|loneliness|operating system,http://www.imdb.com/title/tt1798709/?ref_=fn_tt_tt_1,English,USA,23000000,2013,8.0,148000
Dexter Fletcher,216,452,Taron Egerton,Biography|Comedy|Drama|Sport,Hugh Jackman,32513,Tim McInnerny,3,1988 winter olympics|coach|ski jumper|winter|winter olympics,http://www.imdb.com/title/tt1083452/?ref_=fn_tt_tt_1,English,UK,23000000,2016,7.5,15000
John Dahl,140,131,Jessica Bowman,Mystery|Thriller,Paul Walker,53415,Dell Yount,2,embarrassing male nudity|embarrassing nudity|male nudity|truck|truck driver,http://www.imdb.com/title/tt0206314/?ref_=fn_tt_tt_1,English,USA,23000000,2001,6.6,0
Jonathan Newman,28,3,Keeley Hawes,Adventure|Family|Fantasy,Ioan Gruffudd,4191,Oliver Stark,4,based on novel|drowning|hanging from a flagpole|hanging from a rope|magic,http://www.imdb.com/title/tt1376213/?ref_=fn_tt_tt_1,English,UK,25000000,2013,5.4,0
Wayne Wang,36,61,Eva Amurri Martino,Comedy|Drama,Natalie Portman,14786,Shawn Hatosy,2,family relationships|female protagonist|nubile woman|policeman|teenager,http://www.imdb.com/title/tt0149691/?ref_=fn_tt_tt_1,English,USA,23000000,1999,6.1,638
Andy Cadiff,65,3,Stark Sands,Comedy|Romance,Annabella Sciorra,30092,Terence Maynard,0,first daughter|photographer|prague|president|secret service agent,http://www.imdb.com/title/tt0360139/?ref_=fn_tt_tt_1,English,USA,23000000,2004,6.1,0
Michael Dinner,53,12,Dan Hedaya,Comedy|Crime,Seymour Cassel,3914,Lainie Kazan,4,beach|drug lord|drugs|hotel|stripper,http://www.imdb.com/title/tt0198386/?ref_=fn_tt_tt_1,English,USA,23000000,2000,5.6,153
