num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,genres,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,title_year,aspect_ratio,movie_facebook_likes
77,96,218,31,Alex Désert,Comedy|Drama,actor|black panties|cult film|friend|upskirt,http://www.imdb.com/title/tt0117802/?ref_=fn_tt_tt_1,252,English,USA,1996,1.85,0
122,99,0,93,Gian Maria Volontè,Action|Drama|Western,balladeer|bar|drifter|mexican|revenge,http://www.imdb.com/title/tt0058461/?ref_=fn_tt_tt_1,235,Italian,Italy,1964,2.35,0
35,66,16,28,Gilbert Roland,Comedy|Drama|History|Musical|Romance,captain|marriage proposal|saloon|saloon singer|singer,http://www.imdb.com/title/tt0024548/?ref_=fn_tt_tt_1,59,English,USA,1933,1.37,328
15,85,0,0,Jasper Johal,Documentary,,http://www.imdb.com/title/tt0420723/?ref_=fn_tt_tt_1,13,English,USA,2004,1.78,30
25,101,0,16,Chris Thomas,Drama,christian film|forgiveness|hospital|pastor|police,http://www.imdb.com/title/tt1544600/?ref_=fn_tt_tt_1,26,English,USA,2010,,0
37,97,151,305,David Oyelowo,Drama,,http://www.imdb.com/title/tt1211890/?ref_=fn_tt_tt_1,10,English,USA,2012,2.35,569
76,119,670,9,Sebastian Schipper,Comedy|Drama|Romance,female nudity|full frontal female nudity|male frontal nudity|menage a trois|pubic hair,http://www.imdb.com/title/tt1517177/?ref_=fn_tt_tt_1,18,German,Germany,2010,2.35,2000
12,103,18,61,Leo Rossi,Drama|Music,funeral|gay|native american protagonist|poet|reservation,http://www.imdb.com/title/tt0303313/?ref_=fn_tt_tt_1,14,English,USA,2002,,96
7,86,0,15,Natasha Bedingfield,Documentary|History|Music,fair trade|human trafficking|non profit|rockumentary|slavery,http://www.imdb.com/title/tt1301130/?ref_=fn_tt_tt_1,2,English,USA,2008,,26
450,106,0,273,David Costabile,Crime|Drama|Thriller,clinical trial|female protagonist|neuropharmacology|psychiatrist|side effect,http://www.imdb.com/title/tt2053463/?ref_=fn_tt_tt_1,274,English,USA,2013,1.85,29000
60,90,25,10,Stevan Mena,Crime|Horror|Mystery|Thriller,abandoned house|bank|robber|swing|witness,http://www.imdb.com/title/tt0388230/?ref_=fn_tt_tt_1,112,English,USA,2003,1.33,198
4,95,89,45,Adam Rifkin,Comedy|Drama,family relationships|husband wife relationship|nudity|reality|reality spoof,http://www.imdb.com/title/tt2690560/?ref_=fn_tt_tt_1,1,English,USA,2015,,47
42,94,2,156,Ryan Kennedy,Horror|Sci-Fi|Thriller,based on comic book|blue bra and panties|female protagonist|girl in bra and panties|killer car,http://www.imdb.com/title/tt1152827/?ref_=fn_tt_tt_1,22,English,USA,2010,2.35,0
93,84,157,98,Jennifer Lafleur,Comedy|Drama|Horror|Romance,actor|cabin|california|paper bag|vomiting,http://www.imdb.com/title/tt0923600/?ref_=fn_tt_tt_1,40,English,USA,2008,1.85,443
1,89,0,15,Victoria Lachelle,Comedy|Horror|Mystery|Thriller,,http://www.imdb.com/title/tt3565836/?ref_=fn_tt_tt_1,1,English,USA,2014,,267
16,59,121,0,Bertrand Cantat,Documentary,,http://www.imdb.com/title/tt0437123/?ref_=fn_tt_tt_1,4,French,France,2004,1.37,44
54,126,147,0,Sylvia Eckhausen,Drama|Fantasy,august|doctor|faith|patriarch|prayer,http://www.imdb.com/title/tt0048452/?ref_=fn_tt_tt_1,49,Danish,Denmark,1955,1.37,863
38,86,123,782,Martin Starr,Comedy|Drama|Romance,avoidant personality disorder|emotionally vulnerable|sex|video store|video store clerk,http://www.imdb.com/title/tt0944101/?ref_=fn_tt_tt_1,51,English,USA,2008,1.85,0
66,87,29,131,John Billingsley,Drama|Romance|Sci-Fi,cro magnon|dialogue driven storyline|single set production|single setting|storytelling,http://www.imdb.com/title/tt0756683/?ref_=fn_tt_tt_1,638,English,USA,2007,1.78,46000
11,106,15,0,Evelyn Jefferson,Crime|Documentary,false accusation|murder|north carolina|trial|wrongful conviction,http://www.imdb.com/title/tt0446055/?ref_=fn_tt_tt_1,10,English,USA,2006,1.66,246
6,86,20,32,Jordan Bridges,Drama|Family,courtship|friend|girl|servant|sister,http://www.imdb.com/title/tt0412366/?ref_=fn_tt_tt_1,32,English,USA,2004,1.33,90
25,89,0,31,Chase Masterson,Drama|Music|Mystery|Romance|Sci-Fi,claim in title|jazz|jazz singer|sexy woman|time manipulation,http://www.imdb.com/title/tt0448182/?ref_=fn_tt_tt_1,10,English,USA,2008,1.78,83
13,105,0,27,Robert Turano,Comedy|Drama|Music,,http://www.imdb.com/title/tt1989646/?ref_=fn_tt_tt_1,1,English,USA,2012,,38
18,93,0,75,Robin Bartlett,Drama|Sci-Fi|Thriller,,http://www.imdb.com/title/tt3666210/?ref_=fn_tt_tt_1,1,English,USA,2014,,142
3,94,0,178,Alex Emanuel,Drama,,http://www.imdb.com/title/tt1702455/?ref_=fn_tt_tt_1,3,English,USA,2012,1.78,66
46,89,373,27,Amir Farrokh Hashemian,Drama|Family,class|gardening|race|school|shoe,http://www.imdb.com/title/tt0118849/?ref_=fn_tt_tt_1,130,Persian,Iran,1997,1.85,0
143,97,131,67,Chris New,Drama|Romance,coming out|fellatio|male in bathtub|male nudity|nudity,http://www.imdb.com/title/tt1714210/?ref_=fn_tt_tt_1,68,English,UK,2011,1.85,0
26,88,0,46,Joie Lee,Comedy|Romance,female nudity|male model|nudity|rite of passage|sex,http://www.imdb.com/title/tt0091939/?ref_=fn_tt_tt_1,26,English,USA,1986,1.85,406
,78,0,0,Stacie Evans,Documentary,,http://www.imdb.com/title/tt2421956/?ref_=fn_tt_tt_1,1,English,USA,2014,,88
5,104,0,0,Ana Maria Guran,Drama,,http://www.imdb.com/title/tt4707756/?ref_=fn_tt_tt_1,1,Romanian,Romania,2015,,34
242,92,135,259,William Mapother,Drama|Romance|Sci-Fi,duplicate earth|janitor|planet|solar system|synchronicity,http://www.imdb.com/title/tt1549572/?ref_=fn_tt_tt_1,228,English,USA,2011,1.85,21000
48,108,14,826,Ellen Burstyn,Thriller,bouquet|house fire|praying|serial killer|tied to a chair,http://www.imdb.com/title/tt1666335/?ref_=fn_tt_tt_1,28,English,USA,2014,,0
38,97,101,101,Mario Van Peebles,Crime|Drama|Thriller,black panther|hells angels|on the run|racist|racist cop,http://www.imdb.com/title/tt0067810/?ref_=fn_tt_tt_1,50,English,USA,1971,1.37,566
,109,0,26,Joe Lev,Drama,country singer|father son relationship|music group,http://www.imdb.com/title/tt3581098/?ref_=fn_tt_tt_1,,English,USA,2014,,65
91,78,56,184,Aaron Stanford,Comedy|Drama|Romance,best friend|boy|french|friend|love,http://www.imdb.com/title/tt0271219/?ref_=fn_tt_tt_1,101,English,USA,2000,1.85,132
232,85,109,18,Markéta Irglová,Drama|Music|Romance,immigrant|independent film|song|street|vacuum cleaner,http://www.imdb.com/title/tt0907657/?ref_=fn_tt_tt_1,329,English,Ireland,2007,1.85,26000
18,88,14,3,Eugene Roche,Comedy,car salesman|filmmaking|pulp fiction|santa claus suit|truck driver,http://www.imdb.com/title/tt0217894/?ref_=fn_tt_tt_1,22,English,USA,1999,,73
29,93,0,2,Rowan Isaacson,Documentary,horse|journey|mongolia|shaman|travel,http://www.imdb.com/title/tt1333668/?ref_=fn_tt_tt_1,9,English,USA,2009,1.85,0
44,86,6,115,Martin Compston,Horror,father daughter relationship|poltergeist|spirit|stairway|urination,http://www.imdb.com/title/tt1743993/?ref_=fn_tt_tt_1,27,English,UK,2012,2.35,0
2,98,0,21,Bill Allen,Action|Drama|Sport,bike|bmx|drugs|troubled teen|youth,http://www.imdb.com/title/tt1934172/?ref_=fn_tt_tt_1,1,English,USA,2015,,197
277,88,365,177,Edwin Neal,Horror|Thriller,cannibal|chainsaw|hitchhiker|independent film|leatherface,http://www.imdb.com/title/tt0072271/?ref_=fn_tt_tt_1,826,English,USA,1974,1.85,0
43,25,36,27,Bill Melendez,Animation|Comedy|Family,christmas|christmas tree|commercialism|meaning of christmas|tree,http://www.imdb.com/title/tt0059026/?ref_=fn_tt_tt_1,126,English,USA,1965,1.33,0
5,72,0,0,Hugh Ducklow,Adventure|Documentary,,http://www.imdb.com/title/tt2780714/?ref_=fn_tt_tt_1,2,English,USA,2015,,215
16,66,4,232,Jesse Jane,Documentary,aroused|photography|pornography documentary|pornstar,http://www.imdb.com/title/tt2403815/?ref_=fn_tt_tt_1,9,English,USA,2013,,207
18,80,0,0,Xinhua Jiang,Documentary,,http://www.imdb.com/title/tt4219836/?ref_=fn_tt_tt_1,2,English,USA,2014,,116
40,91,909,42,Pat Boone,Documentary,factory|flint michigan|general motors|michigan|quest,http://www.imdb.com/title/tt0098213/?ref_=fn_tt_tt_1,133,English,USA,1989,1.66,667
130,93,261,697,Ruby Dee,Fantasy|Horror|Thriller,cat|cat people|leopard|love|slip the undergarment,http://www.imdb.com/title/tt0083722/?ref_=fn_tt_tt_1,106,English,USA,1982,1.85,0
3,89,0,163,Hassan Johnson,Drama,place name in title,http://www.imdb.com/title/tt2125430/?ref_=fn_tt_tt_1,3,English,USA,2014,,72
136,85,129,100,James Urbaniak,Drama|Mystery|Sci-Fi|Thriller,cult|cult leader|female nudity|greedy institution|manipulation,http://www.imdb.com/title/tt1748207/?ref_=fn_tt_tt_1,69,English,USA,2011,1.85,0
,62,58,,,Documentary|Family,autism|middle east|music therapy|united arab emirates,http://www.imdb.com/title/tt2638024/?ref_=fn_tt_tt_1,,Arabic,United Arab Emirates,2013,,54
12,90,0,,,Documentary|War,american|blood|dream|patrol|tank,http://www.imdb.com/title/tt0488873/?ref_=fn_tt_tt_1,7,English,USA,2005,1.66,14
171,90,100,9,Mike Birbiglia,Comedy|Drama,drunken sex|mashed potatoes|pancakes|tequila|title directed by female,http://www.imdb.com/title/tt1742336/?ref_=fn_tt_tt_1,62,English,USA,2011,,3000
,,0,,Valentine,Romance,,http://www.imdb.com/title/tt4607906/?ref_=fn_tt_tt_1,,English,USA,2015,,0
8,88,686,405,David Hewlett,Comedy,dog|vegetarian,http://www.imdb.com/title/tt0796314/?ref_=fn_tt_tt_1,46,English,Canada,2007,1.78,377
8,88,686,405,David Hewlett,Comedy,dog|vegetarian,http://www.imdb.com/title/tt0796314/?ref_=fn_tt_tt_1,46,English,Canada,2007,1.78,377
284,96,0,56,Duane Jones,Drama|Horror|Mystery,cemetery|farmhouse|radiation|running out of gas|zombie,http://www.imdb.com/title/tt0063350/?ref_=fn_tt_tt_1,580,English,USA,1968,1.85,0
36,94,0,5,Macha Méril,Drama,acting|actor|face slap|fashion|magazine,http://www.imdb.com/title/tt0058701/?ref_=fn_tt_tt_1,10,French,France,1964,1.37,187
21,120,664,400,Nate Parker,Biography|Drama,,http://www.imdb.com/title/tt4196450/?ref_=fn_tt_tt_1,8,English,USA,2016,2.35,0
1,77,7,69,Frank Gerrish,Comedy,latter day saints|lds film|mock documentary|mormon|mormonism,http://www.imdb.com/title/tt0339921/?ref_=fn_tt_tt_1,5,English,USA,2003,,0
31,111,589,51,Erin Bethea,Drama|Sport,christian|coach|faith|football|football team,http://www.imdb.com/title/tt0805526/?ref_=fn_tt_tt_1,382,English,USA,2006,1.85,0
159,81,3,7,Cassidy Gifford,Horror|Thriller,breaking and entering|gallows|hanging|high school|stage,http://www.imdb.com/title/tt2309260/?ref_=fn_tt_tt_1,150,English,USA,2015,1.85,0
152,89,0,121,Jack Nance,Fantasy|Horror|Sci-Fi,apartment|baby|deformed baby|factory|surrealism,http://www.imdb.com/title/tt0074486/?ref_=fn_tt_tt_1,535,English,USA,1977,1.37,0
1,110,0,0,Johnnie Walker,Crime|Drama,family relationships|gang|idler|poorhouse|thief,http://www.imdb.com/title/tt0011549/?ref_=fn_tt_tt_1,1,,USA,1920,1.33,0
21,81,467,287,Keenen Ivory Wayans,Comedy,actor|african american|dream|two word title|written and directed by cast member,http://www.imdb.com/title/tt0093200/?ref_=fn_tt_tt_1,32,English,USA,1987,1.85,471
57,100,23,545,Elden Henson,Comedy|Drama,book|friendship|knight|learning disability|tutor,http://www.imdb.com/title/tt0119670/?ref_=fn_tt_tt_1,113,English,USA,1998,1.85,0
23,99,9,10,Chuck Mitchell,Crime|Drama|Sport,blaxploitation|boxing|convict|drifter|false accusation,http://www.imdb.com/title/tt0079709/?ref_=fn_tt_tt_1,10,English,USA,1979,1.85,157
88,90,56,56,Brian Howe,Comedy|Horror|Sci-Fi,alien|cave|husband wife relationship|monster|skeleton,http://www.imdb.com/title/tt0307109/?ref_=fn_tt_tt_1,118,English,USA,2001,1.85,0
2,82,7,50,Gabriela Castillo,Family,,http://www.imdb.com/title/tt3109200/?ref_=fn_tt_tt_1,4,English,USA,2014,1.85,178
193,88,3,307,Ethan Embry,Comedy|Crime|Drama|Horror|Thriller,cocaine|extramarital affair|sex|shooting|violence,http://www.imdb.com/title/tt2389182/?ref_=fn_tt_tt_1,52,English,USA,2013,2.35,0
50,103,0,0,Edmund McMillen,Documentary,movie in title,http://www.imdb.com/title/tt1942884/?ref_=fn_tt_tt_1,23,English,Canada,2012,16.0,0
61,80,3,140,Adam Rayner,Thriller,countryside|night|party|rape|scar,http://www.imdb.com/title/tt0480011/?ref_=fn_tt_tt_1,44,English,UK,2007,1.85,246
1,68,2,75,John Ireland,Crime|Drama,anti semitism|gangster,http://www.imdb.com/title/tt0040671/?ref_=fn_tt_tt_1,9,English,USA,1948,1.37,10
5,81,0,10,Hugh Mun,Action|Drama|Sci-Fi|Thriller,android|artificial intelligence|home invasion|security system|tech noir,http://www.imdb.com/title/tt2343473/?ref_=fn_tt_tt_1,1,English,USA,2013,1.78,17
14,106,6,13,Trevor Howard,Crime|Horror|Thriller,escape|independent film|mental illness|prison|revenge,http://www.imdb.com/title/tt0066141/?ref_=fn_tt_tt_1,19,English,USA,1971,,65
5,77,0,0,Dottie Alexander,Biography|Documentary|Music,artist|band|male rear nudity|sexuality|stage,http://www.imdb.com/title/tt3072636/?ref_=fn_tt_tt_1,1,English,USA,2014,1.78,82
241,114,29,616,Monica Potter,Crime|Horror|Thriller,kidnapping|lake|microwave oven|psychopath|woods,http://www.imdb.com/title/tt0844708/?ref_=fn_tt_tt_1,279,English,USA,2009,1.85,0
16,80,3,0,Seth Ackerman,Documentary,arab israeli conflict|israel|media|middle east|palestine,http://www.imdb.com/title/tt0428959/?ref_=fn_tt_tt_1,13,English,USA,2004,,110
138,84,0,194,Clint Mansell,Drama|Mystery|Thriller,mathematician|nature|numbers|pattern|using a metal detector on a beach,http://www.imdb.com/title/tt0138704/?ref_=fn_tt_tt_1,586,English,USA,1998,1.66,24000
5,86,12,117,Meredith Scott Lynn,Comedy|Romance,female frontal nudity|female rear nudity|title directed by female|virgin|written and directed by cast member,http://www.imdb.com/title/tt0130019/?ref_=fn_tt_tt_1,15,English,USA,1997,,97
32,87,0,153,Tom Ardavany,Biography|Comedy|Romance,fake documentary|hidden camera|mockumentary|narrative|reality show,http://www.imdb.com/title/tt0138987/?ref_=fn_tt_tt_1,83,English,USA,1998,1.85,30
18,80,7,3,Steve Diasparra,Action|Sci-Fi|Thriller,,http://www.imdb.com/title/tt2319456/?ref_=fn_tt_tt_1,18,English,USA,2015,,34
