actor_2_name,actor_1_facebook_likes,gross,actor_3_name,movie_imdb_link,language,content_rating,actor_2_facebook_likes,aspect_ratio
Jennifer Jason Leigh,12000,1292527,Miranda Richardson,http://www.imdb.com/title/tt0116745/?ref_=fn_tt_tt_1,English,R,1000,1.85
Sarah Gadon,8000,560512,Tracy Letts,http://www.imdb.com/title/tt4193394/?ref_=fn_tt_tt_1,Hebrew,R,691,2.0
Chloë Grace Moretz,87000,64255243,Ryan Reynolds,http://www.imdb.com/title/tt0384806/?ref_=fn_tt_tt_1,English,R,17000,2.35
Meryl Streep,12000,22245861,Roger Willie,http://www.imdb.com/title/tt0268126/?ref_=fn_tt_tt_1,English,R,11000,1.85
Shawn Roberts,654,20433940,Pedro Miguel Arce,http://www.imdb.com/title/tt0418819/?ref_=fn_tt_tt_1,English,R,529,2.35
Angelica Lee,82,,Ching Wan Lau,http://www.imdb.com/title/tt2957680/?ref_=fn_tt_tt_1,Chinese,PG-13,39,1.85
Michael Jeter,40000,10562387,Ellen Barkin,http://www.imdb.com/title/tt0120669/?ref_=fn_tt_tt_1,English,R,693,2.35
Tina Fey,3000,18439082,Martin Starr,http://www.imdb.com/title/tt1058017/?ref_=fn_tt_tt_1,English,PG-13,2000,1.85
Carla Gallo,920,150056505,Ike Barinholtz,http://www.imdb.com/title/tt2004420/?ref_=fn_tt_tt_1,English,R,798,2.35
Amy Yasbeck,789,119938730,Reg E. Cathey,http://www.imdb.com/title/tt0110475/?ref_=fn_tt_tt_1,English,PG-13,424,1.85
Jon Lovitz,15000,114968774,John Heard,http://www.imdb.com/title/tt0094737/?ref_=fn_tt_tt_1,English,PG,11000,1.85
Ken Davitian,332,128505958,Chester,http://www.imdb.com/title/tt0443453/?ref_=fn_tt_tt_1,English,R,165,1.85
Raquel Welch,2000,95001351,Alanna Ubach,http://www.imdb.com/title/tt0250494/?ref_=fn_tt_tt_1,English,PG-13,788,2.35
Nichelle Nichols,12000,76400000,Walter Koenig,http://www.imdb.com/title/tt0088170/?ref_=fn_tt_tt_1,English,PG,664,2.35
Colm Feore,1000,75072454,JR Bourne,http://www.imdb.com/title/tt0404032/?ref_=fn_tt_tt_1,English,PG-13,539,2.35
Eddie Griffin,1000,65535067,Bree Turner,http://www.imdb.com/title/tt0205000/?ref_=fn_tt_tt_1,English,R,489,1.85
Lea Thompson,12000,13998282,Quinton Aaron,http://www.imdb.com/title/tt2467046/?ref_=fn_tt_tt_1,English,PG-13,1000,2.35
Paul Schneider,723,6061759,Tyrone Giordano,http://www.imdb.com/title/tt0356680/?ref_=fn_tt_tt_1,English,PG-13,552,1.85
Sean Patrick Thomas,748,64955956,Kenan Thompson,http://www.imdb.com/title/tt0337579/?ref_=fn_tt_tt_1,English,PG-13,656,1.85
Tony Cox,1000,60057639,Alex Borstein,http://www.imdb.com/title/tt0307987/?ref_=fn_tt_tt_1,English,R,624,1.85
Charles Napier,8000,53868030,Robert Wagner,http://www.imdb.com/title/tt0118655/?ref_=fn_tt_tt_1,English,PG-13,503,2.35
Louis Mandylor,567,59573085,Joey Fatone,http://www.imdb.com/title/tt3760922/?ref_=fn_tt_tt_1,English,PG-13,312,2.35
Rachael Harris,975,52691009,Fran Kranz,http://www.imdb.com/title/tt1650043/?ref_=fn_tt_tt_1,English,PG,569,2.35
Bill Duke,1000,59735548,Carl Weathers,http://www.imdb.com/title/tt0093773/?ref_=fn_tt_tt_1,English,R,1000,1.85
F. Murray Abraham,692,51600000,Tom Hulce,http://www.imdb.com/title/tt0086879/?ref_=fn_tt_tt_1,English,R,670,2.35
Scott Porter,2000,43818159,Collins Pennie,http://www.imdb.com/title/tt0926129/?ref_=fn_tt_tt_1,English,PG-13,690,2.35
Amy Poehler,2000,86049418,Neil Flynn,http://www.imdb.com/title/tt0377092/?ref_=fn_tt_tt_1,English,PG-13,1000,1.85
Lindsay Duncan,727,43601508,Mario Monicelli,http://www.imdb.com/title/tt0328589/?ref_=fn_tt_tt_1,English,PG-13,171,1.85
Bob Balaban,1000,41300105,Tom Hollander,http://www.imdb.com/title/tt0280707/?ref_=fn_tt_tt_1,English,R,559,2.35
Melinda Clarke,828,,Tate Donovan,http://www.imdb.com/title/tt0362359/?ref_=fn_tt_tt_1,English,TV-PG,787,1.78
Kathleen Turner,12000,41382841,Joan Allen,http://www.imdb.com/title/tt0091738/?ref_=fn_tt_tt_1,English,PG-13,899,1.85
Naomi Watts,15000,42335698,Merritt Wever,http://www.imdb.com/title/tt2562232/?ref_=fn_tt_tt_1,English,R,6000,1.85
Charlie Tahan,594,33404871,Andrew Dice Clay,http://www.imdb.com/title/tt2334873/?ref_=fn_tt_tt_1,English,PG-13,268,2.35
David Alan Basche,97,31471430,Susan Blommaert,http://www.imdb.com/title/tt0475276/?ref_=fn_tt_tt_1,English,R,68,2.35
Mekhi Phifer,2000,30222640,Romeo Miller,http://www.imdb.com/title/tt0322589/?ref_=fn_tt_tt_1,English,PG-13,1000,1.85
Morgan Freeman,18000,26830000,Matthew Broderick,http://www.imdb.com/title/tt0097441/?ref_=fn_tt_tt_1,English,R,11000,1.85
Barry Bostwick,844,26906039,Nicollette Sheridan,http://www.imdb.com/title/tt0117723/?ref_=fn_tt_tt_1,English,PG-13,456,1.85
Hal Holbrook,2000,21378000,Janet Leigh,http://www.imdb.com/title/tt0080749/?ref_=fn_tt_tt_1,English,R,826,2.35
Chris Brochu,2000,43853424,Craig T. Nelson,http://www.imdb.com/title/tt1596346/?ref_=fn_tt_tt_1,English,PG,795,2.35
Bob Balaban,643,,Martin Balsam,http://www.imdb.com/title/tt0065528/?ref_=fn_tt_tt_1,English,R,559,2.35
Celia Weston,390,23993605,Dan Bakkedahl,http://www.imdb.com/title/tt1197628/?ref_=fn_tt_tt_1,English,R,258,2.35
Olivia d'Abo,691,26400000,Grace Jones,http://www.imdb.com/title/tt0087078/?ref_=fn_tt_tt_1,English,PG,476,2.35
Cathy Moriarty,22000,45250,Frank Vincent,http://www.imdb.com/title/tt0081398/?ref_=fn_tt_tt_1,English,R,394,1.85
Sasha Alexander,2000,22927390,Frances Conroy,http://www.imdb.com/title/tt0899106/?ref_=fn_tt_tt_1,English,PG-13,980,1.85
Roger Ashton-Griffiths,155,4250320,Freddie Jones,http://www.imdb.com/title/tt0090357/?ref_=fn_tt_tt_1,English,PG-13,144,1.85
Kay Panabaker,808,22452209,Megan Mullally,http://www.imdb.com/title/tt1016075/?ref_=fn_tt_tt_1,English,PG,720,2.35
Treat Williams,11000,18329466,Kate Burton,http://www.imdb.com/title/tt1542344/?ref_=fn_tt_tt_1,English,R,642,1.85
Jon Lovitz,11000,17071230,Michael Rapaport,http://www.imdb.com/title/tt0196216/?ref_=fn_tt_tt_1,English,PG,11000,1.85
Susan May Pratt,757,17174870,Ethan Stiefel,http://www.imdb.com/title/tt0210616/?ref_=fn_tt_tt_1,English,PG-13,220,2.35
Alex Borstein,10000,26284475,Timothée Chalamet,http://www.imdb.com/title/tt2279339/?ref_=fn_tt_tt_1,English,PG-13,566,2.35
Corbin Bleu,17000,16702864,Kevin G. Schmidt,http://www.imdb.com/title/tt0337917/?ref_=fn_tt_tt_1,English,PG,632,1.85
Hayden Christensen,16000,15561627,Kristin Scott Thomas,http://www.imdb.com/title/tt0264796/?ref_=fn_tt_tt_1,English,R,4000,2.35
Michael Fassbender,14000,17750583,Michael Stuhlbarg,http://www.imdb.com/title/tt2080374/?ref_=fn_tt_tt_1,English,R,13000,2.35
Marie Avgeropoulos,946,14793904,Shawn Roberts,http://www.imdb.com/title/tt1032815/?ref_=fn_tt_tt_1,English,PG-13,800,1.85
Ari Graynor,12000,15281286,Fred Willard,http://www.imdb.com/title/tt0403702/?ref_=fn_tt_tt_1,English,R,904,1.85
Richard Farnsworth,372,8000000,Michael Horse,http://www.imdb.com/title/tt0082648/?ref_=fn_tt_tt_1,English,PG,262,2.35
Jamie Lee Curtis,11000,13491653,Mark Margolis,http://www.imdb.com/title/tt0236784/?ref_=fn_tt_tt_1,English,R,2000,2.35
Dennis Franz,517,,John McMartin,http://www.imdb.com/title/tt0082085/?ref_=fn_tt_tt_1,English,R,376,2.35
Paul Freeman,210,10494494,Bruce Payne,http://www.imdb.com/title/tt2167202/?ref_=fn_tt_tt_1,English,PG-13,193,2.35
Kate Burton,805,7837632,Henry Czerny,http://www.imdb.com/title/tt0119349/?ref_=fn_tt_tt_1,English,R,223,1.85
Annie Parisse,712,15155772,Frankie Valli,http://www.imdb.com/title/tt2465146/?ref_=fn_tt_tt_1,English,PG-13,341,2.35
Shelley Long,723,8508843,Kellie Martin,http://www.imdb.com/title/tt0098519/?ref_=fn_tt_tt_1,English,PG,422,1.37
Shaun Evans,405,7739049,Juliet Stevenson,http://www.imdb.com/title/tt0340012/?ref_=fn_tt_tt_1,English,R,204,1.85
Karen Young,567,6734844,Kim Chan,http://www.imdb.com/title/tt0091635/?ref_=fn_tt_tt_1,English,R,67,1.85
Ralph Richardson,1000,6000000,Albert Salmi,http://www.imdb.com/title/tt0082288/?ref_=fn_tt_tt_1,English,PG,115,2.35
Kerry Condon,577,6615578,Anne-Marie Duff,http://www.imdb.com/title/tt0824758/?ref_=fn_tt_tt_1,English,R,416,2.35
Bill Murray,40000,5887457,Martin Landau,http://www.imdb.com/title/tt0109707/?ref_=fn_tt_tt_1,English,R,13000,1.85
Kate Winslet,24000,13362308,Brooke Smith,http://www.imdb.com/title/tt1967545/?ref_=fn_tt_tt_1,English,PG-13,14000,2.35
Khulan Chuluun,627,5701643,Honglei Sun,http://www.imdb.com/title/tt0416044/?ref_=fn_tt_tt_1,Mongolian,R,12,2.35
Gerard Butler,27000,5694401,Tom Wilkinson,http://www.imdb.com/title/tt1032755/?ref_=fn_tt_tt_1,English,R,18000,2.35
Michael Beck,456,5333658,Henry Silva,http://www.imdb.com/title/tt0084316/?ref_=fn_tt_tt_1,English,PG,278,1.85
Brian Blessed,597,4414535,Richard Briers,http://www.imdb.com/title/tt0116477/?ref_=fn_tt_tt_1,English,PG-13,591,2.2
Suzie Steen,989,4806750,Aden Young,http://www.imdb.com/title/tt1071812/?ref_=fn_tt_tt_1,English,PG,258,1.85
Sam Shepard,4000,3707794,Paul Sparks,http://www.imdb.com/title/tt2649554/?ref_=fn_tt_tt_1,English,PG-13,820,2.35
Stockard Channing,11000,3203044,Fisher Stevens,http://www.imdb.com/title/tt0313792/?ref_=fn_tt_tt_1,English,R,944,2.35
Colin Firth,25000,4435083,Sam Reid,http://www.imdb.com/title/tt2058107/?ref_=fn_tt_tt_1,English,R,14000,2.35
Dylan Walsh,654,,Dallas Roberts,http://www.imdb.com/title/tt1842530/?ref_=fn_tt_tt_1,,,426,
Burghart Klaußner,63,2222647,Leonie Benesch,http://www.imdb.com/title/tt1149362/?ref_=fn_tt_tt_1,German,R,43,1.85
Anna Harr,662,,James Cullen Bressack,http://www.imdb.com/title/tt4517738/?ref_=fn_tt_tt_1,English,,290,
Randy Quaid,1000,3500000,Nick Cassavetes,http://www.imdb.com/title/tt0092240/?ref_=fn_tt_tt_1,English,R,695,1.85
Meat Loaf,1000,676698,Anthony LaPaglia,http://www.imdb.com/title/tt0235737/?ref_=fn_tt_tt_1,English,R,783,1.85
Mackenzie Gray,364,3419967,Lars Ulrich,http://www.imdb.com/title/tt2172935/?ref_=fn_tt_tt_1,English,R,253,2.35
Brad Renfro,663,,Lou Taylor Pucci,http://www.imdb.com/title/tt0865554/?ref_=fn_tt_tt_1,English,R,551,2.35
Nora von Waldstätten,897,145118,Katharina Schüttler,http://www.imdb.com/title/tt1321865/?ref_=fn_tt_tt_1,English,Not Rated,30,2.35
Simón Andreu,84,,Shawn Yue,http://www.imdb.com/title/tt1024744/?ref_=fn_tt_tt_1,English,Not Rated,35,2.35
