movie_title,actor_3_name,facenumber_in_poster,plot_keywords,language,actor_2_facebook_likes
Captive ,Sydelle Noel,1,auto theft|based on true story|drug addict|kidnapping|violence,English,426
Full Frontal ,Blair Underwood,0,birthday|friend|hollywood|party|sex,English,724
Witchboard ,Rose Marie,1,evil spirit|hatchet|ouija|ouija board|psychopathic killer,English,194
Strangers with Candy             ,Maria Thayer,3,alternative comedy|female protagonist|high school|social satire|three word title,English,396
Hamlet ,Richard Briers,0,classic literature|denmark|funeral|madness|prince,English,591
Shortbus ,Raphael Barker,3,controversy|ejaculation|male frontal nudity|oral sex|unsimulated sex,English,51
Waltz with Bashir ,Zahava Solomon,0,bar|dog|interview|lebanon|nightmare,Hebrew,0
The Book of Mormon Movie, Volume 1: The Journey ,Bruce Newbold,1,jerusalem|journey|promised land|ship|wilderness,English,69
No End in Sight ,Donald Rumsfeld,0,american politics|iraq|iraq war|occupation|white house,English,21
The Diary of a Teenage Girl ,Austin Lyon,3,1970s|mother's boyfriend|overalls|phone booth|sexual promiscuity,English,1000
Get Real             ,Debrah Farentino,5,breaking the fourth wall|brother brother relationship|high school friends|imperative in title|skateboard,English,289
In the Shadow of the Moon ,Neil Armstrong,0,1960s|astronaut|moon|nasa|spacecraft accident,English,142
Meek's Cutoff ,Shirley Henderson,1,desert|oregon|survival|trust|water,English,962
Inside Deep Throat ,Linda Lovelace,0,clitoris|deep throat|fellatio|oral sex|porn industry,English,334
Dinner Rush ,Ajay Naidu,1,detective|food|gangster|police|restaurant,English,159
Clockwatchers ,Jamie Kennedy,4,office|office politics|photo booth|snobbery|title directed by female,English,559
The Virginity Hit ,Zack Pearlman,0,masturbation|porn star|sex lesson from a prostitute|spreadeagle|topless,English,131
Subway ,Jean-Hugues Anglade,1,band|blackmail|safe|subway|train,French,572
House of D ,Frank Langella,2,artist|butchery|catholic|catholic school|friend,English,1000
Teeth ,John Hensley,1,high school|purity|stepbrother|temptation|vagina dentata,English,357
Six-String Samurai ,Kim De Angelo,1,boy|guitar|orphan|rock 'n' roll|sword,English,3
Hum To Mohabbat Karega ,Shakti Kapoor,2,elevator|news reporter|police|restaurant|waiter,Hindi,89
It's All Gone Pete Tong ,Kate Magowan,1,deafness|disappearance|ears|ibiza|musician,English,246
Saint John of Las Vegas ,Romany Malco,1,city name in title|male frontal nudity|place name in title,English,12000
24 7: Twenty Four Seven ,Karl Collins,2,fight|gang|hiking|wales|working class,English,497
Stonewall ,Matt Craven,0,box office flop|critically bashed|gay rights|new york city|stonewall riots,English,463
Eureka             ,Salli Richardson-Whitfield,2,alternate reality|pacific northwest|small town|small town life|small town sheriff,English,747
Roadside Romeo ,Javed Jaffrey,0,india|love|love at first sight|mumbai india|reference to edward scissorhands,Hindi,85
This Thing of Ours ,Chuck Zito,4,gangster|heist|internet|mafia|miami florida,English,356
The Lost Medallion: The Adventures of Billy Stone ,Tiya Sircar,,cave|cobra|island|medallion|waterfall,English,488
The Last Five Years ,Charly Bivona,7,based on play|number in title,English,773
The Missing Person ,Paul Adelstein,3,cellphone|detective|missing person|private detective|train,English,423
Return of the Living Dead III ,Sarah Douglas,1,female nudity|living dead|self mutilation|sequel|zombie,English,196
London ,Dane Cook,2,bar|coke|drugs|party|snorting,English,11000
Sherrybaby ,Michelle Hurst,1,ex convict|halfway house|nipples visible through clothing|orgasm|parole officer,English,223
Stealing Harvard ,Chris Penn,1,black humor|crying during sex|harvard|humor|man with glasses,English,637
Circle ,Kaiwi Lyman-Mersereau,0,alien abduction|debate|lesbian|pregnant|spaceship,English,152
Eden Lake ,Lorraine Stanley,1,camping|forest|lake|stabbed with glass|vomiting,English,698
Plush ,Marlene Forte,2,gay interest|guitarist|obsessed fan|seduction|sex scene,English,449
Vampire Killers ,Silvia Colloca,3,blood|breasts|female nudity|lesbian|vampire,English,480
Gangster's Paradise: Jerusalema ,Robert Hobbs,2,carjacking|drug lord|johannesburg south africa|police|post apartheid,English,18
Freeze Frame ,Ian McNeice,1,alibi|box office flop|newspaper clipping|non statutory female on male rape|profiler,English,312
Grave Encounters ,Ashleigh Gryzko,0,ghost|ghost hunting|labyrinth|paranormal|reality show,English,113
Stitches ,Jemma Curran,0,cat killer|death of animal|high heels|kneed in the crotch|kneed in the groin,English,94
Nine Dead ,Marc Macaulay,0,betrayal|car|connection|death|gun,English,167
To Be Frank, Sinatra at 100 ,Louis Walsh,0,,English,27
Bananas ,Louise Lasser,3,fictitious country|latin america|president|rebellion|reference to fidel castro,English,430
Supercapitalist ,Kathy Uyen,0,,English,303
