director_name,num_critic_for_reviews,director_facebook_likes,actor_3_facebook_likes,actor_2_name,gross,movie_title,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,plot_keywords,movie_imdb_link,content_rating,budget,imdb_score,aspect_ratio,movie_facebook_likes
Courtney Solomon,146,31,179,Paul Freeman,10494494,Getaway ,19586,676,1,die hard scenario|earth viewed from space|race against time|race car driver|title at the end,http://www.imdb.com/title/tt2167202/?ref_=fn_tt_tt_1,PG-13,18000000,4.4,2.35,4000
Ang Lee,124,0,177,Kate Burton,7837632,The Ice Storm ,46396,1466,0,ice|ice storm|storm|thanksgiving|virgin,http://www.imdb.com/title/tt0119349/?ref_=fn_tt_tt_1,R,18000000,7.5,1.85,0
Rob Reiner,107,0,197,Annie Parisse,15155772,And So It Goes ,8895,1673,2,four word title|grandparent grandchild relationship|reference to facebook|reference to the internet|singer,http://www.imdb.com/title/tt2465146/?ref_=fn_tt_tt_1,PG-13,18000000,5.7,2.35,3000
Jeff Kanew,11,6,371,Shelley Long,8508843,Troop Beverly Hills ,7470,2368,1,beverly hills hotel|divorce|girl|troop|wilderness,http://www.imdb.com/title/tt0098519/?ref_=fn_tt_tt_1,PG,18000000,5.5,1.37,0
István Szabó,93,109,202,Shaun Evans,7739049,Being Julia ,10680,847,2,diva|marriage|open marriage|revenge|social climber,http://www.imdb.com/title/tt0340012/?ref_=fn_tt_tt_1,R,18000000,7.1,1.85,562
Adrian Lyne,38,213,45,Karen Young,6734844,9½ Weeks ,29591,711,0,blindfolded woman|control|male dominance|sex game|sex in public,http://www.imdb.com/title/tt0091635/?ref_=fn_tt_tt_1,R,17000000,5.9,1.85,0
Matthew Robbins,60,25,94,Ralph Richardson,6000000,Dragonslayer ,10832,1263,0,apprentice|dragon|king|kingdom|wizard,http://www.imdb.com/title/tt0082288/?ref_=fn_tt_tt_1,PG,18000000,6.7,2.35,0
Michael Hoffman,184,97,231,Kerry Condon,6615578,The Last Station ,15352,1341,2,countess|leo tolstoy|russian|wealth|writing,http://www.imdb.com/title/tt0824758/?ref_=fn_tt_tt_1,R,13000000,7.0,2.35,0
Tim Burton,148,13000,940,Bill Murray,5887457,Ed Wood ,142416,56585,1,1950s|director|friend|friendship|transvestism,http://www.imdb.com/title/tt0109707/?ref_=fn_tt_tt_1,R,18000000,7.9,1.85,0
Jason Reitman,217,655,405,Kate Winslet,13362308,Labor Day ,31898,39307,1,baseball|baseball practice|escaped convict|neighbor|tied to a chair,http://www.imdb.com/title/tt1967545/?ref_=fn_tt_tt_1,PG-13,18000000,6.9,2.35,0
Sergey Bodrov,160,44,9,Khulan Chuluun,5701643,Mongol: The Rise of Genghis Khan ,37635,653,0,epic|genghis khan|one word title|slave|starving,http://www.imdb.com/title/tt0416044/?ref_=fn_tt_tt_1,R,20000000,7.3,2.35,0
Guy Ritchie,209,0,1000,Gerard Butler,5694401,RocknRolla ,194489,46944,4,accountant|finger gun|homosexual|killed in an elevator|painting,http://www.imdb.com/title/tt1032755/?ref_=fn_tt_tt_1,R,18000000,7.3,2.35,12000
Hal Needham,40,379,251,Michael Beck,5333658,Megaforce ,2541,1356,2,dictator|electronic music score|one word title|secret headquarters|soldier,http://www.imdb.com/title/tt0084316/?ref_=fn_tt_tt_1,PG,20000000,3.5,1.85,0
Kenneth Branagh,85,0,401,Brian Blessed,4414535,Hamlet ,30618,1645,0,classic literature|denmark|funeral|madness|prince,http://www.imdb.com/title/tt0116477/?ref_=fn_tt_tt_1,PG-13,18000000,7.8,2.2,0
Bruce Beresford,83,78,238,Suzie Steen,4806750,Mao's Last Dancer ,6091,1598,0,ballet|beijing|dancer|love|village,http://www.imdb.com/title/tt1071812/?ref_=fn_tt_tt_1,PG,,7.4,1.85,0
Jeff Nichols,263,337,201,Sam Shepard,3707794,Midnight Special ,31359,5671,0,cult|father son relationship|gas station|on the run|supernatural ability,http://www.imdb.com/title/tt2649554/?ref_=fn_tt_tt_1,PG-13,18000000,6.7,2.35,0
Woody Allen,128,11000,922,Stockard Channing,3203044,Anything Else ,25165,14843,2,love at first sight|new york city|sex|teacher|writer,http://www.imdb.com/title/tt0313792/?ref_=fn_tt_tt_1,R,18000000,6.4,2.35,827
Jonathan Teplitzky,186,6,212,Colin Firth,4435083,The Railway Man ,27882,39463,2,japanese soldier|physical torture|pow camp|prisoner of war|reference to adolf hitler,http://www.imdb.com/title/tt2058107/?ref_=fn_tt_tt_1,R,18000000,7.1,2.35,18000
,14,,405,Dylan Walsh,,Unforgettable             ,12854,1906,1,hyperthymesia|new york city|police,http://www.imdb.com/title/tt1842530/?ref_=fn_tt_tt_1,,,6.7,,0
Michael Haneke,292,0,16,Burghart Klaußner,2222647,The White Ribbon ,52958,167,0,children|doctor|mysterious event|pastor|small village,http://www.imdb.com/title/tt1149362/?ref_=fn_tt_tt_1,R,12000000,7.8,1.85,0
Zack Ward,15,662,161,Anna Harr,,Restoration ,436,1498,0,,http://www.imdb.com/title/tt4517738/?ref_=fn_tt_tt_1,,,4.0,,378
Mike Marvin,70,28,415,Randy Quaid,3500000,The Wraith ,10082,2319,2,arizona|death|gang|police|sheriff,http://www.imdb.com/title/tt0092240/?ref_=fn_tt_tt_1,R,2700000,5.9,1.85,0
D.J. Caruso,79,154,576,Meat Loaf,676698,The Salton Sea ,26730,4094,0,male in shower|murder|neighbor neighbor relationship|remote control car|sex scene,http://www.imdb.com/title/tt0235737/?ref_=fn_tt_tt_1,R,18000000,7.2,1.85,2000
Nimród Antal,103,190,151,Mackenzie Gray,3419967,Metallica Through the Never ,13359,1083,0,headbanger|metallica|roadie|song in title|standing on the roof of a car,http://www.imdb.com/title/tt2172935/?ref_=fn_tt_tt_1,R,,7.2,2.35,19000
Gregor Jordan,97,34,394,Brad Renfro,,The Informers ,14324,2215,1,breasts|female nudity|male pubic hair|pubic hair|sex scene,http://www.imdb.com/title/tt0865554/?ref_=fn_tt_tt_1,R,18000000,5.1,2.35,1000
,108,,30,Nora von Waldstätten,145118,Carlos             ,10111,1032,0,opec|pubic hair|revolutionary|terrorism|true crime,http://www.imdb.com/title/tt1321865/?ref_=fn_tt_tt_1,Not Rated,,7.7,2.35,0
Tran Anh Hung,59,157,32,Simón Andreu,,I Come with the Rain ,2541,198,0,gangster|hong kong|missing person|missing son|serial killer,http://www.imdb.com/title/tt1024744/?ref_=fn_tt_tt_1,Not Rated,18000000,5.5,2.35,342
Lance Hool,10,0,353,Joaquim de Almeida,229311,One Man's Hero ,899,2705,2,american|battalion|catholic|mexican|sergeant,http://www.imdb.com/title/tt0120775/?ref_=fn_tt_tt_1,R,11350000,6.2,2.35,271
George A. Romero,184,0,83,John Amplas,,Day of the Dead ,49669,1592,1,bunker|experiment|military|research|scientist,http://www.imdb.com/title/tt0088993/?ref_=fn_tt_tt_1,Unrated,3500000,7.2,1.85,3000
Chuck Russell,23,55,757,Rebecca De Mornay,,I Am Wrath ,4510,3212,1,conspiracy|female scientist|mugging|police detective|tattoo,http://www.imdb.com/title/tt3212232/?ref_=fn_tt_tt_1,R,18000000,5.2,,0
Christian Volckman,112,2,69,Catherine McCormack,63260,Renaissance ,14325,1185,0,future|kidnapping|missing file|paris france|year 2054,http://www.imdb.com/title/tt0386741/?ref_=fn_tt_tt_1,R,14000000,6.7,2.35,0
Jon Cassar,45,78,720,Landon Liboiron,,Forsaken ,4693,4142,1,,http://www.imdb.com/title/tt2271563/?ref_=fn_tt_tt_1,R,11000000,6.3,2.35,0
Richard Fleischer,59,130,183,Brigitte Nielsen,,Red Sonja ,30215,1243,1,cult film|psychotronic|sword and sorcery|talisman|warrior,http://www.imdb.com/title/tt0089893/?ref_=fn_tt_tt_1,PG-13,17900000,5.0,2.35,0
Rodrigo Cortés,195,89,920,Toby Jones,,Red Lights ,48162,25804,2,fraud|physicist|psychic|skeptic|tailing,http://www.imdb.com/title/tt1748179/?ref_=fn_tt_tt_1,R,14000000,6.2,2.35,10000
Greg Mottola,256,99,778,Joe Lo Truglio,121463226,Superbad ,422606,17584,2,black comedy|bromance|party|school|teen comedy,http://www.imdb.com/title/tt0829482/?ref_=fn_tt_tt_1,R,20000000,7.6,1.85,0
Tyler Perry,44,0,543,Keshia Knight Pulliam,90485233,Madea Goes to Jail ,9544,3699,0,adaptation directed by original author|cross dressing|madea series|remake|sequel,http://www.imdb.com/title/tt1142800/?ref_=fn_tt_tt_1,PG-13,,4.1,1.85,804
David Hayter,59,512,413,Jennifer Hale,,Wolves ,5693,13545,2,bar|female nudity|murder|small town|werewolf,http://www.imdb.com/title/tt1403241/?ref_=fn_tt_tt_1,R,18000000,5.3,2.35,0
Jon M. Chu,97,209,129,Mari Koda,58006147,Step Up 2: The Streets ,67653,816,2,audition|dance|kissing in the rain|student|subway,http://www.imdb.com/title/tt1023481/?ref_=fn_tt_tt_1,PG-13,23000000,6.2,1.85,0
Cory Edwards,142,19,854,Chazz Palminteri,51053787,Hoodwinked! ,45900,14385,1,animal|axe|red riding hood|wolf|woodsman,http://www.imdb.com/title/tt0443536/?ref_=fn_tt_tt_1,PG,17500000,6.5,1.85,0
Terry George,187,83,242,Sophie Okonedo,23472900,Hotel Rwanda ,264533,4142,1,atrocity|central africa|ethnic warfare|united nations peace keeping force|united nations soldier,http://www.imdb.com/title/tt0395169/?ref_=fn_tt_tt_1,PG-13,17500000,8.1,2.35,12000
Xavier Gens,193,87,280,Dougray Scott,39687528,Hitman ,140780,2124,1,hitman|impersonation|see through dress|topless female nudity|woman on top,http://www.imdb.com/title/tt0465494/?ref_=fn_tt_tt_1,R,24000000,6.3,2.35,0
Kasi Lemmons,40,148,170,Mary J. Blige,7017178,Black Nativity ,1633,1373,5,based on stage musical|based on the bible|christmas|color in title|nativity,http://www.imdb.com/title/tt1425922/?ref_=fn_tt_tt_1,PG,17500000,4.4,2.35,0
Brian A Miller,46,32,1000,50 Cent,,The Prince ,13133,16735,4,assassin|fight|mechanic|rescue|rival,http://www.imdb.com/title/tt1085492/?ref_=fn_tt_tt_1,R,18000000,4.6,2.35,0
Matt Dillon,38,0,50,Shawn Andrews,325491,City of Ghosts ,4387,245,0,bag over head|buddhist temple|loss of friend|male bonding|nightclub,http://www.imdb.com/title/tt0164003/?ref_=fn_tt_tt_1,R,17500000,6.0,1.85,204
Alejandro Amenábar,239,448,83,Elaine Cassidy,96471845,The Others ,268581,956,0,curtain|haunting|mansion|mute|xeroderma pigmentosum,http://www.imdb.com/title/tt0230600/?ref_=fn_tt_tt_1,PG-13,17000000,7.6,1.85,20000
James Cameron,250,0,604,Carrie Henn,85200000,Aliens ,488537,4228,1,alien|human versus alien|monster|rescue mission|space marine,http://www.imdb.com/title/tt0090605/?ref_=fn_tt_tt_1,R,18500000,8.4,1.85,18000
George Cukor,82,165,244,Rex Harrison,72000000,My Fair Lady ,66959,1164,1,colonel|flower girl|professor|street|wager,http://www.imdb.com/title/tt0058385/?ref_=fn_tt_tt_1,Approved,17000000,7.9,2.2,0
Jim Gillespie,140,13,681,Sarah Michelle Gellar,72219395,I Know What You Did Last Summer ,105585,50284,1,beach|corpse|fourth of july|overalls|revenge,http://www.imdb.com/title/tt0119345/?ref_=fn_tt_tt_1,R,17000000,5.6,2.35,0
Luke Greenfield,129,42,613,Damon Wayans Jr.,82389560,Let's Be Cops ,106820,3627,1,friendship between men|impersonating a police officer|mobster|party|police officer,http://www.imdb.com/title/tt1924435/?ref_=fn_tt_tt_1,R,17000000,6.5,1.85,14000
Alexander Payne,285,729,284,Patrick Gallagher,71502303,Sideways ,149966,2170,0,actor|california|teacher|wine|writer,http://www.imdb.com/title/tt0375063/?ref_=fn_tt_tt_1,R,12000000,7.5,1.85,0
Jay Chandrasekhar,91,422,422,Owain Yeoman,19179969,Beerfest ,54710,35345,2,beer|competition|germany|oktoberfest|prostitute,http://www.imdb.com/title/tt0486551/?ref_=fn_tt_tt_1,R,17500000,6.3,2.35,0
John Carpenter,318,0,598,Donald Pleasence,47000000,Halloween ,157857,4400,0,halloween|masked killer|michael myers|slasher|trick or treat,http://www.imdb.com/title/tt0077651/?ref_=fn_tt_tt_1,R,300000,7.9,2.35,12000
Yimou Zhang,283,611,576,Tony Chiu Wai Leung,84961,Hero ,149414,6229,4,china|flying|king|palace|sword,http://www.imdb.com/title/tt0299977/?ref_=fn_tt_tt_1,PG-13,31000000,7.9,2.35,0
John Hoffman,52,9,503,Molly Shannon,37566230,Good Boy! ,3407,2164,1,dog|friend|neighborhood|planet|star,http://www.imdb.com/title/tt0326900/?ref_=fn_tt_tt_1,PG,17000000,5.1,1.85,309
Malcolm D. Lee,56,92,849,Sanaa Lathan,70492685,The Best Man Holiday ,11600,5306,5,childbirth|christmas|gay slur|infidelity|punched in the nose,http://www.imdb.com/title/tt2083355/?ref_=fn_tt_tt_1,R,17000000,6.7,2.35,7000
Joe Carnahan,186,248,968,Common,35635046,Smokin' Aces ,121058,19410,0,casino|fbi|mafia|mob hit|sniper,http://www.imdb.com/title/tt0475394/?ref_=fn_tt_tt_1,R,17000000,6.7,2.35,3000
Kevin Greutert,178,52,298,Gina Holden,45670855,Saw 3D: The Final Chapter ,67978,1978,0,blood splatter|self help guru|sequel|support group|survivor,http://www.imdb.com/title/tt1477076/?ref_=fn_tt_tt_1,R,20000000,5.6,1.85,12000
Michael Lehmann,140,36,486,Vinessa Shaw,37939782,40 Days and 40 Nights ,62272,3294,0,female on male rape|lent|male rear nudity|masturbation|sex,http://www.imdb.com/title/tt0243736/?ref_=fn_tt_tt_1,R,17000000,5.6,1.85,2000
Joseph Kosinski,469,364,1000,Olivia Wilde,172051787,TRON: Legacy ,264186,25549,0,arcade|bridge|disappearance|escape|warrior,http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1,PG,170000000,6.8,2.35,30000
John Fortenberry,63,12,281,Chris Kattan,30324946,A Night at the Roxbury ,48458,9271,2,1990s|bar|car accident|nightclub|whipped cream,http://www.imdb.com/title/tt0120770/?ref_=fn_tt_tt_1,PG-13,17000000,6.2,1.85,0
Daniel Barnz,148,33,583,Mary-Kate Olsen,27854896,Beastly ,64190,17396,1,love|maid|newscaster|student|tutor,http://www.imdb.com/title/tt1152398/?ref_=fn_tt_tt_1,PG-13,17000000,5.6,2.35,16000
Alexandre Aja,265,192,580,Greg Nicotero,41777564,The Hills Have Eyes ,129719,4500,0,desert|horror movie remake|murder of family|rape|slasher,http://www.imdb.com/title/tt0454841/?ref_=fn_tt_tt_1,R,15000000,6.4,2.35,0
Sam Weisman,75,39,428,Jenna Boyd,22734486,Dickie Roberts: Former Child Star ,11815,2713,1,dental braces|dental headgear|former child star|panties|white panties,http://www.imdb.com/title/tt0325258/?ref_=fn_tt_tt_1,PG-13,17000000,5.6,2.35,320
Niki Caro,113,51,89,Valente Rodriguez,44469602,McFarland, USA ,23480,952,0,coach|high school|place name in title|school|student,http://www.imdb.com/title/tt2097298/?ref_=fn_tt_tt_1,PG,17000000,7.4,2.35,21000
Erik White,62,17,826,Loretta Devine,24708699,Lottery Ticket ,7991,4797,7,block party|eurocopter ec120 colibri|fortune cookie|lottery ticket|reverend,http://www.imdb.com/title/tt0979434/?ref_=fn_tt_tt_1,PG-13,,4.9,2.35,0
Chris Robinson,54,49,104,Adam Boyer,21160089,ATL ,8522,1538,0,high school|rollerskating rink|spelman college|twin|voice over narration,http://www.imdb.com/title/tt0466856/?ref_=fn_tt_tt_1,PG-13,,6.0,2.35,874
Jason Moore,223,36,746,Hana Mae Lee,64998368,Pitch Perfect ,213898,12676,4,a cappella|competition|dj|female protagonist|lesbian,http://www.imdb.com/title/tt1981677/?ref_=fn_tt_tt_1,PG-13,17000000,7.2,1.85,36000
Michael Tollin,50,19,505,Brian Dennehy,19693891,Summer Catch ,12993,3344,2,baseball|baseball player|night|rivalry|summer,http://www.imdb.com/title/tt0234829/?ref_=fn_tt_tt_1,PG-13,34000000,4.9,1.85,476
Sam Raimi,125,0,244,Bridget Fonda,16311763,A Simple Plan ,50656,2365,1,bag of money|found money|minnesota|screenplay adapted by author|snow,http://www.imdb.com/title/tt0120324/?ref_=fn_tt_tt_1,R,17000000,7.5,1.85,0
Robert Harmon,81,11,973,Ethan Embry,12693621,They ,10885,4060,0,darkness|friend|kiss|nightmare|suicide,http://www.imdb.com/title/tt0283632/?ref_=fn_tt_tt_1,PG-13,17000000,4.8,2.35,814
Trent Cooper,37,0,323,Larry the Cable Guy,15655665,Larry the Cable Guy: Health Inspector ,9104,2135,2,diner|food poisoning|health inspector|restaurant|undercover,http://www.imdb.com/title/tt0462395/?ref_=fn_tt_tt_1,PG-13,4000000,3.1,1.33,110
Gary Halvorson,44,11,142,Kevin Clash,11634458,The Adventures of Elmo in Grouchland ,2045,2020,0,based on tv series|blanket|box office flop|rescue|sesame street,http://www.imdb.com/title/tt0159421/?ref_=fn_tt_tt_1,G,17000000,5.8,1.85,339
Antoine Fuqua,197,847,625,Lili Taylor,27154426,Brooklyn's Finest ,52852,6317,1,catholic|corrupt cop|new york city|police detective|police officer killed,http://www.imdb.com/title/tt1210042/?ref_=fn_tt_tt_1,R,17000000,6.7,2.35,4000
Nicholas Ray,15,117,86,David Niven,,55 Days at Peking ,4550,1567,3,ambassador|boxer rebellion|china|colonialism|peking china,http://www.imdb.com/title/tt0056800/?ref_=fn_tt_tt_1,Unrated,9000000,6.8,2.2,419
Fede Alvarez,543,201,58,Elizabeth Blackmore,54239856,Evil Dead ,125016,673,0,book of the dead|demon|h.p. lovecraft|lesbian kiss|promise,http://www.imdb.com/title/tt1288558/?ref_=fn_tt_tt_1,R,17000000,6.5,2.35,70000
Donald Petrie,112,80,399,Harland Williams,8662318,My Life in Ruins ,15033,2016,1,greece|greek|tour bus|tour guide|tourist,http://www.imdb.com/title/tt0865559/?ref_=fn_tt_tt_1,PG-13,17000000,5.9,1.85,0
Paul Weitz,153,80,841,Dennis Quaid,7156725,American Dreamz ,22639,5992,6,chief of staff|contest|president|singing|terrorist,http://www.imdb.com/title/tt0465142/?ref_=fn_tt_tt_1,PG-13,19000000,5.5,1.85,300
Sidney J. Furie,94,22,488,Margot Kidder,15681020,Superman IV: The Quest for Peace ,33570,3007,6,box office flop|dc comics|hair|nuclear disarmament|superman,http://www.imdb.com/title/tt0094074/?ref_=fn_tt_tt_1,PG,17000000,3.6,2.35,1000
Ian Iqbal Rashid,62,8,66,Clé Bennett,7070459,How She Move ,4600,760,0,dance|dance contest|loss of sister|step dancing|teenager,http://www.imdb.com/title/tt0770810/?ref_=fn_tt_tt_1,PG-13,,3.3,1.85,238
Wayne Kramer,157,47,834,Chazz Palminteri,6855137,Running Scared ,88590,27381,2,adult child friendship|corrupt cop|fistfight|gangster|thug,http://www.imdb.com/title/tt0404390/?ref_=fn_tt_tt_1,R,17000000,7.4,2.35,0
Rowdy Herrington,35,9,193,Jeremy Northam,2694071,Bobby Jones: Stroke of Genius ,3222,1727,3,colon in title|competition|five word title|golf|temper,http://www.imdb.com/title/tt0375104/?ref_=fn_tt_tt_1,PG,,6.7,2.35,352
Jim Goddard,21,3,161,Paul Freeman,2315683,Shanghai Surprise ,4081,805,0,china|missionary|opium|villain|year 1937,http://www.imdb.com/title/tt0091934/?ref_=fn_tt_tt_1,PG-13,17000000,3.0,1.85,154
Neil Burger,236,168,96,Eddie Marsan,39825798,The Illusionist ,295375,4210,3,duchess|illusionist|magician|prince|supernatural power,http://www.imdb.com/title/tt0443543/?ref_=fn_tt_tt_1,PG-13,16000000,7.6,1.85,15000
Noel Marshall,50,4,60,Melanie Griffith,2000000,Roar ,1275,1262,0,chase|dead man|jungle|killing a lion|killing a tiger,http://www.imdb.com/title/tt0083001/?ref_=fn_tt_tt_1,PG,17000000,6.4,2.35,0
Joel Schumacher,106,541,71,David Murray,1569918,Veronica Guerin ,16234,409,1,criminal|drug lord|gunshot|irish|journalist,http://www.imdb.com/title/tt0312549/?ref_=fn_tt_tt_1,R,17000000,6.9,2.35,0
Andrea Di Stefano,106,30,55,Brady Corbet,106869,Escobar: Paradise Lost ,13762,14492,1,colombia|dream|love|surfer|village,http://www.imdb.com/title/tt2515030/?ref_=fn_tt_tt_1,R,17000000,6.6,,0
Richard Kelly,173,219,215,Curtis Armstrong,273420,Southland Tales ,32671,2340,6,amnesia|boxer|conspiracy|police|porn star,http://www.imdb.com/title/tt0405336/?ref_=fn_tt_tt_1,R,17000000,5.5,2.35,0
Guillaume Ivernel,41,0,168,Jess Harnell,,Dragon Hunters ,10706,1364,0,cgi film|computer animation|dragon|hunter,http://www.imdb.com/title/tt0944834/?ref_=fn_tt_tt_1,PG,11000000,6.6,,0
Jack Smight,41,22,255,Jan-Michael Vincent,,Damnation Alley ,3701,1769,0,cockroach|desert|ghost town|giant spider|travel,http://www.imdb.com/title/tt0075909/?ref_=fn_tt_tt_1,PG,17000000,5.2,2.35,903
Todd Lincoln,145,57,62,Rick Gomez,4930798,The Apparition ,16268,730,1,e mail|evil spirit|experiment|fear|supernatural,http://www.imdb.com/title/tt1433822/?ref_=fn_tt_tt_1,PG-13,17000000,4.1,2.35,0
Howard Zieff,31,6,165,Jamie Lee Curtis,59847242,My Girl ,55895,5433,1,best friend|funeral|girl|overalls|summer,http://www.imdb.com/title/tt0102492/?ref_=fn_tt_tt_1,PG-13,16500000,6.8,1.85,0
Steven Shainberg,105,30,260,Ty Burrell,220914,Fur: An Imaginary Portrait of Diane Arbus ,13239,25173,2,character name in title|diane arbus|male full frontal nudity|photographer|pubic hair,http://www.imdb.com/title/tt0422295/?ref_=fn_tt_tt_1,R,16800000,6.5,1.85,0
Neil Burger,236,168,96,Eddie Marsan,39825798,The Illusionist ,295375,4210,3,duchess|illusionist|magician|prince|supernatural power,http://www.imdb.com/title/tt0443543/?ref_=fn_tt_tt_1,PG-13,16000000,7.6,1.85,15000
Oliver Stone,114,0,168,Tamara Tunie,43848100,Wall Street ,119150,1607,2,1980s|argument|critique of capitalism|f word|fired from the job,http://www.imdb.com/title/tt0094291/?ref_=fn_tt_tt_1,R,15000000,7.4,1.85,0
Ang Lee,69,0,1000,Kate Winslet,42700000,Sense and Sensibility ,78392,41059,2,1810s|female protagonist|horseback riding|inheritance|three word title,http://www.imdb.com/title/tt0114388/?ref_=fn_tt_tt_1,PG,16500000,7.7,1.85,0
Julian Jarrold,150,11,281,Julie Walters,18663911,Becoming Jane ,46204,12554,1,country estate|jane austen|lady|love|writing,http://www.imdb.com/title/tt0416508/?ref_=fn_tt_tt_1,PG,16500000,7.1,2.35,0
Joe Nussbaum,72,18,433,Matt Long,11702090,Sydney White ,37700,2785,2,college|college girl|female protagonist|sorority|sorority house,http://www.imdb.com/title/tt0815244/?ref_=fn_tt_tt_1,PG-13,16500000,6.3,2.35,0
Vadim Perelman,158,26,385,Kim Dickens,13005485,House of Sand and Fog ,56665,2282,0,auction|home|house|iranian|marriage,http://www.imdb.com/title/tt0315983/?ref_=fn_tt_tt_1,R,15000000,7.6,1.85,0
Peter Weir,96,608,1000,Josh Charles,95860116,Dead Poets Society ,277451,51609,0,education|english teacher|poet|professor|student,http://www.imdb.com/title/tt0097165/?ref_=fn_tt_tt_1,PG,16400000,8.0,1.85,23000
Peter Farrelly,84,137,481,Mike Starr,127175354,Dumb & Dumber ,288451,2985,2,briefcase full of money|character repeating someone else's dialogue|character says i love you|friendship|reference to cinderella,http://www.imdb.com/title/tt0109686/?ref_=fn_tt_tt_1,PG-13,16000000,7.3,1.85,0
Rob Reiner,114,0,62,Gretchen Palmer,92823600,When Harry Met Sally... ,149108,485,0,friendship|love|male female friendship|new york|sex,http://www.imdb.com/title/tt0098635/?ref_=fn_tt_tt_1,R,16000000,7.6,1.85,0
Sidney Lumet,79,0,359,James Mason,54000000,The Verdict ,26310,2330,0,archdiocese|court|hospital|lawyer|malpractice,http://www.imdb.com/title/tt0084855/?ref_=fn_tt_tt_1,R,16000000,7.8,1.85,0
Todd Phillips,103,480,486,Rachel Blanchard,68525609,Road Trip ,132963,3889,5,blonde|college|friend|highway travel|road trip,http://www.imdb.com/title/tt0215129/?ref_=fn_tt_tt_1,R,15600000,6.5,1.85,0
Brian Robbins,67,48,35,Ron Lester,52885587,Varsity Blues ,35312,23369,0,coach|coyote|popularity|quarterback|texas,http://www.imdb.com/title/tt0139699/?ref_=fn_tt_tt_1,R,16000000,6.4,1.85,0
Michel Hazanavicius,576,405,628,Ed Lauter,44667095,The Artist ,190030,4606,0,1920s|jack russell terrier|modern silent movie|movie star|movie studio,http://www.imdb.com/title/tt1655442/?ref_=fn_tt_tt_1,PG-13,15000000,8.0,1.33,30000
David S. Goyer,178,687,389,Atticus Shaffer,42638165,The Unborn ,42182,12183,1,babysitting|experiment|nightmare|possession|twin,http://www.imdb.com/title/tt1139668/?ref_=fn_tt_tt_1,PG-13,16000000,4.8,2.35,0
Wes Anderson,487,0,559,Bill Murray,45507053,Moonrise Kingdom ,237848,27911,2,1960s|boy scouts|boy scouts camp|coming of age|young love,http://www.imdb.com/title/tt1748122/?ref_=fn_tt_tt_1,PG-13,16000000,7.8,1.85,71000
Jonathan Liebesman,196,473,597,Jordana Brewster,39511038,The Texas Chainsaw Massacre: The Beginning ,56269,26402,0,cannibal|car accident|leatherface|psychopath|slaughterhouse,http://www.imdb.com/title/tt0420294/?ref_=fn_tt_tt_1,R,16000000,5.9,1.85,0
Cyrus Nowrasteh,24,19,107,Vincent Walsh,6462576,The Young Messiah ,1449,824,0,based on novel,http://www.imdb.com/title/tt1002563/?ref_=fn_tt_tt_1,PG-13,18500000,5.4,2.35,0
Perry Andelin Blake,56,11,499,Kenan Thompson,40363530,The Master of Disguise ,18254,3058,2,disguise|mask|master of disguise|restaurant|waiter,http://www.imdb.com/title/tt0295427/?ref_=fn_tt_tt_1,PG,16000000,3.3,1.85,1000
Guillermo del Toro,406,0,250,Maribel Verdú,37623143,Pan's Labyrinth ,467234,1322,0,fairy|fairy tale|faun|princess|spain,http://www.imdb.com/title/tt0457430/?ref_=fn_tt_tt_1,R,13500000,8.2,1.85,27000
,3,,762,Jessika Van,,The Messengers             ,7210,4561,0,,http://www.imdb.com/title/tt3513704/?ref_=fn_tt_tt_1,,,6.6,16.0,0
John Whitesell,51,14,635,Angus T. Jones,33357476,See Spot Run ,7392,4194,0,boy|fbi|mailman|van|witness protection,http://www.imdb.com/title/tt0250720/?ref_=fn_tt_tt_1,PG,35000000,5.4,1.85,393
John Singleton,41,309,522,Snoop Dogg,28734552,Baby Boy ,9566,3107,2,cartoon on tv|family relationships|physical abuse|single parent|two word title,http://www.imdb.com/title/tt0255819/?ref_=fn_tt_tt_1,R,16000000,6.4,1.85,1000
Christian E. Christiansen,138,26,638,Danneel Ackles,37300107,The Roommate ,29147,5349,1,animal abuse(non graphic)|cat killer|college|dead cat|death of cat,http://www.imdb.com/title/tt1265990/?ref_=fn_tt_tt_1,PG-13,16000000,4.8,2.35,0
Dennie Gordon,78,29,459,Erik Per Sullivan,27087695,Joe Dirt ,41664,2543,0,first part|grand canyon|highway travel|indian|janitor,http://www.imdb.com/title/tt0245686/?ref_=fn_tt_tt_1,PG-13,17700000,5.9,1.85,0
Sheldon Lettich,40,23,51,Alonna Shaw,30102717,Double Impact ,28736,874,2,boat|hong kong|murder|tunnel|twins,http://www.imdb.com/title/tt0101764/?ref_=fn_tt_tt_1,R,15000000,5.5,1.85,0
Edgar Wright,285,1000,108,Joe Cornish,23618786,Hot Fuzz ,352695,485,1,accident|conspiracy|police|police officer|village,http://www.imdb.com/title/tt0425112/?ref_=fn_tt_tt_1,R,8000000,7.9,2.35,17000
Diane English,124,15,650,Debi Mazar,26896744,The Women ,16582,3485,4,beauty salon|divorce|fashion|new york|perfume,http://www.imdb.com/title/tt0430770/?ref_=fn_tt_tt_1,PG-13,16500000,4.9,1.85,0
