num_critic_for_reviews,facenumber_in_poster,plot_keywords,movie_imdb_link,language,budget
61,1,beekeeper|bound and gagged|dysfunctional family|man with glasses|tied to a chair,http://www.imdb.com/title/tt0120402/?ref_=fn_tt_tt_1,English,2700000
33,0,black horse|boy horse relationship|horse|rescued by a horse|training,http://www.imdb.com/title/tt0078872/?ref_=fn_tt_tt_1,English,2700000
1,2,,http://www.imdb.com/title/tt4080386/?ref_=fn_tt_tt_1,Panjabi,3000000
2,0,crew|cult film|denmark|earth|wristwatch,http://www.imdb.com/title/tt1095423/?ref_=fn_tt_tt_1,Danish,
27,1,falling into water|medical doctor|priest|roof leak|swimming in the ocean,http://www.imdb.com/title/tt0057007/?ref_=fn_tt_tt_1,English,2686585
19,0,bare breasts|bra|panties|topless female nudity|underwear,http://www.imdb.com/title/tt0116729/?ref_=fn_tt_tt_1,Dutch,2650000
9,0,heaven|pilot|teacher|training|world war two,http://www.imdb.com/title/tt0035959/?ref_=fn_tt_tt_1,English,2627000
121,0,railroad|reference to douglas fairbanks|reference to jesse owens|reference to randolph scott|year 1874,http://www.imdb.com/title/tt0071230/?ref_=fn_tt_tt_1,English,2600000
166,0,friday the thirteenth|hockey mask|jason voorhees|morgue|slasher,http://www.imdb.com/title/tt0087298/?ref_=fn_tt_tt_1,English,1800000
269,1,convent|jew|jewish|nun|poland,http://www.imdb.com/title/tt2718492/?ref_=fn_tt_tt_1,Polish,
29,1,homosexuality|love|male full frontal nudity|male rear nudity|one word title,http://www.imdb.com/title/tt0093512/?ref_=fn_tt_tt_1,English,2600000
20,2,baseball|baseball movie|beer|slacker|softball,http://www.imdb.com/title/tt0453453/?ref_=fn_tt_tt_1,English,2800000
107,0,astronaut|electrocuted in bathtub|mission|pilot|sister,http://www.imdb.com/title/tt0138304/?ref_=fn_tt_tt_1,English,34000000
74,1,beach|surfing|surfing contest|two word title|wave,http://www.imdb.com/title/tt0389326/?ref_=fn_tt_tt_1,English,
173,0,binoculars|hitchcockian|scissors|time machine|woods,http://www.imdb.com/title/tt0480669/?ref_=fn_tt_tt_1,Spanish,2600000
5,1,color in title,http://www.imdb.com/title/tt0851515/?ref_=fn_tt_tt_1,Mandarin,15000000
66,1,hiking|voyeur|voyeurism|west virginia|woods,http://www.imdb.com/title/tt0857295/?ref_=fn_tt_tt_1,English,2600000
169,0,actress|chorus girl|fan|friend|love,http://www.imdb.com/title/tt0045152/?ref_=fn_tt_tt_1,English,2540800
13,2,fat|food|health|juice|obese,http://www.imdb.com/title/tt1227378/?ref_=fn_tt_tt_1,English,2500000
129,6,hamburger|parody|priest|psychic|woman in a bikini,http://www.imdb.com/title/tt2243537/?ref_=fn_tt_tt_1,English,2500000
30,0,critically bashed|partisan commentary|political propoganda|punctuation in title|reenactment,http://www.imdb.com/title/tt2247692/?ref_=fn_tt_tt_1,English,2500000
220,0,halloween|hospital|michael myers|rampage|vomiting,http://www.imdb.com/title/tt1311067/?ref_=fn_tt_tt_1,English,15000000
75,6,band|drummer|jazz|pennsylvania|song,http://www.imdb.com/title/tt0117887/?ref_=fn_tt_tt_1,English,26000000
162,0,doctor|factory|halloween|holiday horror|stonehenge,http://www.imdb.com/title/tt0085636/?ref_=fn_tt_tt_1,English,2500000
74,0,ape|fear|future|spacecraft|spaceship,http://www.imdb.com/title/tt0067065/?ref_=fn_tt_tt_1,English,2500000
65,0,alcoholism|forename as title|rancher|rodeo cowboy|texas,http://www.imdb.com/title/tt0057163/?ref_=fn_tt_tt_1,English,2500000
26,0,lying|montreal|reference to twitter|reference to youtube|toronto,http://www.imdb.com/title/tt2609912/?ref_=fn_tt_tt_1,English,2500000
63,2,friend|hustler|italy|narcolepsy|traveling,http://www.imdb.com/title/tt0102494/?ref_=fn_tt_tt_1,English,2500000
205,3,actor|doctor|drugs|home|pain,http://www.imdb.com/title/tt0333766/?ref_=fn_tt_tt_1,English,2500000
121,1,american|conversations|kiss|love|train,http://www.imdb.com/title/tt0112471/?ref_=fn_tt_tt_1,English,2500000
9,0,canadian gothic|hospital|murder|paranormal|supernatural,http://www.imdb.com/title/tt0380732/?ref_=fn_tt_tt_1,French,3200000
74,1,hospital|love|mennonite|shower|song,http://www.imdb.com/title/tt0186253/?ref_=fn_tt_tt_1,English,2500000
54,0,chinese|chinese american|lesbian love|mother daughter relationship|surgeon,http://www.imdb.com/title/tt0384504/?ref_=fn_tt_tt_1,English,
80,1,arranged marriage|bangladesh|buckingham palace|september 11 2001|title directed by female,http://www.imdb.com/title/tt0940585/?ref_=fn_tt_tt_1,English,
252,3,burglary|dementia|near future|robot|thief,http://www.imdb.com/title/tt1990314/?ref_=fn_tt_tt_1,English,2500000
72,1,cancer|death|doctor|drinking|love,http://www.imdb.com/title/tt0314412/?ref_=fn_tt_tt_1,English,2000000
220,1,crying man|high school|high school senior|men's clothing store|party,http://www.imdb.com/title/tt1714206/?ref_=fn_tt_tt_1,English,2500000
1,0,student film|wonder years,http://www.imdb.com/title/tt0283465/?ref_=fn_tt_tt_1,English,34000
197,1,catholic|christian|jew|muslim|religion,http://www.imdb.com/title/tt0815241/?ref_=fn_tt_tt_1,English,2500000
14,0,alternative energy|energy|fuel|green|oil,http://www.imdb.com/title/tt1294164/?ref_=fn_tt_tt_1,English,2500000
3,7,,http://www.imdb.com/title/tt0472200/?ref_=fn_tt_tt_1,English,2500000
191,0,dodgeball|gym|las vegas|pirate|ups,http://www.imdb.com/title/tt0364725/?ref_=fn_tt_tt_1,English,20000000
18,1,dolphin|island|research|tourist|town,http://www.imdb.com/title/tt0465407/?ref_=fn_tt_tt_1,English,2500000
28,0,church|marriage|mormon|mormon church|proposition,http://www.imdb.com/title/tt1484522/?ref_=fn_tt_tt_1,English,2500000
22,2,birthday|call center|fiance|hotel|indian,http://www.imdb.com/title/tt1049405/?ref_=fn_tt_tt_1,English,14000000
62,0,dissection|male pubic hair|medical school|medical student|train,http://www.imdb.com/title/tt0187696/?ref_=fn_tt_tt_1,German,8400000
47,0,computer|future|mexican immigrant|network|wilhelm scream,http://www.imdb.com/title/tt0804529/?ref_=fn_tt_tt_1,Spanish,2500000
238,0,drug dealer|superhero|tragedy|tragic hero|tragic love,http://www.imdb.com/title/tt1512235/?ref_=fn_tt_tt_1,English,2500000
2,2,boss|holiday|letter|north pole|santa,http://www.imdb.com/title/tt1663628/?ref_=fn_tt_tt_1,English,2500000
95,0,catering|monster|one word title|party|wasp,http://www.imdb.com/title/tt3300572/?ref_=fn_tt_tt_1,English,2500000
10,1,,http://www.imdb.com/title/tt3333870/?ref_=fn_tt_tt_1,English,3500000
28,10,actor|bus|march|million man march|religion,http://www.imdb.com/title/tt0116404/?ref_=fn_tt_tt_1,English,2400000
25,0,bound with duct tape|flash forward|number|riddle|stalking,http://www.imdb.com/title/tt0486028/?ref_=fn_tt_tt_1,English,2400000
121,0,experiment|future|hibernation|stupidity|top secret,http://www.imdb.com/title/tt0387808/?ref_=fn_tt_tt_1,English,
10,0,,http://www.imdb.com/title/tt2945796/?ref_=fn_tt_tt_1,English,2500000
172,0,england|racism|racist|skinhead|violence,http://www.imdb.com/title/tt0480025/?ref_=fn_tt_tt_1,English,1500000
20,0,acronym in title|period in title|title ends with period,http://www.imdb.com/title/tt2040578/?ref_=fn_tt_tt_1,English,2500000
8,2,college|teacher|theatrical producer|tutu|wedding,http://www.imdb.com/title/tt0036628/?ref_=fn_tt_tt_1,English,2361000
8,0,exclamation point in title|imperative in title|punctuation in title|three word title,http://www.imdb.com/title/tt1307926/?ref_=fn_tt_tt_1,English,2450000
15,0,best friend|friendship|population|state in title|texas,http://www.imdb.com/title/tt0118925/?ref_=fn_tt_tt_1,English,
14,3,gambling|interracial marriage|love|miscegenation|showboat,http://www.imdb.com/title/tt0044030/?ref_=fn_tt_tt_1,English,2295429
12,4,death of loved one|loss of father|loss of loved one|musician|singer,http://www.imdb.com/title/tt1470020/?ref_=fn_tt_tt_1,English,
