director_name,num_critic_for_reviews,actor_2_name,genres,actor_3_name,plot_keywords,aspect_ratio
Frank Coraci,188,Steve Coogan,Action|Adventure|Comedy,Cécile De France,19th century|around the world|inventor|martial arts|train,2.35
Jerome Robbins,120,George Chakiris,Crime|Drama|Musical|Romance|Thriller,Richard Beymer,dance|gang|new york city|puerto rican|tragedy,2.2
Harold Ramis,71,Rodney Dangerfield,Comedy|Sport,Brian Doyle-Murray,caddy|country club|golf course|gopher|nudity,1.85
Gary Hardwick,52,Tatyana Ali,Comedy|Drama,Jenifer Lewis,african american|commitment|friend|friendship|playboy,1.85
Rick Famuyiwa,18,Tamala Jones,Comedy|Drama|Romance,Richard T. Jones,flashback|friendship|public nudity|shower|wedding,1.85
Bryan Singer,162,Chazz Palminteri,Crime|Drama|Mystery|Thriller,Kevin Pollak,criminal|dirty cop|flashback|limping|suspect,2.35
Stephen Hopkins,88,Kelly Jo Minter,Fantasy|Horror|Romance|Thriller,Matthew Borlenghi,child|comic book|dream|murderer|nightmare,1.85
Walt Becker,96,Curtis Armstrong,Comedy|Romance,Erik Estrada,college|love|party|reporter|tuition,1.85
Darren Aronofsky,391,John D'Leo,Drama|Sport,Ajay Naidu,heart attack|stripper|supermarket|wrestler|wrestling,2.35
King Vidor,32,Lillian Gish,Drama|Romance|Western,Jennifer Jones,box office hit|half breed|infidelity|shooting|texas,1.37
Christopher Guest,119,Catherine O'Hara,Comedy,Michael McKean,dog show|gay|gay character|gay couple|gay interest,1.85
John Carpenter,201,Adrienne Barbeau,Action|Sci-Fi,Tom Atkins,1990s|police|prison|rescue|year 1997,2.35
Spike Lee,22,Ossie Davis,Comedy|Drama|Musical,Bill Nunn,beauty salon|black college|college|fraternity|sorority,1.85
Fred Savage,52,Brian Doyle-Murray,Comedy|Family,Tamala Jones,competition|estranged father|skunk|summer camp|wall,1.85
Sammo Kam-Bo Hung,63,Richard Norton,Action|Comedy|Crime,Rachel Blakely,chef|cook|drugs|gang|reporter,2.35
Christopher Guest,97,Christopher Guest,Comedy|Music,Laura Harris,concert|mockumentary|musician|new york city|singer,1.85
Donald Petrie,34,Lili Taylor,Comedy|Drama|Romance,Conchata Ferrell,commitment|marriage|pizza|title appears in writing|woman wearing only a man's shirt,1.85
,10,Tuppence Middleton,Drama|History|Romance|War,Lily James,male frontal nudity|male nudity|tv mini series,16.0
Peter Howitt,88,Kevin McNally,Comedy|Drama|Fantasy|Romance,John Lynch,alternative reality|multiple outcomes|parallel time|serendipity|twist of fate,1.85
Rusty Cundieff,25,Clarence Williams III,Comedy|Horror|Thriller,David Alan Grier,child abuse|death|drugs|ku klux klan|police brutality,1.85
Kevin Macdonald,252,Simon McBurney,Biography|Drama|History|Thriller,Abby Mukiibi Nkaaga,1970s|assassination|doctor|scottish|ugandan,2.35
Dominique Othenin-Girard,137,Tamara Glynn,Horror|Thriller,Troy Evans,cat|halloween|kitten|michael myers|psychotronic,1.85
Richard Linklater,231,Brandon Smith,Comedy|Crime|Drama,Rick Dial,funeral|stockbroker|texas|vacation|widow,1.85
Jean-Jacques Mantello,9,Daryl Hannah,Adventure|Documentary|Short,,3d in title|animal in title|digit in title|dolphin|manatee,1.78
Ed Harris,115,Bud Cort,Biography|Drama,Amy Madigan,1940s|artist|drinking|life magazine|painter,1.85
Risa Bramon Garcia,67,Dave Chappelle,Comedy|Drama|Romance,Gaby Hoffmann,bartender|friend|new year's eve|party|punk,1.85
Brian Klugman,216,Bradley Cooper,Drama|Mystery|Romance|Thriller,Olivia Wilde,american in paris|book|love|novel|writer,1.85
Matt Piedmont,133,Adrian Martinez,Comedy|Western,Luis E. Carazo,absurd humor|drug lord|mexico|ranch|spaghetti western,2.35
Raymond De Felitta,149,Curtiss Cook,Comedy|Drama,Dominik García-Lorido,anger|family reunion|father son reunion|hugging|movie making,1.85
John Michael McDonagh,261,Fionnula Flanagan,Comedy|Crime|Thriller,Wale Ojo,boat on fire|drug smuggling|fbi|fbi agent|small town,2.35
Deb Hagan,42,Alona Tal,Comedy,Haley Bennett,college|face slap|high school|loss of virginity|pierced nipple,1.85
Sofia Coppola,152,Kathleen Turner,Drama|Romance,Scott Glenn,catholic|five sisters|isolation|school|suicide,1.85
Mark Herman,64,Annette Badland,Comedy|Drama|Music|Romance,Brenda Blethyn,mother|recluse|shy|singer|talent,1.85
Zach Cregger,76,Windell Middlebrooks,Comedy|Romance,Raquel Alessi,fellatio|hugh hefner|oral sex|playboy centerfold|topless female nudity,1.85
Zach Braff,149,Josh Gad,Comedy|Drama,Michael Weston,actor|dream sequence|genius recluse|jew|religion,2.35
Mark Tarlov,35,Dylan Baker,Comedy|Drama|Fantasy|Romance,Lawrence Gilliard Jr.,chef|female chef|love|magic|restaurant,2.35
,47,Jason Dohring,Crime|Drama|Mystery,Enrico Colantoni,best friend|high school|private detective|sheriff|student,1.78
John Cameron Mitchell,108,Miriam Shor,Comedy|Drama|Music|Musical,Andrea Martin,band|rock band|sex change|song|transsexual,1.85
Sheldon Lettich,17,Ryan Bollman,Action|Drama,Todd Susman,capoeira|fight|fighting|martial arts|violence,1.85
Jon Knautz,12,Monda Scott,Drama|Horror|Mystery|Thriller,Alexis Kendra,female nudity|hallucination|sex scene|strip club|stripper,2.35
Billy Ray,129,Rosario Dawson,Drama|History,Cas Anvar,fabricated facts|journalist|stephen glass|the new republic|writer,2.35
David Atkins,84,Lynne Thigpen,Comedy|Crime|Drama|Thriller,Polly Noonan,dentist|drugs|murder|sex|sunflower,1.85
Patrick Stettner,61,Tony Devon,Drama|Thriller,Frederick Weller,airport|businesswoman|hotel|revenge|vegetarian,1.85
Sam Peckinpah,147,Warren Oates,Action|Adventure|Western,L.Q. Jones,friendship|honor|righteous rage|soldier|texas,2.35
Jonathan Levine,147,Aaron Yoo,Comedy|Drama|Romance,Method Man,ice cream|marijuana|new york city|summer|therapy,2.35
Michael Crichton,23,Michael Elphick,Adventure|Crime|Drama|Thriller,Pamela Salem,bank|gold|key|safe|train,1.85
Lynne Ramsay,75,Bryan Dick,Drama,Paul Popplewell,breasts|cleavage|female rear nudity|girl in panties|public nudity,1.85
Sylvio Tabet,17,Kari Wuhrer,Action|Adventure|Fantasy|Sci-Fi,Marc Singer,beast|beastmaster|psychotronic|sword and sorcery|warrior,1.85
Rick Bieber,16,Kendrick Cross,Biography|Drama|Sport,Sammy Nagi Njuguna,athletic training|football practice|funeral|gymnasium|man crying,1.85
Claude Chabrol,60,Nathalie Baye,Drama,Mélanie Doutey,bordeaux|election|mayor|pamphlet|political thriller,1.66
Shana Feste,63,Zoë Kravitz,Drama|Romance,Cara Seymour,car crash|loss|self help group|teenage mother|title directed by female,2.35
Wayne Wang,56,Russell Wong,Drama|History,Ji-hyun Jun,car hitting pedestrian|china|fan|nineteenth century|reversal of fortune,2.35
Joey Lauren Adams,36,Diane Ladd,Drama|Romance,Ritchie Montgomery,church|drink|knocking on a door|love|three word title,1.85
Peter Cattaneo,47,Olivia Williams,Comedy|Crime|Romance,Peter McNamara,escape|prison|prison escape|sadism|solitary confinement,2.35
Fred Zinnemann,38,Jane Fonda,Drama,Vanessa Redgrave,1930s|female protagonist|nazi|romantic friendship|writer,1.85
S.R. Bindler,26,Scott Glenn,Comedy,Sarah Wright,barefoot|endorsement|surfboard|virtual reality|waves,1.85
Tony Kaye,47,Pat Buchanan,Documentary,Bill Baird,abortion|southern accent|title based on the bible|trial|usa,
Greg Marcks,68,Barbara Hershey,Comedy|Crime|Drama,Shawn Hatosy,convenience store|multiple perspectives|murder|paramedic|van,1.85
Perry Lang,19,Kevin Tighe,Action|Drama|Thriller,Tim Guinee,cockney accent|fight|island|machismo|mercenary,2.35
Jake Goldberger,39,M. Emmet Walsh,Drama|Mystery|Thriller,Robert Wahlberg,dead body|dead body in a freezer|dead body wrapped in carpet|person in a car trunk|school janitor,1.85
Stefan Ruzowitzky,162,Olivia Wilde,Crime|Drama|Thriller,Sissy Spacek,police officer|police officer killed|police officer shot|sex scene,2.35
Vic Sarin,37,Aidan Quinn,Drama|Family,John Bell,island|love|new home|orphan|rainbow,2.35
William Kaufman,26,Sean Cook,Action|Thriller,Cole Hauser,die hard scenario|engineer|held at gunpoint|race against time|shot to death,1.85
,10,Blake Ritson,Comedy|Drama|Romance,Rupert Evans,friendship|love triangle|matchmaker|naivety|opposites attract,1.78
David Cronenberg,179,Leslie Carlson,Horror|Mystery|Sci-Fi|Thriller,Reiner Schwarz,cyberpunk|hallucination|illegality|snuff film|surrealism,1.85
Cédric Klapisch,88,Cécile De France,Comedy|Drama,Iddo Goldberg,apartment|erasmus|language|student|trip,1.85
Kate Barker-Froyland,43,Shawn Parsons,Drama|Music,Li Jun Li,musician|number in title|recording|sibling,
Barbet Schroeder,136,Chris Penn,Crime|Mystery|Thriller,Agnes Bruckner,disposing of a dead body|high school student|murder|sociopath|teenage boy,1.85
Martin Koolhoven,111,Tygo Gernandt,Drama|History|War,Martijn Lakemeier,horse|nazi|occupation|resistance movement|uncle nephew relationship,2.35
Charles Matthau,13,Michael Jai White,Comedy|Crime|Thriller,Bill Duke,black panties|bomb squad|car bomb|dynamite|girl in panties,
John Frankenheimer,64,Paul Scofield,Thriller|War,Michel Simon,art|french|german|painting|train,1.66
Christopher M. Bessette,6,John Billingsley,Drama|Thriller,Trieu Tran,angkor wat|human trafficking|sex slavery|sex tourism,2.35
Prachya Pinkaew,112,Nathan Jones,Action|Crime|Drama|Thriller,Johnny Nguyen,die hard scenario|elephant|long take|police|sydney australia,1.85
Gary Sinyor,12,Frank Finlay,Comedy,Samuel West,class conflict|edwardian era|england|sexual awakening|spoof,1.85
,15,Belinda Stewart-Wilson,Comedy|Romance,James Buckley,black comedy|bully|friend|house|practical joke,16.0
Gurinder Chadha,161,Parminder Nagra,Comedy|Drama|Romance|Sport,Anupam Kher,hinduism|marriage engagement|soccer|team|tradition,1.85
John Sayles,68,Edie Falco,Drama|Romance,Timothy Hutton,african american|business|coastline|florida|real estate,1.85
Preston A. Whitmore II,25,Wayne Brady,Action|Sport,Eva Marcille,african american|basketball|basketball movie|critically bashed|tv commercial,1.85
Ashish R. Mohan,23,Mithun Chakraborty,Action|Comedy,Johnny Lever,car crash|impersonating a police officer|long lost brother|marriage bureau|suitor,
Jaume Balagueró,222,Pablo Rosso,Horror,Andrea Ros,apartment|apartment building|blood sample|crucifix|zombie,1.85
Stewart Raffill,9,Alexis Biesiada,Musical,Kayla Raparelli,dance|dream|frog|philadelphia pennsylvania|snake,
George Roy Hill,119,Robert Shaw,Comedy|Crime|Drama,Ray Walston,con|con man|courier|long con|murder,1.85
Hugh Hudson,90,Ben Cross,Biography|Drama|Sport,John Gielgud,athlete|jew|missionary|olympic games|race,1.85
Darren Grant,62,Kimberly Elise,Comedy|Drama|Romance,Tamara Taylor,comic relief|diary|kiss|madea series|state flag,1.85
Scott Hicks,71,Armin Mueller-Stahl,Biography|Drama|Music|Romance,Nicholas Bell,abuse|australia|concert|pianist|piano,1.85
Joseph Gordon-Levitt,364,Scarlett Johansson,Comedy|Drama|Romance,Tony Danza,camera focus on female butt|cunnilingus|new jersey|oral sex|reference to facebook,2.35
Clint Eastwood,72,Richard Bull,Mystery|Western,John Hillerman,gravestone|gunfighter|outlaw|revenge|small town,2.35
Terry Zwigoff,122,Steve Buscemi,Comedy|Drama,T.J. Thyne,art class|diner|friend|graduation|high school,1.85
Richard Eyre,100,Jim Broadbent,Biography|Drama|Romance,Kris Marshall,alzheimer's disease|book|love|novelist|writer,1.85
William Sachs,24,Avery Schreiber,Comedy|Sci-Fi,Angelo Rossitto,alien|android|fem bot|female android|stars,2.35
Christophe Barratier,112,François Berléand,Drama|Music,Gérard Jugnot,boarding school|boy|choir|school|teacher,2.35
Émile Gaudreault,67,Luke Kirby,Comedy|Drama,Claudia Ferri,gay|immigrant|italian|police|police officer,1.85
James Cox,91,Louis Lombardi,Crime|Drama|Mystery|Thriller,Franky G,murder|police|police investigation|porn star|robbery,1.85
Spike Lee,103,John Savage,Drama,Danny Aiello,black militant|frustration|pizza|pizza parlor|pizzeria,1.85
James Toback,27,Eric Stoltz,Comedy|Crime|Drama|Romance|Thriller,Joey Lauren Adams,basketball|cheerleader|college|harvard|philosophy,2.35
Aki Kaurismäki,205,Kati Outinen,Comedy|Drama,Jean-Pierre Darroussin,bar|container|illegal immigrant|neighbor|shoe shiner,1.85
Gaspar Noé,192,Albert Dupontel,Crime|Drama|Mystery|Thriller,Jo Prestia,long take|male frontal nudity|revenge|reverse chronology|vengeance,2.35
Hitoshi Matsumoto,72,Hitoshi Matsumoto,Comedy|Drama,Shinobu Terajima,coma|one word title|spitting|sushi|swimming pool,1.85
Rakeysh Omprakash Mehra,33,Steven Mackintosh,Comedy|Drama|History|Romance,Madhavan,freedom|friend|india|student|urination,2.35
Collin Schiffli,22,John Heard,Drama,David Dastmalchian,drug addict|drug addiction|drug use|drugs|junkie,2.35
George Ratliff,48,Cree Kelly,Action|Comedy|Drama|Thriller,Mike Eshaq,cross|doused with gasoline|pastor|security guard|shower,1.85
David Wain,65,Ken Marino,Comedy|Romance,Ron Silver,death|mexico|sabbath|surgeon|ten stories,1.85
Shane Meadows,29,Paddy Considine,Comedy|Drama,Shane Meadows,betrayal|family relationships|friendship|psychosis|stranger,1.85
Morten Tyldum,284,Synnøve Macody Lund,Crime|Drama|Thriller,Julie R. Ølgaard,art thief|male frontal nudity|male nudity|male star appears nude|painting,2.39
Jon Wright,187,Richard Coyle,Comedy|Horror|Sci-Fi|Thriller,Bronagh Gallagher,bathtub|eaten alive|ferry boat|lobster trap|sprinkler system,2.35
Michael McGowan,47,Adam Butcher,Comedy|Drama|Sport,Gordon Pinsent,boston marathon|coma|marathon|miracles|running,1.85
Liv Ullmann,88,Jessica Chastain,Drama|Romance,Colin Farrell,kissing someone's boot|midsummer|telling someone to shut up|two word title|valet,
Jeannot Szwarc,41,Bill Erwin,Drama|Fantasy|Romance,George Voskovec,hotel|love|love across time|time travel|time travel romance,1.85
Rohan Sippy,24,Bipasha Basu,Action|Crime|Drama|Thriller,Prateik,airport|drugs|loss of loved one|police|title based on song,
James Wan,318,Barbara Hershey,Fantasy|Horror|Thriller,Leigh Whannell,barricading a door|injection in leg|police detective|supernatural|taser,2.35
Darren Lynn Bousman,250,Tony Nappo,Horror|Mystery,Shawnee Smith,death|detective|nerve gas|serial killer|trap,1.85
Dan Trachtenberg,411,John Gallagher Jr.,Drama|Horror|Mystery|Sci-Fi|Thriller,Sumalee Montano,alien|bunker|car crash|kidnapping|minimal cast,2.35
Jeff Tremaine,106,Steve-O,Comedy|Documentary,Chris Pontius,alligator|golf|japan|panda|stunt,1.85
David F. Sandberg,159,Amiah Miller,Horror,Gabriel Bateman,based on short film|reference to avenged sevenfold|reference to slayer|switching lights on and off|two word title,2.35
Henry Joost,251,Sprague Grayden,Horror,Christopher Nicholas Smith,animate object|imaginary friend|reference to macgyver|whispering|woman wearing only a man's shirt,1.85
Stiles White,183,Shelley Hennig,Fantasy|Horror,Daren Kagasoff,death of girlfriend|funeral|ghost|ouija|spirit,2.35
Chuck Russell,131,Heather Langenkamp,Action|Fantasy|Horror|Thriller,Jennifer Rubin,dream|freddy krueger|killer|nightmare|springwood ohio,1.85
Joel Edgerton,297,Allison Tolman,Mystery|Thriller,Wendell Pierce,compulsive liar|fired from a job|gift|rape|substance abuse,2.35
Eugenio Derbez,41,Jessica Lindsey,Comedy|Drama,Hugo Stiglitz,father daughter relationship,1.85
Henry Joost,248,Brendon Eggertsen,Horror,Alisha Boe,boy in a bathtub|demon|laptop computer|pulled underwater|walking in the dark,1.85
Henry Koster,42,Jean Simmons,Drama|History,Victor Mature,box office hit|crucifixion|nightmare|palestine|robe,2.2
Blake Edwards,33,Herbert Lom,Comedy|Crime|Mystery,Catherine Schell,clouseau|diamond|panther|pink|pink panther,2.35
Rachel Talalay,91,Tom Arnold,Comedy|Fantasy|Horror|Thriller,Yaphet Kotto,dark comedy|dream|freddy krueger|nightmare|serial murder,1.85
Patty Jenkins,185,Bruce Dern,Biography|Crime|Drama|Thriller,Pruitt Taylor Vince,beach|female criminal|hooker|lesbian|prostitute,1.85
Richard Fleischer,69,Robert J. Wilke,Adventure|Drama|Family|Fantasy|Sci-Fi,Paul Lukas,captain|expedition|sea|submarine|whale,1.37
Christopher Landon,220,Gloria Sandoval,Fantasy|Horror|Thriller,Molly Ephraim,apartment|blood|demonic possession|neighbor|pentagram,1.78
David Lynch,117,Anne Bancroft,Biography|Drama,Dexter Fletcher,curiosity|exploitation|freak|hospital|physical deformity,2.35
Jean-Marc Vallée,471,Jennifer Garner,Biography|Drama,Denis O'Hare,drugs|fda|gay community|hiv|homophobia,2.35
David Gelb,152,Mark Duplass,Horror|Sci-Fi|Thriller,Donald Glover,electrocuted|experiment|hell|serum|university,2.35
Christopher Nolan,274,Thomas Lennon,Mystery|Thriller,Jorja Fox,flashback|memory|murder|short term memory|telephone,2.35
Mike Flanagan,336,Rory Cochrane,Horror|Mystery,Garrett Ryan,home office|mirror|released from a mental hospital|trauma|video camera,2.35
Kevin Smith,174,Jason Mewes,Comedy,Brian O'Halloran,fast food|fast food restaurant|new jersey|quick stop|restaurant,1.85
Stephen Daldry,151,Gary Lewis,Drama|Music,Jamie Draven,audition|ballet|boxing|miner|miners strike,1.85
Nat Faxon,276,Liam James,Comedy|Drama,Jim Rash,awkward boy|shy kid|summer|vacation|water park,1.85
George Jackson,12,Tisha Campbell-Martin,Comedy|Drama|Music|Romance,Helen Martin,college|misogyny|money|new friend|party,1.85
George Miller,18,Jack Thompson,Adventure|Drama|Family|Romance|Western,Tom Burlinson,australia|brumby|ranch|stallion|twin,2.35
Maurice Joyce,28,Constance Shulman,Animation|Comedy|Family,Alice Playten,dance|friend|monster|reference to batman|valentine,1.33
Robert Duvall,95,Todd Allen,Drama,June Carter Cash,church|louisiana|minister|preacher|texas,1.85
Frank Perry,74,Xander Berkeley,Biography|Drama,Diana Scarwid,abusive mother|adopted daughter|borderline personality disorder|perfection|sadistic cruelty,1.85
Jesse Peretz,179,Adam Scott,Comedy|Drama,Steve Coogan,art model|farmer|jail|nude model|three sisters,1.85
Stephen Hopkins,125,Tony Curran,Biography|Drama|Sport,David Kross,1930s|athlete|nazi germany|olympics|track and field,2.35
Ice Cube,22,Monica Calhoun,Comedy|Drama,Chrystale Wilson,catfight|dominatrix|rape|spanking|stripper,1.85
Tim Blake Nelson,92,Andrew Keegan,Drama|Romance|Thriller,John Heard,basketball|basketball player|boarding school|love|shakespeare's othello,1.85
John Erick Dowdle,196,Edwin Hodge,Horror|Mystery|Thriller,Perdita Weeks,archeologist|catacomb|found footage|paris france|philosopher's stone,1.85
Bille Woodruff,9,Cameron Mills,Drama|Thriller,Sharon Leal,adultery|attraction|lust|obsession|temptation,1.85
Kasi Lemmons,31,Lynn Whitfield,Drama,Diahann Carroll,doctor|louisiana|secret|title directed by female|witchcraft,1.85
Richard Glatzer,309,Hunter Parrish,Drama,Seth Gilliam,alzheimer's disease|bechdel test passed|linguistics professor|new york city|reference to angels in america the play,1.85
Michael Curtiz,15,Peter Ustinov,Drama|History,Jean Simmons,afterlife|egypt|pharaoh|princess|pyramid,2.55
Bruce Malmuth,36,Lindsay Wagner,Action|Crime|Thriller,Persis Khambatta,bomb|new york city|partner|shooting|terrorist,1.85
Rob Hedden,129,Peter Mark Richman,Adventure|Horror,Scott Reeves,cult film|friday the thirteenth|hockey mask|jason voorhees|murder spree,1.85
Joel Zwick,168,Louis Mandylor,Comedy|Family|Romance,Lainie Kazan,baptism|greek|greek restaurant|prejudice|travel agency,1.85
Harmony Korine,444,Heather Morris,Crime|Drama,Rachel Korine,kissing a dead body|repeated dialogue|sex in pool|spring break|twins,2.35
Joe Chappelle,123,Kim Darby,Horror|Thriller,Mitchell Ryan,halloween|michael myers|nudity|returning character with different actor|slasher flick,1.85
Alfonso Cuarón,173,Daniel Giménez Cacho,Adventure|Comedy|Drama|Romance,María Aura,beach|cleaning a swimming pool|male male kiss|mexico|on the road,1.85
Edgar Wright,246,Dylan Moran,Comedy|Horror,Rafe Spall,british horror|pub|record collection|zombie|zombie apocalypse,2.35
Mickey Liddell,74,Randy Wayne,Drama|Horror|Thriller,Haley Bennett,18th birthday|birthday|community center|resurrection|teenager,1.85
John Sayles,68,Clifton James,Drama|Mystery,Miriam Colon,father son relationship|interracial relationship|neo western|sheriff|texas,2.35
Dwight H. Little,144,Kathleen Kinmont,Horror|Thriller,Ellie Cornell,halloween|michael myers|murder|niece|october,1.85
Fred Walton,96,Deborah Foreman,Horror|Mystery,Clayton Rohner,april fool's day|island|mansion|psycho|secret,2.35
Barry Levinson,42,Daniel Stern,Comedy|Drama,Ellen Barkin,baltimore colts|diner|marriage|salesman|wedding,1.85
Steve Carver,29,William Sanderson,Action|Crime|Drama|Thriller|Western,Robert Beltran,drugs|martial arts|texas|texas ranger|weapon,1.85
Gonzalo López-Gallego,228,Ryan Robbins,Horror|Mystery|Sci-Fi|Thriller,Andrew Airlie,cosmonaut|footprint|found footage|moon|secret mission,1.33
Christine Jeffs,195,Mary Lynn Rajskub,Comedy|Drama,Paul Dooley,business|crime scene cleanup|private school|school|sister sister relationship,2.35
John Erick Dowdle,203,Claire Geare,Action|Thriller,Sahajak Boonthanakit,asia|fictional country|hotel|rebellion|revolution,1.85
Don Coscarelli,44,John Amos,Action|Adventure|Fantasy,Rip Torn,breasts|critically acclaimed|female frontal nudity|psychotronic film|sword and sorcery,1.85
King Vidor,14,George Sanders,Drama|History|Romance|War,Finlay Currie,king|pharaoh|queen|queen of sheba|tribe,2.2
Michael Tiddes,59,Mike Epps,Comedy,Russell Peters,color in title|parody|reference to cuba gooding jr|reference to netflix|written by star,
Bill Duke,45,Jenifer Lewis,Drama|Romance,Wood Harris,african american protagonist|based on novel|title spoken by character,1.85
Frank Borzage,42,Helen Hayes,Drama|Romance|War,Adolphe Menjou,1910s|ambulance driver|italy|lake|nurse,1.37
Bille Woodruff,12,Brandy Norwood,Comedy|Romance,Lauren London,,
Mamoru Hosoda,29,Colleen O'Shaughnessey,Action|Adventure|Animation|Family|Sci-Fi,Mona Marshall,based on video game|box office hit|computer|digimon|internet,1.85
Brian Dannelly,121,Patrick Fugit,Comedy|Drama,Eva Amurri Martino,christian|jewish|pastor|school|virginity,1.85
Denys Arcand,135,Stéphane Rousseau,Comedy|Crime|Drama|Mystery|Romance,Marina Hands,cancer|dying|friend|money|socialist,2.35
Richard Lester,27,Denholm Elliott,Adventure|Drama|Romance,Nicol Williamson,crusades|friar|robin hood|sheriff|sheriff of nottingham,1.85
J.S. Cardone,56,Kerr Smith,Horror|Thriller,Izabella Miko,flashing breasts|hitchhiker|vampire|vampire hunter|virus,1.85
Guy Hamilton,22,Carl Weathers,Action|Drama|War,Franco Nero,colonel|mission|partisan|spy|traitor,2.35
Jay Levey,59,Gedde Watanabe,Comedy|Drama,Michael Richards,gambling|imagination|television|television station|tv show,1.85
Nicholaus Goossen,61,Joel David Moore,Comedy,Shirley Jones,co worker|game tester|loss of virginity|roommate|snack,2.35
Tamara Jenkins,60,Kevin Corrigan,Comedy|Drama,Jessica Walter,flatulence|menstrual blood|nomad|nursing school|title directed by female,1.85
Sergio Leone,164,Woody Strode,Western,Jack Elam,gang|gun|harmonica|killing|woman in bathtub,2.35
Jon Favreau,81,Faizon Love,Comedy|Crime|Drama|Thriller,Jonathan Silverman,friendship|loudmouth|money laundering|new york city|stripper,1.85
Duncan Jones,415,Matt Berry,Drama|Mystery|Sci-Fi,Benedict Wong,computer|contract|earth|moon|solitude,2.35
Scott Marshall,43,Jami Gertz,Comedy,Carter Jenkins,bar mitzvah|carried in a chair|hebrew|party|rite of passage,1.85
Ronan Chapalain,7,Guillaume Denaiffe,Documentary,Chloe Hollings,3d|imax|plesiosaur|sea|water,1.78
Atom Egoyan,120,Sarah Polley,Drama,Simon Baker,anger|bus|child|lawyer|school,2.35
Xavier Beauvois,195,Michael Lonsdale,Drama,Olivier Rabourdin,catholic church|community|monastery|monk|terrorist,2.35
Randall Miller,109,Freddy Rodríguez,Comedy|Drama,Greg Collins,airport|california|flat tire|overalls|wine,2.35
Jerry Belson,21,Tim Thomerson,Comedy|Music|Sci-Fi,Bess Armstrong,breasts growing|coors light|drugs|hospital|spinning in grave,
Peter Jackson,93,Jed Brophy,Biography|Crime|Drama|Romance|Thriller,Liz Mullane,fantasy life|friend|friendship|love|teenage crush,2.35
Michael Polish,12,Bobby Batson,Drama,Cynthia Barrett,heaven|hospital|praying|pronounced dead|recovery,2.35
Dan Rush,155,Scott Takeda,Comedy|Drama,Stephen Root,alcoholic|beer|bicycle|new neighbor|yard sale,2.35
Jake Kasdan,81,Ryan O'Neal,Comedy|Crime|Drama|Mystery|Thriller,Angela Featherstone,blackmail|client|private detective|private investigator|tycoon,1.85
Brad Anderson,204,Jennifer Jason Leigh,Drama|Thriller,Reg E. Cathey,alienation|conscience|insomnia|paranoia|urban gothic,2.35
Paul Schrader,19,Jane Adams,Crime|Drama,David Clennon,bare breasts|drugs|existentialism|new york city|redemption,1.85
Michael Cuesta,163,Paz Vega,Biography|Crime|Drama|Mystery|Thriller,Robert Pralgo,based on true story|cia|cocaine|journalist|smear campaign,2.35
John Cameron Mitchell,248,Jon Tenney,Drama,Tammy Blanchard,car|comic book|comic book artist|iphone|memory,1.85
Fenton Bailey,39,Mia Kirshner,Biography|Crime|Drama|Thriller,Marilyn Manson,drug dealer|drugs|gay|homosexual|party,1.85
Jeremy Saulnier,322,Mark Webber,Crime|Horror|Music|Thriller,Joe Cole,murder|neo nazi|punk band|skinhead|suspense,2.35
Billy Kent,50,Tim Russ,Comedy|Drama|Romance,Winter Ave Zoli,marriage|orgasm|school|sex|swimming,2.35
James Manera,12,Greg Germann,Drama|Mystery|Sci-Fi,Kristoffer Polaha,box office flop|critically bashed|economy|individual versus society|rescue,
Wes Anderson,83,Darryl Cox,Comedy|Crime|Drama,Lumi Cavazos,caper|escapade|motel|robbery|texas,1.85
Kevin Spacey,37,Joe Mantegna,Crime|Drama|Thriller,Faye Dunaway,bar|box office flop|hostage|new orleans louisiana|police,2.35
Feroz Abbas Khan,16,Bhoomika Chawla,Biography|Drama|History,Darshan Jariwala,africa|hindu|india|muslim|south africa,2.35
Errol Morris,121,Megan Ambuhl Graner,Crime|Documentary|War,Ken Davis,abu ghraib|abuse|prison|slow motion|torture,2.35
Dennis Hopper,24,Don Gordon,Drama,Jim Byrnes,explosion|hitchhiking|punk|trauma|truck driver,1.85
Eli Craig,324,Tyler Labine,Comedy|Horror,Chelan Simmons,cabin|chainsaw|college kid|hillbilly|vacation,2.35
Nicholas Fackler,27,Ellen Burstyn,Drama|Romance,Martin Landau,christmas|fable|old man,1.85
Richard Wallace,9,Paul Fix,Adventure|Drama|Romance,Laraine Day,engineer|ethics|mountain|railroad|south america,1.37
Morgan J. Freeman,31,John Heard,Drama,Sara Gilbert,cola|desert|ice cream cone|teenage girl|vomiting,1.85
Matthew Hastings,35,Marc Trottier,Comedy|Horror|Sci-Fi,Corey Sevier,breasts|campus|college|tentacle|virginity,1.85
M. Night Shyamalan,371,Patch Darragh,Horror|Thriller,Olivia DeJonge,farm|handheld camera|impostor|rap|rock paper scissors,1.85
Brian De Palma,133,Daniel Stewart Sherman,Crime|Thriller|War,Kel O'Neill,blood splatter|iraq|murder|rape|soldier,1.85
Klaus Menzel,13,Jacqueline Bisset,Mystery|Romance|Thriller,Alice Evans,death|love|marriage|secret|suspicion,2.35
,9,Dylan Minnette,Drama|Fantasy,Bokeem Woodbine,catholic|death row|inmate|oklahoma city|sexual promiscuity,1.78
Oren Peli,56,Sandra Staggs,Horror|Sci-Fi|Thriller,Jelena Nik,alien|alien abduction|conspiracy|secret base|ufo,
