actor_2_name,genres,movie_title,actor_3_name,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,aspect_ratio
Reeve Carney,Drama|Mystery|Romance|Thriller,Snow Falling on Cedars ,Daniel von Bargen,194,English,USA,PG-13,36000000,1999,602,2.35
Colin O'Donoghue,Drama|Horror|Mystery|Thriller,The Rite ,Toby Jones,197,English,USA,PG-13,37000000,2011,3000,2.35
Xander Berkeley,Drama|Sci-Fi|Thriller,Gattaca ,Mason Gamble,641,English,USA,PG-13,36000000,1997,485,2.35
Nathan Lane,Biography|Comedy|Romance,Isn't She Great ,John Larroquette,64,English,USA,R,36000000,2000,886,1.85
Kenan Thompson,Adventure|Animation|Comedy|Family|Sci-Fi,Space Chimps ,Omid Abtahi,45,English,USA,G,37000000,2008,521,2.35
Dylan Baker,Comedy,Head of State ,Tracy Morgan,80,English,USA,PG-13,35200000,2003,812,1.85
Rob Riggle,Comedy,The Hangover ,Mike Epps,626,English,USA,R,35000000,2009,839,2.35
Lynn Hung,Action|Biography|Drama|History,Ip Man 3 ,Kwok-Kwan Chan,45,Cantonese,Hong Kong,PG-13,36000000,2015,79,2.35
Verne Troyer,Action|Adventure|Comedy|Crime,Austin Powers: The Spy Who Shagged Me ,Robert Wagner,784,English,USA,PG-13,33000000,1999,645,2.35
Jack Palance,Action|Adventure,Batman ,William Hootkins,817,English,USA,PG-13,35000000,1989,549,1.85
Dougray Scott,Biography|Drama|War,There Be Dragons ,Lily Cole,53,English,Spain,PG-13,36000000,2011,794,2.35
Nick Chinlund,Action|Crime|Thriller,Lethal Weapon 3 ,Stuart Wilson,136,English,USA,R,35000000,1992,277,2.35
Quinton Aaron,Biography|Drama|Sport,The Blind Side ,Kim Dickens,420,English,USA,PG-13,29000000,2009,734,1.85
Aimee Garcia,Action|Comedy|Crime,Rush Hour             ,Wendie Malick,30,English,USA,TV-14,,,618,16.0
Cheech Marin,Action|Adventure|Comedy|Family|Sci-Fi,Spy Kids ,Daryl Sabara,205,English,USA,PG,35000000,2001,843,1.85
Lindsay Sloane,Comedy|Crime,Horrible Bosses ,Reginald Ballard,387,English,USA,R,35000000,2011,464,2.35
Jeff Bridges,Adventure|Drama|Western,True Grit ,Bruce Green,724,English,USA,PG-13,38000000,2010,12000,2.35
Anne Hathaway,Comedy|Drama|Romance,The Devil Wears Prada ,Rebecca Mader,631,English,USA,PG-13,35000000,2006,11000,2.35
Nichelle Nichols,Adventure|Mystery|Sci-Fi,Star Trek: The Motion Picture ,Walter Koenig,405,English,USA,PG,35000000,1979,664,2.35
Eric Stonestreet,Comedy|Crime,Identity Thief ,T.I.,232,English,USA,R,35000000,2013,904,2.35
Robert Mitchum,Crime|Thriller,Cape Fear ,Joe Don Baker,261,English,USA,R,35000000,1991,1000,2.35
Jim Sturgess,Crime|Drama|Thriller,21 ,Josh Gad,278,English,USA,PG-13,35000000,2008,5000,2.35
Randall Park,Comedy|Romance,Trainwreck ,Josh Segarra,309,English,Japan,R,35000000,2015,392,2.35
Nicole Sullivan,Comedy|Romance,Guess Who ,Sherri Shepherd,160,English,USA,PG-13,35000000,2005,358,1.85
Kristin Scott Thomas,Drama|Romance|War,The English Patient ,Jürgen Prochnow,457,English,USA,R,27000000,1996,1000,1.85
Matt McCoy,Crime|Drama|Mystery|Thriller,L.A. Confidential ,Paul Guilfoyle,625,English,USA,R,35000000,1997,398,2.35
Kelly Preston,Adventure|Comedy|Family|Sci-Fi,Sky High ,Nicholas Braun,217,English,USA,PG,35000000,2005,742,2.35
Wilford Brimley,Comedy,In & Out ,Lauren Ambrose,138,English,USA,PG-13,35000000,1997,957,1.85
Marg Helgenberger,Action|Horror|Sci-Fi|Thriller,Species ,Jordan Lund,140,English,USA,R,35000000,1995,759,2.35
Lin Shaye,Horror,A Nightmare on Elm Street ,Amanda Wyss,668,English,USA,X,1800000,1984,852,1.85
Jake Weber,Horror|Sci-Fi|Thriller,The Cell ,James Gammon,677,English,USA,R,33000000,2000,551,2.35
Anne Parillaud,Action|Adventure,The Man in the Iron Mask ,Judith Godrèche,244,English,USA,PG-13,35000000,1998,130,1.85
Kevin Connolly,Biography|Drama|Family|History|Sport,Secretariat ,Dylan Walsh,136,English,USA,PG,35000000,2010,638,2.35
Sarah Michelle Gellar,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,TMNT ,Mako,211,English,Hong Kong,PG,34000000,2007,4000,2.35
Riley Smith,Biography|Drama|Sport,Radio ,Debra Winger,196,English,USA,PG,35000000,2003,762,1.85
Justin Timberlake,Comedy|Romance,Friends with Benefits ,Masi Oka,194,English,USA,R,35000000,2011,3000,2.35
Ike Barinholtz,Comedy,Neighbors 2: Sorority Rising ,Kiersey Clemons,111,English,USA,R,35000000,2016,329,2.35
Ruth Wilson,Biography|Comedy|Drama|History|Music,Saving Mr. Banks ,B.J. Novak,306,English,USA,PG-13,35000000,2013,2000,2.35
Delroy Lindo,Biography|Drama|History|Romance,Malcolm X ,Al Freeman Jr.,156,English,USA,PG-13,33000000,1992,848,1.85
Maude Apatow,Comedy,This Is 40 ,Mackenzie Aladjem,248,English,USA,R,35000000,2012,130,2.35
Bernie Mac,Comedy|Family,Old Dogs ,Ann-Margret,120,English,USA,PG,35000000,2009,1000,1.85
Kevin Grevioux,Action|Adventure|Fantasy|Sci-Fi|Thriller,Underworld: Rise of the Lycans ,Steven Mackintosh,169,English,USA,R,35000000,2009,593,2.35
Christine Taylor,Comedy|Romance,License to Wed ,Mindy Kaling,119,English,USA,PG-13,35000000,2007,838,2.35
Jon Heder,Comedy|Romance|Sport,The Benchwarmers ,Tim Meadows,209,English,USA,PG-13,33000000,2006,970,1.85
Victor Webster,Comedy|Romance,Must Love Dogs ,Elizabeth Perkins,262,English,USA,PG-13,30000000,2005,940,2.35
Al Pacino,Biography|Crime|Drama,Donnie Brasco ,Anne Heche,234,English,USA,R,35000000,1997,14000,2.35
Jaymes Butler,Action|Horror|Sci-Fi,Resident Evil ,Colin Salmon,1138,English,UK,R,33000000,2002,2000,1.85
Zelda Rubinstein,Fantasy|Horror,Poltergeist ,Craig T. Nelson,321,English,USA,PG,10700000,1982,770,2.35
Tom Hanks,Comedy|Crime|Thriller,The Ladykillers ,Stephen Root,400,English,USA,R,35000000,2004,15000,1.85
Beau Bridges,Action|Crime|Drama|Mystery|Thriller,Max Payne ,Jamie Hector,398,English,Canada,PG-13,35000000,2008,552,2.35
Olivia Wilde,Action|Sci-Fi|Thriller,In Time ,Justin Timberlake,463,English,USA,PG-13,40000000,2011,10000,2.35
Noureen DeWulf,Comedy|Romance,The Back-up Plan ,Tom Bosley,97,English,USA,PG-13,35000000,2010,700,2.35
Steve Howey,Comedy|Drama|Romance,Something Borrowed ,Kirsten Day,153,English,USA,PG-13,35000000,2011,826,1.85
Kimberly Elise,Drama|Romance,Hit the Floor             ,Logan Browning,11,English,USA,,,,637,
Marsha Thomason,Adventure|Comedy|Fantasy,Black Knight ,Vincent Regan,164,English,USA,PG-13,50000000,2001,691,2.35
Vic Morrow,Comedy|Drama|Family|Sport,The Bad News Bears ,Joyce Van Patten,91,English,USA,PG,,1976,257,1.85
Raul Julia,Action|Adventure|Comedy|Thriller,Street Fighter ,Kylie Minogue,282,English,Japan,PG-13,35000000,1994,1000,2.35
Frank Finlay,Biography|Drama|War,The Pianist ,Ed Stoppard,761,English,France,R,35000000,2002,338,1.85
Jason Flemyng,Horror|Mystery|Thriller,From Hell ,Ian Richardson,541,English,USA,R,35000000,2001,1000,2.35
Hiam Abbass,Drama|Family|Fantasy,The Nativity Story ,Shaun Toub,203,English,USA,PG,30000000,2006,224,2.35
Paris Hilton,Horror,House of Wax ,Brian Van Holt,576,English,Australia,R,30000000,2005,716,1.85
Julia Roberts,Drama|Romance,Closer ,Colin Stinton,903,English,USA,R,27000000,2004,8000,1.85
Naomi Watts,Biography|Crime|Drama,J. Edgar ,Kaitlyn Dever,279,English,USA,R,35000000,2011,6000,2.35
Cameron Boyce,Horror|Mystery,Mirrors ,Julian Glover,232,English,USA,R,35000000,2008,915,2.35
Lena Olin,Drama|Fantasy|Horror,Queen of the Damned ,Bruce Spence,695,English,USA,R,35000000,2002,541,2.35
Robert Davi,Action|Horror|Sci-Fi,Predator 2 ,Kevin Peter Hall,291,English,USA,R,35000000,1990,683,1.37
Jesse Tyler Ferguson,Crime|Drama|Thriller,Untraceable ,Joseph Cross,245,English,USA,R,35000000,2008,648,2.35
Sissy Spacek,Comedy|Drama|Romance|Sci-Fi,Blast from the Past ,Douglas Smith,239,English,USA,PG-13,35000000,1999,874,2.35
William Hootkins,Action|Adventure|Sci-Fi,Flash Gordon ,Sam J. Jones,247,English,UK,PG,20000000,1980,488,2.35
Mike Starr,Comedy|Drama|Romance,Jersey Girl ,George Carlin,358,English,USA,PG-13,35000000,2004,854,2.35
Chad Lindberg,Action|Crime|Mystery|Thriller,Alex Cross ,Carmen Ejogo,151,English,USA,PG-13,35000000,2012,445,2.35
Bob Gunton,Crime|Drama|Mystery|Thriller,Midnight in the Garden of Good and Evil ,Leon Rippy,216,English,USA,R,30000000,1997,461,1.85
Joshua Mikel,Action|Crime|Thriller,Heist ,D.B. Sweeney,57,English,USA,R,19000000,2015,1000,2.35
Bill Bailey,Comedy|Family|Fantasy,Nanny McPhee Returns ,Eros Vlahos,59,English,UK,PG,35000000,2010,175,2.35
J.T. Walsh,Biography|Crime|Drama,Hoffa ,Paul Guilfoyle,68,English,USA,R,35000000,1992,263,2.35
Callum Rennie,Drama|Mystery|Sci-Fi|Thriller,The X Files: I Want to Believe ,Nicki Aycox,492,English,USA,PG-13,30000000,2008,716,2.35
Steve Coogan,Comedy|Family|Fantasy|Romance,Ella Enchanted ,Joanna Lumley,244,English,USA,PG,35000000,2004,1000,1.85
Eddie Marsan,Biography|Drama|Sport,Concussion ,Albert Brooks,138,English,UK,PG-13,35000000,2015,979,2.35
Benjamin J. Cain Jr.,Action|Mystery|Thriller,Abduction ,Richard Cetrone,173,English,USA,PG-13,35000000,2011,73,2.35
Olivia Williams,Adventure|Animation|Comedy|Family|War,Valiant ,Pip Torrens,80,English,UK,G,35000000,2005,766,1.85
Rip Torn,Comedy|Drama,Wonder Boys ,Richard Thomas,335,English,USA,R,55000000,2000,826,2.35
Tracy Morgan,Action|Comedy|Sci-Fi|Thriller,Superhero Movie ,Marion Ross,173,English,USA,PG-13,35000000,2008,642,1.85
James Ransone,Crime|Drama|Thriller,Broken City ,Michael Beach,134,English,USA,R,35000000,2013,412,2.35
Portia de Rossi,Comedy|Horror,Cursed ,Derek Mears,325,English,USA,PG-13,35000000,2005,573,2.35
Dania Ramirez,Action|Crime|Thriller,Premium Rush ,Aasif Mandvi,178,English,USA,PG-13,35000000,2012,1000,2.35
Richard T. Jones,Action|Comedy|Crime,Hot Pursuit ,Michael Mosley,118,English,USA,PG-13,35000000,2015,328,2.35
Lucy Gordon,Adventure|Drama|Romance|War,The Four Feathers ,Alex Jennings,215,English,UK,PG-13,35000000,2002,61,2.35
Clifton Collins Jr.,Action|Crime|Romance|Thriller,Parker ,Wendell Pierce,141,English,USA,R,35000000,2013,968,2.35
Jon Favreau,Comedy|Romance|Sport,Wimbledon ,Austin Nichols,173,English,UK,PG-13,31000000,2004,4000,2.35
Brooke Shields,Comedy|Family,Furry Vengeance ,Matt Prokop,84,English,USA,PG,35000000,2010,1000,1.85
Cariba Heine,Action|Horror|Sci-Fi,Bait ,Richard Brancatisano,82,English,Australia,R,30000000,2012,351,1.85
Alun Armstrong,Action|Adventure|Fantasy,Krull ,Lysette Anthony,178,English,UK,PG,27000000,1983,192,2.35
Tom Cruise,Drama|Thriller|War,Lions for Lambs ,Andrew Garfield,298,English,USA,R,35000000,2007,10000,2.35
Dann Florek,Action|Drama|Thriller|War,Flight of the Intruder ,Christopher Rich,39,English,USA,PG-13,35000000,1991,367,2.35
Nat Faxon,Comedy|Music,Walk Hard: The Dewey Cox Story ,Matt Price,200,English,USA,R,35000000,2007,214,2.35
Scott Glenn,Drama,The Shipping News ,Jason Behr,208,English,USA,R,35000000,2001,826,2.35
Ronny Cox,Action|Western,American Outlaws ,Harris Yulin,162,English,USA,PG-13,35000000,2001,605,1.85
Jim Broadbent,Biography|Drama|History|Romance,The Young Victoria ,Thomas Kretschmann,100,English,UK,PG,35000000,2009,1000,2.35
Bashar Rahal,Action|Crime|Mystery|Thriller,Whiteout ,Shawn Doyle,142,English,USA,R,35000000,2009,603,2.35
Tye Sheridan,Drama|Fantasy,The Tree of Life ,Fiona Shaw,975,English,USA,PG-13,32000000,2011,1000,1.85
Lela Rochon,Action|Comedy|Thriller,Knock Off ,Ray Nicholas,141,English,Aruba,R,35000000,1998,316,2.35
Martin Donovan,Action|Crime|Drama|Thriller,Sabotage ,Maurice Compte,212,English,USA,R,35000000,2014,206,1.85
Mark Addy,Action|Mystery|Thriller,The Order ,Benno Fürmann,204,English,USA,R,38000000,2003,891,1.85
Wayne Knight,Action|Crime|Drama|Thriller,Punisher: War Zone ,Colin Salmon,280,English,USA,R,35000000,2008,967,2.35
Rip Torn,Action|Adventure|Family|Sci-Fi,Zoom ,Thomas F. Wilson,113,English,USA,PG,35000000,2006,826,1.85
Soleyman Pierini,Adventure|Biography|Drama|Thriller,The Walk ,Jade Kindar-Martin,195,English,USA,PG,35000000,2015,22,2.35
Lee Arenberg,Action|Adventure|Fantasy,Warriors of Virtue ,Angus Macfadyen,31,English,USA,PG,35000000,1997,457,2.35
Albert Finney,Comedy|Drama|Romance,A Good Year ,Richard Coyle,196,English,USA,PG-13,35000000,2006,883,2.35
Indira Varma,Crime|Drama|Mystery|Thriller,Luther             ,Warren Brown,105,English,UK,TV-MA,,,729,16.0
Thomas Ian Nicholas,Drama,Radio Flyer ,John Heard,71,English,USA,PG-13,35000000,1992,864,2.35
Jesse Borrego,Crime|Drama,Blood In, Blood Out ,Raymond Cruz,129,English,USA,R,35000000,1993,674,1.66
Tom Wilkinson,Action|Drama|Sci-Fi|Thriller,Smilla's Sense of Snow ,Julia Ormond,99,English,Denmark,R,35000000,1997,1000,2.35
Gregg Henry,Crime|Drama|Mystery|Thriller,Femme Fatale ,Rie Rasmussen,232,English,France,R,35000000,2002,298,1.85
Rod Steiger,Biography|Drama|History|War,Lion of the Desert ,John Gielgud,55,English,Libya,PG,35000000,1980,279,2.35
François Cluzet,Adventure|Drama|Romance|War,The Horseman on the Roof ,Isabelle Carré,25,French,France,R,,1995,541,2.35
Jeffrey Dover,Drama|Romance|War|Western,Ride with the Devil ,Tobey Maguire,159,English,USA,R,35000000,1999,2,2.35
Hanaa Bouchaib,Drama,Biutiful ,Eduard Fernández,127,Spanish,Mexico,R,,2010,9,2.35
Alice Englert,Action|Adventure|Romance|Sci-Fi,The Lovers ,Bipasha Basu,15,English,Belgium,R,,2015,525,
Sam Shepard,Action|Comedy|Crime|Western,Bandidas ,Dwight Yoakam,76,English,France,PG-13,32000000,2006,820,2.35
Aisha Tyler,Crime|Drama,Black Water Transit ,Beverly D'Angelo,,English,USA,,23000000,2009,856,
Aml Ameen,Action|Mystery|Sci-Fi|Thriller,The Maze Runner ,Jacob Latimore,524,English,USA,PG-13,34000000,2014,149,2.35
June Diane Raphael,Comedy,Unfinished Business ,Melissa McMeekin,89,English,USA,R,35000000,2015,249,2.35
Geraldine Chaplin,Drama|Romance,The Age of Innocence ,Stuart Wilson,150,English,USA,PG,30000000,1993,382,2.35
Ellen Burstyn,Drama|Sci-Fi,The Fountain ,Mark Margolis,915,English,USA,PG-13,35000000,2006,1000,1.85
Kevin J. O'Connor,Action|Adventure|Comedy|Drama|Thriller,Chill Factor ,Hudson Leick,94,English,USA,R,34000000,1999,248,2.35
Mark Valley,Action|Crime|Drama|Thriller,Stolen ,Sami Gayle,86,English,USA,R,35000000,2012,774,2.35
Yûki Amami,Adventure|Animation|Family|Fantasy,Ponyo ,Yuria Nara,144,Japanese,Japan,G,34000000,2008,3,1.85
Melissa Benoist,Drama|Romance,The Longest Ride ,Hayley Lovitt,116,English,USA,PG-13,34000000,2015,970,2.35
Charlize Theron,Drama|Sci-Fi|Thriller,The Astronaut's Wife ,Clea DuVall,260,English,USA,R,34000000,1999,9000,1.85
Eva Marie Saint,Adventure|Drama|Romance,I Dreamed of Africa ,Vincent Perez,61,English,USA,PG-13,34000000,2000,649,2.35
Dennis Quaid,Comedy|Romance|Sport,Playing for Keeps ,Judy Greer,50,English,USA,PG-13,35000000,2012,2000,2.35
Fana Mokoena,Biography|Drama|History,Mandela: Long Walk to Freedom ,Tony Kgoroge,108,English,UK,PG-13,35000000,2013,98,2.35
Warren Beatty,Biography|Drama|History|Romance,Reds ,M. Emmet Walsh,127,English,USA,PG,35000000,1981,631,1.85
Demi Moore,Drama|Thriller,A Few Good Men ,Kevin Pollak,319,English,USA,R,40000000,1992,2000,2.35
Bill Duke,Action|Comedy|Crime|Drama|Thriller,Exit Wounds ,Bruce McGill,232,English,USA,R,33000000,2001,1000,2.35
Cedric the Entertainer,Action|Comedy|Crime,Big Momma's House ,Tichina Arnold,148,English,USA,PG-13,30000000,2000,436,1.85
Brianne Brozey,Adventure|Animation|Comedy|Family|Fantasy,Thunder and the House of Magic ,Joe Ochman,16,English,Belgium,,34000000,2013,15,2.35
Veronika Vernadskaya,Action|Adventure|Horror|Sci-Fi|Thriller,The Darkest Hour ,Dato Bakhtadze,211,English,USA,PG-13,30000000,2011,150,2.35
Stephen Boss,Drama|Music|Romance,Step Up Revolution ,Misha Gabriel Hamilton,72,English,USA,PG-13,33000000,2012,594,2.35
Kenan Thompson,Action|Adventure|Crime|Drama|Thriller,Snakes on a Plane ,Rachel Blanchard,1033,English,Germany,R,33000000,2006,521,2.35
Joseph Sikora,Crime|Horror|Mystery|Thriller,The Watcher ,Chris Ellis,181,English,USA,R,33000000,2000,223,1.85
Marco St. John,Action|Crime|Drama|Thriller,The Punisher ,Eddie Jemison,622,English,USA,R,33000000,2004,403,2.35
Kuno Becker,Drama|Romance|Sport,Goal! The Dream Begins ,Stephen Dillane,114,English,USA,PG-13,10000000,2005,580,2.35
Reggie Lee,Action|Crime|Thriller,Safe ,Robert John Burke,134,English,USA,R,30000000,2012,828,2.35
Kurt Fuller,Comedy|Drama|Romance,Pushing Tin ,Jake Weber,175,English,USA,R,38000000,1999,617,2.35
Ian McDiarmid,Action|Adventure|Fantasy|Sci-Fi,Star Wars: Episode VI - Return of the Jedi ,Kenny Baker,647,English,USA,PG,32500000,1983,1000,2.35
Jason Cope,Action|Sci-Fi|Thriller,Doomsday ,Jeremy Crutchley,396,English,UK,R,30000000,2008,107,2.35
David Kross,Drama|Romance,The Reader ,Susanne Lothar,370,English,USA,R,32000000,2008,388,1.85
Lauren Ambrose,Comedy,Wanderlust ,Joe Lo Truglio,139,English,USA,R,,2012,945,1.85
Zooey Deschanel,Comedy|Family|Fantasy|Romance,Elf ,Will Ferrell,395,English,USA,PG,33000000,2003,11000,1.85
Kyra Sedgwick,Drama|Fantasy|Romance|Sci-Fi,Phenomenon ,David Gallagher,118,English,USA,PG,32000000,1996,941,2.35
Nichelle Nichols,Adventure|Comedy|Family|Sport,Snow Dogs ,M. Emmet Walsh,100,English,Canada,PG,35000000,2002,664,1.85
Alfre Woodard,Comedy|Drama|Fantasy,Scrooged ,Robert Mitchum,159,English,USA,PG-13,32000000,1988,1000,1.85
Moises Arias,Comedy|Family|Sport,Nacho Libre ,Héctor Jiménez,441,English,Germany,PG,32000000,2006,635,1.85
Wendi McLendon-Covey,Comedy|Romance,Bridesmaids ,Steve Bannos,485,English,USA,R,32500000,2011,655,2.35
James Franco,Comedy|Fantasy,This Is the End ,Emma Watson,669,English,USA,R,32000000,2013,11000,2.35
Enrico Colantoni,Horror,Stigmata ,Portia de Rossi,398,English,USA,R,29000000,1999,724,2.35
Charlize Theron,Biography|Drama,Men of Honor ,Michael Rapaport,224,English,USA,R,32000000,2000,9000,2.35
Hayden Christensen,Action|Crime|Thriller,Takers ,Jay Hernandez,132,English,USA,PG-13,20000000,2010,4000,2.35
Robert De Niro,Comedy,The Big Wedding ,Topher Grace,108,English,USA,R,35000000,2013,22000,2.35
Tony Curran,Action|Comedy|Crime,Big Mommas: Like Father, Like Son ,Portia Doubleday,47,English,USA,PG-13,32000000,2011,845,2.35
Cas Anvar,Mystery|Sci-Fi|Thriller,Source Code ,Russell Peters,571,English,USA,PG-13,32000000,2011,491,1.85
Danny Nucci,Adventure|Biography|Drama|Thriller,Alive ,Michael DeLorenzo,112,English,USA,R,32000000,1993,242,1.85
Virginia Madsen,Mystery|Thriller,The Number 23 ,Ed Lauter,383,English,USA,R,32000000,2007,912,2.35
Julian Richings,Action|Adventure|Drama|Family,The Young and Prodigious T.S. Spivet ,Judy Davis,28,English,France,PG,33000000,2013,648,2.35
John Belushi,Action|Comedy|War,1941 ,Treat Williams,217,English,USA,PG,35000000,1979,1000,2.35
Freddy Rodríguez,Drama|Family|Sport,Dreamer: Inspired by a True Story ,Holmes Osborne,108,English,USA,PG,32000000,2005,579,2.35
Kyle Schmid,Crime|Drama|Thriller,A History of Violence ,William Hurt,1125,English,USA,R,32000000,2005,917,1.85
Jason Flemyng,Action|Crime|Thriller,Transporter 2 ,Matthew Modine,340,English,France,PG-13,32000000,2005,1000,2.35
Pat Hingle,Action|Thriller|Western,The Quick and the Dead ,Roberts Blossom,216,English,Japan,R,32000000,1995,165,1.85
Mike Doyle,Comedy|Romance,Laws of Attraction ,Nora Dunn,102,English,Ireland,PG-13,28000000,2004,160,2.35
Marc Anthony,Drama|Thriller,Bringing Out the Dead ,Sonja Sohn,382,English,USA,R,55000000,1999,368,2.35
RZA,Action|Crime|Sci-Fi|Thriller,Repo Men ,Yvette Nicole Brown,187,English,USA,R,32000000,2010,561,2.35
Aimee Garcia,Action|Drama|Fantasy|Horror|Thriller,Dragon Wars: D-War ,Chris Mulkey,364,English,South Korea,PG-13,35000000,2007,618,2.35
Nancy Travis,Comedy|Family|Fantasy,Bogus ,Andrea Martin,30,English,USA,PG,30000000,1996,359,1.85
Olivia Wilde,Comedy,The Incredible Burt Wonderstone ,Steve Carell,158,English,USA,PG-13,30000000,2013,10000,2.35
Frank Welker,Animation|Comedy|Family|Fantasy|Musical,Cats Don't Dance ,Hal Holbrook,49,English,USA,G,32000000,1997,2000,1.33
Vanessa Redgrave,Drama,Cradle Will Rock ,Emily Watson,161,English,USA,R,32000000,1999,898,2.35
Beau Bridges,Drama|Mystery|Thriller,The Good German ,Leland Orser,175,English,USA,R,32000000,2006,552,1.66
Rollo Weeks,Action|Adventure|Comedy|Fantasy|Romance,George and the Dragon ,Simon Callow,31,English,USA,PG,32000000,2004,239,2.35
Marlon Brando,Drama|War,Apocalypse Now ,Robert Duvall,983,English,USA,R,31500000,1979,10000,2.35
Kelli Garner,Comedy|Romance,Going the Distance ,Jim Gaffigan,113,English,USA,R,32000000,2010,730,2.35
Olympia Dukakis,Drama|Music,Mr. Holland's Opus ,Jean Louisa Kelly,154,English,USA,PG,6500000,1995,345,2.35
Jordi Mollà,Action|Crime|Drama|Mystery|Sci-Fi|Thriller,Criminal ,Doug Cockle,100,English,UK,R,31500000,2016,877,2.35
Michael Gough,Biography|Drama|Romance,Out of Africa ,Michael Kitchen,200,English,USA,PG,31000000,1985,920,1.85
Bruce Greenwood,Drama|Thriller,Flight ,Nadine Velazquez,491,English,USA,R,31000000,2012,984,2.35
Lois Chiles,Action|Adventure|Sci-Fi|Thriller,Moonraker ,Lois Maxwell,294,English,UK,PG,34000000,1979,202,2.35
Tom Wilkinson,Adventure|Comedy|Crime|Drama,The Grand Budapest Hotel ,F. Murray Abraham,644,English,USA,R,25000000,2014,1000,1.37
Mika Boorem,Drama|Mystery,Hearts in Atlantis ,Hope Davis,268,English,USA,PG-13,31000000,2001,495,2.35
Peter Jason,Comedy|Fantasy|Horror|Thriller,Arachnophobia ,Brian McNamara,136,English,USA,PG-13,31000000,1990,151,1.85
Andre Braugher,Crime|Drama|Mystery|Sci-Fi|Thriller,Frequency ,Noah Emmerich,510,English,USA,PG-13,31000000,2000,702,2.35
Kate McKinnon,Action|Comedy|Fantasy|Sci-Fi,Ghostbusters ,Zach Woods,1211,English,USA,PG-13,144000000,2016,370,2.35
Norman Reedus,Adventure|Comedy,Vacation ,Beverly D'Angelo,219,English,USA,R,31000000,2015,12000,2.35
Rene Russo,Comedy|Crime|Thriller,Get Shorty ,Jon Gries,150,English,USA,R,30250000,1995,808,1.85
Chita Rivera,Comedy|Crime|Musical,Chicago ,Jayne Eastwood,1017,English,USA,PG-13,45000000,2002,151,1.85
Adam Sandler,Comedy|Drama,Big Daddy ,Joey Lauren Adams,289,English,USA,PG-13,34200000,1999,11000,1.85
Shannon Elizabeth,Comedy,American Pie 2 ,Natasha Lyonne,431,English,USA,R,30000000,2001,1000,1.85
John Ratzenberger,Adventure|Animation|Comedy|Family|Fantasy,Toy Story ,Jim Varney,391,English,USA,G,30000000,1995,1000,1.85
Alan Ruck,Action|Adventure|Crime|Thriller,Speed ,Joe Morton,373,English,USA,R,25000000,1994,946,2.35
Lucas Bryant,Drama|Romance,The Vow ,Dillon Casey,164,English,USA,PG-13,30000000,2012,359,2.35
Brendan Fraser,Drama,Extraordinary Measures ,Alan Ruck,64,English,USA,PG,31000000,2010,3000,1.85
Denzel Washington,Biography|Drama|Sport,Remember the Titans ,Ethan Suplee,402,English,USA,PG,30000000,2000,18000,2.35
Jeffrey Jones,Action|Adventure|Thriller,The Hunt for Red October ,Courtney B. Vance,241,English,USA,PG,30000000,1990,692,2.35
David Oyelowo,Biography|Drama,Lee Daniels' The Butler ,Vanessa Redgrave,323,English,USA,PG-13,30000000,2013,1000,1.85
Stephen Root,Comedy|Sport,Dodgeball: A True Underdog Story ,Joel David Moore,392,English,USA,PG-13,20000000,2004,939,2.35
Raul Julia,Comedy|Fantasy,The Addams Family ,Carel Struycken,125,English,USA,PG-13,38000000,1991,1000,1.85
Bob Gunton,Adventure|Comedy,Ace Ventura: When Nature Calls ,Sophie Okonedo,178,English,USA,PG-13,30000000,1995,461,2.35
Hector Elizondo,Comedy|Family|Romance,The Princess Diaries ,Heather Matarazzo,301,English,USA,G,37000000,2001,995,1.85
Elizabeth Berkley,Comedy,The First Wives Club ,Stephen Collins,117,English,USA,PG,26000000,1996,893,1.85
Brad Pitt,Crime|Drama|Mystery|Thriller,Se7en ,Reg E. Cathey,1080,English,USA,R,33000000,1995,11000,2.35
Jed Brophy,Action|Sci-Fi|Thriller,District 9 ,Jason Cope,1262,English,South Africa,R,30000000,2009,433,1.85
Bill Fagerbakke,Adventure|Animation|Comedy|Family|Fantasy,The SpongeBob SquarePants Movie ,Rodger Bumpass,186,English,USA,PG,30000000,2004,542,1.85
Spencer Treat Clark,Crime|Drama|Mystery|Thriller,Mystic River ,Tom Guiry,935,English,USA,R,25000000,2003,541,2.35
Morgan Freeman,Drama|Sport,Million Dollar Baby ,Mike Colter,1106,English,USA,PG-13,30000000,2004,11000,2.35
Chazz Palminteri,Comedy|Crime,Analyze This ,Molly Shannon,337,English,USA,R,30000000,1999,979,1.85
Kevin Connolly,Drama|Romance,The Notebook ,Gena Rowlands,1111,English,USA,PG-13,29000000,2004,638,2.35
Bern Cohen,Comedy|Romance,27 Dresses ,Yetta Gottesman,154,English,USA,PG-13,30000000,2008,805,2.35
Vanessa Williams,Comedy|Drama|Family|Music|Romance,Hannah Montana: The Movie ,Moises Arias,140,English,USA,G,30000000,2009,1000,1.85
Casey Kasem,Adventure|Animation|Comedy|Family|Romance,Rugrats in Paris: The Movie ,Debbie Reynolds,49,English,Germany,G,30000000,2000,844,1.85
Blythe Danner,Drama|Romance,The Prince of Tides ,Melinda Dillon,109,English,USA,R,30000000,1991,713,1.85
