director_name,num_critic_for_reviews,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,movie_title,num_voted_users,actor_3_name,facenumber_in_poster,num_user_for_reviews,country,budget,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Danny Boyle,418,40,Saurabh Shukla,668,Drama|Romance,Slumdog Millionaire ,641997,Ayush Mahesh Khedekar,0,1017,UK,15000000,56,8.0,2.35,13000
Adrian Lyne,94,249,Lois Smith,886,Drama|Romance|Thriller,Fatal Attraction ,55101,Anne Archer,0,201,USA,14000000,276,6.9,1.85,3000
Garry Marshall,82,700,Hector Elizondo,8000,Comedy|Romance,Pretty Woman ,213476,Jason Alexander,2,271,USA,14000000,995,6.9,1.85,11000
John Blanchard,,176,Andrea Martin,770,Comedy,Towering Inferno             ,10,Joe Flaherty,2,,Canada,,179,9.5,1.33,0
John Cornell,32,57,Linda Kozlowski,442,Action|Adventure|Comedy,Crocodile Dundee II ,44096,John Meillon,1,62,Australia,15800000,162,5.5,2.35,489
Vidhu Vinod Chopra,22,277,Chris Marquette,892,Action|Crime|Drama|Mystery|Thriller,Broken Horses ,1554,Chad Bishop,0,20,USA,15000000,355,5.7,2.35,0
Oliver Stone,72,560,Tom Berenger,10000,Biography|Drama|War,Born on the Fourth of July ,76842,Stephen Baldwin,0,173,USA,14000000,854,7.2,2.35,4000
Jon Turteltaub,39,496,Leon,953,Adventure|Comedy|Family|Sport,Cool Runnings ,69733,Malik Yoba,1,97,USA,15000000,730,6.9,1.85,0
Patrick Lussier,264,725,Jaime King,10000,Horror|Thriller,My Bloody Valentine ,45603,Edi Gathegi,0,268,USA,15000000,960,5.5,1.85,0
Ole Bornedal,264,309,Madison Davenport,941,Horror|Thriller,The Possession ,47169,Natasha Calis,0,162,USA,14000000,459,5.9,2.35,17000
Ted Kotcheff,145,535,Brian Dennehy,13000,Action|Adventure|Drama,First Blood ,172493,Chris Mulkey,1,376,USA,14000000,954,7.7,2.35,0
Sylvain White,86,748,Laz Alonso,997,Drama|Music|Romance,Stomp the Yard ,19505,Harry Lennix,0,162,USA,14000000,826,5.2,2.35,0
Lewis Gilbert,112,238,Desmond Llewelyn,456,Action|Adventure|Sci-Fi|Thriller,The Spy Who Loved Me ,76477,Barbara Bach,2,275,UK,14000000,244,7.1,2.35,0
,17,84,Steve Gonsalves,155,Documentary,Ghost Hunters             ,5563,Jason Hawes,0,57,USA,,130,6.6,,373
Jamie Blanks,101,648,Loretta Devine,975,Horror|Mystery|Thriller,Urban Legend ,47814,Julian Richings,4,426,USA,14000000,912,5.5,2.35,0
Stephen Frears,51,418,Peter Capaldi,18000,Drama|Romance,Dangerous Liaisons ,52846,Swoosie Kurtz,2,143,USA,14000000,17000,7.7,1.85,0
Tyler Perry,42,490,Phylicia Rashad,849,Comedy|Drama|Romance,Good Deeds ,6352,Jamie Kennedy,1,43,USA,,597,5.4,2.35,0
Randal Kleiser,10,25,Klaus Maria Brandauer,327,Adventure|Drama,White Fang ,15730,Susan Hogan,1,31,USA,14000000,172,6.7,1.85,0
Bruce McCulloch,43,636,Elaine Hendrix,8000,Comedy|Romance,Superstar ,15047,Molly Shannon,1,160,USA,14000000,670,5.0,1.85,2000
Phyllida Lloyd,331,583,Jim Broadbent,11000,Biography|Drama|History,The Iron Lady ,82327,Olivia Colman,1,350,UK,13000000,1000,6.4,2.35,18000
Mike Nawrocki,38,8,Mike Nawrocki,23,Adventure|Animation|Comedy|Drama|Family|Musical,Jonah: A VeggieTales Movie ,3135,Shelby Vischer,0,78,USA,14000000,12,6.6,1.85,184
John Singleton,12,279,Khandi Alexander,592,Drama|Romance,Poetic Justice ,8904,Maya Angelou,0,31,USA,14000000,556,5.9,1.85,0
Kevin Bray,40,111,Roger Guenveur Smith,706,Action|Comedy|Crime|Thriller,All About the Benjamins ,9693,Gino Salvano,2,33,USA,14000000,266,5.7,2.35,530
Wes Craven,34,364,W. Earl Brown,723,Comedy|Fantasy|Horror|Romance,Vampire in Brooklyn ,17262,Allen Payne,1,53,USA,20000000,422,4.5,1.85,1000
John Boorman,82,467,Richard Burton,931,Horror,Exorcist II: The Heretic ,16294,Ned Beatty,7,252,USA,14000000,726,3.7,1.85,889
Courtney Solomon,125,50,James D'Arcy,874,Horror|Mystery|Thriller,An American Haunting ,22207,Vernon Dobtcheff,0,747,UK,14000000,613,5.0,2.35,0
David Zucker,56,636,Tyler Labine,869,Comedy|Romance,My Boss's Daughter ,24038,Molly Shannon,2,123,USA,14000000,779,4.6,1.85,411
David Twohy,160,690,Milla Jovovich,26000,Adventure|Mystery|Thriller,A Perfect Getaway ,56338,Marley Shelton,4,215,USA,14000000,14000,6.5,2.35,4000
Rick Famuyiwa,71,625,Lance Gross,953,Comedy|Romance,Our Family Wedding ,5721,Lupe Ontiveros,2,20,USA,14000000,849,4.9,2.35,1000
Alan Cohn,37,654,Linda Cardellini,3000,Comedy,Dead Man on Campus ,11729,Poppy Montgomery,0,106,USA,14000000,2000,6.0,1.85,645
Franco Zeffirelli,62,55,Joan Plowright,718,Comedy|Drama|War,Tea with Mussolini ,9323,Paolo Seganti,6,157,Italy,12000000,330,6.9,1.85,970
Tom Holland,73,514,Bethany Joy Lenz,1000,Fantasy|Horror,Thinner ,19805,Kari Wuhrer,0,122,USA,8500000,855,5.7,1.85,0
Martin Scorsese,59,213,Liza Minnelli,22000,Drama|Music|Musical|Romance,New York, New York ,13548,Mary Kay Place,0,75,USA,14000000,740,6.7,1.66,932
Spike Lee,25,534,Delroy Lindo,1000,Comedy|Drama,Crooklyn ,6011,Isaiah Washington,0,39,USA,14000000,848,6.9,1.85,905
Chris Rock,97,458,Eliza Coupe,12000,Comedy|Drama|Romance,I Think I Love My Wife ,13866,Wendell Pierce,3,55,USA,,490,5.5,1.85,488
James Isaac,205,489,Kane Hodder,1000,Action|Horror|Sci-Fi|Thriller,Jason X ,38985,Lexa Doig,1,673,USA,11000000,935,4.4,1.85,0
Shawn Levy,69,799,Donald Faison,934,Adventure|Comedy|Family,Big Fat Liar ,29008,Lee Majors,1,99,USA,15000000,927,5.4,1.85,896
Emilio Estevez,195,383,Nick Cannon,12000,Drama|History,Bobby ,38142,Brian Geraghty,0,270,USA,14000000,593,7.0,2.35,0
Mark Waters,61,169,Ivana Milicevic,878,Comedy|Mystery|Romance,Head Over Heels ,11693,China Chow,5,104,USA,14000000,834,5.4,2.35,613
Josh Schwartz,77,635,Jackson Nicoll,962,Adventure|Comedy,Fun Size ,11233,Osric Chau,1,32,USA,14000000,925,5.4,2.35,0
Julian Schnabel,259,177,Mathieu Amalric,413,Biography|Drama,The Diving Bell and the Butterfly ,89906,Isaach De Bankolé,1,175,France,,412,8.0,1.85,13000
Todd Field,251,280,Noah Emmerich,14000,Drama|Romance,Little Children ,92781,Jane Adams,0,320,USA,26000000,617,7.6,2.35,5000
Davis Guggenheim,63,191,Sharon Lawrence,12000,Drama|Mystery|Thriller,Gossip ,12519,Noam Jenkins,5,112,USA,24000000,215,5.9,2.35,853
Tony Goldwyn,47,113,Julie Kavner,10000,Drama,A Walk on the Moon ,6782,Tovah Feldshuh,1,114,USA,14000000,233,6.6,1.85,860
Phillip Noyce,108,15,Terry Pheto,543,Biography|Drama|History,Catch a Fire ,9334,Bonnie Henna,3,59,France,14000000,113,6.7,2.35,447
Stephen Carpenter,64,102,Angela Featherstone,159,Drama|Horror|Mystery|Thriller,Soul Survivors ,7277,Candace Kroslak,4,181,USA,14000000,102,3.9,1.85,231
James Ivory,20,5,Todd Boyce,423,Biography|Drama|History|Romance,Jefferson in Paris ,2427,Nigel Whitmey,1,27,France,14000000,15,5.7,1.85,127
Stephan Elliott,135,548,Kristin Scott Thomas,14000,Comedy|Romance,Easy Virtue ,16444,Kris Marshall,4,79,UK,,1000,6.7,2.35,2000
James Fargo,2,324,Joseph Cotten,16000,Action|Adventure|History,Caravans ,524,Behrouz Vossoughi,0,8,Iran,14000000,469,6.5,2.35,76
Mike Leigh,262,43,Ruth Sheen,149,Biography|Drama|History,Mr. Turner ,17933,Karl Johnson,0,165,UK,8200000,44,6.8,2.35,0
Alain Resnais,129,59,Sara Forestier,412,Drama|Romance,Wild Grass ,3174,Edouard Baer,0,31,France,,74,6.3,2.35,512
Costa-Gavras,69,284,Mathieu Kassovitz,380,Biography|Crime|Drama|War,Amen. ,11077,Ulrich Mühe,2,55,France,103000000,326,7.3,1.85,0
Chao-Bin Su,50,21,Shawn Yue,149,Action,Reign of Assassins ,6069,Kelly Lin,2,34,China,12000000,32,6.9,2.35,1000
Neil Burger,57,322,Katherine LaNasa,697,Comedy|Drama|War,The Lucky Ones ,11704,Mark L. Young,0,36,USA,15000000,329,7.0,1.85,702
Kenneth Lonergan,116,338,Kieran Culkin,13000,Drama,Margaret ,12053,John Gallagher Jr.,1,119,USA,14000000,1000,6.5,1.85,0
Bo Zenga,45,378,Kenan Thompson,826,Comedy|Horror,Stan Helsing ,9928,Diora Baird,7,66,Canada,,521,3.6,1.85,934
Rob Reiner,87,767,Rebecca De Mornay,1000,Comedy|Drama|Romance,Flipped ,60460,Aidan Quinn,0,104,USA,14000000,872,7.7,1.85,14000
Ang Lee,357,11000,Heath Ledger,15000,Drama|Romance,Brokeback Mountain ,259837,Anne Hathaway,0,2254,USA,14000000,13000,7.7,1.85,13000
Jonathan Liebesman,348,429,Danny Woodburn,833,Action|Adventure|Comedy|Sci-Fi,Teenage Mutant Ninja Turtles ,167089,Jeremy Howard,0,491,USA,125000000,809,5.9,2.35,62000
Amy Heckerling,88,201,Dan Hedaya,927,Comedy|Romance,Clueless ,123390,Elisa Donovan,1,248,USA,12000000,281,6.8,1.85,0
Todd Haynes,181,135,Celia Weston,2000,Drama|Romance,Far from Heaven ,36542,Michael Gaston,2,378,USA,13500000,258,7.4,1.85,0
Steve Pink,107,390,Gillian Jacobs,3000,Comedy|Sci-Fi,Hot Tub Time Machine 2 ,28159,Collette Wolfe,4,96,USA,14000000,837,5.1,1.85,0
,53,2,Olaf Lubaszenko,20,Drama,Dekalog             ,12590,Olgierd Lukaszewicz,0,37,Poland,,3,9.1,1.33,0
Philip Kaufman,132,170,Stephen Marcus,14000,Biography|Drama,Quills ,44795,Amelia Warner,1,314,UK,13500000,230,7.4,1.85,0
Martin McDonagh,401,816,Gabourey Sidibe,2000,Comedy|Crime,Seven Psychopaths ,185845,Michael Stuhlbarg,7,284,UK,15000000,906,7.2,2.35,52000
Kasi Lemmons,58,400,Tamara Tunie,539,Crime|Drama|Music|Mystery|Thriller,The Caveman's Valentine ,5602,Aunjanue Ellis,0,59,USA,,508,6.0,1.85,329
,1,2,Marian Dziedziel,70,Action|Crime|Drama|Thriller,The Border             ,271,Jaroslaw Boberek,4,2,Poland,,2,7.4,,64
Oliver Hirschbiegel,192,471,Bruno Ganz,918,Biography|Drama|History|War,Downfall ,248354,Alexandra Maria Lara,0,564,Germany,13500000,653,8.3,1.85,14000
Alejandro Amenábar,157,93,Lola Dueñas,273,Biography|Drama|Romance,The Sea Inside ,64556,Tamar Novas,1,140,Spain,10000000,114,8.1,2.35,0
Jonathan Glazer,454,21,Paul Brannigan,19000,Drama|Horror|Sci-Fi|Thriller,Under the Skin ,85022,Alison Chand,0,616,UK,,50,6.3,1.85,29000
Barry Levinson,62,227,J.T. Walsh,49000,Biography|Comedy|Drama|War,Good Morning, Vietnam ,98348,Bruno Kirby,1,131,USA,13000000,263,7.3,1.85,0
Hyung-rae Shim,4,385,Stephanie Danielson,898,Comedy,The Last Godfather ,912,Michael Rispoli,5,17,South Korea,13400000,391,3.6,1.78,502
Jon M. Chu,84,41,Sean Kingston,569,Documentary|Music,Justin Bieber: Never Say Never ,74351,Boys II Men,1,233,USA,13000000,69,1.6,1.85,62000
Darren Aronofsky,669,1000,Mila Kunis,20000,Drama|Thriller,Black Swan ,551363,Mark Margolis,1,1140,USA,13000000,15000,8.0,2.35,106000
José Padilha,492,1000,Abbie Cornish,10000,Action|Crime|Sci-Fi|Thriller,RoboCop ,182910,Jennifer Ehle,0,630,USA,100000000,2000,6.2,2.35,60000
Francis Ford Coppola,149,3000,Al Pacino,22000,Crime|Drama,The Godfather: Part II ,790926,Robert Duvall,1,650,USA,13000000,14000,9.0,1.85,14000
Thomas Carter,101,237,Terry Kinney,656,Drama|Music|Romance,Save the Last Dance ,47876,Fredro Starr,0,320,USA,13000000,363,6.1,1.85,0
Renny Harlin,102,54,Rodney Eastman,130,Fantasy|Horror|Thriller,A Nightmare on Elm Street 4: The Dream Master ,36108,Brooke Bundy,0,260,USA,7000000,125,5.7,1.85,0
Patricia Riggen,63,579,Brighton Sharbino,3000,Drama,Miracles from Heaven ,6276,Martin Henderson,0,55,USA,13000000,3000,6.8,1.85,16000
Danny Leiner,106,612,Mary Lynn Rajskub,3000,Comedy|Mystery,Dude, Where's My Car? ,116625,Marla Sokoloff,2,469,USA,13000000,934,5.5,1.37,0
Christopher Cain,50,316,Patrick Wayne,549,Action|Crime|Drama|Thriller|Western,Young Guns ,42614,Brian Keith,5,120,USA,13000000,439,6.8,1.85,0
Theodore Melfi,275,360,Naomi Watts,13000,Comedy|Drama,St. Vincent ,72803,Reg E. Cathey,3,171,USA,13000000,6000,7.3,1.85,33000
Steve Pink,90,460,Regina Hall,833,Comedy|Romance,About Last Night ,16979,Bryan Callen,4,42,USA,12500000,807,6.1,2.35,0
Gil Junger,133,835,Heath Ledger,23000,Comedy|Drama|Romance,10 Things I Hate About You ,222099,Andrew Keegan,6,549,USA,16000000,13000,7.2,1.85,10000
Ed Decter,49,301,Eddie Griffin,11000,Comedy,The New Guy ,28805,Gene Simmons,1,159,USA,13000000,489,5.9,1.85,1000
Gene Quintano,19,182,Lin Shaye,11000,Action|Comedy|Crime,Loaded Weapon 1 ,37611,Bill Nunn,2,72,USA,8200000,852,6.1,1.85,0
Jaume Collet-Serra,186,2,Brett Cullen,619,Drama|Horror|Thriller,The Shallows ,12983,Sedona Legge,0,139,USA,17000000,350,6.8,2.35,0
Eric Bress,185,829,Eric Stoltz,8000,Sci-Fi|Thriller,The Butterfly Effect ,357579,Cameron Bright,0,1100,USA,13000000,902,7.7,1.85,15000
Chris Koch,42,329,Mark Webber,571,Adventure|Comedy|Family,Snow Day ,9285,Jean Smart,1,91,USA,13000000,442,4.9,1.85,0
Preston A. Whitmore II,37,912,Chris Brown,1000,Comedy|Drama|Romance,This Christmas ,6528,Loretta Devine,9,32,USA,13000000,997,6.1,2.35,0
Bob Clark,45,782,Dom DeLuise,899,Comedy|Crime|Family|Sci-Fi,Baby Geniuses ,19547,Ruby Dee,2,168,USA,18000000,842,2.5,1.85,0
Kirk Wong,57,459,Elliott Gould,904,Action|Comedy|Crime|Thriller,The Big Hit ,24834,Antonio Sabato Jr.,5,168,USA,13000000,471,6.1,1.85,934
Bronwen Hughes,25,388,Eartha Kitt,694,Comedy|Drama|Family,Harriet the Spy ,7984,Charlotte Sullivan,1,42,USA,13000000,558,5.9,1.85,833
John Lafia,59,435,Beth Grant,659,Fantasy|Horror,Child's Play 2 ,31371,Greg Germann,0,166,USA,13000000,628,5.7,1.85,0
Sam Miller,58,334,Kate del Castillo,1000,Crime|Thriller,No Good Deed ,12676,Henry Simmons,2,84,USA,13200000,345,5.6,2.35,0
Frank Darabont,330,745,Alexa Davalos,2000,Horror,The Mist ,220475,Jeffrey DeMunn,0,1066,USA,18000000,850,7.2,1.85,20000
Alex Garland,489,123,Sonoya Mizuno,149,Drama|Mystery|Sci-Fi|Thriller,Ex Machina ,289508,Corey Johnson,0,611,UK,15000000,145,7.7,2.35,109000
Spike Jonze,242,213,Orson Bean,512,Comedy|Drama|Fantasy,Being John Malkovich ,254404,Mary Kay Place,2,840,USA,13000000,216,7.8,1.85,0
Mark Brown,40,405,Vivica A. Fox,939,Comedy|Romance,Two Can Play That Game ,4339,Tamala Jones,2,31,USA,6000000,890,6.1,1.85,593
Dave Green,112,140,Ella Wahlestedt,803,Adventure|Family|Sci-Fi,Earth to Echo ,15664,Jason Gray-Stanford,0,149,USA,13000000,587,5.8,1.85,0
John Stockwell,84,525,Jay Hernandez,4000,Drama|Romance,Crazy/Beautiful ,21406,Rolando Molina,2,169,USA,14000000,1000,6.5,1.85,0
Clint Eastwood,251,78,Kazunari Ninomiya,378,Drama|History|War,Letters from Iwo Jima ,132149,Shidô Nakamura,0,316,USA,19000000,85,7.9,2.35,5000
Michael Polish,113,844,Virginia Madsen,24000,Adventure|Drama|Sci-Fi,The Astronaut Farmer ,19707,Bruce Dern,0,128,USA,13000000,912,6.3,2.35,862
Daisy von Scherler Mayer,23,744,Jada Pinkett Smith,1000,Comedy|Romance,Woo ,1520,Dave Chappelle,0,20,USA,13000000,851,3.8,,204
Lenny Abrahamson,421,491,Jacob Tremblay,805,Drama,Room ,161288,Cas Anvar,0,351,Ireland,13000000,681,8.3,2.35,72000
Bob Saget,32,294,Jack Warden,721,Comedy,Dirty Work ,20033,Traylor Howard,0,117,Canada,13000000,359,6.4,1.85,679
John Waters,52,650,Sam Waterston,899,Comedy|Crime|Thriller,Serial Mom ,21212,Traci Lords,4,107,USA,13000000,849,6.7,1.66,3000
Andrew Fleming,81,4000,Will Ferrell,16000,Comedy,Dick ,16059,Kirsten Dunst,2,210,France,13000000,8000,6.1,1.85,0
Niels Arden Oplev,,75,David Dencik,690,Action|Crime|Mystery|Thriller,Del 1 - Män som hatar kvinnor             ,335,Lena Endre,0,,Sweden,,94,8.1,,22
Craig Bolotin,39,730,Vanessa Williams,3000,Drama|Thriller,Light It Up ,3116,Robert Ri'chard,3,39,USA,13000000,1000,6.0,1.85,251
Mark Christopher,63,812,Ellen Albertini Dow,4000,Drama|Music,54 ,27675,Sela Ward,4,181,USA,13000000,957,5.8,1.85,0
Blair Hayes,47,690,Geoffrey Arend,15000,Adventure|Comedy|Romance|Sci-Fi,Bubble Boy ,25541,Marley Shelton,0,181,USA,13000000,816,5.6,2.35,0
Jez Butterworth,111,258,Mathieu Kassovitz,567,Comedy|Crime|Thriller,Birthday Girl ,21530,Ben Chaplin,1,159,UK,13000000,326,6.1,2.35,618
Jon Lucas,168,499,Josie Loren,552,Comedy,21 & Over ,60407,Sarah Wright,0,84,USA,13000000,528,5.9,2.35,11000
Olivier Assayas,165,280,Miranda Richardson,12000,Comedy|Drama|Romance,Paris, je t'aime ,63084,Catalina Sandino Moreno,0,123,France,13000000,530,7.3,1.85,0
Rod Lurie,104,548,Kathryn Morris,748,Drama|Sport,Resurrecting the Champ ,18442,Peter Coyote,1,59,USA,13000000,573,6.8,2.35,689
Paul Weitz,150,252,Sarita Choudhury,2000,Comedy|Drama|Romance,Admission ,28573,Christopher Evan Welch,2,87,USA,13000000,257,5.7,2.35,5000
Patrice Leconte,61,8,Daniel Auteuil,2000,Drama|Romance,The Widow of Saint-Pierre ,4767,Yves Jacques,1,69,France,100000000,370,7.3,2.35,186
Atom Egoyan,226,73,Meghan Heffern,14000,Drama|Mystery|Romance|Thriller,Chloe ,56264,Natalie Lisinska,2,166,USA,11000000,153,6.3,1.85,0
Paul Mazursky,21,150,Ryan O'Neal,979,Comedy|Crime|Drama,Faithful ,1595,Paul Mazursky,3,19,USA,13000000,385,5.9,1.85,69
Jim Sheridan,217,1000,Jake Gyllenhaal,20000,Drama|Thriller,Brothers ,88037,Ethan Suplee,0,201,USA,26000000,15000,7.1,2.35,10000
Sidney Lumet,94,968,Vin Diesel,22000,Biography|Comedy|Crime|Drama,Find Me Guilty ,28068,Alex Rocco,2,108,Germany,13000000,14000,7.1,1.85,0
Stephen Chbosky,364,850,Ezra Miller,8000,Drama|Romance,The Perks of Being a Wallflower ,351274,Kate Walsh,2,457,USA,13000000,3000,8.0,1.85,131000
Jon Hess,19,147,Ian Gomez,683,Action,Excessive Force ,922,Thomas Ian Griffith,1,23,USA,3000000,155,5.1,1.85,107
Douglas McGrath,129,442,Isabella Rossellini,2000,Biography|Crime|Drama,Infamous ,14143,Hope Davis,4,102,USA,13000000,812,7.1,1.85,0
Michael Winterbottom,71,887,Sarah Polley,14000,Drama|Romance|Western,The Claim ,5254,Shirley Henderson,4,92,UK,20000000,900,6.5,2.35,141
Mark Neveldine,93,794,Alison Lohman,3000,Horror|Thriller,The Vatican Tapes ,7199,Dougray Scott,0,53,USA,8495000,1000,4.5,1.85,0
Joe Cornish,399,304,Luke Treadaway,1000,Action|Comedy|Sci-Fi|Thriller,Attack the Block ,82331,Jodie Whittaker,6,297,UK,13000000,305,6.6,2.35,18000
Angelina Jolie Pitt,110,116,Nikola Djuricko,306,Drama|Romance|War,In the Land of Blood and Honey ,31414,Branko Djuric,0,180,USA,13000000,164,4.3,2.35,0
Brad Anderson,285,383,Tara Platt,873,Crime|Thriller,The Call ,88241,Roma Maffia,0,266,USA,13000000,461,6.7,1.85,23000
John H. Lee,2,29,Dean Dawson,14000,Action|Drama|History|War,Operation Chromite ,90,Jung-jae Lee,1,1,South Korea,12620000,81,6.8,,139
John Stainton,61,234,Aden Young,477,Action|Adventure|Comedy|Family,The Crocodile Hunter: Collision Course ,5663,Steve Bastoni,0,106,Australia,13000000,238,5.4,2.35,332
Glenn Ficarra,242,113,Louis Herthum,170,Biography|Comedy|Crime|Drama|Romance,I Love You Phillip Morris ,77305,Annie Golden,0,162,France,13000000,157,6.6,1.85,11000
Jean-Jacques Annaud,62,91,Everett McGill,581,Adventure|Drama|History,Quest for Fire ,16281,Gary Schwartz,0,96,Canada,12500000,201,7.4,2.35,0
Denzel Washington,121,543,Kevin Connolly,18000,Biography|Drama,Antwone Fisher ,26493,Derek Luke,0,159,USA,12500000,638,7.3,2.35,0
Michael Hoffman,83,355,Embeth Davidtz,13000,Drama,The Emperor's Club ,14354,Rob Morrow,1,139,USA,12500000,795,6.9,1.85,0
Tony Scott,122,975,Gary Oldman,11000,Action|Crime|Drama|Romance|Thriller,True Romance ,163492,Michael Rapaport,3,460,USA,13000000,10000,8.0,2.35,15000
Benedek Fliegauf,88,1000,Matt Smith,6000,Drama|Romance|Sci-Fi,Womb ,9957,Hannah Murray,1,35,Germany,3660000,2000,6.4,2.35,0
James Foley,120,99,Al Pacino,18000,Crime|Drama|Mystery,Glengarry Glen Ross ,75675,Jude Ciccolella,1,365,USA,12500000,14000,7.8,2.35,0
Michael Winterbottom,225,204,Ned Beatty,818,Crime|Drama|Thriller,The Killer Inside Me ,28483,Jay R. Ferguson,0,176,USA,13000000,467,6.1,2.35,0
Paul Schrader,130,697,Ruby Dee,783,Fantasy|Horror|Thriller,Cat People ,14193,John Heard,1,106,USA,18000000,782,6.1,1.85,0
Stewart Hendler,167,472,Margo Harshman,1000,Horror|Mystery,Sorority Row ,24012,Rumer Willis,2,126,USA,16000000,668,5.1,2.35,0
John Cromwell,7,135,Mary Astor,490,Adventure|Drama|Romance,The Prisoner of Zenda ,3256,Ronald Colman,2,44,USA,,185,7.8,1.37,337
Craig Gillespie,226,552,Kelli Garner,33000,Comedy|Drama|Romance,Lars and the Real Girl ,114762,Paul Schneider,1,299,USA,12000000,730,7.4,1.85,19000
Mark Herman,185,18,Sheila Hancock,77,Drama|War,The Boy in the Striped Pajamas ,132386,Cara Horgan,0,398,UK,12500000,32,7.8,1.85,38000
Lars von Trier,177,322,Udo Kier,963,Crime|Drama|Musical,Dancer in the Dark ,79330,Björk,0,690,Denmark,12800000,595,8.0,2.35,0
Gillian Armstrong,28,241,Richard Roxburgh,1000,Drama|Romance,Oscar and Lucinda ,5648,Clive Russell,2,50,USA,16000000,653,6.7,2.35,329
Abel Ferrara,48,599,Vincent Gallo,812,Crime|Drama,The Funeral ,6921,Gretchen Mol,3,48,USA,12500000,787,6.6,1.85,344
Brian Koppelman,116,506,David Costabile,966,Comedy|Drama|Romance,Solitary Man ,13371,Richard Schiff,7,60,USA,15000000,681,6.4,1.85,0
Ethan Maniquis,391,844,Don Johnson,22000,Action|Crime|Thriller,Machete ,165792,Cheech Marin,1,392,USA,10500000,982,6.7,1.85,44000
George Hickenlooper,117,168,Eric Schweig,18000,Biography|Comedy|Crime|Drama,Casino Jack ,14757,Christian Campbell,5,51,Canada,15000000,322,6.2,2.35,0
Don Bluth,24,191,Gabriel Damon,912,Adventure|Animation|Family,The Land Before Time ,61753,Bill Erwin,0,133,USA,12500000,320,7.3,1.33,5000
Je-kyu Kang,86,489,Bin Won,717,Action|Drama|War,Tae Guk Gi: The Brotherhood of War ,31943,Dong-gun Jang,2,224,South Korea,12800000,517,8.1,2.35,0
William Dear,41,655,Cheech Marin,968,Comedy|Drama|Family|Sport,The Perfect Game ,2676,Bruce McGill,0,33,Canada,12500000,844,7.0,2.35,0
William Friedkin,304,259,Linda Blair,1000,Horror,The Exorcist ,284252,Lee J. Cobb,0,1058,USA,8000000,931,8.0,1.37,18000
Steven Spielberg,385,366,Robert Shaw,813,Adventure|Drama|Thriller,Jaws ,412454,Murray Hamilton,0,962,USA,8000000,559,8.0,2.35,21000
Paul Weitz,145,1000,Shannon Elizabeth,3000,Comedy,American Pie ,315549,Natasha Lyonne,6,789,USA,11000000,1000,7.0,1.85,0
Stéphane Aubier,99,186,Megan Mullally,6000,Animation|Comedy|Crime|Drama|Family,Ernest & Celestine ,12029,Lambert Wilson,0,32,France,9600000,637,7.9,1.85,0
Michael Ritchie,29,148,Randall 'Tex' Cobb,400,Action|Adventure|Comedy|Fantasy|Mystery,The Golden Child ,39798,Charlotte Lewis,1,69,USA,25000000,255,5.9,1.85,0
Tim Story,77,807,Romany Malco,997,Comedy|Romance,Think Like a Man ,34579,Regina Hall,8,62,USA,12000000,966,6.6,2.35,0
Tim Story,91,436,Jason George,656,Comedy|Drama,Barbershop ,22147,Cedric the Entertainer,0,156,USA,12000000,528,6.3,1.85,770
Nicholas Meyer,148,664,Kirstie Alley,12000,Action|Adventure|Sci-Fi,Star Trek II: The Wrath of Khan ,91414,Nichelle Nichols,2,359,USA,11000000,980,7.7,2.35,0
Tom Shadyac,61,567,Udo Kier,759,Comedy,Ace Ventura: Pet Detective ,216486,David Margulies,1,242,USA,12000000,595,6.9,1.85,0
John Badham,84,793,Barry Corbin,2000,Sci-Fi|Thriller,WarGames ,71842,Ally Sheedy,0,152,USA,12000000,883,7.1,1.85,0
Peter Weir,83,733,Viggo Mortensen,11000,Crime|Drama|Romance|Thriller,Witness ,66966,Lukas Haas,1,175,USA,12000000,10000,7.4,1.85,0
Mike McCoy,216,11,Jason Cottle,93,Action|Adventure|Drama|Thriller|War,Act of Valor ,57996,Rorke Denver,0,349,USA,12000000,17,6.5,2.35,15000
Anne Fletcher,107,920,Alyson Stoner,17000,Crime|Drama|Music|Romance,Step Up ,90938,Josh Henderson,0,271,USA,12000000,2000,6.5,2.35,0
Mike Judge,63,616,Demi Moore,13000,Adventure|Animation|Comedy|Crime,Beavis and Butt-Head Do America ,42892,John Doman,0,154,USA,12000000,2000,6.8,1.85,0
Quentin Tarantino,140,889,Sid Haig,22000,Crime|Thriller,Jackie Brown ,239540,Robert Forster,5,462,USA,12000000,1000,7.5,1.85,0
Jon Hurwitz,153,816,Eric Winter,1000,Adventure|Comedy,Harold & Kumar Escape from Guantanamo Bay ,113918,Beverly D'Angelo,2,165,USA,12000000,954,6.6,1.85,0
Josh Trank,414,371,Alex Russell,963,Drama|Sci-Fi|Thriller,Chronicle ,204327,Ashley Hinshaw,0,471,USA,12000000,465,7.1,1.85,32000
Barbra Streisand,16,122,Amy Irving,405,Drama|Musical|Romance,Yentl ,9503,Steven Hill,1,68,UK,12000000,194,6.6,1.85,0
Terry Gilliam,139,504,Michael Palin,629,Adventure|Comedy|Fantasy|Sci-Fi,Time Bandits ,45890,Kenny Baker,0,177,UK,5000000,561,7.0,1.85,0
