director_name,duration,actor_3_facebook_likes,genres,actor_1_name,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,actor_2_facebook_likes,imdb_score
E.L. Katz,88,307,Comedy|Crime|Drama|Horror|Thriller,Brighton Sharbino,4729,Elissa Dowling,3,http://www.imdb.com/title/tt2389182/?ref_=fn_tt_tt_1,52,982,6.8
Lisanne Pajot,103,0,Documentary,Jonathan Blow,0,Phil Fish,0,http://www.imdb.com/title/tt1942884/?ref_=fn_tt_tt_1,23,0,7.7
Dan Reed,80,140,Thriller,Danny Dyer,1401,Ralph Brown,1,http://www.imdb.com/title/tt0480011/?ref_=fn_tt_tt_1,44,279,5.6
John Reinhardt,68,75,Crime|Drama,Sheldon Leonard,354,Arthur O'Connell,3,http://www.imdb.com/title/tt0040671/?ref_=fn_tt_tt_1,9,86,7.1
Patrick Ryan Sims,81,10,Action|Drama|Sci-Fi|Thriller,Claire Gordon-Harper,459,Johnathan Hurley,2,http://www.imdb.com/title/tt2343473/?ref_=fn_tt_tt_1,1,18,3.6
Laslo Benedek,106,13,Crime|Horror|Thriller,Liv Ullmann,564,Andrew Keir,1,http://www.imdb.com/title/tt0066141/?ref_=fn_tt_tt_1,19,98,6.8
Jason Miller,77,0,Biography|Documentary|Music,Jon Brion,45,David Barnes,0,http://www.imdb.com/title/tt3072636/?ref_=fn_tt_tt_1,1,0,7.6
Dennis Iliadis,114,616,Crime|Horror|Thriller,Tony Goldwyn,3861,Martha MacIsaac,0,http://www.imdb.com/title/tt0844708/?ref_=fn_tt_tt_1,279,878,6.6
Sut Jhally,80,0,Documentary,Noam Chomsky,103,Arik Ascherman,3,http://www.imdb.com/title/tt0428959/?ref_=fn_tt_tt_1,13,0,8.3
Darren Aronofsky,84,194,Drama|Mystery|Thriller,Mark Margolis,2065,Stanley B. Herman,0,http://www.imdb.com/title/tt0138704/?ref_=fn_tt_tt_1,586,512,7.5
Julie Davis,86,117,Comedy|Romance,Jack McGee,623,Tim DeZarn,1,http://www.imdb.com/title/tt0130019/?ref_=fn_tt_tt_1,15,166,5.4
Myles Berkowitz,87,153,Biography|Comedy|Romance,Tia Carrere,1362,Robert McKee,0,http://www.imdb.com/title/tt0138987/?ref_=fn_tt_tt_1,83,184,5.3
Brett Piper,80,3,Action|Sci-Fi|Thriller,Michelle Simone Miller,138,A.J. DeLucia,0,http://www.imdb.com/title/tt2319456/?ref_=fn_tt_tt_1,18,15,4.5
Morgan Spurlock,100,0,Comedy|Documentary|Drama,Chemeeka Walker,0,Amelia Giancarlo,2,http://www.imdb.com/title/tt0390521/?ref_=fn_tt_tt_1,404,0,7.3
Brandon Trost,82,128,Comedy,Clifton Collins Jr.,2046,James DeBello,0,http://www.imdb.com/title/tt1296373/?ref_=fn_tt_tt_1,22,407,5.6
Joe Swanberg,82,442,Comedy|Drama,Anna Kendrick,11642,Mark Webber,3,http://www.imdb.com/title/tt2955096/?ref_=fn_tt_tt_1,23,969,5.6
Joseph Green,70,6,Horror|Sci-Fi,Virginia Leith,52,Bruce Kerr,1,http://www.imdb.com/title/tt0052646/?ref_=fn_tt_tt_1,152,16,4.1
Wade Gasque,75,46,Drama,Ty Parker,488,Loanne Bishop,2,http://www.imdb.com/title/tt2866824/?ref_=fn_tt_tt_1,8,87,6.8
Daniel Schechter,87,272,Comedy,Lena Dunham,2398,Alex Karpovsky,0,http://www.imdb.com/title/tt1874789/?ref_=fn_tt_tt_1,4,778,6.3
Mike Flanagan,87,9,Drama|Horror|Mystery,Justin Gordon,97,Erin Cipolletti,0,http://www.imdb.com/title/tt1610996/?ref_=fn_tt_tt_1,136,28,5.8
Edward Burns,98,73,Comedy|Drama|Romance,Shari Albert,388,Maxine Bahns,0,http://www.imdb.com/title/tt0112585/?ref_=fn_tt_tt_1,36,111,6.6
Matt Johnson,83,8,Crime|Drama|Thriller,Paul Daniel Ayotte,147,Matt Johnson,0,http://www.imdb.com/title/tt2334896/?ref_=fn_tt_tt_1,40,19,6.7
Bruno Barreto,99,3,Comedy|Drama|Romance,Marcello Mastroianni,1179,Joffre Soares,0,http://www.imdb.com/title/tt0085575/?ref_=fn_tt_tt_1,9,308,6.4
Lena Dunham,98,433,Comedy|Drama|Romance,Lena Dunham,2530,Jemima Kirke,0,http://www.imdb.com/title/tt1570989/?ref_=fn_tt_tt_1,35,529,6.3
Terron R. Parsons,93,133,Crime|Drama|Horror,Richard Tyson,1527,Corlandos Scott,0,http://www.imdb.com/title/tt1861343/?ref_=fn_tt_tt_1,5,413,3.4
Daniel Mellitz,,15,Comedy|Drama,Corbin Bernsen,1077,Amanda MacDonald,0,http://www.imdb.com/title/tt0381053/?ref_=fn_tt_tt_1,3,36,4.7
Jem Cohen,111,,Documentary,,0,,0,http://www.imdb.com/title/tt4462082/?ref_=fn_tt_tt_1,1,,6.0
Andrew Leman,47,5,Fantasy|Horror|Mystery|Thriller,Dan Novy,43,Barry Lynch,0,http://www.imdb.com/title/tt0478988/?ref_=fn_tt_tt_1,99,9,7.3
Dave Carroll,92,,Documentary,Chris 'Wonder' Schoeck,0,,0,http://www.imdb.com/title/tt2181837/?ref_=fn_tt_tt_1,10,,7.9
William Eubank,97,236,Sci-Fi|Thriller,Lin Shaye,1922,Beau Knapp,0,http://www.imdb.com/title/tt2910814/?ref_=fn_tt_tt_1,180,680,6.1
Patrick Meaney,81,18,Biography|Documentary,Taliesin Jaffe,70,Jeff Dowd,7,http://www.imdb.com/title/tt2294916/?ref_=fn_tt_tt_1,2,20,7.4
Chad Hartigan,83,69,Drama,Jan Haley,1438,Demetrius Grosse,0,http://www.imdb.com/title/tt1798291/?ref_=fn_tt_tt_1,7,571,6.6
Malcolm Goodwin,96,281,Comedy,Katrina Bowden,2058,Kelen Coleman,5,http://www.imdb.com/title/tt1524083/?ref_=fn_tt_tt_1,4,482,5.5
David Gordon Green,90,15,Drama,Paul Schneider,642,Damian Jewan Lee,0,http://www.imdb.com/title/tt0262432/?ref_=fn_tt_tt_1,76,61,7.5
Kevin Jordan,90,113,Comedy|Romance,Derick Martini,20814,Ion Overman,5,http://www.imdb.com/title/tt0162348/?ref_=fn_tt_tt_1,26,467,7.6
Kirk Loudon,95,279,Drama|Sci-Fi|Thriller,Barry Corbin,2618,Shiree Nelson,0,http://www.imdb.com/title/tt3157318/?ref_=fn_tt_tt_1,2,507,5.0
Travis Legge,83,76,Horror,Elissa Dowling,619,Lindsay Felton,0,http://www.imdb.com/title/tt1716760/?ref_=fn_tt_tt_1,6,114,3.2
Martin Scorsese,117,476,Documentary|Music,Ringo Starr,2783,Bob Dylan,0,http://www.imdb.com/title/tt0077838/?ref_=fn_tt_tt_1,113,572,8.2
Collin Joseph Neal,75,130,Horror|Thriller,Julianne Gabert,638,Ronee Collins,0,http://www.imdb.com/title/tt2442662/?ref_=fn_tt_tt_1,5,132,3.7
Bradley Rust Gray,79,20,Drama,Zoe Kazan,1054,Jordan Scovel,0,http://www.imdb.com/title/tt1294161/?ref_=fn_tt_tt_1,10,72,6.3
Mike Bruce,78,17,Western,Joseph Campanella,72,Christian Anderson,0,http://www.imdb.com/title/tt1073221/?ref_=fn_tt_tt_1,9,17,4.1
Andrew Bujalski,109,3,Comedy,Andrew Bujalski,38,Justin Rice,0,http://www.imdb.com/title/tt0446747/?ref_=fn_tt_tt_1,23,6,6.9
Damir Catic,89,0,Horror,Nichole Ceballos,5,Parker Riggs,0,http://www.imdb.com/title/tt2469216/?ref_=fn_tt_tt_1,2,0,5.4
Ben Wheatley,93,59,Comedy|Crime|Drama,Michael Smiley,365,David Schaal,4,http://www.imdb.com/title/tt1489167/?ref_=fn_tt_tt_1,22,95,6.5
Kevin Smith,102,216,Comedy,Jason Mewes,2103,Jeff Anderson,4,http://www.imdb.com/title/tt0109445/?ref_=fn_tt_tt_1,615,657,7.8
James Bidgood,65,,Drama|Fantasy,Don Brooks,0,,1,http://www.imdb.com/title/tt0067580/?ref_=fn_tt_tt_1,16,0,6.7
Andrew Bujalski,85,3,Comedy|Drama,Andrew Bujalski,40,Justin Rice,1,http://www.imdb.com/title/tt0327753/?ref_=fn_tt_tt_1,61,6,6.4
Neil LaBute,97,7,Comedy|Drama,Stacy Edwards,254,Jason Dixie,0,http://www.imdb.com/title/tt0119361/?ref_=fn_tt_tt_1,197,108,7.3
David Ayer,109,120,Action|Crime|Drama|Thriller,Mireille Enos,1458,Maurice Compte,3,http://www.imdb.com/title/tt1742334/?ref_=fn_tt_tt_1,212,206,5.7
Eric Eason,79,42,Drama|Family,Franky G,243,Casper Martinez,0,http://www.imdb.com/title/tt0298050/?ref_=fn_tt_tt_1,21,46,7.0
Uwe Boll,80,492,Action|Crime|Thriller,Matt Frewer,3197,Michael Paré,0,http://www.imdb.com/title/tt1337057/?ref_=fn_tt_tt_1,129,918,6.3
Richard Linklater,100,0,Comedy|Drama,Tommy Pallotta,5,Jean Caffeine,0,http://www.imdb.com/title/tt0102943/?ref_=fn_tt_tt_1,80,0,7.1
Joseph Mazzella,90,9,Crime|Drama|Thriller,Tjasa Ferme,366,Damon Owlia,2,http://www.imdb.com/title/tt2759066/?ref_=fn_tt_tt_1,2,25,4.8
Travis Legge,90,138,Comedy|Romance,Kristen Seavey,841,Travis Legge,1,http://www.imdb.com/title/tt2375036/?ref_=fn_tt_tt_1,3,184,3.3
Alex Kendrick,120,4,Drama,Shannen Fields,108,Janet Lee Dapper,1,http://www.imdb.com/title/tt0425027/?ref_=fn_tt_tt_1,49,49,6.9
Marcus Nispel,91,265,Horror|Mystery|Thriller,Ashley Tramonte,2679,Lindsay MacDonald,0,http://www.imdb.com/title/tt1945044/?ref_=fn_tt_tt_1,33,512,4.6
Brandon Landers,143,8,Drama|Horror|Thriller,Robbie Barnes,770,Brandon Landers,0,http://www.imdb.com/title/tt1781935/?ref_=fn_tt_tt_1,8,19,3.0
Jay Duplass,85,10,Comedy|Drama|Romance,Mark Duplass,1064,Bari Hyman,0,http://www.imdb.com/title/tt0436689/?ref_=fn_tt_tt_1,71,224,6.6
Jim Chuchu,60,4,Drama,Paul Ogola,170,Mugambi Nthiga,0,http://www.imdb.com/title/tt3973612/?ref_=fn_tt_tt_1,1,19,7.4
Daryl Wein,88,211,Romance,Zoe Lister-Jones,1546,Ebon Moss-Bachrach,2,http://www.imdb.com/title/tt1247644/?ref_=fn_tt_tt_1,8,212,6.2
Jason Trost,78,86,Sci-Fi|Thriller,Sean Whalen,674,Nick Principe,0,http://www.imdb.com/title/tt1836212/?ref_=fn_tt_tt_1,35,91,4.0
John Waters,108,105,Comedy|Crime|Horror,Divine,760,Edith Massey,2,http://www.imdb.com/title/tt0069089/?ref_=fn_tt_tt_1,183,143,6.1
Olivier Assayas,110,45,Drama|Music|Romance,Maggie Cheung,776,Don McKellar,1,http://www.imdb.com/title/tt0388838/?ref_=fn_tt_tt_1,39,133,6.9
Jafar Panahi,90,0,Drama,Fereshteh Sadre Orafaiy,5,Mojgan Faramarzi,0,http://www.imdb.com/title/tt0255094/?ref_=fn_tt_tt_1,26,0,7.5
Ivan Kavanagh,83,0,Horror,Patrick O'Donnell,15,Emma Eliza Regan,0,http://www.imdb.com/title/tt1235811/?ref_=fn_tt_tt_1,1,5,6.7
Kiyoshi Kurosawa,111,6,Crime|Horror|Mystery|Thriller,Kôji Yakusho,115,Denden,0,http://www.imdb.com/title/tt0123948/?ref_=fn_tt_tt_1,50,13,7.4
Tadeo Garcia,84,12,Drama,Tatiana Suarez-Pico,62,Eric Ambriz,2,http://www.imdb.com/title/tt0390323/?ref_=fn_tt_tt_1,3,20,6.1
Thomas L. Phillips,82,84,Comedy|Horror|Thriller,Julianna Pitt,1111,John Lucas,,http://www.imdb.com/title/tt2049518/?ref_=fn_tt_tt_1,8,98,5.4
