director_name,director_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,actor_3_name,language,country,content_rating,budget,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Michael Caton-Jones,105,5851188,Crime|Mystery|Thriller,Charlotte Rampling,Basic Instinct 2 ,31124,Neil Maskell,English,UK,R,70000000,729,4.2,2.35,764
Mikael Håfström,101,25121291,Action|Crime|Mystery|Sci-Fi|Thriller,Sylvester Stallone,Escape Plan ,177653,Matt Gerald,English,USA,R,50000000,1000,6.7,2.35,34000
Renny Harlin,212,18821279,Action|Adventure|Fantasy,Roxanne McKee,The Legend of Hercules ,44891,Gaia Weiss,English,USA,PG-13,70000000,358,4.2,2.35,12000
Phil Alden Robinson,31,118471320,Action|Drama|Thriller,Morgan Freeman,The Sum of All Fears ,86504,Philip Baker Hall,English,USA,PG-13,68000000,655,6.4,2.35,0
David Slade,171,300523113,Adventure|Drama|Fantasy|Romance,Robert Pattinson,The Twilight Saga: Eclipse ,184637,Anna Kendrick,English,USA,PG-13,68000000,17000,4.9,2.35,29000
Frank Oz,0,71069884,Crime|Drama|Thriller,Robert De Niro,The Score ,101899,Gary Farmer,English,USA,R,68000000,10000,6.8,2.35,0
Pierre Coffin,275,251501645,Animation|Comedy|Family,Steve Carell,Despicable Me ,385943,Jack McBrayer,English,USA,PG,69000000,2000,7.7,1.85,31000
Joseph Ruben,29,35324232,Action|Comedy|Crime|Drama|Thriller,Vincent Pastore,Money Train ,32224,Aida Turturro,English,USA,R,68000000,220,5.6,2.35,617
Seth MacFarlane,3000,81257500,Comedy,Liam Neeson,Ted 2 ,117739,Seth MacFarlane,English,USA,R,68000000,11000,6.4,2.35,30000
Alejandro Amenábar,448,617840,Adventure|Drama|History|Romance,Max Minghella,Agora ,52496,Rupert Evans,English,Spain,R,70000000,451,7.2,2.35,29000
Kinka Usher,18,29655590,Action|Comedy|Fantasy|Sci-Fi,Janeane Garofalo,Mystery Men ,53970,Eddie Izzard,English,USA,PG-13,65000000,855,6.0,1.85,0
Bobby Farrelly,101,45045037,Comedy|Romance,Jenna Fischer,Hall Pass ,103230,Stephen Merchant,English,USA,R,36000000,919,5.9,2.35,10000
Michael Mann,0,28965197,Biography|Drama|Thriller,Al Pacino,The Insider ,133526,Debi Mazar,English,USA,R,68000000,826,7.9,2.35,0
Craig Gillespie,44,27550735,Action|Drama|History|Thriller,Michael Raymond-James,The Finest Hours ,27481,Graham McTavish,English,USA,PG-13,,562,6.8,2.35,12000
Ridley Scott,0,39380442,Action|Drama|Thriller,Leonardo DiCaprio,Body of Lies ,174248,Michael Gaston,English,USA,R,70000000,149,7.1,2.35,0
Jay Roach,116,72980108,Comedy,Steve Carell,Dinner for Schmucks ,80338,Bruce Greenwood,English,USA,PG-13,,1000,5.9,1.85,0
Timur Bekmambetov,335,37516013,Action|Fantasy|Horror,Rufus Sewell,Abraham Lincoln: Vampire Hunter ,128629,Benjamin Walker,English,USA,R,69000000,3000,5.9,2.35,98000
Jon Amiel,36,87704396,Action|Crime|Romance|Thriller,Will Patton,Entrapment ,88132,Maury Chaykin,English,USA,PG-13,66000000,427,6.2,2.35,0
,,,Comedy,Hector Elizondo,Last Man Standing             ,15114,Nancy Travis,English,USA,TV-PG,,363,7.4,16.0,0
Rob Bowman,38,83892374,Drama|Mystery|Sci-Fi|Thriller,Martin Landau,The X Files ,85720,Jeffrey DeMunn,English,USA,PG-13,66000000,826,7.0,2.35,0
Doug Lefler,4,5932060,Action|Adventure|Fantasy|War,Colin Firth,The Last Legion ,29285,Owen Teale,English,UK,PG-13,35000000,394,5.4,2.35,0
Steven Spielberg,14000,216119491,Action|Drama|War,Tom Hanks,Saving Private Ryan ,881236,Matt Damon,English,USA,R,70000000,14000,8.6,1.85,22000
Scott Waugh,76,43568507,Action|Crime|Drama|Thriller,Rami Malek,Need for Speed ,136954,Ramon Rodriguez,English,USA,PG-13,66000000,3000,6.5,2.35,32000
Nancy Meyers,278,182805123,Comedy|Fantasy|Romance,Judy Greer,What Women Want ,158864,Loretta Devine,English,USA,PG-13,70000000,955,6.4,1.37,0
Chris Wedge,77,176387405,Adventure|Animation|Comedy|Family,Goran Visnjic,Ice Age ,328159,Denis Leary,English,USA,PG,59000000,939,7.6,1.85,3000
Lawrence Kasdan,759,33685268,Drama|Horror|Sci-Fi|Thriller,Morgan Freeman,Dreamcatcher ,75573,Reece Thompson,English,USA,R,68000000,599,5.5,2.35,4000
Steven Spielberg,14000,182204440,Biography|Drama|History|War,Joseph Gordon-Levitt,Lincoln ,197412,Bruce McGill,English,USA,PG-13,65000000,826,7.4,2.35,71000
Lana Wachowski,0,171383253,Action|Sci-Fi,Keanu Reeves,The Matrix ,1217752,Gloria Foster,English,USA,R,63000000,145,8.7,2.35,25000
Ron Howard,2000,172071312,Adventure|Drama|History,Tom Hanks,Apollo 13 ,208817,Kathleen Quinlan,English,USA,PG,62000000,968,7.6,2.35,5000
Paul Verhoeven,719,119412921,Action|Sci-Fi,Ronny Cox,Total Recall ,240241,Marshall Bell,English,USA,R,65000000,308,7.5,1.85,0
Michael Lembeck,54,139225854,Comedy|Family|Fantasy,Judge Reinhold,The Santa Clause 2 ,34561,Eric Lloyd,English,USA,G,60000000,857,5.5,1.85,1000
Tom Hooper,0,148775460,Drama|Musical|Romance,Hugh Jackman,Les Misérables ,243834,Anne Hathaway,English,USA,PG-13,61000000,13000,7.6,1.85,144000
Nora Ephron,0,115731542,Comedy|Drama|Romance,Tom Hanks,You've Got Mail ,151812,Dave Chappelle,English,USA,PG,65000000,793,6.5,1.85,0
Adam McKay,285,100468793,Comedy,Will Ferrell,Step Brothers ,212499,Andrea Savage,English,USA,R,65000000,3000,6.9,2.35,0
Martin Campbell,258,93771072,Action|Adventure|Comedy|Romance|Thriller|Western,Anthony Hopkins,The Mask of Zorro ,135404,Stuart Wilson,English,USA,PG-13,65000000,174,6.7,2.35,0
Todd Phillips,480,100448498,Comedy|Drama,Robert Downey Jr.,Due Date ,272789,Matt Walsh,English,USA,R,65000000,561,6.6,2.35,25000
Angelina Jolie Pitt,11000,115603980,Biography|Drama|Sport|War,Finn Wittrock,Unbroken ,103589,Alex Russell,English,USA,PG-13,65000000,698,7.2,2.35,35000
Clint Eastwood,16000,90454043,Action|Adventure|Thriller,Clint Eastwood,Space Cowboys ,60165,William Devane,English,USA,PG-13,65000000,495,6.4,2.35,0
Renny Harlin,212,84049211,Action|Adventure|Thriller,Sylvester Stallone,Cliffhanger ,96096,Janine Turner,English,USA,R,70000000,730,6.4,2.35,0
John Woo,610,70450000,Action|Crime|Thriller,Delroy Lindo,Broken Arrow ,77390,Bob Gunton,English,USA,R,50000000,517,6.0,2.35,0
Jon Turteltaub,226,69688384,Comedy|Family|Fantasy,Bruce Willis,The Kid ,34473,Daniel von Bargen,English,USA,PG,60000000,718,6.1,1.85,0
Oliver Stone,0,70236496,Drama|History|Thriller,Nicolas Cage,World Trade Center ,67395,Armando Riesco,English,USA,PG-13,63000000,1000,6.0,1.85,0
Mike Newell,179,63695760,Drama,Julia Roberts,Mona Lisa Smile ,61490,Marian Seldes,English,USA,PG-13,65000000,4000,6.4,1.85,0
Larry Charles,119,59617068,Comedy|Romance,Sayed Badreya,The Dictator ,213863,Horatio Sanz,English,USA,R,65000000,346,6.4,2.35,59000
Stanley Kubrick,0,55637680,Drama|Mystery|Thriller,Tom Cruise,Eyes Wide Shut ,227071,Sydney Pollack,English,UK,R,65000000,580,7.3,1.66,10000
Will Gluck,87,85911262,Comedy|Drama|Family|Musical,Quvenzhané Wallis,Annie ,24735,David Zayas,English,USA,PG,65000000,1000,5.2,2.39,16000
Glenn Ficarra,43,53846915,Comedy|Crime|Drama|Romance,Will Smith,Focus ,149337,Gerald McRaney,English,USA,R,50100000,806,6.6,1.85,23000
McG,368,54758461,Action|Comedy|Romance,Tom Hardy,This Means War ,147641,Warren Christie,English,USA,PG-13,65000000,1000,6.3,2.35,18000
David S. Goyer,687,52397389,Action|Adventure|Fantasy|Horror|Sci-Fi|Thriller,Ryan Reynolds,Blade: Trinity ,132954,John Michael Higgins,English,USA,R,65000000,1000,5.9,2.35,0
John Milius,468,,Action|Drama|War,Lea Thompson,Red Dawn ,41776,William Smith,English,USA,PG-13,16900000,1000,6.4,1.85,0
Mike Nichols,0,38966057,Comedy|Drama,Maura Tierney,Primary Colors ,23940,Paul Guilfoyle,English,France,R,65000000,317,6.7,2.35,688
Paul W.S. Anderson,545,42345531,Action|Horror|Sci-Fi|Thriller,Milla Jovovich,Resident Evil: Retribution ,104831,Bingbing Li,English,Germany,R,65000000,1000,5.4,2.35,32000
Paul W.S. Anderson,545,36064910,Action|Sci-Fi|Thriller,Jason Statham,Death Race ,166610,Joan Allen,English,USA,R,45000000,872,6.4,2.35,0
Renny Harlin,212,33328051,Action|Crime|Drama|Mystery|Thriller,Melina Kanakaredes,The Long Kiss Goodnight ,60508,Yvonne Zima,English,USA,R,65000000,380,6.7,2.35,4000
Taylor Hackford,138,32598931,Action|Drama|Thriller,Pamela Reed,Proof of Life ,49300,Michael Kitchen,English,USA,R,65000000,192,6.2,2.35,892
Jon Favreau,4000,28045540,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,Kristen Stewart,Zathura: A Space Adventure ,67707,Jonah Bobo,English,USA,PG,65000000,14000,6.1,1.85,0
David Fincher,21000,37023395,Drama,Brad Pitt,Fight Club ,1347461,Eugenie Bondurant,English,USA,R,63000000,783,8.8,2.35,48000
McG,368,43532294,Drama|Sport,Matthew McConaughey,We Are Marshall ,46951,Brian Geraghty,English,USA,PG,65000000,529,7.1,2.35,0
,,,Crime|Drama|Mystery,Jason Flemyng,The Missing             ,8739,Frances O'Connor,English,UK,,,773,8.1,,0
Michael Lehmann,36,17218080,Action|Adventure|Comedy,Bruce Willis,Hudson Hawk ,43376,Richard E. Grant,English,USA,R,70000000,773,5.7,1.85,0
Nora Ephron,0,10014234,Comedy|Crime,Michael Rapaport,Lucky Numbers ,8560,Richard Schiff,English,France,R,65000000,909,5.0,1.85,177
Stuart Beattie,72,19059018,Action|Fantasy|Sci-Fi|Thriller,Caitlin Stasey,"I, Frankenstein ",65709,Miranda Otto,English,Australia,PG-13,65000000,593,5.1,2.35,15000
Roman Polanski,2000,1987287,Crime|Drama,Ian McNeice,Oliver Twist ,25474,Tony Noble,English,UK,PG-13,50000000,85,6.9,2.35,0
Rob Bowman,38,24407944,Action|Crime|Fantasy|Thriller,Jennifer Garner,Elektra ,71202,Goran Visnjic,English,Canada,PG-13,43000000,1000,4.8,2.35,0
Frank Miller,436,13750556,Action|Crime|Thriller,Joseph Gordon-Levitt,Sin City: A Dame to Kill For ,111102,Eva Green,English,USA,R,65000000,13000,6.5,1.85,32000
Sydney Pollack,521,31054924,Drama|Mystery|Romance,Harrison Ford,Random Hearts ,17025,Bill Cobbs,English,USA,R,64000000,1000,5.1,1.85,295
Baltasar Kormákur,175,43247140,Adventure|Biography|Drama|History|Sport|Thriller,Michael Kelly,Everest ,134625,Tom Goodman-Hill,English,UK,PG-13,55000000,580,7.1,2.35,40000
Tom Tykwer,670,2208939,Crime|Drama|Fantasy,Michael Smiley,Perfume: The Story of a Murderer ,190490,Simon Chandler,English,Germany,R,50000000,27,7.5,2.35,26000
Jay Roach,116,213079163,Action|Comedy|Crime,Verne Troyer,Austin Powers in Goldmember ,162909,Robert Wagner,English,USA,PG-13,63000000,522,6.2,2.35,0
David Bowers,42,19548064,Action|Animation|Comedy|Family|Sci-Fi,Nicolas Cage,Astro Boy ,25681,Dee Bradley Baker,English,Hong Kong,PG,65000000,9000,6.3,2.35,0
Steven Spielberg,14000,356784000,Adventure|Sci-Fi|Thriller,Wayne Knight,Jurassic Park ,613473,Bob Peck,English,USA,PG-13,63000000,610,8.1,1.85,19000
Lawrence Kasdan,759,25052000,Adventure|Biography|Crime|Drama|Western,Dennis Quaid,Wyatt Earp ,35314,Isabella Rossellini,English,USA,PG-13,63000000,925,6.6,2.35,0
Phillip Noyce,176,122012710,Action|Crime|Drama|Thriller,Harrison Ford,Clear and Present Danger ,69663,Raymond Cruz,English,USA,PG-13,62000000,913,6.9,2.35,0
Daniel Lee,10,72413,Action|Adventure|Drama|History,Si Won Choi,Dragon Blade ,11584,Sung-jun Yoo,Mandarin,China,R,65000000,18,6.1,2.35,0
Keenen Ivory Wayans,322,58255287,Comedy|Crime,Chazz Palminteri,Littleman ,39471,John Witherspoon,English,USA,PG-13,64000000,862,4.3,1.85,0
Jonathan Mostow,84,77086030,Action|War,Matthew McConaughey,U-571 ,65297,David Keith,English,France,PG-13,62000000,919,6.6,2.35,0
Rob Reiner,0,65000000,Comedy|Drama|Romance,Shawna Waldron,The American President ,43027,Wendie Malick,English,USA,PG-13,62000000,517,6.8,2.35,0
Marco Schnabel,12,32178777,Comedy|Romance|Sport,Justin Timberlake,The Love Guru ,43300,Verne Troyer,English,USA,PG-13,62000000,966,3.8,2.35,0
Demian Lichtenstein,11,15738632,Action|Comedy|Crime|Thriller,Jon Lovitz,3000 Miles to Graceland ,38076,Ice-T,English,USA,R,42000000,904,5.9,2.35,0
Quentin Tarantino,16000,54116191,Crime|Drama|Mystery|Thriller|Western,Craig Stark,The Hateful Eight ,272839,Zoë Bell,English,USA,R,44000000,1000,7.9,2.76,114000
Josh Gordon,8,118153533,Comedy|Sport,Will Ferrell,Blades of Glory ,129995,Jon Heder,English,USA,PG-13,61000000,1000,6.3,1.85,0
Tim Hill,25,108012170,Adventure|Animation|Comedy|Family|Fantasy,Gary Cole,Hop ,24089,Chelsea Handler,English,USA,PG,63000000,664,5.5,1.85,0
Zack Snyder,0,210592590,Action|Drama|Fantasy|War,Gerard Butler,300 ,607235,Vincent Regan,English,USA,R,65000000,13000,7.7,2.35,13000
Jay Roach,116,279167575,Comedy|Romance,Robert De Niro,Meet the Fockers ,211296,Teri Polo,English,USA,PG-13,80000000,713,6.3,1.85,0
David Frankel,64,143151473,Comedy|Drama|Family,Eric Dane,Marley & Me ,116681,Haley Bennett,English,USA,PG,60000000,899,7.1,2.35,11000
Frank Darabont,0,136801374,Crime|Drama|Fantasy|Mystery,Tom Hanks,The Green Mile ,782610,Michael Jeter,English,USA,R,60000000,745,8.5,1.85,30000
Walt Becker,12,168213584,Action|Adventure|Comedy,Jill Hennessy,Wild Hogs ,99989,Drew Sidora,English,USA,PG-13,,330,5.9,2.35,0
Mark Dindal,10,135381507,Adventure|Animation|Comedy|Family|Sci-Fi,Catherine O'Hara,Chicken Little ,63912,Amy Sedaris,English,USA,G,150000000,729,5.8,1.85,912
David Fincher,21000,167735396,Crime|Drama|Mystery|Thriller,Patrick Fugit,Gone Girl ,569841,Emily Ratajkowski,English,USA,R,61000000,812,8.1,2.35,146000
Doug Liman,218,121468960,Action|Mystery|Thriller,Matt Damon,The Bourne Identity ,407601,Nicky Naudé,English,USA,PG-13,60000000,147,7.9,2.35,0
Martin Campbell,258,106635996,Action|Adventure|Thriller,Izabella Scorupco,GoldenEye ,199025,Tchéky Karyo,English,UK,PG-13,58000000,387,7.2,2.35,0
Simon West,165,102678089,Drama|Mystery|Thriller,Daniel von Bargen,The General's Daughter ,42705,Clarence Williams III,English,USA,R,95000000,501,6.3,2.35,885
Peter Weir,608,125603360,Comedy|Drama|Sci-Fi,Natascha McElhone,The Truman Show ,667983,Peter Krause,English,USA,PG,60000000,617,8.1,1.85,18000
Brenda Chapman,59,101217900,Adventure|Animation|Biography|Drama|Family|Fantasy|Musical,Martin Short,The Prince of Egypt ,91093,Eden Riegel,English,USA,PG,70000000,263,7.0,1.85,0
Steve Carr,41,104148781,Comedy|Family,Anjelica Huston,Daddy Day Care ,49486,Jeff Garlin,English,USA,PG,60000000,955,5.5,1.85,886
Baltasar Kormákur,175,75573300,Action|Comedy|Crime|Drama|Thriller,Denzel Washington,2 Guns ,156898,Fred Ward,English,USA,R,61000000,497,6.7,2.35,22000
Lawrence Guterman,6,93375151,Action|Comedy|Family|Fantasy,Carol Ann Susi,Cats & Dogs ,46031,Miriam Margolyes,English,USA,PG,60000000,664,5.2,1.85,0
F. Gary Gray,473,106126012,Action|Crime|Thriller,Jason Statham,The Italian Job ,285623,Jimmy Shubert,English,USA,PG-13,60000000,9000,7.0,2.35,0
Marc Lawrence,30,93307796,Comedy|Romance,Dorian Missick,Two Weeks Notice ,85673,Dana Ivey,English,USA,PG-13,60000000,976,6.1,1.85,0
Eric Darnell,35,90646554,Adventure|Animation|Comedy|Family,Sylvester Stallone,Antz ,124641,Anne Bancroft,English,USA,PG,105000000,11000,6.6,1.85,0
Peter Billingsley,0,109176215,Comedy,Jon Favreau,Couples Retreat ,83506,Tasha Smith,English,USA,PG-13,60000000,722,5.5,1.85,0
Tony Scott,12000,82670733,Action|Drama|Sport,Tom Cruise,Days of Thunder ,60476,Randy Quaid,English,USA,PG-13,60000000,3000,5.9,2.35,0
Adam Shankman,163,82569532,Adventure|Comedy|Family,Taylor Lautner,Cheaper by the Dozen 2 ,42737,Alyson Stoner,English,USA,PG,60000000,3000,5.4,2.35,781
Wes Ball,47,81687587,Action|Sci-Fi|Thriller,Ki Hong Lee,The Scorch Trials ,138246,Rosa Salazar,English,USA,PG-13,61000000,960,6.4,2.35,24000
Ryan Murphy,708,80574010,Drama|Romance,James Franco,Eat Pray Love ,63493,Billy Crudup,English,USA,PG-13,60000000,8000,5.7,1.85,26000
Brett Ratner,420,75764085,Comedy|Drama|Fantasy|Romance,Nicolas Cage,The Family Man ,85844,Amber Valletta,English,USA,PG-13,60000000,3000,6.7,2.35,0
Robert Schwentke,124,90356857,Action|Comedy|Crime|Thriller,Bruce Willis,RED ,238916,Jaqueline Fleming,English,USA,PG-13,58000000,11000,7.1,2.35,32000
Oliver Stone,0,75530832,Drama|Sport,Al Pacino,Any Given Sunday ,97047,LL Cool J,English,USA,R,55000000,2000,6.8,2.35,0
Robert Redford,0,75370763,Drama|Romance|Western,Scarlett Johansson,The Horse Whisperer ,32353,Jessalyn Gilsig,English,USA,PG-13,60000000,1000,6.5,1.85,0
Michael Mann,0,100003492,Crime|Drama|Thriller,Tom Cruise,Collateral ,293662,Debi Mazar,English,USA,R,65000000,851,7.6,2.35,0
Chuck Russell,55,90341670,Action|Adventure|Fantasy|Thriller,Dwayne Johnson,The Scorpion King ,102129,Bernard Hill,English,USA,PG-13,60000000,1000,5.5,2.35,0
Jay Russell,13,74540762,Action|Drama|Thriller,Billy Burke,Ladder 49 ,48753,Jacinda Barrett,English,USA,PG-13,55000000,1000,6.5,1.85,0
Christopher McQuarrie,188,80033643,Action|Crime|Mystery|Thriller,Tom Cruise,Jack Reacher ,226570,David Oyelowo,English,USA,PG-13,60000000,3000,7.0,2.35,38000
Renny Harlin,212,73648142,Action|Sci-Fi|Thriller,LL Cool J,Deep Blue Sea ,99043,Saffron Burrows,English,USA,R,60000000,975,5.8,2.35,0
Kenny Ortega,197,71844424,Documentary|Music,Misha Gabriel Hamilton,This Is It ,33158,Judith Hill,English,USA,PG,60000000,208,7.3,1.78,0
Steven Soderbergh,0,75638743,Drama|Thriller,Matt Damon,Contagion ,180479,Griffin Kane,English,USA,PG-13,60000000,240,6.6,1.85,42000
David McNally,18,66734992,Action|Adventure|Comedy|Crime,Estella Warren,Kangaroo Jack ,23476,Bill Hunter,English,USA,PG,60000000,257,4.4,2.35,858
Henry Selick,253,75280058,Animation|Family|Fantasy,Jennifer Saunders,Coraline ,143121,John Hodgman,English,USA,PG,60000000,229,7.7,1.85,10000
M. Night Shyamalan,0,64505912,Sci-Fi|Thriller,Zooey Deschanel,The Happening ,163130,Kristen Connolly,English,USA,R,48000000,946,5.0,1.85,6000
Tony Scott,12000,77862546,Action|Crime|Drama|Thriller,Denzel Washington,Man on Fire ,266310,Giancarlo Giannini,English,USA,R,70000000,992,7.7,2.35,14000
Brian Robbins,48,61112916,Comedy|Family|Fantasy,Robert Downey Jr.,The Shaggy Dog ,14888,Kristin Davis,English,USA,PG,50000000,936,4.4,2.35,747
Todd Phillips,480,88200225,Comedy|Crime,Snoop Dogg,Starsky & Hutch ,120795,Fred Williamson,English,USA,PG-13,60000000,869,6.1,2.35,0
Brian Levant,32,60573641,Comedy|Family,Jim Belushi,Jingle All the Way ,68406,Jake Lloyd,English,USA,PG,60000000,628,5.4,1.85,0
Guillermo del Toro,0,59035104,Action|Fantasy|Horror|Sci-Fi,James Babson,Hellboy ,244566,Brian Steele,English,USA,PG-13,66000000,334,6.8,1.85,0
Steven Zaillian,234,56702901,Drama,Robert Duvall,A Civil Action ,23302,Sydney Pollack,English,USA,PG-13,60000000,552,6.5,2.35,1000
Chris Butler,28,55994557,Adventure|Animation|Comedy|Family|Fantasy,Anna Kendrick,ParaNorman ,72287,Elaine Stritch,English,USA,PG,60000000,884,7.0,2.35,12000
Michael Caton-Jones,105,54910560,Action|Adventure|Crime|Thriller,J.K. Simmons,The Jackal ,88225,Sophie Okonedo,English,USA,R,60000000,13000,6.3,2.35,0
John Woo,610,53789313,Action|Mystery|Sci-Fi|Thriller,Ivana Milicevic,Paycheck ,89816,Callum Rennie,English,USA,PG-13,60000000,780,6.3,2.35,0
Jon Avnet,50,51045801,Drama|Romance,Joe Mantegna,Up Close & Personal ,11370,Raymond Cruz,English,USA,PG-13,60000000,944,6.1,1.85,829
Sam Fell,18,50818750,Adventure|Animation|Comedy|Family|Fantasy,Emma Watson,The Tale of Despereaux ,31209,Frank Langella,English,UK,G,60000000,2000,6.1,2.35,0
,,,Comedy|Romance,Bianca Kajlich,Rules of Engagement             ,26404,Adhir Kalyan,English,USA,TV-PG,,607,7.3,1.78,0
Kevin Donovan,11,50189179,Action|Comedy|Sci-Fi,Romany Malco,The Tuxedo ,61966,Ritchie Coster,English,USA,PG-13,60000000,680,5.3,1.85,797
Geoff Murphy,14,50024083,Action|Thriller,Peter Greene,Under Siege 2: Dark Territory ,35918,Patrick Kilpatrick,English,USA,R,60000000,520,5.4,1.85,1000
Kenneth Branagh,0,50549107,Action|Drama|Thriller,Colm Feore,Jack Ryan: Shadow Recruit ,99035,Gemma Chan,English,USA,PG-13,60000000,394,6.2,2.35,17000
David O. Russell,737,56443482,Biography|Comedy|Drama,Jennifer Lawrence,Joy ,75329,Bradley Cooper,English,USA,PG-13,60000000,22000,6.6,1.85,24000
Babak Najafi,24,62401264,Action|Crime|Drama|Thriller,Gerard Butler,London Has Fallen ,69484,Julian Kostov,English,UK,R,60000000,992,5.9,2.35,28000
Jean-Pierre Jeunet,0,47748610,Action|Horror|Sci-Fi,Gary Dourdan,Alien: Resurrection ,170179,Raymond Cruz,English,USA,R,75000000,720,6.3,2.35,0
Antoine Fuqua,845,46975183,Action|Crime|Drama|Mystery|Thriller,Tate Donovan,Shooter ,256213,Louis Ferreira,English,USA,R,61000000,467,7.2,2.35,0
Graham Annable,7,50807639,Adventure|Animation|Comedy|Family|Fantasy,Isaac Hempstead Wright,The Boxtrolls ,40883,Tracy Morgan,English,USA,PG,60000000,668,6.8,1.85,11000
Griffin Dunne,165,46611204,Comedy|Drama|Fantasy|Romance,Goran Visnjic,Practical Magic ,55749,Stockard Channing,English,USA,PG-13,48000000,967,6.1,2.35,0
Phil Lord,97,257756197,Action|Adventure|Animation|Comedy|Family|Fantasy,Morgan Freeman,The Lego Movie ,246698,Alison Brie,English,Australia,PG,60000000,8000,7.8,2.35,64000
John Pasquin,11,48472213,Action|Comedy|Crime,Eileen Brennan,Miss Congeniality 2: Armed and Fabulous ,51252,Treat Williams,English,USA,PG-13,45000000,759,5.0,2.35,621
Rob Bowman,38,43060566,Action|Adventure|Fantasy|Sci-Fi|Thriller,Christian Bale,Reign of Fire ,107859,Matthew McConaughey,English,USA,PG-13,60000000,18000,6.2,2.35,0
Ruben Fleischer,181,45996718,Action|Crime|Drama|Thriller,Ryan Gosling,Gangster Squad ,173530,Wade Williams,English,USA,R,60000000,301,6.7,2.35,40000
Harold Ramis,11000,43337279,Adventure|Comedy,Olivia Wilde,Year One ,76770,Xander Berkeley,English,USA,PG-13,60000000,1000,4.9,1.85,0
Clint Eastwood,16000,37479778,Biography|Drama|History|Sport,Matt Damon,Invictus ,124222,Leleti Khumalo,English,USA,PG-13,60000000,11000,7.4,2.35,23000
Kevin Macdonald,162,36965395,Crime|Drama|Mystery|Thriller,Robin Wright,State of Play ,113295,Michael Weston,English,USA,PG-13,,748,7.1,2.35,0
Tony Gilroy,209,40559930,Comedy|Crime|Romance|Thriller,Julia Roberts,Duplicity ,41727,Denis O'Hare,English,USA,PG-13,60000000,1000,6.2,2.35,0
Donald Petrie,80,36830057,Comedy|Family|Sci-Fi,Steven Anthony Lawrence,My Favorite Martian ,10883,Michael Lerner,English,USA,PG,65000000,417,4.9,1.85,448
Clark Johnson,69,36279230,Action|Crime|Thriller,Blair Brown,The Sentinel ,42144,Martin Donovan,English,USA,PG-13,60000000,219,6.1,2.35,690
Jorge Blanco,2,42194060,Adventure|Animation|Comedy|Family|Sci-Fi,Dwayne Johnson,Planet 51 ,41259,James Corden,English,Spain,PG,70000000,10000,6.1,2.35,0
Stuart Baird,53,43119879,Action|Adventure|Sci-Fi|Thriller,Tom Hardy,Star Trek: Nemesis ,58450,Jonathan Frakes,English,USA,PG-13,60000000,1000,6.4,2.35,0
Joel Coen,0,35096190,Comedy|Crime|Romance,Cedric the Entertainer,Intolerable Cruelty ,76560,Julia Duffy,English,USA,PG-13,60000000,399,6.3,1.85,0
