director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,actor_1_name,num_voted_users,actor_3_name,plot_keywords,movie_imdb_link,num_user_for_reviews,country,budget
F. Gary Gray,110,109,473,Jeff Kober,14000,Action|Crime|Drama|Thriller,Vin Diesel,38348,Larenz Tate,bust|dea|drug cartel|justice|tragic hero,http://www.imdb.com/title/tt0266465/?ref_=fn_tt_tt_1,135,USA,36000000
Cameron Crowe,138,105,488,Bradley Cooper,15000,Comedy|Drama|Romance,Emma Stone,39778,Bill Murray,box office flop|critically bashed|hawaii|one word title|written by director,http://www.imdb.com/title/tt1243974/?ref_=fn_tt_tt_1,172,USA,37000000
Rob Reiner,31,130,0,Virginia Madsen,2000,Drama|History,Alexa PenaVega,8531,Craig T. Nelson,activist|assassin|civil rights|trial|widow,http://www.imdb.com/title/tt0116410/?ref_=fn_tt_tt_1,57,USA,36000000
Scott Hicks,95,127,96,Reeve Carney,746,Drama|Mystery|Romance|Thriller,Rick Yune,12375,Daniel von Bargen,fisherman|japanese|love|trial|washington state,http://www.imdb.com/title/tt0120834/?ref_=fn_tt_tt_1,194,USA,36000000
Mikael Håfström,267,114,101,Colin O'Donoghue,12000,Drama|Horror|Mystery|Thriller,Anthony Hopkins,75864,Toby Jones,demon|exorcism|exorcist|faith|seminary,http://www.imdb.com/title/tt1161864/?ref_=fn_tt_tt_1,197,USA,37000000
Andrew Niccol,175,106,487,Xander Berkeley,685,Drama|Sci-Fi|Thriller,Blair Underwood,220591,Mason Gamble,accident|future|genetics|mission|police,http://www.imdb.com/title/tt0119177/?ref_=fn_tt_tt_1,641,USA,36000000
Andrew Bergman,63,95,31,Nathan Lane,944,Biography|Comedy|Romance,Stockard Channing,1977,John Larroquette,autistic son|cancer|female protagonist|new york city|son,http://www.imdb.com/title/tt0141399/?ref_=fn_tt_tt_1,64,USA,36000000
Kirk De Micco,85,81,16,Kenan Thompson,541,Adventure|Animation|Comedy|Family|Sci-Fi,Cheryl Hines,8860,Omid Abtahi,astronaut|attacked by a plant|planet|senator|space travel,http://www.imdb.com/title/tt0482603/?ref_=fn_tt_tt_1,45,USA,37000000
Chris Rock,44,95,0,Dylan Baker,1000,Comedy,Bernie Mac,15046,Tracy Morgan,alderman|party|president|presidential candidate|washington d.c.,http://www.imdb.com/title/tt0325537/?ref_=fn_tt_tt_1,80,USA,35200000
Todd Phillips,334,108,480,Rob Riggle,14000,Comedy,Bradley Cooper,583341,Mike Epps,drunkenness|female nudity|hangover|hedonism|morning after,http://www.imdb.com/title/tt1119646/?ref_=fn_tt_tt_1,626,USA,35000000
Wilson Yip,78,105,25,Lynn Hung,461,Action|Biography|Drama|History,Mike Tyson,21912,Kwok-Kwan Chan,1950s|cancer|hong kong|martial arts school|wing chun,http://www.imdb.com/title/tt2888046/?ref_=fn_tt_tt_1,45,Hong Kong,36000000
Jay Roach,199,95,116,Verne Troyer,45000,Action|Adventure|Comedy|Crime,Muse Watson,181225,Robert Wagner,penis joke|phallic image|sexy agent|spy|volcano hideout,http://www.imdb.com/title/tt0145660/?ref_=fn_tt_tt_1,784,USA,33000000
Tim Burton,186,126,13000,Jack Palance,920,Action|Adventure,Michael Gough,269033,William Hootkins,city|dc comics|gotham|pantyhose|police,http://www.imdb.com/title/tt0096895/?ref_=fn_tt_tt_1,817,USA,35000000
Roland Joffé,77,102,596,Dougray Scott,877,Biography|Drama|War,Jordi Mollà,3865,Lily Cole,dying|forgiveness|saint|spanish civil war|starts with narration,http://www.imdb.com/title/tt1316616/?ref_=fn_tt_tt_1,53,Spain,36000000
Richard Donner,68,121,503,Nick Chinlund,808,Action|Crime|Thriller,Rene Russo,128010,Stuart Wilson,gangster|gun|internal affairs|police|police officer,http://www.imdb.com/title/tt0104714/?ref_=fn_tt_tt_1,136,USA,35000000
John Lee Hancock,261,129,102,Quinton Aaron,768,Biography|Drama|Sport,Catherine Dyer,223127,Kim Dickens,american football|based on true story|football star|high school football|left tackle,http://www.imdb.com/title/tt0878804/?ref_=fn_tt_tt_1,420,USA,29000000
,5,43,,Aimee Garcia,778,Action|Comedy|Crime,Jon Foo,2185,Wendie Malick,,http://www.imdb.com/title/tt4085584/?ref_=fn_tt_tt_1,30,USA,
Robert Rodriguez,122,88,0,Cheech Marin,2000,Action|Adventure|Comedy|Family|Sci-Fi,Alexa PenaVega,84325,Daryl Sabara,brother sister relationship|espionage|rescue|secret agent|spy,http://www.imdb.com/title/tt0227538/?ref_=fn_tt_tt_1,205,USA,35000000
Seth Gordon,340,106,91,Lindsay Sloane,18000,Comedy|Crime,Kevin Spacey,353442,Reginald Ballard,black comedy|boss|chemical company|dental assistant|murder,http://www.imdb.com/title/tt1499658/?ref_=fn_tt_tt_1,387,USA,35000000
Ethan Coen,493,110,1000,Jeff Bridges,13000,Adventure|Drama|Western,Matt Damon,240962,Bruce Green,arkansas|murder|sheriff|texas ranger|u.s. marshal,http://www.imdb.com/title/tt1403865/?ref_=fn_tt_tt_1,724,USA,38000000
David Frankel,208,109,64,Anne Hathaway,11000,Comedy|Drama|Romance,Meryl Streep,286178,Rebecca Mader,fashion|fashion industry|magazine|new york city|publishing,http://www.imdb.com/title/tt0458352/?ref_=fn_tt_tt_1,631,USA,35000000
Robert Wise,134,143,338,Nichelle Nichols,12000,Adventure|Mystery|Sci-Fi,Leonard Nimoy,63330,Walter Koenig,alien|space|space station|spacecraft|warp speed,http://www.imdb.com/title/tt0079945/?ref_=fn_tt_tt_1,405,USA,35000000
Seth Gordon,275,120,91,Eric Stonestreet,4000,Comedy|Crime,Jon Favreau,97664,T.I.,bounty hunter|credit card|cross country|identity|police,http://www.imdb.com/title/tt2024432/?ref_=fn_tt_tt_1,232,USA,35000000
Martin Scorsese,120,128,17000,Robert Mitchum,22000,Crime|Thriller,Robert De Niro,127503,Joe Don Baker,lawyer|neo noir|prison|rapist|southern gothic,http://www.imdb.com/title/tt0101540/?ref_=fn_tt_tt_1,261,USA,35000000
Robert Luketic,144,123,126,Jim Sturgess,18000,Crime|Drama|Thriller,Kevin Spacey,191470,Josh Gad,based on true story|blackjack|card counting|gambling|massachusetts institute of technology,http://www.imdb.com/title/tt0478087/?ref_=fn_tt_tt_1,278,USA,35000000
Judd Apatow,332,129,0,Randall Park,492,Comedy|Romance,Amy Schumer,94241,Josh Segarra,actress playing herself|actress shares first name with character|fired from a job|male nudity|written by star,http://www.imdb.com/title/tt3152624/?ref_=fn_tt_tt_1,309,Japan,35000000
Kevin Rodney Sullivan,104,105,8,Nicole Sullivan,1000,Comedy|Romance,Bernie Mac,33887,Sherri Shepherd,argument|engagement|family relationships|love|undressing,http://www.imdb.com/title/tt0372237/?ref_=fn_tt_tt_1,160,USA,35000000
Anthony Minghella,116,162,333,Kristin Scott Thomas,14000,Drama|Romance|War,Colin Firth,142067,Jürgen Prochnow,church|english|flashback|nurse|patient,http://www.imdb.com/title/tt0116209/?ref_=fn_tt_tt_1,457,USA,27000000
Curtis Hanson,177,138,161,Matt McCoy,18000,Crime|Drama|Mystery|Thriller,Kevin Spacey,414219,Paul Guilfoyle,1950s|call girl|corruption|murder|police detective,http://www.imdb.com/title/tt0119488/?ref_=fn_tt_tt_1,625,USA,35000000
Mike Mitchell,127,100,31,Kelly Preston,947,Adventure|Comedy|Family|Sci-Fi,Michael Angarano,61321,Nicholas Braun,coming of age|friend|high school|sidekick|superpower,http://www.imdb.com/title/tt0405325/?ref_=fn_tt_tt_1,217,USA,35000000
Frank Oz,83,90,0,Wilford Brimley,19000,Comedy,Tom Selleck,32416,Lauren Ambrose,academy award|gay|high school|reporter|teacher,http://www.imdb.com/title/tt0119360/?ref_=fn_tt_tt_1,138,USA,35000000
Roger Donaldson,97,108,79,Marg Helgenberger,900,Action|Horror|Sci-Fi|Thriller,Natasha Henstridge,61018,Jordan Lund,alien|interspecies sex|scientist|sexual attraction|train,http://www.imdb.com/title/tt0114508/?ref_=fn_tt_tt_1,140,USA,35000000
Wes Craven,256,101,0,Lin Shaye,40000,Horror,Johnny Depp,149285,Amanda Wyss,freddy krueger|lucid dream|serial killer|slasher|sleep deprivation,http://www.imdb.com/title/tt0087800/?ref_=fn_tt_tt_1,668,USA,1800000
Tarsem Singh,225,109,763,Jake Weber,812,Horror|Sci-Fi|Thriller,Dylan Baker,79877,James Gammon,coma|fbi|race against time|serial killer|strong female lead,http://www.imdb.com/title/tt0209958/?ref_=fn_tt_tt_1,677,USA,33000000
Randall Wallace,83,132,130,Anne Parillaud,29000,Action|Adventure,Leonardo DiCaprio,125219,Judith Godrèche,france|musketeer|three musketeers|twin|twin brother,http://www.imdb.com/title/tt0120744/?ref_=fn_tt_tt_1,244,USA,35000000
Randall Wallace,160,123,130,Kevin Connolly,826,Biography|Drama|Family|History|Sport,Scott Glenn,20827,Dylan Walsh,eccentric|horse racing|newspaper clipping|stallion|triple crown,http://www.imdb.com/title/tt1028576/?ref_=fn_tt_tt_1,136,USA,35000000
Kevin Munroe,191,87,14,Sarah Michelle Gellar,11000,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,Chris Evans,53786,Mako,martial arts master|monster|new york city|turtle|warrior,http://www.imdb.com/title/tt0453556/?ref_=fn_tt_tt_1,211,Hong Kong,34000000
Michael Tollin,74,109,19,Riley Smith,1000,Biography|Drama|Sport,Alfre Woodard,32370,Debra Winger,coach|football|football coach|high school|radio,http://www.imdb.com/title/tt0316465/?ref_=fn_tt_tt_1,196,USA,35000000
Will Gluck,238,109,87,Justin Timberlake,15000,Comedy|Romance,Mila Kunis,270228,Masi Oka,blow job|female rear nudity|girl in panties|male objectification|no panties,http://www.imdb.com/title/tt1632708/?ref_=fn_tt_tt_1,194,USA,35000000
Nicholas Stoller,177,92,89,Ike Barinholtz,17000,Comedy,Chloë Grace Moretz,28041,Kiersey Clemons,bare chested male|gay|gay best friend|gay man|gay marriage proposal,http://www.imdb.com/title/tt4438848/?ref_=fn_tt_tt_1,111,USA,35000000
John Lee Hancock,405,125,102,Ruth Wilson,15000,Biography|Comedy|Drama|History|Music,Tom Hanks,117719,B.J. Novak,author|disney|loss of father|reference to walt disney|suppression of emotion,http://www.imdb.com/title/tt2140373/?ref_=fn_tt_tt_1,306,USA,35000000
Spike Lee,61,202,0,Delroy Lindo,18000,Biography|Drama|History|Romance,Denzel Washington,63923,Al Freeman Jr.,african american|black history|civil rights|ku klux klan|nation of islam,http://www.imdb.com/title/tt0104797/?ref_=fn_tt_tt_1,156,USA,33000000
Judd Apatow,285,134,0,Maude Apatow,529,Comedy,Charlyne Yi,104005,Mackenzie Aladjem,40th birthday|aging|birthday|sex|viagra,http://www.imdb.com/title/tt1758830/?ref_=fn_tt_tt_1,248,USA,35000000
Walt Becker,124,88,12,Bernie Mac,49000,Comedy|Family,Robin Williams,31191,Ann-Margret,best friend|business deal|impulse|public relations|twin,http://www.imdb.com/title/tt0976238/?ref_=fn_tt_tt_1,120,USA,35000000
Patrick Tatopoulos,164,92,148,Kevin Grevioux,978,Action|Adventure|Fantasy|Sci-Fi|Thriller,Craig Parker,119974,Steven Mackintosh,battle|slave|vampire|warrior|werewolf,http://www.imdb.com/title/tt0834001/?ref_=fn_tt_tt_1,169,USA,35000000
Ken Kwapis,120,91,42,Christine Taylor,49000,Comedy|Romance,Robin Williams,32157,Mindy Kaling,box office flop|church|kissing|usa|wedding,http://www.imdb.com/title/tt0762114/?ref_=fn_tt_tt_1,119,USA,35000000
Dennis Dugan,90,75,221,Jon Heder,11000,Comedy|Romance|Sport,Jon Lovitz,40651,Tim Meadows,baseball|baseball team|bully|millionaire|team,http://www.imdb.com/title/tt0437863/?ref_=fn_tt_tt_1,209,USA,33000000
Gary David Goldberg,120,98,30,Victor Webster,944,Comedy|Romance,Stockard Channing,25883,Elizabeth Perkins,date|dating|dog|love|teacher,http://www.imdb.com/title/tt0417001/?ref_=fn_tt_tt_1,262,USA,30000000
Mike Newell,117,147,179,Al Pacino,40000,Biography|Crime|Drama,Johnny Depp,225122,Anne Heche,fbi|mafia|money|racial slur|singer,http://www.imdb.com/title/tt0119008/?ref_=fn_tt_tt_1,234,USA,35000000
Paul W.S. Anderson,226,100,545,Jaymes Butler,14000,Action|Horror|Sci-Fi,Milla Jovovich,198701,Colin Salmon,amnesia|quarantine|special forces|virus|zombie,http://www.imdb.com/title/tt0120804/?ref_=fn_tt_tt_1,1138,UK,33000000
Tobe Hooper,223,120,365,Zelda Rubinstein,887,Fantasy|Horror,Heather O'Rourke,105446,Craig T. Nelson,ghost|haunted|haunting|house|paranormal investigator,http://www.imdb.com/title/tt0084516/?ref_=fn_tt_tt_1,321,USA,10700000
Ethan Coen,193,104,1000,Tom Hanks,24000,Comedy|Crime|Thriller,J.K. Simmons,84131,Stephen Root,casino|irony of fate|landlady|professor|remake,http://www.imdb.com/title/tt0335245/?ref_=fn_tt_tt_1,400,USA,35000000
John Moore,228,103,212,Beau Bridges,15000,Action|Crime|Drama|Mystery|Thriller,Mila Kunis,107772,Jamie Hector,corporation|death|ex partner|hallucination|police detective,http://www.imdb.com/title/tt0467197/?ref_=fn_tt_tt_1,398,Canada,35000000
Andrew Niccol,360,109,487,Olivia Wilde,20000,Action|Sci-Fi|Thriller,Matt Bomer,304318,Justin Timberlake,currency|future|murder|on the run|time,http://www.imdb.com/title/tt1637688/?ref_=fn_tt_tt_1,463,USA,40000000
Alan Poul,148,104,16,Noureen DeWulf,1000,Comedy|Romance,Danneel Ackles,40654,Tom Bosley,artificial insemination|baby|cheese|chick flick|pet shop,http://www.imdb.com/title/tt1212436/?ref_=fn_tt_tt_1,97,USA,35000000
Luke Greenfield,128,112,42,Steve Howey,969,Comedy|Drama|Romance,Ashley Williams,48019,Kirsten Day,best friend|crush|law school|lawyer|loud sex,http://www.imdb.com/title/tt0491152/?ref_=fn_tt_tt_1,153,USA,35000000
,3,60,,Kimberly Elise,897,Drama|Romance,Jodi Lyn O'Keefe,1641,Logan Browning,affair|hip hop|sex scene,http://www.imdb.com/title/tt2368645/?ref_=fn_tt_tt_1,11,USA,
Gil Junger,46,95,19,Marsha Thomason,1000,Adventure|Comedy|Fantasy,Tom Wilkinson,30771,Vincent Regan,14th century|king|knight|sword duel|time travel,http://www.imdb.com/title/tt0265087/?ref_=fn_tt_tt_1,164,USA,50000000
Michael Ritchie,40,102,23,Vic Morrow,288,Comedy|Drama|Family|Sport,Tatum O'Neal,16323,Joyce Van Patten,baseball|california|coach|little league|swimming pool,http://www.imdb.com/title/tt0074174/?ref_=fn_tt_tt_1,91,USA,
Steven E. de Souza,63,102,133,Raul Julia,2000,Action|Adventure|Comedy|Thriller,Ming-Na Wen,53115,Kylie Minogue,guile|hostage|ransom|soldier|united nations,http://www.imdb.com/title/tt0111301/?ref_=fn_tt_tt_1,282,Japan,35000000
Roman Polanski,193,150,2000,Frank Finlay,396,Biography|Drama|War,Emilia Fox,497946,Ed Stoppard,ghetto|holocaust|jewish|piano|warsaw ghetto,http://www.imdb.com/title/tt0253474/?ref_=fn_tt_tt_1,761,France,35000000
Albert Hughes,208,122,117,Jason Flemyng,40000,Horror|Mystery|Thriller,Johnny Depp,124765,Ian Richardson,freemason|jack the ripper|opium|prostitute|victorian era,http://www.imdb.com/title/tt0120681/?ref_=fn_tt_tt_1,541,USA,35000000
Catherine Hardwicke,122,101,308,Hiam Abbass,446,Drama|Family|Fantasy,Keisha Castle-Hughes,8143,Shaun Toub,angel|bethlehem|journey|nazareth|virgin,http://www.imdb.com/title/tt0762121/?ref_=fn_tt_tt_1,203,USA,30000000
Jaume Collet-Serra,228,108,174,Paris Hilton,730,Horror,Robert Ri'chard,94456,Brian Van Holt,brother sister relationship|group of friends|male nudity|twin|wax,http://www.imdb.com/title/tt0397065/?ref_=fn_tt_tt_1,576,Australia,30000000
Mike Nichols,212,98,0,Julia Roberts,20000,Drama|Romance,Natalie Portman,168314,Colin Stinton,cheating wife|film camera|hasselblad camera|leica camera|medium format camera,http://www.imdb.com/title/tt0376541/?ref_=fn_tt_tt_1,903,USA,27000000
Clint Eastwood,392,137,16000,Naomi Watts,29000,Biography|Crime|Drama,Leonardo DiCaprio,102728,Kaitlyn Dever,agent|fbi|federal bureau of investigation|gay relationship|secret,http://www.imdb.com/title/tt1616195/?ref_=fn_tt_tt_1,279,USA,35000000
Alexandre Aja,208,112,192,Cameron Boyce,1000,Horror|Mystery,Jason Flemyng,86205,Julian Glover,estranged wife|evil|fire|medication|mirror,http://www.imdb.com/title/tt0790686/?ref_=fn_tt_tt_1,232,USA,35000000
Michael Rymer,137,101,48,Lena Olin,775,Drama|Fantasy|Horror,Aaliyah,43991,Bruce Spence,fatal attraction|interspecies romance|queen|supernatural power|vampire,http://www.imdb.com/title/tt0238546/?ref_=fn_tt_tt_1,695,USA,35000000
Stephen Hopkins,119,103,81,Robert Davi,2000,Action|Horror|Sci-Fi,Adam Baldwin,105478,Kevin Peter Hall,alien|drug lord|gang|hunter|predator,http://www.imdb.com/title/tt0100403/?ref_=fn_tt_tt_1,291,USA,35000000
Gregory Hoblit,195,101,40,Jesse Tyler Ferguson,2000,Crime|Drama|Thriller,Billy Burke,40964,Joseph Cross,cat|fbi agent|murder|serial killer|website,http://www.imdb.com/title/tt0880578/?ref_=fn_tt_tt_1,245,USA,35000000
Hugh Wilson,95,112,37,Sissy Spacek,3000,Comedy|Drama|Romance|Sci-Fi,Brendan Fraser,48621,Douglas Smith,1960s|bomb shelter|cuban missile crisis|food|naive man,http://www.imdb.com/title/tt0124298/?ref_=fn_tt_tt_1,239,USA,35000000
Mike Hodges,100,111,24,William Hootkins,591,Action|Adventure|Sci-Fi,Brian Blessed,38017,Sam J. Jones,american football|cult film|emperor|flash gordon|mind reading,http://www.imdb.com/title/tt0080745/?ref_=fn_tt_tt_1,247,UK,20000000
Kevin Smith,164,102,0,Mike Starr,939,Comedy|Drama|Romance,Stephen Root,54346,George Carlin,baby|childbirth|death|karma|publicist,http://www.imdb.com/title/tt0300051/?ref_=fn_tt_tt_1,358,USA,35000000
Rob Cohen,211,101,357,Chad Lindberg,907,Action|Crime|Mystery|Thriller,Cicely Tyson,28257,Carmen Ejogo,assassin|detective|partner|police|serial killer,http://www.imdb.com/title/tt1712170/?ref_=fn_tt_tt_1,151,USA,35000000
Clint Eastwood,91,155,16000,Bob Gunton,18000,Crime|Drama|Mystery|Thriller,Kevin Spacey,31751,Leon Rippy,graveyard|murder|murder trial|reporter|trial,http://www.imdb.com/title/tt0119668/?ref_=fn_tt_tt_1,216,USA,30000000
Scott Mann,44,93,8,Joshua Mikel,22000,Action|Crime|Thriller,Robert De Niro,16193,D.B. Sweeney,bus|die hard scenario,http://www.imdb.com/title/tt3276924/?ref_=fn_tt_tt_1,57,USA,19000000
Susanna White,97,109,24,Bill Bailey,287,Comedy|Family|Fantasy,Daniel Mays,19230,Eros Vlahos,farm|magic|mother daughter relationship|overalls|title directed by female,http://www.imdb.com/title/tt1415283/?ref_=fn_tt_tt_1,59,UK,35000000
Danny DeVito,32,140,0,J.T. Walsh,436,Biography|Crime|Drama,Frank Whaley,17124,Paul Guilfoyle,labor|labor union|leader|mafia|union,http://www.imdb.com/title/tt0104427/?ref_=fn_tt_tt_1,68,USA,35000000
Chris Carter,270,108,251,Callum Rennie,826,Drama|Mystery|Sci-Fi|Thriller,Mitch Pileggi,78256,Nicki Aycox,fbi|priest|psychic|psychic vision|staff physician,http://www.imdb.com/title/tt0443701/?ref_=fn_tt_tt_1,492,USA,30000000
Tommy O'Haver,89,96,13,Steve Coogan,11000,Comedy|Family|Fantasy|Romance,Anne Hathaway,47800,Joanna Lumley,curse|fairy|obedience|prince|strong female character,http://www.imdb.com/title/tt0327679/?ref_=fn_tt_tt_1,244,USA,35000000
Peter Landesman,219,123,15,Eddie Marsan,10000,Biography|Drama|Sport,Will Smith,44788,Albert Brooks,chronic traumatic encephalopathy|concussion|football|football player|pathologist,http://www.imdb.com/title/tt3322364/?ref_=fn_tt_tt_1,138,UK,35000000
John Singleton,180,106,309,Benjamin J. Cain Jr.,327,Action|Mystery|Thriller,Ken Arnold,65044,Richard Cetrone,assassin|high school|on the run|teenager|website,http://www.imdb.com/title/tt1600195/?ref_=fn_tt_tt_1,173,USA,35000000
Gary Chapman,93,76,2,Olivia Williams,1000,Adventure|Animation|Comedy|Family|War,Jim Broadbent,15788,Pip Torrens,dove|falcon|nursing|pigeon|psychological torture,http://www.imdb.com/title/tt0361089/?ref_=fn_tt_tt_1,80,UK,35000000
Curtis Hanson,173,107,161,Rip Torn,21000,Comedy|Drama,Robert Downey Jr.,54643,Richard Thomas,based on novel|college girl|midlife crisis|pittsburgh pennsylvania|professor,http://www.imdb.com/title/tt0185014/?ref_=fn_tt_tt_1,335,USA,55000000
Craig Mazin,121,82,82,Tracy Morgan,1000,Action|Comedy|Sci-Fi|Thriller,Drake Bell,52052,Marion Ross,dragonfly|hero|high school|soaking wet|supervillian origin,http://www.imdb.com/title/tt0426592/?ref_=fn_tt_tt_1,173,USA,35000000
Allen Hughes,298,109,90,James Ransone,1000,Crime|Drama|Thriller,Alona Tal,63548,Michael Beach,election|father son relationship|fellatio|gay slur|title spoken by character,http://www.imdb.com/title/tt1235522/?ref_=fn_tt_tt_1,134,USA,35000000
Wes Craven,158,99,0,Portia de Rossi,1000,Comedy|Horror,Shannon Elizabeth,26126,Derek Mears,creature|death|party|rescue|werewolf,http://www.imdb.com/title/tt0257516/?ref_=fn_tt_tt_1,325,USA,35000000
David Koepp,248,91,192,Dania Ramirez,23000,Action|Crime|Thriller,Joseph Gordon-Levitt,95274,Aasif Mandvi,chase|courier|delivery|envelope|police,http://www.imdb.com/title/tt1547234/?ref_=fn_tt_tt_1,178,USA,35000000
Anne Fletcher,155,87,98,Richard T. Jones,472,Action|Comedy|Crime,Jim Gaffigan,34948,Michael Mosley,danger|drug cartel|female cop|female police officer|fugitive,http://www.imdb.com/title/tt2967224/?ref_=fn_tt_tt_1,118,USA,35000000
Shekhar Kapur,105,125,159,Lucy Gordon,3000,Adventure|Drama|Romance|War,Djimon Hounsou,28130,Alex Jennings,male nudity|naked dead man|nudity|sex|whipping,http://www.imdb.com/title/tt0240510/?ref_=fn_tt_tt_1,215,UK,35000000
Taylor Hackford,224,118,138,Clifton Collins Jr.,26000,Action|Crime|Romance|Thriller,Jason Statham,90046,Wendell Pierce,action hero|disguise|hospital|real estate agent|thief,http://www.imdb.com/title/tt1904996/?ref_=fn_tt_tt_1,141,USA,35000000
Richard Loncraine,129,98,12,Jon Favreau,4000,Comedy|Romance|Sport,Kirsten Dunst,51842,Austin Nichols,career|player|tennis|tennis player|wimbledon,http://www.imdb.com/title/tt0360201/?ref_=fn_tt_tt_1,173,UK,31000000
Roger Kumble,101,92,16,Brooke Shields,3000,Comedy|Family,Brendan Fraser,12399,Matt Prokop,animal|bear|land developer|real estate|real estate developer,http://www.imdb.com/title/tt0492389/?ref_=fn_tt_tt_1,84,USA,35000000
Kimble Rendall,145,93,0,Cariba Heine,465,Action|Horror|Sci-Fi,Alex Russell,11482,Richard Brancatisano,great white shark|shark|supermarket|swimming|tsunami,http://www.imdb.com/title/tt1438173/?ref_=fn_tt_tt_1,82,Australia,30000000
Peter Yates,57,116,170,Alun Armstrong,14000,Action|Adventure|Fantasy,Liam Neeson,23351,Lysette Anthony,cyclops|fortress|monster|planet|rescue,http://www.imdb.com/title/tt0085811/?ref_=fn_tt_tt_1,178,UK,27000000
Robert Redford,227,92,0,Tom Cruise,11000,Drama|Thriller|War,Meryl Streep,41170,Andrew Garfield,afghanistan|professor|reporter|student|university,http://www.imdb.com/title/tt0891527/?ref_=fn_tt_tt_1,298,USA,35000000
John Milius,13,115,468,Dann Florek,605,Action|Drama|Thriller|War,Rosanna Arquette,4795,Christopher Rich,bombardier|pilot|u.s. navy|vietnam|vietnam war,http://www.imdb.com/title/tt0099587/?ref_=fn_tt_tt_1,39,USA,35000000
Jake Kasdan,171,120,52,Nat Faxon,553,Comedy|Music,Tim Meadows,55630,Matt Price,drugs|elvis|musician|singer|the beatles,http://www.imdb.com/title/tt0841046/?ref_=fn_tt_tt_1,200,USA,35000000
Lasse Hallström,119,111,529,Scott Glenn,18000,Drama,Kevin Spacey,28542,Jason Behr,employee employer relationship|husband wife relationship|newspaper|ship|wake,http://www.imdb.com/title/tt0120824/?ref_=fn_tt_tt_1,208,USA,35000000
Les Mayfield,44,94,10,Ronny Cox,694,Action|Western,Gregory Smith,12077,Harris Yulin,legend|old west|outlaw|railroad|stealing from the rich,http://www.imdb.com/title/tt0244000/?ref_=fn_tt_tt_1,162,USA,35000000
Jean-Marc Vallée,188,100,212,Jim Broadbent,2000,Biography|Drama|History|Romance,Michiel Huisman,44931,Thomas Kretschmann,19th century|courtship|female protagonist|princess|queen of england,http://www.imdb.com/title/tt0962736/?ref_=fn_tt_tt_1,100,UK,35000000
Dominic Sena,166,101,57,Bashar Rahal,1000,Action|Crime|Mystery|Thriller,Tom Skerritt,31918,Shawn Doyle,antarctica|geologist|investigation|u.s. marshal|winter,http://www.imdb.com/title/tt0365929/?ref_=fn_tt_tt_1,142,USA,35000000
Terrence Malick,584,139,0,Tye Sheridan,11000,Drama|Fantasy,Brad Pitt,136367,Fiona Shaw,1950s|children|ice cube|texas|waco texas,http://www.imdb.com/title/tt0478304/?ref_=fn_tt_tt_1,975,USA,32000000
Hark Tsui,67,91,85,Lela Rochon,635,Action|Comedy|Thriller,Paul Sorvino,11512,Ray Nicholas,cia|hong kong|market|undercover|van,http://www.imdb.com/title/tt0120724/?ref_=fn_tt_tt_1,141,Aruba,35000000
David Ayer,233,109,453,Martin Donovan,1000,Action|Crime|Drama|Thriller,Mireille Enos,47498,Maurice Compte,dea|drug cartel|kicked in the crotch|strip club|tough girl,http://www.imdb.com/title/tt1742334/?ref_=fn_tt_tt_1,212,USA,35000000
Brian Helgeland,112,102,241,Mark Addy,13000,Action|Mystery|Thriller,Heath Ledger,14962,Benno Fürmann,death|exorcism|heaven|priest|sin eater,http://www.imdb.com/title/tt0304711/?ref_=fn_tt_tt_1,204,USA,38000000
Lexi Alexander,151,103,189,Wayne Knight,3000,Action|Crime|Drama|Thriller,Julie Benz,48999,Colin Salmon,gun fu|plastic surgery|psychopath|undercover|vigilante,http://www.imdb.com/title/tt0450314/?ref_=fn_tt_tt_1,280,USA,35000000
Peter Hewitt,63,83,12,Rip Torn,2000,Action|Adventure|Family|Sci-Fi,Kevin Zegers,15015,Thomas F. Wilson,bruise|female hero|super strength|superhero|teenage superhero,http://www.imdb.com/title/tt0383060/?ref_=fn_tt_tt_1,113,USA,35000000
Robert Zemeckis,335,123,0,Soleyman Pierini,23000,Adventure|Biography|Drama|Thriller,Joseph Gordon-Levitt,77394,Jade Kindar-Martin,1970s|based on true story|new york city|skyscraper|tightrope walker,http://www.imdb.com/title/tt3488710/?ref_=fn_tt_tt_1,195,USA,35000000
Ronny Yu,24,101,31,Lee Arenberg,690,Action|Adventure|Fantasy,Marley Shelton,2189,Angus Macfadyen,anthropomorphic animal|football|kangaroo|sword and sorcery|water boy,http://www.imdb.com/title/tt0120479/?ref_=fn_tt_tt_1,31,USA,35000000
Ridley Scott,147,117,0,Albert Finney,883,Comedy|Drama|Romance,Archie Panjabi,70698,Richard Coyle,based on novel|inheritance|provence|uncle|wine,http://www.imdb.com/title/tt0401445/?ref_=fn_tt_tt_1,196,USA,35000000
,51,60,,Indira Varma,2000,Crime|Drama|Mystery|Thriller,Ruth Wilson,70568,Warren Brown,murder|police|psychopath,http://www.imdb.com/title/tt1474684/?ref_=fn_tt_tt_1,105,UK,
