director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_2_name,num_user_for_reviews,language,content_rating
Roger Kumble,99,90,16,Lillian Adams,403,English,R
Sydney Pollack,56,154,521,Holly Hunter,142,English,R
Burr Steers,117,99,23,Charlie Tahan,75,English,PG-13
Simon West,252,93,165,Tony Goldwyn,181,English,R
Phil Lord,375,109,97,Dax Flame,345,English,R
Roger Michell,150,124,50,Clarke Peters,602,English,PG-13
Peter Lord,187,84,91,Miranda Richardson,358,English,G
John Hamburg,108,90,29,Masi Oka,268,English,PG-13
Reginald Hudlin,21,117,71,Eartha Kitt,41,English,R
Paul Feig,270,123,176,William Xifaras,380,English,R
Joseph L. Mankiewicz,72,251,311,Richard Burton,192,English,Approved
Frank Coraci,154,105,153,Reggie Lee,112,English,PG
Carl Franklin,114,115,73,Adam Scott,175,English,PG-13
Barbra Streisand,27,122,0,Austin Pendleton,71,English,PG-13
Mark Pellington,166,119,89,Will Patton,460,English,PG-13
Larry Charles,288,81,119,Elton John,396,English,R
John Glen,117,133,46,Talisa Soto,317,English,PG-13
Catherine Hardwicke,291,100,308,Billy Burke,283,English,PG-13
John Herzfeld,151,120,17,Charlize Theron,265,English,R
Annabel Jankel,36,104,5,Fisher Stevens,290,English,PG
Andrew Niccol,168,122,487,Jeremy Crutchley,437,English,R
Yimou Zhang,283,80,611,Tony Chiu Wai Leung,841,Mandarin,PG-13
Julie Anne Robinson,127,91,30,Debbie Reynolds,169,English,PG-13
Evan Goldberg,293,112,133,Randall Park,835,English,R
Sngmoo Lee,95,100,19,Dong-gun Jang,102,English,R
,4,30,,Gavin MacLeod,18,English,TV-G
Jean-Pierre Jeunet,213,105,0,Dany Boon,71,French,R
Curtis Hanson,119,110,161,Omar Benson Miller,564,English,R
Jamel Debbouze,9,101,326,Youssef Hajdi,5,French,
Brian Helgeland,167,144,241,Rufus Sewell,658,English,PG-13
Gordon Chan,98,108,4,Lee Evans,132,English,PG-13
M. Night Shyamalan,234,107,0,Haley Joel Osment,2073,English,PG-13
Asger Leth,258,102,20,Mandy Gonzalez,153,English,PG-13
David Frankel,108,100,64,Kevin Pollak,125,English,PG
John G. Avildsen,81,126,80,William Zabka,235,English,PG
David O. Russell,538,138,737,Christian Bale,751,English,R
Anne Fletcher,224,108,98,Denis O'Hare,273,English,PG-13
Bruce Beresford,129,105,78,Annabeth Gish,336,English,R
Robert Zemeckis,125,108,0,Jeffrey Weissman,327,English,PG
Luc Besson,433,89,0,Morgan Freeman,918,English,R
Sam Taylor-Johnson,362,129,456,Luke Grimes,1360,English,R
Robert Rodriguez,93,84,0,Salma Hayek,188,English,PG
