plot_keywords,content_rating,budget,aspect_ratio,movie_facebook_likes
cia|jordan|middle east|spy|terrorist,R,70000000,2.35,0
dinner|diorama|idiot|irs|mouse,PG-13,,1.85,0
chopping down a tree|hanging upside down|shopkeeper|vampire|vampire hunter,R,69000000,2.35,98000
art thief|insurance|mask|master thief|reference to iron maiden,PG-13,66000000,2.35,0
family relationships|husband wife relationship|live studio audience|sitcom|three word title,TV-PG,,16.0,0
agent|alien|bomb|fbi|government,PG-13,66000000,2.35,0
5th century|boy|capri|roman legion|soldier,PG-13,35000000,2.35,0
army|invasion|killed in action|normandy|soldier,R,70000000,1.85,22000
cross country|custom car|illegal street racing|police officer crushed|street racing,PG-13,66000000,2.35,32000
advertising|battle of the sexes|ex husband ex wife relationship|pantyhose|telepathy,PG-13,70000000,1.37,0
baby|ice|ice age|sleeping|sloth,PG,59000000,1.85,3000
alien|friend|maine|military|woods,R,68000000,2.35,4000
cultural conflict|politics|president|slavery|u.s. president,PG-13,65000000,2.35,71000
artificial reality|computer|matrix|questioning reality|simulated reality,R,63000000,2.35,25000
cape kennedy|news footage|reference to christopher columbus|rocket|trapped in space,PG,62000000,2.35,5000
ambiguous ending|false memory|implanted memory|memory|space colony,R,65000000,1.85,0
christmas|magic|santa claus|son|toy,G,60000000,1.85,1000
barricade|innkeeper|parole|rebellion|student,PG-13,61000000,1.85,144000
bookstore|competing businesses|instant messaging|new york city|shop owner,PG,65000000,1.85,0
dream|friendship|karaoke|love|slacker,R,65000000,2.35,0
19th century|california|revenge|training|zorro,PG-13,65000000,2.35,0
actor|aspiring actor|birth|misadventure|suitcase,R,65000000,2.35,25000
emaciation|male nudity|plane crash|prisoner of war|torture,PG-13,65000000,2.35,35000
nasa|old age|satellite|space|space shuttle,PG-13,65000000,2.35,0
money|mountain|rocky mountains|snow|suitcase,R,70000000,2.35,0
captain|desert|major|park ranger|utah,R,50000000,2.35,0
altering history|cartoon on tv|childhood|image consultant|one two combo,PG,60000000,1.85,0
based on true story|police|rescue|rubble|trapped,PG-13,63000000,1.85,0
art|college|school|student|wellesley college,PG-13,65000000,1.85,0
dictator|hotel|oil|overalls|sunglasses,R,65000000,2.35,59000
doctor|orgy|party|pianist|sexual fantasy,R,65000000,1.66,10000
billionaire|business tycoon|mayoral candidate|penthouse|reference to star trek,PG,65000000,2.39,16000
con artist|con man|deception|rivalry|seduction,R,50100000,1.85,23000
best friend|cia|cia agent|dating|undercover,PG-13,65000000,2.35,18000
blade|blood|dracula|vampire hunter|vampire slayer,R,65000000,2.35,0
guerrilla|high school|invasion|soviet|wolverine,PG-13,16900000,1.85,0
campaigning|candidate|election|governor|president,R,65000000,2.35,688
corporation|fight|rescue|umbrella|zombie,R,65000000,2.35,32000
armored car|car|murder|prison|warden,R,45000000,2.35,0
amnesia|chase|foot chase|strong female character|vomiting,R,65000000,2.35,4000
jungle|pipeline|prisoner|ransom|south america,R,65000000,2.35,892
2000s|coke|meeting future self|reference to spongebob squarepants|sony,PG,65000000,1.85,0
anti establishment|dark humor|fighting|multiple personality disorder|surprise ending,R,63000000,2.35,48000
coach|football|football team|marshall university|university,PG,65000000,2.35,0
france|journalist|limp|police detective|reporter,,,,0
blackmail|burglar|critically bashed|leonardo da vinci|prison,R,70000000,1.85,0
celebrity|lottery|murder|snowmobile|weatherman,R,65000000,1.85,177
army|creature|demon|frankenstein|gargoyle,PG-13,65000000,2.35,15000
boy|character name in title|orphan|pickpocket|workhouse,PG-13,50000000,2.35,0
