director_name,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,movie_title,cast_total_facebook_likes,actor_3_name,plot_keywords,movie_imdb_link,language,country,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Timur Bekmambetov,141,335,635,Ayelet Zurer,Ben-Hur ,13379,Moises Arias,,http://www.imdb.com/title/tt2638144/?ref_=fn_tt_tt_1,English,USA,,2016,745,6.1,2.35,0
Gary Trousdale,95,21,503,Jim Varney,Atlantis: The Lost Empire ,15237,Cree Summer,atlantis|crew|expedition|journal|museum,http://www.imdb.com/title/tt0230011/?ref_=fn_tt_tt_1,English,USA,120000000,2001,802,6.8,2.35,0
Walt Becker,92,12,1000,Joshua Mikel,Alvin and the Chipmunks: The Road Chip ,38450,Jesse McCartney,chipmunk|highway travel|on the road|plane|road movie,http://www.imdb.com/title/tt2974918/?ref_=fn_tt_tt_1,English,USA,90000000,2015,1000,5.0,1.85,0
Bryan Singer,121,0,919,Tom Wilkinson,Valkyrie ,14165,Thomas Kretschmann,american actor playing foreigner|assassination|conspiracy|military|nazis,http://www.imdb.com/title/tt0985699/?ref_=fn_tt_tt_1,English,USA,75000000,2008,1000,7.1,1.85,0
Dennis Dugan,113,221,503,Sayed Badreya,You Don't Mess with the Zohan ,13446,Kevin Nealon,hair stylist|jew|landlord|muslim|palestinian,http://www.imdb.com/title/tt0960144/?ref_=fn_tt_tt_1,English,USA,90000000,2008,600,5.5,1.85,0
Chris Columbus,106,0,1000,Adam Sandler,Pixels ,35367,Josh Gad,alien|arcade game|chase|driving in reverse|video gamer,http://www.imdb.com/title/tt2120120/?ref_=fn_tt_tt_1,English,USA,88000000,2015,11000,5.6,2.35,39000
Steven Spielberg,146,14000,681,William Hurt,A.I. Artificial Intelligence ,6217,Kevin Sussman,affection|boy|fairy|future|robot,http://www.imdb.com/title/tt0212720/?ref_=fn_tt_tt_1,English,USA,100000000,2001,882,7.1,1.85,11000
Rob Minkoff,88,50,441,Rachael Harris,The Haunted Mansion ,2622,Marc John Jefferies,arachnophobia|crystal ball|ghost|haunted house|thunderstorm,http://www.imdb.com/title/tt0338094/?ref_=fn_tt_tt_1,English,USA,90000000,2003,569,4.9,2.35,988
Robert Zemeckis,150,0,135,Tom Skerritt,Contact ,12289,Larry King,message from outer space|religion|religion versus science|scientist|universe,http://www.imdb.com/title/tt0118884/?ref_=fn_tt_tt_1,English,USA,90000000,1997,1000,7.4,2.35,15000
Paul Verhoeven,119,719,423,Kim Dickens,Hollow Man ,2356,Joey Slotnick,experiment|research|scientist|suburb|surrealism,http://www.imdb.com/title/tt0164052/?ref_=fn_tt_tt_1,English,USA,95000000,2000,624,5.7,1.85,0
Sydney Pollack,128,521,249,George Harris,The Interpreter ,2100,Michael Wright,african|assassination|dialect|interpreter|threat,http://www.imdb.com/title/tt0373926/?ref_=fn_tt_tt_1,Aboriginal,UK,80000000,2005,249,6.4,2.35,0
Thor Freudenthal,106,87,918,Leven Rambin,Percy Jackson: Sea of Monsters ,10882,Brandon T. Jackson,golden fleece|half brother|magical tree|sea|tree,http://www.imdb.com/title/tt1854564/?ref_=fn_tt_tt_1,English,USA,90000000,2013,956,5.9,2.35,28000
Jan de Bont,117,101,3000,Angelina Jolie Pitt,Lara Croft Tomb Raider: The Cradle of Life ,33154,Djimon Hounsou,duology|female hero|female lead|orb|pandora's box,http://www.imdb.com/title/tt0325703/?ref_=fn_tt_tt_1,English,USA,95000000,2003,11000,5.5,2.35,0
Jon M. Chu,129,209,886,Morgan Freeman,Now You See Me 2 ,23031,Sanaa Lathan,card trick|london england|magician|rain machine|rooftop,http://www.imdb.com/title/tt3110958/?ref_=fn_tt_tt_1,English,USA,90000000,2016,11000,6.9,2.35,15000
Phillip Noyce,116,176,84,Michael Byrne,The Saint ,475,Velibor Topic,cold fusion|disguise|energy|fusion|the saint,http://www.imdb.com/title/tt0120053/?ref_=fn_tt_tt_1,English,USA,68000000,1997,117,6.2,2.35,0
Tony Scott,114,12000,307,Stephen Dillane,Spy Game ,12499,Catherine McCormack,china|cia|cold war|friendship|retirement,http://www.imdb.com/title/tt0266987/?ref_=fn_tt_tt_1,English,Germany,92000000,2001,577,7.0,2.35,0
Brian De Palma,114,0,281,Connie Nielsen,Mission to Mars ,4902,Kim Delaney,astronaut|mars|mars the planet|outer space|zero gravity,http://www.imdb.com/title/tt0183523/?ref_=fn_tt_tt_1,English,USA,90000000,2000,933,5.6,2.35,0
Carlos Saldanha,96,107,350,Wanda Sykes,Rio ,12071,Will.i.am,bird|brazilian|cockatoo|macaw|minnesota,http://www.imdb.com/title/tt1436562/?ref_=fn_tt_tt_1,English,USA,90000000,2011,560,7.0,2.35,19000
Chris Columbus,132,0,957,Oliver Platt,Bicentennial Man ,55254,John Michael Higgins,23rd century|android|artificial intelligence|dual role|robot,http://www.imdb.com/title/tt0182789/?ref_=fn_tt_tt_1,English,USA,100000000,1999,1000,6.8,1.85,0
Mick Jackson,104,81,612,Anne Heche,Volcano ,5062,Gaby Hoffmann,earthquake|fire|lava|rescue|volcano,http://www.imdb.com/title/tt0120461/?ref_=fn_tt_tt_1,English,USA,90000000,1997,643,5.4,1.85,2000
Alan J. Pakula,111,79,2000,Brad Pitt,The Devil's Own ,26088,Natascha McElhone,friendship|murder|northern ireland|police officer|terrorist,http://www.imdb.com/title/tt0118972/?ref_=fn_tt_tt_1,English,USA,86000000,1997,11000,6.1,2.35,979
Kathryn Bigelow,138,0,123,Christian Camargo,K-19: The Widowmaker ,15149,Lex Shrapnel,courage|radiation sickness|radioactive contamination|sea|test launch,http://www.imdb.com/title/tt0267626/?ref_=fn_tt_tt_1,English,UK,100000000,2002,602,6.7,2.35,0
Josh Trank,100,128,78,Reg E. Cathey,Fantastic Four ,1261,Tim Heidecker,box office flop|critically bashed|portal|teleportation|troubled production,http://www.imdb.com/title/tt1502712/?ref_=fn_tt_tt_1,English,USA,120000000,2015,360,4.3,2.35,41000
John Milius,129,468,183,Mako,Conan the Barbarian ,2024,Sandahl Bergman,actual animal killed|cult|evil sorcerer|gladiator|warlord,http://www.imdb.com/title/tt0082198/?ref_=fn_tt_tt_1,English,USA,20000000,1982,691,6.9,2.35,0
