director_name,actor_2_name,actor_1_facebook_likes,genres,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,movie_imdb_link,language,country,content_rating,title_year,imdb_score,movie_facebook_likes
Jaume Collet-Serra,Paris Hilton,730,Horror,House of Wax ,94456,2178,Brian Van Holt,0,http://www.imdb.com/title/tt0397065/?ref_=fn_tt_tt_1,English,Australia,R,2005,5.3,0
Mike Nichols,Julia Roberts,20000,Drama|Romance,Closer ,168314,28027,Colin Stinton,2,http://www.imdb.com/title/tt0376541/?ref_=fn_tt_tt_1,English,USA,R,2004,7.3,12000
Clint Eastwood,Naomi Watts,29000,Biography|Crime|Drama,J. Edgar ,102728,36258,Kaitlyn Dever,0,http://www.imdb.com/title/tt1616195/?ref_=fn_tt_tt_1,English,USA,R,2011,6.6,16000
Alexandre Aja,Cameron Boyce,1000,Horror|Mystery,Mirrors ,86205,3185,Julian Glover,0,http://www.imdb.com/title/tt0790686/?ref_=fn_tt_tt_1,English,USA,R,2008,6.2,5000
Michael Rymer,Lena Olin,775,Drama|Fantasy|Horror,Queen of the Damned ,43991,3001,Bruce Spence,2,http://www.imdb.com/title/tt0238546/?ref_=fn_tt_tt_1,English,USA,R,2002,5.2,0
Stephen Hopkins,Robert Davi,2000,Action|Horror|Sci-Fi,Predator 2 ,105478,4722,Kevin Peter Hall,0,http://www.imdb.com/title/tt0100403/?ref_=fn_tt_tt_1,English,USA,R,1990,6.2,0
Gregory Hoblit,Jesse Tyler Ferguson,2000,Crime|Drama|Thriller,Untraceable ,40964,3612,Joseph Cross,1,http://www.imdb.com/title/tt0880578/?ref_=fn_tt_tt_1,English,USA,R,2008,6.2,0
Hugh Wilson,Sissy Spacek,3000,Comedy|Drama|Romance|Sci-Fi,Blast from the Past ,48621,5709,Douglas Smith,0,http://www.imdb.com/title/tt0124298/?ref_=fn_tt_tt_1,English,USA,PG-13,1999,6.6,0
Mike Hodges,William Hootkins,591,Action|Adventure|Sci-Fi,Flash Gordon ,38017,2603,Sam J. Jones,1,http://www.imdb.com/title/tt0080745/?ref_=fn_tt_tt_1,English,UK,PG,1980,6.4,12000
Kevin Smith,Mike Starr,939,Comedy|Drama|Romance,Jersey Girl ,54346,3592,George Carlin,5,http://www.imdb.com/title/tt0300051/?ref_=fn_tt_tt_1,English,USA,PG-13,2004,6.2,0
Rob Cohen,Chad Lindberg,907,Action|Crime|Mystery|Thriller,Alex Cross ,28257,2471,Carmen Ejogo,0,http://www.imdb.com/title/tt1712170/?ref_=fn_tt_tt_1,English,USA,PG-13,2012,5.1,11000
Clint Eastwood,Bob Gunton,18000,Crime|Drama|Mystery|Thriller,Midnight in the Garden of Good and Evil ,31751,19689,Leon Rippy,2,http://www.imdb.com/title/tt0119668/?ref_=fn_tt_tt_1,English,USA,R,1997,6.6,0
Scott Mann,Joshua Mikel,22000,Action|Crime|Thriller,Heist ,16193,24154,D.B. Sweeney,1,http://www.imdb.com/title/tt3276924/?ref_=fn_tt_tt_1,English,USA,R,2015,6.1,0
Susanna White,Bill Bailey,287,Comedy|Family|Fantasy,Nanny McPhee Returns ,19230,855,Eros Vlahos,5,http://www.imdb.com/title/tt1415283/?ref_=fn_tt_tt_1,English,UK,PG,2010,6.1,0
Danny DeVito,J.T. Walsh,436,Biography|Crime|Drama,Hoffa ,17124,1394,Paul Guilfoyle,2,http://www.imdb.com/title/tt0104427/?ref_=fn_tt_tt_1,English,USA,R,1992,6.6,949
Chris Carter,Callum Rennie,826,Drama|Mystery|Sci-Fi|Thriller,The X Files: I Want to Believe ,78256,2351,Nicki Aycox,0,http://www.imdb.com/title/tt0443701/?ref_=fn_tt_tt_1,English,USA,PG-13,2008,5.9,0
Tommy O'Haver,Steve Coogan,11000,Comedy|Family|Fantasy|Romance,Ella Enchanted ,47800,17292,Joanna Lumley,1,http://www.imdb.com/title/tt0327679/?ref_=fn_tt_tt_1,English,USA,PG,2004,6.3,0
Peter Landesman,Eddie Marsan,10000,Biography|Drama|Sport,Concussion ,44788,13371,Albert Brooks,0,http://www.imdb.com/title/tt3322364/?ref_=fn_tt_tt_1,English,UK,PG-13,2015,7.1,23000
John Singleton,Benjamin J. Cain Jr.,327,Action|Mystery|Thriller,Abduction ,65044,561,Richard Cetrone,1,http://www.imdb.com/title/tt1600195/?ref_=fn_tt_tt_1,English,USA,PG-13,2011,5.0,13000
Gary Chapman,Olivia Williams,1000,Adventure|Animation|Comedy|Family|War,Valiant ,15788,1908,Pip Torrens,0,http://www.imdb.com/title/tt0361089/?ref_=fn_tt_tt_1,English,UK,G,2005,5.6,538
Curtis Hanson,Rip Torn,21000,Comedy|Drama,Wonder Boys ,54643,22974,Richard Thomas,5,http://www.imdb.com/title/tt0185014/?ref_=fn_tt_tt_1,English,USA,R,2000,7.4,0
Craig Mazin,Tracy Morgan,1000,Action|Comedy|Sci-Fi|Thriller,Superhero Movie ,52052,3266,Marion Ross,6,http://www.imdb.com/title/tt0426592/?ref_=fn_tt_tt_1,English,USA,PG-13,2008,4.5,0
Allen Hughes,James Ransone,1000,Crime|Drama|Thriller,Broken City ,63548,2073,Michael Beach,3,http://www.imdb.com/title/tt1235522/?ref_=fn_tt_tt_1,English,USA,R,2013,6.2,0
Wes Craven,Portia de Rossi,1000,Comedy|Horror,Cursed ,26126,2535,Derek Mears,0,http://www.imdb.com/title/tt0257516/?ref_=fn_tt_tt_1,English,USA,PG-13,2005,5.0,0
David Koepp,Dania Ramirez,23000,Action|Crime|Thriller,Premium Rush ,95274,24669,Aasif Mandvi,0,http://www.imdb.com/title/tt1547234/?ref_=fn_tt_tt_1,English,USA,PG-13,2012,6.5,20000
Anne Fletcher,Richard T. Jones,472,Action|Comedy|Crime,Hot Pursuit ,34948,1679,Michael Mosley,2,http://www.imdb.com/title/tt2967224/?ref_=fn_tt_tt_1,English,USA,PG-13,2015,5.1,0
Shekhar Kapur,Lucy Gordon,3000,Adventure|Drama|Romance|War,The Four Feathers ,28130,3142,Alex Jennings,2,http://www.imdb.com/title/tt0240510/?ref_=fn_tt_tt_1,English,UK,PG-13,2002,6.5,0
Taylor Hackford,Clifton Collins Jr.,26000,Action|Crime|Romance|Thriller,Parker ,90046,28479,Wendell Pierce,0,http://www.imdb.com/title/tt1904996/?ref_=fn_tt_tt_1,English,USA,R,2013,6.2,17000
Richard Loncraine,Jon Favreau,4000,Comedy|Romance|Sport,Wimbledon ,51842,9330,Austin Nichols,1,http://www.imdb.com/title/tt0360201/?ref_=fn_tt_tt_1,English,UK,PG-13,2004,6.3,0
Roger Kumble,Brooke Shields,3000,Comedy|Family,Furry Vengeance ,12399,6327,Matt Prokop,1,http://www.imdb.com/title/tt0492389/?ref_=fn_tt_tt_1,English,USA,PG,2010,3.8,0
Kimble Rendall,Cariba Heine,465,Action|Horror|Sci-Fi,Bait ,11482,1361,Richard Brancatisano,1,http://www.imdb.com/title/tt1438173/?ref_=fn_tt_tt_1,English,Australia,R,2012,5.2,0
Peter Yates,Alun Armstrong,14000,Action|Adventure|Fantasy,Krull ,23351,14744,Lysette Anthony,1,http://www.imdb.com/title/tt0085811/?ref_=fn_tt_tt_1,English,UK,PG,1983,6.0,0
Robert Redford,Tom Cruise,11000,Drama|Thriller|War,Lions for Lambs ,41170,32875,Andrew Garfield,3,http://www.imdb.com/title/tt0891527/?ref_=fn_tt_tt_1,English,USA,R,2007,6.2,0
John Milius,Dann Florek,605,Action|Drama|Thriller|War,Flight of the Intruder ,4795,1290,Christopher Rich,3,http://www.imdb.com/title/tt0099587/?ref_=fn_tt_tt_1,English,USA,PG-13,1991,5.7,452
Jake Kasdan,Nat Faxon,553,Comedy|Music,Walk Hard: The Dewey Cox Story ,55630,1082,Matt Price,1,http://www.imdb.com/title/tt0841046/?ref_=fn_tt_tt_1,English,USA,R,2007,6.7,0
Lasse Hallström,Scott Glenn,18000,Drama,The Shipping News ,28542,19805,Jason Behr,3,http://www.imdb.com/title/tt0120824/?ref_=fn_tt_tt_1,English,USA,R,2001,6.8,0
Les Mayfield,Ronny Cox,694,Action|Western,American Outlaws ,12077,1668,Harris Yulin,2,http://www.imdb.com/title/tt0244000/?ref_=fn_tt_tt_1,English,USA,PG-13,2001,6.0,433
Jean-Marc Vallée,Jim Broadbent,2000,Biography|Drama|History|Romance,The Young Victoria ,44931,5890,Thomas Kretschmann,1,http://www.imdb.com/title/tt0962736/?ref_=fn_tt_tt_1,English,UK,PG,2009,7.3,0
Dominic Sena,Bashar Rahal,1000,Action|Crime|Mystery|Thriller,Whiteout ,31918,1947,Shawn Doyle,1,http://www.imdb.com/title/tt0365929/?ref_=fn_tt_tt_1,English,USA,R,2009,5.5,0
Terrence Malick,Tye Sheridan,11000,Drama|Fantasy,The Tree of Life ,136367,13021,Fiona Shaw,0,http://www.imdb.com/title/tt0478304/?ref_=fn_tt_tt_1,English,USA,PG-13,2011,6.7,39000
Hark Tsui,Lela Rochon,635,Action|Comedy|Thriller,Knock Off ,11512,1352,Ray Nicholas,0,http://www.imdb.com/title/tt0120724/?ref_=fn_tt_tt_1,English,Aruba,R,1998,4.8,471
David Ayer,Martin Donovan,1000,Action|Crime|Drama|Thriller,Sabotage ,47498,1458,Maurice Compte,3,http://www.imdb.com/title/tt1742334/?ref_=fn_tt_tt_1,English,USA,R,2014,5.7,10000
Brian Helgeland,Mark Addy,13000,Action|Mystery|Thriller,The Order ,14962,14165,Benno Fürmann,1,http://www.imdb.com/title/tt0304711/?ref_=fn_tt_tt_1,English,USA,R,2003,5.1,704
Lexi Alexander,Wayne Knight,3000,Action|Crime|Drama|Thriller,Punisher: War Zone ,48999,6563,Colin Salmon,1,http://www.imdb.com/title/tt0450314/?ref_=fn_tt_tt_1,English,USA,R,2008,6.0,0
Peter Hewitt,Rip Torn,2000,Action|Adventure|Family|Sci-Fi,Zoom ,15015,5022,Thomas F. Wilson,5,http://www.imdb.com/title/tt0383060/?ref_=fn_tt_tt_1,English,USA,PG,2006,4.2,494
Robert Zemeckis,Soleyman Pierini,23000,Adventure|Biography|Drama|Thriller,The Walk ,77394,23031,Jade Kindar-Martin,0,http://www.imdb.com/title/tt3488710/?ref_=fn_tt_tt_1,English,USA,PG,2015,7.4,24000
Ronny Yu,Lee Arenberg,690,Action|Adventure|Fantasy,Warriors of Virtue ,2189,1993,Angus Macfadyen,0,http://www.imdb.com/title/tt0120479/?ref_=fn_tt_tt_1,English,USA,PG,1997,4.6,0
Ridley Scott,Albert Finney,883,Comedy|Drama|Romance,A Good Year ,70698,3611,Richard Coyle,1,http://www.imdb.com/title/tt0401445/?ref_=fn_tt_tt_1,English,USA,PG-13,2006,6.9,9000
,Indira Varma,2000,Crime|Drama|Mystery|Thriller,Luther             ,70568,3823,Warren Brown,1,http://www.imdb.com/title/tt1474684/?ref_=fn_tt_tt_1,English,UK,TV-MA,,8.6,20000
Richard Donner,Thomas Ian Nicholas,2000,Drama,Radio Flyer ,10410,4334,John Heard,3,http://www.imdb.com/title/tt0105211/?ref_=fn_tt_tt_1,English,USA,PG-13,1992,6.9,892
Taylor Hackford,Jesse Borrego,848,Crime|Drama,"Blood In, Blood Out ",23181,3227,Raymond Cruz,2,http://www.imdb.com/title/tt0106469/?ref_=fn_tt_tt_1,English,USA,R,1993,8.0,6000
Bille August,Tom Wilkinson,1000,Action|Drama|Sci-Fi|Thriller,Smilla's Sense of Snow ,11747,3125,Julia Ormond,1,http://www.imdb.com/title/tt0120152/?ref_=fn_tt_tt_1,English,Denmark,R,1997,6.4,561
Brian De Palma,Gregg Henry,548,Crime|Drama|Mystery|Thriller,Femme Fatale ,28584,1005,Rie Rasmussen,1,http://www.imdb.com/title/tt0280665/?ref_=fn_tt_tt_1,English,France,R,2002,6.3,675
Moustapha Akkad,Rod Steiger,695,Biography|Drama|History|War,Lion of the Desert ,9852,1573,John Gielgud,0,http://www.imdb.com/title/tt0081059/?ref_=fn_tt_tt_1,English,Libya,PG,1980,8.4,0
Jean-Paul Rappeneau,François Cluzet,837,Adventure|Drama|Romance|War,The Horseman on the Roof ,4885,1508,Isabelle Carré,1,http://www.imdb.com/title/tt0113362/?ref_=fn_tt_tt_1,French,France,R,1995,7.1,262
Ang Lee,Jeffrey Dover,3,Drama|Romance|War|Western,Ride with the Devil ,11101,5,Tobey Maguire,0,http://www.imdb.com/title/tt0134154/?ref_=fn_tt_tt_1,English,USA,R,1999,6.8,633
Alejandro G. Iñárritu,Hanaa Bouchaib,30,Drama,Biutiful ,68885,50,Eduard Fernández,0,http://www.imdb.com/title/tt1164999/?ref_=fn_tt_tt_1,Spanish,Mexico,R,2010,7.5,29000
Roland Joffé,Alice Englert,621,Action|Adventure|Romance|Sci-Fi,The Lovers ,2138,1980,Bipasha Basu,3,http://www.imdb.com/title/tt1321869/?ref_=fn_tt_tt_1,English,Belgium,R,2015,4.5,677
Joachim Rønning,Sam Shepard,4000,Action|Comedy|Crime|Western,Bandidas ,28848,5377,Dwight Yoakam,2,http://www.imdb.com/title/tt0416496/?ref_=fn_tt_tt_1,English,France,PG-13,2006,5.7,0
Tony Kaye,Aisha Tyler,970,Crime|Drama,Black Water Transit ,219,3874,Beverly D'Angelo,0,http://www.imdb.com/title/tt0490087/?ref_=fn_tt_tt_1,English,USA,,2009,7.2,26
Wes Ball,Aml Ameen,988,Action|Mystery|Sci-Fi|Thriller,The Maze Runner ,310903,1783,Jacob Latimore,0,http://www.imdb.com/title/tt1790864/?ref_=fn_tt_tt_1,English,USA,PG-13,2014,6.8,38000
Ken Scott,June Diane Raphael,1000,Comedy,Unfinished Business ,23072,1564,Melissa McMeekin,2,http://www.imdb.com/title/tt2358925/?ref_=fn_tt_tt_1,English,USA,R,2015,5.4,0
Martin Scorsese,Geraldine Chaplin,554,Drama|Romance,The Age of Innocence ,36267,1068,Stuart Wilson,3,http://www.imdb.com/title/tt0106226/?ref_=fn_tt_tt_1,English,USA,PG,1993,7.2,0
Darren Aronofsky,Ellen Burstyn,20000,Drama|Sci-Fi,The Fountain ,190990,24640,Mark Margolis,0,http://www.imdb.com/title/tt0414993/?ref_=fn_tt_tt_1,English,USA,PG-13,2006,7.3,23000
Hugh Johnson,Kevin J. O'Connor,372,Action|Adventure|Comedy|Drama|Thriller,Chill Factor ,8367,1274,Hudson Leick,0,http://www.imdb.com/title/tt0163579/?ref_=fn_tt_tt_1,English,USA,R,1999,5.2,120
Simon West,Mark Valley,12000,Action|Crime|Drama|Thriller,Stolen ,36914,14978,Sami Gayle,1,http://www.imdb.com/title/tt1656186/?ref_=fn_tt_tt_1,English,USA,R,2012,5.5,0
Hayao Miyazaki,Yûki Amami,6,Adventure|Animation|Family|Fantasy,Ponyo ,85589,13,Yuria Nara,0,http://www.imdb.com/title/tt0876563/?ref_=fn_tt_tt_1,Japanese,Japan,G,2008,7.7,0
George Tillman Jr.,Melissa Benoist,989,Drama|Romance,The Longest Ride ,50041,3386,Hayley Lovitt,0,http://www.imdb.com/title/tt2726560/?ref_=fn_tt_tt_1,English,USA,PG-13,2015,7.1,23000
Rand Ravich,Charlize Theron,40000,Drama|Sci-Fi|Thriller,The Astronaut's Wife ,45497,52621,Clea DuVall,0,http://www.imdb.com/title/tt0138304/?ref_=fn_tt_tt_1,English,USA,R,1999,5.3,1000
Hugh Hudson,Eva Marie Saint,818,Adventure|Drama|Romance,I Dreamed of Africa ,3740,1778,Vincent Perez,1,http://www.imdb.com/title/tt0167203/?ref_=fn_tt_tt_1,English,USA,PG-13,2000,5.6,314
Gabriele Muccino,Dennis Quaid,18000,Comedy|Romance|Sport,Playing for Keeps ,23916,23122,Judy Greer,5,http://www.imdb.com/title/tt1540128/?ref_=fn_tt_tt_1,English,USA,PG-13,2012,5.7,0
Justin Chadwick,Fana Mokoena,113,Biography|Drama|History,Mandela: Long Walk to Freedom ,21223,301,Tony Kgoroge,1,http://www.imdb.com/title/tt2304771/?ref_=fn_tt_tt_1,English,UK,PG-13,2013,7.1,13000
Warren Beatty,Warren Beatty,635,Biography|Drama|History|Romance,Reds ,16255,2291,M. Emmet Walsh,0,http://www.imdb.com/title/tt0082979/?ref_=fn_tt_tt_1,English,USA,PG,1981,7.5,0
Rob Reiner,Demi Moore,10000,Drama|Thriller,A Few Good Men ,181879,14619,Kevin Pollak,0,http://www.imdb.com/title/tt0104257/?ref_=fn_tt_tt_1,English,USA,R,1992,7.6,0
Andrzej Bartkowiak,Bill Duke,2000,Action|Comedy|Crime|Drama|Thriller,Exit Wounds ,27580,5942,Bruce McGill,0,http://www.imdb.com/title/tt0242445/?ref_=fn_tt_tt_1,English,USA,R,2001,5.5,742
Raja Gosnell,Cedric the Entertainer,826,Action|Comedy|Crime,Big Momma's House ,66941,1790,Tichina Arnold,1,http://www.imdb.com/title/tt0208003/?ref_=fn_tt_tt_1,English,USA,PG-13,2000,5.1,1000
Jeremy Degruson,Brianne Brozey,324,Adventure|Animation|Comedy|Family|Fantasy,Thunder and the House of Magic ,4265,369,Joe Ochman,0,http://www.imdb.com/title/tt3148834/?ref_=fn_tt_tt_1,English,Belgium,,2013,6.3,0
Chris Gorak,Veronika Vernadskaya,614,Action|Adventure|Horror|Sci-Fi|Thriller,The Darkest Hour ,49312,843,Dato Bakhtadze,0,http://www.imdb.com/title/tt1093357/?ref_=fn_tt_tt_1,English,USA,PG-13,2011,4.9,0
Scott Speer,Stephen Boss,3000,Drama|Music|Romance,Step Up Revolution ,45394,4863,Misha Gabriel Hamilton,0,http://www.imdb.com/title/tt1800741/?ref_=fn_tt_tt_1,English,USA,PG-13,2012,6.5,19000
David R. Ellis,Kenan Thompson,852,Action|Adventure|Crime|Drama|Thriller,Snakes on a Plane ,115649,2604,Rachel Blanchard,0,http://www.imdb.com/title/tt0417148/?ref_=fn_tt_tt_1,English,Germany,R,2006,5.6,4000
Joe Charbanic,Joseph Sikora,18000,Crime|Horror|Mystery|Thriller,The Watcher ,22220,18688,Chris Ellis,0,http://www.imdb.com/title/tt0204626/?ref_=fn_tt_tt_1,English,USA,R,2000,5.3,463
Jonathan Hensleigh,Marco St. John,669,Action|Crime|Drama|Thriller,The Punisher ,124242,2114,Eddie Jemison,1,http://www.imdb.com/title/tt0330793/?ref_=fn_tt_tt_1,English,USA,R,2004,6.5,4000
Danny Cannon,Kuno Becker,722,Drama|Romance|Sport,Goal! The Dream Begins ,50919,2859,Stephen Dillane,0,http://www.imdb.com/title/tt0380389/?ref_=fn_tt_tt_1,English,USA,PG-13,2005,6.8,0
Boaz Yakin,Reggie Lee,26000,Action|Crime|Thriller,Safe ,83097,27759,Robert John Burke,2,http://www.imdb.com/title/tt1656190/?ref_=fn_tt_tt_1,English,USA,R,2012,6.5,12000
Mike Newell,Kurt Fuller,11000,Comedy|Drama|Romance,Pushing Tin ,24826,13093,Jake Weber,3,http://www.imdb.com/title/tt0120797/?ref_=fn_tt_tt_1,English,USA,R,1999,6.0,783
Richard Marquand,Ian McDiarmid,11000,Action|Adventure|Fantasy|Sci-Fi,Star Wars: Episode VI - Return of the Jedi ,681857,13649,Kenny Baker,0,http://www.imdb.com/title/tt0086190/?ref_=fn_tt_tt_1,English,USA,PG,1983,8.4,14000
Neil Marshall,Jason Cope,165,Action|Sci-Fi|Thriller,Doomsday ,62770,391,Jeremy Crutchley,1,http://www.imdb.com/title/tt0483607/?ref_=fn_tt_tt_1,English,UK,R,2008,6.0,0
Stephen Daldry,David Kross,14000,Drama|Romance,The Reader ,189812,14504,Susanne Lothar,0,http://www.imdb.com/title/tt0976051/?ref_=fn_tt_tt_1,English,USA,R,2008,7.6,15000
David Wain,Lauren Ambrose,1000,Comedy,Wanderlust ,62198,4151,Joe Lo Truglio,2,http://www.imdb.com/title/tt1655460/?ref_=fn_tt_tt_1,English,USA,R,2012,5.6,0
Jon Favreau,Zooey Deschanel,22000,Comedy|Family|Fantasy|Romance,Elf ,147597,43354,Will Ferrell,1,http://www.imdb.com/title/tt0319343/?ref_=fn_tt_tt_1,English,USA,PG,2003,6.9,21000
Jon Turteltaub,Kyra Sedgwick,3000,Drama|Fantasy|Romance|Sci-Fi,Phenomenon ,63839,5975,David Gallagher,1,http://www.imdb.com/title/tt0117333/?ref_=fn_tt_tt_1,English,USA,PG,1996,6.4,0
Brian Levant,Nichelle Nichols,773,Adventure|Comedy|Family|Sport,Snow Dogs ,20219,2916,M. Emmet Walsh,1,http://www.imdb.com/title/tt0281373/?ref_=fn_tt_tt_1,English,Canada,PG,2002,5.1,0
Richard Donner,Alfre Woodard,13000,Comedy|Drama|Fantasy,Scrooged ,61396,18734,Robert Mitchum,1,http://www.imdb.com/title/tt0096061/?ref_=fn_tt_tt_1,English,USA,PG-13,1988,7.0,11000
Jared Hess,Moises Arias,678,Comedy|Family|Sport,Nacho Libre ,65551,1729,Héctor Jiménez,1,http://www.imdb.com/title/tt0457510/?ref_=fn_tt_tt_1,English,Germany,PG,2006,5.7,0
Paul Feig,Wendi McLendon-Covey,722,Comedy|Romance,Bridesmaids ,218711,3229,Steve Bannos,6,http://www.imdb.com/title/tt1478338/?ref_=fn_tt_tt_1,English,USA,R,2011,6.8,27000
Evan Goldberg,James Franco,17000,Comedy|Fantasy,This Is the End ,310540,38751,Emma Watson,6,http://www.imdb.com/title/tt1245492/?ref_=fn_tt_tt_1,English,USA,R,2013,6.7,97000
Rupert Wainwright,Enrico Colantoni,826,Horror,Stigmata ,54390,3004,Portia de Rossi,0,http://www.imdb.com/title/tt0145531/?ref_=fn_tt_tt_1,English,USA,R,1999,6.2,0
George Tillman Jr.,Charlize Theron,22000,Biography|Drama,Men of Honor ,89424,36069,Michael Rapaport,0,http://www.imdb.com/title/tt0203019/?ref_=fn_tt_tt_1,English,USA,R,2000,7.2,0
John Luessenhop,Hayden Christensen,23000,Action|Crime|Thriller,Takers ,46961,31529,Jay Hernandez,5,http://www.imdb.com/title/tt1135084/?ref_=fn_tt_tt_1,English,USA,PG-13,2010,6.2,0
Justin Zackham,Robert De Niro,49000,Comedy,The Big Wedding ,37493,74181,Topher Grace,8,http://www.imdb.com/title/tt1931435/?ref_=fn_tt_tt_1,English,USA,R,2013,5.6,0
John Whitesell,Tony Curran,918,Action|Comedy|Crime,"Big Mommas: Like Father, Like Son ",19671,3500,Portia Doubleday,2,http://www.imdb.com/title/tt1464174/?ref_=fn_tt_tt_1,English,USA,PG-13,2011,4.4,0
Duncan Jones,Cas Anvar,15000,Mystery|Sci-Fi|Thriller,Source Code ,379462,16034,Russell Peters,3,http://www.imdb.com/title/tt0945513/?ref_=fn_tt_tt_1,English,USA,PG-13,2011,7.5,56000
Frank Marshall,Danny Nucci,344,Adventure|Biography|Drama|Thriller,Alive ,38949,2054,Michael DeLorenzo,3,http://www.imdb.com/title/tt0106246/?ref_=fn_tt_tt_1,English,USA,R,1993,7.1,0
Joel Schumacher,Virginia Madsen,8000,Mystery|Thriller,The Number 23 ,164608,10938,Ed Lauter,1,http://www.imdb.com/title/tt0481369/?ref_=fn_tt_tt_1,English,USA,R,2007,6.4,10000
Jean-Pierre Jeunet,Julian Richings,716,Action|Adventure|Drama|Family,The Young and Prodigious T.S. Spivet ,11347,1843,Judy Davis,1,http://www.imdb.com/title/tt1981107/?ref_=fn_tt_tt_1,English,France,PG,2013,7.1,5000
Steven Spielberg,John Belushi,16000,Action|Comedy|War,1941 ,25193,20201,Treat Williams,5,http://www.imdb.com/title/tt0078723/?ref_=fn_tt_tt_1,English,USA,PG,1979,5.9,2000
John Gatins,Freddy Rodríguez,649,Drama|Family|Sport,Dreamer: Inspired by a True Story ,10018,1400,Holmes Osborne,1,http://www.imdb.com/title/tt0418647/?ref_=fn_tt_tt_1,English,USA,PG,2005,6.9,0
David Cronenberg,Kyle Schmid,10000,Crime|Drama|Thriller,A History of Violence ,186606,12754,William Hurt,1,http://www.imdb.com/title/tt0399146/?ref_=fn_tt_tt_1,English,USA,R,2005,7.5,0
Louis Leterrier,Jason Flemyng,26000,Action|Crime|Thriller,Transporter 2 ,156267,29050,Matthew Modine,1,http://www.imdb.com/title/tt0388482/?ref_=fn_tt_tt_1,English,France,PG-13,2005,6.3,0
Sam Raimi,Pat Hingle,29000,Action|Thriller|Western,The Quick and the Dead ,69197,29743,Roberts Blossom,0,http://www.imdb.com/title/tt0114214/?ref_=fn_tt_tt_1,English,Japan,R,1995,6.4,0
Peter Howitt,Mike Doyle,638,Comedy|Romance,Laws of Attraction ,18771,961,Nora Dunn,1,http://www.imdb.com/title/tt0323033/?ref_=fn_tt_tt_1,English,Ireland,PG-13,2004,5.9,702
Martin Scorsese,Marc Anthony,12000,Drama|Thriller,Bringing Out the Dead ,53028,13040,Sonja Sohn,0,http://www.imdb.com/title/tt0163988/?ref_=fn_tt_tt_1,English,USA,R,1999,6.8,0
Miguel Sapochnik,RZA,1000,Action|Crime|Sci-Fi|Thriller,Repo Men ,87768,2925,Yvette Nicole Brown,0,http://www.imdb.com/title/tt1053424/?ref_=fn_tt_tt_1,English,USA,R,2010,6.3,12000
Hyung-rae Shim,Aimee Garcia,889,Action|Drama|Fantasy|Horror|Thriller,Dragon Wars: D-War ,21506,3274,Chris Mulkey,0,http://www.imdb.com/title/tt0372873/?ref_=fn_tt_tt_1,English,South Korea,PG-13,2007,3.6,0
Norman Jewison,Nancy Travis,3000,Comedy|Family|Fantasy,Bogus ,5176,3864,Andrea Martin,3,http://www.imdb.com/title/tt0115725/?ref_=fn_tt_tt_1,English,USA,PG,1996,5.3,350
Don Scardino,Olivia Wilde,12000,Comedy,The Incredible Burt Wonderstone ,60596,32094,Steve Carell,4,http://www.imdb.com/title/tt0790628/?ref_=fn_tt_tt_1,English,USA,PG-13,2013,5.9,13000
Mark Dindal,Frank Welker,3000,Animation|Comedy|Family|Fantasy|Musical,Cats Don't Dance ,5600,7394,Hal Holbrook,0,http://www.imdb.com/title/tt0118829/?ref_=fn_tt_tt_1,English,USA,G,1997,6.9,643
Tim Robbins,Vanessa Redgrave,13000,Drama,Cradle Will Rock ,8039,16878,Emily Watson,2,http://www.imdb.com/title/tt0150216/?ref_=fn_tt_tt_1,English,USA,R,1999,6.9,625
Steven Soderbergh,Beau Bridges,845,Drama|Mystery|Thriller,The Good German ,21481,2355,Leland Orser,2,http://www.imdb.com/title/tt0452624/?ref_=fn_tt_tt_1,English,USA,R,2006,6.1,559
Tom Reeve,Rollo Weeks,330,Action|Adventure|Comedy|Fantasy|Romance,George and the Dragon ,3088,1073,Simon Callow,4,http://www.imdb.com/title/tt0306892/?ref_=fn_tt_tt_1,English,USA,PG,2004,5.7,290
Francis Ford Coppola,Marlon Brando,11000,Drama|War,Apocalypse Now ,450676,25313,Robert Duvall,1,http://www.imdb.com/title/tt0078788/?ref_=fn_tt_tt_1,English,USA,R,1979,8.5,19000
Nanette Burstein,Kelli Garner,839,Comedy|Romance,Going the Distance ,50523,2961,Jim Gaffigan,0,http://www.imdb.com/title/tt1322312/?ref_=fn_tt_tt_1,English,USA,R,2010,6.3,0
Stephen Herek,Olympia Dukakis,975,Drama|Music,Mr. Holland's Opus ,30230,2223,Jean Louisa Kelly,1,http://www.imdb.com/title/tt0113862/?ref_=fn_tt_tt_1,English,USA,PG,1995,7.3,0
Ariel Vromen,Jordi Mollà,10000,Action|Crime|Drama|Mystery|Sci-Fi|Thriller,Criminal ,17319,10910,Doug Cockle,2,http://www.imdb.com/title/tt3014866/?ref_=fn_tt_tt_1,English,UK,R,2016,6.3,0
Sydney Pollack,Michael Gough,11000,Biography|Drama|Romance,Out of Africa ,52339,12518,Michael Kitchen,0,http://www.imdb.com/title/tt0089755/?ref_=fn_tt_tt_1,English,USA,PG,1985,7.2,0
