director_name,num_critic_for_reviews,duration,actor_3_facebook_likes,gross,genres,num_voted_users,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,country,content_rating,budget,aspect_ratio
Ryan Murphy,213,140,745,80574010,Drama|Romance,63493,Billy Crudup,1,divorce|emotional balance|female protagonist|indonesia|inner peace,302,English,USA,PG-13,60000000,1.85
Brett Ratner,121,125,627,75764085,Comedy|Drama|Fantasy|Romance,85844,Amber Valletta,1,bowling|christmas|parallel universe|salesman|unfaithfulness,322,English,USA,PG-13,60000000,2.35
Robert Schwentke,315,111,357,90356857,Action|Comedy|Crime|Thriller,238916,Jaqueline Fleming,4,cia|female assassin|interrogation|office cubicle|spy,328,English,USA,PG-13,58000000,2.35
Oliver Stone,171,156,1000,75530832,Drama|Sport,97047,LL Cool J,5,breasts|coach|football|in medias res|vomiting,452,English,USA,R,55000000,2.35
Robert Redford,96,170,380,75370763,Drama|Romance|Western,32353,Jessalyn Gilsig,0,grace|groom|horse|montana|western u.s.,263,English,USA,PG-13,60000000,1.85
Michael Mann,299,120,680,100003492,Crime|Drama|Thriller,293662,Debi Mazar,0,city by night|contract killer|driving at night|los angeles california|taxi,836,English,USA,R,65000000,2.35
Chuck Russell,167,100,416,90341670,Action|Adventure|Fantasy|Thriller,102129,Bernard Hill,4,desert|king|showdown|sorceress|warrior,432,English,USA,PG-13,60000000,2.35
Jay Russell,125,115,579,74540762,Action|Drama|Thriller,48753,Jacinda Barrett,2,death of husband|fire|firefighter|funeral|main character dies,323,English,USA,PG-13,55000000,1.85
Christopher McQuarrie,387,130,1000,80033643,Action|Crime|Mystery|Thriller,226570,David Oyelowo,2,coma|mysterious villain|police chase|shooting range|sniper,448,English,USA,PG-13,60000000,2.35
Renny Harlin,199,105,811,73648142,Action|Sci-Fi|Thriller,99043,Saffron Burrows,1,alzheimer's disease|experiment|human versus shark|research|underwater headquarters,643,English,USA,R,60000000,2.35
Kenny Ortega,136,111,6,71844424,Documentary|Music,33158,Judith Hill,0,2000s|box office hit|comeback|rehearsal|year 2009,223,English,USA,PG,60000000,1.78
Steven Soderbergh,436,106,175,75638743,Drama|Thriller,180479,Griffin Kane,4,contagion|cure|infection|panic|virus,411,English,USA,PG-13,60000000,1.85
David McNally,73,89,226,66734992,Action|Adventure|Comedy|Crime,23476,Bill Hunter,0,australia|body paint|kangaroo|mob|money,181,English,USA,PG,60000000,2.35
