director_name,num_critic_for_reviews,actor_3_facebook_likes,gross,movie_title,num_voted_users,facenumber_in_poster,plot_keywords,country,content_rating,budget,actor_2_facebook_likes,aspect_ratio,movie_facebook_likes
Stewart Raffill,9,10,531806,Standing Ovation ,548,9,dance|dream|frog|philadelphia pennsylvania|snake,USA,PG,,11,,277
George Roy Hill,119,417,159600000,The Sting ,175607,0,con|con man|courier|long con|murder,USA,PG,5500000,559,1.85,0
Hugh Hudson,90,249,58800000,Chariots of Fire ,40511,0,athlete|jew|missionary|olympic games|race,UK,PG,5500000,303,1.85,0
Darren Grant,62,476,50382128,Diary of a Mad Black Woman ,10472,0,comic relief|diary|kiss|madea series|state flag,USA,PG-13,5500000,637,1.85,0
Scott Hicks,71,35,35811509,Shine ,43013,0,abuse|australia|concert|pianist|piano,Australia,PG-13,5500000,294,1.85,0
Joseph Gordon-Levitt,364,694,24475193,Don Jon ,190494,1,camera focus on female butt|cunnilingus|new jersey|oral sex|reference to facebook,USA,R,3000000,19000,2.35,33000
Clint Eastwood,72,258,,High Plains Drifter ,36381,0,gravestone|gunfighter|outlaw|revenge|small town,USA,R,5500000,742,2.35,0
Terry Zwigoff,122,722,6200756,Ghost World ,96129,0,art class|diner|friend|graduation|high school,USA,R,7000000,12000,1.85,5000
Richard Eyre,100,548,1292119,Iris ,14786,1,alzheimer's disease|book|love|novelist|writer,UK,R,5500000,1000,1.85,0
William Sachs,24,60,,Galaxina ,1955,0,alien|android|fem bot|female android|stars,USA,R,,110,2.35,438
Christophe Barratier,112,57,3629758,The Chorus ,44151,0,boarding school|boy|choir|school|teacher,France,PG-13,5500000,86,2.35,0
Émile Gaudreault,67,71,6239558,Mambo Italiano ,5548,0,gay|immigrant|italian|police|police officer,Canada,R,5000000,210,1.85,352
James Cox,91,93,1056102,Wonderland ,18792,0,murder|police|police investigation|porn star|robbery,USA,R,5000000,436,1.85,1000
Spike Lee,103,388,27545445,Do the Right Thing ,59524,2,black militant|frustration|pizza|pizza parlor|pizzeria,USA,R,6500000,652,1.85,0
James Toback,27,781,56007,Harvard Man ,3754,3,basketball|cheerleader|college|harvard|philosophy,USA,R,5500000,902,2.35,113
Aki Kaurismäki,205,36,611709,Le Havre ,15267,1,bar|container|illegal immigrant|neighbor|shoe shiner,Finland,Not Rated,3850000,67,1.85,0
Gaspar Noé,192,9,753501,Irreversible ,87244,0,long take|male frontal nudity|revenge|reverse chronology|vengeance,France,Not Rated,,46,2.35,13000
Hitoshi Matsumoto,72,16,22770,R100 ,1658,0,coma|one word title|spitting|sushi|swimming pool,Japan,Unrated,5500000,17,1.85,543
Rakeysh Omprakash Mehra,33,199,2197331,Rang De Basanti ,70233,0,freedom|friend|india|student|urination,India,Not Rated,,227,2.35,0
Collin Schiffli,22,290,,Animals ,605,0,drug addict|drug addiction|drug use|drugs|junkie,USA,,,697,2.35,679
George Ratliff,48,38,27445,Salvation Boulevard ,3788,5,cross|doused with gasoline|pastor|security guard|shower,USA,R,9000000,39,1.85,1000
David Wain,65,139,766487,The Ten ,15315,4,death|mexico|sabbath|surgeon|ten stories,USA,R,5250000,543,1.85,915
Shane Meadows,29,222,18434,A Room for Romeo Brass ,4471,2,betrayal|family relationships|friendship|psychosis|stranger,UK,R,,680,1.85,484
Morten Tyldum,284,27,1196752,Headhunters ,79353,3,art thief|male frontal nudity|male nudity|male star appears nude|painting,Norway,R,30300000,52,2.39,23000
Jon Wright,187,114,,Grabbers ,13227,0,bathtub|eaten alive|ferry boat|lobster trap|sprinkler system,UK,Not Rated,4000000,567,2.35,11000
Michael McGowan,47,149,795126,Saint Ralph ,4976,1,boston marathon|coma|marathon|miracles|running,Canada,PG-13,6000000,259,1.85,989
Liv Ullmann,88,0,,Miss Julie ,2894,2,kissing someone's boot|midsummer|telling someone to shut up|two word title|valet,Norway,PG-13,5500000,0,,0
Jeannot Szwarc,41,32,,Somewhere in Time ,21049,2,hotel|love|love across time|time travel|time travel romance,USA,PG,5100000,191,1.85,0
Rohan Sippy,24,47,563699,Dum Maaro Dum ,3266,0,airport|drugs|loss of loved one|police|title based on song,India,R,,282,,421
James Wan,318,482,83574831,Insidious: Chapter 2 ,109214,0,barricading a door|injection in leg|police detective|supernatural|taser,USA,PG-13,5000000,618,2.35,35000
Darren Lynn Bousman,250,651,87025093,Saw II ,188679,0,death|detective|nerve gas|serial killer|trap,USA,R,4000000,654,1.85,0
Dan Trachtenberg,411,82,71897215,10 Cloverfield Lane ,126893,0,alien|bunker|car crash|kidnapping|minimal cast,USA,PG-13,15000000,338,2.35,33000
Jeff Tremaine,106,218,64267897,Jackass: The Movie ,67992,0,alligator|golf|japan|panda|stunt,USA,R,5000000,362,1.85,0
David F. Sandberg,159,300,56536016,Lights Out ,13523,0,based on short film|reference to avenged sevenfold|reference to slayer|switching lights on and off|two word title,USA,PG-13,4900000,509,2.35,0
Henry Joost,251,434,104007828,Paranormal Activity 3 ,76828,0,animate object|imaginary friend|reference to macgyver|whispering|woman wearing only a man's shirt,USA,R,5000000,438,1.85,24000
Stiles White,183,704,50820940,Ouija ,31915,0,death of girlfriend|funeral|ghost|ouija|spirit,USA,PG-13,5000000,707,2.35,18000
Chuck Russell,131,150,44793200,A Nightmare on Elm Street 3: Dream Warriors ,49820,0,dream|freddy krueger|killer|nightmare|springwood ohio,USA,X,4500000,449,1.85,0
Joel Edgerton,297,458,43771291,The Gift ,79916,1,compulsive liar|fired from a job|gift|rape|substance abuse,USA,R,5000000,562,2.35,15000
Eugenio Derbez,41,83,44456509,Instructions Not Included ,22105,1,father daughter relationship,Mexico,PG-13,5000000,89,1.85,14000
Henry Joost,248,113,53884821,Paranormal Activity 4 ,51204,0,boy in a bathtub|demon|laptop computer|pulled underwater|walking in the dark,USA,R,5000000,119,1.85,26000
Henry Koster,42,275,36000000,The Robe ,6359,1,box office hit|crucifixion|nightmare|palestine|robe,USA,Unrated,5000000,422,2.2,0
Blake Edwards,33,80,,The Return of the Pink Panther ,19596,0,clouseau|diamond|panther|pink|pink panther,UK,G,5000000,278,2.35,620
Rachel Talalay,91,581,34872293,Freddy's Dead: The Final Nightmare ,30765,0,dark comedy|dream|freddy krueger|nightmare|serial murder,USA,R,8500000,618,1.85,963
Patty Jenkins,185,592,34468224,Monster ,105568,2,beach|female criminal|hooker|lesbian|prostitute,USA,R,4500000,844,1.85,0
Richard Fleischer,69,51,,"20,000 Leagues Under the Sea ",22123,0,captain|expedition|sea|submarine|whale,USA,Approved,5000000,53,1.37,0
Christopher Landon,220,332,32453345,Paranormal Activity: The Marked Ones ,31791,0,apartment|blood|demonic possession|neighbor|pentagram,USA,R,5000000,358,1.78,10000
David Lynch,117,452,,The Elephant Man ,161972,1,curiosity|exploitation|freak|hospital|physical deformity,USA,PG,5000000,754,2.35,9000
Jean-Marc Vallée,471,896,27296514,Dallas Buyers Club ,326494,0,drugs|fda|gay community|hiv|homophobia,USA,R,5000000,3000,2.35,65000
David Gelb,152,801,25799043,The Lazarus Effect ,28513,0,electrocuted|experiment|hell|serum|university,USA,PG-13,3300000,830,2.35,0
Christopher Nolan,274,379,25530884,Memento ,845580,0,flashback|memory|murder|short term memory|telephone,USA,R,9000000,651,2.35,40000
Mike Flanagan,336,202,27689474,Oculus ,85688,0,home office|mirror|released from a mental hospital|trauma|video camera,USA,R,5000000,407,2.35,23000
Kevin Smith,174,657,24138847,Clerks II ,114797,3,fast food|fast food restaurant|new jersey|quick stop|restaurant,USA,R,5000000,898,1.85,0
Stephen Daldry,151,34,21994911,Billy Elliot ,98354,0,audition|ballet|boxing|miner|miners strike,UK,R,5000000,203,1.85,0
Nat Faxon,276,424,21501098,The Way Way Back ,115813,1,awkward boy|shy kid|summer|vacation|water park,USA,PG-13,5000000,468,1.85,22000
George Jackson,12,287,19281235,House Party 2 ,3571,0,college|misogyny|money|new friend|party,USA,R,5000000,413,1.85,232
George Miller,18,75,,The Man from Snowy River ,5894,0,australia|brumby|ranch|stallion|twin,Australia,PG,3500000,155,2.35,0
Maurice Joyce,28,73,19421271,Doug's 1st Movie ,2448,1,dance|friend|monster|reference to batman|valentine,USA,G,5000000,804,1.33,122
Robert Duvall,95,77,20733485,The Apostle ,11622,1,church|louisiana|minister|preacher|texas,USA,PG-13,5000000,130,1.85,1000
Frank Perry,74,157,,Mommie Dearest ,10564,1,abusive mother|adopted daughter|borderline personality disorder|perfection|sadistic cruelty,USA,R,5000000,485,1.85,0
Jesse Peretz,179,1000,24809547,Our Idiot Brother ,74875,1,art model|farmer|jail|nude model|three sisters,USA,R,5000000,3000,1.85,11000
Stephen Hopkins,125,388,19097994,Race ,11744,0,1930s|athlete|nazi germany|olympics|track and field,Canada,PG-13,,845,2.35,0
Ice Cube,22,498,23031390,The Players Club ,4345,9,catfight|dominatrix|rape|spanking|stripper,USA,R,4500000,597,1.85,575
Tim Blake Nelson,92,697,16017403,O ,17333,2,basketball|basketball player|boarding school|love|shakespeare's othello,USA,R,5000000,835,1.85,0
John Erick Dowdle,196,161,21197315,"As Above, So Below ",49948,0,archeologist|catacomb|found footage|paris france|philosopher's stone,USA,R,5000000,200,1.85,14000
Bille Woodruff,9,467,17382982,Addicted ,5975,0,adultery|attraction|lust|obsession|temptation,USA,R,5000000,694,1.85,0
Kasi Lemmons,31,426,14821531,Eve's Bayou ,6915,2,doctor|louisiana|secret|title directed by female|witchcraft,USA,R,6000000,434,1.85,599
Richard Glatzer,309,423,18656400,Still Alice ,86077,1,alzheimer's disease|bechdel test passed|linguistics professor|new york city|reference to angels in america the play,USA,PG-13,5000000,2000,1.85,45000
Michael Curtiz,15,422,,The Egyptian ,2498,0,afterlife|egypt|pharaoh|princess|pyramid,USA,Approved,5000000,440,2.55,376
Bruce Malmuth,36,142,,Nighthawks ,12519,2,bomb|new york city|partner|shooting|terrorist,USA,R,5000000,970,1.85,0
Rob Hedden,129,65,14343976,Friday the 13th Part VIII: Jason Takes Manhattan ,22961,0,cult film|friday the thirteenth|hockey mask|jason voorhees|murder spree,USA,R,5000000,120,1.85,1000
Joel Zwick,168,249,241437427,My Big Fat Greek Wedding ,102071,3,baptism|greek|greek restaurant|prejudice|travel agency,USA,PG,5000000,312,1.85,5000
Harmony Korine,444,192,14123773,Spring Breakers ,108683,4,kissing a dead body|repeated dialogue|sex in pool|spring break|twins,USA,R,5000000,892,2.35,25000
Joe Chappelle,123,141,15126948,Halloween: The Curse of Michael Myers ,20815,0,halloween|michael myers|nudity|returning character with different actor|slasher flick,USA,R,5000000,152,1.85,0
Alfonso Cuarón,173,19,13622333,Y Tu Mamá También ,91377,1,beach|cleaning a swimming pool|male male kiss|mexico|on the road,Mexico,R,2000000,43,1.85,0
Edgar Wright,246,358,13464388,Shaun of the Dead ,395921,6,british horror|pub|record collection|zombie|zombie apocalypse,UK,R,4000000,427,2.35,19000
Mickey Liddell,74,664,13350177,The Haunting of Molly Hartley ,7904,5,18th birthday|birthday|community center|resurrection|teenager,USA,PG-13,5000000,984,1.85,562
