director_name,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,plot_keywords,language,country,budget,title_year,imdb_score,aspect_ratio,movie_facebook_likes
Martin Brest,105,102,383,Ronny Cox,901,Action|Comedy|Crime,Judge Reinhold,Beverly Hills Cop ,126464,3464,1,drug dealer|drugs|murder|police brutality|police shootout,English,USA,14000000,1984,7.3,1.85,0
Chris Columbus,103,0,925,Devin Ratray,3000,Comedy|Family,Macaulay Culkin,Home Alone ,311075,7521,5,airport|child protagonist|child swearing|christmas|home alone,English,USA,18000000,1990,7.5,1.85,20000
Leonard Nimoy,102,12000,801,Ted Danson,19000,Comedy|Drama|Family,Tom Selleck,3 Men and a Baby ,36918,21499,4,1980s|baby|heroin|package|questioned by police,English,USA,11000000,1987,5.9,1.85,3000
Sydney Pollack,116,521,481,Sydney Pollack,13000,Comedy|Drama|Romance,Bill Murray,Tootsie ,77366,14701,1,actor|actress|friend|love|reputation,English,USA,22000000,1982,7.4,2.35,0
Tony Scott,110,12000,555,Tom Skerritt,10000,Action|Drama|Romance,Tom Cruise,Top Gun ,219171,13069,2,flying|gay subtext|machismo|male objectification|pilot,English,USA,15000000,1986,6.9,1.33,19000
Ang Lee,120,0,5,Pei-Pei Cheng,103,Action|Drama|Romance,Chen Chang,"Crouching Tiger, Hidden Dragon ",217740,129,3,bare midriff|china|magical realism|martial arts|sword,Mandarin,Taiwan,15000000,2000,7.9,2.35,0
Sam Mendes,122,0,158,Peter Gallagher,18000,Drama,Kevin Spacey,American Beauty ,822500,19078,0,domestic violence|drug dealer|homosexuality|midlife crisis|unfaithfulness,English,USA,15000000,1999,8.4,2.35,22000
Tom Hooper,118,0,520,Jennifer Ehle,14000,Biography|Drama|History|Romance,Colin Firth,The King's Speech ,503631,15732,0,king|king george vi|speech|speech therapist|throne,English,UK,15000000,2010,8.0,1.85,64000
Ivan Reitman,107,425,247,Tony Jay,742,Comedy|Crime,Kelly Preston,Twins ,87538,2151,1,bare chested male|brother|catholic orphanage|long lost siblings|twins,English,USA,15000000,1988,6.0,1.85,0
,45,,260,Bobby Campo,460,Crime|Drama|Horror|Mystery|Thriller,Bex Taylor-Klaus,Scream: The TV Series             ,18058,2380,0,generation y|millennial generation|murder|teenage girl|throat slitting,English,USA,,,7.3,16.0,0
Udayan Prasad,102,4,882,Eddie Redmayne,17000,Drama|Romance,Kristen Stewart,The Yellow Handkerchief ,6723,30978,1,louisiana|overalls|road trip|southern u.s.|teenage boy,English,USA,15500000,2008,6.8,2.35,1000
Steven Spielberg,154,14000,271,Rae Dawn Chong,852,Drama,Oprah Winfrey,The Color Purple ,60988,2592,0,book strap|girl|racial discrimination|racial tension|stereotype,English,USA,15000000,1985,7.8,1.85,6000
JK Youn,103,2,13,Ji-won Ha,94,Action|Comedy|Drama|Thriller,Nicole Dionne,Tidal Wave ,2659,213,2,korea|lifeguard|single father|tears|tsunami,Korean,South Korea,,2009,5.7,2.35,558
Timur Bekmambetov,141,335,635,Ayelet Zurer,11000,Adventure|Drama|History,Morgan Freeman,Ben-Hur ,62,13390,2,chariot race|epic|false accusation|jerusalem|slave,English,USA,100000000,2016,6.1,2.35,0
Morten Tyldum,114,77,305,Rory Kinnear,19000,Biography|Drama|Thriller|War,Benedict Cumberbatch,The Imitation Game ,467613,20295,1,crossword puzzle|cryptography|enigma code|gay lead character|world war two,English,UK,14000000,2014,8.1,2.35,165000
Howard Zieff,109,6,271,Albert Brooks,1000,Comedy|War,Eileen Brennan,Private Benjamin ,18140,2419,1,camera shot of feet|female stockinged feet|loss of husband|pantyhose|suntan pantyhose,English,USA,10000000,1980,6.1,1.85,855
Michael Apted,124,150,572,Beverly D'Angelo,874,Biography|Drama|Music|Musical,Sissy Spacek,Coal Miner's Daughter ,12974,2667,0,country music|kissing while having sex|poverty|singer|title based on song,English,USA,,1980,7.5,1.85,0
Thor Freudenthal,94,87,569,Zachary Gordon,17000,Comedy|Family,Chloë Grace Moretz,Diary of a Wimpy Kid ,32002,20154,1,cheese|diary|friend|middle school|school,English,USA,15000000,2010,6.2,1.85,0
Andrés Muschietti,100,127,250,Megan Charpentier,1000,Fantasy|Horror,Javier Botet,Mama ,134869,1949,1,aunt|children|death of sister|forest|hiding in a closet,English,Canada,20000000,2013,6.2,1.85,57000
John Carpenter,101,0,598,Donald Pleasence,2000,Horror|Thriller,Jamie Lee Curtis,Halloween ,157857,4400,0,halloween|masked killer|michael myers|slasher|trick or treat,English,USA,300000,1978,7.9,2.35,12000
Harold Ramis,98,11000,624,Randy Quaid,816,Adventure|Comedy,Beverly D'Angelo,National Lampoon's Vacation ,71183,3617,1,amusement park|dog|family vacation|national lampoon series|vacation,English,USA,15000000,1983,7.4,1.85,0
Jeff Tremaine,102,79,27,Georgina Cates,925,Comedy,Jackson Nicoll,Bad Grandpa ,77724,1018,0,child beauty pageant|grandson|hidden camera|jackass|road trip,English,USA,15000000,2013,6.6,1.85,26000
Stephen Frears,94,350,39,Sylvia Syms,326,Biography|Drama,Roger Allam,The Queen ,85333,486,0,monarchy|prime minister|princess diana|queen|speech,English,UK,9800000,2006,7.3,1.85,0
Tim Burton,92,13000,217,Jeffrey Jones,925,Comedy|Fantasy,Catherine O'Hara,Beetlejuice ,189413,1953,3,attic|ghost|surrealism|teenage girl|yuppie,English,USA,15000000,1988,7.5,1.85,15000
Tyler Perry,113,0,607,Tasha Smith,2000,Comedy|Drama,Michael Jai White,Why Did I Get Married? ,9811,6510,8,marriage|overweight|psychologist|secret|work,English,USA,15000000,2007,5.6,1.85,1000
Gillian Armstrong,115,44,902,Kirsten Dunst,23000,Drama|Family|Romance,Christian Bale,Little Women ,36624,29370,4,civil war|female protagonist|post civil war|reference to friedrich schiller|u.s. civil war,English,USA,15000000,1994,7.3,1.85,0
James Watkins,95,43,259,Roger Allam,11000,Drama|Fantasy|Horror|Thriller,Daniel Radcliffe,The Woman in Black ,139749,11946,0,afterlife|baby boy|bird in a cage|ghost|reunited family,English,UK,17000000,2012,6.4,2.35,29000
Simon West,87,165,383,Tessa Thompson,1000,Horror|Thriller,Madeline Carroll,When a Stranger Calls ,34711,2452,0,babysitting|cell phone|high school|nightmare|teenager,English,USA,15000000,2006,5.0,2.35,0
Shawn Levy,88,189,799,Donald Faison,934,Adventure|Comedy|Family,Frankie Muniz,Big Fat Liar ,29008,3707,1,brunette|film producer|liar|prank|stunt,English,USA,15000000,2002,5.4,1.85,896
Michael Cimino,183,517,652,Meryl Streep,22000,Drama|War,Robert De Niro,The Deer Hunter ,232577,34025,2,escape|friend|party|pittsburgh steelers|vietnam,English,UK,15000000,1978,8.2,2.35,11000
Barry Levinson,97,272,957,Kirsten Dunst,22000,Comedy|Drama,Robert De Niro,Wag the Dog ,67604,29252,0,death|election|hollywood|president|scandal,English,USA,15000000,1997,7.1,1.85,12000
Jim Fall,94,13,566,Adam Lamberg,925,Adventure|Comedy|Family|Music|Romance,Clayton Snyder,The Lizzie McGuire Movie ,27580,3423,1,best friend|roma|singer|spaghetti|teenager,English,USA,17000000,2003,5.3,2.35,0
Ric Roman Waugh,112,29,874,Harold Perrineau,12000,Action|Drama|Thriller,Dwayne Johnson,Snitch ,64747,15800,1,cigarette smoking|dea|drugs|inspired by true events|undercover,English,USA,15000000,2013,6.5,2.35,12000
Michael Dougherty,98,66,562,Conchata Ferrell,3000,Comedy|Fantasy|Horror,Adam Scott,Krampus ,29867,4567,0,christmas|german|holiday|krampus|santa claus,English,USA,15000000,2015,6.2,2.35,27000
Robert Rodriguez,104,0,1000,Salma Hayek,4000,Horror|Mystery|Sci-Fi,Jordana Brewster,The Faculty ,92074,12170,1,alien|high school|ohio|photographer|water,English,USA,15000000,1998,6.4,1.85,0
Brian Gibson,118,13,2,Virginia Capers,90,Biography|Drama|Music,Rae'Ven Kelly,What's Love Got to Do with It ,13442,114,0,abusive husband|love|singer|tina turner|violence,English,USA,,1993,7.2,1.85,0
James Mangold,120,446,1000,Sylvester Stallone,22000,Crime|Drama|Thriller,Robert De Niro,Cop Land ,69576,40117,3,corruption|faked death|falling off a roof|internal affairs|nypd,English,USA,10000000,1997,6.9,1.85,2000
Joel Gallen,99,11,971,JoAnna Garcia Swisher,11000,Comedy,Chris Evans,Not Another Teen Movie ,80305,15369,0,cheerleader|foreign exchange student|incestuous desire|incestuous kiss|prom,English,USA,16000000,2001,5.7,1.85,0
David Ayer,109,453,953,Anna Kendrick,15000,Crime|Drama|Thriller,Jake Gyllenhaal,End of Watch ,181025,27788,2,lapd|police|police officer|south central los angeles|street gang,English,USA,7000000,2012,7.7,1.85,38000
Cameron Crowe,105,488,13000,Bradley Cooper,15000,Comedy|Drama|Romance,Emma Stone,Aloha ,39782,44037,1,box office flop|critically bashed|hawaii|one word title|written by director,English,USA,37000000,2015,5.4,1.85,11000
Rob Cohen,106,357,883,Leslie Bibb,23000,Action|Crime|Drama|Thriller,Paul Walker,The Skulls ,26846,26652,0,college|friend|ivy league|secret society|suicide,English,USA,15000000,2000,5.6,1.85,0
James Marsh,123,120,149,Emily Watson,13000,Biography|Drama|Romance,Eddie Redmayne,The Theory of Everything ,265507,14100,0,based on memoir|cambridge university|husband wife relationship|lou gehrig's disease|physicist,English,UK,15000000,2014,7.7,2.35,90000
John Whitesell,86,14,685,Regina Hall,833,Comedy|Crime,Greg Grunberg,Malibu's Most Wanted ,15939,4435,3,los angeles california|person in car trunk|racial impersonation|south asian|street gang,English,USA,16000000,2003,5.1,2.35,0
Matt Williams,120,18,944,James Frain,20000,Comedy|Drama|Romance,Natalie Portman,Where the Heart Is ,27044,22383,2,birth|oklahoma|photographer|tennessee|wal mart,English,USA,15000000,2000,6.8,1.85,0
David Lean,227,767,87,José Ferrer,607,Adventure|Biography|Drama|History|War,Claude Rains,Lawrence of Arabia ,192775,1076,8,arab|british military|desert|ottoman empire|t.e. lawrence,English,UK,15000000,1962,8.4,2.2,11000
Rob Zombie,119,0,593,Tyler Mane,908,Horror,Scout Taylor-Compton,Halloween II ,36372,3226,0,halloween|hospital|michael myers|rampage|vomiting,English,USA,15000000,2009,4.9,1.85,3000
Jean-Marc Vallée,115,212,612,Kevin Rankin,2000,Adventure|Biography|Drama,Michiel Huisman,Wild ,86664,4896,1,female protagonist|grief|hiking|loss of mother|mother daughter relationship,English,USA,15000000,2014,7.1,2.35,38000
Dennis Iliadis,114,29,616,Monica Potter,956,Crime|Horror|Thriller,Tony Goldwyn,The Last House on the Left ,67822,3861,0,kidnapping|lake|microwave oven|psychopath|woods,English,USA,15000000,2009,6.6,1.85,0
Clare Kilner,90,6,458,Debra Messing,1000,Comedy|Romance,Jack Davenport,The Wedding Date ,38248,2666,0,chick flick|escort|male escort|wedding|wedding date,English,USA,15000000,2005,6.1,1.85,0
Rick Rosenthal,94,28,731,Thomas Ian Nicholas,2000,Comedy|Horror|Thriller,Jamie Lee Curtis,Halloween: Resurrection ,26905,5440,5,cult film|halloween|killer|michael myers|serial killer,English,USA,15000000,2002,4.1,2.35,0
Louis Leterrier,106,255,850,Jason Flemyng,14000,Action|Adventure|Fantasy,Liam Neeson,Clash of the Titans ,229687,18003,0,famous line|hand to hand combat|kraken|rape|zeus,English,USA,125000000,2010,5.8,2.35,15000
Rob Reiner,98,0,594,Carol Kane,18000,Adventure|Family|Fantasy|Romance,Robin Wright,The Princess Bride ,294163,20060,0,fairy tale|giant|pirate|princess|true love,English,USA,16000000,1987,8.1,1.85,33000
Denzel Washington,126,18000,697,Jurnee Smollett-Bell,18000,Biography|Drama,Denzel Washington,The Great Debaters ,47626,22745,1,college|debate|student|texas|wiley college,English,USA,15000000,2007,7.6,2.35,0
Nicolas Winding Refn,100,0,228,Albert Brooks,33000,Crime|Drama,Ryan Gosling,Drive ,431578,34337,0,kissing in an elevator|mythical hero|neo noir|protective male|silent protagonist,English,USA,15000000,2011,7.8,2.35,81000
Sara Sugarman,89,10,231,Carol Kane,811,Comedy|Family|Music|Romance,Adam Garcia,Confessions of a Teenage Drama Queen ,23408,2167,8,band|friend|new york city|suburb|teenager,English,Germany,15000000,2004,4.6,1.85,810
Nicholas Hytner,111,13,106,Tim Daly,818,Comedy|Drama|Romance,Liam Aiken,The Object of My Affection ,15582,1450,0,baby|dancing|gay|name calling|penis slur,English,USA,15000000,1998,6.0,1.85,849
Juan Carlos Fresnadillo,100,35,306,Harold Perrineau,10000,Drama|Horror|Sci-Fi,Jeremy Renner,28 Weeks Later ,212167,11471,1,paris france|rage|sniper|u.s. army|zombie apocalypse,English,UK,15000000,2007,7.0,1.85,0
Thomas Carter,115,49,100,Matthew Daddario,116,Drama|Family|Sport,Jessie T. Usher,When the Game Stands Tall ,12596,525,0,coach|high school football,English,USA,15000000,2014,6.7,1.85,0
Wayne Wang,106,61,649,Luke Benward,907,Comedy|Drama|Family,Cicely Tyson,Because of Winn-Dixie ,8427,3462,5,10 year old|dog|florida|girl|supermarket,English,USA,14000000,2005,6.4,1.85,1000
Gina Prince-Bythewood,124,107,865,Sanaa Lathan,1000,Drama|Romance|Sport,Alfre Woodard,Love & Basketball ,14322,5135,0,basketball movie|female basketball player|high school|nba|title directed by female,English,USA,15000000,2000,7.2,1.85,0
George Armitage,107,5,141,Michael Cudlitz,893,Action|Comedy|Crime|Romance|Thriller,Minnie Driver,Grosse Pointe Blank ,73347,2044,1,assassin|high school|high school reunion|reunion|suburb,English,USA,15000000,1997,7.4,1.85,0
Phil Traill,99,3,628,Katy Mixon,14000,Comedy|Romance,Bradley Cooper,All About Steve ,33088,16461,3,blind date|crossword puzzle|eccentric|fall|mine shaft,English,USA,15000000,2009,4.8,1.85,0
Joe Berlinger,90,31,162,Erica Leerhsen,193,Adventure|Fantasy|Horror|Mystery|Thriller,Kim Director,Book of Shadows: Blair Witch 2 ,28964,608,0,convenience store|digit in title|punctuation in title|violence|witch,English,USA,15000000,2000,4.0,1.85,949
Andrew Fleming,101,26,266,Rachel True,838,Drama|Fantasy|Horror|Thriller,Christine Taylor,The Craft ,57140,1812,0,coven|occult|outcast|spell|witch,English,USA,15000000,1996,6.2,1.85,6000
Woody Allen,119,11000,400,Mark Gatiss,19000,Drama|Romance|Thriller,Scarlett Johansson,Match Point ,166269,20391,3,extramarital affair|infidelity|irony of fate|surprise ending|tennis,English,UK,15000000,2005,7.7,1.85,0
Elizabeth Allen Rosenbaum,103,20,125,Hutch Dano,512,Adventure|Comedy|Family|Fantasy,Sierra McCormick,Ramona and Beezus ,13874,1002,2,aunt|cat|death of pet|girl|no opening credits,English,USA,15000000,2010,6.7,2.35,0
James Ivory,134,133,258,Peter Vaughan,12000,Drama|Romance,Anthony Hopkins,The Remains of the Day ,45703,12749,1,butler|housekeeper|manor|servant|service,English,UK,11500000,1993,7.9,2.35,0
Paul Thomas Anderson,155,0,170,Nicole Ari Parker,3000,Drama,Don Cheadle,Boogie Nights ,189032,3677,15,1970s|adult entertainment industry|nightclub|porn industry|san fernando valley california,English,USA,15000000,1997,7.9,2.35,0
Robert Harmon,94,11,232,Rosanna Arquette,1000,Action|Crime|Drama|Romance|Thriller,Kieran Culkin,Nowhere to Run ,17074,2210,0,business|escaped convict|farm|motorcycle|widow,English,USA,15000000,1993,5.5,1.85,466
Michael Mayer,95,15,461,Danny Pino,1000,Adventure|Drama|Family,Alison Lohman,Flicka ,6095,3845,0,father son relationship|horse|horse ranch|ranch|wild mustang,English,USA,15000000,2006,6.2,2.35,1000
Martin Weisz,89,7,399,Daniella Alonso,919,Horror,Jeff Kober,The Hills Have Eyes II ,49721,2559,0,desert|fight|hill|murder|mutant,English,USA,15000000,2007,5.1,2.35,0
John Ottman,97,83,579,Joey Lawrence,912,Horror|Mystery|Thriller,Loretta Devine,Urban Legends: Final Cut ,13048,2682,2,film set|movie set|sequel|slow motion|urban legend,English,USA,14000000,2000,4.1,2.35,243
Jay Russell,90,13,613,Sissy Spacek,882,Drama|Family|Fantasy|Romance,William Hurt,Tuck Everlasting ,17983,2661,2,fountain of youth|immortality|secret|woods|young man,English,USA,15000000,2002,6.7,2.35,0
John Bonito,92,8,129,Firass Dirani,472,Action|Drama|Thriller,Kelly Carlson,The Marine ,27486,1045,1,beating|marine|muscleman|tied up|tough guy,English,USA,20000000,2006,4.7,1.85,0
Peter Atencio,100,10,415,Will Forte,826,Action|Comedy,Nia Long,Keanu ,15385,2958,2,car chase|gangsta|gun fight|hitman|kitten,English,USA,15000000,2016,6.4,2.35,0
Shana Feste,117,19,461,Cinda McCain,3000,Drama|Music,Leighton Meester,Country Strong ,14814,4204,4,country music|panties|pink panties|relapse|songwriter,English,Official site,15000000,2010,6.3,2.35,0
David Nutter,84,119,918,Ethan Embry,989,Horror|Mystery|Sci-Fi|Thriller,Bruce Greenwood,Disturbing Behavior ,17328,4660,3,blue ribbon|high school|jacket|jock|yogurt,English,Australia,15000000,1998,5.5,1.85,673
Derek Cianfrance,140,310,619,Ben Mendelsohn,33000,Crime|Drama|Thriller,Ryan Gosling,The Place Beyond the Pines ,187170,34413,3,bank|carnival|motorcycle|police|rookie cop,English,USA,15000000,2012,7.3,2.35,47000
Roger Donaldson,108,79,537,Akie Kotabe,775,Action|Crime|Thriller,Luke Bracey,The November Man ,50056,3033,2,critically bashed|premarital sex|sex scene|sex standing up|stripper,English,USA,15000000,2014,6.3,2.35,0
Stephan Elliott,109,11,159,Patrick Bergin,471,Drama|Mystery|Thriller,Jason Priestley,Eye of the Beholder ,13320,1069,1,chicago illinois|false identity|femme fatale|new york city|spying,English,Canada,15000000,1999,4.9,2.35,327
Kathryn Bigelow,131,0,383,Christian Camargo,10000,Drama|History|Thriller|War,Jeremy Renner,The Hurt Locker ,332065,11114,0,army|bomb|dangerous job|death|iraq,English,USA,15000000,2008,7.6,1.85,16000
Mark L. Lester,114,73,563,George C. Scott,695,Action|Horror|Sci-Fi|Thriller,Heather Locklear,Firestarter ,22797,3444,1,captain|experiment|fire|psychic|secret government agency,English,USA,15000000,1984,6.0,2.35,0
Andrew Dominik,97,181,748,Sam Shepard,11000,Crime|Thriller,Brad Pitt,Killing Them Softly ,111625,14025,1,exploding car|hit by a car|poker game|punched in the face|shot to death,English,USA,15000000,2012,6.2,2.35,20000
Anton Corbijn,122,210,123,Nina Hoss,22000,Crime|Drama|Thriller,Philip Seymour Hoffman,A Most Wanted Man ,57210,22574,3,intelligence|intelligence agency|secret service|surveillance camera|war on terror,English,UK,15000000,2014,6.8,2.35,13000
Tom Green,87,374,484,Harland Williams,826,Comedy,Rip Torn,Freddy Got Fingered ,39788,2689,1,animator|bamboo cane|cartoonist|sausage|slacker,English,USA,15000000,2001,4.5,1.85,0
Mike Nawrocki,85,12,23,Cam Clarke,354,Adventure|Animation|Comedy|Family,Yuri Lowenthal,The Pirates Who Don't Do Anything: A VeggieTales Movie ,2037,568,0,17th century|king|pirate|vegetable|waiter,English,USA,15000000,2008,5.7,1.85,175
Catherine Owens,85,0,44,The Edge,468,Documentary|Music,Bono,U2 3D ,2673,646,0,3d in title|digit in title|rock band|rocker|u2,English,USA,,2007,8.4,1.78,116
Douglas Aarniokoski,101,36,377,Adrian Paul,1000,Action|Adventure|Fantasy|Sci-Fi,Christopher Lambert,Highlander: Endgame ,16340,2764,1,battle|explosion|immortal|revenge|sequel to cult film,English,USA,15000000,2000,4.6,2.35,356
Bryan Barber,121,16,526,Faizon Love,907,Crime|Drama|Musical|Romance,Cicely Tyson,Idlewild ,4603,3633,4,gangster|playing piano|song and dance|speakeasy|written and directed by cast member,English,USA,15000000,2006,6.2,2.35,489
Lone Scherfig,107,92,358,Jim Sturgess,11000,Drama|Romance,Anne Hathaway,One Day ,106111,17627,0,23 year time span|accidental death|best friend|loss of loved one|male female friendship,English,USA,15000000,2011,7.0,2.35,49000
Drew Barrymore,111,0,727,Jimmy Fallon,796,Drama|Sport,Daniel Stern,Whip It ,55665,2633,1,beauty pageant|friend|pageant|roller derby|texas,English,USA,15000000,2009,6.9,2.35,10000
Brian Koppelman,92,34,366,Tom Noonan,14000,Crime|Drama|Thriller,Vin Diesel,Knockaround Guys ,19768,15644,1,mob|mobster|money|montana|sheriff,English,USA,,2001,6.1,2.35,566
James Foley,97,164,308,Brian Van Holt,436,Crime|Thriller,Louis Lombardi,Confidence ,30643,1172,3,con|grifter|lap dance|organized crime|shot in the forehead,English,USA,15000000,2003,6.7,2.35,622
Albert Brooks,97,745,745,Bradley Whitford,12000,Comedy,Jeff Bridges,The Muse ,9294,15209,2,directed by star|muse|satire|screenwriter|tiffany's,English,USA,15000000,1999,5.6,1.37,251
Irwin Winkler,125,34,65,Keith Allen,427,Biography|Drama|Music|Musical,Kevin McNally,De-Lovely ,9649,729,7,cole porter|composer|love|party|tears,English,USA,20000000,2004,6.6,2.35,1000
Woody Allen,124,11000,563,Larry David,11000,Comedy|Drama|Romance,Woody Allen,New York Stories ,13692,12685,0,12 year old|artist|hotel|three word title|written and directed by cast member,English,USA,15000000,1989,6.4,1.85,877
Steve Gomer,76,9,47,Kyla Pratt,595,Adventure|Family,Trevor Morgan,Barney's Great Adventure ,2724,1139,0,apostrophe in title|critically bashed|hit on the head with a ball|punctuation in title|tyrannosaurus rex,English,Canada,15000000,1998,2.8,1.85,436
RZA,107,561,353,RZA,746,Action,Rick Yune,The Man with the Iron Fists ,53471,2377,3,blacksmith|box office flop|chop socky|critically bashed|village,English,USA,15000000,2012,5.4,2.35,29000
Dean Parisot,91,23,629,Jake Busey,925,Comedy|Drama|Romance,Catherine O'Hara,Home Fries ,7159,2913,2,baby|infidelity|pilot|pregnant|waitress,English,USA,15000000,1998,5.0,1.85,247
Mark Piznarski,96,4,670,Chris Klein,989,Drama|Romance,Bruce Greenwood,Here on Earth ,7403,3142,1,diner|love|private school|school|small town,English,USA,15000000,2000,5.1,1.85,648
Terry Gilliam,142,0,1000,Bob Hoskins,22000,Drama|Sci-Fi,Robert De Niro,Brazil ,152306,29475,0,black comedy|bureaucracy|dream|terrorist|wrongful arrest,English,UK,15000000,1985,8.0,1.85,16000
Sean McNamara,103,80,782,Rebecca De Mornay,1000,Family|Music|Romance,Oliver James,Raise Your Voice ,22649,4676,0,music school|scholarship|small town|stage fright|three word title,English,USA,15000000,2004,5.9,2.35,1000
,60,,186,Nicole de Boer,443,Drama|Fantasy|Mystery|Sci-Fi,David Ogden Stiers,The Dead Zone             ,7122,981,1,psychic|psychic power|psychometry|spin off|supernatural power,English,Canada,,,7.5,,576
Joel Coen,117,0,12000,Jeff Bridges,22000,Comedy|Crime,Philip Seymour Hoffman,The Big Lebowski ,537419,47728,1,death|drug|nihilism|rug|white russian,English,USA,15000000,1998,8.2,1.85,35000
Craig Brewer,116,153,539,Michael Raymond-James,3000,Drama|Music,Justin Timberlake,Black Snake Moan ,52421,5012,0,breasts|nipples visible through clothing|nudity|rear entry sex|white panties,English,USA,15000000,2006,7.0,2.35,0
Ron Shelton,118,41,274,Dash Mihok,556,Crime|Drama|Romance|Thriller,Khandi Alexander,Dark Blue ,17261,1873,1,corrupt|criminal|investigation|lapd|police,English,USA,15000000,2002,6.6,2.35,455
Michael Winterbottom,108,187,254,Archie Panjabi,11000,Biography|Drama|History|Thriller|War,Angelina Jolie Pitt,A Mighty Heart ,24150,12178,0,fbi|journalist|missing|pakistan|reporter,English,USA,16000000,2007,6.7,2.35,923
David Raynr,94,9,612,Jodi Lyn O'Keefe,11000,Comedy|Drama|Romance,James Franco,Whatever It Takes ,8055,13524,4,male objectification|manipulative behavior|modern day adaptation|narcissistic woman|promiscuous woman,English,USA,15000000,2000,5.5,1.85,816
Mort Nathan,97,2,461,Lin Shaye,890,Comedy,Vivica A. Fox,Boat Trip ,26598,3161,4,gay|hot air balloon|rejecting a marriage proposal|talking to a dog|vomiting on someone,English,USA,20000000,2002,4.9,1.85,1000
Oliver Parker,97,32,692,Tom Wilkinson,14000,Comedy|Drama|Romance,Colin Firth,The Importance of Being Earnest ,18966,16502,5,comedy of manners|false identity|farce|love|period drama,English,UK,15000000,2002,6.9,2.35,0
Dan Curtis,99,45,224,Campbell Scott,1000,Fantasy|Romance,Jennifer Jason Leigh,The Love Letter ,1465,2166,1,antique|desk|letter|love|time travel,English,USA,,1998,7.4,1.33,515
Wil Shriner,91,6,596,Neil Flynn,8000,Adventure|Comedy|Family,Logan Lerman,Hoot ,6562,10732,0,fight|florida|montana|owl|school,English,USA,15000000,2006,5.6,1.85,647
Martin McDonagh,107,454,39,Anna Madeley,65,Comedy|Crime|Drama,Elizabeth Berrington,In Bruges ,307639,173,1,bruges|bullet|hope|irish|tourist,English,UK,15000000,2008,8.0,2.35,32000
Tina Gordon Chism,95,24,426,S. Epatha Merkerson,931,Comedy|Romance,Tyler James Williams,Peeples ,4065,3322,6,african american,English,USA,15000000,2013,5.3,2.35,0
Peter Cattaneo,102,11,1000,Bradley Cooper,15000,Comedy|Music,Emma Stone,The Rocker ,32311,33153,4,20 years later|drummer|hdtv|rock band|rock star,English,USA,15000000,2008,6.2,1.85,0
Vicky Jenson,88,96,360,Zach Gilford,24000,Comedy|Romance,J.K. Simmons,Post Grad ,11498,25637,1,graduation|graduation speech|title directed by female|tv studio|unemployment,English,USA,15000000,2009,5.3,1.85,0
Gus Van Sant,106,835,363,Hal Holbrook,13000,Drama,Matt Damon,Promised Land ,30284,14544,1,corporate greed|corporation|natural gas|salesman|small town,English,USA,15000000,2012,6.6,1.85,10000
Woody Allen,92,11000,386,Michael McKean,860,Comedy|Romance,Larry David,Whatever Works ,58967,2717,1,atheist|limp|quantum mechanics|religion|runaway,English,USA,15000000,2009,7.2,1.85,10000
Mary Lambert,105,52,275,Susan Ward,477,Drama|Mystery|Thriller,Matthew Settle,The In Crowd ,3668,2312,4,clique|country club|female protagonist|lip gloss|title directed by female,English,USA,15000000,2000,4.6,1.85,157
Tommy Lee Jones,107,0,289,Dwight Yoakam,572,Adventure|Crime|Drama|Mystery|Western,Levon Helm,Three Burials ,34194,1627,2,cemetery|friend|journey|mexico|promise,English,France,15000000,2005,7.5,2.35,0
Peter Kassovitz,120,0,693,Mark Margolis,49000,Drama|War,Robin Williams,Jakob the Liar ,12601,51657,2,german|ghetto|hope|nazi|radio,English,France,15000000,1999,6.5,1.85,0
Shane Black,103,1000,611,Corbin Bernsen,21000,Comedy|Crime|Mystery,Robert Downey Jr.,Kiss Kiss Bang Bang ,175962,23932,2,actor|detective sergeant|hotel|nightclub|thief,English,USA,15000000,2005,7.6,2.35,0
Rodman Flender,92,6,577,Fred Willard,890,Comedy|Fantasy|Horror|Thriller,Vivica A. Fox,Idle Hands ,33745,3654,0,breasts|female frontal nudity|nude woman murdered|slow motion scene|trailer home,English,USA,20000000,1999,6.2,1.85,0
David Lynch,147,0,669,Robert Forster,6000,Drama|Mystery|Thriller,Naomi Watts,Mulholland Drive ,235992,8484,1,amnesia|car accident|female protagonist|lesbian sex|loss of memory,English,France,15000000,2001,8.0,1.85,16000
Katja von Garnier,98,18,220,Agnes Bruckner,837,Drama|Fantasy|Horror|Romance,Olivier Martinez,Blood and Chocolate ,15388,1675,0,colorado|love|murder|rocky mountains|werewolf,English,USA,,2007,5.5,2.35,0
Woody Allen,98,11000,557,Naomi Watts,12000,Comedy|Drama|Romance,Anthony Hopkins,You Will Meet a Tall Dark Stranger ,36145,19310,0,call girl|charlatan|fortune teller|manuscript|writer,English,USA,22000000,2010,6.3,1.85,0
Mark Romanek,103,132,844,Charlie Rowe,10000,Drama|Romance|Sci-Fi,Andrew Garfield,Never Let Me Go ,109873,12867,0,boarding school|childhood|love|love triangle|organ donation,English,UK,15000000,2010,7.2,2.35,33000
