duration,actor_2_name,actor_1_facebook_likes,genres,movie_title,cast_total_facebook_likes,num_user_for_reviews,language,country,actor_2_facebook_likes,aspect_ratio,movie_facebook_likes
90,Madison Lintz,523,Fantasy|Horror|Mystery|Thriller,After ,1553,27,English,USA,385,2.35,1000
67,Lorraine Ziff,260000,Drama|Thriller,Treachery ,283939,5,English,USA,21000,,0
94,Justin Kirk,956,Comedy|Drama,Walter ,4767,19,English,USA,945,,0
81,Edward Everett Horton,610,Comedy|Musical|Romance,Top Hat ,824,98,English,USA,172,1.37,1000
81,Joshua Leonard,170,Horror,The Blair Witch Project ,399,3400,English,USA,170,1.33,0
215,Jimi Hendrix,262,Documentary|History|Music,Woodstock ,778,63,English,USA,227,2.2,0
83,Barry Dennen,119,Comedy,The Kentucky Fried Movie ,190,109,English,USA,29,1.85,0
106,David A.R. White,602,Action|Crime|Drama,Mercy Streets ,1281,16,English,USA,266,1.85,12
103,Matthew Feeney,23,Mystery|Thriller,Arnolds Park ,85,4,English,USA,20,1.78,11
90,Jason London,919,Drama,Broken Vessels ,2288,19,English,USA,711,1.85,51
88,Angela Nordeng,601,Crime|Drama,Water & Power ,2241,,English,USA,371,,358
105,Garba Touré,0,Documentary,They Will Have to Kill Us First ,0,2,French,UK,0,,34
115,Colin Andrews,0,Documentary,Crop Circles: Quest for Truth ,0,13,English,USA,0,,32
90,Steven Michael Quezada,595,Action|Drama|Thriller,Light from the Darkroom ,1754,1,English,USA,412,,9
102,Félix Moati,541,Comedy|Drama,Irreplaceable ,553,1,French,France,8,,36
98,Annabella Sciorra,587,Thriller,The Maid's Room ,1707,9,English,USA,448,,128
87,Ringo Starr,785,Comedy|Musical,A Hard Day's Night ,2538,219,English,UK,725,1.75,0
80,,,Documentary,The Harvest/La Cosecha ,0,2,English,USA,,,88
88,Sally Kirkland,2000,Drama|Romance,Love Letters ,2996,9,English,USA,433,,7
83,Spela Colja,0,Comedy,Julija in alfa Romeo ,0,2,Slovenian,Slovenia,0,2.35,18
122,Ken Bevel,848,Drama|Romance,Fireproof ,1164,215,English,USA,153,1.85,0
115,Pant Shirt Baba,0,Biography|Documentary|Drama,Faith Connections ,0,3,Hindi,India,0,1.85,126
86,Peter Breck,407,Adventure|Family|Romance,Benji ,1090,36,English,USA,189,1.85,816
79,Saul Stein,48,Adventure|Biography|Drama|Horror|Thriller,Open Water ,67,916,English,USA,10,1.85,0
87,Matt Jones,833,Comedy,High Road ,2295,3,English,USA,523,,244
97,Hoke Howell,423,Horror|Sci-Fi,Kingdom of the Spiders ,516,84,English,USA,23,1.85,0
105,Eva Carrozza,0,Documentary|Family|Music,Mad Hot Ballroom ,0,65,English,USA,0,1.85,588
89,Joe Lo Truglio,22000,Comedy|Drama,The Station Agent ,24419,286,English,USA,833,1.85,0
120,Sean Michael Afable,984,Drama,To Save a Life ,2563,55,English,USA,801,2.35,0
94,Bill Clinton,196,Documentary,Wordplay ,382,43,English,USA,184,1.66,694
108,Vince McMahon,54,Biography|Documentary|Sport,Beyond the Mat ,194,80,English,USA,44,1.85,491
102,Lincoln Hoppe,69,Comedy|Drama|Romance,The Singles Ward ,161,53,English,USA,24,,43
83,Zubaida Sahar,30,Drama,Osama ,30,77,Dari,Afghanistan,0,1.85,0
93,Peter Riegert,399,Documentary,Sholem Aleichem: Laughing in the Darkness ,660,5,English,USA,169,16.0,287
86,Ari Gold,328,Drama|Music,Groove ,407,74,English,USA,27,1.85,0
101,Big Budah,69,Comedy|Crime|Family,The R.M. ,155,34,English,USA,34,,44
111,William Katt,980,Drama,Twin Falls Idaho ,3166,87,English,USA,505,1.85,180
90,Scott Mechlowicz,710,Crime|Drama,Mean Creek ,2655,154,English,USA,634,1.85,1000
86,Heather Matarazzo,659,Crime|Drama|Romance,Hurricane Streets ,2322,21,English,USA,529,1.85,51
98,Bill Duke,22000,Comedy|Romance,Never Again ,24382,34,English,USA,1000,1.85,139
91,LisaRaye McCoy,597,Crime|Drama|Thriller,Civil Brand ,2555,24,English,USA,485,1.85,86
91,Seymour Cassel,778,Comedy|Drama,Lonesome Jim ,1440,53,English,USA,327,1.85,238
90,Anna Kendrick,10000,Comedy|Drama|Romance,Drinking Buddies ,20480,106,English,USA,10000,2.35,0
88,Ricky Jay,342,Documentary,Deceptive Practice: The Mysteries and Mentors of Ricky Jay ,483,7,English,USA,79,,590
202,Minoru Chiaki,304,Action|Adventure|Drama,Seven Samurai ,338,596,Japanese,Japan,8,1.37,11000
89,Greg Speirs,14,Documentary|Sport,The Other Dream Team ,44,9,English,USA,9,,0
97,Tina Louise,11000,Comedy|Music|Romance,Johnny Suede ,11839,24,English,Switzerland,422,1.85,344
84,Jake Sandvig,239,Comedy,Finishing the Game: The Search for a New Bruce Lee ,734,12,English,USA,172,1.85,155
