director_name,num_critic_for_reviews,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,language,country,budget,title_year,aspect_ratio,movie_facebook_likes
Robert Rodriguez,76,0,640,Joel McHale,Alexa PenaVega,Spy Kids: All the Time in the World in 4D ,15866,4311,5,http://www.imdb.com/title/tt1517489/?ref_=fn_tt_tt_1,83,English,USA,27000000,2011,1.85,0
Jodie Foster,268,0,638,Jack O'Connell,Julia Roberts,Money Monster ,19611,10894,1,http://www.imdb.com/title/tt2241351/?ref_=fn_tt_tt_1,103,English,USA,27000000,2016,2.35,0
Ronny Yu,95,31,57,Junix Inocian,Meat Loaf,Formula 51 ,42876,1044,2,http://www.imdb.com/title/tt0227984/?ref_=fn_tt_tt_1,167,English,UK,28000000,2001,2.35,0
Joel Schumacher,78,541,638,Philip Seymour Hoffman,Robert De Niro,Flawless ,14612,46022,1,http://www.imdb.com/title/tt0155711/?ref_=fn_tt_tt_1,105,English,USA,15000000,1999,1.85,0
Renny Harlin,127,212,749,Clifton Collins Jr.,LL Cool J,Mindhunters ,49405,4186,0,http://www.imdb.com/title/tt0297284/?ref_=fn_tt_tt_1,226,English,USA,27000000,2004,2.35,2000
Barry Levinson,137,272,17000,Robin Wright,Robert De Niro,What Just Happened ,23767,71973,1,http://www.imdb.com/title/tt0486674/?ref_=fn_tt_tt_1,111,English,USA,25000000,2008,2.35,845
Norman Jewison,54,278,387,Colin Salmon,Charlotte Rampling,The Statement ,4257,3286,4,http://www.imdb.com/title/tt0340376/?ref_=fn_tt_tt_1,52,English,Canada,23000000,2003,1.85,188
Kenneth Branagh,38,0,3,Amy Carson,Kim-Marie Woodhouse,The Magic Flute ,926,24,1,http://www.imdb.com/title/tt0475331/?ref_=fn_tt_tt_1,19,English,France,27000000,2006,2.35,359
Steve Carr,167,41,328,Adhir Kalyan,Erick Avari,Paul Blart: Mall Cop ,84209,2954,1,http://www.imdb.com/title/tt1114740/?ref_=fn_tt_tt_1,201,English,USA,26000000,2009,1.85,0
Mark Waters,129,70,512,Julie Gonzalo,Jamie Lee Curtis,Freaky Friday ,96693,3984,2,http://www.imdb.com/title/tt0322330/?ref_=fn_tt_tt_1,271,English,USA,26000000,2003,1.85,0
Judd Apatow,217,0,218,Romany Malco,Steve Carell,The 40-Year-Old Virgin ,313797,8341,1,http://www.imdb.com/title/tt0405422/?ref_=fn_tt_tt_1,546,English,USA,26000000,2005,1.85,0
John Madden,134,108,239,Martin Clunes,Tom Wilkinson,Shakespeare in Love ,175524,1690,0,http://www.imdb.com/title/tt0138097/?ref_=fn_tt_tt_1,752,English,USA,25000000,1998,2.35,0
Scott Frank,253,71,313,Boyd Holbrook,Liam Neeson,A Walk Among the Tombstones ,87950,15428,0,http://www.imdb.com/title/tt0365907/?ref_=fn_tt_tt_1,207,English,USA,28000000,2014,2.35,15000
Ivan Reitman,46,425,344,Cathy Moriarty,Richard Tyson,Kindergarten Cop ,107801,2403,4,http://www.imdb.com/title/tt0099938/?ref_=fn_tt_tt_1,109,English,USA,26000000,1990,1.85,0
David Gordon Green,232,234,919,Gary Cole,James Franco,Pineapple Express ,255257,15590,3,http://www.imdb.com/title/tt0910936/?ref_=fn_tt_tt_1,374,English,USA,27000000,2008,2.35,0
Andy Tennant,92,72,343,Dougray Scott,Anjelica Huston,Ever After: A Cinderella Story ,57958,2747,1,http://www.imdb.com/title/tt0120631/?ref_=fn_tt_tt_1,345,English,USA,26000000,1998,2.35,0
Kevin Costner,153,0,648,Michael Jeter,Robert Duvall,Open Range ,54096,5458,0,http://www.imdb.com/title/tt0316356/?ref_=fn_tt_tt_1,494,English,USA,22000000,2003,2.35,0
Joel Schumacher,49,541,442,Oliver Platt,Julia Roberts,Flatliners ,62037,10493,5,http://www.imdb.com/title/tt0099582/?ref_=fn_tt_tt_1,148,English,USA,26000000,1990,2.35,0
,79,,424,Kaitlin Olson,Rob McElhenney,It's Always Sunny in Philadelphia             ,133415,1784,5,http://www.imdb.com/title/tt0472954/?ref_=fn_tt_tt_1,151,English,USA,,,1.33,0
Richard Attenborough,56,0,14,Dirk Bogarde,Ryan O'Neal,A Bridge Too Far ,40277,669,14,http://www.imdb.com/title/tt0075784/?ref_=fn_tt_tt_1,210,English,USA,26000000,1977,2.35,0
Wes Craven,224,0,178,Carl Gilliard,Robert Pine,Red Eye ,94108,1090,0,http://www.imdb.com/title/tt0421239/?ref_=fn_tt_tt_1,673,English,USA,26000000,2005,2.35,0
David R. Ellis,175,160,392,Michael Landes,Sarah Carter,Final Destination 2 ,120786,3172,0,http://www.imdb.com/title/tt0309593/?ref_=fn_tt_tt_1,472,English,USA,26000000,2003,1.85,0
Joel Coen,197,0,577,Tim Blake Nelson,Holly Hunter,"O Brother, Where Art Thou? ",225102,3066,3,http://www.imdb.com/title/tt0190590/?ref_=fn_tt_tt_1,862,English,UK,26000000,2000,2.35,16000
Scott Stewart,226,124,534,Kate Walsh,Dennis Quaid,Legion ,80870,3889,0,http://www.imdb.com/title/tt1038686/?ref_=fn_tt_tt_1,315,English,USA,26000000,2010,2.35,0
Michael Bay,335,0,385,Larry Hankin,Dwayne Johnson,Pain & Gain ,161168,13573,4,http://www.imdb.com/title/tt1980209/?ref_=fn_tt_tt_1,287,English,USA,26000000,2013,2.35,43000
Paul Weitz,157,80,2000,Ty Burrell,Scarlett Johansson,In Good Company ,48973,28493,2,http://www.imdb.com/title/tt0385267/?ref_=fn_tt_tt_1,214,English,USA,26000000,2004,1.85,736
Jonathan Frakes,69,906,528,Paula Garcés,Michael Biehn,Clockstoppers ,11212,3917,0,http://www.imdb.com/title/tt0157472/?ref_=fn_tt_tt_1,94,English,USA,26000000,2002,1.85,874
Lawrence Kasdan,46,759,67,Todd Allen,Scott Glenn,Silverado ,28247,1154,4,http://www.imdb.com/title/tt0090022/?ref_=fn_tt_tt_1,149,English,USA,26000000,1985,2.35,0
Jim Sheridan,217,260,3000,Jake Gyllenhaal,Natalie Portman,Brothers ,88035,42473,0,http://www.imdb.com/title/tt0765010/?ref_=fn_tt_tt_1,201,English,USA,26000000,2009,2.35,10000
Kevin Allen,55,8,588,Frankie Muniz,Daniel Roebuck,Agent Cody Banks 2: Destination London ,11092,3742,4,http://www.imdb.com/title/tt0358349/?ref_=fn_tt_tt_1,44,English,USA,26000000,2004,2.35,167
Garry Marshall,200,0,307,Common,Robert De Niro,New Year's Eve ,66579,23456,15,http://www.imdb.com/title/tt1598822/?ref_=fn_tt_tt_1,134,English,USA,56000000,2011,1.85,20000
Michael Cristofer,93,49,155,Gregory Itzin,Angelina Jolie Pitt,Original Sin ,44913,11662,1,http://www.imdb.com/title/tt0218922/?ref_=fn_tt_tt_1,181,English,France,42000000,2001,2.35,3000
James McTeigue,265,160,427,Dave Legeno,Pam Ferris,The Raven ,72886,2356,1,http://www.imdb.com/title/tt1486192/?ref_=fn_tt_tt_1,190,English,USA,26000000,2012,2.35,35000
Donald Petrie,82,80,509,Ray Romano,Rip Torn,Welcome to Mooseport ,10667,2466,2,http://www.imdb.com/title/tt0361925/?ref_=fn_tt_tt_1,95,English,USA,26000000,2004,1.85,260
Andrew Morahan,32,5,535,Mako,Christopher Lambert,Highlander: The Final Dimension ,16194,2960,0,http://www.imdb.com/title/tt0110027/?ref_=fn_tt_tt_1,79,English,Canada,26000000,1994,2.35,319
Bob Rafelson,42,30,223,Mike Starr,Harold Perrineau,Blood and Wine ,7772,2228,3,http://www.imdb.com/title/tt0115710/?ref_=fn_tt_tt_1,55,English,USA,22000000,1996,1.85,145
Michael Cohn,22,2,512,Chris Bauer,David Conrad,Snow White: A Tale of Terror ,8118,2170,2,http://www.imdb.com/title/tt0119227/?ref_=fn_tt_tt_1,69,English,USA,26000000,1997,1.85,0
Woody Allen,116,11000,277,Elizabeth Berkley,Woody Allen,The Curse of the Jade Scorpion ,31798,12534,0,http://www.imdb.com/title/tt0256524/?ref_=fn_tt_tt_1,178,English,USA,26000000,2001,1.37,826
David O. Russell,56,737,816,Kirstie Alley,Jake Gyllenhaal,Accidental Love ,5006,19068,5,http://www.imdb.com/title/tt1137470/?ref_=fn_tt_tt_1,28,English,USA,26000000,2015,1.85,0
Alan Shapiro,23,0,26,Chelsea Field,Paul Hogan,Flipper ,8008,616,1,http://www.imdb.com/title/tt0116322/?ref_=fn_tt_tt_1,26,English,USA,25530000,1996,2.35,504
Tarsem Singh,178,763,523,Derek Luke,Ryan Reynolds,Self/less ,57674,17847,0,http://www.imdb.com/title/tt2140379/?ref_=fn_tt_tt_1,126,English,USA,26000000,2015,2.35,11000
Fernando Meirelles,226,353,151,Danny Huston,Archie Panjabi,The Constant Gardener ,111351,1565,0,http://www.imdb.com/title/tt0387131/?ref_=fn_tt_tt_1,568,English,UK,15000000,2005,1.85,0
Mel Gibson,406,0,113,Maia Morgenstern,Christo Jivkov,The Passion of the Christ ,179235,705,0,http://www.imdb.com/title/tt0335345/?ref_=fn_tt_tt_1,2814,Aramaic,USA,30000000,2004,2.35,13000
Chris Columbus,57,0,711,Mara Wilson,Robin Williams,Mrs. Doubtfire ,181380,52201,5,http://www.imdb.com/title/tt0107614/?ref_=fn_tt_tt_1,223,English,USA,25000000,1993,2.35,0
Barry Levinson,100,272,628,Valeria Golino,Tom Cruise,Rain Man ,383784,12285,3,http://www.imdb.com/title/tt0095953/?ref_=fn_tt_tt_1,331,English,USA,25000000,1988,1.85,12000
Clint Eastwood,366,16000,198,Dreama Walker,Clint Eastwood,Gran Torino ,561773,17347,0,http://www.imdb.com/title/tt1205489/?ref_=fn_tt_tt_1,871,English,USA,33000000,2008,2.35,28000
Oliver Stone,242,0,655,Scott Glenn,Toby Jones,W. ,40941,4264,1,http://www.imdb.com/title/tt1175491/?ref_=fn_tt_tt_1,320,English,USA,25100000,2008,2.35,0
Pierre Morel,309,180,485,Holly Valance,Liam Neeson,Taken ,483756,16461,0,http://www.imdb.com/title/tt0936501/?ref_=fn_tt_tt_1,974,English,France,25000000,2008,2.35,29000
Michael Hoffman,85,97,437,Gerald McRaney,Luke Bracey,The Best of Me ,43084,3197,0,http://www.imdb.com/title/tt1972779/?ref_=fn_tt_tt_1,99,English,USA,26000000,2014,2.35,19000
Mick Jackson,48,81,164,Mike Starr,Bill Cobbs,The Bodyguard ,89972,2551,0,http://www.imdb.com/title/tt0103855/?ref_=fn_tt_tt_1,126,English,USA,25000000,1992,1.85,0
Steven Spielberg,174,14000,212,Embeth Davidtz,Liam Neeson,Schindler's List ,865020,15233,0,http://www.imdb.com/title/tt0108052/?ref_=fn_tt_tt_1,1273,English,USA,22000000,1993,1.85,41000
Tate Taylor,373,150,2000,Bryce Dallas Howard,Emma Stone,The Help ,318955,23227,2,http://www.imdb.com/title/tt1454029/?ref_=fn_tt_tt_1,460,English,USA,25000000,2011,1.85,75000
Bill Condon,224,386,203,Peter Capaldi,Benedict Cumberbatch,The Fifth Estate ,29282,36337,1,http://www.imdb.com/title/tt1837703/?ref_=fn_tt_tt_1,105,English,USA,28000000,2013,2.35,11000
Raja Gosnell,94,67,596,Linda Cardellini,Sarah Michelle Gellar,Scooby-Doo 2: Monsters Unleashed ,33180,7800,0,http://www.imdb.com/title/tt0331632/?ref_=fn_tt_tt_1,149,English,USA,80000000,2004,1.85,567
Oleg Stepchenko,25,0,48,Igor Jijikine,Jason Flemyng,Viy ,3170,1166,1,http://www.imdb.com/title/tt1224378/?ref_=fn_tt_tt_1,18,Russian,Russia,26000000,2014,1.85,0
Ronny Yu,273,31,662,Jason Ritter,Katharine Isabelle,Freddy vs. Jason ,89101,4692,0,http://www.imdb.com/title/tt0329101/?ref_=fn_tt_tt_1,885,English,USA,30000000,2003,2.35,3000
Michael Winterbottom,78,187,127,Ava Acres,Cara Delevingne,The Face of an Angel ,2863,1041,2,http://www.imdb.com/title/tt2967008/?ref_=fn_tt_tt_1,25,English,UK,,2014,2.35,488
John A. Davis,66,8,179,Rob Paulsen,Martin Short,Jimmy Neutron: Boy Genius ,23943,2251,0,http://www.imdb.com/title/tt0268397/?ref_=fn_tt_tt_1,118,English,USA,30000000,2001,1.85,425
Matt Reeves,459,198,387,Ben Feldman,Mike Vogel,Cloverfield ,296787,3958,0,http://www.imdb.com/title/tt1060277/?ref_=fn_tt_tt_1,2192,English,USA,25000000,2008,1.85,0
Michael Pressman,68,34,445,Paige Turco,Kevin Nash,Teenage Mutant Ninja Turtles II: The Secret of the Ooze ,42765,2501,0,http://www.imdb.com/title/tt0103060/?ref_=fn_tt_tt_1,93,English,USA,25000000,1991,1.85,0
Brian De Palma,123,0,188,Billy Drago,Robert De Niro,The Untouchables ,219008,22767,1,http://www.imdb.com/title/tt0094226/?ref_=fn_tt_tt_1,418,English,USA,25000000,1987,2.35,0
Ethan Coen,488,1000,883,Stephen Root,Kelly Macdonald,No Country for Old Men ,612060,4738,0,http://www.imdb.com/title/tt0477348/?ref_=fn_tt_tt_1,1518,English,USA,25000000,2007,2.35,21000
Tim Story,146,167,460,Tika Sumpter,Bruce McGill,Ride Along ,75903,2394,1,http://www.imdb.com/title/tt1408253/?ref_=fn_tt_tt_1,109,English,USA,25000000,2014,2.35,0
Sharon Maguire,168,11,887,Jim Broadbent,Colin Firth,Bridget Jones's Diary ,171568,16999,3,http://www.imdb.com/title/tt0243155/?ref_=fn_tt_tt_1,571,English,UK,26000000,2001,2.35,0
Lasse Hallström,152,529,163,Leslie Caron,Lena Olin,Chocolat ,150308,1323,1,http://www.imdb.com/title/tt0241303/?ref_=fn_tt_tt_1,498,English,UK,25000000,2000,1.85,18000
Charles Herman-Wurmfeld,133,0,643,Bruce McGill,Mary Lynn Rajskub,"Legally Blonde 2: Red, White & Blonde ",46417,3500,2,http://www.imdb.com/title/tt0333780/?ref_=fn_tt_tt_1,297,English,USA,45000000,2003,1.85,660
Andy Fickman,139,99,433,Gedde Watanabe,Bailee Madison,Parental Guidance ,21176,5740,5,http://www.imdb.com/title/tt1047540/?ref_=fn_tt_tt_1,107,English,USA,25000000,2012,1.85,0
Ivan Reitman,245,425,766,Greta Gerwig,Natalie Portman,No Strings Attached ,168717,22739,1,http://www.imdb.com/title/tt1411238/?ref_=fn_tt_tt_1,178,English,USA,25000000,2011,2.35,24000
George P. Cosmatos,84,170,472,Dana Delany,Michael Biehn,Tombstone ,95241,4453,0,http://www.imdb.com/title/tt0108358/?ref_=fn_tt_tt_1,439,English,USA,25000000,1993,2.35,11000
Andrzej Bartkowiak,70,43,775,Delroy Lindo,Jet Li,Romeo Must Die ,57040,9082,1,http://www.imdb.com/title/tt0165929/?ref_=fn_tt_tt_1,365,English,USA,25000000,2000,2.35,0
Richard Donner,154,503,108,Patrick Troughton,Lee Remick,The Omen ,80958,673,2,http://www.imdb.com/title/tt0075005/?ref_=fn_tt_tt_1,310,English,UK,2800000,1976,2.35,7000
James Wong,216,70,318,Gina Holden,Chelan Simmons,Final Destination 3 ,102861,2420,0,http://www.imdb.com/title/tt0414982/?ref_=fn_tt_tt_1,571,English,Germany,25000000,2006,2.35,0
Scott Hicks,170,96,204,Riley Thomas Stewart,Blythe Danner,The Lucky One ,76882,1852,0,http://www.imdb.com/title/tt1327194/?ref_=fn_tt_tt_1,106,English,USA,25000000,2012,2.35,29000
Gabor Csupo,181,47,3000,Zooey Deschanel,Josh Hutcherson,Bridge to Terabithia ,110390,28071,3,http://www.imdb.com/title/tt0398808/?ref_=fn_tt_tt_1,522,English,USA,17000000,2007,1.85,6000
Marc Forster,226,395,2000,Kate Winslet,Johnny Depp,Finding Neverland ,174591,58823,1,http://www.imdb.com/title/tt0308644/?ref_=fn_tt_tt_1,632,English,USA,25000000,2004,2.35,0
Tyler Perry,24,0,400,Tika Sumpter,Alicia Witt,A Madea Christmas ,4265,3202,0,http://www.imdb.com/title/tt2609758/?ref_=fn_tt_tt_1,27,English,USA,25000000,2013,1.85,0
Joe Carnahan,408,248,726,Frank Grillo,Liam Neeson,The Grey ,203111,16606,1,http://www.imdb.com/title/tt1601913/?ref_=fn_tt_tt_1,755,English,USA,25000000,2011,2.35,32000
John Polson,180,21,317,Dylan Baker,Robert De Niro,Hide and Seek ,70205,23328,0,http://www.imdb.com/title/tt0382077/?ref_=fn_tt_tt_1,450,English,USA,30000000,2005,2.35,0
Adam McKay,181,285,7000,Will Ferrell,Darcy Donavan,Anchorman: The Legend of Ron Burgundy ,267921,656730,5,http://www.imdb.com/title/tt0357413/?ref_=fn_tt_tt_1,577,English,USA,26000000,2004,1.85,0
Martin Scorsese,192,17000,635,Mike Starr,Robert De Niro,Goodfellas ,728685,24783,3,http://www.imdb.com/title/tt0099685/?ref_=fn_tt_tt_1,989,English,USA,25000000,1990,1.85,25000
Harald Zwart,79,91,434,Frankie Muniz,Daniel Roebuck,Agent Cody Banks ,26755,3037,3,http://www.imdb.com/title/tt0313911/?ref_=fn_tt_tt_1,104,English,USA,26000000,2003,2.35,542
Kirk Jones,128,52,579,Kelly Macdonald,Colin Firth,Nanny McPhee ,49676,17278,0,http://www.imdb.com/title/tt0396752/?ref_=fn_tt_tt_1,181,English,USA,25000000,2005,2.35,0
Brian De Palma,147,0,638,F. Murray Abraham,Al Pacino,Scarface ,537442,16464,0,http://www.imdb.com/title/tt0086250/?ref_=fn_tt_tt_1,851,English,USA,25000000,1983,2.35,19000
Steve Oedekerk,49,176,468,Michael McKean,Kelly Preston,Nothing to Lose ,36253,2457,2,http://www.imdb.com/title/tt0119807/?ref_=fn_tt_tt_1,92,English,USA,25000000,1997,1.85,0
Bernardo Bertolucci,75,973,400,Joan Chen,Cary-Hiroyuki Tagawa,The Last Emperor ,70274,2451,0,http://www.imdb.com/title/tt0093389/?ref_=fn_tt_tt_1,133,English,China,23000000,1987,2.35,0
Baltasar Kormákur,270,175,733,David O'Hara,J.K. Simmons,Contraband ,101977,26625,3,http://www.imdb.com/title/tt1524137/?ref_=fn_tt_tt_1,161,English,USA,25000000,2012,2.35,0
Brett Ratner,29,420,585,Paul Sorvino,Heather Locklear,Money Talks ,22748,2530,2,http://www.imdb.com/title/tt0119695/?ref_=fn_tt_tt_1,41,English,USA,25000000,1997,2.35,666
Paul Thomas Anderson,398,0,104,Paul F. Tompkins,Jim Meskimen,There Will Be Blood ,372990,533,0,http://www.imdb.com/title/tt0469494/?ref_=fn_tt_tt_1,1107,English,USA,25000000,2007,2.35,16000
Cathy Malkasian,38,0,503,Flea,Alfre Woodard,The Wild Thornberrys Movie ,12218,2908,0,http://www.imdb.com/title/tt0282120/?ref_=fn_tt_tt_1,33,English,USA,25000000,2002,2.35,187
John Eng,45,0,362,Cree Summer,Elizabeth Daily,Rugrats Go Wild ,5674,3017,0,http://www.imdb.com/title/tt0337711/?ref_=fn_tt_tt_1,35,English,USA,25000000,2003,2.35,329
Malcolm D. Lee,81,92,466,Eddie Griffin,Dave Chappelle,Undercover Brother ,29661,3001,3,http://www.imdb.com/title/tt0279493/?ref_=fn_tt_tt_1,179,English,USA,25000000,2002,1.85,0
Ken Kwapis,88,42,917,America Ferrera,Mike Vogel,The Sisterhood of the Traveling Pants ,44838,6862,0,http://www.imdb.com/title/tt0403508/?ref_=fn_tt_tt_1,223,English,USA,25000000,2005,2.35,0
Chris Nahon,116,20,872,Bridget Fonda,Jet Li,Kiss of the Dragon ,53126,7945,1,http://www.imdb.com/title/tt0271027/?ref_=fn_tt_tt_1,254,English,France,25000000,2001,2.35,0
Fred Wolf,129,29,816,Katharine McPhee,Emma Stone,The House Bunny ,63969,18789,1,http://www.imdb.com/title/tt0852713/?ref_=fn_tt_tt_1,126,English,USA,25000000,2008,2.35,0
Bille Woodruff,72,23,485,Keshia Knight Pulliam,Alfre Woodard,Beauty Shop ,13194,3535,1,http://www.imdb.com/title/tt0388500/?ref_=fn_tt_tt_1,59,English,USA,,2005,2.35,671
Craig Gillespie,151,44,367,Suraj Sharma,Jon Hamm,Million Dollar Arm ,35833,6393,0,http://www.imdb.com/title/tt1647668/?ref_=fn_tt_tt_1,96,English,USA,25000000,2014,2.39,10000
Phillip Noyce,198,176,10000,Meryl Streep,Jeff Bridges,The Giver ,86251,36064,3,http://www.imdb.com/title/tt0435651/?ref_=fn_tt_tt_1,260,English,South Africa,25000000,2014,2.35,58000
Dennie Gordon,66,29,742,Oliver James,Colin Firth,What a Girl Wants ,48095,16400,1,http://www.imdb.com/title/tt0286788/?ref_=fn_tt_tt_1,194,English,USA,20000000,2003,2.35,0
Victor Salva,167,108,177,Jonathan Breck,Nicki Aycox,Jeepers Creepers II ,45102,1340,0,http://www.imdb.com/title/tt0301470/?ref_=fn_tt_tt_1,316,English,USA,17000000,2003,2.35,0
Mark Helfrich,127,7,440,Dan Fogler,Dane Cook,Good Luck Chuck ,74622,2822,1,http://www.imdb.com/title/tt0452625/?ref_=fn_tt_tt_1,150,English,USA,25000000,2007,1.85,0
Andrzej Bartkowiak,109,43,432,Tom Arnold,Jet Li,Cradle 2 the Grave ,34942,6867,2,http://www.imdb.com/title/tt0306685/?ref_=fn_tt_tt_1,185,English,USA,30000000,2003,2.35,1000
Stephen Daldry,174,335,530,Stephen Dillane,Meryl Streep,The Hours ,102123,12624,3,http://www.imdb.com/title/tt0274558/?ref_=fn_tt_tt_1,660,English,USA,25000000,2002,1.85,0
Andy Fickman,91,99,960,Alexandra Breckenridge,Channing Tatum,She's the Man ,116762,20109,0,http://www.imdb.com/title/tt0454945/?ref_=fn_tt_tt_1,261,English,USA,20000000,2006,1.85,0
Steve Bendelack,151,68,100,Emma de Caunes,Lily Atkinson,Mr. Bean's Holiday ,88714,794,0,http://www.imdb.com/title/tt0453451/?ref_=fn_tt_tt_1,235,English,UK,25000000,2007,1.85,0
Dwight H. Little,94,27,522,Salli Richardson-Whitfield,Nicholas Gonzalez,Anacondas: The Hunt for the Blood Orchid ,22243,2730,0,http://www.imdb.com/title/tt0366174/?ref_=fn_tt_tt_1,144,English,USA,25000000,2004,2.35,686
Guillaume Canet,91,0,745,Lili Taylor,Mila Kunis,Blood Ties ,14612,18442,6,http://www.imdb.com/title/tt1747958/?ref_=fn_tt_tt_1,41,English,France,25500000,2013,2.35,0
Kirsten Sheridan,148,59,403,Aaron Staton,Robin Williams,August Rush ,87331,50927,0,http://www.imdb.com/title/tt0426931/?ref_=fn_tt_tt_1,364,English,USA,30000000,2007,2.35,18000
Shekhar Kapur,141,159,240,John Gielgud,Fanny Ardant,Elizabeth ,75973,1006,1,http://www.imdb.com/title/tt0127536/?ref_=fn_tt_tt_1,409,English,UK,25000000,1998,1.85,0
Ronny Yu,114,31,71,Park Bench,Alexis Arquette,Bride of Chucky ,39768,667,0,http://www.imdb.com/title/tt0144120/?ref_=fn_tt_tt_1,292,English,Canada,25000000,1998,1.85,0
Richard Fleischer,79,130,288,Richard Anderson,Joseph Cotten,Tora! Tora! Tora! ,25019,1548,0,http://www.imdb.com/title/tt0066473/?ref_=fn_tt_tt_1,159,English,Japan,25000000,1970,2.35,0
Bob Spiers,33,14,199,Richard Briers,Jason Flemyng,Spice World ,28377,2176,1,http://www.imdb.com/title/tt0120185/?ref_=fn_tt_tt_1,261,English,UK,25000000,1997,1.85,0
David Gordon Green,146,234,370,J.B. Smoove,Ari Graynor,The Sitter ,60202,3850,3,http://www.imdb.com/title/tt1366344/?ref_=fn_tt_tt_1,114,English,USA,,2011,1.85,0
Damien Dante Wayans,83,82,571,Essence Atkins,Damon Wayans Jr.,Dance Flick ,10161,4378,0,http://www.imdb.com/title/tt1153706/?ref_=fn_tt_tt_1,50,English,USA,25000000,2009,1.85,657
Frank Darabont,199,0,461,Jeffrey DeMunn,Morgan Freeman,The Shawshank Redemption ,1689764,13495,0,http://www.imdb.com/title/tt0111161/?ref_=fn_tt_tt_1,4144,English,USA,25000000,1994,1.85,108000
Simon Wincer,71,23,162,Paul Hogan,Jere Burns,Crocodile Dundee in Los Angeles ,19699,1315,0,http://www.imdb.com/title/tt0231402/?ref_=fn_tt_tt_1,119,English,Australia,21150000,2001,1.85,387
Bobby Farrelly,62,101,743,Lin Shaye,Bill Murray,Kingpin ,63459,16937,2,http://www.imdb.com/title/tt0116778/?ref_=fn_tt_tt_1,185,English,USA,27000000,1996,2.35,3000
Rupert Wyatt,175,81,81,Cjon Saulsberry,George Kennedy,The Gambler ,48559,3784,1,http://www.imdb.com/title/tt2039393/?ref_=fn_tt_tt_1,145,English,USA,25000000,2014,2.35,0
John Wells,322,53,8000,Meryl Streep,Benedict Cumberbatch,August: Osage County ,67797,39690,3,http://www.imdb.com/title/tt1322269/?ref_=fn_tt_tt_1,285,English,USA,25000000,2013,2.35,30000
Tim Fywell,67,3,28,Trevor Blumas,Connie Ray,Ice Princess ,19737,235,2,http://www.imdb.com/title/tt0396652/?ref_=fn_tt_tt_1,81,English,USA,,2005,1.85,901
Nigel Cole,112,13,165,Tyrone Giordano,Aimee Garcia,A Lot Like Love ,58297,1095,3,http://www.imdb.com/title/tt0391304/?ref_=fn_tt_tt_1,161,English,USA,30000000,2005,1.85,0
Dexter Fletcher,216,452,141,Taron Egerton,Hugh Jackman,Eddie the Eagle ,32507,21195,3,http://www.imdb.com/title/tt1083452/?ref_=fn_tt_tt_1,119,English,UK,23000000,2016,2.35,15000
Spike Lee,48,0,3000,Milla Jovovich,Denzel Washington,He Got Game ,36108,37315,0,http://www.imdb.com/title/tt0124718/?ref_=fn_tt_tt_1,109,English,USA,25000000,1998,1.85,0
Jeremy Leven,44,19,977,Marlon Brando,Johnny Depp,Don Juan DeMarco ,41310,52122,3,http://www.imdb.com/title/tt0112883/?ref_=fn_tt_tt_1,117,English,USA,25000000,1994,1.85,0
,12,,3,John Sparkes,Justin Fletcher,Shaun the Sheep             ,7968,55,0,http://www.imdb.com/title/tt0983983/?ref_=fn_tt_tt_1,12,English,UK,,,,834
Lasse Hallström,162,529,690,Henry Thomas,Channing Tatum,Dear John ,104356,19945,,http://www.imdb.com/title/tt0989757/?ref_=fn_tt_tt_1,186,English,USA,25000000,2010,2.35,14000
