director_name,director_facebook_likes,actor_1_facebook_likes,genres,movie_title,num_voted_users,facenumber_in_poster,movie_imdb_link,language,country,title_year,actor_2_facebook_likes,movie_facebook_likes
Jason Bateman,0,628,Comedy|Drama,Bad Words ,38459,0,http://www.imdb.com/title/tt2170299/?ref_=fn_tt_tt_1,English,USA,2013,497,0
David Schwimmer,0,427,Comedy|Romance|Sport,"Run, Fatboy, Run ",58509,0,http://www.imdb.com/title/tt0425413/?ref_=fn_tt_tt_1,English,UK,2007,269,0
Allan Arkush,13,753,Comedy|Sci-Fi,Heartbeeps ,1040,0,http://www.imdb.com/title/tt0082507/?ref_=fn_tt_tt_1,English,USA,1981,695,425
Mike Binder,57,1000,Drama,Black or White ,8058,2,http://www.imdb.com/title/tt2883434/?ref_=fn_tt_tt_1,English,USA,2014,837,0
Eric Bross,49,719,Comedy|Family|Romance,On the Line ,3662,2,http://www.imdb.com/title/tt0279286/?ref_=fn_tt_tt_1,English,USA,2001,405,0
Werner Herzog,0,23000,Adventure|Biography|Drama|War,Rescue Dawn ,84641,0,http://www.imdb.com/title/tt0462504/?ref_=fn_tt_tt_1,English,USA,2006,342,0
Dan Fogelman,102,14000,Comedy|Drama|Music,Danny Collins ,20810,0,http://www.imdb.com/title/tt1772288/?ref_=fn_tt_tt_1,English,USA,2015,3000,0
Jay Duplass,157,2000,Comedy|Drama,"Jeff, Who Lives at Home ",56005,5,http://www.imdb.com/title/tt1588334/?ref_=fn_tt_tt_1,English,USA,2011,616,0
Luca Guadagnino,64,144,Drama|Romance,I Am Love ,14031,1,http://www.imdb.com/title/tt1226236/?ref_=fn_tt_tt_1,Italian,Italy,2009,110,0
John Putch,60,823,Drama|Mystery|Sci-Fi,Atlas Shrugged II: The Strike ,5612,0,http://www.imdb.com/title/tt1985017/?ref_=fn_tt_tt_1,English,USA,2012,759,0
Peter Medak,34,10000,Action|Crime|Drama|Thriller,Romeo Is Bleeding ,10735,1,http://www.imdb.com/title/tt0107983/?ref_=fn_tt_tt_1,English,UK,1993,721,561
Steven Soderbergh,0,402,Crime|Drama|Mystery|Thriller,The Limey ,24412,0,http://www.imdb.com/title/tt0165854/?ref_=fn_tt_tt_1,English,USA,1999,296,944
Paul Haggis,549,3000,Crime|Drama|Thriller,Crash ,361169,0,http://www.imdb.com/title/tt0375679/?ref_=fn_tt_tt_1,English,Germany,2004,912,18000
Terence Davies,25,902,Drama|Romance,The House of Mirth ,6377,0,http://www.imdb.com/title/tt0200720/?ref_=fn_tt_tt_1,English,UK,2000,576,345
Harley Cokeliss,4,754,Action|Drama|Thriller,Malone ,1768,4,http://www.imdb.com/title/tt0093483/?ref_=fn_tt_tt_1,English,USA,1987,324,208
Victor Salva,108,634,Drama|Romance|Sport,Peaceful Warrior ,20426,1,http://www.imdb.com/title/tt0438315/?ref_=fn_tt_tt_1,English,Germany,2006,436,0
Tom Brady,105,982,Comedy,Bucky Larson: Born to Be a Star ,9541,1,http://www.imdb.com/title/tt1411664/?ref_=fn_tt_tt_1,English,USA,2011,503,0
Spike Lee,0,1000,Comedy|Drama|Music,Bamboozled ,8720,0,http://www.imdb.com/title/tt0215545/?ref_=fn_tt_tt_1,English,USA,2000,975,1000
Jason Zada,4,533,Horror|Mystery|Thriller,The Forest ,20837,1,http://www.imdb.com/title/tt3387542/?ref_=fn_tt_tt_1,English,USA,2016,35,10000
Franklin J. Schaffner,76,902,Adventure|Mystery|Thriller,Sphinx ,892,0,http://www.imdb.com/title/tt0083113/?ref_=fn_tt_tt_1,English,USA,1981,488,106
Noah Baumbach,387,6000,Comedy|Drama,While We're Young ,30325,2,http://www.imdb.com/title/tt1791682/?ref_=fn_tt_tt_1,English,USA,2014,139,0
Chris Weitz,129,749,Drama|Romance,A Better Life ,13174,0,http://www.imdb.com/title/tt1554091/?ref_=fn_tt_tt_1,English,USA,2011,252,0
David Cronenberg,0,530,Drama|Mystery|Thriller,Spider ,30096,0,http://www.imdb.com/title/tt0278731/?ref_=fn_tt_tt_1,English,Canada,2002,387,0
Eric Blakeney,3,14000,Comedy|Crime|Romance,Gun Shy ,5936,0,http://www.imdb.com/title/tt0171356/?ref_=fn_tt_tt_1,English,USA,2000,1000,242
Douglas McGrath,41,16000,Drama|Romance,Nicholas Nickleby ,9395,1,http://www.imdb.com/title/tt0309912/?ref_=fn_tt_tt_1,English,UK,2002,11000,0
Ariel Vromen,34,11000,Biography|Crime|Drama,The Iceman ,55567,1,http://www.imdb.com/title/tt1491044/?ref_=fn_tt_tt_1,English,USA,2012,11000,20000
,,20,Drama,Dekalog             ,12591,0,http://www.imdb.com/title/tt0092337/?ref_=fn_tt_tt_1,Polish,Poland,,3,0
Rakesh Roshan,53,307,Action|Adventure|Romance|Sci-Fi,Krrish ,12411,0,http://www.imdb.com/title/tt0432637/?ref_=fn_tt_tt_1,Hindi,India,2006,200,533
John Waters,0,975,Comedy|Crime|Thriller,Cecil B. DeMented ,11403,2,http://www.imdb.com/title/tt0173716/?ref_=fn_tt_tt_1,English,France,2000,537,795
William Friedkin,607,11000,Crime|Drama|Romance|Thriller,Killer Joe ,59297,0,http://www.imdb.com/title/tt1726669/?ref_=fn_tt_tt_1,English,USA,2011,414,12000
Derrick Borte,17,2000,Comedy|Drama,The Joneses ,33473,4,http://www.imdb.com/title/tt1285309/?ref_=fn_tt_tt_1,English,USA,2009,989,0
Richard Kwietniowski,23,22000,Crime|Drama|Thriller,Owning Mahowny ,10585,1,http://www.imdb.com/title/tt0285861/?ref_=fn_tt_tt_1,English,Canada,2003,893,0
Bob Odenkirk,0,966,Comedy,The Brothers Solomon ,9517,2,http://www.imdb.com/title/tt0784972/?ref_=fn_tt_tt_1,English,USA,2007,799,319
Kar-Wai Wong,0,20000,Drama|Romance,My Blueberry Nights ,44208,3,http://www.imdb.com/title/tt0765120/?ref_=fn_tt_tt_1,English,Hong Kong,2007,329,0
John Turturro,0,816,Drama,Illuminata ,1402,0,http://www.imdb.com/title/tt0120709/?ref_=fn_tt_tt_1,English,Spain,1998,623,74
Guy Ritchie,0,990,Comedy|Romance,Swept Away ,13145,0,http://www.imdb.com/title/tt0291502/?ref_=fn_tt_tt_1,English,UK,2002,711,725
Joshua Seftel,0,603,Action|Comedy|Thriller,"War, Inc. ",20008,3,http://www.imdb.com/title/tt0884224/?ref_=fn_tt_tt_1,English,USA,2008,175,883
Stephen Chow,0,478,Action|Comedy|Sport,Shaolin Soccer ,56923,2,http://www.imdb.com/title/tt0286112/?ref_=fn_tt_tt_1,Cantonese,Hong Kong,2001,83,0
Vincent Gallo,787,787,Drama,The Brown Bunny ,11487,0,http://www.imdb.com/title/tt0330099/?ref_=fn_tt_tt_1,English,USA,2003,96,952
Claude Chabrol,324,678,Comedy|Crime|Thriller,The Swindle ,1649,0,http://www.imdb.com/title/tt0120018/?ref_=fn_tt_tt_1,French,France,1997,541,33
Jon Stewart,593,374,Biography|Drama,Rosewater ,8307,0,http://www.imdb.com/title/tt2752688/?ref_=fn_tt_tt_1,English,USA,2014,362,5000
Bigas Luna,163,837,Drama|Romance,The Chambermaid on the Titanic ,1135,1,http://www.imdb.com/title/tt0129923/?ref_=fn_tt_tt_1,French,France,1997,130,85
Ralph Fiennes,0,18000,Drama|Thriller|War,Coriolanus ,27009,0,http://www.imdb.com/title/tt1372686/?ref_=fn_tt_tt_1,English,UK,2011,451,12000
Dan Harris,24,374,Comedy|Drama,Imaginary Heroes ,8708,2,http://www.imdb.com/title/tt0373024/?ref_=fn_tt_tt_1,English,USA,2004,181,345
Mel Smith,302,893,Action|Comedy|Drama,High Heels and Low Lifes ,3080,2,http://www.imdb.com/title/tt0253126/?ref_=fn_tt_tt_1,English,UK,2001,798,117
Bobcat Goldthwait,800,49000,Comedy|Drama,World's Greatest Dad ,31964,1,http://www.imdb.com/title/tt1262981/?ref_=fn_tt_tt_1,English,USA,2009,640,0
Christopher Smith,76,798,Comedy|Horror|Thriller,Severance ,31890,0,http://www.imdb.com/title/tt0464196/?ref_=fn_tt_tt_1,English,UK,2006,769,0
Stuart Gordon,216,1000,Drama|Thriller,Edmond ,9971,1,http://www.imdb.com/title/tt0443496/?ref_=fn_tt_tt_1,English,USA,2005,922,661
Jake Scott,26,17000,Drama,Welcome to the Rileys ,19979,3,http://www.imdb.com/title/tt1183923/?ref_=fn_tt_tt_1,English,UK,2010,793,0
Alan Metter,3,16000,Comedy|Crime,Police Academy: Mission to Moscow ,24958,0,http://www.imdb.com/title/tt0110857/?ref_=fn_tt_tt_1,English,USA,1994,542,321
Jeb Stuart,11,665,Drama,Blood Done Sign My Name ,465,0,http://www.imdb.com/title/tt1210039/?ref_=fn_tt_tt_1,English,USA,2010,664,503
Rafa Lara,21,78,Drama|History|War,"Cinco de Mayo, La Batalla ",683,1,http://www.imdb.com/title/tt2553908/?ref_=fn_tt_tt_1,Spanish,Mexico,2013,61,874
Michael Radford,53,962,Comedy|Drama|Romance,Elsa & Fred ,2041,0,http://www.imdb.com/title/tt2113659/?ref_=fn_tt_tt_1,English,USA,2014,545,0
Arthur Hiller,71,795,Comedy,An Alan Smithee Film: Burn Hollywood Burn ,2971,0,http://www.imdb.com/title/tt0118577/?ref_=fn_tt_tt_1,English,USA,1997,474,89
Michael Meredith,7,12000,Comedy|Drama,The Open Road ,2941,2,http://www.imdb.com/title/tt1007018/?ref_=fn_tt_tt_1,English,USA,2009,3000,370
Julio DePietro,0,806,Comedy|Romance,The Good Guy ,7759,2,http://www.imdb.com/title/tt1247662/?ref_=fn_tt_tt_1,English,USA,2009,690,1000
Katherine Dieckmann,8,1000,Comedy|Drama,Motherhood ,3662,1,http://www.imdb.com/title/tt1220220/?ref_=fn_tt_tt_1,English,USA,2009,893,546
William Dear,50,835,Drama,Free Style ,361,3,http://www.imdb.com/title/tt1128071/?ref_=fn_tt_tt_1,English,Canada,2008,632,58
Kim Farrant,93,147,Drama|Mystery|Thriller,Strangerland ,5637,0,http://www.imdb.com/title/tt2325977/?ref_=fn_tt_tt_1,English,Australia,2015,52,0
Marcus Raboy,7,706,Comedy|Crime|Music,The Janky Promoters ,1097,2,http://www.imdb.com/title/tt1210071/?ref_=fn_tt_tt_1,English,USA,2009,405,402
Scott Marshall,7,906,Comedy|Romance,Blonde Ambition ,4995,1,http://www.imdb.com/title/tt0887719/?ref_=fn_tt_tt_1,English,USA,2007,848,160
Álex de la Iglesia,275,439,Crime|Mystery|Thriller,The Oxford Murders ,22753,4,http://www.imdb.com/title/tt0488604/?ref_=fn_tt_tt_1,English,Spain,2008,161,0
Andrew Traucki,10,122,Horror|Thriller,The Reef ,11950,0,http://www.imdb.com/title/tt1320291/?ref_=fn_tt_tt_1,English,Australia,2010,109,0
Michael Clancy,0,11000,Comedy|Drama,Eulogy ,7690,6,http://www.imdb.com/title/tt0349416/?ref_=fn_tt_tt_1,English,USA,2004,826,376
Patrick Lussier,71,298,Drama|Fantasy|Horror|Thriller,White Noise 2: The Light ,11285,0,http://www.imdb.com/title/tt0496436/?ref_=fn_tt_tt_1,English,USA,2007,258,509
Robert Adetuyi,8,485,Drama|Music,You Got Served: Beat the World ,1642,0,http://www.imdb.com/title/tt1568139/?ref_=fn_tt_tt_1,English,Canada,2011,152,0
Kari Skogland,13,5000,Drama|Thriller,Fifty Dead Men Walking ,9585,1,http://www.imdb.com/title/tt1097643/?ref_=fn_tt_tt_1,English,UK,2008,2000,0
Taedong Park,0,1000,Adventure|Animation,Jungle Shuffle ,162,0,http://www.imdb.com/title/tt2722786/?ref_=fn_tt_tt_1,English,South Korea,2014,618,186
Paul Schrader,261,30000,Drama|War,Adam Resurrected ,3075,2,http://www.imdb.com/title/tt0479341/?ref_=fn_tt_tt_1,English,Germany,2008,744,589
Benedikt Erlingsson,4,63,Comedy|Drama|Romance,Of Horses and Men ,1920,0,http://www.imdb.com/title/tt3074732/?ref_=fn_tt_tt_1,Icelandic,Iceland,2013,10,1000
Gurinder Chadha,98,1000,Comedy|Drama|Horror|Romance,It's a Wonderful Afterlife ,1250,1,http://www.imdb.com/title/tt1319716/?ref_=fn_tt_tt_1,English,UK,2010,891,695
Jason Connery,110,1000,Action|Horror|Sci-Fi,The Devil's Tomb ,5715,4,http://www.imdb.com/title/tt1147687/?ref_=fn_tt_tt_1,English,USA,2009,898,486
Vic Sarin,24,183,Drama|Romance,Partition ,2223,2,http://www.imdb.com/title/tt0213985/?ref_=fn_tt_tt_1,English,Canada,2007,136,746
Jim Issa,5,670,Comedy,Good Intentions ,553,5,http://www.imdb.com/title/tt1070781/?ref_=fn_tt_tt_1,English,USA,2010,608,119
Jee-woon Kim,419,398,Action|Adventure|Comedy|Western,"The Good, the Bad, the Weird ",26156,0,http://www.imdb.com/title/tt0901487/?ref_=fn_tt_tt_1,Korean,South Korea,2008,149,0
Douglas Aarniokoski,36,1000,Horror|Thriller,Nurse 3D ,7286,0,http://www.imdb.com/title/tt1913166/?ref_=fn_tt_tt_1,English,USA,2013,948,0
William Phillips,3,764,Action|Comedy|Drama|Western,Gunless ,3015,1,http://www.imdb.com/title/tt1376195/?ref_=fn_tt_tt_1,English,Canada,2010,716,850
Greg Mottola,99,17000,Comedy|Drama|Romance,Adventureland ,131180,6,http://www.imdb.com/title/tt1091722/?ref_=fn_tt_tt_1,English,USA,2009,985,0
Andy Garcia,0,786,Drama|Romance,The Lost City ,8369,0,http://www.imdb.com/title/tt0343996/?ref_=fn_tt_tt_1,English,USA,2005,228,957
Steve Carr,41,723,Comedy,Next Friday ,27492,1,http://www.imdb.com/title/tt0195945/?ref_=fn_tt_tt_1,English,USA,2000,706,0
Sarik Andreasyan,9,4000,Action|Crime|Drama|Thriller,American Heist ,12372,1,http://www.imdb.com/title/tt2923316/?ref_=fn_tt_tt_1,English,Canada,2014,4000,0
Lewis Gilbert,43,742,Action|Adventure|Thriller,You Only Live Twice ,75280,0,http://www.imdb.com/title/tt0062512/?ref_=fn_tt_tt_1,English,UK,1967,462,0
Julian Gilbey,7,31000,Action|Comedy|Crime|Drama,Plastic ,5865,7,http://www.imdb.com/title/tt2556874/?ref_=fn_tt_tt_1,English,UK,2014,1000,1000
Michael Haneke,0,678,Drama|Romance,Amour ,70382,1,http://www.imdb.com/title/tt1602620/?ref_=fn_tt_tt_1,French,France,2012,432,33000
Gary Sherman,17,1000,Horror|Thriller,Poltergeist III ,13190,0,http://www.imdb.com/title/tt0095889/?ref_=fn_tt_tt_1,English,USA,1988,887,616
Valeri Milev,6,557,Action|Horror,Re-Kill ,1763,0,http://www.imdb.com/title/tt1612319/?ref_=fn_tt_tt_1,English,USA,2015,290,898
Stanley Kramer,176,924,Action|Adventure|Comedy|Crime,"It's a Mad, Mad, Mad, Mad World ",29323,0,http://www.imdb.com/title/tt0057193/?ref_=fn_tt_tt_1,English,USA,1963,898,0
Pedro Almodóvar,0,148,Comedy|Crime|Drama|Mystery,Volver ,76681,1,http://www.imdb.com/title/tt0441909/?ref_=fn_tt_tt_1,Spanish,Spain,2006,114,0
Gerald Potterton,0,187,Adventure|Animation|Fantasy|Horror|Sci-Fi,Heavy Metal ,23516,0,http://www.imdb.com/title/tt0082509/?ref_=fn_tt_tt_1,English,Canada,1981,176,0
Jared Hess,100,33000,Adventure|Comedy|Sci-Fi,Gentlemen Broncos ,9006,7,http://www.imdb.com/title/tt1161418/?ref_=fn_tt_tt_1,English,USA,2009,947,0
Richard Loncraine,12,21000,Drama|War,Richard III ,11612,3,http://www.imdb.com/title/tt0114279/?ref_=fn_tt_tt_1,English,UK,1995,1000,0
David Hackl,43,826,Action|Horror|Thriller,Into the Grizzly Maze ,4486,4,http://www.imdb.com/title/tt1694021/?ref_=fn_tt_tt_1,English,USA,2015,476,0
Anurag Basu,116,594,Action|Drama|Romance|Thriller,Kites ,9673,0,http://www.imdb.com/title/tt1198101/?ref_=fn_tt_tt_1,English,India,2010,412,0
Lars von Trier,3000,10000,Drama|Sci-Fi,Melancholia ,128729,1,http://www.imdb.com/title/tt1527186/?ref_=fn_tt_tt_1,English,Denmark,2011,4000,50000
Kriv Stenders,25,509,Biography|Comedy|Drama|Family|Romance,Red Dog ,13003,0,http://www.imdb.com/title/tt0803061/?ref_=fn_tt_tt_1,English,Australia,2011,446,10000
Yash Chopra,147,8000,Drama|Romance,Jab Tak Hai Jaan ,42296,4,http://www.imdb.com/title/tt2176013/?ref_=fn_tt_tt_1,Hindi,India,2012,3000,12000
Ridley Scott,0,1000,Horror|Sci-Fi,Alien ,563827,0,http://www.imdb.com/title/tt0078748/?ref_=fn_tt_tt_1,English,UK,1979,581,23000
Tobe Hooper,365,383,Horror|Thriller,The Texas Chain Saw Massacre ,96410,0,http://www.imdb.com/title/tt0072271/?ref_=fn_tt_tt_1,English,USA,1974,371,0
Floria Sigismondi,50,17000,Biography|Drama|Music,The Runaways ,39260,2,http://www.imdb.com/title/tt1017451/?ref_=fn_tt_tt_1,English,USA,2010,908,0
Norman Jewison,278,402,Drama|Family|Musical|Romance,Fiddler on the Roof ,29839,0,http://www.imdb.com/title/tt0067093/?ref_=fn_tt_tt_1,English,USA,1971,343,0
Terence Young,92,244,Action|Adventure|Thriller,Thunderball ,82073,1,http://www.imdb.com/title/tt0059800/?ref_=fn_tt_tt_1,English,UK,1965,189,0
Joseph Kahn,33,14000,Comedy|Horror|Sci-Fi,Detention ,12520,2,http://www.imdb.com/title/tt1701990/?ref_=fn_tt_tt_1,English,USA,2011,383,0
Ferzan Ozpetek,798,580,Comedy|Drama|Romance,Loose Cannons ,8667,9,http://www.imdb.com/title/tt1405810/?ref_=fn_tt_tt_1,Italian,Italy,2010,26,0
F. Gary Gray,473,890,Action|Crime|Drama|Romance|Thriller,Set It Off ,10139,4,http://www.imdb.com/title/tt0117603/?ref_=fn_tt_tt_1,English,USA,1996,851,0
Malcolm D. Lee,92,1000,Comedy|Drama,The Best Man ,6525,6,http://www.imdb.com/title/tt0168501/?ref_=fn_tt_tt_1,English,USA,1999,886,0
Tom Holland,85,311,Fantasy|Horror,Child's Play ,62038,0,http://www.imdb.com/title/tt0094862/?ref_=fn_tt_tt_1,English,USA,1988,189,0
Michael Moore,909,909,Documentary|Drama,Sicko ,66610,1,http://www.imdb.com/title/tt0386032/?ref_=fn_tt_tt_1,English,USA,2007,203,0
James DeMonaco,65,2000,Action|Horror|Sci-Fi|Thriller,The Purge: Anarchy ,92364,0,http://www.imdb.com/title/tt2975578/?ref_=fn_tt_tt_1,English,USA,2014,971,15000
Kris Isacsson,0,3000,Comedy|Drama|Romance,Down to You ,12324,1,http://www.imdb.com/title/tt0186975/?ref_=fn_tt_tt_1,English,USA,2000,683,580
Danny Leiner,8,982,Adventure|Comedy,Harold & Kumar Go to White Castle ,155262,2,http://www.imdb.com/title/tt0366551/?ref_=fn_tt_tt_1,English,USA,2004,729,0
Rod Lurie,37,12000,Drama|Thriller,The Contender ,20449,0,http://www.imdb.com/title/tt0208874/?ref_=fn_tt_tt_1,English,USA,2000,10000,1000
Ben Younger,46,14000,Crime|Drama|Thriller,Boiler Room ,41313,3,http://www.imdb.com/title/tt0181984/?ref_=fn_tt_tt_1,English,USA,2000,826,0
John Landis,644,392,Comedy,Trading Places ,102895,2,http://www.imdb.com/title/tt0086465/?ref_=fn_tt_tt_1,English,USA,1983,249,0
Glen Morgan,17,607,Horror,Black Christmas ,19918,0,http://www.imdb.com/title/tt0454082/?ref_=fn_tt_tt_1,English,USA,2006,318,0
Daniel Taplitz,2,911,Comedy|Romance,Breakin' All the Rules ,4247,1,http://www.imdb.com/title/tt0349169/?ref_=fn_tt_tt_1,English,USA,2004,150,266
Kenneth Branagh,0,591,Action|Biography|Drama|History|Romance|War,Henry V ,23441,1,http://www.imdb.com/title/tt0097499/?ref_=fn_tt_tt_1,English,UK,1989,520,0
Tamara Jenkins,84,22000,Comedy|Drama,The Savages ,32188,0,http://www.imdb.com/title/tt0775529/?ref_=fn_tt_tt_1,English,USA,2007,929,0
Linda Mendoza,17,591,Comedy|Romance,Chasing Papi ,3419,3,http://www.imdb.com/title/tt0323572/?ref_=fn_tt_tt_1,English,USA,2003,579,419
Christopher McQuarrie,188,187,Action|Crime|Drama|Thriller,The Way of the Gun ,27536,4,http://www.imdb.com/title/tt0202677/?ref_=fn_tt_tt_1,English,USA,2000,127,1000
Burr Steers,23,1000,Comedy|Drama,Igby Goes Down ,29058,1,http://www.imdb.com/title/tt0280760/?ref_=fn_tt_tt_1,English,USA,2002,710,838
Hart Bochner,157,4000,Comedy,PCU ,10476,3,http://www.imdb.com/title/tt0110759/?ref_=fn_tt_tt_1,English,USA,1994,248,0
Michael O. Sajbel,6,970,Drama|Family|Romance,The Ultimate Gift ,14100,2,http://www.imdb.com/title/tt0482629/?ref_=fn_tt_tt_1,English,USA,2006,906,0
,,177,Drama|Romance,The Bold and the Beautiful             ,5478,0,http://www.imdb.com/title/tt0092325/?ref_=fn_tt_tt_1,English,USA,,170,748
Stewart Raffill,12,1000,Action|Adventure|Comedy|Romance|Sci-Fi,The Ice Pirates ,7767,4,http://www.imdb.com/title/tt0087451/?ref_=fn_tt_tt_1,English,USA,1984,300,0
Davis Guggenheim,49,702,Biography|Drama|Sport,Gracie ,3624,1,http://www.imdb.com/title/tt0441007/?ref_=fn_tt_tt_1,English,USA,2007,616,313
Bart Freundlich,38,745,Comedy|Drama|Romance,Trust the Man ,7833,3,http://www.imdb.com/title/tt0427968/?ref_=fn_tt_tt_1,English,USA,2005,591,215
Andrew Fleming,26,1000,Comedy|Music,Hamlet 2 ,15200,1,http://www.imdb.com/title/tt1104733/?ref_=fn_tt_tt_1,English,USA,2008,1000,1000
Todd Haynes,162,23000,Drama|Music,Velvet Goldmine ,27766,3,http://www.imdb.com/title/tt0120879/?ref_=fn_tt_tt_1,English,UK,1998,776,0
Hong-jin Na,43,45,Fantasy|Horror|Mystery|Thriller,The Wailing ,2379,0,http://www.imdb.com/title/tt5215952/?ref_=fn_tt_tt_1,Korean,South Korea,2016,5,0
Kevin Tancharoen,64,2000,Documentary|Music,Glee: The 3D Concert Movie ,5156,0,http://www.imdb.com/title/tt1922612/?ref_=fn_tt_tt_1,English,USA,2011,892,0
Chatrichalerm Yukol,6,7,Action|Adventure|Drama|History|War,The Legend of Suriyothai ,1666,3,http://www.imdb.com/title/tt0290879/?ref_=fn_tt_tt_1,Thai,Thailand,2001,6,124
Dario Argento,930,982,Horror,Two Evil Eyes ,4302,1,http://www.imdb.com/title/tt0100827/?ref_=fn_tt_tt_1,English,Italy,1990,602,375
Eric Lavaine,0,186,Comedy,Barbecue ,1673,1,http://www.imdb.com/title/tt3202120/?ref_=fn_tt_tt_1,French,France,2014,41,348
Mike Leigh,608,149,Drama,All or Nothing ,8161,0,http://www.imdb.com/title/tt0286261/?ref_=fn_tt_tt_1,English,UK,2002,44,484
Marc Forby,3,679,Drama,Princess Kaiulani ,1201,3,http://www.imdb.com/title/tt1185344/?ref_=fn_tt_tt_1,English,USA,2009,537,0
Peter Cattaneo,11,185,Drama|Family,Opal Dream ,813,0,http://www.imdb.com/title/tt0420835/?ref_=fn_tt_tt_1,English,Australia,2006,62,135
Scott Mann,8,22000,Action|Crime|Thriller,Heist ,16198,1,http://www.imdb.com/title/tt3276924/?ref_=fn_tt_tt_1,English,USA,2015,1000,0
Ole Christian Madsen,28,573,Drama|History|Thriller|War,Flame and Citron ,14247,1,http://www.imdb.com/title/tt0920458/?ref_=fn_tt_tt_1,Danish,Denmark,2008,197,0
Meiert Avis,0,922,Comedy|Music|Romance,Undiscovered ,2599,4,http://www.imdb.com/title/tt0434424/?ref_=fn_tt_tt_1,English,Germany,2005,374,128
Julian Jarrold,11,10000,Crime|Drama|Mystery|Thriller,Red Riding: In the Year of Our Lord 1974 ,9305,0,http://www.imdb.com/title/tt1259574/?ref_=fn_tt_tt_1,English,UK,2009,281,0
André Téchiné,25,963,Drama,The Girl on the Train ,1219,1,http://www.imdb.com/title/tt1183672/?ref_=fn_tt_tt_1,French,France,2009,168,120
Emily Young,6,4000,Drama|Romance,Veronika Decides to Die ,10100,1,http://www.imdb.com/title/tt1068678/?ref_=fn_tt_tt_1,English,USA,2009,931,3000
Peter Faiman,4,442,Adventure|Comedy,Crocodile Dundee ,74743,1,http://www.imdb.com/title/tt0090555/?ref_=fn_tt_tt_1,English,Australia,1986,162,0
Martyn Pick,4,722,Action|Animation|Fantasy|Horror|Mystery|Sci-Fi|Thriller,"Ultramarines: A Warhammer 40,000 Movie ",4990,0,http://www.imdb.com/title/tt1679332/?ref_=fn_tt_tt_1,English,UK,2010,212,0
Roland Suso Richter,3,1000,Mystery|Sci-Fi|Thriller,The I Inside ,9296,2,http://www.imdb.com/title/tt0325596/?ref_=fn_tt_tt_1,English,UK,2004,900,458
Jeremy Sims,8,174,Drama|History|War,Beneath Hill 60 ,5741,12,http://www.imdb.com/title/tt1418646/?ref_=fn_tt_tt_1,English,Australia,2010,109,0
Maïwenn,236,580,Crime|Drama,Polisse ,10796,1,http://www.imdb.com/title/tt1661420/?ref_=fn_tt_tt_1,French,France,2011,236,0
Joby Harold,8,4000,Crime|Mystery|Thriller,Awake ,63216,0,http://www.imdb.com/title/tt0211933/?ref_=fn_tt_tt_1,English,USA,2007,922,0
,,668,Action|Adventure|Animation|Drama|Fantasy|Sci-Fi,Star Wars: The Clone Wars             ,28190,0,http://www.imdb.com/title/tt0458290/?ref_=fn_tt_tt_1,English,USA,,296,2000
Ekachai Uekrongtham,3,2000,Action|Crime|Thriller,Skin Trade ,5228,5,http://www.imdb.com/title/tt1641841/?ref_=fn_tt_tt_1,English,Thailand,2014,368,0
Joel Schumacher,541,967,Comedy|Fantasy|Horror,The Lost Boys ,92924,3,http://www.imdb.com/title/tt0093437/?ref_=fn_tt_tt_1,English,USA,1987,847,19000
Scott Cooper,108,12000,Drama|Music|Romance,Crazy Heart ,67760,0,http://www.imdb.com/title/tt1263670/?ref_=fn_tt_tt_1,English,USA,2009,628,0
Mark Rydell,43,563,Drama|Music|Romance,The Rose ,6142,0,http://www.imdb.com/title/tt0079826/?ref_=fn_tt_tt_1,English,USA,1979,236,1000
David E. Talbert,68,3000,Comedy,Baggage Claim ,7098,9,http://www.imdb.com/title/tt1171222/?ref_=fn_tt_tt_1,English,USA,2013,1000,0
Roger Vadim,35,949,Adventure|Comedy|Fantasy|Sci-Fi,Barbarella ,24436,2,http://www.imdb.com/title/tt0062711/?ref_=fn_tt_tt_1,English,France,1968,178,0
Nils Gaup,8,35,Adventure|Family,Shipwrecked ,1984,2,http://www.imdb.com/title/tt0099816/?ref_=fn_tt_tt_1,English,Norway,1990,6,278
Alexander Payne,729,2000,Comedy|Drama,Election ,73640,0,http://www.imdb.com/title/tt0126886/?ref_=fn_tt_tt_1,English,USA,1999,841,0
Mira Nair,300,579,Drama,The Namesake ,16530,1,http://www.imdb.com/title/tt0433416/?ref_=fn_tt_tt_1,English,USA,2006,405,0
Ari Sandel,17,35000,Comedy,The DUFF ,51326,4,http://www.imdb.com/title/tt1666801/?ref_=fn_tt_tt_1,English,USA,2015,966,8000
Vondie Curtis-Hall,170,736,Drama|Music|Romance,Glitter ,19412,1,http://www.imdb.com/title/tt0118589/?ref_=fn_tt_tt_1,English,USA,2001,218,0
Tom Elkins,14,1000,Drama|Horror|Mystery|Thriller,The Haunting in Connecticut 2: Ghosts of Georgia ,13167,0,http://www.imdb.com/title/tt1457765/?ref_=fn_tt_tt_1,English,USA,2013,907,0
Woo-Suk Kang,0,28,Action|Drama,Silmido ,3290,0,http://www.imdb.com/title/tt0387596/?ref_=fn_tt_tt_1,Korean,South Korea,2003,15,387
Jane Campion,319,2000,Biography|Drama|Romance,Bright Star ,21360,0,http://www.imdb.com/title/tt0810784/?ref_=fn_tt_tt_1,English,UK,2009,552,0
