director_name,director_facebook_likes,actor_2_name,gross,genres,actor_1_name,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,country,content_rating,budget,title_year,actor_2_facebook_likes,aspect_ratio,movie_facebook_likes
,,Blake Ritson,,Comedy|Drama|Romance,Romola Garai,10388,2563,Rupert Evans,1,friendship|love triangle|matchmaker|naivety|opposites attract,http://www.imdb.com/title/tt1366312/?ref_=fn_tt_tt_1,UK,,,,432,1.78,0
David Cronenberg,0,Leslie Carlson,,Horror|Mystery|Sci-Fi|Thriller,Debbie Harry,60522,477,Reiner Schwarz,0,cyberpunk|hallucination|illegality|snuff film|surrealism,http://www.imdb.com/title/tt0086541/?ref_=fn_tt_tt_1,Canada,R,5952000,1983,20,1.85,0
Cédric Klapisch,82,Cécile De France,3895664,Comedy|Drama,Romain Duris,34383,1858,Iddo Goldberg,0,apartment|erasmus|language|student|trip,http://www.imdb.com/title/tt0283900/?ref_=fn_tt_tt_1,France,R,5300000,2002,447,1.85,0
Kate Barker-Froyland,4,Shawn Parsons,20200,Drama|Music,Anne Hathaway,6797,12772,Li Jun Li,1,musician|number in title|recording|sibling,http://www.imdb.com/title/tt2182972/?ref_=fn_tt_tt_1,USA,PG-13,6000000,2014,485,,0
Barbet Schroeder,58,Chris Penn,31874869,Crime|Mystery|Thriller,Ryan Gosling,43575,34605,Agnes Bruckner,0,disposing of a dead body|high school student|murder|sociopath|teenage boy,http://www.imdb.com/title/tt0264935/?ref_=fn_tt_tt_1,USA,R,50000000,2002,455,1.85,0
Martin Koolhoven,12,Tygo Gernandt,542860,Drama|History|War,Yorick van Wageningen,9230,219,Martijn Lakemeier,1,horse|nazi|occupation|resistance movement|uncle nephew relationship,http://www.imdb.com/title/tt0795441/?ref_=fn_tt_tt_1,Netherlands,R,4000000,2008,20,2.35,0
Charles Matthau,139,Michael Jai White,,Comedy|Crime|Thriller,Billy Burke,6741,6569,Bill Duke,0,black panties|bomb squad|car bomb|dynamite|girl in panties,http://www.imdb.com/title/tt0938305/?ref_=fn_tt_tt_1,USA,R,6000000,2012,2000,,0
John Frankenheimer,287,Paul Scofield,,Thriller|War,Jeanne Moreau,10119,502,Michel Simon,0,art|french|german|painting|train,http://www.imdb.com/title/tt0059825/?ref_=fn_tt_tt_1,France,Unrated,6700000,1964,94,1.66,0
Christopher M. Bessette,0,John Billingsley,15059,Drama|Thriller,Mira Sorvino,748,1443,Trieu Tran,2,angkor wat|human trafficking|sex slavery|sex tourism,http://www.imdb.com/title/tt1772408/?ref_=fn_tt_tt_1,USA,PG-13,,2012,323,2.35,543
Prachya Pinkaew,64,Nathan Jones,11905519,Action|Crime|Drama|Thriller,Jon Foo,30210,2205,Johnny Nguyen,0,die hard scenario|elephant|long take|police|sydney australia,http://www.imdb.com/title/tt0427954/?ref_=fn_tt_tt_1,Thailand,R,200000000,2005,635,1.85,0
Gary Sinyor,0,Frank Finlay,69582,Comedy,Sean Pertwee,867,1477,Samuel West,2,class conflict|edwardian era|england|sexual awakening|spoof,http://www.imdb.com/title/tt0120210/?ref_=fn_tt_tt_1,UK,R,,1998,338,1.85,109
,,Belinda Stewart-Wilson,,Comedy|Romance,Simon Bird,55987,1239,James Buckley,0,black comedy|bully|friend|house|practical joke,http://www.imdb.com/title/tt1220617/?ref_=fn_tt_tt_1,UK,TV-14,,,223,16.0,0
Gurinder Chadha,98,Parminder Nagra,32541719,Comedy|Drama|Romance|Sport,Archie Panjabi,89806,2201,Anupam Kher,0,hinduism|marriage engagement|soccer|team|tradition,http://www.imdb.com/title/tt0286499/?ref_=fn_tt_tt_1,UK,PG-13,3500159,2002,528,1.85,0
John Sayles,407,Edie Falco,3064356,Drama|Romance,Miguel Ferrer,3433,2584,Timothy Hutton,6,african american|business|coastline|florida|real estate,http://www.imdb.com/title/tt0286179/?ref_=fn_tt_tt_1,USA,PG-13,5600000,2002,659,1.85,160
Preston A. Whitmore II,17,Wayne Brady,7009668,Action|Sport,Wesley Jonathan,8707,2000,Eva Marcille,6,african american|basketball|basketball movie|critically bashed|tv commercial,http://www.imdb.com/title/tt0473024/?ref_=fn_tt_tt_1,USA,PG-13,5600000,2006,378,1.85,244
Ashish R. Mohan,2,Mithun Chakraborty,352684,Action|Comedy,Asin,4633,1065,Johnny Lever,1,car crash|impersonating a police officer|long lost brother|marriage bureau|suitor,http://www.imdb.com/title/tt2166214/?ref_=fn_tt_tt_1,India,Not Rated,,2012,284,,365
Jaume Balagueró,57,Pablo Rosso,27024,Horror,Jonathan D. Mellor,55597,73,Andrea Ros,0,apartment|apartment building|blood sample|crucifix|zombie,http://www.imdb.com/title/tt1245112/?ref_=fn_tt_tt_1,Spain,R,5600000,2009,9,1.85,4000
Stewart Raffill,12,Alexis Biesiada,531806,Musical,Kayla Jackson,548,72,Kayla Raparelli,9,dance|dream|frog|philadelphia pennsylvania|snake,http://www.imdb.com/title/tt1303803/?ref_=fn_tt_tt_1,USA,PG,,2010,11,,277
George Roy Hill,131,Robert Shaw,159600000,Comedy|Crime|Drama,Eileen Brennan,175607,2387,Ray Walston,0,con|con man|courier|long con|murder,http://www.imdb.com/title/tt0070735/?ref_=fn_tt_tt_1,USA,PG,5500000,1973,559,1.85,0
Hugh Hudson,46,Ben Cross,58800000,Biography|Drama|Sport,Alice Krige,40511,1651,John Gielgud,0,athlete|jew|missionary|olympic games|race,http://www.imdb.com/title/tt0082158/?ref_=fn_tt_tt_1,UK,PG,5500000,1981,303,1.85,0
Darren Grant,0,Kimberly Elise,50382128,Comedy|Drama|Romance,Cicely Tyson,10472,2723,Tamara Taylor,0,comic relief|diary|kiss|madea series|state flag,http://www.imdb.com/title/tt0422093/?ref_=fn_tt_tt_1,USA,PG-13,5500000,2005,637,1.85,0
Scott Hicks,96,Armin Mueller-Stahl,35811509,Biography|Drama|Music|Romance,Noah Taylor,43013,888,Nicholas Bell,0,abuse|australia|concert|pianist|piano,http://www.imdb.com/title/tt0117631/?ref_=fn_tt_tt_1,Australia,PG-13,5500000,1996,294,1.85,0
Joseph Gordon-Levitt,23000,Scarlett Johansson,24475193,Comedy|Drama|Romance,Joseph Gordon-Levitt,190494,44265,Tony Danza,1,camera focus on female butt|cunnilingus|new jersey|oral sex|reference to facebook,http://www.imdb.com/title/tt2229499/?ref_=fn_tt_tt_1,USA,R,3000000,2013,19000,2.35,33000
Clint Eastwood,16000,Richard Bull,,Mystery|Western,Clint Eastwood,36381,17599,John Hillerman,0,gravestone|gunfighter|outlaw|revenge|small town,http://www.imdb.com/title/tt0068699/?ref_=fn_tt_tt_1,USA,R,5500000,1973,742,2.35,0
Terry Zwigoff,72,Steve Buscemi,6200756,Comedy|Drama,Scarlett Johansson,96129,34106,T.J. Thyne,0,art class|diner|friend|graduation|high school,http://www.imdb.com/title/tt0162346/?ref_=fn_tt_tt_1,USA,R,7000000,2001,12000,1.85,5000
Richard Eyre,14,Jim Broadbent,1292119,Biography|Drama|Romance,Kate Winslet,14786,16768,Kris Marshall,1,alzheimer's disease|book|love|novelist|writer,http://www.imdb.com/title/tt0280778/?ref_=fn_tt_tt_1,UK,R,5500000,2001,1000,1.85,0
William Sachs,14,Avery Schreiber,,Comedy|Sci-Fi,Stephen Macht,1955,396,Angelo Rossitto,0,alien|android|fem bot|female android|stars,http://www.imdb.com/title/tt0080771/?ref_=fn_tt_tt_1,USA,R,,1980,110,2.35,438
Christophe Barratier,25,François Berléand,3629758,Drama|Music,Jean-Baptiste Maunier,44151,745,Gérard Jugnot,0,boarding school|boy|choir|school|teacher,http://www.imdb.com/title/tt0372824/?ref_=fn_tt_tt_1,France,PG-13,5500000,2004,86,2.35,0
Émile Gaudreault,9,Luke Kirby,6239558,Comedy|Drama,Paul Sorvino,5548,1033,Claudia Ferri,0,gay|immigrant|italian|police|police officer,http://www.imdb.com/title/tt0330602/?ref_=fn_tt_tt_1,Canada,R,5000000,2003,210,1.85,352
James Cox,10,Louis Lombardi,1056102,Crime|Drama|Mystery|Thriller,Alexis Dziena,18792,1315,Franky G,0,murder|police|police investigation|porn star|robbery,http://www.imdb.com/title/tt0335563/?ref_=fn_tt_tt_1,USA,R,5000000,2003,436,1.85,1000
Spike Lee,0,John Savage,27545445,Drama,Ruby Dee,59524,2892,Danny Aiello,2,black militant|frustration|pizza|pizza parlor|pizzeria,http://www.imdb.com/title/tt0097216/?ref_=fn_tt_tt_1,USA,R,6500000,1989,652,1.85,0
James Toback,56,Eric Stoltz,56007,Comedy|Crime|Drama|Romance|Thriller,Sarah Michelle Gellar,3754,6776,Joey Lauren Adams,3,basketball|cheerleader|college|harvard|philosophy,http://www.imdb.com/title/tt0242508/?ref_=fn_tt_tt_1,USA,R,5500000,2001,902,2.35,113
Aki Kaurismäki,592,Kati Outinen,611709,Comedy|Drama,Jean-Pierre Léaud,15267,391,Jean-Pierre Darroussin,1,bar|container|illegal immigrant|neighbor|shoe shiner,http://www.imdb.com/title/tt1508675/?ref_=fn_tt_tt_1,Finland,Not Rated,3850000,2011,67,1.85,0
Gaspar Noé,929,Albert Dupontel,753501,Crime|Drama|Mystery|Thriller,Philippe Nahon,87244,118,Jo Prestia,0,long take|male frontal nudity|revenge|reverse chronology|vengeance,http://www.imdb.com/title/tt0290673/?ref_=fn_tt_tt_1,France,Not Rated,,2002,46,2.35,13000
Hitoshi Matsumoto,17,Hitoshi Matsumoto,22770,Comedy|Drama,Lindsay Kay Hayward,1658,81,Shinobu Terajima,0,coma|one word title|spitting|sushi|swimming pool,http://www.imdb.com/title/tt2914838/?ref_=fn_tt_tt_1,Japan,Unrated,5500000,2013,17,1.85,543
Rakeysh Omprakash Mehra,85,Steven Mackintosh,2197331,Comedy|Drama|History|Romance,Anupam Kher,70233,1519,Madhavan,0,freedom|friend|india|student|urination,http://www.imdb.com/title/tt0405508/?ref_=fn_tt_tt_1,India,Not Rated,,2006,227,2.35,0
Collin Schiffli,4,John Heard,,Drama,Kim Shaw,605,2030,David Dastmalchian,0,drug addict|drug addiction|drug use|drugs|junkie,http://www.imdb.com/title/tt3297554/?ref_=fn_tt_tt_1,USA,,,2014,697,2.35,679
George Ratliff,3,Cree Kelly,27445,Action|Comedy|Drama|Thriller,Jim Gaffigan,3788,561,Mike Eshaq,5,cross|doused with gasoline|pastor|security guard|shower,http://www.imdb.com/title/tt1251743/?ref_=fn_tt_tt_1,USA,R,9000000,2011,39,1.85,1000
David Wain,136,Ken Marino,766487,Comedy|Romance,Jon Hamm,15315,4883,Ron Silver,4,death|mexico|sabbath|surgeon|ten stories,http://www.imdb.com/title/tt0811106/?ref_=fn_tt_tt_1,USA,R,5250000,2007,543,1.85,915
Shane Meadows,222,Paddy Considine,18434,Comedy|Drama,Bob Hoskins,4471,6111,Shane Meadows,2,betrayal|family relationships|friendship|psychosis|stranger,http://www.imdb.com/title/tt0202559/?ref_=fn_tt_tt_1,UK,R,,1999,680,1.85,484
Morten Tyldum,77,Synnøve Macody Lund,1196752,Crime|Drama|Thriller,Aksel Hennie,79353,385,Julie R. Ølgaard,3,art thief|male frontal nudity|male nudity|male star appears nude|painting,http://www.imdb.com/title/tt1614989/?ref_=fn_tt_tt_1,Norway,R,30300000,2011,52,2.39,23000
Jon Wright,4,Richard Coyle,,Comedy|Horror|Sci-Fi|Thriller,Russell Tovey,13227,1832,Bronagh Gallagher,0,bathtub|eaten alive|ferry boat|lobster trap|sprinkler system,http://www.imdb.com/title/tt1525366/?ref_=fn_tt_tt_1,UK,Not Rated,4000000,2012,567,2.35,11000
Michael McGowan,12,Adam Butcher,795126,Comedy|Drama|Sport,Campbell Scott,4976,955,Gordon Pinsent,1,boston marathon|coma|marathon|miracles|running,http://www.imdb.com/title/tt0384488/?ref_=fn_tt_tt_1,Canada,PG-13,6000000,2004,259,1.85,989
Liv Ullmann,440,Jessica Chastain,,Drama|Romance,Samantha Morton,2894,631,Colin Farrell,2,kissing someone's boot|midsummer|telling someone to shut up|two word title|valet,http://www.imdb.com/title/tt2667960/?ref_=fn_tt_tt_1,Norway,PG-13,5500000,2014,0,,0
Jeannot Szwarc,82,Bill Erwin,,Drama|Fantasy|Romance,Teresa Wright,21049,454,George Voskovec,2,hotel|love|love across time|time travel|time travel romance,http://www.imdb.com/title/tt0081534/?ref_=fn_tt_tt_1,USA,PG,5100000,1980,191,1.85,0
Rohan Sippy,4,Bipasha Basu,563699,Action|Crime|Drama|Thriller,Abhishek Bachchan,3266,787,Prateik,0,airport|drugs|loss of loved one|police|title based on song,http://www.imdb.com/title/tt1618430/?ref_=fn_tt_tt_1,India,R,,2011,282,,421
James Wan,0,Barbara Hershey,83574831,Fantasy|Horror|Thriller,Lin Shaye,109214,2975,Leigh Whannell,0,barricading a door|injection in leg|police detective|supernatural|taser,http://www.imdb.com/title/tt2226417/?ref_=fn_tt_tt_1,USA,PG-13,5000000,2013,618,2.35,35000
Darren Lynn Bousman,163,Tony Nappo,87025093,Horror|Mystery,Emmanuelle Vaugier,188679,4134,Shawnee Smith,0,death|detective|nerve gas|serial killer|trap,http://www.imdb.com/title/tt0432348/?ref_=fn_tt_tt_1,USA,R,4000000,2005,654,1.85,0
Dan Trachtenberg,16,John Gallagher Jr.,71897215,Drama|Horror|Mystery|Sci-Fi|Thriller,Bradley Cooper,126893,14504,Sumalee Montano,0,alien|bunker|car crash|kidnapping|minimal cast,http://www.imdb.com/title/tt1179933/?ref_=fn_tt_tt_1,USA,PG-13,15000000,2016,338,2.35,33000
Jeff Tremaine,79,Steve-O,64267897,Comedy|Documentary,Bam Margera,67992,1770,Chris Pontius,0,alligator|golf|japan|panda|stunt,http://www.imdb.com/title/tt0322802/?ref_=fn_tt_tt_1,USA,R,5000000,2002,362,1.85,0
David F. Sandberg,26,Amiah Miller,56536016,Horror,Billy Burke,13523,3344,Gabriel Bateman,0,based on short film|reference to avenged sevenfold|reference to slayer|switching lights on and off|two word title,http://www.imdb.com/title/tt4786282/?ref_=fn_tt_tt_1,USA,PG-13,4900000,2016,509,2.35,0
Henry Joost,24,Sprague Grayden,104007828,Horror,Johanna Braddy,76828,2371,Christopher Nicholas Smith,0,animate object|imaginary friend|reference to macgyver|whispering|woman wearing only a man's shirt,http://www.imdb.com/title/tt1778304/?ref_=fn_tt_tt_1,USA,R,5000000,2011,438,1.85,24000
Stiles White,10,Shelley Hennig,50820940,Fantasy|Horror,Lin Shaye,31915,5056,Daren Kagasoff,0,death of girlfriend|funeral|ghost|ouija|spirit,http://www.imdb.com/title/tt1204977/?ref_=fn_tt_tt_1,USA,PG-13,5000000,2014,707,2.35,18000
Chuck Russell,55,Heather Langenkamp,44793200,Action|Fantasy|Horror|Thriller,John Saxon,49820,1584,Jennifer Rubin,0,dream|freddy krueger|killer|nightmare|springwood ohio,http://www.imdb.com/title/tt0093629/?ref_=fn_tt_tt_1,USA,X,4500000,1987,449,1.85,0
Joel Edgerton,0,Allison Tolman,43771291,Mystery|Thriller,Busy Philipps,79916,3215,Wendell Pierce,1,compulsive liar|fired from a job|gift|rape|substance abuse,http://www.imdb.com/title/tt4178092/?ref_=fn_tt_tt_1,USA,R,5000000,2015,562,2.35,15000
Eugenio Derbez,399,Jessica Lindsey,44456509,Comedy|Drama,Eugenio Derbez,22105,688,Hugo Stiglitz,1,father daughter relationship,http://www.imdb.com/title/tt2378281/?ref_=fn_tt_tt_1,Mexico,PG-13,5000000,2013,89,1.85,14000
Henry Joost,24,Brendon Eggertsen,53884821,Horror,Matt Shively,51204,799,Alisha Boe,0,boy in a bathtub|demon|laptop computer|pulled underwater|walking in the dark,http://www.imdb.com/title/tt2109184/?ref_=fn_tt_tt_1,USA,R,5000000,2012,119,1.85,26000
Henry Koster,28,Jean Simmons,36000000,Drama|History,Richard Burton,6359,1920,Victor Mature,1,box office hit|crucifixion|nightmare|palestine|robe,http://www.imdb.com/title/tt0046247/?ref_=fn_tt_tt_1,USA,Unrated,5000000,1953,422,2.2,0
Blake Edwards,688,Herbert Lom,,Comedy|Crime|Mystery,Burt Kwouk,19596,971,Catherine Schell,0,clouseau|diamond|panther|pink|pink panther,http://www.imdb.com/title/tt0072081/?ref_=fn_tt_tt_1,UK,G,5000000,1975,278,2.35,620
Rachel Talalay,54,Tom Arnold,34872293,Comedy|Fantasy|Horror|Thriller,Johnny Depp,30765,42002,Yaphet Kotto,0,dark comedy|dream|freddy krueger|nightmare|serial murder,http://www.imdb.com/title/tt0101917/?ref_=fn_tt_tt_1,USA,R,8500000,1991,618,1.85,963
Patty Jenkins,260,Bruce Dern,34468224,Biography|Crime|Drama|Thriller,Charlize Theron,105568,11736,Pruitt Taylor Vince,2,beach|female criminal|hooker|lesbian|prostitute,http://www.imdb.com/title/tt0340855/?ref_=fn_tt_tt_1,USA,R,4500000,2003,844,1.85,0
Richard Fleischer,130,Robert J. Wilke,,Adventure|Drama|Family|Fantasy|Sci-Fi,James Mason,22123,799,Paul Lukas,0,captain|expedition|sea|submarine|whale,http://www.imdb.com/title/tt0046672/?ref_=fn_tt_tt_1,USA,Approved,5000000,1954,53,1.37,0
Christopher Landon,52,Gloria Sandoval,32453345,Fantasy|Horror|Thriller,Richard Cabral,31791,2161,Molly Ephraim,0,apartment|blood|demonic possession|neighbor|pentagram,http://www.imdb.com/title/tt2473682/?ref_=fn_tt_tt_1,USA,R,5000000,2014,358,1.78,10000
David Lynch,0,Anne Bancroft,,Biography|Drama,Anthony Hopkins,161972,13864,Dexter Fletcher,1,curiosity|exploitation|freak|hospital|physical deformity,http://www.imdb.com/title/tt0080678/?ref_=fn_tt_tt_1,USA,PG,5000000,1980,754,2.35,9000
Jean-Marc Vallée,212,Jennifer Garner,27296514,Biography|Drama,Matthew McConaughey,326494,17738,Denis O'Hare,0,drugs|fda|gay community|hiv|homophobia,http://www.imdb.com/title/tt0790636/?ref_=fn_tt_tt_1,USA,R,5000000,2013,3000,2.35,65000
David Gelb,26,Mark Duplass,25799043,Horror|Sci-Fi|Thriller,Olivia Wilde,28513,11771,Donald Glover,0,electrocuted|experiment|hell|serum|university,http://www.imdb.com/title/tt2918436/?ref_=fn_tt_tt_1,USA,PG-13,3300000,2015,830,2.35,0
Christopher Nolan,22000,Thomas Lennon,25530884,Mystery|Thriller,Callum Rennie,845580,1997,Jorja Fox,0,flashback|memory|murder|short term memory|telephone,http://www.imdb.com/title/tt0209144/?ref_=fn_tt_tt_1,USA,R,9000000,2000,651,2.35,40000
Mike Flanagan,59,Rory Cochrane,27689474,Horror|Mystery,James Lafferty,85688,2071,Garrett Ryan,0,home office|mirror|released from a mental hospital|trauma|video camera,http://www.imdb.com/title/tt2388715/?ref_=fn_tt_tt_1,USA,R,5000000,2013,407,2.35,23000
Kevin Smith,0,Jason Mewes,24138847,Comedy,Ethan Suplee,114797,2990,Brian O'Halloran,3,fast food|fast food restaurant|new jersey|quick stop|restaurant,http://www.imdb.com/title/tt0424345/?ref_=fn_tt_tt_1,USA,R,5000000,2006,898,1.85,0
Stephen Daldry,335,Gary Lewis,21994911,Drama|Music,Julie Walters,98354,1122,Jamie Draven,0,audition|ballet|boxing|miner|miners strike,http://www.imdb.com/title/tt0249462/?ref_=fn_tt_tt_1,UK,R,5000000,2000,203,1.85,0
Nat Faxon,214,Liam James,21501098,Comedy|Drama,Steve Carell,115813,8375,Jim Rash,1,awkward boy|shy kid|summer|vacation|water park,http://www.imdb.com/title/tt1727388/?ref_=fn_tt_tt_1,USA,PG-13,5000000,2013,468,1.85,22000
George Jackson,0,Tisha Campbell-Martin,19281235,Comedy|Drama|Music|Romance,William Schallert,3571,2523,Helen Martin,0,college|misogyny|money|new friend|party,http://www.imdb.com/title/tt0102065/?ref_=fn_tt_tt_1,USA,R,5000000,1991,413,1.85,232
George Miller,18,Jack Thompson,,Adventure|Drama|Family|Romance|Western,Tony Bonner,5894,854,Tom Burlinson,0,australia|brumby|ranch|stallion|twin,http://www.imdb.com/title/tt0084296/?ref_=fn_tt_tt_1,Australia,PG,3500000,1982,155,2.35,0
Maurice Joyce,0,Constance Shulman,19421271,Animation|Comedy|Family,Frank Welker,2448,2908,Alice Playten,1,dance|friend|monster|reference to batman|valentine,http://www.imdb.com/title/tt0187819/?ref_=fn_tt_tt_1,USA,G,5000000,1999,804,1.33,122
Robert Duvall,3000,Todd Allen,20733485,Drama,John Beasley,11622,428,June Carter Cash,1,church|louisiana|minister|preacher|texas,http://www.imdb.com/title/tt0118632/?ref_=fn_tt_tt_1,USA,PG-13,5000000,1997,130,1.85,1000
Frank Perry,24,Xander Berkeley,,Biography|Drama,Faye Dunaway,10564,2014,Diana Scarwid,1,abusive mother|adopted daughter|borderline personality disorder|perfection|sadistic cruelty,http://www.imdb.com/title/tt0082766/?ref_=fn_tt_tt_1,USA,R,5000000,1981,485,1.85,0
Jesse Peretz,37,Adam Scott,24809547,Comedy|Drama,Zooey Deschanel,74875,15710,Steve Coogan,1,art model|farmer|jail|nude model|three sisters,http://www.imdb.com/title/tt1637706/?ref_=fn_tt_tt_1,USA,R,5000000,2011,3000,1.85,11000
Stephen Hopkins,81,Tony Curran,19097994,Biography|Drama|Sport,William Hurt,11744,2410,David Kross,0,1930s|athlete|nazi germany|olympics|track and field,http://www.imdb.com/title/tt3499096/?ref_=fn_tt_tt_1,Canada,PG-13,,2016,845,2.35,0
Ice Cube,0,Monica Calhoun,23031390,Comedy|Drama,Bernie Mac,4345,2868,Chrystale Wilson,9,catfight|dominatrix|rape|spanking|stripper,http://www.imdb.com/title/tt0119905/?ref_=fn_tt_tt_1,USA,R,4500000,1998,597,1.85,575
Tim Blake Nelson,596,Andrew Keegan,16017403,Drama|Romance|Thriller,Mekhi Phifer,17333,3300,John Heard,2,basketball|basketball player|boarding school|love|shakespeare's othello,http://www.imdb.com/title/tt0184791/?ref_=fn_tt_tt_1,USA,R,5000000,2001,835,1.85,0
John Erick Dowdle,66,Edwin Hodge,21197315,Horror|Mystery|Thriller,Ben Feldman,49948,1410,Perdita Weeks,0,archeologist|catacomb|found footage|paris france|philosopher's stone,http://www.imdb.com/title/tt2870612/?ref_=fn_tt_tt_1,USA,R,5000000,2014,200,1.85,14000
Bille Woodruff,23,Cameron Mills,17382982,Drama|Thriller,Boris Kodjoe,5975,2840,Sharon Leal,0,adultery|attraction|lust|obsession|temptation,http://www.imdb.com/title/tt2205401/?ref_=fn_tt_tt_1,USA,R,5000000,2014,694,1.85,0
Kasi Lemmons,148,Lynn Whitfield,14821531,Drama,Jurnee Smollett-Bell,6915,3843,Diahann Carroll,2,doctor|louisiana|secret|title directed by female|witchcraft,http://www.imdb.com/title/tt0119080/?ref_=fn_tt_tt_1,USA,R,6000000,1997,434,1.85,599
Richard Glatzer,25,Hunter Parrish,18656400,Drama,Kristen Stewart,86077,19673,Seth Gilliam,1,alzheimer's disease|bechdel test passed|linguistics professor|new york city|reference to angels in america the play,http://www.imdb.com/title/tt3316960/?ref_=fn_tt_tt_1,USA,PG-13,5000000,2014,2000,1.85,45000
Michael Curtiz,345,Peter Ustinov,,Drama|History,Gene Tierney,2498,2112,Jean Simmons,0,afterlife|egypt|pharaoh|princess|pyramid,http://www.imdb.com/title/tt0046949/?ref_=fn_tt_tt_1,USA,Approved,5000000,1954,440,2.55,376
Bruce Malmuth,6,Lindsay Wagner,,Action|Crime|Thriller,Sylvester Stallone,12519,14306,Persis Khambatta,2,bomb|new york city|partner|shooting|terrorist,http://www.imdb.com/title/tt0082817/?ref_=fn_tt_tt_1,USA,R,5000000,1981,970,1.85,0
Rob Hedden,6,Peter Mark Richman,14343976,Adventure|Horror,Kane Hodder,22961,1327,Scott Reeves,0,cult film|friday the thirteenth|hockey mask|jason voorhees|murder spree,http://www.imdb.com/title/tt0097388/?ref_=fn_tt_tt_1,USA,R,5000000,1989,120,1.85,1000
Joel Zwick,38,Louis Mandylor,241437427,Comedy|Family|Romance,Nia Vardalos,102071,1495,Lainie Kazan,3,baptism|greek|greek restaurant|prejudice|travel agency,http://www.imdb.com/title/tt0259446/?ref_=fn_tt_tt_1,USA,PG,5000000,2002,312,1.85,5000
Harmony Korine,520,Heather Morris,14123773,Crime|Drama,James Franco,108683,12306,Rachel Korine,4,kissing a dead body|repeated dialogue|sex in pool|spring break|twins,http://www.imdb.com/title/tt2101441/?ref_=fn_tt_tt_1,USA,R,5000000,2012,892,2.35,25000
Joe Chappelle,13,Kim Darby,15126948,Horror|Thriller,Donald Pleasence,20815,1227,Mitchell Ryan,0,halloween|michael myers|nudity|returning character with different actor|slasher flick,http://www.imdb.com/title/tt0113253/?ref_=fn_tt_tt_1,USA,R,5000000,1995,152,1.85,0
Alfonso Cuarón,0,Daniel Giménez Cacho,13622333,Adventure|Comedy|Drama|Romance,Maribel Verdú,91377,361,María Aura,1,beach|cleaning a swimming pool|male male kiss|mexico|on the road,http://www.imdb.com/title/tt0245574/?ref_=fn_tt_tt_1,Mexico,R,2000000,2001,43,1.85,0
