director_name,director_facebook_likes,gross,genres,movie_title,actor_3_name,num_user_for_reviews,language,budget,movie_facebook_likes
Bob Clark,84,27141959,Comedy|Crime|Family|Sci-Fi,Baby Geniuses ,Ruby Dee,168,English,18000000,0
Kirk Wong,6,27052167,Action|Comedy|Crime|Thriller,The Big Hit ,Antonio Sabato Jr.,168,English,13000000,934
Bronwen Hughes,15,26539321,Comedy|Drama|Family,Harriet the Spy ,Charlotte Sullivan,42,English,13000000,833
John Lafia,5,28501605,Fantasy|Horror,Child's Play 2 ,Greg Germann,166,English,13000000,0
Sam Miller,12,52543632,Crime|Thriller,No Good Deed ,Henry Simmons,84,English,13200000,0
Frank Darabont,0,25592632,Horror,The Mist ,Jeffrey DeMunn,1066,English,18000000,20000
Alex Garland,232,25440971,Drama|Mystery|Sci-Fi|Thriller,Ex Machina ,Corey Johnson,611,English,15000000,109000
Spike Jonze,0,22858926,Comedy|Drama|Fantasy,Being John Malkovich ,Mary Kay Place,840,English,13000000,0
Mark Brown,7,22235901,Comedy|Romance,Two Can Play That Game ,Tamala Jones,31,English,6000000,593
Dave Green,13,38916903,Adventure|Family|Sci-Fi,Earth to Echo ,Jason Gray-Stanford,149,English,13000000,0
John Stockwell,134,16929123,Drama|Romance,Crazy/Beautiful ,Rolando Molina,169,English,14000000,0
Clint Eastwood,16000,13753931,Drama|History|War,Letters from Iwo Jima ,Shidô Nakamura,316,Japanese,19000000,5000
Michael Polish,35,10996440,Adventure|Drama|Sci-Fi,The Astronaut Farmer ,Bruce Dern,128,English,13000000,862
Daisy von Scherler Mayer,18,8026971,Comedy|Romance,Woo ,Dave Chappelle,20,English,13000000,204
Lenny Abrahamson,412,14677654,Drama,Room ,Cas Anvar,351,English,13000000,72000
Bob Saget,799,9975684,Comedy,Dirty Work ,Traylor Howard,117,English,13000000,679
John Waters,0,7881335,Comedy|Crime|Thriller,Serial Mom ,Traci Lords,107,English,13000000,3000
Andrew Fleming,26,6241697,Comedy,Dick ,Kirsten Dunst,210,English,13000000,0
Niels Arden Oplev,76,,Action|Crime|Mystery|Thriller,Del 1 - Män som hatar kvinnor             ,Lena Endre,,Swedish,,22
Craig Bolotin,7,5871603,Drama|Thriller,Light It Up ,Robert Ri'chard,39,English,13000000,251
Mark Christopher,15,16574731,Drama|Music,54 ,Sela Ward,181,English,13000000,0
Blair Hayes,2,5002310,Adventure|Comedy|Romance|Sci-Fi,Bubble Boy ,Marley Shelton,181,English,13000000,0
Jez Butterworth,16,4919896,Comedy|Crime|Thriller,Birthday Girl ,Ben Chaplin,159,English,13000000,618
Jon Lucas,24,25675765,Comedy,21 & Over ,Sarah Wright,84,English,13000000,11000
Olivier Assayas,107,4857376,Comedy|Drama|Romance,Paris, je t'aime ,Catalina Sandino Moreno,123,French,13000000,0
Rod Lurie,37,3169424,Drama|Sport,Resurrecting the Champ ,Peter Coyote,59,English,13000000,689
Paul Weitz,80,18004225,Comedy|Drama|Romance,Admission ,Christopher Evan Welch,87,English,13000000,5000
Patrice Leconte,83,3058380,Drama|Romance,The Widow of Saint-Pierre ,Yves Jacques,69,French,100000000,186
Atom Egoyan,460,3074838,Drama|Mystery|Romance|Thriller,Chloe ,Natalie Lisinska,166,English,11000000,0
Paul Mazursky,150,2104000,Comedy|Crime|Drama,Faithful ,Paul Mazursky,19,English,13000000,69
Jim Sheridan,260,28501651,Drama|Thriller,Brothers ,Ethan Suplee,201,English,26000000,10000
Sidney Lumet,0,1172769,Biography|Comedy|Crime|Drama,Find Me Guilty ,Alex Rocco,108,English,13000000,0
Stephen Chbosky,139,17738570,Drama|Romance,The Perks of Being a Wallflower ,Kate Walsh,457,English,13000000,131000
Jon Hess,29,1200000,Action,Excessive Force ,Thomas Ian Griffith,23,English,3000000,107
Douglas McGrath,41,1150403,Biography|Crime|Drama,Infamous ,Hope Davis,102,English,13000000,0
Michael Winterbottom,187,403932,Drama|Romance|Western,The Claim ,Shirley Henderson,92,English,20000000,141
Mark Neveldine,83,1712111,Horror|Thriller,The Vatican Tapes ,Dougray Scott,53,English,8495000,0
Joe Cornish,115,1024175,Action|Comedy|Sci-Fi|Thriller,Attack the Block ,Jodie Whittaker,297,English,13000000,18000
Angelina Jolie Pitt,11000,301305,Drama|Romance|War,In the Land of Blood and Honey ,Branko Djuric,180,Bosnian,13000000,0
Brad Anderson,122,51872378,Crime|Thriller,The Call ,Roma Maffia,266,English,13000000,23000
John H. Lee,32,31662,Action|Drama|History|War,Operation Chromite ,Jung-jae Lee,1,English,12620000,139
John Stainton,0,28399192,Action|Adventure|Comedy|Family,The Crocodile Hunter: Collision Course ,Steve Bastoni,106,English,13000000,332
Glenn Ficarra,43,2035566,Biography|Comedy|Crime|Drama|Romance,I Love You Phillip Morris ,Annie Golden,162,English,13000000,11000
Jean-Jacques Annaud,218,,Adventure|Drama|History,Quest for Fire ,Gary Schwartz,96,None,12500000,0
Denzel Washington,18000,21078145,Biography|Drama,Antwone Fisher ,Derek Luke,159,English,12500000,0
Michael Hoffman,97,14060950,Drama,The Emperor's Club ,Rob Morrow,139,English,12500000,0
Tony Scott,12000,12281500,Action|Crime|Drama|Romance|Thriller,True Romance ,Michael Rapaport,460,English,13000000,15000
Benedek Fliegauf,28,,Drama|Romance|Sci-Fi,Womb ,Hannah Murray,35,English,3660000,0
James Foley,164,10725228,Crime|Drama|Mystery,Glengarry Glen Ross ,Jude Ciccolella,365,English,12500000,0
Michael Winterbottom,187,214966,Crime|Drama|Thriller,The Killer Inside Me ,Jay R. Ferguson,176,English,13000000,0
Paul Schrader,261,,Fantasy|Horror|Thriller,Cat People ,John Heard,106,English,18000000,0
Stewart Hendler,10,11956207,Horror|Mystery,Sorority Row ,Rumer Willis,126,English,16000000,0
John Cromwell,19,,Adventure|Drama|Romance,The Prisoner of Zenda ,Ronald Colman,44,English,,337
Craig Gillespie,44,5949693,Comedy|Drama|Romance,Lars and the Real Girl ,Paul Schneider,299,English,12000000,19000
Mark Herman,39,9030581,Drama|War,The Boy in the Striped Pajamas ,Cara Horgan,398,English,12500000,38000
Lars von Trier,3000,4157491,Crime|Drama|Musical,Dancer in the Dark ,Björk,690,English,12800000,0
Gillian Armstrong,44,1508689,Drama|Romance,Oscar and Lucinda ,Clive Russell,50,English,16000000,329
Abel Ferrara,220,1227324,Crime|Drama,The Funeral ,Gretchen Mol,48,English,12500000,344
Brian Koppelman,34,4360548,Comedy|Drama|Romance,Solitary Man ,Richard Schiff,60,English,15000000,0
Ethan Maniquis,20,26589953,Action|Crime|Thriller,Machete ,Cheech Marin,392,English,10500000,44000
George Hickenlooper,60,1039869,Biography|Comedy|Crime|Drama,Casino Jack ,Christian Campbell,51,English,15000000,0
Don Bluth,383,48092846,Adventure|Animation|Family,The Land Before Time ,Bill Erwin,133,English,12500000,5000
Je-kyu Kang,16,1110186,Action|Drama|War,Tae Guk Gi: The Brotherhood of War ,Dong-gun Jang,224,Korean,12800000,0
William Dear,50,1089445,Comedy|Drama|Family|Sport,The Perfect Game ,Bruce McGill,33,English,12500000,0
William Friedkin,607,204565000,Horror,The Exorcist ,Lee J. Cobb,1058,English,8000000,18000
Steven Spielberg,14000,260000000,Adventure|Drama|Thriller,Jaws ,Murray Hamilton,962,English,8000000,21000
Paul Weitz,80,101736215,Comedy,American Pie ,Natasha Lyonne,789,English,11000000,0
Stéphane Aubier,2,71442,Animation|Comedy|Crime|Drama|Family,Ernest & Celestine ,Lambert Wilson,32,French,9600000,0
Michael Ritchie,23,79817937,Action|Adventure|Comedy|Fantasy|Mystery,The Golden Child ,Charlotte Lewis,69,English,25000000,0
Tim Story,167,91547205,Comedy|Romance,Think Like a Man ,Regina Hall,62,English,12000000,0
Tim Story,167,75074950,Comedy|Drama,Barbershop ,Cedric the Entertainer,156,English,12000000,770
Nicholas Meyer,120,78900000,Action|Adventure|Sci-Fi,Star Trek II: The Wrath of Khan ,Nichelle Nichols,359,English,11000000,0
Tom Shadyac,293,72217000,Comedy,Ace Ventura: Pet Detective ,David Margulies,242,English,12000000,0
John Badham,139,79568000,Sci-Fi|Thriller,WarGames ,Ally Sheedy,152,English,12000000,0
Peter Weir,608,65500000,Crime|Drama|Romance|Thriller,Witness ,Lukas Haas,175,English,12000000,0
Mike McCoy,16,70011073,Action|Adventure|Drama|Thriller|War,Act of Valor ,Rorke Denver,349,English,12000000,15000
Anne Fletcher,98,65269010,Crime|Drama|Music|Romance,Step Up ,Josh Henderson,271,English,12000000,0
Mike Judge,406,63071133,Adventure|Animation|Comedy|Crime,Beavis and Butt-Head Do America ,John Doman,154,English,12000000,0
Quentin Tarantino,16000,39647595,Crime|Thriller,Jackie Brown ,Robert Forster,462,English,12000000,0
Jon Hurwitz,22,38087366,Adventure|Comedy,Harold & Kumar Escape from Guantanamo Bay ,Beverly D'Angelo,165,English,12000000,0
Josh Trank,128,64572496,Drama|Sci-Fi|Thriller,Chronicle ,Ashley Hinshaw,471,English,12000000,32000
Barbra Streisand,0,30400000,Drama|Musical|Romance,Yentl ,Steven Hill,68,English,12000000,0
Terry Gilliam,0,42365600,Adventure|Comedy|Fantasy|Sci-Fi,Time Bandits ,Kenny Baker,177,English,5000000,0
Tamra Davis,33,37188667,Comedy|Drama,Crossroads ,Dave Allen,578,English,12000000,0
Nima Nourizadeh,166,54724272,Comedy|Crime,Project X ,Oliver Cooper,261,English,12000000,29000
Franklin J. Schaffner,76,,Biography|Drama|War,Patton ,Bill Hickman,258,English,12000000,0
Mark Romanek,132,31597131,Drama|Thriller,One Hour Photo ,Connie Nielsen,605,English,12000000,0
John Erick Dowdle,66,31691811,Horror|Sci-Fi|Thriller,Quarantine ,Dania Ramirez,369,English,12000000,0
David Moreau,0,31397498,Horror|Mystery,The Eye ,Obba Babatundé,156,English,12000000,0
Christopher Erskin,4,31179516,Comedy,Johnson Family Vacation ,Shad Moss,49,English,12000000,243
Jesse Dylan,58,31155435,Comedy|Fantasy,How High ,T.J. Thyne,102,English,12000000,0
Brian Henson,53,27281507,Comedy|Drama|Family|Fantasy|Musical,The Muppet Christmas Carol ,Steve Whitmire,147,English,12000000,0
Martin Campbell,258,167007184,Action|Adventure|Thriller,Casino Royale ,Ivana Milicevic,2301,English,150000000,0
Julie Taymor,278,25776062,Biography|Drama|Romance,Frida ,Valeria Golino,271,English,12000000,0
Dan Cutforth,4,25240988,Documentary|Music,Katy Perry: Part of Me ,Anthony Burrell,50,English,12000000,0
Josh Boone,131,124868837,Drama|Romance,The Fault in Our Stars ,Nat Wolff,548,English,12000000,93000
John Dahl,131,22905674,Crime|Drama,Rounders ,Gretchen Mol,290,English,12000000,0
Chris Rock,0,25277561,Comedy|Romance,Top Five ,J.B. Smoove,93,English,12000000,0
John Frankenheimer,287,,Horror|Sci-Fi,Prophecy ,Robert Foxworth,75,English,12000000,902
David Koepp,192,21133087,Horror|Mystery|Thriller,Stir of Echoes ,Lusia Strus,374,English,12000000,0
,,,Action|Adventure|Biography|Drama|History,Spartacus: War of the Damned             ,Viva Bianca,302,English,,31000
Stephen Frears,350,37707719,Biography|Drama,Philomena ,Peter Hermann,233,English,12000000,37000
Mike Binder,57,18761993,Comedy|Drama,The Upside of Anger ,Joan Allen,219,English,9000000,549
