director_facebook_likes,genres,movie_imdb_link,language,aspect_ratio,movie_facebook_likes
126,Comedy|Romance,http://www.imdb.com/title/tt0250494/?ref_=fn_tt_tt_1,English,2.35,0
12000,Action|Adventure|Sci-Fi,http://www.imdb.com/title/tt0088170/?ref_=fn_tt_tt_1,English,2.35,0
301,Drama|Horror|Thriller,http://www.imdb.com/title/tt0404032/?ref_=fn_tt_tt_1,English,2.35,0
31,Comedy|Romance,http://www.imdb.com/title/tt0205000/?ref_=fn_tt_tt_1,English,1.85,0
179,Action|Drama|Fantasy|Mystery|Thriller,http://www.imdb.com/title/tt2467046/?ref_=fn_tt_tt_1,English,2.35,31000
15,Comedy|Drama|Romance,http://www.imdb.com/title/tt0356680/?ref_=fn_tt_tt_1,English,1.85,0
8,Comedy|Drama,http://www.imdb.com/title/tt0337579/?ref_=fn_tt_tt_1,English,1.85,265
72,Comedy|Crime|Drama,http://www.imdb.com/title/tt0307987/?ref_=fn_tt_tt_1,English,1.85,10000
116,Comedy|Crime,http://www.imdb.com/title/tt0118655/?ref_=fn_tt_tt_1,English,2.35,0
52,Comedy|Family|Romance,http://www.imdb.com/title/tt3760922/?ref_=fn_tt_tt_1,English,2.35,19000
42,Comedy|Family,http://www.imdb.com/title/tt1650043/?ref_=fn_tt_tt_1,English,2.35,0
