director_name,duration,actor_3_facebook_likes,gross,actor_1_name,num_voted_users,cast_total_facebook_likes,plot_keywords,language,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Jerry Belson,87,83,,Cassandra Peterson,881,1324,breasts growing|coors light|drugs|hospital|spinning in grave,English,R,5000000,1982,162,6.2,,323
Peter Jackson,108,88,3049135,Kate Winslet,50197,14574,fantasy life|friend|friendship|love|teenage crush,English,R,5000000,1994,433,7.4,2.35,0
Michael Polish,121,473,4700361,Hayden Christensen,2047,6617,heaven|hospital|praying|pronounced dead|recovery,English,PG-13,5000000,2015,849,4.6,2.35,0
Dan Rush,97,939,2711210,Will Ferrell,40305,10517,alcoholic|beer|bicycle|new neighbor|yard sale,English,R,5000000,2010,981,6.4,2.35,0
Jake Kasdan,116,102,1980338,Kim Dickens,12366,1209,blackmail|client|private detective|private investigator|tycoon,English,R,5000000,1998,385,7.0,1.85,507
Brad Anderson,94,360,1082044,Christian Bale,281649,24994,alienation|conscience|insomnia|paranoia|urban gothic,English,R,5000000,2004,1000,7.7,2.35,21000
Paul Schrader,103,145,1100000,Dana Delany,3665,1201,bare breasts|drugs|existentialism|new york city|redemption,English,R,5000000,1992,280,6.8,1.85,247
Michael Cuesta,112,688,2445646,Jeremy Renner,32382,12897,based on true story|cia|cocaine|journalist|smear campaign,English,R,5000000,2014,963,7.0,2.35,13000
John Cameron Mitchell,91,192,2221809,Dianne Wiest,40618,1582,car|comic book|comic book artist|iphone|memory,English,PG-13,5000000,2010,289,7.0,1.85,0
Fenton Bailey,98,600,296665,Macaulay Culkin,12675,5185,drug dealer|drugs|gay|homosexual|party,English,R,5000000,2003,971,6.3,1.85,0
Jeremy Saulnier,95,233,3219029,Alia Shawkat,28845,1836,murder|neo nazi|punk band|skinhead|suspense,English,R,5000000,2015,442,7.1,2.35,10000
Billy Kent,88,276,,Liza Minnelli,5494,1665,marriage|orgasm|school|sex|swimming,English,R,5000000,2006,625,5.6,2.35,255
James Manera,99,361,830210,Joaquim de Almeida,1900,3382,box office flop|critically bashed|economy|individual versus society|rescue,English,PG-13,5000000,2014,435,4.4,,0
Wes Anderson,91,65,1040879,Andrew Wilson,54478,648,caper|escapade|motel|robbery|texas,English,R,7000000,1996,96,7.1,1.85,0
Kevin Spacey,97,977,326308,Viggo Mortensen,6632,13718,bar|box office flop|hostage|new orleans louisiana|police,English,R,5000000,1996,1000,6.1,2.35,225
Feroz Abbas Khan,136,14,240425,Akshaye Khanna,1311,172,africa|hindu|india|muslim|south africa,Hindi,,,2007,45,7.4,2.35,133
Errol Morris,118,0,228830,Jeffrey Frost,3329,6,abu ghraib|abuse|prison|slow motion|torture,English,R,,2008,0,7.5,2.35,489
Dennis Hopper,94,51,,Raymond Burr,1599,498,explosion|hitchhiking|punk|trauma|truck driver,English,R,2200000,1980,59,7.2,1.85,274
Eli Craig,89,440,223615,Katrina Bowden,127842,2958,cabin|chainsaw|college kid|hillbilly|vacation,English,R,,2010,779,7.6,2.35,49000
Nicholas Fackler,90,940,124720,Adam Scott,1560,4987,christmas|fable|old man,English,PG,5000000,2008,1000,7.3,1.85,777
Richard Wallace,95,100,,Judith Anderson,989,538,engineer|ethics|mountain|railroad|south america,English,Approved,3209000,1947,116,6.2,1.37,44
Morgan J. Freeman,90,697,99147,Ethan Suplee,1884,3207,cola|desert|ice cream cone|teenage girl|vomiting,English,R,2000000,1998,697,6.2,1.85,69
Matthew Hastings,95,383,,Meghan Ory,4041,2984,breasts|campus|college|tentacle|virginity,English,R,5000000,2004,680,4.6,1.85,174
M. Night Shyamalan,94,99,65069140,Ocean James,65299,1010,farm|handheld camera|impostor|rap|rock paper scissors,English,PG-13,5000000,2015,309,6.2,1.85,27000
Brian De Palma,90,15,65087,Mike Figueroa,8824,408,blood splatter|iraq|murder|rape|soldier,English,R,5000000,2007,29,6.2,1.85,559
Klaus Menzel,103,227,16066,Adam Garcia,1207,1789,death|love|marriage|secret|suspicion,English,R,5000000,2004,522,3.3,2.35,40
,60,904,,Holly Hunter,3852,5203,catholic|death row|inmate|oklahoma city|sexual promiscuity,English,TV-MA,,,1000,7.5,1.78,634
Oren Peli,91,14,,Glenn Campbell,7888,117,alien|alien abduction|conspiracy|secret base|ufo,English,R,5000000,2015,21,4.2,,0
Jaume Balagueró,102,78,,Luis Tosar,23756,526,apartment|concierge|girl|hitchcockian|stalking,Spanish,Not Rated,5000000,2011,93,7.2,2.35,0
Paul Andrew Williams,92,141,,Dave Legeno,10056,1258,countryside|deformed|farmer|gangster|kidnapping,English,Unrated,2500000,2008,337,6.2,2.35,639
Stephen Herek,87,686,,Henry Ian Cusick,10734,3724,african american policeman|police|policeman|policewoman|vomiting,English,R,5000000,2009,738,6.1,1.78,887
Bob Saget,80,854,,Alyson Hannigan,4322,10727,flatulence|march|penguin|south pole|spoof,English,R,,2006,2000,4.2,1.85,419
Jim Amatulli,90,483,,Heather Locklear,215,3217,,English,PG-13,,2009,617,4.5,,38
,44,816,,Corbin Bernsen,67315,4092,best friend|friend|police|police department|psychic,English,TV-PG,,,922,8.4,1.78,0
William H. Macy,105,394,37440,Billy Crudup,12672,1986,demo tape|directed by cast member|grieving father|guitar|guitar player,English,R,5000000,2014,508,7.5,,0
Barrett Esposito,67,388,,Chazz Palminteri,83,2509,bare butt|baseball|children|new york yankees|surrealism,English,PG,10000000,2014,732,6.7,,165
Mitch Davis,95,541,,Gary Cole,1091,3514,,English,PG,,2015,970,5.1,,0
Eric Bross,87,601,,Teri Polo,216,3059,abduction|based on true story|mexico,English,TV-PG,5000000,2011,699,5.5,1.78,58
Paul Schrader,94,179,,Nicolas Cage,6964,12676,cia|individualism|mental illness|religion|revenge,English,R,5000000,2014,316,4.4,2.35,0
Vicky Jewson,109,126,,James Frain,237,1681,fight|mina|murder|revenge|terrorist,English,R,5000000,2014,266,4.4,,190
Peter Hyams,130,826,,David Huddleston,15988,5191,astronaut|hoax|journalist|mission|nasa,English,PG,5000000,1977,849,6.8,2.35,2000
Marc Bennett,,723,,Michael Rapaport,38,4991,,English,,5000000,2012,900,6.7,,35
Mike Mayhall,88,668,,David Raizor,8,3021,,English,,5000000,2015,763,8.6,,49
Kevin Smith,88,1000,,Johnny Depp,849,46115,part of trilogy|second part,English,PG-13,5000000,2016,3000,4.8,,0
Stanton Barrett,97,538,,Mikal Vega,928,2849,building|infection|navy seal|shot through the head|zombie,English,,,2015,615,3.4,,0
Jirí Menzel,113,4,617228,Julia Jentsch,6183,92,hotel|legs|lingerie|waiter|wealth,Czech,R,84450000,2006,12,7.4,1.85,1000
Fatih Akin,99,269,274385,Udo Kier,29203,1519,2000s|burglar|chef|cook|restaurant,German,,4000000,2009,486,7.3,1.85,0
Billy Bob Thornton,148,263,24475416,Robert Duvall,72443,3967,friend|mental institution|murder|repair shop|small town,English,R,890000,1996,324,8.0,1.85,0
Nick Murphy,107,537,,Isaac Hempstead Wright,46347,2363,boarding school|boy|british horror|ghost|school,English,R,3000000,2011,579,6.5,2.35,10000
Eli Roth,93,581,47277326,Jay Hernandez,138814,2990,bratislava|hostel|sadistic horror|torture|travel,English,R,4800000,2005,1000,5.9,2.35,0
Michael Winterbottom,94,427,1247453,Steve Coogan,11202,3690,actor playing himself|battle|boots|penis|womb,English,R,2800000,2005,887,6.8,2.35,750
Jeff Nichols,121,41,1729969,Katy Mixon,68211,1520,ambiguous ending|firefly|mysterious event|schizophrenia|storm,English,R,5000000,2011,463,7.4,2.35,14000
Frank LaLoggia,118,339,1705139,Alex Rocco,4695,2545,1960s|boy|ghost|murder|small town,English,R,4700000,1988,733,6.7,1.85,0
Jeremy Brock,98,621,238774,Rupert Grint,9611,11703,actress|coming of age|retired actress|teenage boy|vomiting,English,PG-13,,2006,838,6.8,1.85,864
Scott Foley,82,316,,Donald Faison,4247,2469,apology|death|group of friends|sex|toilet,English,Unrated,5000000,2014,833,5.4,,0
Tobe Hooper,101,14,8025872,Bill Johnson,19234,302,chainsaw|chainsaw murder|human monster|music score composed by director|obscene finger gesture,English,X,4700000,1986,28,5.5,1.85,0
Sam Peckinpah,106,372,,James Coburn,13467,2409,bare breasts|flogging|human branding|man slaps a woman|manhunt,English,R,4638783,1973,476,7.4,2.35,0
Nicolas Winding Refn,90,428,778565,Ryan Gosling,83234,34779,brutal cop|drug dealer|punishment|thai boxing|vengeance,English,R,4800000,2013,1000,5.7,1.85,30000
Christophe Ali,79,20,,Denis Lavant,262,286,cabin|girl fight|jealousy|sailing boat|tent,French,,,2005,40,5.4,,11
Gabriela Tagliavini,87,329,,Maria Conchita Alonso,1427,2006,bare chested male|journalist|passion|pregnancy|woman in underwear,English,R,4700000,2011,345,3.2,,491
Shekar,,0,,Bhama,57,5,,Kannada,,,2013,0,7.1,,2
Shona Auerbach,105,16,1340891,Gerard Butler,18940,18105,boy|dock|letter|seaside|stranger,English,PG-13,,2004,66,7.8,1.85,2000
Leonard Farlinger,89,413,,Keith Carradine,436,2668,contemporary west|cowboy|horse|jockey|neo western,English,R,5000000,2007,580,5.3,2.35,31
Michel Leclerc,100,9,513836,Sara Forestier,6304,143,activist|promiscuous daughter|promiscuous woman|sex in a bed|voyeurism,French,R,4600000,2010,52,7.2,1.85,0
Analeine Cal y Mayor,92,140,,Zoë Kravitz,421,1795,,English,,4700000,2013,480,6.2,,199
Tom Kalin,97,577,434417,Eddie Redmayne,8867,15093,incest|male nudity|older man younger woman relationship|orgasm|son murders mother,English,Not Rated,4600000,2007,1000,5.9,1.85,0
Robert Sarkies,100,3,728,William Kircher,2776,122,true crime,English,,,2006,10,7.3,1.85,285
Hugh Wilson,96,542,81200000,Steve Guttenberg,87739,3113,misfit|police|police academy|police cadet|police officer,English,R,4500000,1984,760,6.7,1.85,0
Randal Kleiser,104,83,,Brooke Shields,50125,1662,coming of age|island|poison|teenage boy|teenage girl,English,R,4500000,1980,511,5.7,1.85,0
Mike Newell,117,239,52700832,Kristin Scott Thomas,107923,1862,1990s|chick flick|funeral|gay relationship|wedding,English,R,4500000,1994,398,7.1,1.66,0
Amy Heckerling,90,811,,Jennifer Jason Leigh,71217,5002,break up|california|high school|surfer|teacher,English,X,4500000,1982,901,7.2,1.85,0
John Huston,115,68,,Royal Dano,13474,588,obsession|revenge|ship|whale|whaling,English,Unrated,4500000,1956,169,7.4,1.66,0
Spike Lee,108,346,13060843,Philip Seymour Hoffman,149528,26050,bar|dream|drug dealing|nightclub|widower,English,R,15000000,2002,3000,7.7,2.35,0
,43,298,,Dan Fogler,6762,1587,,English,,,,560,7.7,16.0,2000
Lana Wachowski,109,126,3798532,Christopher Meloni,41138,3668,gangster|lesbian|mafia|money|neo noir,English,R,4500000,1996,441,7.4,1.85,2000
Darren Aronofsky,102,167,3609278,Ellen Burstyn,573541,2235,addiction|diet pill|drug addiction|fast motion scene|heroin,English,R,4500000,2000,1000,8.4,1.37,38000
Walter Lang,100,37,,Dana Andrews,2756,496,fair|farm|iowa|newspaper|state fair,English,Approved,,1945,135,7.1,1.37,501
Carlos Saura,115,4,1687311,Mía Maestro,2412,371,dancer|director|love|musical filmmaking|tango,Spanish,PG-13,700000000,1998,26,7.2,2.0,539
Oliver Stone,122,491,,Jim Belushi,15175,2762,1980s|el salvador|political thriller|reagan administration|war journalism,English,R,4500000,1986,652,7.5,1.85,1000
Andrew Erwin,98,402,10429707,Alex Kendrick,10483,2705,blogger|pastor|reference to the shawshank redemption|taser|tasered,English,PG,5000000,2014,416,5.4,2.35,0
Richard Kelly,133,701,727883,Jake Gyllenhaal,580999,17040,1980s|death|insanity|parallel universe|time travel,English,R,4500000,2001,933,8.1,2.35,33000
Beto Gómez,105,122,1391770,Jaime Camil,1592,793,conflicted hero|flashback|mission|rescue|rescue mission,Spanish,PG-13,,2011,154,6.0,2.35,0
Mike van Diem,122,3,713413,Jan Decleir,9171,48,bailiff|lawyer|office|police|school,Dutch,R,4500000,1997,20,7.8,1.85,689
Jonas Åkerlund,106,391,410241,Patrick Fugit,32357,2110,male nudity|meth|meth lab|nudity|speed freak,English,R,2000000,2002,601,6.8,1.85,3000
Todd Solondz,98,844,278821,Rich Pecci,5465,5041,forgiveness|ghost|new jersey|pedophile|three sisters,English,R,,2009,887,6.5,1.85,0
Chan-wook Park,112,38,211667,Min-sik Choi,53508,907,cake|christian|lesbian sex|oral sex|pregnant schoolgirl,Korean,R,4200000000,2005,126,7.7,2.35,4000
René Féret,120,9,706622,Nicolas Giraud,1213,53,mozart|musical prodigy|royal court|singer|talent,French,,,2010,12,6.4,1.85,0
Barry Skolnick,99,798,92191,Jason Statham,29463,29325,inmate|prison|prison guard|soccer|soccer star,English,R,2500000,2001,1000,6.5,1.85,0
Johnnie To,110,76,49413,Simon Yam,6919,398,baby|friendship|macau|practical joke|selfie,Cantonese,R,35000000,2006,96,7.3,2.35,528
Mateo Gil,102,327,199652,Sam Shepard,7390,1950,assumed identity|bolivia|butch cassidy|doctor|thief,English,R,,2011,356,6.6,2.35,0
Lukas Moodysson,109,0,181655,Oksana Akinshina,35464,131,abandoned by mother|poverty|sex trade|teenage prostitution|unpaid bill,Russian,R,,2002,2,7.9,1.85,0
Agnieszka Wojtowicz-Vosloo,104,329,108229,Liam Neeson,30836,15860,breath on mirror|buried alive|engagement ring|looking at one's self in a mirror|serial killer,English,R,4500000,2009,1000,5.9,2.35,7000
Kabir Sadanand,134,62,,Jimmy Shergill,781,496,,Hindi,,,2014,82,4.7,,62
Milos Forman,133,425,112000000,Scatman Crothers,680041,2176,1960s|escape|mental institution|nurse|sexuality,English,R,4400000,1975,721,8.7,1.85,32000
Peter DeLuise,85,212,,Katherine McNamara,917,20397,cabinet|carnival|halloween|soul|temptress,English,PG,4400000,2015,570,5.9,1.78,224
Mel Brooks,87,753,,Sid Caesar,12666,2951,black comedy|friend|modern silent movie|silent movie|two word title,,PG,4400000,1976,842,6.7,1.85,629
Raja Menon,130,12,,Nimrat Kaur,30977,151,1990s|businessman|evacuation|historical fiction|kuwait,Hindi,,4400000,2016,26,8.5,2.35,10000
,199,505,,Zack Ward,14251,2667,girl|heroine|kindred spirit|orphan|rural setting,English,TV-G,,,517,8.4,1.33,0
Ernie Barbarash,103,261,8691,Michael Jai White,4952,3089,,English,R,4500000,2014,298,5.8,,0
Nick Love,112,422,26345,Hayley Atwell,16445,4810,bank|criminal|detective|flying squad|policewoman,English,R,3000000,2012,1000,6.1,2.35,0
Jonathan Glazer,89,100,6940281,Ray Winstone,43135,1291,boulder|gangster|one last job|spain|villa,English,R,,2000,146,7.3,2.35,0
Daniel Espinosa,124,93,188870,Fabian Bolin,13443,857,double life|drugs|financial crisis|first part|serbian,Swedish,R,,2010,254,6.7,2.35,0
Niki Caro,101,8,20772796,Keisha Castle-Hughes,34232,497,girl|maori|new zealand|tradition|whale,English,PG-13,6000000,2002,20,7.6,2.35,0
R. Balki,133,106,199228,Vidya Balan,7295,1045,adult actor playing minor|politician|progeria|reference to spiderman|school,Hindi,,150000000,2009,374,7.2,2.35,504
Ivan Engler,112,7,,Yangzom Brauen,15780,61,23rd century|lucid dream|outer space|space travel|trapped in space,German,,4500000,2009,9,6.2,2.35,2000
Joe Wright,111,394,34964818,Hugh Jackman,39975,21404,1940s|child hero|fantasy world|orphan|reference to peter pan,English,PG,150000000,2015,559,5.8,2.35,24000
Kenny Ortega,98,578,,Lucas Grabeel,59254,2553,audition|basketball|high school|singing|teenager,English,TV-G,4200000,2006,632,5.2,1.33,0
,60,551,,Dorian Missick,3673,3026,based on film|brother brother relationship|crime family|remake|southern california,English,,,,557,8.1,16.0,0
Richard Kwietniowski,93,130,2542264,Jason Priestley,3407,938,actor|love|obsession|obsessive love|star,English,PG-13,,1997,232,7.1,1.85,61
