director_name,num_critic_for_reviews,director_facebook_likes,actor_1_name,language,budget,title_year,actor_2_facebook_likes,imdb_score,movie_facebook_likes
Randall Wallace,141,130,Jon Hamm,English,75000000,2002,973,7.1,5000
Antoine Fuqua,358,845,Gerard Butler,English,70000000,2013,11000,6.5,45000
Jonathan Frakes,160,906,LeVar Burton,English,58000000,1998,906,6.4,1000
Jonathan Liebesman,355,473,Noel Fisher,English,70000000,2011,697,5.8,25000
Tim Burton,235,13000,Steve Buscemi,English,70000000,2003,1000,8.0,26000
Mike Nichols,59,0,David Hyde Pierce,English,70000000,1994,277,6.2,0
Steven Spielberg,388,14000,Jeremy Irvine,English,66000000,2011,19000,7.2,28000
George Clooney,371,0,Bill Murray,English,70000000,2014,13000,6.1,34000
James Cameron,82,0,Michael Biehn,English,69500000,1989,650,7.6,0
Oliver Stone,297,0,Frank Langella,English,70000000,2010,592,6.3,13000
Gary Shore,261,28,Dominic Cooper,English,70000000,2014,692,6.3,37000
Edward Zwick,120,380,Denzel Washington,English,70000000,1998,13000,6.3,0
Matthew Vaughn,228,905,Henry Cavill,English,70000000,2007,588,7.7,15000
Jean-Jacques Annaud,76,218,Brad Pitt,English,70000000,1997,691,7.0,0
Ron Howard,185,2000,Channing Tatum,English,70000000,2011,1000,5.3,0
Joel Schumacher,128,541,Anthony Hopkins,English,70000000,2002,405,5.6,792
Andrzej Bartkowiak,237,43,Dwayne Johnson,English,60000000,2005,585,5.2,0
Betty Thomas,105,84,Gary Cole,English,70000000,2002,229,5.4,531
Måns Mårlind,242,24,Theo James,English,70000000,2012,327,6.4,24000
Adam Shankman,360,163,James Martin Kelly,English,75000000,2012,217,5.9,33000
Gregory Hoblit,112,40,Bruce Willis,English,60000000,2002,787,6.3,997
Gary McKendry,189,5,Jason Statham,English,35000000,2011,22000,6.5,17000
John McTiernan,151,323,LL Cool J,English,70000000,2002,841,3.0,584
Wych Kaosayananda,92,8,Talisa Soto,English,70000000,2002,324,3.6,391
Mikael Salomon,79,13,Morgan Freeman,English,70000000,1998,893,5.8,815
Bobby Farrelly,81,101,Ron Howard,English,70000000,2001,509,6.2,2000
Will Finn,51,6,Lea Michele,English,70000000,2013,1000,5.6,5000
Michael Mann,261,0,Chris Hemsworth,English,70000000,2015,326,5.4,11000
Kerry Conran,197,14,Angelina Jolie Pitt,English,70000000,2004,1000,6.1,0
Michael Caton-Jones,159,105,Charlotte Rampling,English,70000000,2006,729,4.2,764
Mikael Håfström,286,101,Sylvester Stallone,English,50000000,2013,1000,6.7,34000
Renny Harlin,156,212,Roxanne McKee,English,70000000,2014,358,4.2,12000
Phil Alden Robinson,176,31,Morgan Freeman,English,68000000,2002,655,6.4,0
David Slade,293,171,Robert Pattinson,English,68000000,2010,17000,4.9,29000
Frank Oz,141,0,Robert De Niro,English,68000000,2001,10000,6.8,0
Pierre Coffin,304,275,Steve Carell,English,69000000,2010,2000,7.7,31000
Joseph Ruben,40,29,Vincent Pastore,English,68000000,1995,220,5.6,617
Seth MacFarlane,280,3000,Liam Neeson,English,68000000,2015,11000,6.4,30000
Alejandro Amenábar,180,448,Max Minghella,English,70000000,2009,451,7.2,29000
Kinka Usher,125,18,Janeane Garofalo,English,65000000,1999,855,6.0,0
Bobby Farrelly,237,101,Jenna Fischer,English,36000000,2011,919,5.9,10000
Michael Mann,209,0,Al Pacino,English,68000000,1999,826,7.9,0
Craig Gillespie,178,44,Michael Raymond-James,English,,2016,562,6.8,12000
Ridley Scott,238,0,Leonardo DiCaprio,English,70000000,2008,149,7.1,0
Jay Roach,190,116,Steve Carell,English,,2010,1000,5.9,0
Timur Bekmambetov,393,335,Rufus Sewell,English,69000000,2012,3000,5.9,98000
Jon Amiel,138,36,Will Patton,English,66000000,1999,427,6.2,0
,4,,Hector Elizondo,English,,,363,7.4,0
Rob Bowman,142,38,Martin Landau,English,66000000,1998,826,7.0,0
Doug Lefler,90,4,Colin Firth,English,35000000,2007,394,5.4,0
Steven Spielberg,219,14000,Tom Hanks,English,70000000,1998,14000,8.6,22000
Scott Waugh,327,76,Rami Malek,English,66000000,2014,3000,6.5,32000
Nancy Meyers,149,278,Judy Greer,English,70000000,2000,955,6.4,0
Chris Wedge,193,77,Goran Visnjic,English,59000000,2002,939,7.6,3000
Lawrence Kasdan,175,759,Morgan Freeman,English,68000000,2003,599,5.5,4000
Steven Spielberg,538,14000,Joseph Gordon-Levitt,English,65000000,2012,826,7.4,71000
Lana Wachowski,313,0,Keanu Reeves,English,63000000,1999,145,8.7,25000
Ron Howard,159,2000,Tom Hanks,English,62000000,1995,968,7.6,5000
Paul Verhoeven,196,719,Ronny Cox,English,65000000,1990,308,7.5,0
Michael Lembeck,80,54,Judge Reinhold,English,60000000,2002,857,5.5,1000
Tom Hooper,488,0,Hugh Jackman,English,61000000,2012,13000,7.6,144000
Nora Ephron,153,0,Tom Hanks,English,65000000,1998,793,6.5,0
Adam McKay,173,285,Will Ferrell,English,65000000,2008,3000,6.9,0
Martin Campbell,156,258,Anthony Hopkins,English,65000000,1998,174,6.7,0
Todd Phillips,307,480,Robert Downey Jr.,English,65000000,2010,561,6.6,25000
Angelina Jolie Pitt,322,11000,Finn Wittrock,English,65000000,2014,698,7.2,35000
Clint Eastwood,169,16000,Clint Eastwood,English,65000000,2000,495,6.4,0
Renny Harlin,74,212,Sylvester Stallone,English,70000000,1993,730,6.4,0
John Woo,72,610,Delroy Lindo,English,50000000,1996,517,6.0,0
Jon Turteltaub,86,226,Bruce Willis,English,60000000,2000,718,6.1,0
Oliver Stone,242,0,Nicolas Cage,English,63000000,2006,1000,6.0,0
Mike Newell,141,179,Julia Roberts,English,65000000,2003,4000,6.4,0
Larry Charles,313,119,Sayed Badreya,English,65000000,2012,346,6.4,59000
Stanley Kubrick,280,0,Tom Cruise,English,65000000,1999,580,7.3,10000
Will Gluck,176,87,Quvenzhané Wallis,English,65000000,2014,1000,5.2,16000
Glenn Ficarra,279,43,Will Smith,English,50100000,2015,806,6.6,23000
McG,241,368,Tom Hardy,English,65000000,2012,1000,6.3,18000
David S. Goyer,185,687,Ryan Reynolds,English,65000000,2004,1000,5.9,0
John Milius,97,468,Lea Thompson,English,16900000,1984,1000,6.4,0
Mike Nichols,117,0,Maura Tierney,English,65000000,1998,317,6.7,688
Paul W.S. Anderson,239,545,Milla Jovovich,English,65000000,2012,1000,5.4,32000
Paul W.S. Anderson,230,545,Jason Statham,English,45000000,2008,872,6.4,0
Renny Harlin,94,212,Melina Kanakaredes,English,65000000,1996,380,6.7,4000
Taylor Hackford,134,138,Pamela Reed,English,65000000,2000,192,6.2,892
Jon Favreau,136,4000,Kristen Stewart,English,65000000,2005,14000,6.1,0
David Fincher,315,21000,Brad Pitt,English,63000000,1999,783,8.8,48000
McG,96,368,Matthew McConaughey,English,65000000,2006,529,7.1,0
,14,,Jason Flemyng,English,,,773,8.1,0
Michael Lehmann,60,36,Bruce Willis,English,70000000,1991,773,5.7,0
Nora Ephron,60,0,Michael Rapaport,English,65000000,2000,909,5.0,177
Stuart Beattie,308,72,Caitlin Stasey,English,65000000,2014,593,5.1,15000
Roman Polanski,127,2000,Ian McNeice,English,50000000,2005,85,6.9,0
Rob Bowman,196,38,Jennifer Garner,English,43000000,2005,1000,4.8,0
Frank Miller,339,436,Joseph Gordon-Levitt,English,65000000,2014,13000,6.5,32000
Sydney Pollack,96,521,Harrison Ford,English,64000000,1999,1000,5.1,295
Baltasar Kormákur,361,175,Michael Kelly,English,55000000,2015,580,7.1,40000
Tom Tykwer,226,670,Michael Smiley,English,50000000,2006,27,7.5,26000
Jay Roach,194,116,Verne Troyer,English,63000000,2002,522,6.2,0
David Bowers,138,42,Nicolas Cage,English,65000000,2009,9000,6.3,0
Steven Spielberg,308,14000,Wayne Knight,English,63000000,1993,610,8.1,19000
Lawrence Kasdan,40,759,Dennis Quaid,English,63000000,1994,925,6.6,0
Phillip Noyce,42,176,Harrison Ford,English,62000000,1994,913,6.9,0
Daniel Lee,68,10,Si Won Choi,Mandarin,65000000,2015,18,6.1,0
Keenen Ivory Wayans,78,322,Chazz Palminteri,English,64000000,2006,862,4.3,0
Jonathan Mostow,178,84,Matthew McConaughey,English,62000000,2000,919,6.6,0
Rob Reiner,75,0,Shawna Waldron,English,62000000,1995,517,6.8,0
Marco Schnabel,150,12,Justin Timberlake,English,62000000,2008,966,3.8,0
Demian Lichtenstein,113,11,Jon Lovitz,English,42000000,2001,904,5.9,0
Quentin Tarantino,596,16000,Craig Stark,English,44000000,2015,1000,7.9,114000
Josh Gordon,191,8,Will Ferrell,English,61000000,2007,1000,6.3,0
Tim Hill,156,25,Gary Cole,English,63000000,2011,664,5.5,0
Zack Snyder,460,0,Gerard Butler,English,65000000,2006,13000,7.7,13000
Jay Roach,141,116,Robert De Niro,English,80000000,2004,713,6.3,0
David Frankel,180,64,Eric Dane,English,60000000,2008,899,7.1,11000
Frank Darabont,186,0,Tom Hanks,English,60000000,1999,745,8.5,30000
Walt Becker,177,12,Jill Hennessy,English,,2007,330,5.9,0
Mark Dindal,161,10,Catherine O'Hara,English,150000000,2005,729,5.8,912
David Fincher,568,21000,Patrick Fugit,English,61000000,2014,812,8.1,146000
Doug Liman,249,218,Matt Damon,English,60000000,2002,147,7.9,0
Martin Campbell,137,258,Izabella Scorupco,English,58000000,1995,387,7.2,0
Simon West,113,165,Daniel von Bargen,English,95000000,1999,501,6.3,885
Peter Weir,213,608,Natascha McElhone,English,60000000,1998,617,8.1,18000
Brenda Chapman,120,59,Martin Short,English,70000000,1998,263,7.0,0
Steve Carr,81,41,Anjelica Huston,English,60000000,2003,955,5.5,886
Baltasar Kormákur,265,175,Denzel Washington,English,61000000,2013,497,6.7,22000
Lawrence Guterman,105,6,Carol Ann Susi,English,60000000,2001,664,5.2,0
F. Gary Gray,155,473,Jason Statham,English,60000000,2003,9000,7.0,0
Marc Lawrence,118,30,Dorian Missick,English,60000000,2002,976,6.1,0
Eric Darnell,131,35,Sylvester Stallone,English,105000000,1998,11000,6.6,0
Peter Billingsley,166,0,Jon Favreau,English,60000000,2009,722,5.5,0
Tony Scott,60,12000,Tom Cruise,English,60000000,1990,3000,5.9,0
Adam Shankman,77,163,Taylor Lautner,English,60000000,2005,3000,5.4,781
Wes Ball,249,47,Ki Hong Lee,English,61000000,2015,960,6.4,24000
Ryan Murphy,213,708,James Franco,English,60000000,2010,8000,5.7,26000
Brett Ratner,121,420,Nicolas Cage,English,60000000,2000,3000,6.7,0
Robert Schwentke,315,124,Bruce Willis,English,58000000,2010,11000,7.1,32000
Oliver Stone,171,0,Al Pacino,English,55000000,1999,2000,6.8,0
Robert Redford,96,0,Scarlett Johansson,English,60000000,1998,1000,6.5,0
Michael Mann,299,0,Tom Cruise,English,65000000,2004,851,7.6,0
Chuck Russell,167,55,Dwayne Johnson,English,60000000,2002,1000,5.5,0
Jay Russell,125,13,Billy Burke,English,55000000,2004,1000,6.5,0
Christopher McQuarrie,387,188,Tom Cruise,English,60000000,2012,3000,7.0,38000
Renny Harlin,199,212,LL Cool J,English,60000000,1999,975,5.8,0
Kenny Ortega,136,197,Misha Gabriel Hamilton,English,60000000,2009,208,7.3,0
Steven Soderbergh,436,0,Matt Damon,English,60000000,2011,240,6.6,42000
David McNally,73,18,Estella Warren,English,60000000,2003,257,4.4,858
Henry Selick,310,253,Jennifer Saunders,English,60000000,2009,229,7.7,10000
M. Night Shyamalan,323,0,Zooey Deschanel,English,48000000,2008,946,5.0,6000
Tony Scott,171,12000,Denzel Washington,English,70000000,2004,992,7.7,14000
Brian Robbins,76,48,Robert Downey Jr.,English,50000000,2006,936,4.4,747
Todd Phillips,173,480,Snoop Dogg,English,60000000,2004,869,6.1,0
Brian Levant,81,32,Jim Belushi,English,60000000,1996,628,5.4,0
Guillermo del Toro,242,0,James Babson,English,66000000,2004,334,6.8,0
Steven Zaillian,110,234,Robert Duvall,English,60000000,1998,552,6.5,1000
Chris Butler,328,28,Anna Kendrick,English,60000000,2012,884,7.0,12000
Michael Caton-Jones,83,105,J.K. Simmons,English,60000000,1997,13000,6.3,0
John Woo,196,610,Ivana Milicevic,English,60000000,2003,780,6.3,0
Jon Avnet,34,50,Joe Mantegna,English,60000000,1996,944,6.1,829
Sam Fell,118,18,Emma Watson,English,60000000,2008,2000,6.1,0
,8,,Bianca Kajlich,English,,,607,7.3,0
Kevin Donovan,81,11,Romany Malco,English,60000000,2002,680,5.3,797
Geoff Murphy,47,14,Peter Greene,English,60000000,1995,520,5.4,1000
Kenneth Branagh,313,0,Colm Feore,English,60000000,2014,394,6.2,17000
David O. Russell,315,737,Jennifer Lawrence,English,60000000,2015,22000,6.6,24000
Babak Najafi,225,24,Gerard Butler,English,60000000,2016,992,5.9,28000
Jean-Pierre Jeunet,223,0,Gary Dourdan,English,75000000,1997,720,6.3,0
Antoine Fuqua,198,845,Tate Donovan,English,61000000,2007,467,7.2,0
Graham Annable,219,7,Isaac Hempstead Wright,English,60000000,2014,668,6.8,11000
Griffin Dunne,92,165,Goran Visnjic,English,48000000,1998,967,6.1,0
Phil Lord,435,97,Morgan Freeman,English,60000000,2014,8000,7.8,64000
John Pasquin,111,11,Eileen Brennan,English,45000000,2005,759,5.0,621
Rob Bowman,138,38,Christian Bale,English,60000000,2002,18000,6.2,0
Ruben Fleischer,415,181,Ryan Gosling,English,60000000,2013,301,6.7,40000
Harold Ramis,170,11000,Olivia Wilde,English,60000000,2009,1000,4.9,0
Clint Eastwood,306,16000,Matt Damon,English,60000000,2009,11000,7.4,23000
Kevin Macdonald,252,162,Robin Wright,English,,2009,748,7.1,0
Tony Gilroy,211,209,Julia Roberts,English,60000000,2009,1000,6.2,0
Donald Petrie,49,80,Steven Anthony Lawrence,English,65000000,1999,417,4.9,448
Clark Johnson,161,69,Blair Brown,English,60000000,2006,219,6.1,690
Jorge Blanco,156,2,Dwayne Johnson,English,70000000,2009,10000,6.1,0
Stuart Baird,172,53,Tom Hardy,English,60000000,2002,1000,6.4,0
Joel Coen,161,0,Cedric the Entertainer,English,60000000,2003,399,6.3,0
Robert Lorenz,239,39,Clint Eastwood,English,,2012,897,6.8,11000
Martin Campbell,258,258,Bojana Novakovic,English,80000000,2010,1000,6.6,0
Peter Hyams,95,0,John Kapelos,English,40000000,1997,344,5.7,956
Harold Ramis,105,11000,Robert De Niro,English,60000000,2002,394,5.9,846
Jon Avnet,198,50,Robert De Niro,English,60000000,2008,14000,6.0,0
Harold Becker,79,17,Bruce Willis,English,60000000,1998,968,6.1,0
Joe Wright,210,456,Robert Downey Jr.,English,60000000,2009,939,6.7,0
Robert Redford,125,0,Matt Damon,English,60000000,2000,10000,6.7,0
Cameron Crowe,149,488,Philip Seymour Hoffman,English,60000000,2000,11000,7.9,15000
Tim Hill,77,25,Bill Murray,English,,2006,1000,5.0,470
Lee Tamahori,77,93,Sunny Mabrey,English,87000000,2005,233,4.3,0
Scott Stewart,225,124,Josh Wingate,English,60000000,2011,441,5.7,20000
Patrick Gilmore,98,0,Brad Pitt,English,60000000,2003,102,6.7,880
Paul W.S. Anderson,172,545,Sean Pertwee,English,60000000,1997,585,6.7,10000
Joss Whedon,703,0,Chris Hemsworth,English,220000000,2012,21000,8.1,123000
Tom Shadyac,117,293,Joe Morton,English,60000000,2002,265,6.1,0
Brian De Palma,240,0,Scarlett Johansson,English,50000000,2006,972,5.6,0
Tony Bill,123,23,James Franco,English,60000000,2006,779,6.6,2000
Rod Lurie,110,37,Clifton Collins Jr.,English,60000000,2001,848,6.9,0
Walter Hill,100,394,Robert Forster,English,65000000,2000,290,4.8,589
