director_name,director_facebook_likes,actor_3_facebook_likes,actor_2_name,genres,actor_1_name,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,budget,actor_2_facebook_likes,aspect_ratio
M. Night Shyamalan,0,751,Alan Ruck,Sci-Fi|Thriller,Zooey Deschanel,163130,13654,Kristen Connolly,0,bee|nature|park|school|teacher,http://www.imdb.com/title/tt0949731/?ref_=fn_tt_tt_1,1264,English,USA,48000000,946,1.85
Tony Scott,12000,451,Radha Mitchell,Action|Crime|Drama|Thriller,Denzel Washington,266310,20454,Giancarlo Giannini,2,bodyguard|journalist|kidnapping|mexico|police corruption,http://www.imdb.com/title/tt0328107/?ref_=fn_tt_tt_1,690,English,USA,70000000,992,2.35
Brian Robbins,48,722,Joel David Moore,Comedy|Family|Fantasy,Robert Downey Jr.,14888,24664,Kristin Davis,0,animal as human|dog movie|elevator|human becoming an animal|sheepdog,http://www.imdb.com/title/tt0393735/?ref_=fn_tt_tt_1,83,English,USA,50000000,936,2.35
Todd Phillips,480,767,Carmen Electra,Comedy|Crime,Snoop Dogg,120795,3943,Fred Williamson,5,cocaine|cop|criminal|partner|police,http://www.imdb.com/title/tt0335438/?ref_=fn_tt_tt_1,308,English,USA,60000000,869,2.35
Brian Levant,32,626,Harvey Korman,Comedy|Family,Jim Belushi,68406,4530,Jake Lloyd,1,action figure|christmas|hero|karate|toy,http://www.imdb.com/title/tt0116705/?ref_=fn_tt_tt_1,162,English,USA,60000000,628,1.85
Guillermo del Toro,0,160,Rupert Evans,Action|Fantasy|Horror|Sci-Fi,James Babson,244566,1112,Brian Steele,1,assassin|demon|hero|nazi|superhero,http://www.imdb.com/title/tt0167190/?ref_=fn_tt_tt_1,597,English,USA,66000000,334,1.85
Steven Zaillian,234,521,Kathleen Quinlan,Drama,Robert Duvall,23302,4713,Sydney Pollack,1,1980s|law firm|lawsuit|lawyer|toxic waste,http://www.imdb.com/title/tt0120633/?ref_=fn_tt_tt_1,181,English,USA,60000000,552,2.35
Chris Butler,28,586,Kodi Smit-McPhee,Adventure|Animation|Comedy|Family|Fantasy,Anna Kendrick,72287,13597,Elaine Stritch,0,curse|ghost|outcast|witch|zombie,http://www.imdb.com/title/tt1623288/?ref_=fn_tt_tt_1,176,English,USA,60000000,884,2.35
Michael Caton-Jones,105,460,Bruce Willis,Action|Adventure|Crime|Thriller,J.K. Simmons,88225,38227,Sophie Okonedo,0,assassin|fbi|ira|jackal|russian,http://www.imdb.com/title/tt0119395/?ref_=fn_tt_tt_1,227,English,USA,60000000,13000,2.35
John Woo,610,716,Joe Morton,Action|Mystery|Sci-Fi|Thriller,Ivana Milicevic,89816,3637,Callum Rennie,0,anti hero|babe scientist|engineer|memory|money,http://www.imdb.com/title/tt0338337/?ref_=fn_tt_tt_1,347,English,USA,60000000,780,2.35
Jon Avnet,50,672,Stockard Channing,Drama|Romance,Joe Mantegna,11370,3653,Raymond Cruz,2,journalism|news anchor|newscast|newscaster|tv journalism,http://www.imdb.com/title/tt0118055/?ref_=fn_tt_tt_1,54,English,USA,60000000,944,1.85
Sam Fell,18,903,Matthew Broderick,Adventure|Animation|Comedy|Family|Fantasy,Emma Watson,31209,13403,Frank Langella,0,book|darkness|dungeon|princess|rat,http://www.imdb.com/title/tt0420238/?ref_=fn_tt_tt_1,106,English,UK,60000000,2000,2.35
,,402,Oliver Hudson,Comedy|Romance,Bianca Kajlich,26404,2064,Adhir Kalyan,3,fiance|fiancee|magazine editor|naivety|womanizer,http://www.imdb.com/title/tt0790772/?ref_=fn_tt_tt_1,41,English,USA,,607,1.78
Kevin Donovan,11,107,Debi Mazar,Action|Comedy|Sci-Fi,Romany Malco,61966,2018,Ritchie Coster,2,chauffeur|hospital|secret agent|spying|tuxedo,http://www.imdb.com/title/tt0290095/?ref_=fn_tt_tt_1,207,English,USA,60000000,680,1.85
Geoff Murphy,14,488,Brenda Bakke,Action|Thriller,Peter Greene,35918,2318,Patrick Kilpatrick,1,colorado|niece|satellite|terrorist|train,http://www.imdb.com/title/tt0114781/?ref_=fn_tt_tt_1,126,English,USA,60000000,520,1.85
Kenneth Branagh,0,288,Nonso Anozie,Action|Drama|Thriller,Colm Feore,99035,1411,Gemma Chan,3,covert analyst|marine|russian|spy|stock market,http://www.imdb.com/title/tt1205537/?ref_=fn_tt_tt_1,289,English,USA,60000000,394,2.35
David O. Russell,737,14000,Robert De Niro,Biography|Comedy|Drama,Jennifer Lawrence,75329,75793,Bradley Cooper,3,based on real person|female inventor|mop|sales pitch|woman holding a shotgun,http://www.imdb.com/title/tt2446980/?ref_=fn_tt_tt_1,256,English,USA,60000000,22000,1.85
Babak Najafi,24,864,Radha Mitchell,Action|Crime|Drama|Thriller,Gerard Butler,69484,20276,Julian Kostov,3,british|funeral|good versus evil|mole|sequel,http://www.imdb.com/title/tt3300542/?ref_=fn_tt_tt_1,323,English,UK,60000000,992,2.35
Jean-Pierre Jeunet,0,672,Michael Wincott,Action|Horror|Sci-Fi,Gary Dourdan,170179,3090,Raymond Cruz,0,alien|blood|breeding|clone|scientist,http://www.imdb.com/title/tt0118583/?ref_=fn_tt_tt_1,656,English,USA,75000000,720,2.35
Antoine Fuqua,845,295,Ned Beatty,Action|Crime|Drama|Mystery|Thriller,Tate Donovan,256213,1640,Louis Ferreira,0,colonel|ethiopia|marksman|on the run|rangefinder,http://www.imdb.com/title/tt0822854/?ref_=fn_tt_tt_1,338,English,USA,61000000,467,2.35
Graham Annable,7,642,Dee Bradley Baker,Adventure|Animation|Comedy|Family|Fantasy,Isaac Hempstead Wright,40883,3151,Tracy Morgan,3,chase|puppet animation|red hat|stop motion animation|troll,http://www.imdb.com/title/tt0787474/?ref_=fn_tt_tt_1,122,English,USA,60000000,668,1.85
Griffin Dunne,165,944,Dianne Wiest,Comedy|Drama|Fantasy|Romance,Goran Visnjic,55749,4294,Stockard Channing,1,curse|death|island|love|magic,http://www.imdb.com/title/tt0120791/?ref_=fn_tt_tt_1,257,English,USA,48000000,967,2.35
Phil Lord,97,2000,Will Ferrell,Action|Adventure|Animation|Comedy|Family|Fantasy,Morgan Freeman,246698,22128,Alison Brie,0,based on toy|dual personality|evil businessman|good cop bad cop|lego,http://www.imdb.com/title/tt1490017/?ref_=fn_tt_tt_1,471,English,Australia,60000000,8000,2.35
John Pasquin,11,642,Diedrich Bader,Action|Comedy|Crime,Eileen Brennan,51252,4305,Treat Williams,2,bodyguard|fbi|fbi agent|female protagonist|undercover,http://www.imdb.com/title/tt0385307/?ref_=fn_tt_tt_1,156,English,USA,45000000,759,2.35
Rob Bowman,38,11000,Gerard Butler,Action|Adventure|Fantasy|Sci-Fi|Thriller,Christian Bale,107859,53024,Matthew McConaughey,0,castle|dragon|fire breathing dragon|militia|survival,http://www.imdb.com/title/tt0253556/?ref_=fn_tt_tt_1,569,English,USA,60000000,18000,2.35
Ruben Fleischer,181,300,Brandon Molale,Action|Crime|Drama|Thriller,Ryan Gosling,173530,34738,Wade Williams,3,good versus evil|machine gun|mobster|police vigilantism|year 1949,http://www.imdb.com/title/tt1321870/?ref_=fn_tt_tt_1,264,English,USA,60000000,301,2.35
Harold Ramis,11000,485,Oliver Platt,Adventure|Comedy,Olivia Wilde,76770,12258,Xander Berkeley,2,abraham|hunter|princess|sodom|tribe,http://www.imdb.com/title/tt1045778/?ref_=fn_tt_tt_1,203,English,USA,60000000,1000,1.85
Clint Eastwood,16000,204,Morgan Freeman,Biography|Drama|History|Sport,Matt Damon,124222,24458,Leleti Khumalo,1,apartheid|nation|nelson mandela|president|rugby,http://www.imdb.com/title/tt1057500/?ref_=fn_tt_tt_1,259,English,USA,60000000,11000,2.35
Kevin Macdonald,162,379,Harry Lennix,Crime|Drama|Mystery|Thriller,Robin Wright,113295,19776,Michael Weston,3,congressman|conspiracy|newspaper|political conspiracy|subway,http://www.imdb.com/title/tt0473705/?ref_=fn_tt_tt_1,235,English,USA,,748,2.35
Tony Gilroy,209,896,Tom Wilkinson,Comedy|Crime|Romance|Thriller,Julia Roberts,41727,10623,Denis O'Hare,0,ceo|dubai|product|rivalry|spy,http://www.imdb.com/title/tt1135487/?ref_=fn_tt_tt_1,184,English,USA,60000000,1000,2.35
Donald Petrie,80,230,Ray Walston,Comedy|Family|Sci-Fi,Steven Anthony Lawrence,10883,2151,Michael Lerner,2,alien|hidden camera|martian|reporter|spaceship,http://www.imdb.com/title/tt0120764/?ref_=fn_tt_tt_1,73,English,USA,65000000,417,1.85
Clark Johnson,69,206,David Rasche,Action|Crime|Thriller,Blair Brown,42144,1352,Martin Donovan,0,first lady|framed|investigation|president|secret service,http://www.imdb.com/title/tt0443632/?ref_=fn_tt_tt_1,213,English,USA,60000000,219,2.35
Jorge Blanco,2,480,Gary Oldman,Adventure|Animation|Comedy|Family|Sci-Fi,Dwayne Johnson,41259,22668,James Corden,1,alien|alien planet|astronaut|planet|teenager,http://www.imdb.com/title/tt0762125/?ref_=fn_tt_tt_1,72,English,Spain,70000000,10000,2.35
Stuart Baird,53,906,LeVar Burton,Action|Adventure|Sci-Fi|Thriller,Tom Hardy,58450,31224,Jonathan Frakes,0,earth|federation|romulan|slave|space,http://www.imdb.com/title/tt0253754/?ref_=fn_tt_tt_1,842,English,USA,60000000,1000,2.35
Joel Coen,0,210,Paul Adelstein,Comedy|Crime|Romance,Cedric the Entertainer,76560,1395,Julia Duffy,1,attorney|divorce|marriage|real estate|screwball comedy,http://www.imdb.com/title/tt0138524/?ref_=fn_tt_tt_1,322,English,USA,60000000,399,1.85
Robert Lorenz,39,461,Ed Lauter,Drama|Sport,Clint Eastwood,47954,17871,Bob Gunton,0,aging|baseball|baseball scout|north carolina|pitcher,http://www.imdb.com/title/tt2083383/?ref_=fn_tt_tt_1,150,English,USA,,897,2.35
Martin Campbell,258,896,Ray Winstone,Crime|Drama|Mystery|Thriller,Bojana Novakovic,75201,7053,Denis O'Hare,1,activist|detective|father daughter relationship|investigation|vigilantism,http://www.imdb.com/title/tt1226273/?ref_=fn_tt_tt_1,256,English,UK,80000000,1000,2.35
Peter Hyams,0,308,Penelope Ann Miller,Horror|Mystery|Sci-Fi|Thriller,John Kapelos,19176,1976,Chi Muoi Lo,0,fire|helicopter|museum|police sergeant|relic,http://www.imdb.com/title/tt0120004/?ref_=fn_tt_tt_1,165,English,UK,40000000,344,2.35
Harold Ramis,11000,236,Cathy Moriarty,Comedy|Crime,Robert De Niro,69319,22889,Joe Viterelli,1,blonde|mafia|mental illness|prison|second part,http://www.imdb.com/title/tt0289848/?ref_=fn_tt_tt_1,138,English,USA,60000000,394,1.85
Jon Avnet,50,1000,Al Pacino,Action|Crime|Drama|Mystery|Thriller,Robert De Niro,73368,38809,50 Cent,2,blood splatter|execution|new york city|nypd|serial killer,http://www.imdb.com/title/tt1034331/?ref_=fn_tt_tt_1,248,English,USA,60000000,14000,2.35
Harold Becker,17,652,Miko Hughes,Action|Crime|Drama|Thriller,Bruce Willis,54314,16536,Carrie Preston,1,autistic child|boy|child in danger|fbi|nsa,http://www.imdb.com/title/tt0120749/?ref_=fn_tt_tt_1,127,English,USA,60000000,968,2.35
Joe Wright,456,569,Stephen Root,Biography|Drama|Music,Robert Downey Jr.,44099,23745,Rachael Harris,0,columnist|journalist|los angeles times|musician|wearing a traffic cone as a hat,http://www.imdb.com/title/tt0821642/?ref_=fn_tt_tt_1,143,English,UK,60000000,939,2.35
Robert Redford,0,9000,Will Smith,Drama|Fantasy|Sport,Matt Damon,45296,34774,Charlize Theron,3,caddy|game|golf|golf course|golfer,http://www.imdb.com/title/tt0146984/?ref_=fn_tt_tt_1,267,English,USA,60000000,10000,1.85
Cameron Crowe,488,947,Zooey Deschanel,Adventure|Comedy|Drama|Music,Philip Seymour Hoffman,207287,36897,Michael Angarano,1,band|magazine|rolling stone magazine|smoking marijuana|tour,http://www.imdb.com/title/tt0181875/?ref_=fn_tt_tt_1,822,English,USA,60000000,11000,1.85
Tim Hill,25,265,Roger Rees,Animation|Comedy|Family|Fantasy,Bill Murray,27517,14918,Ben Falcone,0,cat|england|lti txii|peugeot 206|rover 3 5 litre.coupe p5b,http://www.imdb.com/title/tt0455499/?ref_=fn_tt_tt_1,74,English,UK,,1000,1.85
Lee Tamahori,93,218,Nona Gaye,Action|Adventure|Crime|Thriller,Sunny Mabrey,51349,993,Xzibit,2,coup d'etat|mutiny|president|u.s. navy|washington d.c.,http://www.imdb.com/title/tt0329774/?ref_=fn_tt_tt_1,213,English,USA,87000000,233,2.35
Scott Stewart,124,77,Alan Dale,Action|Fantasy|Horror|Sci-Fi|Thriller,Josh Wingate,97089,1417,Jacob Hopkins,0,church|priest|sheriff|vampire|warrior,http://www.imdb.com/title/tt0822847/?ref_=fn_tt_tt_1,233,English,USA,60000000,441,2.35
Patrick Gilmore,0,82,Adriano Giannini,Adventure|Animation|Comedy|Drama|Family|Fantasy|Romance,Brad Pitt,36144,11301,Timothy West,0,book|framed|goddess|prince|sinbad,http://www.imdb.com/title/tt0165982/?ref_=fn_tt_tt_1,91,English,USA,60000000,102,1.66
Paul W.S. Anderson,545,552,Joely Richardson,Horror|Sci-Fi|Thriller,Sean Pertwee,120416,2525,Kathleen Quinlan,0,solar system|space|spaceship|starship|year 2047,http://www.imdb.com/title/tt0119081/?ref_=fn_tt_tt_1,857,English,UK,60000000,585,2.35
Joss Whedon,0,19000,Robert Downey Jr.,Action|Adventure|Sci-Fi,Chris Hemsworth,995415,87697,Scarlett Johansson,3,alien invasion|assassin|battle|iron man|soldier,http://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1,1722,English,USA,220000000,21000,1.85
Tom Shadyac,293,256,Susanna Thompson,Drama|Fantasy|Mystery|Romance|Thriller,Joe Morton,31788,2109,Matt Craven,0,death|doctor|grave|patient|venezuela,http://www.imdb.com/title/tt0259288/?ref_=fn_tt_tt_1,243,English,USA,60000000,265,2.35
Brian De Palma,0,854,Mia Kirshner,Crime|Drama|Mystery|Thriller,Scarlett Johansson,63363,22833,Mike Starr,0,black dahlia|boxer|corpse|death|partner,http://www.imdb.com/title/tt0387877/?ref_=fn_tt_tt_1,644,English,Germany,50000000,972,2.35
Tony Bill,23,579,Tyler Labine,Action|Adventure|Drama|History|Romance|War,James Franco,35565,12634,Philip Winchester,1,american|france|military|pilot|training,http://www.imdb.com/title/tt0454824/?ref_=fn_tt_tt_1,247,English,UK,60000000,779,2.35
Rod Lurie,37,507,Delroy Lindo,Action|Drama|Thriller,Clifton Collins Jr.,57100,3012,Michael Irby,3,colonel|general|military|prison|three star general,http://www.imdb.com/title/tt0272020/?ref_=fn_tt_tt_1,281,English,USA,60000000,848,2.35
Walter Hill,394,68,Wilson Cruz,Horror|Sci-Fi|Thriller,Robert Forster,14596,1262,Vanessa Marshall,0,deep space|distress signal|explosion|mining|rescue,http://www.imdb.com/title/tt0134983/?ref_=fn_tt_tt_1,282,English,USA,65000000,290,2.35
Akiva Goldsman,167,778,William Hurt,Drama|Fantasy|Mystery|Romance,Matt Bomer,41288,22447,Kevin Corrigan,0,black and white photograph|drawing with blood|falling through ice|playing piano|red haired woman,http://www.imdb.com/title/tt1837709/?ref_=fn_tt_tt_1,126,English,USA,60000000,882,2.35
Harald Zwart,91,1000,Kevin Zegers,Fantasy|Horror|Mystery|Romance,Aidan Turner,107028,10247,CCH Pounder,3,battle|demon|magic|secret|warrior,http://www.imdb.com/title/tt1538403/?ref_=fn_tt_tt_1,457,English,USA,60000000,2000,2.35
Brian Robbins,48,196,Mike O'Malley,Adventure|Comedy|Family|Romance|Sci-Fi,Marc Blucas,31640,1865,Shawn Christian,1,alien|mutiny|orb|planet|spaceship,http://www.imdb.com/title/tt0765476/?ref_=fn_tt_tt_1,109,English,USA,60000000,400,1.85
Walter Salles,179,87,Camryn Manheim,Drama|Horror|Thriller,Dougray Scott,44966,1467,Ariel Gade,2,apartment|hello kitty|school|teacher|water,http://www.imdb.com/title/tt0382628/?ref_=fn_tt_tt_1,411,English,USA,30000000,329,2.35
Ron Howard,2000,1000,Adam Goldberg,Comedy|Drama,Matthew McConaughey,35599,15275,Clint Howard,0,female removes her clothes|one word title|producer|television|video store,http://www.imdb.com/title/tt0131369/?ref_=fn_tt_tt_1,195,English,USA,55000000,1000,1.85
Iain Softley,34,466,Stephen Graham,Adventure|Family|Fantasy,Brendan Fraser,60232,5329,Jamie Foreman,3,book|escape|girl|overalls|villain,http://www.imdb.com/title/tt0494238/?ref_=fn_tt_tt_1,110,English,Germany,60000000,1000,2.35
Frank Miller,436,437,Jaime King,Action|Crime|Fantasy|Thriller,Scarlett Johansson,53864,20881,Louis Lombardi,1,female star appears nude|pants falling down|samurai|white rat|woman in a towel,http://www.imdb.com/title/tt0831887/?ref_=fn_tt_tt_1,290,English,USA,60000000,961,2.35
David Koepp,192,280,Olivia Munn,Action|Comedy|Mystery|Romance,Johnny Depp,47320,42683,Ulrich Thomsen,2,art dealer|fake painting|macguffin|moustache|stolen painting,http://www.imdb.com/title/tt3045616/?ref_=fn_tt_tt_1,188,English,UK,60000000,2000,2.35
Uwe Boll,892,102,Mike Dopud,Action|Adventure|Fantasy|Thriller,Jason Statham,38398,26564,Tania Saulnier,3,farmer|king|krug|rescue|wizard,http://www.imdb.com/title/tt0460780/?ref_=fn_tt_tt_1,368,English,Germany,60000000,368,2.35
Martin Campbell,258,617,Teri Polo,Adventure|Drama|Romance|War,Angelina Jolie Pitt,22570,12947,Noah Emmerich,2,africa|american|border|doctor|well,http://www.imdb.com/title/tt0294357/?ref_=fn_tt_tt_1,156,English,USA,35000000,708,2.35
Pou-Soi Cheang,3,22,Aaron Kwok,Action|Adventure|Fantasy,Li Gong,1212,1026,Eddie Peng,1,buddhism|demon|journey to the west|monk|monkey king,http://www.imdb.com/title/tt4591310/?ref_=fn_tt_tt_1,9,English,China,68005000,107,2.35
John Dahl,131,242,Clayne Crawford,Action|Drama|War,James Franco,18209,12133,Paolo Montalban,0,american|lieutenant colonel|mission|rescue|soldier,http://www.imdb.com/title/tt0326905/?ref_=fn_tt_tt_1,183,Filipino,USA,80000000,298,2.35
Tim Miller,84,361,Ed Skrein,Action|Adventure|Comedy|Romance|Sci-Fi,Ryan Reynolds,479047,18239,Stefan Kapicic,0,based on comic book|breaking the fourth wall|mercenary|mutant|self healing,http://www.imdb.com/title/tt1431045/?ref_=fn_tt_tt_1,1058,English,USA,58000000,805,2.35
Stephen Herek,65,440,Morgan Fairchild,Comedy|Drama,Kelly Preston,16260,2367,Eric McCormack,1,1990s|evangelist|professional rivalry|swimming pool|televangelist,http://www.imdb.com/title/tt0120701/?ref_=fn_tt_tt_1,88,English,USA,60000000,730,2.35
Clint Eastwood,16000,318,Leonard Roberts,Action|Biography|Drama|History|Thriller|War,Bradley Cooper,325264,16277,Keir O'Donnell,0,assassin|death of child|iraq|sniper|sniper rifle,http://www.imdb.com/title/tt2179136/?ref_=fn_tt_tt_1,916,English,USA,58800000,962,2.35
Rob Letterman,11,543,Dylan Minnette,Adventure|Comedy|Family|Fantasy|Horror,Odeya Rush,47968,5497,Ken Marino,4,based on book|blob|ferris wheel|manuscript|monster,http://www.imdb.com/title/tt1051904/?ref_=fn_tt_tt_1,154,English,USA,58000000,1000,2.35
,,271,Soleil Moon Frye,Comedy|Family|Fantasy,Nate Richert,24420,2433,Caroline Rhea,1,female protagonist|hereditary gift of witchcraft|magic|supernatural|witch,http://www.imdb.com/title/tt0115341/?ref_=fn_tt_tt_1,94,English,USA,3000000,558,1.33
Mark Waters,70,512,Ivana Milicevic,Comedy|Fantasy|Romance,Jon Heder,82819,2876,Willie Garson,1,apartment|architect|coma|doctor|spirit,http://www.imdb.com/title/tt0425123/?ref_=fn_tt_tt_1,263,English,USA,58000000,834,1.85
Brian Levant,32,809,Mark Addy,Comedy|Family|Romance|Sci-Fi,Taylor Negron,15517,6299,Danny Woodburn,0,based on tv series|love|prequel|the flintstones|title appears in song,http://www.imdb.com/title/tt0158622/?ref_=fn_tt_tt_1,85,English,USA,60000000,891,1.85
Peter MacDonald,10,349,Kurtwood Smith,Action|Adventure|Thriller|War,Sylvester Stallone,92106,14574,Richard Crenna,1,afghanistan|colonel|rambo|rescue|soviet,http://www.imdb.com/title/tt0095956/?ref_=fn_tt_tt_1,171,English,USA,63000000,1000,2.35
George Clooney,0,110,Malcolm Goodwin,Comedy|Drama|Romance|Sport,Robert Baker,27664,589,Matt Bushell,8,college football|fight|football|hero|surrender,http://www.imdb.com/title/tt0379865/?ref_=fn_tt_tt_1,120,English,USA,58000000,117,1.85
Frank Coraci,153,11000,Adam Sandler,Comedy|Western,Taylor Lautner,27019,36167,Jon Lovitz,4,apache|bank robbery|baseball|half brothers|white raised as indian,http://www.imdb.com/title/tt2479478/?ref_=fn_tt_tt_1,143,English,USA,,11000,2.35
Marc Lawrence,30,727,Kim Shaw,Comedy|Drama|Romance,Michael Kelly,29523,3150,Kevin Brown,2,fbi|murder|witness|witness protection|wyoming,http://www.imdb.com/title/tt1314228/?ref_=fn_tt_tt_1,121,English,USA,58000000,935,2.35
Shawn Levy,189,839,Jessica Szohr,Comedy,Josh Gad,159931,5081,Rob Riggle,2,actor's picture shown in credits|animated credits|google|internship|still images in end credits,http://www.imdb.com/title/tt2234155/?ref_=fn_tt_tt_1,281,English,USA,58000000,847,2.35
Paul W.S. Anderson,545,529,Boris Kodjoe,Action|Adventure|Horror|Sci-Fi,Milla Jovovich,131447,16098,Shawn Roberts,1,alaska|female gunfighter|mutation|ship|siege,http://www.imdb.com/title/tt1220634/?ref_=fn_tt_tt_1,410,English,Germany,60000000,1000,2.35
Anthony Hemingway,143,519,Nate Parker,Action|Adventure|Drama|History|War,David Oyelowo,28807,4416,Tristan Mack Wilds,0,african american|battle|italy|tuskegee airmen|world war two,http://www.imdb.com/title/tt0485985/?ref_=fn_tt_tt_1,273,English,USA,58000000,664,2.35
,,479,Kristin Davis,Comedy|Romance,Chris Noth,80025,2558,Cynthia Nixon,0,casual sex|friendship|friendship between women|gay|singles,http://www.imdb.com/title/tt0159206/?ref_=fn_tt_tt_1,238,English,USA,,722,1.33
Taylor Hackford,138,9000,Al Pacino,Drama|Mystery|Thriller,Keanu Reeves,259519,45271,Charlize Theron,2,deal with the devil|lawyer|money|reality|supernatural power,http://www.imdb.com/title/tt0118971/?ref_=fn_tt_tt_1,431,English,USA,57000000,14000,2.35
Sean Anders,51,622,Leighton Meester,Comedy,Adam Sandler,70681,16484,Will Forte,2,argument|reference to vanilla ice|statutory rape|teacher student relationship|teacher student sex,http://www.imdb.com/title/tt1232200/?ref_=fn_tt_tt_1,198,English,USA,70000000,3000,2.35
Rob Cohen,357,40,Brian Thompson,Action|Adventure|Fantasy,Dennis Quaid,78343,2710,Terry O'Neill,0,dragon|england|human dragon relationship|king|knight,http://www.imdb.com/title/tt0116136/?ref_=fn_tt_tt_1,139,English,USA,57000000,663,2.35
Brett Ratner,420,455,Don Cheadle,Action|Comedy|Crime|Drama,Salma Hayek,38298,9814,Chris Penn,2,diamond|fbi|fbi agent|island|thief,http://www.imdb.com/title/tt0367479/?ref_=fn_tt_tt_1,147,English,USA,58000000,3000,2.35
Mark Neveldine,83,1000,Spencer Wilding,Action|Fantasy|Thriller,Nicolas Cage,87745,16121,Christopher Lambert,1,deal with the devil|devil|eastern europe|ghost rider|monk,http://www.imdb.com/title/tt1071875/?ref_=fn_tt_tt_1,331,English,USA,57000000,1000,2.35
John Madden,108,58,Irene Papas,Drama|Music|Romance|War,Christian Bale,28099,23325,Mihalis Giannatos,2,captain|greek|island|italian|love,http://www.imdb.com/title/tt0238112/?ref_=fn_tt_tt_1,220,English,UK,57000000,243,2.35
,,676,Noureen DeWulf,Comedy|Romance,Barry Corbin,26992,4115,Brian Austin Green,1,anger management|argument|irony|sarcasm|therapist,http://www.imdb.com/title/tt1986770/?ref_=fn_tt_tt_1,54,English,USA,,701,16.0
Adam Shankman,163,650,Brad Garrett,Action|Comedy|Drama|Family|Thriller,Vin Diesel,66308,16884,Tate Donovan,0,bodyguard|death of husband|male nanny|nanny|wrestling match,http://www.imdb.com/title/tt0395699/?ref_=fn_tt_tt_1,225,English,Canada,56000000,799,2.35
Kevin Bray,10,348,Ashley Scott,Action|Crime,Dwayne Johnson,53118,14146,Michael Bowen,1,casino|football|sheriff|special forces|violence,http://www.imdb.com/title/tt0351977/?ref_=fn_tt_tt_1,221,English,USA,56000000,795,2.35
Robert Zemeckis,0,194,Siobhan Fallon Hogan,Comedy|Drama,Tom Hanks,1251222,15700,Sam Anderson,0,amputee|love|vietnam|vietnam war|war hero,http://www.imdb.com/title/tt0109830/?ref_=fn_tt_tt_1,1398,English,USA,55000000,294,2.35
Tim Hill,25,639,Beth Riesgraf,Animation|Comedy|Family|Fantasy|Music,Jesse McCartney,57276,2847,Matthew Gray Gubler,0,based on cartoon|chipmunk|concert|fart joke|talking animal,http://www.imdb.com/title/tt0952640/?ref_=fn_tt_tt_1,146,English,USA,60000000,718,1.85
Jay Roach,116,708,Blythe Danner,Comedy,Robert De Niro,260442,24286,Teri Polo,2,cat|cia|jewish|male nurse|nurse,http://www.imdb.com/title/tt0212338/?ref_=fn_tt_tt_1,507,English,USA,55000000,713,1.85
Mike Gabriel,12,752,Frank Welker,Adventure|Animation|Drama|Family|History|Musical|Romance,Christian Bale,119675,26754,Irene Bedard,1,actor playing multiple roles|love|one word title|unsubtitled foreign language|virginia,http://www.imdb.com/title/tt0114148/?ref_=fn_tt_tt_1,216,English,USA,55000000,2000,1.78
Richard Donner,503,467,Margot Kidder,Action|Adventure|Drama|Romance|Sci-Fi,Marlon Brando,126357,12940,Ned Beatty,0,1970s|clark kent|planet|superhero|year 1978,http://www.imdb.com/title/tt0078346/?ref_=fn_tt_tt_1,497,English,USA,55000000,593,2.35
Tom Shadyac,293,744,James Coburn,Comedy|Romance|Sci-Fi,Jada Pinkett Smith,86556,3155,Dave Chappelle,1,face slap|formula|overweight|professor|teacher,http://www.imdb.com/title/tt0117218/?ref_=fn_tt_tt_1,99,English,USA,54000000,773,1.85
Andy Tennant,72,681,Michael Rapaport,Comedy|Romance,Will Smith,244840,13426,Kevin Sussman,1,advice|friendship|gossip|newspaper|quitting a job,http://www.imdb.com/title/tt0386588/?ref_=fn_tt_tt_1,372,English,USA,70000000,975,2.35
Sam Weisman,39,458,Abraham Benrubi,Action|Adventure|Comedy|Family|Romance,Brendan Fraser,56168,4518,Holland Taylor,0,animal companion|heiress|hero|jungle|male objectification,http://www.imdb.com/title/tt0119190/?ref_=fn_tt_tt_1,103,English,USA,55000000,562,1.85
Jesse Dylan,58,729,Thomas Ian Nicholas,Comedy|Romance,Alyson Hannigan,162331,5713,Fred Willard,3,bachelor party|blow job|breasts|friend|wedding,http://www.imdb.com/title/tt0328828/?ref_=fn_tt_tt_1,332,English,USA,55000000,864,2.35
Paul Greengrass,521,186,Chris Mulkey,Biography|Drama|Thriller,Tom Hanks,323353,16281,Michael Chernus,0,hijacking|hostage|leader|ship|somalia,http://www.imdb.com/title/tt1535109/?ref_=fn_tt_tt_1,527,English,USA,55000000,535,2.35
Shawn Levy,189,7000,James Franco,Comedy|Crime|Romance|Thriller,Mila Kunis,127571,39822,Steve Carell,2,city|new york city|night|reservation|restaurant,http://www.imdb.com/title/tt1279935/?ref_=fn_tt_tt_1,207,English,USA,55000000,11000,2.35
Brad Silberling,52,394,Fred Rogers,Comedy|Family|Fantasy,Eric Idle,85903,2638,Cathy Moriarty,0,casper|friendly ghost|ghost|maine|mansion,http://www.imdb.com/title/tt0112642/?ref_=fn_tt_tt_1,92,English,USA,50000000,419,1.85
