director_name,duration,genres,actor_3_name,movie_imdb_link,num_user_for_reviews,country,content_rating,actor_2_facebook_likes,aspect_ratio,movie_facebook_likes
Dave Borthwick,77,Adventure|Animation|Comedy|Family|Fantasy,Jon Stewart,http://www.imdb.com/title/tt0763304/?ref_=fn_tt_tt_1,114,USA,G,690,1.85,346
Benson Lee,110,Drama|Music,Laz Alonso,http://www.imdb.com/title/tt1532958/?ref_=fn_tt_tt_1,25,USA,PG-13,941,1.85,0
,42,Crime|Drama|Mystery|Thriller,Scott Wolf,http://www.imdb.com/title/tt1714204/?ref_=fn_tt_tt_1,29,USA,TV-14,440,16.0,0
David Zucker,83,Comedy|Fantasy,Gary Coleman,http://www.imdb.com/title/tt1190617/?ref_=fn_tt_tt_1,205,USA,PG-13,816,2.35,797
Robert Rodriguez,107,Action|Comedy|Crime|Thriller,Marko Zaror,http://www.imdb.com/title/tt2002718/?ref_=fn_tt_tt_1,164,Russia,R,749,1.85,48000
Glen Morgan,100,Drama|Horror|Sci-Fi|Thriller,Jackie Burroughs,http://www.imdb.com/title/tt0310357/?ref_=fn_tt_tt_1,213,Canada,PG-13,429,2.35,0
Fred Wolf,87,Adventure|Comedy,Jeff Garlin,http://www.imdb.com/title/tt0489282/?ref_=fn_tt_tt_1,120,USA,R,794,2.35,847
Mike Leigh,154,Biography|Comedy|Drama|History|Music|Musical,Lesley Manville,http://www.imdb.com/title/tt0151568/?ref_=fn_tt_tt_1,202,UK,R,452,1.66,608
Alejandro Monteverde,106,Drama|War,Michael Rapaport,http://www.imdb.com/title/tt1810683/?ref_=fn_tt_tt_1,122,Mexico,PG-13,1000,2.35,15000
David Cronenberg,99,Biography|Drama|Thriller,Sarah Gadon,http://www.imdb.com/title/tt1571222/?ref_=fn_tt_tt_1,190,UK,R,10000,1.85,36000
Richard Linklater,100,Animation|Drama|Mystery|Sci-Fi|Thriller,Rory Cochrane,http://www.imdb.com/title/tt0405296/?ref_=fn_tt_tt_1,293,USA,R,18000,1.85,0
Michael Apted,116,Biography|Drama|Sport,Leven Rambin,http://www.imdb.com/title/tt1629757/?ref_=fn_tt_tt_1,75,USA,PG,1000,1.85,13000
Uwe Boll,94,Horror|Sci-Fi,Karin Konoval,http://www.imdb.com/title/tt0369226/?ref_=fn_tt_tt_1,521,Canada,R,294,2.35,1000
Todd Graff,111,Comedy|Drama|Family|Music|Romance,Ryan Donowho,http://www.imdb.com/title/tt0976222/?ref_=fn_tt_tt_1,39,USA,PG,224,2.35,1000
Jonathan Glazer,100,Drama|Mystery|Romance|Thriller,Danny Huston,http://www.imdb.com/title/tt0337876/?ref_=fn_tt_tt_1,361,USA,R,681,1.85,0
J.C. Chandor,125,Action|Crime|Drama|Thriller,Albert Brooks,http://www.imdb.com/title/tt2937898/?ref_=fn_tt_tt_1,180,USA,R,969,2.35,0
Paul Gross,114,Drama|History|Romance|War,Caroline Dhavernas,http://www.imdb.com/title/tt1092082/?ref_=fn_tt_tt_1,102,Canada,R,912,2.35,971
Marc Abraham,119,Biography|Drama,Victoria Learn,http://www.imdb.com/title/tt1054588/?ref_=fn_tt_tt_1,45,USA,PG-13,18,2.35,0
Todd Haynes,135,Biography|Drama|Music,Tyrone Benskin,http://www.imdb.com/title/tt0368794/?ref_=fn_tt_tt_1,230,USA,R,13000,2.35,0
Mabrouk El Mechri,93,Action|Thriller,Óscar Jaenada,http://www.imdb.com/title/tt1366365/?ref_=fn_tt_tt_1,113,USA,PG-13,13000,2.35,0
Rian Johnson,114,Adventure|Comedy|Drama|Romance,Nora Zehetner,http://www.imdb.com/title/tt0844286/?ref_=fn_tt_tt_1,105,USA,PG-13,877,2.35,0
Charlie Kaufman,124,Comedy|Drama|Romance,Samantha Morton,http://www.imdb.com/title/tt0383028/?ref_=fn_tt_tt_1,274,USA,R,1000,2.35,13000
