director_name,director_facebook_likes,actor_3_facebook_likes,actor_2_name,genres,actor_1_name,movie_title,cast_total_facebook_likes,actor_3_name,movie_imdb_link,num_user_for_reviews,language,content_rating,actor_2_facebook_likes,imdb_score,aspect_ratio
Peter Howitt,29,161,Kevin McNally,Comedy|Drama|Fantasy|Romance,Jeanne Tripplehorn,Sliding Doors ,1462,John Lynch,http://www.imdb.com/title/tt0120148/?ref_=fn_tt_tt_1,278,English,R,427,6.8,1.85
Rusty Cundieff,38,360,Clarence Williams III,Comedy|Horror|Thriller,Corbin Bernsen,Tales from the Hood ,3221,David Alan Grier,http://www.imdb.com/title/tt0114609/?ref_=fn_tt_tt_1,52,English,R,475,6.1,1.85
Kevin Macdonald,162,25,Simon McBurney,Biography|Drama|History|Thriller,David Oyelowo,The Last King of Scotland ,1184,Abby Mukiibi Nkaaga,http://www.imdb.com/title/tt0455590/?ref_=fn_tt_tt_1,351,English,R,149,7.7,2.35
Dominique Othenin-Girard,2,120,Tamara Glynn,Horror|Thriller,Donald Pleasence,Halloween 5 ,1308,Troy Evans,http://www.imdb.com/title/tt0097474/?ref_=fn_tt_tt_1,287,English,X,256,5.2,1.85
Richard Linklater,0,84,Brandon Smith,Comedy|Crime|Drama,Matthew McConaughey,Bernie ,11328,Rick Dial,http://www.imdb.com/title/tt1704573/?ref_=fn_tt_tt_1,136,English,PG-13,106,6.8,1.85
Jean-Jacques Mantello,0,,Daryl Hannah,Adventure|Documentary|Short,Charlotte Rampling,Dolphins and Whales 3D: Tribes of the Ocean ,844,,http://www.imdb.com/title/tt0996382/?ref_=fn_tt_tt_1,5,English,,0,6.5,1.78
Ed Harris,0,221,Bud Cort,Biography|Drama,John Heard,Pollock ,1517,Amy Madigan,http://www.imdb.com/title/tt0183659/?ref_=fn_tt_tt_1,148,English,R,394,7.0,1.85
Risa Bramon Garcia,112,612,Dave Chappelle,Comedy|Drama|Romance,Janeane Garofalo,200 Cigarettes ,2697,Gaby Hoffmann,http://www.imdb.com/title/tt0137338/?ref_=fn_tt_tt_1,182,English,R,744,5.9,1.85
Brian Klugman,49,10000,Bradley Cooper,Drama|Mystery|Romance|Thriller,J.K. Simmons,The Words ,51355,Olivia Wilde,http://www.imdb.com/title/tt1840417/?ref_=fn_tt_tt_1,130,English,PG-13,14000,7.1,1.85
Matt Piedmont,4,546,Adrian Martinez,Comedy|Western,Will Ferrell,Casa de mi Padre ,10123,Luis E. Carazo,http://www.imdb.com/title/tt1702425/?ref_=fn_tt_tt_1,70,Spanish,R,806,5.5,2.35
Raymond De Felitta,20,130,Curtiss Cook,Comedy|Drama,Ezra Miller,City Island ,3825,Dominik García-Lorido,http://www.imdb.com/title/tt1174730/?ref_=fn_tt_tt_1,101,English,PG-13,591,7.4,1.85
John Michael McDonagh,51,28,Fionnula Flanagan,Comedy|Crime|Thriller,Don Cheadle,The Guard ,3569,Wale Ojo,http://www.imdb.com/title/tt1540133/?ref_=fn_tt_tt_1,131,English,R,482,7.3,2.35
Deb Hagan,0,664,Alona Tal,Comedy,Drake Bell,College ,4484,Haley Bennett,http://www.imdb.com/title/tt0844671/?ref_=fn_tt_tt_1,78,English,R,1000,4.6,1.85
Sofia Coppola,0,826,Kathleen Turner,Drama|Romance,Kirsten Dunst,The Virgin Suicides ,7103,Scott Glenn,http://www.imdb.com/title/tt0159097/?ref_=fn_tt_tt_1,520,English,R,899,7.2,1.85
Mark Herman,39,286,Annette Badland,Comedy|Drama|Music|Romance,Jim Broadbent,Little Voice ,2103,Brenda Blethyn,http://www.imdb.com/title/tt0147004/?ref_=fn_tt_tt_1,160,English,R,497,7.0,1.85
Zach Cregger,138,263,Windell Middlebrooks,Comedy|Romance,Hugh M. Hefner,Miss March ,1831,Raquel Alessi,http://www.imdb.com/title/tt1151922/?ref_=fn_tt_tt_1,73,English,R,308,5.1,1.85
Zach Braff,0,379,Josh Gad,Comedy|Drama,Jim Parsons,Wish I Was Here ,18947,Michael Weston,http://www.imdb.com/title/tt2870708/?ref_=fn_tt_tt_1,93,English,R,1000,6.7,2.35
Mark Tarlov,3,353,Dylan Baker,Comedy|Drama|Fantasy|Romance,Sarah Michelle Gellar,Simply Irresistible ,5668,Lawrence Gilliard Jr.,http://www.imdb.com/title/tt0145893/?ref_=fn_tt_tt_1,190,English,PG-13,812,5.3,2.35
,,724,Jason Dohring,Crime|Drama|Mystery,Francis Capra,Veronica Mars             ,3318,Enrico Colantoni,http://www.imdb.com/title/tt0412253/?ref_=fn_tt_tt_1,315,English,TV-14,828,8.4,1.78
John Cameron Mitchell,263,179,Miriam Shor,Comedy|Drama|Music|Musical,John Cameron Mitchell,Hedwig and the Angry Inch ,993,Andrea Martin,http://www.imdb.com/title/tt0248845/?ref_=fn_tt_tt_1,231,English,R,261,7.8,1.85
Sheldon Lettich,23,82,Ryan Bollman,Action|Drama,Antoni Corone,Only the Strong ,382,Todd Susman,http://www.imdb.com/title/tt0107750/?ref_=fn_tt_tt_1,50,English,PG-13,91,6.7,1.85
Jon Knautz,10,34,Monda Scott,Drama|Horror|Mystery|Thriller,Rachel Alig,Goddess of Love ,546,Alexis Kendra,http://www.imdb.com/title/tt3432552/?ref_=fn_tt_tt_1,5,English,,77,5.4,2.35
Billy Ray,53,491,Rosario Dawson,Drama|History,Hayden Christensen,Shattered Glass ,8297,Cas Anvar,http://www.imdb.com/title/tt0323944/?ref_=fn_tt_tt_1,190,English,PG-13,3000,7.2,2.35
David Atkins,8,15,Lynne Thigpen,Comedy|Crime|Drama|Thriller,Chelcie Ross,Novocaine ,489,Polly Noonan,http://www.imdb.com/title/tt0234354/?ref_=fn_tt_tt_1,105,English,R,230,5.8,1.85
Patrick Stettner,5,152,Tony Devon,Drama|Thriller,Stockard Channing,The Business of Strangers ,1407,Frederick Weller,http://www.imdb.com/title/tt0270259/?ref_=fn_tt_tt_1,78,English,R,257,6.4,1.85
Sam Peckinpah,541,242,Warren Oates,Action|Adventure|Western,William Holden,The Wild Bunch ,2379,L.Q. Jones,http://www.imdb.com/title/tt0065214/?ref_=fn_tt_tt_1,287,English,R,288,8.0,2.35
Jonathan Levine,129,362,Aaron Yoo,Comedy|Drama|Romance,Mary-Kate Olsen,The Wackness ,2748,Method Man,http://www.imdb.com/title/tt1082886/?ref_=fn_tt_tt_1,75,English,R,617,7.0,2.35
Michael Crichton,735,20,Michael Elphick,Adventure|Crime|Drama|Thriller,Lesley-Anne Down,The Great Train Robbery ,297,Pamela Salem,http://www.imdb.com/title/tt0079240/?ref_=fn_tt_tt_1,50,English,PG,34,7.0,1.85
Lynne Ramsay,159,53,Bryan Dick,Drama,Samantha Morton,Morvern Callar ,841,Paul Popplewell,http://www.imdb.com/title/tt0300214/?ref_=fn_tt_tt_1,111,English,R,104,6.7,1.85
Sylvio Tabet,0,284,Kari Wuhrer,Action|Adventure|Fantasy|Sci-Fi,Michael Berryman,Beastmaster 2: Through the Portal of Time ,2000,Marc Singer,http://www.imdb.com/title/tt0101412/?ref_=fn_tt_tt_1,16,English,PG-13,514,3.8,1.85
Rick Bieber,11,316,Kendrick Cross,Biography|Drama|Sport,Aidan Quinn,The 5th Quarter ,2370,Sammy Nagi Njuguna,http://www.imdb.com/title/tt1130964/?ref_=fn_tt_tt_1,29,English,PG,529,5.7,1.85
Claude Chabrol,324,27,Nathalie Baye,Drama,Benoît Magimel,The Flower of Evil ,282,Mélanie Doutey,http://www.imdb.com/title/tt0322289/?ref_=fn_tt_tt_1,36,French,R,67,6.6,1.66
Shana Feste,19,71,Zoë Kravitz,Drama|Romance,Jennifer Ehle,The Greatest ,2163,Cara Seymour,http://www.imdb.com/title/tt1226232/?ref_=fn_tt_tt_1,50,English,R,943,6.7,2.35
Wayne Wang,61,451,Russell Wong,Drama|History,Bingbing Li,Snow Flower and the Secret Fan ,2430,Ji-hyun Jun,http://www.imdb.com/title/tt1541995/?ref_=fn_tt_tt_1,22,English,PG-13,595,6.1,2.35
Joey Lauren Adams,781,90,Diane Ladd,Drama|Romance,Tim Blake Nelson,Come Early Morning ,1081,Ritchie Montgomery,http://www.imdb.com/title/tt0457308/?ref_=fn_tt_tt_1,29,English,R,206,6.2,1.85
Peter Cattaneo,11,419,Olivia Williams,Comedy|Crime|Romance,James Nesbitt,Lucky Break ,2440,Peter McNamara,http://www.imdb.com/title/tt0246134/?ref_=fn_tt_tt_1,34,English,PG-13,766,6.2,2.35
Fred Zinnemann,160,898,Jane Fonda,Drama,Meryl Streep,Julia ,15604,Vanessa Redgrave,http://www.imdb.com/title/tt0076245/?ref_=fn_tt_tt_1,44,English,PG,949,7.4,1.85
S.R. Bindler,0,499,Scott Glenn,Comedy,Matthew McConaughey,Surfer, Dude ,14599,Sarah Wright,http://www.imdb.com/title/tt0976247/?ref_=fn_tt_tt_1,37,English,R,826,4.7,1.85
Tony Kaye,194,0,Pat Buchanan,Documentary,Noam Chomsky,Lake of Fire ,105,Bill Baird,http://www.imdb.com/title/tt0841119/?ref_=fn_tt_tt_1,29,English,Unrated,2,8.3,
Greg Marcks,9,407,Barbara Hershey,Comedy|Crime|Drama,Henry Thomas,11:14 ,2200,Shawn Hatosy,http://www.imdb.com/title/tt0331811/?ref_=fn_tt_tt_1,133,English,R,618,7.2,1.85
Perry Lang,17,259,Kevin Tighe,Action|Drama|Thriller,Catherine Bell,Men of War ,2152,Tim Guinee,http://www.imdb.com/title/tt0110490/?ref_=fn_tt_tt_1,38,English,R,472,5.8,2.35
Jake Goldberger,2,99,M. Emmet Walsh,Drama|Mystery|Thriller,Pruitt Taylor Vince,Don McKay ,1227,Robert Wahlberg,http://www.imdb.com/title/tt1281374/?ref_=fn_tt_tt_1,17,English,R,521,5.9,1.85
Stefan Ruzowitzky,24,874,Olivia Wilde,Crime|Drama|Thriller,Charlie Hunnam,Deadfall ,27575,Sissy Spacek,http://www.imdb.com/title/tt1667310/?ref_=fn_tt_tt_1,86,English,R,10000,6.3,2.35
Vic Sarin,24,130,Aidan Quinn,Drama|Family,Connie Nielsen,A Shine of Rainbows ,1940,John Bell,http://www.imdb.com/title/tt1014774/?ref_=fn_tt_tt_1,19,English,PG,767,7.2,2.35
William Kaufman,58,787,Sean Cook,Action|Thriller,Drew Waters,The Hit List ,3469,Cole Hauser,http://www.imdb.com/title/tt1575694/?ref_=fn_tt_tt_1,39,English,R,816,5.4,1.85
,,334,Blake Ritson,Comedy|Drama|Romance,Romola Garai,Emma             ,2563,Rupert Evans,http://www.imdb.com/title/tt1366312/?ref_=fn_tt_tt_1,50,English,,432,8.2,1.78
David Cronenberg,0,15,Leslie Carlson,Horror|Mystery|Sci-Fi|Thriller,Debbie Harry,Videodrome ,477,Reiner Schwarz,http://www.imdb.com/title/tt0086541/?ref_=fn_tt_tt_1,228,English,R,20,7.3,1.85
Cédric Klapisch,82,269,Cécile De France,Comedy|Drama,Romain Duris,L'auberge espagnole ,1858,Iddo Goldberg,http://www.imdb.com/title/tt0283900/?ref_=fn_tt_tt_1,149,French,R,447,7.3,1.85
Kate Barker-Froyland,4,444,Shawn Parsons,Drama|Music,Anne Hathaway,Song One ,12772,Li Jun Li,http://www.imdb.com/title/tt2182972/?ref_=fn_tt_tt_1,21,English,PG-13,485,5.8,
Barbet Schroeder,58,400,Chris Penn,Crime|Mystery|Thriller,Ryan Gosling,Murder by Numbers ,34605,Agnes Bruckner,http://www.imdb.com/title/tt0264935/?ref_=fn_tt_tt_1,302,English,R,455,6.1,1.85
Martin Koolhoven,12,19,Tygo Gernandt,Drama|History|War,Yorick van Wageningen,Winter in Wartime ,219,Martijn Lakemeier,http://www.imdb.com/title/tt0795441/?ref_=fn_tt_tt_1,37,Dutch,R,20,7.1,2.35
Charles Matthau,139,1000,Michael Jai White,Comedy|Crime|Thriller,Billy Burke,Freaky Deaky ,6569,Bill Duke,http://www.imdb.com/title/tt0938305/?ref_=fn_tt_tt_1,11,English,R,2000,6.5,
John Frankenheimer,287,28,Paul Scofield,Thriller|War,Jeanne Moreau,The Train ,502,Michel Simon,http://www.imdb.com/title/tt0059825/?ref_=fn_tt_tt_1,124,English,Unrated,94,7.9,1.66
Christopher M. Bessette,0,57,John Billingsley,Drama|Thriller,Mira Sorvino,Trade of Innocents ,1443,Trieu Tran,http://www.imdb.com/title/tt1772408/?ref_=fn_tt_tt_1,8,English,PG-13,323,5.4,2.35
Prachya Pinkaew,64,380,Nathan Jones,Action|Crime|Drama|Thriller,Jon Foo,The Protector ,2205,Johnny Nguyen,http://www.imdb.com/title/tt0427954/?ref_=fn_tt_tt_1,214,Thai,R,635,7.1,1.85
Gary Sinyor,0,136,Frank Finlay,Comedy,Sean Pertwee,Stiff Upper Lips ,1477,Samuel West,http://www.imdb.com/title/tt0120210/?ref_=fn_tt_tt_1,21,English,R,338,6.4,1.85
,,220,Belinda Stewart-Wilson,Comedy|Romance,Simon Bird,The Inbetweeners             ,1239,James Buckley,http://www.imdb.com/title/tt1220617/?ref_=fn_tt_tt_1,42,English,TV-14,223,8.4,16.0
Gurinder Chadha,98,397,Parminder Nagra,Comedy|Drama|Romance|Sport,Archie Panjabi,Bend It Like Beckham ,2201,Anupam Kher,http://www.imdb.com/title/tt0286499/?ref_=fn_tt_tt_1,438,English,PG-13,528,6.7,1.85
John Sayles,407,501,Edie Falco,Drama|Romance,Miguel Ferrer,Sunshine State ,2584,Timothy Hutton,http://www.imdb.com/title/tt0286179/?ref_=fn_tt_tt_1,81,English,PG-13,659,6.9,1.85
Preston A. Whitmore II,17,255,Wayne Brady,Action|Sport,Wesley Jonathan,Crossover ,2000,Eva Marcille,http://www.imdb.com/title/tt0473024/?ref_=fn_tt_tt_1,36,English,PG-13,378,2.1,1.85
Ashish R. Mohan,2,61,Mithun Chakraborty,Action|Comedy,Asin,Khiladi 786 ,1065,Johnny Lever,http://www.imdb.com/title/tt2166214/?ref_=fn_tt_tt_1,31,Hindi,Not Rated,284,4.3,
Jaume Balagueró,57,6,Pablo Rosso,Horror,Jonathan D. Mellor,[Rec] 2 ,73,Andrea Ros,http://www.imdb.com/title/tt1245112/?ref_=fn_tt_tt_1,148,Spanish,R,9,6.6,1.85
Stewart Raffill,12,10,Alexis Biesiada,Musical,Kayla Jackson,Standing Ovation ,72,Kayla Raparelli,http://www.imdb.com/title/tt1303803/?ref_=fn_tt_tt_1,6,English,PG,11,3.4,
George Roy Hill,131,417,Robert Shaw,Comedy|Crime|Drama,Eileen Brennan,The Sting ,2387,Ray Walston,http://www.imdb.com/title/tt0070735/?ref_=fn_tt_tt_1,252,English,PG,559,8.3,1.85
Hugh Hudson,46,249,Ben Cross,Biography|Drama|Sport,Alice Krige,Chariots of Fire ,1651,John Gielgud,http://www.imdb.com/title/tt0082158/?ref_=fn_tt_tt_1,213,English,PG,303,7.2,1.85
Darren Grant,0,476,Kimberly Elise,Comedy|Drama|Romance,Cicely Tyson,Diary of a Mad Black Woman ,2723,Tamara Taylor,http://www.imdb.com/title/tt0422093/?ref_=fn_tt_tt_1,202,English,PG-13,637,5.6,1.85
Scott Hicks,96,35,Armin Mueller-Stahl,Biography|Drama|Music|Romance,Noah Taylor,Shine ,888,Nicholas Bell,http://www.imdb.com/title/tt0117631/?ref_=fn_tt_tt_1,104,English,PG-13,294,7.7,1.85
Joseph Gordon-Levitt,23000,694,Scarlett Johansson,Comedy|Drama|Romance,Joseph Gordon-Levitt,Don Jon ,44265,Tony Danza,http://www.imdb.com/title/tt2229499/?ref_=fn_tt_tt_1,314,English,R,19000,6.6,2.35
Clint Eastwood,16000,258,Richard Bull,Mystery|Western,Clint Eastwood,High Plains Drifter ,17599,John Hillerman,http://www.imdb.com/title/tt0068699/?ref_=fn_tt_tt_1,169,English,R,742,7.6,2.35
Terry Zwigoff,72,722,Steve Buscemi,Comedy|Drama,Scarlett Johansson,Ghost World ,34106,T.J. Thyne,http://www.imdb.com/title/tt0162346/?ref_=fn_tt_tt_1,488,English,R,12000,7.4,1.85
Richard Eyre,14,548,Jim Broadbent,Biography|Drama|Romance,Kate Winslet,Iris ,16768,Kris Marshall,http://www.imdb.com/title/tt0280778/?ref_=fn_tt_tt_1,144,English,R,1000,7.1,1.85
William Sachs,14,60,Avery Schreiber,Comedy|Sci-Fi,Stephen Macht,Galaxina ,396,Angelo Rossitto,http://www.imdb.com/title/tt0080771/?ref_=fn_tt_tt_1,44,English,R,110,3.4,2.35
Christophe Barratier,25,57,François Berléand,Drama|Music,Jean-Baptiste Maunier,The Chorus ,745,Gérard Jugnot,http://www.imdb.com/title/tt0372824/?ref_=fn_tt_tt_1,110,French,PG-13,86,7.9,2.35
Émile Gaudreault,9,71,Luke Kirby,Comedy|Drama,Paul Sorvino,Mambo Italiano ,1033,Claudia Ferri,http://www.imdb.com/title/tt0330602/?ref_=fn_tt_tt_1,67,English,R,210,6.7,1.85
James Cox,10,93,Louis Lombardi,Crime|Drama|Mystery|Thriller,Alexis Dziena,Wonderland ,1315,Franky G,http://www.imdb.com/title/tt0335563/?ref_=fn_tt_tt_1,153,English,R,436,6.6,1.85
Spike Lee,0,388,John Savage,Drama,Ruby Dee,Do the Right Thing ,2892,Danny Aiello,http://www.imdb.com/title/tt0097216/?ref_=fn_tt_tt_1,418,English,R,652,7.9,1.85
James Toback,56,781,Eric Stoltz,Comedy|Crime|Drama|Romance|Thriller,Sarah Michelle Gellar,Harvard Man ,6776,Joey Lauren Adams,http://www.imdb.com/title/tt0242508/?ref_=fn_tt_tt_1,69,English,R,902,4.9,2.35
Aki Kaurismäki,592,36,Kati Outinen,Comedy|Drama,Jean-Pierre Léaud,Le Havre ,391,Jean-Pierre Darroussin,http://www.imdb.com/title/tt1508675/?ref_=fn_tt_tt_1,41,French,Not Rated,67,7.2,1.85
Gaspar Noé,929,9,Albert Dupontel,Crime|Drama|Mystery|Thriller,Philippe Nahon,Irreversible ,118,Jo Prestia,http://www.imdb.com/title/tt0290673/?ref_=fn_tt_tt_1,664,French,Not Rated,46,7.4,2.35
Hitoshi Matsumoto,17,16,Hitoshi Matsumoto,Comedy|Drama,Lindsay Kay Hayward,R100 ,81,Shinobu Terajima,http://www.imdb.com/title/tt2914838/?ref_=fn_tt_tt_1,12,Japanese,Unrated,17,6.1,1.85
Rakeysh Omprakash Mehra,85,199,Steven Mackintosh,Comedy|Drama|History|Romance,Anupam Kher,Rang De Basanti ,1519,Madhavan,http://www.imdb.com/title/tt0405508/?ref_=fn_tt_tt_1,321,Hindi,Not Rated,227,8.4,2.35
Collin Schiffli,4,290,John Heard,Drama,Kim Shaw,Animals ,2030,David Dastmalchian,http://www.imdb.com/title/tt3297554/?ref_=fn_tt_tt_1,8,English,,697,6.2,2.35
George Ratliff,3,38,Cree Kelly,Action|Comedy|Drama|Thriller,Jim Gaffigan,Salvation Boulevard ,561,Mike Eshaq,http://www.imdb.com/title/tt1251743/?ref_=fn_tt_tt_1,31,English,R,39,5.3,1.85
David Wain,136,139,Ken Marino,Comedy|Romance,Jon Hamm,The Ten ,4883,Ron Silver,http://www.imdb.com/title/tt0811106/?ref_=fn_tt_tt_1,117,English,R,543,5.0,1.85
Shane Meadows,222,222,Paddy Considine,Comedy|Drama,Bob Hoskins,A Room for Romeo Brass ,6111,Shane Meadows,http://www.imdb.com/title/tt0202559/?ref_=fn_tt_tt_1,47,English,R,680,7.7,1.85
Morten Tyldum,77,27,Synnøve Macody Lund,Crime|Drama|Thriller,Aksel Hennie,Headhunters ,385,Julie R. Ølgaard,http://www.imdb.com/title/tt1614989/?ref_=fn_tt_tt_1,121,Norwegian,R,52,7.6,2.39
Jon Wright,4,114,Richard Coyle,Comedy|Horror|Sci-Fi|Thriller,Russell Tovey,Grabbers ,1832,Bronagh Gallagher,http://www.imdb.com/title/tt1525366/?ref_=fn_tt_tt_1,70,English,Not Rated,567,6.3,2.35
Michael McGowan,12,149,Adam Butcher,Comedy|Drama|Sport,Campbell Scott,Saint Ralph ,955,Gordon Pinsent,http://www.imdb.com/title/tt0384488/?ref_=fn_tt_tt_1,52,English,PG-13,259,7.6,1.85
Liv Ullmann,440,0,Jessica Chastain,Drama|Romance,Samantha Morton,Miss Julie ,631,Colin Farrell,http://www.imdb.com/title/tt2667960/?ref_=fn_tt_tt_1,14,English,PG-13,0,5.6,
Jeannot Szwarc,82,32,Bill Erwin,Drama|Fantasy|Romance,Teresa Wright,Somewhere in Time ,454,George Voskovec,http://www.imdb.com/title/tt0081534/?ref_=fn_tt_tt_1,249,English,PG,191,7.3,1.85
Rohan Sippy,4,47,Bipasha Basu,Action|Crime|Drama|Thriller,Abhishek Bachchan,Dum Maaro Dum ,787,Prateik,http://www.imdb.com/title/tt1618430/?ref_=fn_tt_tt_1,27,Hindi,R,282,6.2,
James Wan,0,482,Barbara Hershey,Fantasy|Horror|Thriller,Lin Shaye,Insidious: Chapter 2 ,2975,Leigh Whannell,http://www.imdb.com/title/tt2226417/?ref_=fn_tt_tt_1,269,English,PG-13,618,6.6,2.35
Darren Lynn Bousman,163,651,Tony Nappo,Horror|Mystery,Emmanuelle Vaugier,Saw II ,4134,Shawnee Smith,http://www.imdb.com/title/tt0432348/?ref_=fn_tt_tt_1,864,English,R,654,6.6,1.85
Dan Trachtenberg,16,82,John Gallagher Jr.,Drama|Horror|Mystery|Sci-Fi|Thriller,Bradley Cooper,10 Cloverfield Lane ,14504,Sumalee Montano,http://www.imdb.com/title/tt1179933/?ref_=fn_tt_tt_1,440,English,PG-13,338,7.3,2.35
