director_name,num_critic_for_reviews,actor_2_name,gross,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,movie_imdb_link,country,actor_2_facebook_likes,imdb_score
Marc F. Adler,41,Anne Bancroft,511920,Delgo ,2458,2449,Kelly Ripa,1,http://www.imdb.com/title/tt0361500/?ref_=fn_tt_tt_1,USA,754,4.4
Pierre Morel,224,Mark Rylance,10640645,The Gunman ,28429,1686,Jasmine Trinca,0,http://www.imdb.com/title/tt2515034/?ref_=fn_tt_tt_1,USA,535,5.8
Geoffrey Sax,66,Sophie Okonedo,652526,Alex Rider: Operation Stormbreaker ,20201,15638,Ashley Walters,3,http://www.imdb.com/title/tt0457495/?ref_=fn_tt_tt_1,Germany,460,5.1
D.J. Caruso,253,Aaron Yoo,80050171,Disturbia ,186982,2288,Jose Pablo Cantillo,0,http://www.imdb.com/title/tt0486822/?ref_=fn_tt_tt_1,USA,617,6.9
Iain Softley,79,Fisher Stevens,7564000,Hackers ,54650,13821,Lorraine Bracco,1,http://www.imdb.com/title/tt0113243/?ref_=fn_tt_tt_1,USA,922,6.2
Richard Shepard,94,Zan Marolt,876671,The Hunting Party ,22010,504,Ljubomir Kerekes,2,http://www.imdb.com/title/tt0455782/?ref_=fn_tt_tt_1,USA,3,6.9
Joel Coen,77,Bill Cobbs,2869369,The Hudsucker Proxy ,65474,2612,John Mahoney,2,http://www.imdb.com/title/tt0110074/?ref_=fn_tt_tt_1,UK,970,7.3
Peter Ho-Sun Chan,106,Takeshi Kaneshiro,128978,The Warlords ,22897,6267,Andy Lau,2,http://www.imdb.com/title/tt0913968/?ref_=fn_tt_tt_1,Hong Kong,755,7.1
Sergey Bodrov,30,Kuno Becker,77231,Nomad: The Warrior ,3322,2115,Jason Scott Lee,0,http://www.imdb.com/title/tt0374089/?ref_=fn_tt_tt_1,France,580,6.0
Joon-ho Bong,488,Ewen Bremner,4563029,Snowpiercer ,181472,12286,Kang-ho Song,5,http://www.imdb.com/title/tt1706620/?ref_=fn_tt_tt_1,South Korea,557,7.0
Bibo Bergeron,63,Bob Balaban,,A Monster in Paris ,15790,3243,François Cluzet,0,http://www.imdb.com/title/tt0961097/?ref_=fn_tt_tt_1,France,559,6.8
Jeff Nathanson,42,Glenn Morshower,463730,The Last Shot ,3789,5240,Tim Blake Nelson,10,http://www.imdb.com/title/tt0357054/?ref_=fn_tt_tt_1,USA,894,5.7
Alex Proyas,118,Bai Ling,50693162,The Crow ,136580,2630,David Patrick Kelly,0,http://www.imdb.com/title/tt0109506/?ref_=fn_tt_tt_1,USA,581,7.6
S.S. Rajamouli,44,Anushka Shetty,6498000,Baahubali: The Beginning ,62756,554,Prabhas,1,http://www.imdb.com/title/tt2631186/?ref_=fn_tt_tt_1,India,133,8.4
Robert Schwentke,214,Brooklynn Proulx,63411478,The Time Traveler's Wife ,114925,568,Michelle Nolden,1,http://www.imdb.com/title/tt0452694/?ref_=fn_tt_tt_1,USA,142,7.1
Michael Lehmann,110,Stephen Collins,42640890,Because I Said So ,32412,1930,Tom Everett Scott,1,http://www.imdb.com/title/tt0490084/?ref_=fn_tt_tt_1,USA,452,5.6
Rob Cohen,187,Vin Diesel,144512310,The Fast and the Furious ,272227,45327,Jordana Brewster,2,http://www.imdb.com/title/tt0232500/?ref_=fn_tt_tt_1,USA,14000,6.7
Tim Burton,370,Catherine O'Hara,35287788,Frankenweenie ,73886,4774,Atticus Shaffer,0,http://www.imdb.com/title/tt1142977/?ref_=fn_tt_tt_1,USA,925,7.0
Joss Whedon,276,Sean Maher,25335935,Serenity ,242599,2853,Michael Hitchcock,0,http://www.imdb.com/title/tt0379786/?ref_=fn_tt_tt_1,USA,505,8.0
Charles S. Dutton,76,Charles S. Dutton,5881504,Against the Ropes ,5917,2972,Tim Daly,2,http://www.imdb.com/title/tt0312329/?ref_=fn_tt_tt_1,USA,534,5.3
Richard Lester,95,Robert Vaughn,60000000,Superman III ,49934,2329,Jackie Cooper,1,http://www.imdb.com/title/tt0086393/?ref_=fn_tt_tt_1,UK,542,4.9
Peter Segal,211,Sylvester Stallone,29802761,Grudge Match ,46480,36009,Oscar Gale,1,http://www.imdb.com/title/tt1661382/?ref_=fn_tt_tt_1,USA,13000,6.4
John Woo,160,Tony Chiu Wai Leung,626809,Red Cliff ,36894,2172,Wei Zhao,4,http://www.imdb.com/title/tt0425637/?ref_=fn_tt_tt_1,China,643,7.4
Andy Tennant,97,Mary Lynn Rajskub,127214072,Sweet Home Alabama ,83786,4251,Courtney Gains,1,http://www.imdb.com/title/tt0256415/?ref_=fn_tt_tt_1,USA,935,6.1
Robert Luketic,174,John Michael Higgins,88915214,The Ugly Truth ,163665,22436,Eric Winter,2,http://www.imdb.com/title/tt1142988/?ref_=fn_tt_tt_1,USA,957,6.5
Jonathan Lynn,23,Phil Hartman,30400000,Sgt. Bilko ,17810,2176,Max Casella,2,http://www.imdb.com/title/tt0117608/?ref_=fn_tt_tt_1,USA,516,5.7
Robert Rodriguez,103,Alexa PenaVega,85570368,Spy Kids 2: Island of Lost Dreams ,44885,18291,Emily Osment,1,http://www.imdb.com/title/tt0287717/?ref_=fn_tt_tt_1,USA,2000,5.1
David Carson,98,Alan Ruck,75668868,Star Trek: Generations ,60504,6427,Jonathan Frakes,0,http://www.imdb.com/title/tt0111280/?ref_=fn_tt_tt_1,USA,946,6.6
Kar-Wai Wong,273,Hye-kyo Song,6594136,The Grandmaster ,24557,943,Elvis Tsui,1,http://www.imdb.com/title/tt1462900/?ref_=fn_tt_tt_1,Hong Kong,290,6.5
Francis Lawrence,279,Christoph Waltz,58700247,Water for Elephants ,95367,36062,James Frain,1,http://www.imdb.com/title/tt1067583/?ref_=fn_tt_tt_1,USA,11000,6.9
,22,Wayne Knight,,3rd Rock from the Sun             ,38383,25160,Kristen Johnston,4,http://www.imdb.com/title/tt0115082/?ref_=fn_tt_tt_1,USA,967,7.8
Yuefeng Song,4,Bianca Collins,,Dragon Nest: Warriors' Dawn ,2169,196,Jiao Xu,0,http://www.imdb.com/title/tt2911342/?ref_=fn_tt_tt_1,China,47,6.4
Norman Jewison,65,Vincent Pastore,50668906,The Hurricane ,76016,20516,Deborah Kara Unger,0,http://www.imdb.com/title/tt0174856/?ref_=fn_tt_tt_1,USA,584,7.6
Michael Apted,98,Jeff Kober,39177215,Enough ,30667,3770,Billy Campbell,1,http://www.imdb.com/title/tt0278435/?ref_=fn_tt_tt_1,USA,919,5.6
David Mirkin,116,Anne Bancroft,40334024,Heartbreakers ,44168,2912,Jeffrey Jones,3,http://www.imdb.com/title/tt0125022/?ref_=fn_tt_tt_1,USA,754,6.2
Andy Fickman,76,Daniella Alonso,71038190,Paul Blart: Mall Cop 2 ,23473,3552,Eduardo Verástegui,1,http://www.imdb.com/title/tt3450650/?ref_=fn_tt_tt_1,USA,557,4.4
Luis Mandoki,106,Shirley Knight,24044532,Angel Eyes ,19686,1440,Kari Matchett,0,http://www.imdb.com/title/tt0225071/?ref_=fn_tt_tt_1,USA,285,5.6
John Pasquin,55,Ken Marino,22770864,Joe Somebody ,8433,2765,Kelly Lynch,1,http://www.imdb.com/title/tt0279889/?ref_=fn_tt_tt_1,USA,543,5.5
Roman Polanski,172,Frank Langella,18653746,The Ninth Gate ,137722,42344,Lena Olin,1,http://www.imdb.com/title/tt0142688/?ref_=fn_tt_tt_1,Spain,903,6.7
Michael Apted,47,Paul Guilfoyle,17305211,Extreme Measures ,14066,24547,Bill Nunn,0,http://www.imdb.com/title/tt0116259/?ref_=fn_tt_tt_1,USA,210,6.1
Stephen Herek,107,Dagmara Dominczyk,16991902,Rock Star ,34592,1265,Matthew Glave,0,http://www.imdb.com/title/tt0202470/?ref_=fn_tt_tt_1,USA,316,6.2
Lee Daniels,323,Gabourey Sidibe,47536959,Precious ,86955,3277,Mariah Carey,0,http://www.imdb.com/title/tt0929632/?ref_=fn_tt_tt_1,USA,906,7.3
Ridley Scott,37,Jason Marsden,10300000,White Squall ,17859,16237,Ethan Embry,4,http://www.imdb.com/title/tt0118158/?ref_=fn_tt_tt_1,USA,1000,6.6
John Carpenter,297,Richard Masur,13782838,The Thing ,258078,1757,David Clennon,0,http://www.imdb.com/title/tt0084787/?ref_=fn_tt_tt_1,USA,163,8.2
David Twohy,302,Nolan Gerard Funk,41997790,Riddick ,125305,17551,Bokeem Woodbine,0,http://www.imdb.com/title/tt1411250/?ref_=fn_tt_tt_1,USA,924,6.4
Jeb Stuart,38,Claudia Stedelin,6482195,Switchback ,9740,74,Ted Markland,1,http://www.imdb.com/title/tt0119210/?ref_=fn_tt_tt_1,USA,12,6.4
Steve Miner,31,Usher Raymond,623374,Texas Rangers ,4757,2120,Leonor Varela,2,http://www.imdb.com/title/tt0193560/?ref_=fn_tt_tt_1,USA,569,5.2
Gil Kenan,118,Toby Jones,7871693,City of Ember ,52908,15494,Harry Treadaway,0,http://www.imdb.com/title/tt0970411/?ref_=fn_tt_tt_1,USA,2000,6.5
Paul Thomas Anderson,546,Jeffrey W. Jenkins,16377274,The Master ,105144,427,Bruce Goodchild,31,http://www.imdb.com/title/tt1560747/?ref_=fn_tt_tt_1,USA,18,7.1
David Leland,21,Ryan Cartwright,,Virgin Territory ,6691,4900,David Walliams,2,http://www.imdb.com/title/tt0437954/?ref_=fn_tt_tt_1,Italy,476,4.8
Gary Fleder,86,Nicole Beharie,9589875,The Express ,16673,5162,Charles S. Dutton,0,http://www.imdb.com/title/tt0469903/?ref_=fn_tt_tt_1,USA,898,7.3
J Blakeson,194,Maggie Siff,34912982,The 5th Wave ,55617,19974,Nick Robinson,0,http://www.imdb.com/title/tt2304933/?ref_=fn_tt_tt_1,USA,1000,5.2
Ryan Coogler,437,Phylicia Rashad,109712885,Creed ,146708,15106,Graham McTavish,1,http://www.imdb.com/title/tt3076658/?ref_=fn_tt_tt_1,USA,597,7.7
Ben Affleck,378,Jon Hamm,92173235,The Town ,280228,14296,Owen Burke,7,http://www.imdb.com/title/tt0840361/?ref_=fn_tt_tt_1,USA,4000,7.6
Kirk Jones,170,Dennis Quaid,41102171,What to Expect When You're Expecting ,57266,13396,Thomas Lennon,12,http://www.imdb.com/title/tt1586265/?ref_=fn_tt_tt_1,USA,2000,5.7
Ethan Coen,341,Brad Pitt,60338891,Burn After Reading ,248468,36093,Kevin Sussman,0,http://www.imdb.com/title/tt0887883/?ref_=fn_tt_tt_1,USA,11000,7.0
Jennifer Flackett,139,Anthony Simcoe,48006503,Nim's Island ,28109,18178,Christopher James Baker,3,http://www.imdb.com/title/tt0410377/?ref_=fn_tt_tt_1,USA,82,6.0
Ron Howard,393,Olivia Wilde,26903709,Rush ,312629,37206,Alexandra Maria Lara,0,http://www.imdb.com/title/tt1979320/?ref_=fn_tt_tt_1,UK,10000,8.1
Paul Thomas Anderson,224,Neil Flynn,22450975,Magnolia ,241030,1906,Jim Meskimen,1,http://www.imdb.com/title/tt0175880/?ref_=fn_tt_tt_1,USA,625,8.0
Kevin Smith,203,Tracy Morgan,44867349,Cop Out ,75347,14483,Kevin Pollak,2,http://www.imdb.com/title/tt1385867/?ref_=fn_tt_tt_1,USA,642,5.6
Christian Ditter,148,Damon Wayans Jr.,46813366,How to Be Single ,39440,4882,Nicholas Braun,4,http://www.imdb.com/title/tt1292566/?ref_=fn_tt_tt_1,USA,756,6.1
Charles Martin Smith,131,Michael Roark,72279690,Dolphin Tale ,17948,14209,Harry Connick Jr.,5,http://www.imdb.com/title/tt1564349/?ref_=fn_tt_tt_1,USA,680,6.9
Catherine Hardwicke,350,Taylor Lautner,191449475,Twilight ,348007,44060,Anna Kendrick,1,http://www.imdb.com/title/tt1099212/?ref_=fn_tt_tt_1,USA,12000,5.2
Nick Cassavetes,129,Laura Harring,71026631,John Q ,98899,20970,Anne Heche,1,http://www.imdb.com/title/tt0251160/?ref_=fn_tt_tt_1,USA,669,7.0
Les Mayfield,40,Dave Chappelle,68208190,Blue Streak ,60572,2986,Tamala Jones,1,http://www.imdb.com/title/tt0181316/?ref_=fn_tt_tt_1,USA,744,6.3
Rawson Marshall Thurber,289,Molly C. Quinn,150368971,We're the Millers ,316671,3425,Thomas Lennon,4,http://www.imdb.com/title/tt1723121/?ref_=fn_tt_tt_1,USA,707,7.0
Fedor Bondarchuk,14,Fedor Bondarchuk,,Obitaemyy ostrov ,4387,599,Aleksey Serebryakov,0,http://www.imdb.com/title/tt0972558/?ref_=fn_tt_tt_1,Russia,35,5.3
Jonathan Mostow,72,M.C. Gainey,50129186,Breakdown ,38399,1874,J.T. Walsh,0,http://www.imdb.com/title/tt0118771/?ref_=fn_tt_tt_1,USA,284,6.9
Irvin Kershner,89,Klaus Maria Brandauer,55500000,Never Say Never Again ,48636,762,Barbara Carrera,3,http://www.imdb.com/title/tt0086006/?ref_=fn_tt_tt_1,UK,172,6.2
Steve Pink,265,Collette Wolfe,50213619,Hot Tub Time Machine ,139184,1272,Crystal Lowe,8,http://www.imdb.com/title/tt1231587/?ref_=fn_tt_tt_1,USA,390,6.4
Charles Martin Smith,54,Taylor Blackwell,42019483,Dolphin Tale 2 ,6069,13904,Harry Connick Jr.,0,http://www.imdb.com/title/tt2978462/?ref_=fn_tt_tt_1,USA,641,6.4
John Frankenheimer,126,James Frain,23360779,Reindeer Games ,31113,10838,Clarence Williams III,0,http://www.imdb.com/title/tt0184858/?ref_=fn_tt_tt_1,USA,1000,5.7
F. Gary Gray,110,Jeff Kober,26183197,A Man Apart ,38348,16611,Larenz Tate,0,http://www.imdb.com/title/tt0266465/?ref_=fn_tt_tt_1,USA,919,6.1
Cameron Crowe,138,Bradley Cooper,20991497,Aloha ,39778,44037,Bill Murray,1,http://www.imdb.com/title/tt1243974/?ref_=fn_tt_tt_1,USA,14000,5.4
Rob Reiner,31,Virginia Madsen,13052741,Ghosts of Mississippi ,8531,3968,Craig T. Nelson,0,http://www.imdb.com/title/tt0116410/?ref_=fn_tt_tt_1,USA,912,6.7
Scott Hicks,95,Reeve Carney,14378353,Snow Falling on Cedars ,12375,2393,Daniel von Bargen,1,http://www.imdb.com/title/tt0120834/?ref_=fn_tt_tt_1,USA,602,6.8
Mikael Håfström,267,Colin O'Donoghue,33037754,The Rite ,75864,19904,Toby Jones,1,http://www.imdb.com/title/tt1161864/?ref_=fn_tt_tt_1,USA,3000,6.0
Andrew Niccol,175,Xander Berkeley,12339633,Gattaca ,220591,1942,Mason Gamble,2,http://www.imdb.com/title/tt0119177/?ref_=fn_tt_tt_1,USA,485,7.8
Andrew Bergman,63,Nathan Lane,2954405,Isn't She Great ,1977,2928,John Larroquette,0,http://www.imdb.com/title/tt0141399/?ref_=fn_tt_tt_1,USA,886,5.3
Kirk De Micco,85,Kenan Thompson,30105968,Space Chimps ,8860,2268,Omid Abtahi,0,http://www.imdb.com/title/tt0482603/?ref_=fn_tt_tt_1,USA,521,4.5
Chris Rock,44,Dylan Baker,37788228,Head of State ,15046,4537,Tracy Morgan,1,http://www.imdb.com/title/tt0325537/?ref_=fn_tt_tt_1,USA,812,5.4
Todd Phillips,334,Rob Riggle,277313371,The Hangover ,583341,17623,Mike Epps,3,http://www.imdb.com/title/tt1119646/?ref_=fn_tt_tt_1,USA,839,7.8
Wilson Yip,78,Lynn Hung,2126511,Ip Man 3 ,21912,615,Kwok-Kwan Chan,0,http://www.imdb.com/title/tt2888046/?ref_=fn_tt_tt_1,Hong Kong,79,7.2
Jay Roach,199,Verne Troyer,205399422,Austin Powers: The Spy Who Shagged Me ,181225,47203,Robert Wagner,1,http://www.imdb.com/title/tt0145660/?ref_=fn_tt_tt_1,USA,645,6.6
Tim Burton,186,Jack Palance,251188924,Batman ,269033,2725,William Hootkins,0,http://www.imdb.com/title/tt0096895/?ref_=fn_tt_tt_1,USA,549,7.6
Roland Joffé,77,Dougray Scott,1068392,There Be Dragons ,3865,3497,Lily Cole,0,http://www.imdb.com/title/tt1316616/?ref_=fn_tt_tt_1,Spain,794,5.9
Richard Donner,68,Nick Chinlund,144731527,Lethal Weapon 3 ,128010,1446,Stuart Wilson,2,http://www.imdb.com/title/tt0104714/?ref_=fn_tt_tt_1,USA,277,6.7
John Lee Hancock,261,Quinton Aaron,255950375,The Blind Side ,223127,3389,Kim Dickens,0,http://www.imdb.com/title/tt0878804/?ref_=fn_tt_tt_1,USA,734,7.7
,5,Aimee Garcia,,Rush Hour             ,2185,2255,Wendie Malick,2,http://www.imdb.com/title/tt4085584/?ref_=fn_tt_tt_1,USA,618,5.8
Robert Rodriguez,122,Cheech Marin,112692062,Spy Kids ,84325,4499,Daryl Sabara,0,http://www.imdb.com/title/tt0227538/?ref_=fn_tt_tt_1,USA,843,5.4
Seth Gordon,340,Lindsay Sloane,117528646,Horrible Bosses ,353442,18669,Reginald Ballard,5,http://www.imdb.com/title/tt1499658/?ref_=fn_tt_tt_1,USA,464,6.9
Ethan Coen,493,Jeff Bridges,171031347,True Grit ,240962,25964,Bruce Green,0,http://www.imdb.com/title/tt1403865/?ref_=fn_tt_tt_1,USA,12000,7.7
David Frankel,208,Anne Hathaway,124732962,The Devil Wears Prada ,286178,23923,Rebecca Mader,0,http://www.imdb.com/title/tt0458352/?ref_=fn_tt_tt_1,USA,11000,6.8
Robert Wise,134,Nichelle Nichols,82300000,Star Trek: The Motion Picture ,63330,16007,Walter Koenig,2,http://www.imdb.com/title/tt0079945/?ref_=fn_tt_tt_1,USA,664,6.4
Seth Gordon,275,Eric Stonestreet,134455175,Identity Thief ,97664,5826,T.I.,2,http://www.imdb.com/title/tt2024432/?ref_=fn_tt_tt_1,USA,904,5.7
Martin Scorsese,120,Robert Mitchum,79100000,Cape Fear ,127503,24006,Joe Don Baker,0,http://www.imdb.com/title/tt0101540/?ref_=fn_tt_tt_1,USA,1000,7.3
Robert Luketic,144,Jim Sturgess,81159365,21 ,191470,25661,Josh Gad,2,http://www.imdb.com/title/tt0478087/?ref_=fn_tt_tt_1,USA,5000,6.8
Judd Apatow,332,Randall Park,110008260,Trainwreck ,94241,1450,Josh Segarra,1,http://www.imdb.com/title/tt3152624/?ref_=fn_tt_tt_1,Japan,392,6.3
Kevin Rodney Sullivan,104,Nicole Sullivan,67962333,Guess Who ,33887,2689,Sherri Shepherd,2,http://www.imdb.com/title/tt0372237/?ref_=fn_tt_tt_1,USA,358,5.9
Anthony Minghella,116,Kristin Scott Thomas,78651430,The English Patient ,142067,15912,Jürgen Prochnow,0,http://www.imdb.com/title/tt0116209/?ref_=fn_tt_tt_1,USA,1000,7.4
Curtis Hanson,177,Matt McCoy,64604977,L.A. Confidential ,414219,19129,Paul Guilfoyle,2,http://www.imdb.com/title/tt0119488/?ref_=fn_tt_tt_1,USA,398,8.3
Mike Mitchell,127,Kelly Preston,63939454,Sky High ,61321,2968,Nicholas Braun,3,http://www.imdb.com/title/tt0405325/?ref_=fn_tt_tt_1,USA,742,6.2
Frank Oz,83,Wilford Brimley,63826569,In & Out ,32416,23504,Lauren Ambrose,0,http://www.imdb.com/title/tt0119360/?ref_=fn_tt_tt_1,USA,957,6.3
Roger Donaldson,97,Marg Helgenberger,60054449,Species ,61018,1715,Jordan Lund,0,http://www.imdb.com/title/tt0114508/?ref_=fn_tt_tt_1,USA,759,5.8
Wes Craven,256,Lin Shaye,26505000,A Nightmare on Elm Street ,149285,42918,Amanda Wyss,1,http://www.imdb.com/title/tt0087800/?ref_=fn_tt_tt_1,USA,852,7.5
Tarsem Singh,225,Jake Weber,61280963,The Cell ,79877,2474,James Gammon,1,http://www.imdb.com/title/tt0209958/?ref_=fn_tt_tt_1,USA,551,6.3
Randall Wallace,83,Anne Parillaud,56876365,The Man in the Iron Mask ,125219,29265,Judith Godrèche,1,http://www.imdb.com/title/tt0120744/?ref_=fn_tt_tt_1,USA,130,6.4
Randall Wallace,160,Kevin Connolly,59699513,Secretariat ,20827,2259,Dylan Walsh,0,http://www.imdb.com/title/tt1028576/?ref_=fn_tt_tt_1,USA,638,7.2
Kevin Munroe,191,Sarah Michelle Gellar,54132596,TMNT ,53786,16571,Mako,0,http://www.imdb.com/title/tt0453556/?ref_=fn_tt_tt_1,Hong Kong,4000,6.3
Michael Tollin,74,Riley Smith,52277485,Radio ,32370,4231,Debra Winger,1,http://www.imdb.com/title/tt0316465/?ref_=fn_tt_tt_1,USA,762,6.9
Will Gluck,238,Justin Timberlake,55802754,Friends with Benefits ,270228,20956,Masi Oka,2,http://www.imdb.com/title/tt1632708/?ref_=fn_tt_tt_1,USA,3000,6.6
Nicholas Stoller,177,Ike Barinholtz,55291815,Neighbors 2: Sorority Rising ,28041,17860,Kiersey Clemons,0,http://www.imdb.com/title/tt4438848/?ref_=fn_tt_tt_1,USA,329,6.0
John Lee Hancock,405,Ruth Wilson,83299761,Saving Mr. Banks ,117719,19809,B.J. Novak,2,http://www.imdb.com/title/tt2140373/?ref_=fn_tt_tt_1,USA,2000,7.5
Spike Lee,61,Delroy Lindo,48169908,Malcolm X ,63923,20143,Al Freeman Jr.,0,http://www.imdb.com/title/tt0104797/?ref_=fn_tt_tt_1,USA,848,7.7
Judd Apatow,285,Maude Apatow,67523385,This Is 40 ,104005,1050,Mackenzie Aladjem,2,http://www.imdb.com/title/tt1758830/?ref_=fn_tt_tt_1,USA,130,6.2
Walt Becker,124,Bernie Mac,49474048,Old Dogs ,31191,53370,Ann-Margret,2,http://www.imdb.com/title/tt0976238/?ref_=fn_tt_tt_1,USA,1000,5.4
Patrick Tatopoulos,164,Kevin Grevioux,45802315,Underworld: Rise of the Lycans ,119974,2184,Steven Mackintosh,1,http://www.imdb.com/title/tt0834001/?ref_=fn_tt_tt_1,USA,593,6.6
Ken Kwapis,120,Christine Taylor,43792641,License to Wed ,32157,52566,Mindy Kaling,3,http://www.imdb.com/title/tt0762114/?ref_=fn_tt_tt_1,USA,838,5.3
Dennis Dugan,90,Jon Heder,57651794,The Benchwarmers ,40651,13125,Tim Meadows,2,http://www.imdb.com/title/tt0437863/?ref_=fn_tt_tt_1,USA,970,5.6
Gary David Goldberg,120,Victor Webster,43894863,Must Love Dogs ,25883,4879,Elizabeth Perkins,2,http://www.imdb.com/title/tt0417001/?ref_=fn_tt_tt_1,USA,940,5.9
Mike Newell,117,Al Pacino,41954997,Donnie Brasco ,225122,56014,Anne Heche,2,http://www.imdb.com/title/tt0119008/?ref_=fn_tt_tt_1,USA,14000,7.8
Paul W.S. Anderson,226,Jaymes Butler,39532308,Resident Evil ,198701,17902,Colin Salmon,0,http://www.imdb.com/title/tt0120804/?ref_=fn_tt_tt_1,UK,2000,6.7
Tobe Hooper,223,Zelda Rubinstein,76600000,Poltergeist ,105446,3876,Craig T. Nelson,0,http://www.imdb.com/title/tt0084516/?ref_=fn_tt_tt_1,USA,770,7.4
Ethan Coen,193,Tom Hanks,39692139,The Ladykillers ,84131,41701,Stephen Root,1,http://www.imdb.com/title/tt0335245/?ref_=fn_tt_tt_1,USA,15000,6.2
John Moore,228,Beau Bridges,40687294,Max Payne ,107772,16249,Jamie Hector,1,http://www.imdb.com/title/tt0467197/?ref_=fn_tt_tt_1,Canada,552,5.4
Andrew Niccol,360,Olivia Wilde,37553932,In Time ,304318,34011,Justin Timberlake,2,http://www.imdb.com/title/tt1637688/?ref_=fn_tt_tt_1,USA,10000,6.7
Alan Poul,148,Noureen DeWulf,37481242,The Back-up Plan ,40654,3356,Tom Bosley,0,http://www.imdb.com/title/tt1212436/?ref_=fn_tt_tt_1,USA,700,5.3
Luke Greenfield,128,Steve Howey,39026186,Something Borrowed ,48019,2371,Kirsten Day,4,http://www.imdb.com/title/tt0491152/?ref_=fn_tt_tt_1,USA,826,5.9
,3,Kimberly Elise,,Hit the Floor             ,1641,3438,Logan Browning,4,http://www.imdb.com/title/tt2368645/?ref_=fn_tt_tt_1,USA,637,7.0
Gil Junger,46,Marsha Thomason,33422806,Black Knight ,30771,2643,Vincent Regan,1,http://www.imdb.com/title/tt0265087/?ref_=fn_tt_tt_1,USA,691,4.8
Michael Ritchie,40,Vic Morrow,,The Bad News Bears ,16323,677,Joyce Van Patten,1,http://www.imdb.com/title/tt0074174/?ref_=fn_tt_tt_1,USA,257,7.3
Steven E. de Souza,63,Raul Julia,33423521,Street Fighter ,53115,5443,Kylie Minogue,1,http://www.imdb.com/title/tt0111301/?ref_=fn_tt_tt_1,Japan,1000,3.8
Roman Polanski,193,Frank Finlay,32519322,The Pianist ,497946,1075,Ed Stoppard,0,http://www.imdb.com/title/tt0253474/?ref_=fn_tt_tt_1,France,338,8.5
Albert Hughes,208,Jason Flemyng,31598308,From Hell ,124765,41636,Ian Richardson,1,http://www.imdb.com/title/tt0120681/?ref_=fn_tt_tt_1,USA,1000,6.8
Catherine Hardwicke,122,Hiam Abbass,37617947,The Nativity Story ,8143,966,Shaun Toub,0,http://www.imdb.com/title/tt0762121/?ref_=fn_tt_tt_1,USA,224,6.8
Jaume Collet-Serra,228,Paris Hilton,32048809,House of Wax ,94456,2178,Brian Van Holt,0,http://www.imdb.com/title/tt0397065/?ref_=fn_tt_tt_1,Australia,716,5.3
Mike Nichols,212,Julia Roberts,33987757,Closer ,168314,28027,Colin Stinton,2,http://www.imdb.com/title/tt0376541/?ref_=fn_tt_tt_1,USA,8000,7.3
Clint Eastwood,392,Naomi Watts,37304950,J. Edgar ,102728,36258,Kaitlyn Dever,0,http://www.imdb.com/title/tt1616195/?ref_=fn_tt_tt_1,USA,6000,6.6
Alexandre Aja,208,Cameron Boyce,30691439,Mirrors ,86205,3185,Julian Glover,0,http://www.imdb.com/title/tt0790686/?ref_=fn_tt_tt_1,USA,915,6.2
Michael Rymer,137,Lena Olin,30307804,Queen of the Damned ,43991,3001,Bruce Spence,2,http://www.imdb.com/title/tt0238546/?ref_=fn_tt_tt_1,USA,541,5.2
Stephen Hopkins,119,Robert Davi,30669413,Predator 2 ,105478,4722,Kevin Peter Hall,0,http://www.imdb.com/title/tt0100403/?ref_=fn_tt_tt_1,USA,683,6.2
Gregory Hoblit,195,Jesse Tyler Ferguson,28687835,Untraceable ,40964,3612,Joseph Cross,1,http://www.imdb.com/title/tt0880578/?ref_=fn_tt_tt_1,USA,648,6.2
Hugh Wilson,95,Sissy Spacek,26494611,Blast from the Past ,48621,5709,Douglas Smith,0,http://www.imdb.com/title/tt0124298/?ref_=fn_tt_tt_1,USA,874,6.6
Mike Hodges,100,William Hootkins,,Flash Gordon ,38017,2603,Sam J. Jones,1,http://www.imdb.com/title/tt0080745/?ref_=fn_tt_tt_1,UK,488,6.4
Kevin Smith,164,Mike Starr,25266129,Jersey Girl ,54346,3592,George Carlin,5,http://www.imdb.com/title/tt0300051/?ref_=fn_tt_tt_1,USA,854,6.2
Rob Cohen,211,Chad Lindberg,25863915,Alex Cross ,28257,2471,Carmen Ejogo,0,http://www.imdb.com/title/tt1712170/?ref_=fn_tt_tt_1,USA,445,5.1
Clint Eastwood,91,Bob Gunton,25078937,Midnight in the Garden of Good and Evil ,31751,19689,Leon Rippy,2,http://www.imdb.com/title/tt0119668/?ref_=fn_tt_tt_1,USA,461,6.6
Scott Mann,44,Joshua Mikel,,Heist ,16193,24154,D.B. Sweeney,1,http://www.imdb.com/title/tt3276924/?ref_=fn_tt_tt_1,USA,1000,6.1
Susanna White,97,Bill Bailey,28995450,Nanny McPhee Returns ,19230,855,Eros Vlahos,5,http://www.imdb.com/title/tt1415283/?ref_=fn_tt_tt_1,UK,175,6.1
Danny DeVito,32,J.T. Walsh,24276500,Hoffa ,17124,1394,Paul Guilfoyle,2,http://www.imdb.com/title/tt0104427/?ref_=fn_tt_tt_1,USA,263,6.6
Chris Carter,270,Callum Rennie,20981633,The X Files: I Want to Believe ,78256,2351,Nicki Aycox,0,http://www.imdb.com/title/tt0443701/?ref_=fn_tt_tt_1,USA,716,5.9
