director_name,director_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,actor_1_name,movie_title,cast_total_facebook_likes,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,title_year,actor_2_facebook_likes,aspect_ratio
Bill Condon,386,Kristen Stewart,21000,Adventure|Drama|Fantasy|Romance,Robert Pattinson,The Twilight Saga: Breaking Dawn - Part 2 ,59177,battle|friend|super strength|vampire|vision,http://www.imdb.com/title/tt1673434/?ref_=fn_tt_tt_1,329,English,USA,PG-13,2012,17000,2.35
George Miller,750,Brad Pitt,49000,Animation|Comedy|Family|Musical,Robin Williams,Happy Feet 2 ,62644,3d|antarctica|krill|penguin|sequel,http://www.imdb.com/title/tt1402488/?ref_=fn_tt_tt_1,79,English,Australia,PG,2011,11000,2.35
Louis Leterrier,255,Peter Mensah,3000,Action|Adventure|Sci-Fi,Ty Burrell,The Incredible Hulk ,5811,antidote|cure|hulk|marvel cinematic universe|opening action scene,http://www.imdb.com/title/tt0800080/?ref_=fn_tt_tt_1,643,English,USA,PG-13,2008,1000,2.35
,,Philip Michael Thomas,982,Action|Crime|Drama|Mystery|Thriller,Don Johnson,Miami Vice             ,1687,cult tv|detective|drugs|police|undercover,http://www.imdb.com/title/tt0086759/?ref_=fn_tt_tt_1,74,English,USA,TV-14,,321,1.33
Steven Spielberg,14000,Penelope Wilton,535,Adventure|Family|Fantasy,Mark Rylance,The BFG ,1950,cannibal|evil brother|giant|london england|queen,http://www.imdb.com/title/tt3691740/?ref_=fn_tt_tt_1,106,English,UK,PG,2016,400,2.35
Alejandro G. Iñárritu,0,Tom Hardy,29000,Adventure|Drama|Thriller|Western,Leonardo DiCaprio,The Revenant ,57108,bear attack|cauterizing a wound|native american|revenge|survival,http://www.imdb.com/title/tt1663202/?ref_=fn_tt_tt_1,1188,English,USA,R,2015,27000,2.35
David Soren,13,Snoop Dogg,16000,Adventure|Animation|Comedy|Family|Sport,Ryan Reynolds,Turbo ,17416,accident|freak accident|race|snail|underdog,http://www.imdb.com/title/tt1860353/?ref_=fn_tt_tt_1,90,English,USA,PG,2013,881,2.35
Gore Verbinski,563,Ray Winstone,40000,Adventure|Animation|Comedy|Family|Western,Johnny Depp,Rango ,43291,chameleon|lizard|sheriff|water|western town,http://www.imdb.com/title/tt1192628/?ref_=fn_tt_tt_1,337,English,USA,PG,2011,1000,2.35
Eric Darnell,35,Annet Mahendru,19000,Adventure|Animation|Comedy|Family,Benedict Cumberbatch,Penguins of Madagascar ,19963,little girl|park|spy|statue of liberty|television van,http://www.imdb.com/title/tt1911658/?ref_=fn_tt_tt_1,118,English,USA,PG,2014,411,1.85
Paul Greengrass,521,Edgar Ramírez,13000,Action|Mystery|Thriller,Matt Damon,The Bourne Ultimatum ,17369,action hero|cia|dark past|flashback|memory,http://www.imdb.com/title/tt0440963/?ref_=fn_tt_tt_1,820,English,USA,PG-13,2007,897,2.35
Mark Osborne,54,Wayne Knight,11000,Action|Adventure|Animation|Comedy|Family,Angelina Jolie Pitt,Kung Fu Panda ,12754,kung fu|kung fu master|master|panda|snow leopard,http://www.imdb.com/title/tt0441773/?ref_=fn_tt_tt_1,360,English,USA,PG,2008,967,2.35
Peyton Reed,235,Hayley Atwell,2000,Action|Adventure|Comedy|Sci-Fi,Judy Greer,Ant-Man ,5730,ant|chinatown san francisco|heist|sabotage|vault,http://www.imdb.com/title/tt0478970/?ref_=fn_tt_tt_1,549,English,USA,PG-13,2015,2000,1.85
Francis Lawrence,508,Josh Hutcherson,34000,Adventure|Sci-Fi|Thriller,Jennifer Lawrence,The Hunger Games: Catching Fire ,49355,president|snow|television|tour|uprising,http://www.imdb.com/title/tt1951264/?ref_=fn_tt_tt_1,706,English,USA,PG-13,2013,14000,2.35
Bill Condon,386,Kristen Stewart,21000,Adventure|Drama|Fantasy|Romance,Robert Pattinson,The Twilight Saga: Breaking Dawn - Part 2 ,59177,battle|friend|super strength|vampire|vision,http://www.imdb.com/title/tt1673434/?ref_=fn_tt_tt_1,329,English,USA,PG-13,2012,17000,2.35
Tim Johnson,12,Matt Jones,17000,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,Jim Parsons,Home ,17883,alien friendship|alien invasion|australia|flying car|mother daughter relationship,http://www.imdb.com/title/tt2224026/?ref_=fn_tt_tt_1,214,English,USA,PG,2015,523,1.85
Steven Spielberg,14000,Lisa Ann Walter,10000,Adventure|Sci-Fi|Thriller,Tom Cruise,War of the Worlds ,12758,alien|fight|storm|survival|tripod,http://www.imdb.com/title/tt0407304/?ref_=fn_tt_tt_1,2741,English,USA,PG-13,2005,1000,1.85
Michael Bay,0,Henry Rollins,10000,Action|Comedy|Crime|Thriller,Will Smith,Bad Boys II ,12954,cuba|dea|drugs|money|undercover,http://www.imdb.com/title/tt0172156/?ref_=fn_tt_tt_1,511,English,USA,R,2003,898,2.35
Chris Miller,50,Constance Marie,4000,Action|Adventure|Animation|Comedy|Family|Fantasy,Salma Hayek,Puss in Boots ,5046,betrayal|egg|friend|goose|hero,http://www.imdb.com/title/tt0448694/?ref_=fn_tt_tt_1,137,English,USA,PG,2011,442,2.35
Phillip Noyce,176,Andre Braugher,11000,Action|Crime|Mystery|Thriller,Angelina Jolie Pitt,Salt ,12406,cia|on the run|russian|russian spy|strong female lead,http://www.imdb.com/title/tt0944835/?ref_=fn_tt_tt_1,514,English,USA,PG-13,2010,702,2.35
Darren Aronofsky,0,Emma Watson,12000,Action|Adventure|Drama,Anthony Hopkins,Noah ,32355,ark|flood|noah's ark|water|wrath of god,http://www.imdb.com/title/tt1959490/?ref_=fn_tt_tt_1,1240,English,USA,PG-13,2014,9000,1.85
Steven Spielberg,14000,Mackenzie Crook,2000,Action|Adventure|Family|Mystery,Toby Jones,The Adventures of Tintin ,4631,captain|morocco|ship|tintin|treasure,http://www.imdb.com/title/tt0983193/?ref_=fn_tt_tt_1,447,English,USA,PG,2011,871,2.35
Alfonso Cuarón,0,Gary Oldman,11000,Adventure|Family|Fantasy|Mystery,Daniel Radcliffe,Harry Potter and the Prisoner of Azkaban ,33284,magic|muggle|serial killer|traitor|wizard,http://www.imdb.com/title/tt0304141/?ref_=fn_tt_tt_1,1504,English,UK,PG,2004,10000,2.35
Baz Luhrmann,1000,Bryan Brown,309,Adventure|Drama|Romance|War,Essie Davis,Australia ,921,australia|cattle|darwin|drover|japanese,http://www.imdb.com/title/tt0455824/?ref_=fn_tt_tt_1,450,English,Australia,PG-13,2008,284,2.35
M. Night Shyamalan,0,Zoë Kravitz,10000,Action|Adventure|Sci-Fi,Will Smith,After Earth ,14168,box office flop|father son team|fear|race against time|real life father and son playing father and son,http://www.imdb.com/title/tt1815862/?ref_=fn_tt_tt_1,744,English,USA,PG-13,2013,943,2.35
Eric Leighton,0,D.B. Sweeney,1000,Adventure|Animation|Family|Thriller,Alfre Woodard,Dinosaur ,2945,egg|iguanodon|lemur|meteor|nesting grounds,http://www.imdb.com/title/tt0130623/?ref_=fn_tt_tt_1,241,English,USA,PG,2000,558,1.85
Matt Birch,0,Dave Legeno,10000,Action|Fantasy,Rupert Grint,Harry Potter and the Deathly Hallows: Part II ,11036,,http://www.imdb.com/title/tt1680310/?ref_=fn_tt_tt_1,2,English,UK,,2011,570,
Shawn Levy,189,Rami Malek,49000,Adventure|Comedy|Family|Fantasy,Robin Williams,Night at the Museum: Secret of the Tomb ,53587,museum|museum of natural history manhattan new york city|night watchman|star died before release|tablet,http://www.imdb.com/title/tt2692250/?ref_=fn_tt_tt_1,126,English,USA,PG,2014,3000,1.85
Tom McGrath,96,Brad Pitt,24000,Action|Animation|Comedy|Family|Sci-Fi,J.K. Simmons,Megamind ,46120,battle|city|planet|prison|superhero,http://www.imdb.com/title/tt1001526/?ref_=fn_tt_tt_1,187,English,USA,PG,2010,11000,2.35
Chris Columbus,0,Fiona Shaw,11000,Adventure|Family|Fantasy,Daniel Radcliffe,Harry Potter and the Sorcerer's Stone ,13191,based on novel|birthday|evil wizard|quidditch|wizard,http://www.imdb.com/title/tt0241527/?ref_=fn_tt_tt_1,1571,English,UK,PG,2001,687,2.35
Robert Schwentke,124,Jeff Bridges,16000,Action|Comedy|Fantasy,Ryan Reynolds,R.I.P.D. ,31549,drug dealer|gold|partner|police|undead,http://www.imdb.com/title/tt0790736/?ref_=fn_tt_tt_1,210,English,USA,PG-13,2013,12000,2.35
Hideaki Anno,28,Shin'ya Tsukamoto,544,Action|Adventure|Drama|Horror|Sci-Fi,Mark Chinnery,Godzilla Resurgence ,699,blood|godzilla|monster|sequel,http://www.imdb.com/title/tt4262980/?ref_=fn_tt_tt_1,13,Japanese,Japan,,2016,106,2.35
Gore Verbinski,563,Orlando Bloom,40000,Action|Adventure|Fantasy,Johnny Depp,Pirates of the Caribbean: The Curse of the Black Pearl ,48184,caribbean|curse|governor|pirate|undead,http://www.imdb.com/title/tt0325980/?ref_=fn_tt_tt_1,2113,English,USA,PG-13,2003,5000,2.35
Matt Birch,0,Toby Jones,10000,Fantasy,Rupert Grint,Harry Potter and the Deathly Hallows: Part I ,14719,,http://www.imdb.com/title/tt1571403/?ref_=fn_tt_tt_1,2,English,UK,,2010,2000,
Francis Lawrence,508,Philip Seymour Hoffman,34000,Adventure|Sci-Fi|Thriller,Jennifer Lawrence,The Hunger Games: Mockingjay - Part 1 ,81385,based on young adult novel|manipulation|rebellion|symbol|uprising,http://www.imdb.com/title/tt1951265/?ref_=fn_tt_tt_1,591,English,USA,PG-13,2014,22000,2.35
Ron Howard,2000,Seth Gabel,15000,Mystery|Thriller,Tom Hanks,The Da Vinci Code ,16008,based on supposedly true story|holy grail|mary magdalene|opus dei|secret,http://www.imdb.com/title/tt0382625/?ref_=fn_tt_tt_1,1966,English,USA,PG-13,2006,574,2.35
Carlos Saldanha,107,Rachel Crow,688,Adventure|Animation|Comedy|Family|Musical,Miguel Ferrer,Rio 2 ,1031,amazon|bird|father in law|jungle|no opening credits,http://www.imdb.com/title/tt2357291/?ref_=fn_tt_tt_1,99,English,USA,G,2014,237,2.35
Bryan Singer,0,Bruce Davison,20000,Action|Adventure|Fantasy|Sci-Fi|Thriller,Hugh Jackman,X-Men 2 ,20952,mutant|prison|professor|school|x men,http://www.imdb.com/title/tt0290334/?ref_=fn_tt_tt_1,1055,English,Canada,PG-13,2003,505,2.35
Justin Lin,681,Vin Diesel,23000,Action|Crime|Thriller,Paul Walker,Fast Five ,55345,drug lord|drugs|federal agent|heist|police,http://www.imdb.com/title/tt1596343/?ref_=fn_tt_tt_1,366,English,USA,PG-13,2011,14000,2.35
Guy Ritchie,0,Eddie Marsan,21000,Action|Adventure|Crime|Mystery|Thriller,Robert Downey Jr.,Sherlock Holmes: A Game of Shadows ,22403,factory|gypsy|investigation|sherlock holmes|train,http://www.imdb.com/title/tt1515091/?ref_=fn_tt_tt_1,412,English,USA,PG-13,2011,979,2.35
Louis Leterrier,255,Jason Flemyng,14000,Action|Adventure|Fantasy,Liam Neeson,Clash of the Titans ,18003,famous line|hand to hand combat|kraken|rape|zeus,http://www.imdb.com/title/tt0800320/?ref_=fn_tt_tt_1,637,English,USA,PG-13,2010,1000,2.35
Paul Verhoeven,719,Rachel Ticotin,605,Action|Sci-Fi,Ronny Cox,Total Recall ,1441,ambiguous ending|false memory|implanted memory|memory|space colony,http://www.imdb.com/title/tt0100802/?ref_=fn_tt_tt_1,391,English,USA,R,1990,308,1.85
John McTiernan,323,Vladimir Kulich,845,Action|Adventure|History,Tony Curran,The 13th Warrior ,1815,arab|battle|combat|viking|warrior,http://www.imdb.com/title/tt0120657/?ref_=fn_tt_tt_1,546,English,USA,R,1999,372,2.35
Tony Gilroy,209,Scott Glenn,10000,Action|Adventure|Thriller,Jeremy Renner,The Bourne Legacy ,12175,assassin|cia|drone|pill|wolf,http://www.imdb.com/title/tt1194173/?ref_=fn_tt_tt_1,504,English,USA,PG-13,2012,826,2.35
Joel Schumacher,541,Vivica A. Fox,920,Action,Michael Gough,Batman & Robin ,2699,butler|critically bashed|cure|freeze|gotham,http://www.imdb.com/title/tt0118688/?ref_=fn_tt_tt_1,1018,English,USA,PG-13,1997,890,1.85
Ron Howard,2000,T.J. Thyne,1000,Comedy|Family|Fantasy,Clint Howard,How the Grinch Stole Christmas ,4146,box office hit|christmas|materialism|public humiliation|snowflake,http://www.imdb.com/title/tt0170016/?ref_=fn_tt_tt_1,482,English,USA,PG,2000,722,1.85
Roland Emmerich,776,Dennis Quaid,15000,Action|Adventure|Sci-Fi|Thriller,Jake Gyllenhaal,The Day After Tomorrow ,20553,climate|end of the world|global warming|natural disaster|weather,http://www.imdb.com/title/tt0319262/?ref_=fn_tt_tt_1,1159,English,USA,PG-13,2004,2000,2.35
John Woo,610,Dougray Scott,10000,Action|Adventure|Thriller,Tom Cruise,Mission: Impossible II ,11930,cure|mission|terrorist|thief|virus,http://www.imdb.com/title/tt0120755/?ref_=fn_tt_tt_1,1426,English,USA,PG-13,2000,794,2.35
Wolfgang Petersen,249,Mary Elizabeth Mastrantonio,784,Action|Adventure|Drama|Thriller,Karen Allen,The Perfect Storm ,2684,death|fish|fishing|sea|storm,http://www.imdb.com/title/tt0177971/?ref_=fn_tt_tt_1,779,English,USA,PG-13,2000,638,2.35
Tim Story,167,Ioan Gruffudd,11000,Action|Adventure|Sci-Fi|Thriller,Chris Evans,Fantastic 4: Rise of the Silver Surfer ,15302,fantastic four|space|strong female character|strong female lead|superheroine,http://www.imdb.com/title/tt0486576/?ref_=fn_tt_tt_1,436,English,USA,PG,2007,2000,2.35
Ang Lee,0,Rafe Spall,774,Adventure|Drama|Fantasy,Suraj Sharma,Life of Pi ,2121,animal|faith|india|journey|tiger,http://www.imdb.com/title/tt0454876/?ref_=fn_tt_tt_1,755,English,USA,PG,2012,358,1.85
Mark Steven Johnson,160,Matt Long,12000,Action|Fantasy|Thriller,Nicolas Cage,Ghost Rider ,14017,blackheart|devil|father|ghost|mephistopheles,http://www.imdb.com/title/tt0259324/?ref_=fn_tt_tt_1,681,English,USA,PG-13,2007,701,2.35
Paul Greengrass,521,Riz Ahmed,13000,Action|Thriller,Matt Damon,Jason Bourne ,13752,black ops|chase|cia|cia agent|repeated scene,http://www.imdb.com/title/tt4196776/?ref_=fn_tt_tt_1,297,English,UK,PG-13,2016,365,2.35
McG,368,Bernie Mac,2000,Action|Adventure|Comedy|Crime,Demi Moore,Charlie's Angels: Full Throttle ,4046,fbi|murder|ring|witness protection|witness protection program,http://www.imdb.com/title/tt0305357/?ref_=fn_tt_tt_1,554,English,USA,PG-13,2003,1000,2.35
Ridley Scott,0,Charlize Theron,13000,Adventure|Mystery|Sci-Fi,Michael Fassbender,Prometheus ,24098,cave painting|medical scanner|planet|pregnant with an alien fetus|suspended animation,http://www.imdb.com/title/tt1446714/?ref_=fn_tt_tt_1,2326,English,USA,R,2012,9000,2.35
Rob Minkoff,50,Brad Garrett,886,Adventure|Animation|Comedy|Family|Fantasy,Nathan Lane,Stuart Little 2 ,2682,anthropomorphic mouse|falcon|marshmallow|second part|soccer,http://www.imdb.com/title/tt0243585/?ref_=fn_tt_tt_1,69,English,USA,PG,2002,799,1.85
Neill Blomkamp,662,Sharlto Copley,13000,Action|Drama|Sci-Fi|Thriller,Matt Damon,Elysium ,17689,christ figure|class differences|messiah|saviour|social commentary,http://www.imdb.com/title/tt1535108/?ref_=fn_tt_tt_1,814,English,USA,R,2013,2000,2.35
David Twohy,123,Alexa Davalos,14000,Action|Adventure|Sci-Fi|Thriller,Vin Diesel,The Chronicles of Riddick ,17159,bounty hunter|escape|necromonger|planet|warrior,http://www.imdb.com/title/tt0296572/?ref_=fn_tt_tt_1,666,English,USA,PG-13,2004,850,2.35
José Padilha,294,Abbie Cornish,10000,Action|Crime|Sci-Fi|Thriller,Gary Oldman,RoboCop ,14161,law enforcement|police|robocop|robot|technology,http://www.imdb.com/title/tt1234721/?ref_=fn_tt_tt_1,630,English,USA,PG-13,2014,2000,2.35
Lana Wachowski,0,Kick Gurry,690,Action|Family|Sport,Scott Porter,Speed Racer ,902,based on anime|based on cartoon|gadget car|racer|speed,http://www.imdb.com/title/tt0811080/?ref_=fn_tt_tt_1,414,English,USA,PG,2008,107,2.35
James L. Brooks,274,Domenick Lombardozzi,273,Comedy|Drama|Romance,Shelley Conn,How Do You Know ,993,embarrassment|falling in love|love|love triangle|revelation,http://www.imdb.com/title/tt1341188/?ref_=fn_tt_tt_1,196,English,USA,PG-13,2010,216,1.85
James Mangold,446,Marc Blucas,10000,Action|Comedy|Romance,Tom Cruise,Knight and Day ,12731,chase|fbi|garage|spy|surveillance,http://www.imdb.com/title/tt1013743/?ref_=fn_tt_tt_1,348,English,USA,PG-13,2010,973,2.35
Joseph Kosinski,364,Tom Cruise,11000,Action|Adventure|Mystery|Sci-Fi,Morgan Freeman,Oblivion ,22004,cabin in the woods|drone|flying through a thunderstorm|post apocalypse|sex in a pool,http://www.imdb.com/title/tt1483013/?ref_=fn_tt_tt_1,892,English,USA,PG-13,2013,10000,2.35
George Lucas,0,Christopher Lee,20000,Action|Adventure|Fantasy|Sci-Fi,Natalie Portman,Star Wars: Episode III - Revenge of the Sith ,44042,elongated cry of no|friends become enemies|kicked in the butt|robotic midwife|vision,http://www.imdb.com/title/tt0121766/?ref_=fn_tt_tt_1,3286,English,USA,PG-13,2005,16000,2.35
George Lucas,0,Christopher Lee,20000,Action|Adventure|Fantasy|Sci-Fi,Natalie Portman,Star Wars: Episode II - Attack of the Clones ,42990,martial arts|murdered before giving protagonist information|part computer animation|prequel|prequel to cult film,http://www.imdb.com/title/tt0121765/?ref_=fn_tt_tt_1,3516,English,USA,PG,2002,16000,1.78
Pete Docter,0,John Ratzenberger,12000,Adventure|Animation|Comedy|Family|Fantasy,Steve Buscemi,"Monsters, Inc. ",15013,friend|little girl|monster|rival|scream,http://www.imdb.com/title/tt0198781/?ref_=fn_tt_tt_1,593,English,USA,G,2001,1000,1.85
James Mangold,446,Tao Okamoto,20000,Action|Adventure|Sci-Fi|Thriller,Hugh Jackman,The Wolverine ,23755,healing power|marvel comics|mecha|regeneration|self healing,http://www.imdb.com/title/tt1430132/?ref_=fn_tt_tt_1,533,English,USA,PG-13,2013,992,2.35
George Lucas,0,Liam Neeson,20000,Action|Adventure|Fantasy|Sci-Fi,Natalie Portman,Star Wars: Episode I - The Phantom Menace ,37723,alien|character says i have a bad feeling about this|hand to hand combat|seven word title|wilhelm scream,http://www.imdb.com/title/tt0120915/?ref_=fn_tt_tt_1,3597,English,USA,PG,1999,14000,2.35
Kirk De Micco,16,Emma Stone,16000,Adventure|Animation|Comedy|Family|Fantasy,Ryan Reynolds,The Croods ,43286,cave|caveman|journey|strict father|survival,http://www.imdb.com/title/tt0481499/?ref_=fn_tt_tt_1,195,English,USA,PG,2013,15000,2.35
Frédéric Forestier,0,Santiago Segura,936,Adventure|Comedy|Family|Fantasy,Alain Delon,Asterix at the Olympic Games ,1609,1st century b.c.|lightsaber|local blockbuster|magical potion|potion,http://www.imdb.com/title/tt0463872/?ref_=fn_tt_tt_1,36,French,France,,2008,276,2.35
John Woo,610,Roger Willie,12000,Action|Drama|War,Nicolas Cage,Windtalkers ,15046,code|duty|steel helmet|u.s. marine|u.s. soldier,http://www.imdb.com/title/tt0245562/?ref_=fn_tt_tt_1,454,English,USA,R,2002,836,2.35
Cedric Nicolas-Troyan,19,Sam Claflin,26000,Action|Adventure|Drama|Fantasy,Chris Hemsworth,The Huntsman: Winter's War ,46719,based on fairy tale|dark fantasy|fairy tale|second part|sequel,http://www.imdb.com/title/tt2381991/?ref_=fn_tt_tt_1,134,English,USA,PG-13,2016,11000,2.35
Jonathan Liebesman,473,Danny Woodburn,833,Action|Adventure|Comedy|Sci-Fi,Noel Fisher,Teenage Mutant Ninja Turtles ,2690,18 wheeler|mutant|ninja|sewer|turtle,http://www.imdb.com/title/tt1291150/?ref_=fn_tt_tt_1,491,English,USA,PG-13,2014,809,2.35
Alfonso Cuarón,0,Basher Savage,39,Adventure|Drama|Sci-Fi|Thriller,Phaldut Sharma,Gravity ,87,box office hit|long take|sole survivor|space|space station,http://www.imdb.com/title/tt1454468/?ref_=fn_tt_tt_1,1885,English,UK,PG-13,2013,23,2.35
Roger Donaldson,79,Grant Heslov,650,Action|Adventure|Thriller,Jamie Renée Smith,Dante's Peak ,1569,ash|escape|lava|mayor|volcano,http://www.imdb.com/title/tt0118928/?ref_=fn_tt_tt_1,277,English,USA,PG-13,1997,293,2.35
Dave Green,13,Noel Fisher,5000,Action|Adventure|Comedy|Sci-Fi,Stephen Amell,Teenage Mutant Ninja Turtles: Out of the Shadows ,8306,based on comic book|brother brother relationship|rat|sequel|turtle,http://www.imdb.com/title/tt3949660/?ref_=fn_tt_tt_1,115,English,USA,PG-13,2016,833,2.35
Josh Trank,128,Reg E. Cathey,596,Action|Adventure|Sci-Fi,Tim Blake Nelson,Fantastic Four ,1261,box office flop|critically bashed|portal|teleportation|troubled production,http://www.imdb.com/title/tt1502712/?ref_=fn_tt_tt_1,695,English,USA,PG-13,2015,360,2.35
Shawn Levy,189,Rami Malek,49000,Action|Adventure|Comedy|Family|Fantasy,Robin Williams,Night at the Museum ,55486,chaos|museum|museum of natural history|night watchman|watchman,http://www.imdb.com/title/tt0477347/?ref_=fn_tt_tt_1,444,English,USA,PG,2006,3000,1.85
Brad Peyton,62,Ioan Gruffudd,12000,Action|Adventure|Drama|Thriller,Dwayne Johnson,San Andreas ,16718,disaster movie|earthquake|journey|natural disaster|san andreas fault,http://www.imdb.com/title/tt2126355/?ref_=fn_tt_tt_1,499,English,USA,PG-13,2015,2000,2.35
Roger Spottiswoode,55,Colin Salmon,811,Action|Adventure|Thriller,Vincent Schiavelli,Tomorrow Never Dies ,2958,ex boyfriend ex girlfriend relationship|media tycoon|megalomaniac|official james bond series|world war three,http://www.imdb.com/title/tt0120347/?ref_=fn_tt_tt_1,328,English,UK,PG-13,1997,766,2.35
Roland Emmerich,776,Adam Baldwin,13000,Action|Drama|History|War,Heath Ledger,The Patriot ,19454,american revolution|british|french|hero|standoff,http://www.imdb.com/title/tt0187393/?ref_=fn_tt_tt_1,1144,English,USA,R,2000,2000,2.35
Steven Soderbergh,0,Julia Roberts,11000,Crime|Thriller,Brad Pitt,Ocean's Twelve ,19359,father daughter relationship|heist|pretending to be pregnant|sequel|thief,http://www.imdb.com/title/tt0349903/?ref_=fn_tt_tt_1,627,English,USA,PG-13,2004,8000,2.35
Doug Liman,218,Angelina Jolie Pitt,11000,Action|Comedy|Crime|Romance|Thriller,Brad Pitt,Mr. & Mrs. Smith ,22722,assassin|marriage|secret agent|suburb|target,http://www.imdb.com/title/tt0356910/?ref_=fn_tt_tt_1,798,English,USA,PG-13,2005,11000,2.35
Robert Schwentke,124,Theo James,14000,Adventure|Sci-Fi|Thriller,Kate Winslet,Insurgent ,22622,action heroine|falling from height|mind control|trainhopping|truth serum,http://www.imdb.com/title/tt2908446/?ref_=fn_tt_tt_1,258,English,USA,PG-13,2015,5000,2.35
Martin Scorsese,17000,Adam Scott,29000,Biography|Drama,Leonardo DiCaprio,The Aviator ,34582,1920s|aviation|fight|spruce goose|test flight,http://www.imdb.com/title/tt0338751/?ref_=fn_tt_tt_1,799,English,USA,PG-13,2004,3000,2.35
Rob Letterman,11,Catherine Tate,480,Adventure|Comedy|Family|Fantasy,James Corden,Gulliver's Travels ,1173,bermuda triangle|box office hit|shipwrecked|travel|travel writer,http://www.imdb.com/title/tt1320261/?ref_=fn_tt_tt_1,121,English,USA,PG,2010,392,2.35
Michel Gondry,1000,Tom Wilkinson,11000,Action|Comedy|Crime|Sci-Fi|Thriller,Christoph Waltz,The Green Hornet ,13391,heir|kung fu|party|playboy|superhero,http://www.imdb.com/title/tt0990407/?ref_=fn_tt_tt_1,443,English,USA,PG-13,2011,1000,2.35
,,Dirk Benedict,669,Action|Adventure|Crime,George Peppard,The A-Team             ,1655,1980s|cult tv|famous opening theme|good versus evil|hero for hire,http://www.imdb.com/title/tt0084967/?ref_=fn_tt_tt_1,97,English,USA,TV-PG,,554,4.0
Noam Murro,263,Sullivan Stapleton,6000,Action|Drama|Fantasy|War,Eva Green,300: Rise of an Empire ,10583,army|commander|female rear nudity|greek|navy,http://www.imdb.com/title/tt1253863/?ref_=fn_tt_tt_1,523,English,USA,R,2014,1000,2.35
Raja Gosnell,67,Tim Gunn,383,Adventure|Animation|Comedy|Family|Fantasy,Mahadeo Shivraj,The Smurfs ,692,blue|new york|new york city|no opening credits|smurf,http://www.imdb.com/title/tt0472181/?ref_=fn_tt_tt_1,153,English,USA,PG,2011,113,1.78
Will Finn,6,Roseanne Barr,12000,Animation|Comedy|Family|Music|Western,Steve Buscemi,Home on the Range ,13607,cattle|cow|dairy farm|farm|rustler,http://www.imdb.com/title/tt0299172/?ref_=fn_tt_tt_1,88,English,USA,PG,2004,513,1.78
Robert Schwentke,124,Theo James,6000,Action|Adventure|Mystery|Sci-Fi|Thriller,Naomi Watts,Allegiant ,12452,based on young adult novel|dystopia|genetic experimentation|strong female character|strong female lead,http://www.imdb.com/title/tt3410834/?ref_=fn_tt_tt_1,144,English,USA,PG-13,2016,5000,2.35
Shawn Levy,189,Torey Michael Adkins,20000,Action|Drama|Sci-Fi|Sport,Hugh Jackman,Real Steel ,22254,arena|boxing|boxing movie|robot|robot battle,http://www.imdb.com/title/tt0433035/?ref_=fn_tt_tt_1,426,English,USA,PG-13,2011,929,2.35
Raja Gosnell,67,Nancy O'Dell,681,Adventure|Animation|Comedy|Family|Fantasy,Jacob Tremblay,The Smurfs 2 ,914,based on cartoon|box office hit|no opening credits|sequel|smurf,http://www.imdb.com/title/tt2017020/?ref_=fn_tt_tt_1,59,English,USA,PG,2013,71,1.85
Jan de Bont,101,Temuera Morrison,673,Action|Crime|Romance|Thriller,Jason Patric,Speed 2: Cruise Control ,2027,collision course|computer|cruise|diamonds|ship run aground,http://www.imdb.com/title/tt0120179/?ref_=fn_tt_tt_1,248,English,USA,PG-13,1997,368,2.35
Gavin Hood,151,Moises Arias,11000,Action|Sci-Fi,Harrison Ford,Ender's Game ,12908,alien|future|manipulation|simulation|training,http://www.imdb.com/title/tt1731141/?ref_=fn_tt_tt_1,554,English,USA,PG-13,2013,635,2.35
Len Wiseman,235,Jonathan Sadowski,13000,Action|Adventure|Thriller,Bruce Willis,Live Free or Die Hard ,13961,fbi|hacker|independence day|police|terrorist,http://www.imdb.com/title/tt0337978/?ref_=fn_tt_tt_1,782,English,USA,PG-13,2007,300,2.35
Peter Jackson,0,Orlando Bloom,16000,Action|Adventure|Drama|Fantasy,Christopher Lee,The Lord of the Rings: The Fellowship of the Ring ,22342,elf|hobbit|middle earth|quest|ring,http://www.imdb.com/title/tt0120737/?ref_=fn_tt_tt_1,5060,English,New Zealand,PG-13,2001,5000,2.35
Frank Coraci,153,Steve Coogan,1000,Action|Adventure|Comedy,Jim Broadbent,Around the World in 80 Days ,3175,19th century|around the world|inventor|martial arts|train,http://www.imdb.com/title/tt0327437/?ref_=fn_tt_tt_1,191,English,USA,PG,2004,1000,2.35
Michael Mann,0,Jada Pinkett Smith,10000,Biography|Drama|Sport,Will Smith,Ali ,14196,african american protagonist|african americans|boxing gym|gym|rumble in the jungle,http://www.imdb.com/title/tt0248667/?ref_=fn_tt_tt_1,386,English,USA,R,2001,851,2.35
Bo Welch,34,Kelly Preston,760,Adventure|Comedy|Family|Fantasy,Sean Hayes,The Cat in the Hat ,2762,based on cult comic book|cat|home alone|imagination|talking cat,http://www.imdb.com/title/tt0312528/?ref_=fn_tt_tt_1,456,English,USA,PG,2003,743,1.85
