director_name,num_critic_for_reviews,actor_1_facebook_likes,gross,genres,movie_title,actor_3_name,plot_keywords,num_user_for_reviews,country,budget,title_year
Bruce McDonald,178,413,3478,Fantasy|Horror,Pontypool ,Boyd Banks,blood splatter|talk radio|virus|vomiting blood|zombie apocalypse,142,Canada,1500000,2008
James Mottern,46,87000,52166,Drama,Trucker ,Matthew Lawrence,cancer|cigarette smoking|hospital|one night stand|trucker,22,USA,2000000,2008
Jaime Zevallos,,310,,Comedy|Drama|Romance,Me You and Five Bucks ,Michael Elian,,,USA,1500000,2015
Rob Zombie,234,1000,1163508,Drama|Fantasy|Horror|Thriller,The Lords of Salem ,Michael Berryman,blood|flashback|radio dj|radio station|vinyl,166,USA,2500000,2012
Gerard Johnstone,166,61,,Comedy|Horror|Mystery,Housebound ,Cameron Rhodes,bloody violence|exploding head|haunted house|plot twist|slapstick,83,New Zealand,350000,2014
Robert Greenwald,56,0,,Documentary,Wal-Mart: The High Cost of Low Price ,Matt Hunter,greed|pollution|slave labor|truth|wal mart,70,USA,1500000,2005
David Ray,16,199,,Drama|Fantasy|Romance,Fetching Cody ,Kyla Wise,death|high school|prostitute|suicide|time travel,10,Canada,1500000,2005
Dave Rodriguez,9,979,,Comedy|Drama,Once Upon a Time in Queens ,Paul Sorvino,,7,USA,1500000,2013
Nae Caranfil,18,129,,Comedy|Drama,Closer to the Moon ,Martin Hancock,,13,Romania,5000000,2014
David Winning,4,341,,Sci-Fi,Mutant World ,John DeSantis,,10,Canada,1500000,2014
Frank Lotito,,3000,,Comedy|Drama|Family,Growing Up Smith ,Tim Guinee,adolescence|girl next door|growing vegetables|high standards|sent away,1,USA,2000000,2015
Timothy Woodward Jr.,6,835,,Action|Crime|Thriller,Checkmate ,Michael Paré,,18,USA,1500000,2015
Christopher McQuarrie,387,10000,80033643,Action|Crime|Mystery|Thriller,Jack Reacher ,David Oyelowo,coma|mysterious villain|police chase|shooting range|sniper,448,USA,60000000,2012
Tara Subkoff,35,501,,Drama|Horror|Mystery|Thriller,#Horror ,Lydia Hearst,bullying|cyberbullying|girl|internet|throat slitting,42,USA,1500000,2015
Russell Friedenberg,27,708,,Action|Horror|Thriller,Wind Walkers ,Kiowa Gordon,after dark horrorfest,2,USA,2000000,2015
William Cottrell,145,82,184925485,Animation|Family|Fantasy|Musical,Snow White and the Seven Dwarfs ,Lucille La Verne,dwarf|love|princess|queen|snow white,204,USA,2000000,1937
Lucrecia Martel,78,341,304124,Drama,The Holy Girl ,María Alche,16 year old|doctor|hotel|tinnitus|title directed by female,37,Argentina,1400000,2004
Edward Dmytryk,10,984,,Western,Shalako ,Honor Blackman,bare chested male bondage|european|female frontal nudity|topless woman|war paint,41,UK,1455000,1968
Zak Penn,60,87,36830,Adventure|Comedy|Horror,Incident at Loch Ness ,John Bailey,boat|director|loch ness|loch ness monster|monster,63,UK,1400000,2004
Alex Ranarivelo,9,1000,,Drama,The Dog Lover ,Cullen Douglas,,8,USA,2000000,2016
Jon Knautz,63,756,,Horror|Thriller,Girl House ,Chasty Ballesteros,college student|disfigured face|house|suicide|website,33,Canada,3150000,2014
Mathieu Amalric,92,412,231186,Crime|Romance|Thriller,The Blue Room ,Laurent Poitrenaux,male pubic hair|manipulative personality|murder of wife|neglected wife|pubic hair,16,France,,2014
David Worth,4,847,,Horror|Thriller,House at the End of the Drive ,Angela Jones,ghost story|manson family|paranormal|real life event|reference to sharon tate,6,USA,1400000,2014
Leslie H. Martinson,53,1000,,Adventure|Comedy|Family,Batman: The Movie ,Burt Ward,black cat|catwoman|dc comics|penguin|riddler,155,USA,1377800,1966
Guy Ritchie,116,26000,3650677,Comedy|Crime,Lock, Stock and Two Smoking Barrels ,Dexter Fletcher,antique|cockney accent|hatchet|money|shotgun,523,UK,960000,1998
Robert M. Young,,883,,Western,The Ballad of Gregorio Cortez ,Ned Beatty,,2,USA,1250000,1982
,13,416,,Action|Crime|Drama|Mystery,The Streets of San Francisco             ,,city name in series title|homicide|older man younger man relationship|place in series title|police partner,13,USA,,
Thomas Vinterberg,98,280,1647780,Drama,The Celebration ,Trine Dyrholm,dogme 95|family secret|haunted by the past|secret|speech,258,Denmark,1300000,1998
Steve Buscemi,43,12000,695229,Comedy|Drama,Trees Lounge ,Carol Kane,alcoholic drink|bar|drink|drinking|drunk,65,USA,1300000,1996
Ham Tran,15,51,638951,Drama,Journey from the Fall ,Cat Ly,1970s|1980s|nonlinear timeline|rescue|vietnam war,19,USA,1592000,2006
Rich Cowan,14,2000,609042,Drama,The Basket ,Peter Coyote,basketball|german immigrant|opera|two word title|war orphan,38,USA,1300000,1999
Boris Rodriguez,56,413,1521,Comedy|Horror,Eddie: The Sleepwalking Cannibal ,Georgina Reilly,art teacher|cannibal|inspiration|painter|sleepwalking,10,Canada,1500000,2012
Harold Becker,79,13000,32940507,Action|Crime|Drama|Thriller,Mercury Rising ,Carrie Preston,autistic child|boy|child in danger|fbi|nsa,127,USA,60000000,1998
,8,210,,Drama|Sci-Fi,Space: Above and Beyond             ,Kristen Cloke,alien|born in vitro|in vitro fertilization|marine|outer space,79,USA,5000000,
Sadyk Sher-Niyaz,16,0,,Action|Biography|Drama|History,Queen of the Mountains ,Mirlan Abdulayev,19th century|central asia|mother son relationship|ruler|russian empire,24,Kyrgyzstan,1400000,2014
Paul Donovan,18,232,,Action|Sci-Fi,Def-Con 4 ,Tim Choate,canuxploitation|independent film|post apocalypse|remake|survival,46,Canada,1750000,1985
Jonathan Kesselman,35,2000,19539,Comedy,The Hebrew Hammer ,Tony Cox,blaxploitation|hanukkah|jewish|kwanzaa|santa claus,53,USA,1000000,2003
Arjun Sablok,5,374,100358,Comedy|Musical|Romance,Neal 'N' Nikki ,Samantha McLeod,interrupted sex|kiss|love|mistaken sex scene|sex in car,24,India,1500000,2005
Craig Moss,16,700,,Comedy,The 41-Year-Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It ,Matt Crabtree,masturbation|porn actor in mainstream movie|sex|spoof|virginity,42,USA,1300000,2010
Tyler Oliver,24,35000,,Horror|Romance|Thriller,Forget Me Not ,Christopher Atkins,,38,USA,1300000,2009
Alfred Hitchcock,144,1000,,Drama|Film-Noir|Mystery|Thriller,Rebecca ,George Sanders,death|estate|housekeeper|love|monte carlo,276,USA,1288000,1940
Steve Miner,242,309,19100000,Horror|Mystery|Thriller,Friday the 13th Part 2 ,Amy Steel,ice pick|jason voorhees|lake|pitchfork|shack,394,USA,1250000,1981
Billy Wilder,97,287,,Drama|Film-Noir,The Lost Weekend ,Frank Faylen,addiction|alcoholic|alcoholism|paranoia|suicidal thoughts,136,USA,1250000,1945
Douglas Cheek,77,796,,Horror|Sci-Fi,C.H.U.D. ,Sam McMurray,bum|city|mutant|new york city|street,88,USA,1250000,1984
Youssef Delara,16,2000,2833383,Drama|Music,Filly Brown ,Jorge Diaz,,11,USA,427000,2012
Deryck Broom,7,578,,Animation,The Lion of Judah ,Anupam Kher,animal|donkey|lamb|pig|rooster,3,USA,15000000,2011
Henry Hathaway,74,469,,Crime|Film-Noir|Thriller,Niagara ,Will Wright,hitchcockian|husband murders wife|murder|niagara falls|overhead shot,116,USA,1250000,1953
John Ford,74,595,,Drama|Family,How Green Was My Valley ,Barry Fitzgerald,coal mine|girl|school|village|wales,124,USA,1250000,1941
,19,934,,Drama,The Girlfriend Experience             ,Paul Sparks,escort|female nudity|friendship|money|sex scene,17,USA,,
Spike Lee,46,3000,,Comedy|Romance|Thriller,Da Sweet Blood of Jesus ,Felicia Pearson,horror movie remake|remake|undead|undead sex|undead sexuality,9,USA,1420000,2014
Steven Soderbergh,58,828,24741700,Drama,Sex, Lies, and Videotape ,Steven Brill,affair|interview|marriage|sex|videotape,95,USA,1200000,1989
James Wan,287,2000,55153403,Horror|Mystery|Thriller,Saw ,Shawnee Smith,chained|flashback|killer|serial killer|surprise ending,1509,USA,1200000,2004
Jay Chandrasekhar,100,816,18488314,Comedy|Crime|Mystery,Super Troopers ,Jay Chandrasekhar,drugs|highway|police|state trooper|vermont,333,USA,1200000,2001
Giovanni Zelko,5,18000,,Action|Romance|Thriller,The Algerian ,Ben Youcef,algeria|algerian|los angeles california|muslim,1,USA,1300000,2014
Claudia Sainte-Luce,50,31,11278,Comedy|Drama,The Amazing Catfish ,José Manuel Orozco Angulo,actress shares first name with character|appendicitis|hospital|loss of mother|supermarket,2,Mexico,1300000,2013
Scott Derrickson,276,18000,79363785,Drama|Sci-Fi|Thriller,The Day the Earth Stood Still ,Juan Riedinger,alien|earth|giant robot|military|scientist,698,USA,80000000,2008
Mira Nair,137,307,13876974,Comedy|Drama|Romance,Monsoon Wedding ,Lillete Dubey,arranged marriage|bride|celebration|marriage|wedding,214,India,7000000,2001
Kenneth Lonergan,122,2000,9180275,Drama,You Can Count on Me ,Gaby Hoffmann,bank|car accident|cheating husband|new york|single mother,231,USA,1200000,2000
Alfred Hitchcock,73,282,,Comedy|Mystery|Romance,The Trouble with Harry ,Royal Dano,artist|death|hunting|sheriff|vermont,150,USA,1200000,1955
Paul McGuigan,202,13000,22494487,Crime|Drama|Mystery|Thriller,Lucky Number Slevin ,Dorian Missick,coroner|death|gay son|love|mistaken identity,507,Germany,27000000,2006
Jamie Babbit,99,1000,2199853,Comedy|Drama,But I'm a Cheerleader ,Eddie Cibrian,cheerleader|gay|homosexual|lesbian|lesbian relationship,186,USA,1200000,1999
David Boyd,10,890,2859955,Drama|Sport,Home Run ,Scott Elrod,addiction|alcoholic|baseball|car accident|reference to god,32,USA,1200000,2013
Quentin Tarantino,173,16000,2812029,Crime|Drama|Thriller,Reservoir Dogs ,Chris Penn,gang|heist|heist gone wrong|nonlinear timeline|robbery,931,USA,1200000,1992
Walter Lang,7,94,,Drama|Family|Fantasy,The Blue Bird ,Gale Sondergaard,1800s|bird|blue bird of happiness|foreign language adaptation|past,25,USA,,1940
Sergio Leone,181,16000,6100000,Western,The Good, the Bad and the Ugly ,Enzo Petito,civil war|hitman|outlaw|shootout|spaghetti western,780,Italy,1200000,1966
Anna Muylaert,111,61,375723,Comedy|Drama,The Second Mother ,Luis Miranda,brazil|exam|housekeeper|northeast region of brazil|portuguese language,26,Brazil,4000000,2015
Steve Taylor,38,1000,594904,Comedy|Drama,Blue Like Jazz ,Eric Lange,church|college|color in title|philosophy|texas,89,USA,1200000,2012
Kurt Voss,12,268,58936,Comedy|Music,Down and Out with the Dolls ,Zoë Poledouris,female bassist|female drummer|female guitarist|female singer|portland oregon,4,USA,1200000,2001
Léa Pool,23,,24784,Documentary,Pink Ribbons, Inc. ,,breast cancer|comma in title|period in title|punctuation in title|three word title,10,Canada,1200000,2011
James David Pasternak,17,49000,7826,Comedy|Documentary,Certifiably Jonathan ,Jonathan Winters,las vegas nevada|museum|reference to mr. rogers|reference to vincent van gogh|talking about suicide,2,USA,1200000,2007
Laurent Bouhnik,9,34,,Drama,Q ,Yassine Azzouz,female explicit nudity|hand job|oral sex|penetration|unsimulated sex,16,France,1500000,2011
Tom Sanchez,1,3,3830,Comedy|Drama,The Knife of Don Juan ,Juan Carlos Montoya,,1,USA,1200000,2013
David Caffrey,51,690,,Adventure|Comedy|Drama,Grand Theft Parsons ,Jim Cody Williams,guitar|hearse|manager|musician|singer,38,USA,,2003
Adam Jay Epstein,14,387,,Comedy,Extreme Movie ,Vanessa Lee Chester,box office flop|female frontal nudity|pink bra and panties|red bra and panties|sex,35,USA,,2008
Michael Curtiz,24,843,,Action|Adventure|Romance|War,The Charge of the Light Brigade ,Spring Byington,attack|fort|india|lancer|massacre,52,USA,1200000,1936
Justin Thomas Ostensen,18,721,,Thriller,Below Zero ,Michael Eisner,,11,Canada,1200000,2011
Brenton Spencer,22,380,,Action|Horror|Mystery|Thriller,Crowsnest ,Chelsey Reist,forest|found footage|lost|murder|road trip,51,Canada,1200000,2012
Rob Bowman,9,584,2850263,Adventure|Comedy|Sport,Airborne ,Brittney Powell,cincinnati ohio|high school|hockey|jock strap|zoologist,70,USA,2600000,1993
Ossie Davis,30,586,,Action|Comedy,Cotton Comes to Harlem ,Calvin Lockhart,black cop|chase|cotton|four word title|new york city,27,USA,1200000,1970
Jay Alaimo,9,10000,,Horror,The Wicked Within ,Patrick Muldoon,after dark horrorfest,7,USA,1200000,2015
Dylan Bank,7,498,,Horror,Bleeding Hearts ,Dustin Diamond,bare breasts|bra and panties|nudity|syringe,2,USA,1200000,2015
Rob McKittrick,91,16000,16101109,Comedy,Waiting... ,Vanessa Lengies,cook|dishwasher|flashing|male frontal nudity|waiter,236,USA,3000000,2005
Shane Meadows,99,680,6013,Crime|Drama|Thriller,Dead Man's Shoes ,George Newton,anger|army veteran|independent film|revenge|sex scene,207,UK,695393,2004
,2,511,,Drama|Horror|Thriller,Wolf Creek             ,Lucy Fry,based on true story|blood|serial killer|slasher|tv mini series,6,Australia,,
Jeff Burr,57,448,1400000,Action|Drama|Horror|Thriller,From a Whisper to a Scream ,Susan Tyrrell,bathtub|cult film|neck breaking|tennessee|wraparound story,37,USA,1100000,1987
Harry Gantz,12,,247740,Documentary|Drama,Sex with Strangers ,,bisexual|explicit sex|sex|stranger|swing,8,USA,,2002
Guy Maddin,58,14,39659,Comedy|Horror|Musical,Dracula: Pages from a Virgin's Diary ,Brent Neale,ballet|cult film|dance|dracula|gothic,32,Canada,1600000,2002
Regardt van den Bergh,5,412,,Drama,Faith Like Potatoes ,Jeanne Neilson,food|food in title|potato,36,South Africa,10000000,2006
Panos Cosmatos,97,434,56129,Sci-Fi|Thriller,Beyond the Black Rainbow ,Eva Bourne,exploitation|four word title|hallucinogen|lynchian|telepathy,82,Canada,1100000,2010
Gareth Evans,481,1000,4105123,Action|Crime|Thriller,The Raid: Redemption ,Donny Alamsyah,apartment|drug lord|gangster|police|swat team,316,Indonesia,1100000,2011
Matthew R. Anderson,17,1000,,Action|Horror|Sci-Fi,The Dead Undead ,Matthew R. Anderson,flashback|immortality|rural setting|vampire|zombie,15,USA,1100000,2010
Joe Marino,9,12,,Horror,The Vatican Exorcisms ,Joe Marino,,10,Italy,1100000,2013
Michael Curtiz,242,2000,,Drama|Romance|War,Casablanca ,Conrad Veidt,american expatriate|casablanca morocco|gestapo|police|visa,1123,USA,950000,1942
Joel Anderson,95,12,,Drama|Horror|Mystery|Thriller,Lake Mungo ,Martin Sharpe,ghost|lake|parapsychologist|psychic|secret,85,Australia,1400000,2008
Shimit Amin,14,964,,Comedy|Drama,Rocket Singh: Salesman of the Year ,Gauhar Khan,boss|computer|honesty|sales|salesman,35,India,,2009
Douglas Trumbull,87,844,,Drama|Sci-Fi,Silent Running ,Jesse Vint,forest|greenhouse|plant|robot|space,199,USA,1000000,1972
John G. Avildsen,141,13000,117235247,Drama|Sport,Rocky ,Carl Weathers,boxer|hometown hero|philadelphia pennsylvania|protective male|training,542,USA,960000,1976
Mona Fastvold,16,321,,Drama,The Sleepwalker ,Gitte Witt,female nudity|male nudity|male rear nudity|nudity,2,Norway,1100000,2014
John Carpenter,212,2000,21378000,Fantasy|Horror,The Fog ,Janet Leigh,california|fog|leper|lighthouse|ship,335,USA,1000000,1980
Tony Richardson,30,883,,Adventure|Comedy|History,Tom Jones ,Hugh Griffith,18th century|rags to riches|secret letter|squire|tutor,56,UK,1000000,1963
Levan Gabriadze,270,707,31537320,Horror|Mystery|Thriller,Unfriended ,Heather Sossaman,blender|computer screen|secret|skype|webcam,309,USA,1000000,2014
Martin Scorsese,211,22000,,Crime|Drama,Taxi Driver ,Peter Boyle,loner|neo noir|night shift|taxi driver|vigilante,881,USA,1300000,1976
Joe Dante,161,1000,17986000,Horror,The Howling ,Dee Wallace,1980s|forest|lycanthrope|shapeshifting|werewolf transformation,195,USA,1000000,1981
Terence Young,184,650,16067035,Action|Adventure|Thriller,Dr. No ,Lois Maxwell,british secret service|hand to hand combat|murder|official james bond series|terrorist plot,389,UK,1100000,1962
Bradley Parker,270,1000,18112929,Horror|Mystery|Sci-Fi|Thriller,Chernobyl Diaries ,Jonathan Sadowski,abandoned building|chernobyl disaster|exploration|tour guide|van,271,USA,1000000,2012
Clive Barker,203,266,14564027,Fantasy|Horror,Hellraiser ,Clare Higgins,blood|cenobites|creature|demon|male full frontal nudity,335,UK,1000000,1987
Harold Cronk,29,634,20773070,Drama,God's Not Dead 2 ,Maria Canals-Barrera,alternate universe|christian|christian film|christianity|manipulation,102,USA,5000000,2016
Jeff Wadlow,137,1000,10042266,Drama|Horror|Mystery|Thriller,Cry_Wolf ,Lindy Booth,e mail|game|school|serial killer|student,220,USA,1000000,2005
Takao Okawara,107,43,10037390,Action|Adventure|Drama|Sci-Fi|Thriller,Godzilla 2000 ,Sakae Kimura,godzilla|kaiju|monster|orga|ufo,140,Japan,1000000000,1999
Derek Cianfrance,377,33000,9701559,Drama|Romance,Blue Valentine ,John Doman,dog hit by a car|dysfunctional family|falling in love|female in shower|unhappily married woman,283,USA,3500000,2010
Duncan Tucker,169,2000,9013113,Adventure|Comedy|Drama,Transamerica ,Paul Borghese,bail|male full frontal nudity|sex change|stepfather|transsexual,230,USA,1000000,2005
William Brent Bell,225,403,53245055,Horror,The Devil Inside ,Brian Johnson,critically bashed|demonic possession|exorcism|exorcist|found footage,290,USA,1000000,2012
Russ Meyer,101,503,9000000,Comedy|Drama|Music,Beyond the Valley of the Dolls ,Harrison Page,band|drugs|friendship|hollywood|satire,137,USA,900000,1970
Robert D. Webb,39,356,,Drama|Romance|Western,Love Me Tender ,Debra Paget,army|civil war|robbery|soldier|train,36,USA,1000000,1956
Davis Guggenheim,372,861,23808111,Documentary,An Inconvenient Truth ,,climate|earth|global warming|science|truth,504,USA,,2006
Allan Dwan,40,183,,Action|Drama|Romance|War,Sands of Iwo Jima ,Forrest Tucker,battle|combat|heroic military|sergeant|tarawa,69,USA,1000000,1949
Martin Scorsese,129,543,5355376,Biography|Documentary|Music,Shine a Light ,Albert Maysles,band|concert footage|new york city|rolling stones|three word title,67,USA,,2008
Eli Roth,285,640,7186670,Adventure|Horror,The Green Inferno ,Magda Apanowicz,activist|amazon|color in title|rain|rain forest,164,USA,6000000,2013
Andrew Steggall,29,202,,Drama|Family|Romance,Departure ,Niamh Cusack,france|gay|language|male masturbation|masturbation,5,UK,1100000,2015
Ben Lewin,337,422,5997134,Biography|Comedy|Drama|Romance,The Sessions ,Rhea Perlman,falling in love|iron lung|priest|sex surrogate|therapist,126,USA,1000000,2012
Robert Kenner,120,37,4417124,Documentary,Food, Inc. ,Barbara Kowalcyk,farming|flesh eating|food|food industry|gluttony,183,USA,,2008
Andrew Erwin,40,544,5355847,Drama,October Baby ,Jason Burkey,abortion|anti choice|christian preach|malpractice|unprofessional conduct,82,USA,,2011
Brad Anderson,38,22000,3386698,Comedy|Drama|Romance,Next Stop Wonderland ,Holland Taylor,love|marine biologist|nurse|personal ad|plumber,86,USA,1000000,1998
Jason Reitman,387,24000,143492840,Comedy|Drama|Romance,Juno ,Rainn Wilson,adoption|baby|friend|pregnancy|school,881,USA,7500000,2007
Craig Johnson,185,3000,5283379,Comedy|Drama,The Skeleton Twins ,Kathleen Rose Perkins,adultery|brother sister relationship|estrangement|siblings|suicide attempt,79,USA,,2014
Sean Durkin,348,321,2981638,Drama|Mystery|Thriller,Martha Marcy May Marlene ,Brady Corbet,connecticut|cult|memory|new york|telephone call,186,USA,,2011
Gillian Robespierre,155,612,3122616,Comedy|Drama,Obvious Child ,Jake Lacy,abortion|divorced parents|one night stand|pregnancy|pregnant,73,USA,,2014
Courtney Hunt,181,496,2508841,Crime|Drama,Frozen River ,Misty Upham,border|mohawk|money|new york|river,93,USA,1000000,2008
Morgan Neville,149,130,4946250,Documentary|Music,20 Feet from Stardom ,Merry Clayton,backup singer|band|bechdel test passed|concert footage|singer,80,USA,1000000,2013
James Toback,54,21000,1950218,Comedy|Drama,Two Girls and a Guy ,Angel David,actor|anilingus|double cross|funeral home|two timing,102,USA,1000000,1997
Nicole Holofcener,18,778,1277257,Comedy|Drama|Romance,Walking and Talking ,Vincent Pastore,briefs|cancer|cat|cult film|friend,32,UK,1000000,1996
Peter Cattaneo,122,1000,45857453,Comedy|Drama|Music,The Full Monty ,Lesley Sharp,dole|male stripper|northern england|steel worker|unemployment,174,UK,3500000,1997
Chris Paine,87,783,1677838,Documentary,Who Killed the Electric Car? ,Colette Divine,california|car|reference to ralph nader|technology|u.s. president,155,USA,1000000,2006
Greg Berlanti,51,1000,1744858,Comedy|Drama|Romance|Sport,The Broken Hearts Club: A Romantic Comedy ,Mary McCormack,friend|gay|lesbian|photographer|restaurant,120,USA,1000000,2000
Don Coscarelli,260,1000,,Comedy|Fantasy|Mystery,Bubba Ho-Tep ,Ella Joyce,cult film|elvis|elvis presley|nursing home|texas,366,USA,1000000,2002
Rob Letterman,218,2000,80021740,Adventure|Comedy|Family|Fantasy|Horror,Goosebumps ,Ken Marino,based on book|blob|ferris wheel|manuscript|monster,154,USA,58000000,2015
Marc Levin,16,245,982214,Drama,Slam ,Bonz Malone,gang|independent film|prison|racial slur|urban setting,51,USA,1000000,1998
Richard Dutcher,12,957,798341,Crime|Drama|Mystery,Brigham City ,Rick Macy,fbi agent|mormon|prayer|sheriff|utah,63,USA,1000000,2001
Khalid Mohamed,1,353,610991,Drama|Romance,Fiza ,Jaya Bhaduri,mumbai riots|politician|riot|suicide|tragic event,19,India,1000000,2000
Mel Brooks,48,1000,,Comedy,History of the World: Part I ,Dom DeLuise,french revolution|old testament|part of an unfinished series|reference to john wayne|roman emperor,131,USA,11000000,1981
Trey Parker,59,406,582024,Comedy|Sci-Fi,Orgazmo ,Matt Stone,book of mormon|fight|mormon|ray gun|sidekick,168,USA,1000000,1997
David Gordon Green,88,11000,548712,Drama|Romance,All the Real Girls ,Shea Whigham,best friend|lake|love|small town|womanizer,126,USA,2500000,2003
Finn Taylor,28,611,464655,Comedy|Drama,Dream with the Fishes ,Kathryn Erbe,dying|to do list|twenty something|underwear|voyeur,29,USA,1000000,1997
Karen Moncrieff,44,638,464126,Drama,Blue Car ,A.J. Buckley,contest|poetry|refusing to eat|starving oneself|teenage girl,68,USA,1000000,2002
José Luis Valenzuela,13,844,428535,Comedy|Romance,Luminarias ,Robert Beltran,divorce|friend|jewish|lent|restaurant,32,USA,1000000,2000
Gia Coppola,117,11000,750100,Drama,Palo Alto ,Olivia Crocicchia,girls' soccer|high school|high school student|soccer coach|teenager,61,USA,,2013
Scandar Copti,100,20,621240,Crime|Drama,Ajami ,Ranin Karim,arab|christian|israeli|palestinian|violence,32,Germany,,2009
Goran Dukic,117,1000,104077,Comedy|Drama|Fantasy|Romance,Wristcutters: A Love Story ,Chase Ellison,afterlife|camping|death|hitchhiker|suicide,88,USA,1000000,2006
Mike Cahill,140,7000,334658,Drama|Romance|Sci-Fi,I Origins ,Venida Evans,buddhism|evolution|eye|reincarnation|stuck in elevator,160,USA,,2014
Efram Potelle,29,855,279282,Comedy|Drama|Romance,The Battle of Shaker Heights ,Kathleen Quinlan,bully comeuppance|high school|painter|reference to led zeppelin|wetting pants,49,USA,1000000,2003
Peter Jackson,308,873,43982842,Drama|Fantasy|Thriller,The Lovely Bones ,Tom McCarthy,1970s|afterlife|heaven|pedophile|rape,593,USA,65000000,2009
Joshua Oppenheimer,248,3,484221,Biography|Crime|Documentary|History,The Act of Killing ,Syamsul Arifin,death squad|mass killing|musical number|reference to guantanamo bay|surrealism,107,UK,1000000,2012
Alex Gibney,84,141,274661,Crime|Documentary|War,Taxi to the Dark Side ,Greg D'Agostino,afghanistan|detainee|guantanamo bay|taxi|torture,40,USA,1000000,2007
Paul Crowder,40,102,144431,Documentary|Sport,Once in a Lifetime: The Extraordinary Story of the New York Cosmos ,Ahmet Ertegun,new york|new york cosmos|professional sports|soccer|soccer team,13,UK,1000000,2006
Rohit Jagessar,,12,227241,Drama,Guiana 1838 ,Aasheekaa Bathija,bare chested male|discipline|imperialism|whipping|white slavery,2,USA,,2004
Griffin Dunne,13,978,112521,Comedy|Drama,Lisa Picard Is Famous ,Melissa Gilbert,actress|fame|inside joke|new york|one man show,16,USA,,2000
Anthony Powell,31,53,287761,Adventure|Biography|Documentary|Drama,Antarctica: A Year on Ice ,Anthony Powell,antarctica,16,New Zealand,1000000,2013
Kief Davidson,43,20,100240,Documentary,A Lego Brickumentary ,Jason Bateman,artist|denmark|lego|toy|toy company,11,Denmark,1000000,2014
Johnny Remo,2,260000,96734,Action|Drama,Hardflip ,Raquel Elizabeth Ames,family relationships|loss of mother|san diego california|single mother|suicide attempt,5,USA,1000000,2012
Vivek Agnihotri,4,724,49000,Thriller,Chocolate: Deep Dark Secrets ,Sunil Shetty,chocolate|christmas|christmas eve|death|suspect,30,India,1500000,2005
Ti West,238,969,100659,Horror,The House of the Devil ,Dee Wallace,cult film|eclipse|haunted house|lunar eclipse|secret,193,USA,900000,2009
Nick Tomnay,112,443,48430,Comedy|Crime|Thriller,The Perfect Host ,Nathaniel Parker,arm tattoo|bank robbery|cauterizing a wound|dancing on a table|dinner party,73,USA,500000,2010
John Hamburg,33,499,21210,Comedy|Crime,Safe Men ,Josh Pais,gangster|organized crime|robbery|rosh hashanah|safecracking,52,USA,1000000,1998
Nickolas Perry,8,590,,Crime|Drama|Romance,Speedway Junky ,Adrienne Frantz,car racing|crush|hustler|scam|watching television,43,USA,1000000,1999
Dan Zukovic,95,96,22434,Comedy|Drama,The Last Big Thing ,James Lorinz,actor|magazine|model|rock band|suburb,17,USA,,1996
Craig Mazin,29,2000,12996,Action|Comedy|Fantasy|Sci-Fi,The Specials ,Jamie Kennedy,action figure|press conference|superhero|superhero team|toy,54,USA,1000000,2000
Becky Smith,3,386,,Comedy|Romance,16 to Life ,Hallee Hirsh,birthday|digit in title|love|masturbation|teenager,6,USA,1000000,2009
Eric Nicholas,71,262,10018,Crime|Drama|Thriller,Alone with Her ,Jonathon Trent,female nudity|female pubic hair|masturbation|panties|pubic hair,31,USA,1000000,2006
Benjamin Dickinson,36,446,62480,Drama|Sci-Fi,Creative Control ,Meredith Hagner,art exhibition|augmented reality|cocaine|nervous breakdown|speculative fiction,7,USA,1000000,2015
Hal Haberman,56,975,6387,Comedy|Drama|Sci-Fi,Special ,Ian Bohen,dream sequence|locked in a room|looking at self in mirror|medication|superhero,37,USA,1000000,2006
Darren Stein,8,491,5494,Comedy|Drama,Sparkler ,Veronica Cartwright,automobile association of america|cheating|psychic|reference to tom jones the singer|trailer park,13,USA,,1997
A. Raven Cruz,3,639,,Action|Adventure|Comedy|Fantasy|Sci-Fi,The Helix... Loaded ,Jennifer Sky,cnn reporter|ellipsis in title|matrix|punctuation in title|secret agent,9,USA,1000000,2005
Brian Trenchard-Smith,8,563,721,Action|Drama,In Her Line of Fire ,Jesse Hutch,camp|die hard scenario|female protagonist|island|vice president,12,Germany,1000000,2006
Frank Whaley,9,474,703,Comedy|Drama,The Jimmy Show ,Heather Bucha,based on play|character name in title,21,USA,1500000,2001
Amat Escalante,87,327,,Crime|Drama|Romance,Heli ,Gabriel Reyes,corrupt police|drug cartel|drugs|mexico|police,15,Mexico,1000000,2013
Wajahat Rauf,6,7,,Comedy|Family,Karachi se Lahore ,Javed Sheikh,pakistan|road trip,15,Pakistan,1000000,2015
Katherine Brooks,14,442,,Drama|Romance,Loving Annabelle ,Laura Breckenridge,older woman younger woman relationship|sex with student|teacher|teacher student relationship|title directed by female,75,USA,1000000,2006
David Cross,20,782,,Comedy|Drama,Hits ,Amy Sedaris,courtroom|independent film|internet|small town|youtube,8,USA,1000000,2014
Randall Rubin,23,363,,Crime|Drama|Thriller,Jimmy and Judy ,James Eckhouse,police|revenge|sex|suburb|video camera,26,USA,1000000,2006
