director_name,num_critic_for_reviews,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,imdb_score
Caroline Link,73,8,Juliane Köhler,56,105,Matthias Habich,0,http://www.imdb.com/title/tt0161860/?ref_=fn_tt_tt_1,84,7.7
Steve McQueen,486,726,Nicole Beharie,13000,15230,James Badge Dale,0,http://www.imdb.com/title/tt1723811/?ref_=fn_tt_tt_1,375,7.3
Matthew Vaughn,149,466,Sally Hawkins,27000,29277,Jamie Foreman,1,http://www.imdb.com/title/tt0375912/?ref_=fn_tt_tt_1,263,7.4
Sterling Van Wagenen,4,266,Eric Johnson,1000,1942,Brenda Strong,2,http://www.imdb.com/title/tt0457530/?ref_=fn_tt_tt_1,21,6.6
Zal Batmanglij,200,782,Julia Ormond,10000,13180,Jason Ritter,4,http://www.imdb.com/title/tt1869716/?ref_=fn_tt_tt_1,119,6.9
Michael Mayer,84,874,Matt Frewer,18000,21107,Sissy Spacek,2,http://www.imdb.com/title/tt0359423/?ref_=fn_tt_tt_1,135,6.8
Hans Petter Moland,28,0,Sara-Marie Maltha,844,846,Stellan Skarsgård,0,http://www.imdb.com/title/tt0168446/?ref_=fn_tt_tt_1,35,7.3
Oren Moverman,217,706,Yaya DaCosta,12000,14462,Eamonn Walker,0,http://www.imdb.com/title/tt0790712/?ref_=fn_tt_tt_1,92,7.2
Ian Sharp,12,368,Jed Brophy,1000,1904,Temuera Morrison,0,http://www.imdb.com/title/tt1414378/?ref_=fn_tt_tt_1,18,6.5
Anton Corbijn,183,471,Samantha Morton,845,2614,Alexandra Maria Lara,1,http://www.imdb.com/title/tt0421082/?ref_=fn_tt_tt_1,143,7.7
James Cameron,204,255,Brian Thompson,2000,3582,Paul Winfield,1,http://www.imdb.com/title/tt0088247/?ref_=fn_tt_tt_1,692,8.1
Wolfgang Becker,153,43,Chulpan Khamatova,65,200,Burghart Klaußner,2,http://www.imdb.com/title/tt0301357/?ref_=fn_tt_tt_1,225,7.7
Tom Hooper,145,27,Mark Bazeley,1000,1163,Maurice Roëves,2,http://www.imdb.com/title/tt1226271/?ref_=fn_tt_tt_1,75,7.6
Dan O'Bannon,203,358,Clu Gulager,431,2020,Beverly Randolph,0,http://www.imdb.com/title/tt0089907/?ref_=fn_tt_tt_1,300,7.3
,10,5,Fortunato Cerlino,18,39,Marco D'Amore,5,http://www.imdb.com/title/tt2049116/?ref_=fn_tt_tt_1,25,8.7
Kevin Smith,93,781,Jason Mewes,1000,3254,Joey Lauren Adams,6,http://www.imdb.com/title/tt0113749/?ref_=fn_tt_tt_1,434,7.2
Randal Kleiser,124,898,Stockard Channing,1000,5127,Sid Caesar,2,http://www.imdb.com/title/tt0077631/?ref_=fn_tt_tt_1,350,7.2
Oliver Stone,120,576,Tom Berenger,40000,42028,Kevin Dillon,0,http://www.imdb.com/title/tt0091763/?ref_=fn_tt_tt_1,505,8.1
Michael Moore,288,282,Stevie Wonder,503,1448,Ricky Martin,0,http://www.imdb.com/title/tt0361596/?ref_=fn_tt_tt_1,1416,7.5
George Roy Hill,130,399,Ted Cassidy,640,2169,Kenneth Mars,1,http://www.imdb.com/title/tt0064115/?ref_=fn_tt_tt_1,309,8.1
Robert Stevenson,145,266,Glynis Johns,382,2045,Elsa Lanchester,2,http://www.imdb.com/title/tt0058331/?ref_=fn_tt_tt_1,259,7.8
Robert Redford,62,535,Elizabeth McGovern,2000,5122,Judd Hirsch,3,http://www.imdb.com/title/tt0081283/?ref_=fn_tt_tt_1,283,7.8
Frank Coraci,188,447,Steve Coogan,1000,3175,Cécile De France,0,http://www.imdb.com/title/tt0327437/?ref_=fn_tt_tt_1,191,5.8
Jerome Robbins,120,249,George Chakiris,804,1802,Richard Beymer,0,http://www.imdb.com/title/tt0055614/?ref_=fn_tt_tt_1,316,7.6
Harold Ramis,71,484,Rodney Dangerfield,13000,14921,Brian Doyle-Murray,3,http://www.imdb.com/title/tt0080487/?ref_=fn_tt_tt_1,250,7.4
Gary Hardwick,52,578,Tatyana Ali,3000,6419,Jenifer Lewis,4,http://www.imdb.com/title/tt0250274/?ref_=fn_tt_tt_1,43,6.3
Rick Famuyiwa,18,328,Tamala Jones,865,2724,Richard T. Jones,0,http://www.imdb.com/title/tt0161100/?ref_=fn_tt_tt_1,50,6.9
Bryan Singer,162,574,Chazz Palminteri,18000,20821,Kevin Pollak,4,http://www.imdb.com/title/tt0114814/?ref_=fn_tt_tt_1,1182,8.6
Stephen Hopkins,88,92,Kelly Jo Minter,321,584,Matthew Borlenghi,0,http://www.imdb.com/title/tt0097981/?ref_=fn_tt_tt_1,227,5.1
Walt Becker,96,583,Curtis Armstrong,16000,19341,Erik Estrada,0,http://www.imdb.com/title/tt0283111/?ref_=fn_tt_tt_1,258,6.4
Darren Aronofsky,391,120,John D'Leo,1000,1582,Ajay Naidu,0,http://www.imdb.com/title/tt1125849/?ref_=fn_tt_tt_1,547,7.9
King Vidor,32,332,Lillian Gish,469,2037,Jennifer Jones,0,http://www.imdb.com/title/tt0038499/?ref_=fn_tt_tt_1,87,6.9
Christopher Guest,119,658,Catherine O'Hara,957,4611,Michael McKean,9,http://www.imdb.com/title/tt0218839/?ref_=fn_tt_tt_1,340,7.5
John Carpenter,201,381,Adrienne Barbeau,742,2270,Tom Atkins,1,http://www.imdb.com/title/tt0082340/?ref_=fn_tt_tt_1,284,7.2
Spike Lee,22,182,Ossie Davis,413,1284,Bill Nunn,4,http://www.imdb.com/title/tt0096054/?ref_=fn_tt_tt_1,38,5.8
Fred Savage,52,405,Brian Doyle-Murray,555,1752,Tamala Jones,2,http://www.imdb.com/title/tt0462244/?ref_=fn_tt_tt_1,32,2.9
Sammo Kam-Bo Hung,63,64,Richard Norton,472,773,Rachel Blakely,1,http://www.imdb.com/title/tt0117786/?ref_=fn_tt_tt_1,70,6.2
Christopher Guest,97,345,Christopher Guest,658,1660,Laura Harris,0,http://www.imdb.com/title/tt0310281/?ref_=fn_tt_tt_1,272,7.3
Donald Petrie,34,658,Lili Taylor,8000,10430,Conchata Ferrell,4,http://www.imdb.com/title/tt0095690/?ref_=fn_tt_tt_1,73,6.2
,10,502,Tuppence Middleton,1000,4528,Lily James,1,http://www.imdb.com/title/tt3910804/?ref_=fn_tt_tt_1,44,8.2
Peter Howitt,88,161,Kevin McNally,711,1462,John Lynch,1,http://www.imdb.com/title/tt0120148/?ref_=fn_tt_tt_1,278,6.8
Rusty Cundieff,25,360,Clarence Williams III,1000,3221,David Alan Grier,0,http://www.imdb.com/title/tt0114609/?ref_=fn_tt_tt_1,52,6.1
Kevin Macdonald,252,25,Simon McBurney,1000,1184,Abby Mukiibi Nkaaga,1,http://www.imdb.com/title/tt0455590/?ref_=fn_tt_tt_1,351,7.7
Dominique Othenin-Girard,137,120,Tamara Glynn,742,1308,Troy Evans,1,http://www.imdb.com/title/tt0097474/?ref_=fn_tt_tt_1,287,5.2
Richard Linklater,231,84,Brandon Smith,11000,11328,Rick Dial,1,http://www.imdb.com/title/tt1704573/?ref_=fn_tt_tt_1,136,6.8
Jean-Jacques Mantello,9,,Daryl Hannah,844,844,,0,http://www.imdb.com/title/tt0996382/?ref_=fn_tt_tt_1,5,6.5
Ed Harris,115,221,Bud Cort,697,1517,Amy Madigan,0,http://www.imdb.com/title/tt0183659/?ref_=fn_tt_tt_1,148,7.0
Risa Bramon Garcia,67,612,Dave Chappelle,1000,2697,Gaby Hoffmann,5,http://www.imdb.com/title/tt0137338/?ref_=fn_tt_tt_1,182,5.9
Brian Klugman,216,10000,Bradley Cooper,24000,51355,Olivia Wilde,1,http://www.imdb.com/title/tt1840417/?ref_=fn_tt_tt_1,130,7.1
Matt Piedmont,133,546,Adrian Martinez,8000,10123,Luis E. Carazo,1,http://www.imdb.com/title/tt1702425/?ref_=fn_tt_tt_1,70,5.5
Raymond De Felitta,149,130,Curtiss Cook,3000,3825,Dominik García-Lorido,6,http://www.imdb.com/title/tt1174730/?ref_=fn_tt_tt_1,101,7.4
John Michael McDonagh,261,28,Fionnula Flanagan,3000,3569,Wale Ojo,0,http://www.imdb.com/title/tt1540133/?ref_=fn_tt_tt_1,131,7.3
Deb Hagan,42,664,Alona Tal,1000,4484,Haley Bennett,0,http://www.imdb.com/title/tt0844671/?ref_=fn_tt_tt_1,78,4.6
Sofia Coppola,152,826,Kathleen Turner,4000,7103,Scott Glenn,0,http://www.imdb.com/title/tt0159097/?ref_=fn_tt_tt_1,520,7.2
Mark Herman,64,286,Annette Badland,1000,2103,Brenda Blethyn,4,http://www.imdb.com/title/tt0147004/?ref_=fn_tt_tt_1,160,7.0
Zach Cregger,76,263,Windell Middlebrooks,373,1831,Raquel Alessi,2,http://www.imdb.com/title/tt1151922/?ref_=fn_tt_tt_1,73,5.1
Zach Braff,149,379,Josh Gad,17000,18947,Michael Weston,4,http://www.imdb.com/title/tt2870708/?ref_=fn_tt_tt_1,93,6.7
Mark Tarlov,35,353,Dylan Baker,4000,5668,Lawrence Gilliard Jr.,1,http://www.imdb.com/title/tt0145893/?ref_=fn_tt_tt_1,190,5.3
,47,724,Jason Dohring,937,3318,Enrico Colantoni,1,http://www.imdb.com/title/tt0412253/?ref_=fn_tt_tt_1,315,8.4
John Cameron Mitchell,108,179,Miriam Shor,263,993,Andrea Martin,0,http://www.imdb.com/title/tt0248845/?ref_=fn_tt_tt_1,231,7.8
Sheldon Lettich,17,82,Ryan Bollman,97,382,Todd Susman,1,http://www.imdb.com/title/tt0107750/?ref_=fn_tt_tt_1,50,6.7
Jon Knautz,12,34,Monda Scott,397,546,Alexis Kendra,0,http://www.imdb.com/title/tt3432552/?ref_=fn_tt_tt_1,5,5.4
Billy Ray,129,491,Rosario Dawson,4000,8297,Cas Anvar,0,http://www.imdb.com/title/tt0323944/?ref_=fn_tt_tt_1,190,7.2
David Atkins,84,15,Lynne Thigpen,244,489,Polly Noonan,3,http://www.imdb.com/title/tt0234354/?ref_=fn_tt_tt_1,105,5.8
Patrick Stettner,61,152,Tony Devon,944,1407,Frederick Weller,2,http://www.imdb.com/title/tt0270259/?ref_=fn_tt_tt_1,78,6.4
Sam Peckinpah,147,242,Warren Oates,682,2379,L.Q. Jones,1,http://www.imdb.com/title/tt0065214/?ref_=fn_tt_tt_1,287,8.0
Jonathan Levine,147,362,Aaron Yoo,976,2748,Method Man,2,http://www.imdb.com/title/tt1082886/?ref_=fn_tt_tt_1,75,7.0
Michael Crichton,23,20,Michael Elphick,187,297,Pamela Salem,2,http://www.imdb.com/title/tt0079240/?ref_=fn_tt_tt_1,50,7.0
Lynne Ramsay,75,53,Bryan Dick,631,841,Paul Popplewell,0,http://www.imdb.com/title/tt0300214/?ref_=fn_tt_tt_1,111,6.7
Sylvio Tabet,17,284,Kari Wuhrer,721,2000,Marc Singer,2,http://www.imdb.com/title/tt0101412/?ref_=fn_tt_tt_1,16,3.8
Rick Bieber,16,316,Kendrick Cross,767,2370,Sammy Nagi Njuguna,2,http://www.imdb.com/title/tt1130964/?ref_=fn_tt_tt_1,29,5.7
Claude Chabrol,60,27,Nathalie Baye,173,282,Mélanie Doutey,5,http://www.imdb.com/title/tt0322289/?ref_=fn_tt_tt_1,36,6.6
Shana Feste,63,71,Zoë Kravitz,1000,2163,Cara Seymour,2,http://www.imdb.com/title/tt1226232/?ref_=fn_tt_tt_1,50,6.7
Wayne Wang,56,451,Russell Wong,974,2430,Ji-hyun Jun,0,http://www.imdb.com/title/tt1541995/?ref_=fn_tt_tt_1,22,6.1
Joey Lauren Adams,36,90,Diane Ladd,596,1081,Ritchie Montgomery,0,http://www.imdb.com/title/tt0457308/?ref_=fn_tt_tt_1,29,6.2
Peter Cattaneo,47,419,Olivia Williams,773,2440,Peter McNamara,0,http://www.imdb.com/title/tt0246134/?ref_=fn_tt_tt_1,34,6.2
Fred Zinnemann,38,898,Jane Fonda,11000,15604,Vanessa Redgrave,2,http://www.imdb.com/title/tt0076245/?ref_=fn_tt_tt_1,44,7.4
S.R. Bindler,26,499,Scott Glenn,11000,14599,Sarah Wright,0,http://www.imdb.com/title/tt0976247/?ref_=fn_tt_tt_1,37,4.7
Tony Kaye,47,0,Pat Buchanan,103,105,Bill Baird,0,http://www.imdb.com/title/tt0841119/?ref_=fn_tt_tt_1,29,8.3
Greg Marcks,68,407,Barbara Hershey,861,2200,Shawn Hatosy,1,http://www.imdb.com/title/tt0331811/?ref_=fn_tt_tt_1,133,7.2
Perry Lang,19,259,Kevin Tighe,636,2152,Tim Guinee,1,http://www.imdb.com/title/tt0110490/?ref_=fn_tt_tt_1,38,5.8
Jake Goldberger,39,99,M. Emmet Walsh,592,1227,Robert Wahlberg,1,http://www.imdb.com/title/tt1281374/?ref_=fn_tt_tt_1,17,5.9
Stefan Ruzowitzky,162,874,Olivia Wilde,16000,27575,Sissy Spacek,1,http://www.imdb.com/title/tt1667310/?ref_=fn_tt_tt_1,86,6.3
Vic Sarin,37,130,Aidan Quinn,933,1940,John Bell,2,http://www.imdb.com/title/tt1014774/?ref_=fn_tt_tt_1,19,7.2
William Kaufman,26,787,Sean Cook,848,3469,Cole Hauser,1,http://www.imdb.com/title/tt1575694/?ref_=fn_tt_tt_1,39,5.4
,10,334,Blake Ritson,805,2563,Rupert Evans,1,http://www.imdb.com/title/tt1366312/?ref_=fn_tt_tt_1,50,8.2
David Cronenberg,179,15,Leslie Carlson,391,477,Reiner Schwarz,0,http://www.imdb.com/title/tt0086541/?ref_=fn_tt_tt_1,228,7.3
Cédric Klapisch,88,269,Cécile De France,809,1858,Iddo Goldberg,0,http://www.imdb.com/title/tt0283900/?ref_=fn_tt_tt_1,149,7.3
Kate Barker-Froyland,43,444,Shawn Parsons,11000,12772,Li Jun Li,1,http://www.imdb.com/title/tt2182972/?ref_=fn_tt_tt_1,21,5.8
Barbet Schroeder,136,400,Chris Penn,33000,34605,Agnes Bruckner,0,http://www.imdb.com/title/tt0264935/?ref_=fn_tt_tt_1,302,6.1
Martin Koolhoven,111,19,Tygo Gernandt,163,219,Martijn Lakemeier,1,http://www.imdb.com/title/tt0795441/?ref_=fn_tt_tt_1,37,7.1
Charles Matthau,13,1000,Michael Jai White,2000,6569,Bill Duke,0,http://www.imdb.com/title/tt0938305/?ref_=fn_tt_tt_1,11,6.5
John Frankenheimer,64,28,Paul Scofield,343,502,Michel Simon,0,http://www.imdb.com/title/tt0059825/?ref_=fn_tt_tt_1,124,7.9
Christopher M. Bessette,6,57,John Billingsley,978,1443,Trieu Tran,2,http://www.imdb.com/title/tt1772408/?ref_=fn_tt_tt_1,8,5.4
Prachya Pinkaew,112,380,Nathan Jones,778,2205,Johnny Nguyen,0,http://www.imdb.com/title/tt0427954/?ref_=fn_tt_tt_1,214,7.1
Gary Sinyor,12,136,Frank Finlay,722,1477,Samuel West,2,http://www.imdb.com/title/tt0120210/?ref_=fn_tt_tt_1,21,6.4
,15,220,Belinda Stewart-Wilson,229,1239,James Buckley,0,http://www.imdb.com/title/tt1220617/?ref_=fn_tt_tt_1,42,8.4
Gurinder Chadha,161,397,Parminder Nagra,883,2201,Anupam Kher,0,http://www.imdb.com/title/tt0286499/?ref_=fn_tt_tt_1,438,6.7
John Sayles,68,501,Edie Falco,688,2584,Timothy Hutton,6,http://www.imdb.com/title/tt0286179/?ref_=fn_tt_tt_1,81,6.9
Preston A. Whitmore II,25,255,Wayne Brady,592,2000,Eva Marcille,6,http://www.imdb.com/title/tt0473024/?ref_=fn_tt_tt_1,36,2.1
Ashish R. Mohan,23,61,Mithun Chakraborty,634,1065,Johnny Lever,1,http://www.imdb.com/title/tt2166214/?ref_=fn_tt_tt_1,31,4.3
Jaume Balagueró,222,6,Pablo Rosso,37,73,Andrea Ros,0,http://www.imdb.com/title/tt1245112/?ref_=fn_tt_tt_1,148,6.6
Stewart Raffill,9,10,Alexis Biesiada,25,72,Kayla Raparelli,9,http://www.imdb.com/title/tt1303803/?ref_=fn_tt_tt_1,6,3.4
George Roy Hill,119,417,Robert Shaw,1000,2387,Ray Walston,0,http://www.imdb.com/title/tt0070735/?ref_=fn_tt_tt_1,252,8.3
Hugh Hudson,90,249,Ben Cross,368,1651,John Gielgud,0,http://www.imdb.com/title/tt0082158/?ref_=fn_tt_tt_1,213,7.2
Darren Grant,62,476,Kimberly Elise,907,2723,Tamara Taylor,0,http://www.imdb.com/title/tt0422093/?ref_=fn_tt_tt_1,202,5.6
Scott Hicks,71,35,Armin Mueller-Stahl,509,888,Nicholas Bell,0,http://www.imdb.com/title/tt0117631/?ref_=fn_tt_tt_1,104,7.7
Joseph Gordon-Levitt,364,694,Scarlett Johansson,23000,44265,Tony Danza,1,http://www.imdb.com/title/tt2229499/?ref_=fn_tt_tt_1,314,6.6
Clint Eastwood,72,258,Richard Bull,16000,17599,John Hillerman,0,http://www.imdb.com/title/tt0068699/?ref_=fn_tt_tt_1,169,7.6
Terry Zwigoff,122,722,Steve Buscemi,19000,34106,T.J. Thyne,0,http://www.imdb.com/title/tt0162346/?ref_=fn_tt_tt_1,488,7.4
Richard Eyre,100,548,Jim Broadbent,14000,16768,Kris Marshall,1,http://www.imdb.com/title/tt0280778/?ref_=fn_tt_tt_1,144,7.1
William Sachs,24,60,Avery Schreiber,113,396,Angelo Rossitto,0,http://www.imdb.com/title/tt0080771/?ref_=fn_tt_tt_1,44,3.4
Christophe Barratier,112,57,François Berléand,517,745,Gérard Jugnot,0,http://www.imdb.com/title/tt0372824/?ref_=fn_tt_tt_1,110,7.9
Émile Gaudreault,67,71,Luke Kirby,636,1033,Claudia Ferri,0,http://www.imdb.com/title/tt0330602/?ref_=fn_tt_tt_1,67,6.7
James Cox,91,93,Louis Lombardi,715,1315,Franky G,0,http://www.imdb.com/title/tt0335563/?ref_=fn_tt_tt_1,153,6.6
Spike Lee,103,388,John Savage,782,2892,Danny Aiello,2,http://www.imdb.com/title/tt0097216/?ref_=fn_tt_tt_1,418,7.9
James Toback,27,781,Eric Stoltz,4000,6776,Joey Lauren Adams,3,http://www.imdb.com/title/tt0242508/?ref_=fn_tt_tt_1,69,4.9
Aki Kaurismäki,205,36,Kati Outinen,232,391,Jean-Pierre Darroussin,1,http://www.imdb.com/title/tt1508675/?ref_=fn_tt_tt_1,41,7.2
Gaspar Noé,192,9,Albert Dupontel,56,118,Jo Prestia,0,http://www.imdb.com/title/tt0290673/?ref_=fn_tt_tt_1,664,7.4
Hitoshi Matsumoto,72,16,Hitoshi Matsumoto,31,81,Shinobu Terajima,0,http://www.imdb.com/title/tt2914838/?ref_=fn_tt_tt_1,12,6.1
Rakeysh Omprakash Mehra,33,199,Steven Mackintosh,397,1519,Madhavan,0,http://www.imdb.com/title/tt0405508/?ref_=fn_tt_tt_1,321,8.4
Collin Schiffli,22,290,John Heard,934,2030,David Dastmalchian,0,http://www.imdb.com/title/tt3297554/?ref_=fn_tt_tt_1,8,6.2
George Ratliff,48,38,Cree Kelly,472,561,Mike Eshaq,5,http://www.imdb.com/title/tt1251743/?ref_=fn_tt_tt_1,31,5.3
David Wain,65,139,Ken Marino,4000,4883,Ron Silver,4,http://www.imdb.com/title/tt0811106/?ref_=fn_tt_tt_1,117,5.0
Shane Meadows,29,222,Paddy Considine,5000,6111,Shane Meadows,2,http://www.imdb.com/title/tt0202559/?ref_=fn_tt_tt_1,47,7.7
Morten Tyldum,284,27,Synnøve Macody Lund,286,385,Julie R. Ølgaard,3,http://www.imdb.com/title/tt1614989/?ref_=fn_tt_tt_1,121,7.6
Jon Wright,187,114,Richard Coyle,796,1832,Bronagh Gallagher,0,http://www.imdb.com/title/tt1525366/?ref_=fn_tt_tt_1,70,6.3
Michael McGowan,47,149,Adam Butcher,393,955,Gordon Pinsent,1,http://www.imdb.com/title/tt0384488/?ref_=fn_tt_tt_1,52,7.6
Liv Ullmann,88,0,Jessica Chastain,631,631,Colin Farrell,2,http://www.imdb.com/title/tt2667960/?ref_=fn_tt_tt_1,14,5.6
Jeannot Szwarc,41,32,Bill Erwin,208,454,George Voskovec,2,http://www.imdb.com/title/tt0081534/?ref_=fn_tt_tt_1,249,7.3
Rohan Sippy,24,47,Bipasha Basu,374,787,Prateik,0,http://www.imdb.com/title/tt1618430/?ref_=fn_tt_tt_1,27,6.2
James Wan,318,482,Barbara Hershey,852,2975,Leigh Whannell,0,http://www.imdb.com/title/tt2226417/?ref_=fn_tt_tt_1,269,6.6
Darren Lynn Bousman,250,651,Tony Nappo,1000,4134,Shawnee Smith,0,http://www.imdb.com/title/tt0432348/?ref_=fn_tt_tt_1,864,6.6
Dan Trachtenberg,411,82,John Gallagher Jr.,14000,14504,Sumalee Montano,0,http://www.imdb.com/title/tt1179933/?ref_=fn_tt_tt_1,440,7.3
Jeff Tremaine,106,218,Steve-O,608,1770,Chris Pontius,0,http://www.imdb.com/title/tt0322802/?ref_=fn_tt_tt_1,327,6.6
David F. Sandberg,159,300,Amiah Miller,2000,3344,Gabriel Bateman,0,http://www.imdb.com/title/tt4786282/?ref_=fn_tt_tt_1,95,6.9
Henry Joost,251,434,Sprague Grayden,581,2371,Christopher Nicholas Smith,0,http://www.imdb.com/title/tt1778304/?ref_=fn_tt_tt_1,314,5.8
Stiles White,183,704,Shelley Hennig,852,5056,Daren Kagasoff,0,http://www.imdb.com/title/tt1204977/?ref_=fn_tt_tt_1,159,4.4
Chuck Russell,131,150,Heather Langenkamp,506,1584,Jennifer Rubin,0,http://www.imdb.com/title/tt0093629/?ref_=fn_tt_tt_1,311,6.6
Joel Edgerton,297,458,Allison Tolman,1000,3215,Wendell Pierce,1,http://www.imdb.com/title/tt4178092/?ref_=fn_tt_tt_1,279,7.1
Eugenio Derbez,41,83,Jessica Lindsey,399,688,Hugo Stiglitz,1,http://www.imdb.com/title/tt2378281/?ref_=fn_tt_tt_1,81,7.6
Henry Joost,248,113,Brendon Eggertsen,235,799,Alisha Boe,0,http://www.imdb.com/title/tt2109184/?ref_=fn_tt_tt_1,247,4.6
Henry Koster,42,275,Jean Simmons,726,1920,Victor Mature,1,http://www.imdb.com/title/tt0046247/?ref_=fn_tt_tt_1,69,6.8
Blake Edwards,33,80,Herbert Lom,462,971,Catherine Schell,0,http://www.imdb.com/title/tt0072081/?ref_=fn_tt_tt_1,73,7.1
Rachel Talalay,91,581,Tom Arnold,40000,42002,Yaphet Kotto,0,http://www.imdb.com/title/tt0101917/?ref_=fn_tt_tt_1,252,4.9
Patty Jenkins,185,592,Bruce Dern,9000,11736,Pruitt Taylor Vince,2,http://www.imdb.com/title/tt0340855/?ref_=fn_tt_tt_1,533,7.3
Richard Fleischer,69,51,Robert J. Wilke,617,799,Paul Lukas,0,http://www.imdb.com/title/tt0046672/?ref_=fn_tt_tt_1,108,7.2
Christopher Landon,220,332,Gloria Sandoval,510,2161,Molly Ephraim,0,http://www.imdb.com/title/tt2473682/?ref_=fn_tt_tt_1,155,5.0
David Lynch,117,452,Anne Bancroft,12000,13864,Dexter Fletcher,1,http://www.imdb.com/title/tt0080678/?ref_=fn_tt_tt_1,356,8.2
Jean-Marc Vallée,471,896,Jennifer Garner,11000,17738,Denis O'Hare,0,http://www.imdb.com/title/tt0790636/?ref_=fn_tt_tt_1,340,8.0
David Gelb,152,801,Mark Duplass,10000,11771,Donald Glover,0,http://www.imdb.com/title/tt2918436/?ref_=fn_tt_tt_1,126,5.2
Christopher Nolan,274,379,Thomas Lennon,716,1997,Jorja Fox,0,http://www.imdb.com/title/tt0209144/?ref_=fn_tt_tt_1,2067,8.5
Mike Flanagan,336,202,Rory Cochrane,972,2071,Garrett Ryan,0,http://www.imdb.com/title/tt2388715/?ref_=fn_tt_tt_1,339,6.5
Kevin Smith,174,657,Jason Mewes,1000,2990,Brian O'Halloran,3,http://www.imdb.com/title/tt0424345/?ref_=fn_tt_tt_1,472,7.4
Stephen Daldry,151,34,Gary Lewis,838,1122,Jamie Draven,0,http://www.imdb.com/title/tt0249462/?ref_=fn_tt_tt_1,433,7.7
Nat Faxon,276,424,Liam James,7000,8375,Jim Rash,1,http://www.imdb.com/title/tt1727388/?ref_=fn_tt_tt_1,216,7.4
George Jackson,12,287,Tisha Campbell-Martin,901,2523,Helen Martin,0,http://www.imdb.com/title/tt0102065/?ref_=fn_tt_tt_1,11,5.1
George Miller,18,75,Jack Thompson,492,854,Tom Burlinson,0,http://www.imdb.com/title/tt0084296/?ref_=fn_tt_tt_1,56,7.3
Maurice Joyce,28,73,Constance Shulman,2000,2908,Alice Playten,1,http://www.imdb.com/title/tt0187819/?ref_=fn_tt_tt_1,18,5.0
Robert Duvall,95,77,Todd Allen,205,428,June Carter Cash,1,http://www.imdb.com/title/tt0118632/?ref_=fn_tt_tt_1,157,7.2
Frank Perry,74,157,Xander Berkeley,977,2014,Diana Scarwid,1,http://www.imdb.com/title/tt0082766/?ref_=fn_tt_tt_1,161,6.7
Jesse Peretz,179,1000,Adam Scott,11000,15710,Steve Coogan,1,http://www.imdb.com/title/tt1637706/?ref_=fn_tt_tt_1,115,6.4
Stephen Hopkins,125,388,Tony Curran,882,2410,David Kross,0,http://www.imdb.com/title/tt3499096/?ref_=fn_tt_tt_1,49,7.1
Ice Cube,22,498,Monica Calhoun,1000,2868,Chrystale Wilson,9,http://www.imdb.com/title/tt0119905/?ref_=fn_tt_tt_1,26,5.6
Tim Blake Nelson,92,697,Andrew Keegan,1000,3300,John Heard,2,http://www.imdb.com/title/tt0184791/?ref_=fn_tt_tt_1,153,6.2
John Erick Dowdle,196,161,Edwin Hodge,1000,1410,Perdita Weeks,0,http://www.imdb.com/title/tt2870612/?ref_=fn_tt_tt_1,211,6.1
Bille Woodruff,9,467,Cameron Mills,1000,2840,Sharon Leal,0,http://www.imdb.com/title/tt2205401/?ref_=fn_tt_tt_1,33,5.2
Kasi Lemmons,31,426,Lynn Whitfield,2000,3843,Diahann Carroll,2,http://www.imdb.com/title/tt0119080/?ref_=fn_tt_tt_1,209,7.3
Richard Glatzer,309,423,Hunter Parrish,17000,19673,Seth Gilliam,1,http://www.imdb.com/title/tt3316960/?ref_=fn_tt_tt_1,195,7.5
Michael Curtiz,15,422,Peter Ustinov,535,2112,Jean Simmons,0,http://www.imdb.com/title/tt0046949/?ref_=fn_tt_tt_1,67,6.6
Bruce Malmuth,36,142,Lindsay Wagner,13000,14306,Persis Khambatta,2,http://www.imdb.com/title/tt0082817/?ref_=fn_tt_tt_1,107,6.4
Rob Hedden,129,65,Peter Mark Richman,935,1327,Scott Reeves,0,http://www.imdb.com/title/tt0097388/?ref_=fn_tt_tt_1,291,4.5
Joel Zwick,168,249,Louis Mandylor,567,1495,Lainie Kazan,3,http://www.imdb.com/title/tt0259446/?ref_=fn_tt_tt_1,756,6.6
Harmony Korine,444,192,Heather Morris,11000,12306,Rachel Korine,4,http://www.imdb.com/title/tt2101441/?ref_=fn_tt_tt_1,561,5.3
Joe Chappelle,123,141,Kim Darby,742,1227,Mitchell Ryan,0,http://www.imdb.com/title/tt0113253/?ref_=fn_tt_tt_1,335,4.9
Alfonso Cuarón,173,19,Daniel Giménez Cacho,269,361,María Aura,1,http://www.imdb.com/title/tt0245574/?ref_=fn_tt_tt_1,385,7.7
Edgar Wright,246,358,Dylan Moran,605,1686,Rafe Spall,6,http://www.imdb.com/title/tt0365748/?ref_=fn_tt_tt_1,859,8.0
Mickey Liddell,74,664,Randy Wayne,1000,4856,Haley Bennett,5,http://www.imdb.com/title/tt1045655/?ref_=fn_tt_tt_1,113,3.8
John Sayles,68,111,Clifton James,11000,11400,Miriam Colon,2,http://www.imdb.com/title/tt0116905/?ref_=fn_tt_tt_1,173,7.6
Dwight H. Little,144,101,Kathleen Kinmont,742,1136,Ellie Cornell,0,http://www.imdb.com/title/tt0095271/?ref_=fn_tt_tt_1,374,5.9
