director_name,duration,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,actor_1_name,movie_title,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,country,content_rating,budget,actor_2_facebook_likes,aspect_ratio
Alfred Hitchcock,128,14,Lila Kedrova,18,,Tamara Toumanova,Torn Curtain ,70,David Opatoshu,1,defection|east germany|germany|iron curtain|scientist,137,English,USA,Approved,6000000,16,1.85
Michel Gondry,100,220,Dave Chappelle,989,11694528,Common,Dave Chappelle's Block Party ,2165,Lauryn Hill,0,block party|marching band|neighborhood|new york city|tyrannosaurus rex,72,English,USA,R,3000000,744,1.85
John Maclean,84,748,Kodi Smit-McPhee,13000,229094,Michael Fassbender,Slow West ,14696,Ben Mendelsohn,2,american west|bounty hunter|frontier|horse riding|outlaw,88,English,UK,R,,884,1.66
Michael Schultz,97,77,LisaGay Hamilton,685,,Blair Underwood,Krush Groove ,1163,Bobby Brown,0,actress shares first name with character|bar|car wash|city|d.j.,16,English,USA,R,3000000,178,
Benny Boom,84,706,Donald Faison,1000,10017041,Omari Hardwick,Next Day Air ,4815,Mike Epps,3,cocaine|package|slow motion scene|topless female nudity|wrong address,20,English,USA,R,3000000,927,1.85
Richard Brooks,146,125,Jean Simmons,556,,Shirley Jones,Elmer Gantry ,1444,Edward Andrews,1,1920s|evangelist|preacher|revival|traveling salesman,81,English,USA,Approved,3000000,422,1.66
Stanley Kramer,186,760,Montgomery Clift,877,,Maximilian Schell,Judgment at Nuremberg ,3847,Spencer Tracy,0,judge|law|nazi|nuremberg|war crime,176,English,USA,Not Rated,3000000,862,1.75
David Raynr,94,200,Deon Richmond,927,9016377,Donald Faison,Trippin' ,1936,Countess Vaughn,3,apostrophe in title|bare breasts|female nudity|nude black woman|prom,8,English,USA,R,,209,1.85
,11,0,Seth Green,11,,Matthew Senreich,Robot Chicken             ,11,Breckin Meyer,0,celebrity|robot|satire|sketch comedy|stop motion animation,75,English,USA,TV-MA,,0,1.33
Howard Hawks,126,281,Walter Brennan,862,,Montgomery Clift,Red River ,2269,Harry Carey Jr.,0,cattle|cattle drive|cowboy|kansas|texas,162,English,USA,Approved,3000000,376,1.37
Nnegest Likké,99,233,Jimmy Jean-Louis,939,7059537,Mo'Nique,Phat Girlz ,2321,Joyful Drake,0,female protagonist|size positive|thin|title directed by female|wet dream,101,English,USA,PG-13,3000000,407,1.85
Richard Linklater,109,48,Ariane Labed,140,8114507,Seamus Davey-Fitzpatrick,Before Midnight ,328,Athina Rachel Tsangari,1,friend|greece|greek|hotel room|twin,270,English,USA,R,3000000,63,1.85
Christopher Leitch,95,152,Robert Neary,641,7888703,John Astin,Teen Wolf Too ,1389,Kim Darby,1,falling in love|glowing eyes|insult|teenager|three word title,65,English,USA,PG,3000000,168,1.85
Don Coscarelli,97,135,A. Michael Baldwin,674,7282851,Angus Scrimm,Phantasm II ,1395,James Le Gros,1,cemetery|female nudity|mortuary|sphere|tall man,100,English,USA,R,3000000,174,1.85
Michael Schultz,94,469,Kimberly Elise,912,6879730,Loretta Devine,Woman Thou Art Loosed ,3049,Clifton Powell,0,abuse|bishop|death|flashback|poverty,23,English,USA,R,,637,
Patricia Cardoso,90,453,Lupe Ontiveros,953,5844929,America Ferrera,Real Women Have Curves ,2510,George Lopez,1,education|factory|high school|mexican american|religious icon,109,English,USA,PG-13,3000000,625,1.85
,197,110,Jessica De Gouw,578,,Rachel Griffiths,Deadline Gallipoli             ,1400,Luke Ford,0,gallipoli|tv mini series|world war one,1,English,Australia,,15000000,476,
Deepa Mehta,117,31,Lisa Ray,1000,3222857,John Abraham,Water ,1394,Seema Biswas,0,ashram|india|love|tradition|widow,147,Hindi,Canada,PG-13,,329,2.35
Damien O'Donnell,96,163,Jimi Mistry,883,4170647,Archie Panjabi,East Is East ,1616,Om Puri,0,england|marriage|muslim|pakistani|salford,161,English,UK,R,1900000,183,1.85
Peter M. Cohen,82,51,Brian Van Holt,472,4142507,Callie Thorne,Whipped ,858,David Heyman,1,dating|diner|masturbation|urination|washington square manhattan new york city,81,English,USA,R,3000000,324,1.85
Mira Nair,109,200,Sarita Choudhury,729,4109095,Indira Varma,Kama Sutra: A Tale of Love ,1292,Rekha,0,courtesan|friend|kama sutra|seduction|wedding,92,English,USA,R,3000000,257,1.85
Nicole Holofcener,90,547,Thomas Ian Nicholas,1000,4033268,Oliver Platt,Please Give ,3692,Ann Morgan Guilbert,0,apartment|first date|neighbor|new york|new york city,53,English,USA,R,,864,2.35
Mel Stuart,89,124,Jack Albertson,240,,Peter Ostrum,Willy Wonka & the Chocolate Factory ,1011,Julie Dawn Cole,1,candy|chocolate|factory|miniaturization|sudden change in size,349,English,USA,G,3000000,177,1.33
Anthony Hickox,98,222,Zach Galligan,687,3902679,Julian Sands,Warlock: The Armageddon ,1806,Paula Marshall,0,druid|eclipse|rune|scalping|warlock,49,English,USA,R,3000000,233,1.66
Tom Schulman,95,267,George Hamilton,578,3559990,Kristy Swanson,8 Heads in a Duffel Bag ,1363,Dyan Cannon,0,camera shot of feet|female stockinged feet|female stockinged soles|nude pantyhose|pantyhose,49,English,USA,R,3000000,341,1.85
Terrence Malick,94,180,Stuart Margolin,820,,Sam Shepard,Days of Heaven ,1618,Richard Libertini,0,farm|farm worker|grasshopper|harvest|wealth,181,English,USA,PG,3000000,350,1.85
Jill Sprecher,104,194,Rob McElhenney,11000,3287435,Matthew McConaughey,Thirteen Conversations About One Thing ,12250,Amy Irving,2,attorney|happiness|house cleaner|physics|professor,115,English,USA,R,4500000,813,1.85
Darren Stein,87,844,Judy Greer,3000,3071947,Julie Benz,Jawbreaker ,9555,Jeff Conaway,3,best friend|bitch|friend|popular girl|prom,183,English,USA,R,3500000,2000,1.85
Julian Schnabel,108,353,Michael Wincott,10000,2961991,Gary Oldman,Basquiat ,11459,Courtney Love,4,andy warhol|art|artist|friendship|street artist,78,English,USA,R,3300000,721,1.85
Noah Baumbach,86,270,Grace Gummer,962,4063238,Greta Gerwig,Frances Ha ,2260,Vanessa Ray,0,best friend|black and white|father daughter relationship|female protagonist|mother daughter relationship,139,English,USA,R,,481,1.85
Gavin Hood,94,29,Nambitha Mpumlwana,113,2912363,Terry Pheto,Tsotsi ,278,Rapulana Seiphemo,1,baby|bathing a baby|criminal|slum|vomiting,177,Zulu,UK,R,3000000,64,2.35
Todd Solondz,134,812,Jon Lovitz,22000,3000000,Philip Seymour Hoffman,Happiness ,36859,Dylan Baker,9,ensemble cast|episodic structure|satire|social satire|suburb,499,English,USA,,3000000,11000,1.85
George Gallo,89,24,Joe Howard,489,2223990,Eddie Griffin,DysFunktional Family ,539,Robert Noble,1,african american|family relationships|stand up comedian|stand up comedy,14,English,USA,R,3000000,26,1.85
Kevin Smith,102,387,Haley Joel Osment,40000,1821983,Johnny Depp,Tusk ,43810,Michael Parks,0,canada|human becoming an animal|mad scientist|part of trilogy|walrus,261,English,USA,R,3000000,3000,2.35
Chan-wook Park,120,38,Ji-tae Yu,717,2181290,Min-sik Choi,Oldboy ,852,Hye-jeong Kang,0,brother sister relationship|hypnosis|imprisonment|love|revenge,809,Korean,South Korea,R,3000000,78,2.35
David Nixon,110,221,Michael Bolten,439,2848578,Robyn Lively,Letters to God ,1567,Christopher Schmidt,0,cancer|faith|hope|letter|prayer,65,English,USA,PG,3500000,399,1.78
Jason Eisener,86,104,Robb Wells,694,703002,Gregory Smith,Hobo with a Shotgun ,1249,Molly Dunsworth,4,hobo|pedophile|rampage|shotgun|vigilante,230,English,Canada,Not Rated,3000000,324,2.35
Enrique Begne,101,165,Héctor Jiménez,574,3105269,Kevin Pollak,Compadres ,1335,Erick Elias,2,,8,English,Mexico,R,3000000,327,
Matthew Bright,102,221,Dan Hedaya,904,,Bokeem Woodbine,Freeway ,1663,Robert Peters,1,freeway|nightmare|police|school|trailer park,196,English,USA,R,3000000,281,1.85
Michael Landon Jr.,87,331,Kevin Gage,702,252726,William Morgan Sheppard,Love's Abiding Joy ,2715,Brianna Brown,0,19th century|faith|mayor|ranch|sheriff,18,,USA,PG,3000000,366,
Andrea Arnold,123,168,Harry Treadaway,13000,373060,Michael Fassbender,Fish Tank ,13636,Jason Maza,0,15 year old|dancing|essex|little sister|suburb,112,English,UK,Not Rated,,260,1.33
Whit Stillman,99,322,Megalyn Echikunwoke,962,1007535,Greta Gerwig,Damsels in Distress ,2452,Zach Woods,5,college|college campus|dance craze|depression|fraternity,54,English,USA,PG-13,,476,1.85
,173,476,Colm Feore,723,,Craig T. Nelson,Creature             ,3149,Megalyn Echikunwoke,3,author cameo|family relationships|island|monster|two part tv movie,33,English,USA,,,539,1.78
Leslye Headland,87,416,Adam Scott,4000,418268,Kirsten Dunst,Bachelorette ,8353,Andrew Rannells,3,bachelorette party|drug use|high school|overdose|wedding dress,129,English,USA,R,3000000,3000,2.35
,44,246,Megan Hilty,786,,Danny Pino,BrainDead             ,1551,Zach Grenier,0,brains|exploding head|politician|swarm behavior|washington d.c.,28,English,USA,,,341,16.0
Bobby Roth,120,249,Aaron Ashmore,912,,Virginia Madsen,Brave New Girl ,2330,Lindsey Haun,2,based on a book|based on a novel|made for tv movie|music school|support,27,English,USA,PG-13,,750,
Tim Heidecker,93,197,William Atherton,536,200803,Michael Gross,Tim and Eric's Billion Dollar Movie ,1467,Bob Ross,3,film in film|man with glasses|reference to steven spielberg|self referential|shopping mall,71,English,USA,R,3000000,317,1.78
Rupert Wyatt,111,81,Cjon Saulsberry,3000,33631221,George Kennedy,The Gambler ,3784,Griffin Cleveland,1,dog|gambler|gambling|gangster|professor,145,English,USA,R,25000000,571,2.35
,60,23,Amanda Mealing,40,,Susan Hampshire,The Grand             ,158,Tim Healy,0,concierge|front desk|hotel|maid|prostitute,20,English,UK,,,37,1.33
Marco Kreuzpaintner,98,17,Kostja Ullmann,289,95016,Alicja Bachleda,Summer Storm ,362,Robert Stadlober,0,friend|friendship|rowing|storm|summer camp,56,German,Germany,R,2700000,38,1.85
Kate Connor,100,847,Eric Stoltz,1000,73678,Johnny Pacar,Fort McCoy ,4374,Brendan Fehr,1,,8,English,USA,R,3000000,902,
Deon Taylor,88,236,Betsy Russell,487,143000,Matt Cohen,Chain Letter ,1495,Noah Segan,0,blood splatter|chain|murder|mysterious killer|warning,48,English,USA,R,5000000,298,2.35
Jason Alexander,97,56,Patti LuPone,599,39852,Gretchen Mol,Just Looking ,1030,Peter Onorati,1,1955 chevrolet|nurse|peeping tom|reference to brooklyn dodgers|spying,25,English,USA,R,3000000,325,1.85
Xavier Gens,122,605,Lauren German,2000,22000,Michael Biehn,The Divide ,4920,Rosanna Arquette,4,doggystyle sex|rough sex|sodomy|torture|violent sex,226,English,Germany,R,3000000,683,2.35
Conor McPherson,86,77,Iben Hjejle,767,128937,Aidan Quinn,The Eclipse ,975,Jim Norton,0,ghost|irish|kissing|novelist|widower,31,English,Ireland,R,,122,1.85
Will Canon,83,617,Scott Mechlowicz,798,,Frank Grillo,Demonic ,4756,Aaron Yoo,1,death|detective|house|missing|supernatural,39,English,USA,R,3000000,634,
Philip Zlotorynski,80,19,Darren Keefe Reiher,231,,Neil Hopkins,My Big Fat Independent Movie ,313,David Douglas,1,independent film|spoof,24,English,USA,R,3000000,27,1.78
Tim Burton,108,11000,Alan Rickman,40000,334185206,Johnny Depp,Alice in Wonderland ,79957,Anne Hathaway,0,alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion,736,English,USA,PG,200000000,25000,1.85
Lance Kawas,90,452,Michael Rapaport,1000,,Taylor Negron,The Deported ,3882,Talia Shire,1,actor|italian american|mexico|orphan|usa,1,English,USA,PG-13,3000000,975,1.85
Francesca Gregorini,96,357,Amy Sedaris,433,5005,Tom Everett Scott,Tanner Hall ,1929,Chris Kattan,2,boarding school|coming of age|female friendship|lesbian|new england,14,English,USA,R,3000000,396,
Marcio Garcia,85,47,Kristi Clainos,652,,John Savage,Open Road ,844,Emily Nelson,3,dealer|drugs|killer|police,9,English,Brazil,,3000000,124,2.35
David Wain,83,975,Amy Poehler,3000,,Christopher Meloni,They Came Together ,7191,Jack McBrayer,2,halloween party|new york city|racism|romcom|spoof,85,English,USA,R,,1000,1.85
Craig Moss,80,73,Ashley Martin,319,,French Stewart,30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo ,845,Olivia Alexander,0,exorcism|female nudity|haunted house|lesbian kiss|masturbation,13,English,USA,R,3000000,302,1.85
Michael Jai White,90,454,Alex Meraz,2000,,Michael Jai White,Never Back Down 2: The Beatdown ,3666,Jillian Murray,3,bad cop|college|second part|sequel|wrestler,30,English,USA,R,3000000,606,1.85
John Boorman,92,480,Angie Dickinson,756,,Lee Marvin,Point Blank ,2715,Carroll O'Connor,0,criminal|gangster|money|revenge|violence,128,English,USA,Approved,3000000,754,2.35
Paolo Monico,100,382,Sarah Rafferty,1000,,Stephanie Szostak,Four Single Fathers ,2890,Salvatore Santone,0,number in title|single father,1,Italian,Italy,,3000000,810,
Youssef Delara,88,471,David Bianchi,2000,,Noel Gugliemi,Enter the Dangerous Mind ,4469,Jason Priestley,0,dubstep|tied feet,9,English,USA,,800000,715,2.35
Darin Scott,95,375,Shantel VanSanten,1000,,Julian Morris,Something Wicked ,3024,John Robinson,2,eugene oregon|independent film|obsession,15,English,USA,R,3000000,747,
Christian Sesma,82,648,Brooke Newton,904,,Bokeem Woodbine,AWOL-72 ,4092,Brett Wagner,4,police officer|police officer taken hostage,8,English,USA,R,3000000,779,
Monte Hellman,97,37,Jack Taylor,201,,Everett McGill,Iguana ,277,Fabio Testi,1,19th century|based on novel|disfigurement|harpooner|independent film,9,English,Italy,,3000000,39,1.85
Kenneth Branagh,105,502,Derek Jacobi,2000,201148159,Hayley Atwell,Cinderella ,4671,Lily James,1,dress|duke|fairy godmother|fairy tale|pumpkin,323,English,USA,PG,95000000,520,2.35
Brian Caunter,94,356,Stacy Keach,854,,Mike Starr,Chicago Overcoat ,1989,Frank Vincent,3,detective|killer|police|shootout|thong,14,English,USA,R,3000000,602,1.78
Chris D'Arienzo,95,463,Cybill Shepherd,2000,,Judy Greer,Barry Munday ,3648,Shea Whigham,2,doctor|letter|paternity|sex|testicles,20,English,USA,R,,536,1.85
Walter Salles,113,11,Matheus Nachtergaele,119,5595428,Fernanda Montenegro,Central Station ,167,Othon Bastos,0,brazil|letter|rio de janeiro brazil|sertao|teacher,257,Portuguese,Brazil,R,2900000,14,2.35
Frank Capra,136,248,Glenn Ford,931,,Ann-Margret,Pocketful of Miracles ,2167,Thomas Mitchell,2,1930s|apple|dude|luck|new york city,40,English,USA,Approved,2900000,416,2.35
Isaac Florentine,80,214,Nick Chinlund,640,,Anthony L. Fernandez,Close Range ,1517,Scott Evans,1,corrupt sheriff|drug cartel|flash drive|niece|sheriff,31,English,USA,,3000000,277,
Susan Seidelman,105,183,Michael Nouri,267,3123749,Dyan Cannon,Boynton Beach Club ,1231,Brenda Vaccaro,8,title spoken by character,27,English,USA,R,1500000,225,1.85
Michael Polish,90,21,Patrick Bauchau,216,,Olivia Rose Keegan,Amnesiac ,423,Mia Barron,0,child in peril|electroshock therapy|memory|memory loss|teenage girl,15,English,USA,,3000000,158,
Heidi Ewing,93,394,James Ransone,875,100675,Greg Crowe,Freakonomics ,2305,Tempestt Bledsoe,0,cheating|economics|experiment|human nature|sumo wrestling,23,English,USA,PG-13,3000000,412,
Richard Donner,107,108,Patrick Troughton,264,,Lee Remick,The Omen ,673,Billie Whitelaw,2,ambassador|death|hospital|priest|stillborn child,310,English,UK,R,2800000,139,2.35
Alexandre Aja,89,142,Maïwenn,447,3645438,Cécile De France,High Tension ,923,Oana Pellea,1,car chase|plot twist|police van|rear ending a car|slasher,539,French,France,Unrated,2200000,236,2.35
Leon Ford,90,39,Patrick Brammall,130,,Maeve Dermody,Griff the Invisible ,362,Kelly Paterniti,1,alter ego|awkwardness|office|scientist|superhero,32,English,Australia,PG-13,,96,1.85
Hank Braxtan,89,29,Gregory Cruz,679,,Q'orianka Kilcher,Unnatural ,964,Allegra Carpenter,0,alaska|climate change|global|polar bear|scientific,17,English,USA,R,3000000,234,2.35
Craig Brewer,116,165,Paula Jai Parker,275,22201636,Isaac Hayes,Hustle & Flow ,727,Elise Neal,1,baby|friend|hip hop|pimp|stripper,206,English,USA,R,8000000,247,1.85
Billy Wilder,120,102,Joe E. Brown,105,25000000,Nehemiah Persoff,Some Like It Hot ,527,George Raft,2,all girl band|band|cross dressing|musician|yacht,350,English,USA,Not Rated,2883848,103,1.66
John Carl Buechler,88,181,Terry Kiser,935,19170001,Kane Hodder,Friday the 13th Part VII: The New Blood ,1855,William Butler,0,death|jason voorhees|massacre|slaughter|telekinesis,270,English,USA,R,2800000,448,1.85
Victor Fleming,102,357,Terry,695,22202612,Margaret Hamilton,The Wizard of Oz ,2509,Billie Burke,3,evil witch|tornado|witch|wizard|wizard of oz,533,English,USA,Passed,2800000,421,1.37
Mel Brooks,106,481,Peter Boyle,1000,86300000,Madeline Kahn,Young Frankenstein ,2703,Teri Garr,0,assistant|castle|experiment|frankenstein's monster|scientist,315,English,USA,PG,2800000,595,1.85
George A. Romero,95,192,Shawn Roberts,569,952620,Megan Park,Diary of the Dead ,1797,Joe Dinicol,0,barn|film student|hospital|mummy|video camera,332,English,USA,R,2000000,529,1.85
Rajkumar Hirani,144,327,Sanjay Dutt,464,,Vidya Balan,Lage Raho Munna Bhai ,1761,Jimmy Shergill,0,love|professor of history|radio|satyagraha|unscrupulous builder,106,Hindi,India,PG-13,120000000,426,2.35
Victor Nunez,113,42,Patricia Richardson,402,9054736,Peter Fonda,Ulee's Gold ,787,Vanessa Zima,1,beekeeper|bound and gagged|dysfunctional family|man with glasses|tied to a chair,57,English,USA,R,2700000,222,1.66
Carroll Ballard,118,48,Kelly Reno,481,,Teri Garr,The Black Stallion ,681,Hoyt Axton,0,black horse|boy horse relationship|horse|rescued by a horse|training,90,English,USA,G,2700000,81,1.85
Rohit Jugraj,141,32,Neeru Bajwa,258,,Bhavkhandan Singh Rakhra,Sardaar Ji ,434,Diljit Dosanjh,2,,8,Panjabi,Canada,,3000000,85,
Thorbjørn Christoffersen,90,13,Frank Hvam,122,,Iben Hjejle,Journey to Saturn ,197,Casper Christensen,0,crew|cult film|denmark|earth|wristwatch,6,Danish,Denmark,Not Rated,,33,1.85
John Ford,109,359,Cesar Romero,756,,Lee Marvin,Donovan's Reef ,1949,Jack Warden,1,falling into water|medical doctor|priest|roof leak|swimming in the ocean,65,English,USA,Not Rated,2686585,370,1.85
Alex van Warmerdam,95,2,Ariane Schluter,20,,Rijk de Gooyer,The Dress ,25,Henri Garcin,0,bare breasts|bra|panties|topless female nudity|underwear,5,Dutch,Netherlands,,2650000,3,1.85
Victor Fleming,122,315,Esther Williams,760,,Spencer Tracy,A Guy Named Joe ,2555,Irene Dunne,0,heaven|pilot|teacher|training|world war two,27,English,USA,Passed,2627000,675,1.37
Mel Brooks,93,628,David Huddleston,1000,119500000,Madeline Kahn,Blazing Saddles ,4701,Harvey Korman,0,railroad|reference to douglas fairbanks|reference to jesse owens|reference to randolph scott|year 1874,363,English,USA,R,2600000,1000,2.35
Joseph Zito,97,74,Tom Everett,158,32600000,Judie Aronson,Friday the 13th: The Final Chapter ,467,Kimberly Beck,0,friday the thirteenth|hockey mask|jason voorhees|morgue|slasher,326,English,USA,R,1800000,84,1.85
Pawel Pawlikowski,82,46,Agata Trzebuchowska,88,3826455,Joanna Kulig,Ida ,205,Agata Kulesza,1,convent|jew|jewish|nun|poland,123,Polish,Poland,PG-13,,64,1.33
James Ivory,140,239,Denholm Elliott,443,3130592,Rupert Graves,Maurice ,1269,Simon Callow,1,homosexuality|love|male full frontal nudity|male rear nudity|one word title,69,English,UK,R,2600000,249,1.66
Frank Sebastiano,86,327,Laurie Metcalf,833,475000,Joe Lo Truglio,Beer League ,2753,Seymour Cassel,2,baseball|baseball movie|beer|slacker|softball,53,English,USA,R,2800000,549,
Rand Ravich,109,1000,Charlize Theron,40000,10654581,Johnny Depp,The Astronaut's Wife ,52621,Clea DuVall,0,astronaut|electrocuted in bathtub|mission|pilot|sister,260,English,USA,R,34000000,9000,1.85
Stacy Peralta,105,28,Gabrielle Reece,52,2276368,Gerry Lopez,Riding Giants ,179,Laird John Hamilton,1,beach|surfing|surfing contest|two word title|wave,37,English,USA,PG-13,,52,
Nacho Vigalondo,66,36,Nacho Vigalondo,123,38108,Karra Elejalde,Timecrimes ,239,Bárbara Goenaga,0,binoculars|hitchcockian|scissors|time machine|woods,124,Spanish,Spain,R,2600000,76,1.85
Hao Ning,99,4,Bo Huang,11,,Jack Kao,Silver Medallist ,19,Zheng Xu,1,color in title,4,Mandarin,China,,15000000,4,2.35
Tony Giglio,100,209,Nick Searcy,331,,Brianna Brown,Timber Falls ,1082,Beth Broderick,1,hiking|voyeur|voyeurism|west virginia|woods,47,English,USA,R,2600000,272,1.85
Stanley Donen,103,390,Debbie Reynolds,804,,Rita Moreno,Singin' in the Rain ,2510,Cyd Charisse,0,actress|chorus girl|fan|friend|love,568,English,USA,Approved,2540800,786,1.37
Joe Cross,97,0,Joel Fuhrman,65,,Joe Cross,Fat, Sick & Nearly Dead ,67,Amy Badberg,2,fat|food|health|juice|obese,25,English,Australia,,2500000,2,
Michael Tiddes,86,555,Alanna Ubach,713,40041683,Essence Atkins,A Haunted House ,3421,J.B. Smoove,6,hamburger|parody|priest|psychic|woman in a bikini,107,English,USA,R,2500000,584,1.85
Dinesh D'Souza,87,67,Zackary Steven Graham,871,33349949,Barack Obama,2016: Obama's America ,1111,Dinesh D'Souza,0,critically bashed|partisan commentary|political propoganda|punctuation in title|reenactment,199,English,USA,PG,2500000,118,1.85
Rob Zombie,119,593,Tyler Mane,908,33386128,Scout Taylor-Compton,Halloween II ,3226,Margot Kidder,0,halloween|hospital|michael myers|rampage|vomiting,491,English,USA,R,15000000,764,1.85
Tom Hanks,149,982,Charlize Theron,15000,25809813,Tom Hanks,That Thing You Do! ,28713,Ethan Embry,6,band|drummer|jazz|pennsylvania|song,212,English,USA,PG,26000000,9000,1.37
Tommy Lee Wallace,98,67,Dan O'Herlihy,381,14400000,Tom Atkins,Halloween III: Season of the Witch ,684,Nancy Kyes,0,doctor|factory|halloween|holiday horror|stonehenge,532,English,USA,R,2500000,128,2.35
Don Taylor,98,450,M. Emmet Walsh,595,,Roddy McDowall,Escape from the Planet of the Apes ,2373,Sal Mineo,0,ape|fear|future|spacecraft|spaceship,92,English,USA,G,2500000,521,2.35
Martin Ritt,112,124,Melvyn Douglas,617,,Patricia Neal,Hud ,1141,Whit Bissell,0,alcoholism|forename as title|rancher|rodeo cowboy|texas,120,English,USA,Approved,2500000,189,2.35
Leslie Small,75,36,La'Princess Jackson,1000,32230907,David Jason Perez,Kevin Hart: Let Me Explain ,1385,Dana Hanna,0,lying|montreal|reference to twitter|reference to youtube|toronto,30,English,USA,R,2500000,309,1.85
Gus Van Sant,104,535,Udo Kier,18000,6401336,Keanu Reeves,My Own Private Idaho ,19923,Flea,2,friend|hustler|italy|narcolepsy|traveling,153,English,USA,R,2500000,595,1.78
Zach Braff,102,294,Michael Weston,625,26781723,Armando Riesco,Garden State ,1655,Jill Flint,3,actor|doctor|drugs|home|pain,978,English,USA,R,2500000,379,2.35
Richard Linklater,105,4,Hans Weingartner,15,5400000,Hanno Pöschl,Before Sunrise ,36,Dominik Castell,1,american|conversations|kiss|love|train,395,English,USA,R,2500000,12,1.85
Éric Tessier,99,6,Michel Côté,50,,Patrick Huard,Sur le seuil ,79,Jean Pierre Bergeron,0,canadian gothic|hospital|murder|paranormal|supernatural,5,French,Canada,,3200000,16,1.85
Alison Maclean,107,442,Samantha Morton,745,1282084,Billy Crudup,Jesus' Son ,2125,Mark Webber,1,hospital|love|mennonite|shower|song,87,English,USA,R,2500000,631,2.35
Alice Wu,96,209,Ato Essandoh,643,1186323,Joan Chen,Saving Face ,1396,Jessica Hecht,0,chinese|chinese american|lesbian love|mother daughter relationship|surgeon,84,English,USA,R,,265,1.85
Sarah Gavron,101,40,Christopher Simpson,56,1094998,Satish Kaushik,Brick Lane ,150,Tannishtha Chatterjee,1,arranged marriage|bangladesh|buckingham palace|september 11 2001|title directed by female,29,English,UK,PG-13,,41,2.35
Jake Schreier,89,215,Joshua Ormond,902,3325638,Frank Langella,Robot & Frank ,1980,Ana Gasteyer,3,burglary|dementia|near future|robot|thief,84,English,USA,PG-13,2500000,291,2.35
Isabel Coixet,106,471,Julian Richings,900,395592,Sarah Polley,My Life Without Me ,2972,Amanda Plummer,1,cancer|death|doctor|drinking|love,134,English,Spain,R,2000000,648,1.85
James Ponsoldt,95,478,Jennifer Jason Leigh,8000,6851969,Shailene Woodley,The Spectacular Now ,10040,Dayo Okeniyi,1,crying man|high school|high school senior|men's clothing store|party,178,English,USA,R,2500000,1000,2.35
Randall Miller,34,362,Elden Henson,882,333658,William Hurt,Marilyn Hotchkiss' Ballroom Dancing and Charm School ,1967,Michael Bower,0,student film|wonder years,2,English,USA,,34000,577,
Larry Charles,101,0,Tal Bachman,334,12995673,Bill Maher,Religulous ,338,Steve Burg,1,catholic|christian|jew|muslim|religion,345,English,USA,R,2500000,4,1.78
Joshua Tickell,112,125,Sheryl Crow,860,173783,Larry David,Fuel ,1252,George W. Bush,0,alternative energy|energy|fuel|green|oil,34,English,USA,Not Rated,2500000,130,1.85
Tim Boxell,100,107,Diana Scarwid,655,118666,Bruce McGill,Valley of the Heart's Delight ,1064,Tom Bower,7,,3,English,USA,,2500000,157,1.85
Rawson Marshall Thurber,92,936,Stephen Root,989,114324072,Gary Cole,Dodgeball: A True Underdog Story ,4730,Joel David Moore,0,dodgeball|gym|las vegas|pirate|ups,392,English,USA,PG-13,20000000,939,2.35
Michael D. Sellers,100,249,Carly Schroeder,640,71904,Katharine Ross,Eye of the Dolphin ,1491,George Harris,1,dolphin|island|research|tourist|town,18,English,USA,PG-13,2500000,261,1.85
Reed Cowan,80,5,Emily Pearson,191,99851,Dustin Lance Black,8: The Mormon Proposition ,210,Gavin Newsom,0,church|marriage|mormon|mormon church|proposition,30,English,USA,R,2500000,12,1.78
James Dodson,106,315,Anupam Kher,611,115504,Larry Miller,The Other End of the Line ,1739,Shriya Saran,2,birthday|call center|fiance|hotel|indian,26,English,UK,PG-13,14000000,397,2.35
Stefan Ruzowitzky,103,10,Rüdiger Vogler,127,5725,Benno Fürmann,Anatomy ,163,Sebastian Blomberg,0,dissection|male pubic hair|medical school|medical student|train,110,German,Germany,R,8400000,10,2.35
Alex Rivera,90,35,Jacob Vargas,426,75727,Leonor Varela,Sleep Dealer ,862,Tenoch Huerta,0,computer|future|mexican immigrant|network|wilhelm scream,40,Spanish,USA,PG-13,2500000,399,1.85
James Gunn,96,370,Rainn Wilson,2000,322157,Linda Cardellini,Super ,4590,Paul T. Taylor,0,drug dealer|superhero|tragedy|tragic hero|tragic love,203,English,USA,R,2500000,973,1.85
John Murlowski,89,555,Piper Mackenzie Harris,794,,Ashley Scott,Christmas Mail ,2579,Lochlyn Munro,2,boss|holiday|letter|north pole|santa,7,English,USA,TV-PG,2500000,607,
Benni Diez,87,577,Cecilia Pillado,968,,Clifton Collins Jr.,Stung ,3157,David Masterson,0,catering|monster|one word title|party|wasp,23,English,Germany,Not Rated,2500000,625,2.35
Danny Perez,94,442,Emmanuel Kabongo,1000,,Natasha Lyonne,Antibirth ,2406,Mark Webber,1,,2,English,USA,,3500000,677,
Spike Lee,120,702,Harry Lennix,1000,5731103,Bernie Mac,Get on the Bus ,5963,Andre Braugher,10,actor|bus|march|million man march|religion,35,English,USA,R,2400000,748,1.85
