director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,actor_3_name,facenumber_in_poster,budget,actor_2_facebook_likes,movie_facebook_likes
Taylor Hackford,224,118,138,26000,17609982,Action|Crime|Romance|Thriller,Jason Statham,Parker ,Wendell Pierce,0,35000000,968,17000
Richard Loncraine,129,98,12,4000,16831505,Comedy|Romance|Sport,Kirsten Dunst,Wimbledon ,Austin Nichols,1,31000000,4000,0
Roger Kumble,101,92,16,3000,17596256,Comedy|Family,Brendan Fraser,Furry Vengeance ,Matt Prokop,1,35000000,1000,0
Kimble Rendall,145,93,0,465,,Action|Horror|Sci-Fi,Alex Russell,Bait ,Richard Brancatisano,1,30000000,351,0
Peter Yates,57,116,170,14000,,Action|Adventure|Fantasy,Liam Neeson,Krull ,Lysette Anthony,1,27000000,192,0
Robert Redford,227,92,0,11000,14998070,Drama|Thriller|War,Meryl Streep,Lions for Lambs ,Andrew Garfield,3,35000000,10000,0
John Milius,13,115,468,605,14587732,Action|Drama|Thriller|War,Rosanna Arquette,Flight of the Intruder ,Christopher Rich,3,35000000,367,452
Jake Kasdan,171,120,52,553,18317151,Comedy|Music,Tim Meadows,Walk Hard: The Dewey Cox Story ,Matt Price,1,35000000,214,0
Lasse Hallström,119,111,529,18000,11405825,Drama,Kevin Spacey,The Shipping News ,Jason Behr,3,35000000,826,0
Les Mayfield,44,94,10,694,13264986,Action|Western,Gregory Smith,American Outlaws ,Harris Yulin,2,35000000,605,433
Jean-Marc Vallée,188,100,212,2000,10991381,Biography|Drama|History|Romance,Michiel Huisman,The Young Victoria ,Thomas Kretschmann,1,35000000,1000,0
Dominic Sena,166,101,57,1000,10268846,Action|Crime|Mystery|Thriller,Tom Skerritt,Whiteout ,Shawn Doyle,1,35000000,603,0
Terrence Malick,584,139,0,11000,13303319,Drama|Fantasy,Brad Pitt,The Tree of Life ,Fiona Shaw,0,32000000,1000,39000
Hark Tsui,67,91,85,635,10076136,Action|Comedy|Thriller,Paul Sorvino,Knock Off ,Ray Nicholas,0,35000000,316,471
David Ayer,233,109,453,1000,10499968,Action|Crime|Drama|Thriller,Mireille Enos,Sabotage ,Maurice Compte,3,35000000,206,10000
Brian Helgeland,112,102,241,13000,7659747,Action|Mystery|Thriller,Heath Ledger,The Order ,Benno Fürmann,1,38000000,891,704
Lexi Alexander,151,103,189,3000,7948159,Action|Crime|Drama|Thriller,Julie Benz,Punisher: War Zone ,Colin Salmon,1,35000000,967,0
Peter Hewitt,63,83,12,2000,11631245,Action|Adventure|Family|Sci-Fi,Kevin Zegers,Zoom ,Thomas F. Wilson,5,35000000,826,494
Robert Zemeckis,335,123,0,23000,10137502,Adventure|Biography|Drama|Thriller,Joseph Gordon-Levitt,The Walk ,Jade Kindar-Martin,0,35000000,22,24000
Ronny Yu,24,101,31,690,6448817,Action|Adventure|Fantasy,Marley Shelton,Warriors of Virtue ,Angus Macfadyen,0,35000000,457,0
Ridley Scott,147,117,0,883,7458269,Comedy|Drama|Romance,Archie Panjabi,A Good Year ,Richard Coyle,1,35000000,883,9000
,51,60,,2000,,Crime|Drama|Mystery|Thriller,Ruth Wilson,Luther             ,Warren Brown,1,,729,20000
Richard Donner,10,114,503,2000,4651977,Drama,Adam Baldwin,Radio Flyer ,John Heard,3,35000000,864,892
Taylor Hackford,12,330,138,848,4496583,Crime|Drama,Delroy Lindo,"Blood In, Blood Out ",Raymond Cruz,2,35000000,674,6000
Bille August,50,121,55,1000,2221994,Action|Drama|Sci-Fi|Thriller,Jim Broadbent,Smilla's Sense of Snow ,Julia Ormond,1,35000000,1000,561
Brian De Palma,149,114,0,548,6592103,Crime|Drama|Mystery|Thriller,Peter Coyote,Femme Fatale ,Rie Rasmussen,1,35000000,298,675
Moustapha Akkad,24,156,278,695,,Biography|Drama|History|War,Oliver Reed,Lion of the Desert ,John Gielgud,0,35000000,279,0
Jean-Paul Rappeneau,28,135,22,837,1877179,Adventure|Drama|Romance|War,Olivier Martinez,The Horseman on the Roof ,Isabelle Carré,1,,541,262
Ang Lee,95,148,0,3,630779,Drama|Romance|War|Western,Jeremy W. Auman,Ride with the Devil ,Tobey Maguire,0,35000000,2,633
Alejandro G. Iñárritu,288,148,0,30,5100937,Drama,Maricel Álvarez,Biutiful ,Eduard Fernández,0,,9,29000
Roland Joffé,10,109,596,621,,Action|Adventure|Romance|Sci-Fi,Tamsin Egerton,The Lovers ,Bipasha Basu,3,,525,677
Joachim Rønning,58,93,18,4000,,Action|Comedy|Crime|Western,Salma Hayek,Bandidas ,Dwight Yoakam,2,32000000,820,0
Tony Kaye,,,194,970,,Crime|Drama,Bill Cobbs,Black Water Transit ,Beverly D'Angelo,0,23000000,856,26
Wes Ball,297,113,47,988,102413606,Action|Mystery|Sci-Fi|Thriller,Ki Hong Lee,The Maze Runner ,Jacob Latimore,0,34000000,149,38000
Ken Scott,90,91,31,1000,10214013,Comedy,Tom Wilkinson,Unfinished Business ,Melissa McMeekin,2,35000000,249,0
Martin Scorsese,56,139,17000,554,32000000,Drama|Romance,Richard E. Grant,The Age of Innocence ,Stuart Wilson,3,30000000,382,0
Darren Aronofsky,274,96,0,20000,10139254,Drama|Sci-Fi,Hugh Jackman,The Fountain ,Mark Margolis,0,35000000,1000,23000
Hugh Johnson,68,102,3,372,11227940,Action|Adventure|Comedy|Drama|Thriller,David Paymer,Chill Factor ,Hudson Leick,0,34000000,248,120
Simon West,98,96,165,12000,183125,Action|Crime|Drama|Thriller,Nicolas Cage,Stolen ,Sami Gayle,1,35000000,774,0
Hayao Miyazaki,256,101,6000,6,15081783,Adventure|Animation|Family|Fantasy,Rumi Hiiragi,Ponyo ,Yuria Nara,0,34000000,3,0
George Tillman Jr.,117,128,88,989,37432299,Drama|Romance,Tiago Riani,The Longest Ride ,Hayley Lovitt,0,34000000,970,23000
Rand Ravich,107,109,7,40000,10654581,Drama|Sci-Fi|Thriller,Johnny Depp,The Astronaut's Wife ,Clea DuVall,0,34000000,9000,1000
Hugh Hudson,52,114,46,818,6543194,Adventure|Drama|Romance,Liam Aiken,I Dreamed of Africa ,Vincent Perez,1,34000000,649,314
