director_name,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,gross,genres,actor_1_name,actor_3_name,plot_keywords,movie_imdb_link,num_user_for_reviews,language,content_rating,title_year,imdb_score,movie_facebook_likes
Ivan Reitman,116,425,204,Debra Winger,49851591,Comedy|Crime|Romance,Brian Dennehy,Roscoe Lee Browne,judicial|judiciary|lawyer|murder|painting,http://www.imdb.com/title/tt0091396/?ref_=fn_tt_tt_1,34,English,PG,1986,5.9,263
David Koepp,96,192,501,Charles S. Dutton,47781388,Mystery|Thriller,Johnny Depp,Timothy Hutton,adultery|extramarital affair|infidelity|unfaithfulness|writer,http://www.imdb.com/title/tt0363988/?ref_=fn_tt_tt_1,531,English,PG-13,2004,6.6,0
Alejandro Agresti,99,18,211,Dylan Walsh,52320979,Drama|Fantasy|Romance,Keanu Reeves,Ebon Moss-Bachrach,house|lake|letter|love across time|parallel time,http://www.imdb.com/title/tt0410297/?ref_=fn_tt_tt_1,548,English,PG,2006,6.8,0
Iain Softley,104,34,280,Deneen Tyler,47806295,Horror|Mystery|Thriller,Gena Rowlands,Joy Bryant,attic|bound and gagged|hoodoo|secret|southern gothic,http://www.imdb.com/title/tt0397101/?ref_=fn_tt_tt_1,371,English,PG-13,2005,6.5,0
Peter Hedges,105,54,988,Odeya Rush,51853450,Comedy|Drama|Family|Fantasy,Jennifer Garner,Common,dodgeball|portrait|soccer|soccer game|young love,http://www.imdb.com/title/tt1462769/?ref_=fn_tt_tt_1,110,English,PG,2012,6.6,11000
Paul Weiland,101,10,681,Beau Garrett,46012734,Comedy|Romance,Busy Philipps,Kevin Sussman,friend|love|maid|maid of honor|marriage,http://www.imdb.com/title/tt0866439/?ref_=fn_tt_tt_1,101,English,PG-13,2008,5.8,3000
Clint Eastwood,134,16000,235,Steve Schirripa,47034272,Biography|Drama|Music|Musical,Johnny Cannizzaro,Scott Vance,band|music group|musical quartet|singer|song,http://www.imdb.com/title/tt1742044/?ref_=fn_tt_tt_1,190,English,R,2014,6.9,16000
Francis Ford Coppola,135,0,913,Dean Stockwell,45856732,Crime|Drama|Thriller,Matt Damon,Virginia Madsen,courtroom|domestic violence|insurance company|lawyer|underdog,http://www.imdb.com/title/tt0119978/?ref_=fn_tt_tt_1,141,English,PG-13,1997,7.1,0
Mathieu Kassovitz,98,326,416,Charles S. Dutton,59588068,Horror|Mystery|Thriller,Robert Downey Jr.,Bernard Hill,memory|murder|patient|psychiatrist|the devil,http://www.imdb.com/title/tt0348836/?ref_=fn_tt_tt_1,376,English,R,2003,5.8,0
Steven Spielberg,155,14000,11000,Morgan Freeman,44175394,Drama|History,Anthony Hopkins,Matthew McConaughey,courtroom|mutiny|ship|slave ship|slave trade,http://www.imdb.com/title/tt0118607/?ref_=fn_tt_tt_1,227,English,R,1997,7.2,0
John McTiernan,106,323,0,José Wilker,45500797,Adventure|Drama|Romance,Lorraine Bracco,Sean Connery,cancer|environment|gas chromatograph|jungle|nature,http://www.imdb.com/title/tt0104839/?ref_=fn_tt_tt_1,56,English,PG-13,1992,6.0,694
Colin Strause,102,25,473,Johnny Lewis,41797066,Action|Horror|Sci-Fi|Thriller,Sam Trammell,Ian Whyte,alien|escape|hunting|hybrid|predator,http://www.imdb.com/title/tt0758730/?ref_=fn_tt_tt_1,998,English,R,2007,4.7,0
Donald Petrie,95,80,287,John Larroquette,38087756,Comedy|Family,Macaulay Culkin,Jonathan Hyde,attempted murder|based on comic book|escape from prison|lost at sea|wealth,http://www.imdb.com/title/tt0110989/?ref_=fn_tt_tt_1,39,English,PG,1994,5.2,0
Joan Chen,103,643,586,Sam Trammell,37752931,Drama|Romance,J.K. Simmons,Elaine Stritch,may december romance|new york|new york city|rockefeller center|title directed by female,http://www.imdb.com/title/tt0174480/?ref_=fn_tt_tt_1,180,English,PG-13,2000,5.5,0
Marc Lawrence,95,30,664,Scott Porter,50562555,Comedy|Music|Romance,Brad Garrett,Haley Bennett,love|lyricist|singer|singing|song,http://www.imdb.com/title/tt0758766/?ref_=fn_tt_tt_1,291,English,PG-13,2007,6.5,0
Greg Mottola,109,99,57,Nelson Ascencio,37371385,Adventure|Comedy|Sci-Fi,Bobby Lee,Jeremy Owen,alien|geek|nerd|road trip|ufo,http://www.imdb.com/title/tt1092026/?ref_=fn_tt_tt_1,334,English,R,2011,7.0,42000
Anne Fletcher,95,98,78,Tom Virtue,37101011,Comedy|Drama,Miriam Margolyes,Julene Renee,cross country|love|mother son relationship|on the road|trip,http://www.imdb.com/title/tt1694020/?ref_=fn_tt_tt_1,103,English,PG-13,2012,5.8,0
Wes Craven,111,0,687,Aimee Teegarden,38176892,Horror|Mystery,Alison Brie,Shenae Grimes-Beech,author|book|deputy|murder|sheriff,http://www.imdb.com/title/tt1262416/?ref_=fn_tt_tt_1,518,English,R,2011,6.2,26000
Joel Schumacher,123,541,173,Chris Bauer,36283504,Mystery|Thriller,Nicolas Cage,Anthony Heald,investigation|obsession|private eye|private investigator|snuff film,http://www.imdb.com/title/tt0134273/?ref_=fn_tt_tt_1,587,English,R,1999,6.5,0
Oliver Stone,140,0,552,Kevin Dillon,35183792,Biography|Drama|Music|Musical,Michael Wincott,Kathleen Quinlan,death|paris france|rock band|singer|the doors,http://www.imdb.com/title/tt0101761/?ref_=fn_tt_tt_1,209,English,R,1991,7.2,0
Jake Kasdan,94,52,214,Randall Park,38543473,Comedy,James Wilcox,Nat Faxon,sex in a car|sex video|sexual desire|sexuality|undressing,http://www.imdb.com/title/tt1956620/?ref_=fn_tt_tt_1,158,English,R,2014,5.1,0
Diane Keaton,94,0,235,Celia Weston,36037909,Comedy|Drama,Adam Arkin,Jesse James,actress|clown costume|magazine|party planner|soap opera actress,http://www.imdb.com/title/tt0162983/?ref_=fn_tt_tt_1,130,English,PG-13,2000,4.7,390
Steven Quale,92,77,495,Jacqueline MacInnes Wood,42575718,Horror,Emma Bell,Courtney B. Vance,blood splatter|death|eyeball run over by car|latex gloves|suspension bridge,http://www.imdb.com/title/tt1622979/?ref_=fn_tt_tt_1,227,English,R,2011,5.9,20000
Kelly Makin,102,6,584,Burt Young,33864342,Comedy|Crime|Romance,Jeanne Tripplehorn,Vincent Pastore,auctioneer|fbi|mafia|mobster|painting,http://www.imdb.com/title/tt0130121/?ref_=fn_tt_tt_1,117,English,PG-13,1999,5.8,445
Mimi Leder,123,75,754,Haley Joel Osment,33508922,Drama,Kevin Spacey,Angie Dickinson,alcoholism|boy|good deed|protective male|teacher,http://www.imdb.com/title/tt0223897/?ref_=fn_tt_tt_1,660,English,PG-13,2000,7.2,16000
Bobby Farrelly,104,101,223,KaDee Strickland,42071069,Comedy|Drama|Romance|Sport,Jimmy Fallon,Ione Skye,baltimore orioles|boston red sox|promotion|ups|world series,http://www.imdb.com/title/tt0332047/?ref_=fn_tt_tt_1,208,English,PG-13,2005,6.2,0
,30,,12,Melissa Altro,,Animation|Comedy|Family,Bruce Dinsmore,Daniel Brochu,based on children's book|best friend|character name in title|friend|one word title,http://www.imdb.com/title/tt0169414/?ref_=fn_tt_tt_1,43,English,TV-Y,,7.4,301
Steven Brill,102,65,490,Shaun Weiss,32853640,Comedy|Drama,Lisa Ann Walter,Matt Walsh,bodyguard|bully|generation y|high school|nerd,http://www.imdb.com/title/tt0817538/?ref_=fn_tt_tt_1,101,English,PG-13,2008,5.7,702
Seth MacFarlane,136,3000,3000,Charlize Theron,42615685,Comedy|Western,Liam Neeson,Seth MacFarlane,dancing sheep|fetish|musical scene|racial humor|snake poison,http://www.imdb.com/title/tt2557490/?ref_=fn_tt_tt_1,416,English,R,2014,6.1,24000
Russell Mulcahy,93,85,510,Peter Boyle,32055248,Action|Adventure|Crime|Fantasy|Mystery|Thriller,Jonathan Winters,John Kapelos,1930s|bomb|city|invisibility|the shadow,http://www.imdb.com/title/tt0111143/?ref_=fn_tt_tt_1,146,English,PG-13,1994,6.0,0
Stephen Daldry,129,335,64,Thomas Horn,31836745,Adventure|Drama|Mystery,Tom Hanks,Stephen Henderson,fear|mourning|mute|quest|revelation,http://www.imdb.com/title/tt0477302/?ref_=fn_tt_tt_1,341,English,PG-13,2011,6.9,39000
Roger Michell,107,50,58,Patti D'Arbanville,30993544,Comedy|Drama|Romance,Noah Bean,Vanessa Aspillaga,job offer|roller coaster|slow motion action scene|slow motion sequence|television,http://www.imdb.com/title/tt1126618/?ref_=fn_tt_tt_1,156,English,PG-13,2010,6.5,0
Jim Sheridan,117,260,441,Bill Duke,30981850,Biography|Crime|Drama|Music,50 Cent,Marc John Jefferies,male frontal nudity|male pubic hair|prison|pubic hair|violence,http://www.imdb.com/title/tt0430308/?ref_=fn_tt_tt_1,284,English,R,2005,5.0,0
Christian Duguay,116,18,249,Cary-Hiroyuki Tagawa,30199105,Action|Adventure|Crime|Thriller,Michael Biehn,Anne Archer,blood splatter|fbi|murder|secretary general|united nations,http://www.imdb.com/title/tt0160009/?ref_=fn_tt_tt_1,167,English,R,2000,5.7,470
Chris Columbus,135,0,715,David Fine,29077547,Drama|Musical|Romance,Rosario Dawson,Jesse L. Martin,aids|hiv positive|lawyer|new york city|roommate,http://www.imdb.com/title/tt0294870/?ref_=fn_tt_tt_1,754,English,PG-13,2005,7.0,3000
Chuck Russell,107,55,294,Jimmy Smits,29374178,Crime|Drama|Horror|Thriller,Rufus Sewell,Angela Bettis,easter|fbi|luminol|nurse|omen,http://www.imdb.com/title/tt0163983/?ref_=fn_tt_tt_1,188,English,R,2000,5.1,394
Sam Weisman,90,39,210,Valerie Perri,28535768,Comedy,Oliver Hudson,Carlease Burke,job interview|manhattan new york city|new york city|remake|sausage,http://www.imdb.com/title/tt0129280/?ref_=fn_tt_tt_1,105,English,PG-13,1999,5.3,279
John Frankenheimer,99,287,44,Temuera Morrison,27663982,Horror|Sci-Fi|Thriller,Marlon Brando,Marco Hofschneider,animal experimentation|chimera|island|jungle|mutant,http://www.imdb.com/title/tt0116654/?ref_=fn_tt_tt_1,164,English,PG-13,1996,4.4,0
Peter Hyams,104,0,327,Justin Chambers,27053815,Action|Adventure|Romance,Catherine Deneuve,Stephen Rea,guard|king|murder|musketeer|swordsman,http://www.imdb.com/title/tt0246544/?ref_=fn_tt_tt_1,291,English,PG-13,2001,4.7,299
Justin Chadwick,115,56,19000,Scarlett Johansson,26814957,Biography|Drama|History|Romance,Natalie Portman,Benedict Cumberbatch,children|court|king|king henry viii|love,http://www.imdb.com/title/tt0467200/?ref_=fn_tt_tt_1,252,English,PG-13,2008,6.7,0
Pat O'Connor,119,7,903,Charlize Theron,25178165,Drama|Romance,Keanu Reeves,Frank Langella,advertising|cancer|dog|san francisco california|terminal illness,http://www.imdb.com/title/tt0230838/?ref_=fn_tt_tt_1,274,English,PG-13,2001,6.7,8000
Stephen Hopkins,99,81,135,Andrea Frankle,25117498,Horror|Thriller,Stephen Rea,William Ragsdale,biblical plague|louisiana|missionary|plague|small town,http://www.imdb.com/title/tt0444682/?ref_=fn_tt_tt_1,178,English,R,2007,5.7,0
Martin Scorsese,112,17000,354,David Carradine,32645,Crime|Drama|Romance|Thriller,Robert De Niro,David Proval,bar|catholic guilt|epilepsy|italian american|money,http://www.imdb.com/title/tt0070379/?ref_=fn_tt_tt_1,223,English,R,1973,7.4,0
Penny Marshall,128,545,353,Cliff Robertson,24332324,Comedy|Drama,Ed Begley Jr.,Lillo Brancato,army|basic training|reference to shakespeare's hamlet|teacher|u.s. army,http://www.imdb.com/title/tt0110971/?ref_=fn_tt_tt_1,61,English,PG-13,1994,6.1,680
Olivier Megaton,112,118,674,Callum Blue,36665854,Action|Crime|Drama|Thriller,Jordi Mollà,Jesse Borrego,female in a shower|female nudity|premarital sex|sex scene|woman wearing a miniskirt,http://www.imdb.com/title/tt1657507/?ref_=fn_tt_tt_1,203,English,PG-13,2011,6.4,15000
Frederik Du Chau,86,7,795,Jaleel White,22717758,Adventure|Animation|Comedy|Drama|Family|Fantasy|Musical,Gary Oldman,Eric Idle,camelot|dragon|excalibur|knight|sword,http://www.imdb.com/title/tt0120800/?ref_=fn_tt_tt_1,67,English,G,1998,6.2,0
Michael Caton-Jones,108,105,616,James Franco,22433915,Crime|Drama|Mystery|Thriller,Robert De Niro,John Doman,beach|grandson|murder|new york city|police,http://www.imdb.com/title/tt0269095/?ref_=fn_tt_tt_1,166,English,R,2002,6.2,416
Irwin Winkler,128,34,685,Nathan Lane,22326247,Drama|Romance,Mira Sorvino,Steven Weber,based on article|blindness|box office flop|massage therapist|regaining sight,http://www.imdb.com/title/tt0132512/?ref_=fn_tt_tt_1,106,English,PG-13,1999,5.9,0
Joseph Kahn,84,33,1000,Jay Hernandez,21176322,Action|Comedy|Crime,Dane Cook,Christina Milian,murder|on the run|security camera|surveillance footage|timebomb,http://www.imdb.com/title/tt0329691/?ref_=fn_tt_tt_1,207,English,PG-13,2004,4.0,0
Harold Becker,111,17,889,Martin Landau,20300000,Drama|Thriller,Al Pacino,Bridget Fonda,drug dealer|mayor|new york city|probation|scandal,http://www.imdb.com/title/tt0115907/?ref_=fn_tt_tt_1,60,English,R,1996,6.2,309
Paul Verhoeven,131,719,683,Elizabeth Berkley,20302961,Drama,Bobbie Phillips,Robert Davi,cult film|lap dance|lap dancing|stripper|striptease,http://www.imdb.com/title/tt0114436/?ref_=fn_tt_tt_1,450,English,NC-17,1995,4.6,0
Sofia Coppola,123,0,826,Shirley Henderson,15962471,Biography|Drama|History|Romance,Kirsten Dunst,Rip Torn,austria|cake|france|queen|versailles,http://www.imdb.com/title/tt0422720/?ref_=fn_tt_tt_1,619,English,PG-13,2006,6.4,0
Barbet Schroeder,101,58,497,Michael Rapaport,14942422,Action|Crime|Thriller,Nicolas Cage,Philip Baker Hall,beard|female nudity|police brutality|stripper|woman in lingerie,http://www.imdb.com/title/tt0113552/?ref_=fn_tt_tt_1,60,English,R,1995,5.9,555
Stephen Kay,102,19,351,Miranda Richardson,14967182,Action|Crime|Drama|Thriller,Sylvester Stallone,Lauren Lee Smith,affair|car crash|enforcer|funeral|murder,http://www.imdb.com/title/tt0208988/?ref_=fn_tt_tt_1,284,English,R,2000,5.1,604
J.A. Bayona,114,171,284,Geraldine Chaplin,18996755,Drama|Thriller,Naomi Watts,Oaklee Pendergast,christmas|resort|thailand|tourist|tsunami,http://www.imdb.com/title/tt1649419/?ref_=fn_tt_tt_1,322,English,PG-13,2012,7.6,54000
Elaine May,107,124,572,Warren Beatty,14375181,Action|Adventure|Comedy|Music|Thriller,Carol Kane,Isabelle Adjani,cia|emir|hotel|map|morocco,http://www.imdb.com/title/tt0093278/?ref_=fn_tt_tt_1,126,English,PG-13,1987,4.2,754
Wes Anderson,87,0,563,Meryl Streep,20999103,Adventure|Animation|Comedy|Crime|Family,Bill Murray,Helen McCrory,cider|farm|farmer|fox|tale,http://www.imdb.com/title/tt0432283/?ref_=fn_tt_tt_1,245,English,PG,2009,7.8,15000
Stephen Herek,103,65,311,Stockard Channing,14448589,Comedy|Romance,Angelina Jolie Pitt,James Gammon,football|homeless man|interview|psychic|reporter,http://www.imdb.com/title/tt0282687/?ref_=fn_tt_tt_1,128,English,PG-13,2002,5.8,835
John Carpenter,99,0,402,Michael McKean,14358033,Comedy|Romance|Sci-Fi|Thriller,Richard Epcar,Patricia Heaton,accident|bar|chase|cia|laboratory,http://www.imdb.com/title/tt0104850/?ref_=fn_tt_tt_1,66,English,PG-13,1992,5.9,630
Jean-Pierre Jeunet,122,0,54,Jamel Debbouze,33201661,Comedy|Romance,Mathieu Kassovitz,Isabelle Nanty,cheerfulness|female protagonist|garden gnome|magical realism|waitress,http://www.imdb.com/title/tt0211915/?ref_=fn_tt_tt_1,1314,French,R,2001,8.4,39000
Dennie Gordon,91,29,762,Bob Saget,14018364,Comedy|Crime|Family|Romance,Mary-Kate Olsen,Riley Smith,dog|new york city|scholarship|senator|twin,http://www.imdb.com/title/tt0363282/?ref_=fn_tt_tt_1,111,English,PG,2004,4.8,849
Charles Shyer,103,14,624,Nia Long,13395939,Comedy|Drama|Romance,Omar Epps,Jane Krakowski,best friend|commitment|friend|limousine driver|one night stand,http://www.imdb.com/title/tt0375173/?ref_=fn_tt_tt_1,146,English,R,2004,6.2,0
Ken Kwapis,107,42,171,Tim Blake Nelson,20113965,Biography|Drama|Romance,Ted Danson,Andrew Daly,arctic circle|reporter|small town|volunteer|whale,http://www.imdb.com/title/tt1430615/?ref_=fn_tt_tt_1,66,English,PG,2012,6.5,0
Ulu Grosbard,106,22,613,Treat Williams,13376506,Drama,Alexa PenaVega,Jonathan Jackson,basketball|boy|italian|kidnapping a child|reunion,http://www.imdb.com/title/tt0120646/?ref_=fn_tt_tt_1,111,English,PG-13,1999,6.3,579
William Malone,101,37,595,Jeffrey Combs,13208023,Crime|Horror|Thriller,Natascha McElhone,Udo Kier,bondage gear|bound and gagged|hung by one's wrists|tied to a chair|tied to a table,http://www.imdb.com/title/tt0295254/?ref_=fn_tt_tt_1,388,English,R,2002,3.3,612
Paul Weitz,109,80,835,Salma Hayek,13838130,Action|Adventure|Fantasy|Thriller,Josh Hutcherson,Patrick Fugit,antidote|based on young adult novel|flyer|spider|vampire,http://www.imdb.com/title/tt0450405/?ref_=fn_tt_tt_1,157,English,PG-13,2009,5.9,0
Paul McGuigan,110,118,287,Spencer Wilding,5773519,Drama|Horror|Sci-Fi|Thriller,Daniel Radcliffe,Daniel Mays,assistant|experiment|frankenstein|medical student|scientist,http://www.imdb.com/title/tt1976009/?ref_=fn_tt_tt_1,91,English,PG-13,2015,6.0,11000
Danny DeVito,89,0,500,Amber Valletta,9652000,Comedy,Justin Theroux,Harvey Fierstein,christmas|duplex|television|tenant|writer,http://www.imdb.com/title/tt0266489/?ref_=fn_tt_tt_1,147,English,PG-13,2003,5.8,0
Malcolm D. Lee,100,92,706,Sean Hayes,12081447,Comedy|Drama|Music,Bernie Mac,Mike Epps,band|masturbation|reunion|singer|tribute,http://www.imdb.com/title/tt1111948/?ref_=fn_tt_tt_1,25,English,R,2008,6.5,866
Jerry Jameson,119,5,249,Jason Robards,7000000,Action|Adventure|Drama|Thriller,M. Emmet Walsh,Anne Archer,military|mineral|ocean|ship|titanic,http://www.imdb.com/title/tt0081400/?ref_=fn_tt_tt_1,70,English,PG,1980,4.7,328
Mic Rodgers,83,7,485,Daniel von Bargen,10431220,Action|Sci-Fi,Michael Jai White,Xander Berkeley,combat|computer|general|military|reporter,http://www.imdb.com/title/tt0176269/?ref_=fn_tt_tt_1,162,English,R,1999,4.1,401
Christian Alvart,108,22,61,Dennis Quaid,10326062,Action|Horror|Mystery|Sci-Fi|Thriller,Norman Reedus,Eddie Rouse,future|mission|space|spaceship|survival,http://www.imdb.com/title/tt1188729/?ref_=fn_tt_tt_1,310,English,R,2009,6.8,10000
Gary Fleder,102,39,259,Mekhi Phifer,6114237,Drama|Mystery|Sci-Fi|Thriller,Gary Dourdan,Tim Guinee,alien|android|bomb|future|weapon,http://www.imdb.com/title/tt0160399/?ref_=fn_tt_tt_1,207,English,R,2001,6.2,892
Christian Duguay,93,18,443,Bridgette Wilson-Sampras,4835968,Action|Adventure|Thriller,Rufus Sewell,Rupert Graves,commercial|extreme sports|mountain|serbian|terrorist,http://www.imdb.com/title/tt0283160/?ref_=fn_tt_tt_1,82,English,PG-13,2002,4.5,158
Jean-Marie Poiré,84,8,219,Matt Ross,4777007,Comedy|Fantasy|Sci-Fi,Bridgette Wilson-Sampras,John Aylward,alternate history|alternate timeline|flatulence|future time travel|time travel comedy,http://www.imdb.com/title/tt0189192/?ref_=fn_tt_tt_1,98,English,PG-13,2001,5.8,565
