director_name,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,movie_title,num_voted_users,facenumber_in_poster,movie_imdb_link,content_rating,budget,actor_2_facebook_likes
Iain Softley,107,34,472,11000,Hackers ,54650,1,http://www.imdb.com/title/tt0113243/?ref_=fn_tt_tt_1,PG-13,20000000,922
Richard Shepard,101,47,2,499,The Hunting Party ,22010,2,http://www.imdb.com/title/tt0455782/?ref_=fn_tt_tt_1,R,25000000,3
Joel Coen,111,0,385,1000,The Hudsucker Proxy ,65474,2,http://www.imdb.com/title/tt0110074/?ref_=fn_tt_tt_1,PG,30000000,970
Peter Ho-Sun Chan,113,31,483,5000,The Warlords ,22897,2,http://www.imdb.com/title/tt0913968/?ref_=fn_tt_tt_1,R,40000000,755
Sergey Bodrov,112,44,533,1000,Nomad: The Warrior ,3322,0,http://www.imdb.com/title/tt0374089/?ref_=fn_tt_tt_1,R,25000000,580
Joon-ho Bong,126,584,398,11000,Snowpiercer ,181472,5,http://www.imdb.com/title/tt1706620/?ref_=fn_tt_tt_1,R,39200000,557
Bibo Bergeron,90,10,541,1000,A Monster in Paris ,15790,0,http://www.imdb.com/title/tt0961097/?ref_=fn_tt_tt_1,PG,25000000,559
Jeff Nathanson,93,23,596,2000,The Last Shot ,3789,10,http://www.imdb.com/title/tt0357054/?ref_=fn_tt_tt_1,R,,894
Alex Proyas,98,295,380,720,The Crow ,136580,0,http://www.imdb.com/title/tt0109506/?ref_=fn_tt_tt_1,R,23000000,581
S.S. Rajamouli,159,50,72,218,Baahubali: The Beginning ,62756,1,http://www.imdb.com/title/tt2631186/?ref_=fn_tt_tt_1,,18026148,133
Robert Schwentke,107,124,100,152,The Time Traveler's Wife ,114925,1,http://www.imdb.com/title/tt0452694/?ref_=fn_tt_tt_1,PG-13,39000000,142
Michael Lehmann,102,36,433,747,Because I Said So ,32412,1,http://www.imdb.com/title/tt0490084/?ref_=fn_tt_tt_1,PG-13,,452
Rob Cohen,106,357,4000,23000,The Fast and the Furious ,272227,2,http://www.imdb.com/title/tt0232500/?ref_=fn_tt_tt_1,PG-13,38000000,14000
Tim Burton,87,13000,787,940,Frankenweenie ,73886,0,http://www.imdb.com/title/tt1142977/?ref_=fn_tt_tt_1,PG,39000000,925
Joss Whedon,119,0,279,2000,Serenity ,242599,0,http://www.imdb.com/title/tt0379786/?ref_=fn_tt_tt_1,PG-13,40000000,505
Charles S. Dutton,110,534,511,865,Against the Ropes ,5917,2,http://www.imdb.com/title/tt0312329/?ref_=fn_tt_tt_1,PG-13,39000000,534
Richard Lester,125,44,420,593,Superman III ,49934,1,http://www.imdb.com/title/tt0086393/?ref_=fn_tt_tt_1,PG,39000000,542
Peter Segal,113,88,785,22000,Grudge Match ,46480,1,http://www.imdb.com/title/tt1661382/?ref_=fn_tt_tt_1,PG-13,40000000,13000
John Woo,150,610,478,755,Red Cliff ,36894,4,http://www.imdb.com/title/tt0425637/?ref_=fn_tt_tt_1,R,553632000,643
Andy Tennant,108,72,559,982,Sweet Home Alabama ,83786,1,http://www.imdb.com/title/tt0256415/?ref_=fn_tt_tt_1,PG-13,38000000,935
Robert Luketic,96,126,954,18000,The Ugly Truth ,163665,2,http://www.imdb.com/title/tt1142988/?ref_=fn_tt_tt_1,R,38000000,957
Jonathan Lynn,93,36,275,592,Sgt. Bilko ,17810,2,http://www.imdb.com/title/tt0117608/?ref_=fn_tt_tt_1,PG,39000000,516
Robert Rodriguez,100,0,1000,12000,Spy Kids 2: Island of Lost Dreams ,44885,1,http://www.imdb.com/title/tt0287717/?ref_=fn_tt_tt_1,PG,38000000,2000
David Carson,118,18,906,1000,Star Trek: Generations ,60504,0,http://www.imdb.com/title/tt0111280/?ref_=fn_tt_tt_1,PG,35000000,946
Kar-Wai Wong,122,0,7,643,The Grandmaster ,24557,1,http://www.imdb.com/title/tt1462900/?ref_=fn_tt_tt_1,PG-13,38600000,290
Francis Lawrence,120,508,1000,21000,Water for Elephants ,95367,1,http://www.imdb.com/title/tt1067583/?ref_=fn_tt_tt_1,PG-13,38000000,11000
,60,,501,23000,3rd Rock from the Sun             ,38383,4,http://www.imdb.com/title/tt0115082/?ref_=fn_tt_tt_1,TV-PG,,967
Yuefeng Song,88,0,46,76,Dragon Nest: Warriors' Dawn ,2169,0,http://www.imdb.com/title/tt2911342/?ref_=fn_tt_tt_1,,40000000,47
Norman Jewison,146,278,494,18000,The Hurricane ,76016,0,http://www.imdb.com/title/tt0174856/?ref_=fn_tt_tt_1,R,38000000,584
Michael Apted,115,150,789,970,Enough ,30667,1,http://www.imdb.com/title/tt0278435/?ref_=fn_tt_tt_1,PG-13,38000000,919
David Mirkin,123,7,692,931,Heartbreakers ,44168,3,http://www.imdb.com/title/tt0125022/?ref_=fn_tt_tt_1,PG-13,35000000,754
Andy Fickman,94,99,377,598,Paul Blart: Mall Cop 2 ,23473,1,http://www.imdb.com/title/tt3450650/?ref_=fn_tt_tt_1,PG,30000000,557
Luis Mandoki,102,43,280,308,Angel Eyes ,19686,0,http://www.imdb.com/title/tt0225071/?ref_=fn_tt_tt_1,R,38000000,285
John Pasquin,98,11,466,854,Joe Somebody ,8433,1,http://www.imdb.com/title/tt0279889/?ref_=fn_tt_tt_1,PG,38000000,543
Roman Polanski,133,2000,541,40000,The Ninth Gate ,137722,1,http://www.imdb.com/title/tt0142688/?ref_=fn_tt_tt_1,R,38000000,903
Michael Apted,118,150,182,24000,Extreme Measures ,14066,0,http://www.imdb.com/title/tt0116259/?ref_=fn_tt_tt_1,R,38000000,210
Stephen Herek,105,65,108,628,Rock Star ,34592,0,http://www.imdb.com/title/tt0202470/?ref_=fn_tt_tt_1,R,57000000,316
Lee Daniels,109,304,736,940,Precious ,86955,0,http://www.imdb.com/title/tt0929632/?ref_=fn_tt_tt_1,R,10000000,906
Ridley Scott,129,0,982,12000,White Squall ,17859,4,http://www.imdb.com/title/tt0118158/?ref_=fn_tt_tt_1,PG-13,38000000,1000
John Carpenter,109,0,145,957,The Thing ,258078,0,http://www.imdb.com/title/tt0084787/?ref_=fn_tt_tt_1,R,15000000,163
David Twohy,127,123,904,14000,Riddick ,125305,0,http://www.imdb.com/title/tt1411250/?ref_=fn_tt_tt_1,R,38000000,924
Jeb Stuart,118,11,12,37,Switchback ,9740,1,http://www.imdb.com/title/tt0119210/?ref_=fn_tt_tt_1,R,37000000,12
Steve Miner,110,49,427,1000,Texas Rangers ,4757,2,http://www.imdb.com/title/tt0193560/?ref_=fn_tt_tt_1,PG-13,38000000,569
Gil Kenan,90,27,260,13000,City of Ember ,52908,0,http://www.imdb.com/title/tt0970411/?ref_=fn_tt_tt_1,PG,55000000,2000
Paul Thomas Anderson,144,0,15,378,The Master ,105144,31,http://www.imdb.com/title/tt1560747/?ref_=fn_tt_tt_1,R,32000000,18
David Leland,97,2,217,4000,Virgin Territory ,6691,2,http://www.imdb.com/title/tt0437954/?ref_=fn_tt_tt_1,R,38000000,476
Gary Fleder,130,39,534,2000,The Express ,16673,0,http://www.imdb.com/title/tt0469903/?ref_=fn_tt_tt_1,PG,40000000,898
J Blakeson,112,5,724,17000,The 5th Wave ,55617,0,http://www.imdb.com/title/tt2304933/?ref_=fn_tt_tt_1,PG-13,38000000,1000
Ryan Coogler,133,0,531,13000,Creed ,146708,1,http://www.imdb.com/title/tt3076658/?ref_=fn_tt_tt_1,PG-13,35000000,597
Ben Affleck,150,0,206,10000,The Town ,280228,7,http://www.imdb.com/title/tt0840361/?ref_=fn_tt_tt_1,R,37000000,4000
Kirk Jones,110,52,651,10000,What to Expect When You're Expecting ,57266,12,http://www.imdb.com/title/tt1586265/?ref_=fn_tt_tt_1,PG-13,40000000,2000
Ethan Coen,96,1000,681,24000,Burn After Reading ,248468,0,http://www.imdb.com/title/tt0887883/?ref_=fn_tt_tt_1,R,37000000,11000
Jennifer Flackett,96,3,35,18000,Nim's Island ,28109,3,http://www.imdb.com/title/tt0410377/?ref_=fn_tt_tt_1,PG,37000000,82
Ron Howard,123,2000,471,26000,Rush ,312629,0,http://www.imdb.com/title/tt1979320/?ref_=fn_tt_tt_1,R,38000000,10000
Paul Thomas Anderson,188,0,272,786,Magnolia ,241030,1,http://www.imdb.com/title/tt0175880/?ref_=fn_tt_tt_1,R,37000000,625
Kevin Smith,107,0,574,13000,Cop Out ,75347,2,http://www.imdb.com/title/tt1385867/?ref_=fn_tt_tt_1,R,37000000,642
Christian Ditter,110,11,591,2000,How to Be Single ,39440,4,http://www.imdb.com/title/tt1292566/?ref_=fn_tt_tt_1,R,38000000,756
Charles Martin Smith,113,188,631,11000,Dolphin Tale ,17948,5,http://www.imdb.com/title/tt1564349/?ref_=fn_tt_tt_1,PG,37000000,680
Catherine Hardwicke,122,308,10000,17000,Twilight ,348007,1,http://www.imdb.com/title/tt1099212/?ref_=fn_tt_tt_1,PG-13,37000000,12000
Nick Cassavetes,116,415,644,18000,John Q ,98899,1,http://www.imdb.com/title/tt0251160/?ref_=fn_tt_tt_1,PG-13,36000000,669
Les Mayfield,93,10,405,789,Blue Streak ,60572,1,http://www.imdb.com/title/tt0181316/?ref_=fn_tt_tt_1,PG-13,65000000,744
Rawson Marshall Thurber,118,43,651,740,We're the Millers ,316671,4,http://www.imdb.com/title/tt1723121/?ref_=fn_tt_tt_1,R,37000000,707
Fedor Bondarchuk,115,35,30,463,Obitaemyy ostrov ,4387,0,http://www.imdb.com/title/tt0972558/?ref_=fn_tt_tt_1,,29500000,35
Jonathan Mostow,93,84,263,551,Breakdown ,38399,0,http://www.imdb.com/title/tt0118771/?ref_=fn_tt_tt_1,R,36000000,284
Irvin Kershner,121,883,133,180,Never Say Never Again ,48636,3,http://www.imdb.com/title/tt0086006/?ref_=fn_tt_tt_1,PG,36000000,172
Steve Pink,101,38,318,496,Hot Tub Time Machine ,139184,8,http://www.imdb.com/title/tt1231587/?ref_=fn_tt_tt_1,R,36000000,390
Charles Martin Smith,107,188,631,11000,Dolphin Tale 2 ,6069,0,http://www.imdb.com/title/tt2978462/?ref_=fn_tt_tt_1,PG,36000000,641
John Frankenheimer,124,287,475,9000,Reindeer Games ,31113,0,http://www.imdb.com/title/tt0184858/?ref_=fn_tt_tt_1,R,34000000,1000
F. Gary Gray,109,473,582,14000,A Man Apart ,38348,0,http://www.imdb.com/title/tt0266465/?ref_=fn_tt_tt_1,R,36000000,919
Cameron Crowe,105,488,13000,15000,Aloha ,39778,1,http://www.imdb.com/title/tt1243974/?ref_=fn_tt_tt_1,PG-13,37000000,14000
Rob Reiner,130,0,723,2000,Ghosts of Mississippi ,8531,0,http://www.imdb.com/title/tt0116410/?ref_=fn_tt_tt_1,PG-13,36000000,912
Scott Hicks,127,96,577,746,Snow Falling on Cedars ,12375,1,http://www.imdb.com/title/tt0120834/?ref_=fn_tt_tt_1,PG-13,36000000,602
Mikael Håfström,114,101,2000,12000,The Rite ,75864,1,http://www.imdb.com/title/tt1161864/?ref_=fn_tt_tt_1,PG-13,37000000,3000
Andrew Niccol,106,487,263,685,Gattaca ,220591,2,http://www.imdb.com/title/tt0119177/?ref_=fn_tt_tt_1,PG-13,36000000,485
Andrew Bergman,95,31,450,944,Isn't She Great ,1977,0,http://www.imdb.com/title/tt0141399/?ref_=fn_tt_tt_1,R,36000000,886
Kirk De Micco,81,16,387,541,Space Chimps ,8860,0,http://www.imdb.com/title/tt0482603/?ref_=fn_tt_tt_1,G,37000000,521
Chris Rock,95,0,642,1000,Head of State ,15046,1,http://www.imdb.com/title/tt0325537/?ref_=fn_tt_tt_1,PG-13,35200000,812
Todd Phillips,108,480,706,14000,The Hangover ,583341,3,http://www.imdb.com/title/tt1119646/?ref_=fn_tt_tt_1,R,35000000,839
Wilson Yip,105,25,51,461,Ip Man 3 ,21912,0,http://www.imdb.com/title/tt2888046/?ref_=fn_tt_tt_1,PG-13,36000000,79
Jay Roach,95,116,481,45000,Austin Powers: The Spy Who Shagged Me ,181225,1,http://www.imdb.com/title/tt0145660/?ref_=fn_tt_tt_1,PG-13,33000000,645
Tim Burton,126,13000,488,920,Batman ,269033,0,http://www.imdb.com/title/tt0096895/?ref_=fn_tt_tt_1,PG-13,35000000,549
Roland Joffé,102,596,785,877,There Be Dragons ,3865,0,http://www.imdb.com/title/tt1316616/?ref_=fn_tt_tt_1,PG-13,36000000,794
Richard Donner,121,503,94,808,Lethal Weapon 3 ,128010,2,http://www.imdb.com/title/tt0104714/?ref_=fn_tt_tt_1,R,35000000,277
John Lee Hancock,129,102,624,768,The Blind Side ,223127,0,http://www.imdb.com/title/tt0878804/?ref_=fn_tt_tt_1,PG-13,29000000,734
,43,,452,778,Rush Hour             ,2185,2,http://www.imdb.com/title/tt4085584/?ref_=fn_tt_tt_1,TV-14,,618
Robert Rodriguez,88,0,640,2000,Spy Kids ,84325,0,http://www.imdb.com/title/tt0227538/?ref_=fn_tt_tt_1,PG,35000000,843
Seth Gordon,106,91,64,18000,Horrible Bosses ,353442,5,http://www.imdb.com/title/tt1499658/?ref_=fn_tt_tt_1,R,35000000,464
Ethan Coen,110,1000,538,13000,True Grit ,240962,0,http://www.imdb.com/title/tt1403865/?ref_=fn_tt_tt_1,PG-13,38000000,12000
David Frankel,109,64,505,11000,The Devil Wears Prada ,286178,0,http://www.imdb.com/title/tt0458352/?ref_=fn_tt_tt_1,PG-13,35000000,11000
Robert Wise,143,338,643,12000,Star Trek: The Motion Picture ,63330,2,http://www.imdb.com/title/tt0079945/?ref_=fn_tt_tt_1,PG,35000000,664
Seth Gordon,120,91,680,4000,Identity Thief ,97664,2,http://www.imdb.com/title/tt2024432/?ref_=fn_tt_tt_1,R,35000000,904
Martin Scorsese,128,17000,387,22000,Cape Fear ,127503,0,http://www.imdb.com/title/tt0101540/?ref_=fn_tt_tt_1,R,35000000,1000
Robert Luketic,123,126,1000,18000,21 ,191470,2,http://www.imdb.com/title/tt0478087/?ref_=fn_tt_tt_1,PG-13,35000000,5000
Judd Apatow,129,0,213,492,Trainwreck ,94241,1,http://www.imdb.com/title/tt3152624/?ref_=fn_tt_tt_1,R,35000000,392
Kevin Rodney Sullivan,105,8,278,1000,Guess Who ,33887,2,http://www.imdb.com/title/tt0372237/?ref_=fn_tt_tt_1,PG-13,35000000,358
Anthony Minghella,162,333,362,14000,The English Patient ,142067,0,http://www.imdb.com/title/tt0116209/?ref_=fn_tt_tt_1,R,27000000,1000
Curtis Hanson,138,161,210,18000,L.A. Confidential ,414219,2,http://www.imdb.com/title/tt0119488/?ref_=fn_tt_tt_1,R,35000000,398
Mike Mitchell,100,31,591,947,Sky High ,61321,3,http://www.imdb.com/title/tt0405325/?ref_=fn_tt_tt_1,PG,35000000,742
Frank Oz,90,0,945,19000,In & Out ,32416,0,http://www.imdb.com/title/tt0119360/?ref_=fn_tt_tt_1,PG-13,35000000,957
Roger Donaldson,108,79,25,900,Species ,61018,0,http://www.imdb.com/title/tt0114508/?ref_=fn_tt_tt_1,R,35000000,759
Wes Craven,101,0,574,40000,A Nightmare on Elm Street ,149285,1,http://www.imdb.com/title/tt0087800/?ref_=fn_tt_tt_1,X,1800000,852
Tarsem Singh,109,763,311,812,The Cell ,79877,1,http://www.imdb.com/title/tt0209958/?ref_=fn_tt_tt_1,R,33000000,551
Randall Wallace,132,130,80,29000,The Man in the Iron Mask ,125219,1,http://www.imdb.com/title/tt0120744/?ref_=fn_tt_tt_1,PG-13,35000000,130
Randall Wallace,123,130,426,826,Secretariat ,20827,0,http://www.imdb.com/title/tt1028576/?ref_=fn_tt_tt_1,PG,35000000,638
Kevin Munroe,87,14,691,11000,TMNT ,53786,0,http://www.imdb.com/title/tt0453556/?ref_=fn_tt_tt_1,PG,34000000,4000
Michael Tollin,109,19,568,1000,Radio ,32370,1,http://www.imdb.com/title/tt0316465/?ref_=fn_tt_tt_1,PG,35000000,762
Will Gluck,109,87,923,15000,Friends with Benefits ,270228,2,http://www.imdb.com/title/tt1632708/?ref_=fn_tt_tt_1,R,35000000,3000
Nicholas Stoller,92,89,190,17000,Neighbors 2: Sorority Rising ,28041,0,http://www.imdb.com/title/tt4438848/?ref_=fn_tt_tt_1,R,35000000,329
John Lee Hancock,125,102,825,15000,Saving Mr. Banks ,117719,2,http://www.imdb.com/title/tt2140373/?ref_=fn_tt_tt_1,PG-13,35000000,2000
Spike Lee,202,0,318,18000,Malcolm X ,63923,0,http://www.imdb.com/title/tt0104797/?ref_=fn_tt_tt_1,PG-13,33000000,848
Judd Apatow,134,0,120,529,This Is 40 ,104005,2,http://www.imdb.com/title/tt1758830/?ref_=fn_tt_tt_1,R,35000000,130
Walt Becker,88,12,931,49000,Old Dogs ,31191,2,http://www.imdb.com/title/tt0976238/?ref_=fn_tt_tt_1,PG,35000000,1000
Patrick Tatopoulos,92,148,227,978,Underworld: Rise of the Lycans ,119974,1,http://www.imdb.com/title/tt0834001/?ref_=fn_tt_tt_1,R,35000000,593
Ken Kwapis,91,42,766,49000,License to Wed ,32157,3,http://www.imdb.com/title/tt0762114/?ref_=fn_tt_tt_1,PG-13,35000000,838
Dennis Dugan,75,221,553,11000,The Benchwarmers ,40651,2,http://www.imdb.com/title/tt0437863/?ref_=fn_tt_tt_1,PG-13,33000000,970
Gary David Goldberg,98,30,664,944,Must Love Dogs ,25883,2,http://www.imdb.com/title/tt0417001/?ref_=fn_tt_tt_1,PG-13,30000000,940
Mike Newell,147,179,646,40000,Donnie Brasco ,225122,2,http://www.imdb.com/title/tt0119008/?ref_=fn_tt_tt_1,R,35000000,14000
Paul W.S. Anderson,100,545,766,14000,Resident Evil ,198701,0,http://www.imdb.com/title/tt0120804/?ref_=fn_tt_tt_1,R,33000000,2000
Tobe Hooper,120,365,723,887,Poltergeist ,105446,0,http://www.imdb.com/title/tt0084516/?ref_=fn_tt_tt_1,PG,10700000,770
Ethan Coen,104,1000,939,24000,The Ladykillers ,84131,1,http://www.imdb.com/title/tt0335245/?ref_=fn_tt_tt_1,R,35000000,15000
John Moore,103,212,248,15000,Max Payne ,107772,1,http://www.imdb.com/title/tt0467197/?ref_=fn_tt_tt_1,PG-13,35000000,552
Andrew Niccol,109,487,3000,20000,In Time ,304318,2,http://www.imdb.com/title/tt1637688/?ref_=fn_tt_tt_1,PG-13,40000000,10000
Alan Poul,104,16,584,1000,The Back-up Plan ,40654,0,http://www.imdb.com/title/tt1212436/?ref_=fn_tt_tt_1,PG-13,35000000,700
Luke Greenfield,112,42,196,969,Something Borrowed ,48019,4,http://www.imdb.com/title/tt0491152/?ref_=fn_tt_tt_1,PG-13,35000000,826
,60,,628,897,Hit the Floor             ,1641,4,http://www.imdb.com/title/tt2368645/?ref_=fn_tt_tt_1,,,637
Gil Junger,95,19,447,1000,Black Knight ,30771,1,http://www.imdb.com/title/tt0265087/?ref_=fn_tt_tt_1,PG-13,50000000,691
Michael Ritchie,102,23,57,288,The Bad News Bears ,16323,1,http://www.imdb.com/title/tt0074174/?ref_=fn_tt_tt_1,PG,,257
Steven E. de Souza,102,133,690,2000,Street Fighter ,53115,1,http://www.imdb.com/title/tt0111301/?ref_=fn_tt_tt_1,PG-13,35000000,1000
Roman Polanski,150,2000,95,396,The Pianist ,497946,0,http://www.imdb.com/title/tt0253474/?ref_=fn_tt_tt_1,R,35000000,338
Albert Hughes,122,117,140,40000,From Hell ,124765,1,http://www.imdb.com/title/tt0120681/?ref_=fn_tt_tt_1,R,35000000,1000
Catherine Hardwicke,101,308,206,446,The Nativity Story ,8143,0,http://www.imdb.com/title/tt0762121/?ref_=fn_tt_tt_1,PG,30000000,224
Jaume Collet-Serra,108,174,324,730,House of Wax ,94456,0,http://www.imdb.com/title/tt0397065/?ref_=fn_tt_tt_1,R,30000000,716
Mike Nichols,98,0,23,20000,Closer ,168314,2,http://www.imdb.com/title/tt0376541/?ref_=fn_tt_tt_1,R,27000000,8000
Clint Eastwood,137,16000,363,29000,J. Edgar ,102728,0,http://www.imdb.com/title/tt1616195/?ref_=fn_tt_tt_1,R,35000000,6000
Alexandre Aja,112,192,844,1000,Mirrors ,86205,0,http://www.imdb.com/title/tt0790686/?ref_=fn_tt_tt_1,R,35000000,915
Michael Rymer,101,48,531,775,Queen of the Damned ,43991,2,http://www.imdb.com/title/tt0238546/?ref_=fn_tt_tt_1,R,35000000,541
Stephen Hopkins,103,81,636,2000,Predator 2 ,105478,0,http://www.imdb.com/title/tt0100403/?ref_=fn_tt_tt_1,R,35000000,683
Gregory Hoblit,101,40,398,2000,Untraceable ,40964,1,http://www.imdb.com/title/tt0880578/?ref_=fn_tt_tt_1,R,35000000,648
Hugh Wilson,112,37,480,3000,Blast from the Past ,48621,0,http://www.imdb.com/title/tt0124298/?ref_=fn_tt_tt_1,PG-13,35000000,874
Mike Hodges,111,24,455,591,Flash Gordon ,38017,1,http://www.imdb.com/title/tt0080745/?ref_=fn_tt_tt_1,PG,20000000,488
Kevin Smith,102,0,769,939,Jersey Girl ,54346,5,http://www.imdb.com/title/tt0300051/?ref_=fn_tt_tt_1,PG-13,35000000,854
Rob Cohen,101,357,374,907,Alex Cross ,28257,0,http://www.imdb.com/title/tt1712170/?ref_=fn_tt_tt_1,PG-13,35000000,445
Clint Eastwood,155,16000,229,18000,Midnight in the Garden of Good and Evil ,31751,2,http://www.imdb.com/title/tt0119668/?ref_=fn_tt_tt_1,R,30000000,461
Scott Mann,93,8,558,22000,Heist ,16193,1,http://www.imdb.com/title/tt3276924/?ref_=fn_tt_tt_1,R,19000000,1000
Susanna White,109,24,167,287,Nanny McPhee Returns ,19230,5,http://www.imdb.com/title/tt1415283/?ref_=fn_tt_tt_1,PG,35000000,175
Danny DeVito,140,0,210,436,Hoffa ,17124,2,http://www.imdb.com/title/tt0104427/?ref_=fn_tt_tt_1,R,35000000,263
Chris Carter,108,251,296,826,The X Files: I Want to Believe ,78256,0,http://www.imdb.com/title/tt0443701/?ref_=fn_tt_tt_1,PG-13,30000000,716
Tommy O'Haver,96,13,973,11000,Ella Enchanted ,47800,1,http://www.imdb.com/title/tt0327679/?ref_=fn_tt_tt_1,PG,35000000,1000
Peter Landesman,123,15,745,10000,Concussion ,44788,0,http://www.imdb.com/title/tt3322364/?ref_=fn_tt_tt_1,PG-13,35000000,979
John Singleton,106,309,63,327,Abduction ,65044,1,http://www.imdb.com/title/tt1600195/?ref_=fn_tt_tt_1,PG-13,35000000,73
Gary Chapman,76,2,72,1000,Valiant ,15788,0,http://www.imdb.com/title/tt0361089/?ref_=fn_tt_tt_1,G,35000000,766
Curtis Hanson,107,161,549,21000,Wonder Boys ,54643,5,http://www.imdb.com/title/tt0185014/?ref_=fn_tt_tt_1,R,55000000,826
Craig Mazin,82,82,418,1000,Superhero Movie ,52052,6,http://www.imdb.com/title/tt0426592/?ref_=fn_tt_tt_1,PG-13,35000000,642
Allen Hughes,109,90,344,1000,Broken City ,63548,3,http://www.imdb.com/title/tt1235522/?ref_=fn_tt_tt_1,R,35000000,412
Wes Craven,99,0,520,1000,Cursed ,26126,0,http://www.imdb.com/title/tt0257516/?ref_=fn_tt_tt_1,PG-13,35000000,573
David Koepp,91,192,346,23000,Premium Rush ,95274,0,http://www.imdb.com/title/tt1547234/?ref_=fn_tt_tt_1,PG-13,35000000,1000
Anne Fletcher,87,98,253,472,Hot Pursuit ,34948,2,http://www.imdb.com/title/tt2967224/?ref_=fn_tt_tt_1,PG-13,35000000,328
Shekhar Kapur,125,159,39,3000,The Four Feathers ,28130,2,http://www.imdb.com/title/tt0240510/?ref_=fn_tt_tt_1,PG-13,35000000,61
Taylor Hackford,118,138,458,26000,Parker ,90046,0,http://www.imdb.com/title/tt1904996/?ref_=fn_tt_tt_1,R,35000000,968
Richard Loncraine,98,12,663,4000,Wimbledon ,51842,1,http://www.imdb.com/title/tt0360201/?ref_=fn_tt_tt_1,PG-13,31000000,4000
Roger Kumble,92,16,734,3000,Furry Vengeance ,12399,1,http://www.imdb.com/title/tt0492389/?ref_=fn_tt_tt_1,PG,35000000,1000
Kimble Rendall,93,0,174,465,Bait ,11482,1,http://www.imdb.com/title/tt1438173/?ref_=fn_tt_tt_1,R,30000000,351
Peter Yates,116,170,136,14000,Krull ,23351,1,http://www.imdb.com/title/tt0085811/?ref_=fn_tt_tt_1,PG,27000000,192
Robert Redford,92,0,10000,11000,Lions for Lambs ,41170,3,http://www.imdb.com/title/tt0891527/?ref_=fn_tt_tt_1,R,35000000,10000
John Milius,115,468,150,605,Flight of the Intruder ,4795,3,http://www.imdb.com/title/tt0099587/?ref_=fn_tt_tt_1,PG-13,35000000,367
Jake Kasdan,120,52,134,553,Walk Hard: The Dewey Cox Story ,55630,1,http://www.imdb.com/title/tt0841046/?ref_=fn_tt_tt_1,R,35000000,214
Lasse Hallström,111,529,505,18000,The Shipping News ,28542,3,http://www.imdb.com/title/tt0120824/?ref_=fn_tt_tt_1,R,35000000,826
Les Mayfield,94,10,141,694,American Outlaws ,12077,2,http://www.imdb.com/title/tt0244000/?ref_=fn_tt_tt_1,PG-13,35000000,605
Jean-Marc Vallée,100,212,919,2000,The Young Victoria ,44931,1,http://www.imdb.com/title/tt0962736/?ref_=fn_tt_tt_1,PG,35000000,1000
Dominic Sena,101,57,230,1000,Whiteout ,31918,1,http://www.imdb.com/title/tt0365929/?ref_=fn_tt_tt_1,R,35000000,603
Terrence Malick,139,0,687,11000,The Tree of Life ,136367,0,http://www.imdb.com/title/tt0478304/?ref_=fn_tt_tt_1,PG-13,32000000,1000
Hark Tsui,91,85,105,635,Knock Off ,11512,0,http://www.imdb.com/title/tt0120724/?ref_=fn_tt_tt_1,R,35000000,316
David Ayer,109,453,120,1000,Sabotage ,47498,3,http://www.imdb.com/title/tt1742334/?ref_=fn_tt_tt_1,R,35000000,206
Brian Helgeland,102,241,127,13000,The Order ,14962,1,http://www.imdb.com/title/tt0304711/?ref_=fn_tt_tt_1,R,38000000,891
Lexi Alexander,103,189,766,3000,Punisher: War Zone ,48999,1,http://www.imdb.com/title/tt0450314/?ref_=fn_tt_tt_1,R,35000000,967
Peter Hewitt,83,12,690,2000,Zoom ,15015,5,http://www.imdb.com/title/tt0383060/?ref_=fn_tt_tt_1,PG,35000000,826
Robert Zemeckis,123,0,6,23000,The Walk ,77394,0,http://www.imdb.com/title/tt3488710/?ref_=fn_tt_tt_1,PG,35000000,22
Ronny Yu,101,31,448,690,Warriors of Virtue ,2189,0,http://www.imdb.com/title/tt0120479/?ref_=fn_tt_tt_1,PG,35000000,457
Ridley Scott,117,0,567,883,A Good Year ,70698,1,http://www.imdb.com/title/tt0401445/?ref_=fn_tt_tt_1,PG-13,35000000,883
,60,,256,2000,Luther             ,70568,1,http://www.imdb.com/title/tt1474684/?ref_=fn_tt_tt_1,TV-MA,,729
Richard Donner,114,503,697,2000,Radio Flyer ,10410,3,http://www.imdb.com/title/tt0105211/?ref_=fn_tt_tt_1,PG-13,35000000,864
Taylor Hackford,330,138,672,848,Blood In, Blood Out ,23181,2,http://www.imdb.com/title/tt0106469/?ref_=fn_tt_tt_1,R,35000000,674
Bille August,121,55,918,1000,Smilla's Sense of Snow ,11747,1,http://www.imdb.com/title/tt0120152/?ref_=fn_tt_tt_1,R,35000000,1000
Brian De Palma,114,0,115,548,Femme Fatale ,28584,1,http://www.imdb.com/title/tt0280665/?ref_=fn_tt_tt_1,R,35000000,298
Moustapha Akkad,156,278,249,695,Lion of the Desert ,9852,0,http://www.imdb.com/title/tt0081059/?ref_=fn_tt_tt_1,PG,35000000,279
Jean-Paul Rappeneau,135,22,45,837,The Horseman on the Roof ,4885,1,http://www.imdb.com/title/tt0113362/?ref_=fn_tt_tt_1,R,,541
Ang Lee,148,0,0,3,Ride with the Devil ,11101,0,http://www.imdb.com/title/tt0134154/?ref_=fn_tt_tt_1,R,35000000,2
