director_name,num_critic_for_reviews,actor_2_name,genres,actor_3_name,plot_keywords,content_rating,title_year,actor_2_facebook_likes
Billy Wilder,97,Jane Wyman,Drama|Film-Noir,Frank Faylen,addiction|alcoholic|alcoholism|paranoia|suicidal thoughts,Not Rated,1945,160
Douglas Cheek,77,John Heard,Horror|Sci-Fi,Sam McMurray,bum|city|mutant|new york city|street,R,1984,697
Youssef Delara,16,Jenni Rivera,Drama|Music,Jorge Diaz,,R,2012,245
Deryck Broom,7,Omar Benson Miller,Animation,Anupam Kher,animal|donkey|lamb|pig|rooster,PG,2011,418
Henry Hathaway,74,Jean Peters,Crime|Film-Noir|Thriller,Will Wright,hitchcockian|husband murders wife|murder|niagara falls|overhead shot,Approved,1953,79
John Ford,74,Walter Pidgeon,Drama|Family,Barry Fitzgerald,coal mine|girl|school|village|wales,Approved,1941,176
,19,Riley Keough,Drama,Paul Sparks,escort|female nudity|friendship|money|sex scene,TV-MA,,691
Spike Lee,46,Elvis Nolasco,Comedy|Romance|Thriller,Felicia Pearson,horror movie remake|remake|undead|undead sex|undead sexuality,,2014,372
Steven Soderbergh,58,Laura San Giacomo,Drama,Steven Brill,affair|interview|marriage|sex|videotape,R,1989,531
James Wan,287,Monica Potter,Horror|Mystery|Thriller,Shawnee Smith,chained|flashback|killer|serial killer|surprise ending,R,2004,878
Jay Chandrasekhar,100,Daniel von Bargen,Comedy|Crime|Mystery,Jay Chandrasekhar,drugs|highway|police|state trooper|vermont,R,2001,577
Giovanni Zelko,5,Harry Lennix,Action|Romance|Thriller,Ben Youcef,algeria|algerian|los angeles california|muslim,,2014,748
Claudia Sainte-Luce,50,Vera Wilson,Comedy|Drama,José Manuel Orozco Angulo,actress shares first name with character|appendicitis|hospital|loss of mother|supermarket,,2013,24
Scott Derrickson,276,Jon Hamm,Drama|Sci-Fi|Thriller,Juan Riedinger,alien|earth|giant robot|military|scientist,PG-13,2008,4000
Mira Nair,137,Randeep Hooda,Comedy|Drama|Romance,Lillete Dubey,arranged marriage|bride|celebration|marriage|wedding,R,2001,209
Kenneth Lonergan,122,Rory Culkin,Drama,Gaby Hoffmann,bank|car accident|cheating husband|new york|single mother,R,2000,710
Alfred Hitchcock,73,John Forsythe,Comedy|Mystery|Romance,Royal Dano,artist|death|hunting|sheriff|vermont,Approved,1955,255
Paul McGuigan,202,Morgan Freeman,Crime|Drama|Mystery|Thriller,Dorian Missick,coroner|death|gay son|love|mistaken identity,R,2006,11000
Jamie Babbit,99,Clea DuVall,Comedy|Drama,Eddie Cibrian,cheerleader|gay|homosexual|lesbian|lesbian relationship,R,1999,1000
David Boyd,10,Drew Waters,Drama|Sport,Scott Elrod,addiction|alcoholic|baseball|car accident|reference to god,PG-13,2013,848
Quentin Tarantino,173,Steve Buscemi,Crime|Drama|Thriller,Chris Penn,gang|heist|heist gone wrong|nonlinear timeline|robbery,R,1992,12000
Walter Lang,7,Nigel Bruce,Drama|Family|Fantasy,Gale Sondergaard,1800s|bird|blue bird of happiness|foreign language adaptation|past,Approved,1940,62
Sergio Leone,181,Luigi Pistilli,Western,Enzo Petito,civil war|hitman|outlaw|shootout|spaghetti western,Approved,1966,34
Anna Muylaert,111,Regina Casé,Comedy|Drama,Luis Miranda,brazil|exam|housekeeper|northeast region of brazil|portuguese language,R,2015,9
Steve Taylor,38,Marshall Allman,Comedy|Drama,Eric Lange,church|college|color in title|philosophy|texas,PG-13,2012,330
Kurt Voss,12,Coyote Shivers,Comedy|Music,Zoë Poledouris,female bassist|female drummer|female guitarist|female singer|portland oregon,R,2001,44
Léa Pool,23,,Documentary,,breast cancer|comma in title|period in title|punctuation in title|three word title,Not Rated,2011,
James David Pasternak,17,Sarah Silverman,Comedy|Documentary,Jonathan Winters,las vegas nevada|museum|reference to mr. rogers|reference to vincent van gogh|talking about suicide,,2007,931
Laurent Bouhnik,9,Johnny Amaro,Drama,Yassine Azzouz,female explicit nudity|hand job|oral sex|penetration|unsimulated sex,,2011,29
Tom Sanchez,1,Antonio Arrué,Comedy|Drama,Juan Carlos Montoya,,,2013,2
David Caffrey,51,Scott Adsit,Adventure|Comedy|Drama,Jim Cody Williams,guitar|hearse|manager|musician|singer,PG-13,2003,316
Adam Jay Epstein,14,Denise Boutte,Comedy,Vanessa Lee Chester,box office flop|female frontal nudity|pink bra and panties|red bra and panties|sex,R,2008,295
Michael Curtiz,24,David Niven,Action|Adventure|Romance|War,Spring Byington,attack|fort|india|lancer|massacre,Approved,1936,490
Justin Thomas Ostensen,18,Kristin Booth,Thriller,Michael Eisner,,R,2011,134
Brenton Spencer,22,Victor Zinck Jr.,Action|Horror|Mystery|Thriller,Chelsey Reist,forest|found footage|lost|murder|road trip,R,2012,91
Rob Bowman,9,Jacob Vargas,Adventure|Comedy|Sport,Brittney Powell,cincinnati ohio|high school|hockey|jock strap|zoologist,PG,1993,399
Ossie Davis,30,Cleavon Little,Action|Comedy,Calvin Lockhart,black cop|chase|cotton|four word title|new york city,R,1970,434
Jay Alaimo,9,Sabrina Carmichael,Horror,Patrick Muldoon,after dark horrorfest,R,2015,500
Dylan Bank,7,Deirdre Lorenz,Horror,Dustin Diamond,bare breasts|bra and panties|nudity|syringe,,2015,350
Rob McKittrick,91,Dane Cook,Comedy,Vanessa Lengies,cook|dishwasher|flashing|male frontal nudity|waiter,R,2005,1000
Shane Meadows,99,Gary Stretch,Crime|Drama|Thriller,George Newton,anger|army veteran|independent film|revenge|sex scene,,2004,404
,2,John Jarratt,Drama|Horror|Thriller,Lucy Fry,based on true story|blood|serial killer|slasher|tv mini series,,,457
Jeff Burr,57,Clu Gulager,Action|Drama|Horror|Thriller,Susan Tyrrell,bathtub|cult film|neck breaking|tennessee|wraparound story,R,1987,426
Harry Gantz,12,,Documentary|Drama,,bisexual|explicit sex|sex|stranger|swing,,2002,
Guy Maddin,58,CindyMarie Small,Comedy|Horror|Musical,Brent Neale,ballet|cult film|dance|dracula|gothic,,2002,4
Regardt van den Bergh,5,Frank Rautenbach,Drama,Jeanne Neilson,food|food in title|potato,PG,2006,48
Panos Cosmatos,97,Marilyn Norry,Sci-Fi|Thriller,Eva Bourne,exploitation|four word title|hallucinogen|lynchian|telepathy,R,2010,95
Gareth Evans,481,Yayan Ruhian,Action|Crime|Thriller,Donny Alamsyah,apartment|drug lord|gangster|police|swat team,R,2011,342
Matthew R. Anderson,17,Vernon Wells,Action|Horror|Sci-Fi,Matthew R. Anderson,flashback|immortality|rural setting|vampire|zombie,R,2010,745
Joe Marino,9,Anella Vastola,Horror,Joe Marino,,R,2013,0
Michael Curtiz,242,Claude Rains,Drama|Romance|War,Conrad Veidt,american expatriate|casablanca morocco|gestapo|police|visa,PG,1942,607
Joel Anderson,95,Rosie Traynor,Drama|Horror|Mystery|Thriller,Martin Sharpe,ghost|lake|parapsychologist|psychic|secret,R,2008,5
Shimit Amin,14,Shazahn Padamsee,Comedy|Drama,Gauhar Khan,boss|computer|honesty|sales|salesman,,2009,22
Douglas Trumbull,87,Ron Rifkin,Drama|Sci-Fi,Jesse Vint,forest|greenhouse|plant|robot|space,GP,1972,184
John G. Avildsen,141,Burgess Meredith,Drama|Sport,Carl Weathers,boxer|hometown hero|philadelphia pennsylvania|protective male|training,PG,1976,1000
Mona Fastvold,16,Brady Corbet,Drama,Gitte Witt,female nudity|male nudity|male rear nudity|nudity,Not Rated,2014,287
John Carpenter,212,Hal Holbrook,Fantasy|Horror,Janet Leigh,california|fog|leper|lighthouse|ship,R,1980,826
Tony Richardson,30,Susannah York,Adventure|Comedy|History,Hugh Griffith,18th century|rags to riches|secret letter|squire|tutor,Unrated,1963,269
Levan Gabriadze,270,Renee Olstead,Horror|Mystery|Thriller,Heather Sossaman,blender|computer screen|secret|skype|webcam,R,2014,305
Martin Scorsese,211,Albert Brooks,Crime|Drama,Peter Boyle,loner|neo noir|night shift|taxi driver|vigilante,R,1976,745
Joe Dante,161,Robert Picardo,Horror,Dee Wallace,1980s|forest|lycanthrope|shapeshifting|werewolf transformation,R,1981,823
Terence Young,184,Jack Lord,Action|Adventure|Thriller,Lois Maxwell,british secret service|hand to hand combat|murder|official james bond series|terrorist plot,Approved,1962,275
Bradley Parker,270,Ingrid Bolsø Berdal,Horror|Mystery|Sci-Fi|Thriller,Jonathan Sadowski,abandoned building|chernobyl disaster|exploration|tour guide|van,R,2012,466
Clive Barker,203,Ashley Laurence,Fantasy|Horror,Clare Higgins,blood|cenobites|creature|demon|male full frontal nudity,R,1987,209
Harold Cronk,29,Robin Givens,Drama,Maria Canals-Barrera,alternate universe|christian|christian film|christianity|manipulation,PG,2016,420
Jeff Wadlow,137,Gary Cole,Drama|Horror|Mystery|Thriller,Lindy Booth,e mail|game|school|serial killer|student,PG-13,2005,989
Takao Okawara,107,Naomi Nishida,Action|Adventure|Drama|Sci-Fi|Thriller,Sakae Kimura,godzilla|kaiju|monster|orga|ufo,PG,1999,3
Derek Cianfrance,377,Mike Vogel,Drama|Romance,John Doman,dog hit by a car|dysfunctional family|falling in love|female in shower|unhappily married woman,R,2010,2000
Duncan Tucker,169,Felicity Huffman,Adventure|Comedy|Drama,Paul Borghese,bail|male full frontal nudity|sex change|stepfather|transsexual,R,2005,508
William Brent Bell,225,Claudiu Trandafir,Horror,Brian Johnson,critically bashed|demonic possession|exorcism|exorcist|found footage,R,2012,169
Russ Meyer,101,Cynthia Myers,Comedy|Drama|Music,Harrison Page,band|drugs|friendship|hollywood|satire,X,1970,46
Robert D. Webb,39,Neville Brand,Drama|Romance|Western,Debra Paget,army|civil war|robbery|soldier|train,,1956,110
Davis Guggenheim,372,Al Gore,Documentary,,climate|earth|global warming|science|truth,PG,2006,68
Allan Dwan,40,Richard Jaeckel,Action|Drama|Romance|War,Forrest Tucker,battle|combat|heroic military|sergeant|tarawa,Approved,1949,102
Martin Scorsese,129,Keith Richards,Biography|Documentary|Music,Albert Maysles,band|concert footage|new york city|rolling stones|three word title,PG-13,2008,426
Eli Roth,285,Richard Burgi,Adventure|Horror,Magda Apanowicz,activist|amazon|color in title|rain|rain forest,R,2013,550
Andrew Steggall,29,Alex Lawther,Drama|Family|Romance,Niamh Cusack,france|gay|language|male masturbation|masturbation,,2015,47
Ben Lewin,337,Adam Arkin,Biography|Comedy|Drama|Romance,Rhea Perlman,falling in love|iron lung|priest|sex surrogate|therapist,R,2012,374
Robert Kenner,120,Eric Schlosser,Documentary,Barbara Kowalcyk,farming|flesh eating|food|food industry|gluttony,PG,2008,3
Andrew Erwin,40,Robert Amaya,Drama,Jason Burkey,abortion|anti choice|christian preach|malpractice|unprofessional conduct,PG-13,2011,264
Brad Anderson,38,Callie Thorne,Comedy|Drama|Romance,Holland Taylor,love|marine biologist|nurse|personal ad|plumber,R,1998,472
Jason Reitman,387,Jennifer Garner,Comedy|Drama|Romance,Rainn Wilson,adoption|baby|friend|pregnancy|school,PG-13,2007,3000
Craig Johnson,185,Boyd Holbrook,Comedy|Drama,Kathleen Rose Perkins,adultery|brother sister relationship|estrangement|siblings|suicide attempt,R,2014,439
Sean Durkin,348,Julia Garner,Drama|Mystery|Thriller,Brady Corbet,connecticut|cult|memory|new york|telephone call,R,2011,300
Gillian Robespierre,155,Jenny Slate,Comedy|Drama,Jake Lacy,abortion|divorced parents|one night stand|pregnancy|pregnant,R,2014,457
Courtney Hunt,181,Michael O'Keefe,Crime|Drama,Misty Upham,border|mohawk|money|new york|river,R,2008,238
Morgan Neville,149,Lou Adler,Documentary|Music,Merry Clayton,backup singer|band|bechdel test passed|concert footage|singer,PG-13,2013,19
James Toback,54,Natasha Gregson Wagner,Comedy|Drama,Angel David,actor|anilingus|double cross|funeral home|two timing,R,1997,104
Nicole Holofcener,18,Anne Heche,Comedy|Drama|Romance,Vincent Pastore,briefs|cancer|cat|cult film|friend,R,1996,695
Peter Cattaneo,122,Mark Addy,Comedy|Drama|Music,Lesley Sharp,dole|male stripper|northern england|steel worker|unemployment,R,1997,891
Chris Paine,87,Phyllis Diller,Documentary,Colette Divine,california|car|reference to ralph nader|technology|u.s. president,PG,2006,659
Greg Berlanti,51,Nia Long,Comedy|Drama|Romance|Sport,Mary McCormack,friend|gay|lesbian|photographer|restaurant,R,2000,826
Don Coscarelli,260,Ossie Davis,Comedy|Fantasy|Mystery,Ella Joyce,cult film|elvis|elvis presley|nursing home|texas,R,2002,282
Rob Letterman,218,Dylan Minnette,Adventure|Comedy|Family|Fantasy|Horror,Ken Marino,based on book|blob|ferris wheel|manuscript|monster,PG,2015,1000
Marc Levin,16,Saul Williams,Drama,Bonz Malone,gang|independent film|prison|racial slur|urban setting,R,1998,38
Richard Dutcher,12,Frank Gerrish,Crime|Drama|Mystery,Rick Macy,fbi agent|mormon|prayer|sheriff|utah,PG-13,2001,81
Khalid Mohamed,1,Manoj Bajpayee,Drama|Romance,Jaya Bhaduri,mumbai riots|politician|riot|suicide|tragic event,,2000,186
Mel Brooks,48,Sid Caesar,Comedy,Dom DeLuise,french revolution|old testament|part of an unfinished series|reference to john wayne|roman emperor,R,1981,898
Trey Parker,59,Dian Bachar,Comedy|Sci-Fi,Matt Stone,book of mormon|fight|mormon|ray gun|sidekick,NC-17,1997,203
David Gordon Green,88,Paul Schneider,Drama|Romance,Shea Whigham,best friend|lake|love|small town|womanizer,R,2003,552
Finn Taylor,28,Cathy Moriarty,Comedy|Drama,Kathryn Erbe,dying|to do list|twenty something|underwear|voyeur,R,1997,394
Karen Moncrieff,44,Agnes Bruckner,Drama,A.J. Buckley,contest|poetry|refusing to eat|starving oneself|teenage girl,R,2002,400
José Luis Valenzuela,13,Lupe Ontiveros,Comedy|Romance,Robert Beltran,divorce|friend|jewish|lent|restaurant,R,2000,625
Gia Coppola,117,Nat Wolff,Drama,Olivia Crocicchia,girls' soccer|high school|high school student|soccer coach|teenager,R,2013,733
Scandar Copti,100,Scandar Copti,Crime|Drama,Ranin Karim,arab|christian|israeli|palestinian|violence,,2009,13
Goran Dukic,117,Patrick Fugit,Comedy|Drama|Fantasy|Romance,Chase Ellison,afterlife|camping|death|hitchhiker|suicide,R,2006,835
Mike Cahill,140,Cara Seymour,Drama|Romance|Sci-Fi,Venida Evans,buddhism|evolution|eye|reincarnation|stuck in elevator,R,2014,71
Efram Potelle,29,Elden Henson,Comedy|Drama|Romance,Kathleen Quinlan,bully comeuppance|high school|painter|reference to led zeppelin|wetting pants,PG-13,2003,577
Peter Jackson,308,AJ Michalka,Drama|Fantasy|Thriller,Tom McCarthy,1970s|afterlife|heaven|pedophile|rape,PG-13,2009,559
Joshua Oppenheimer,248,Herman Koto,Biography|Crime|Documentary|History,Syamsul Arifin,death squad|mass killing|musical number|reference to guantanamo bay|surrealism,Not Rated,2012,3
Alex Gibney,84,George W. Bush,Crime|Documentary|War,Greg D'Agostino,afghanistan|detainee|guantanamo bay|taxi|torture,R,2007,125
Paul Crowder,40,Marv Albert,Documentary|Sport,Ahmet Ertegun,new york|new york cosmos|professional sports|soccer|soccer team,PG-13,2006,7
Rohit Jagessar,,Rufus Graham,Drama,Aasheekaa Bathija,bare chested male|discipline|imperialism|whipping|white slavery,Unrated,2004,3
Griffin Dunne,13,Fisher Stevens,Comedy|Drama,Melissa Gilbert,actress|fame|inside joke|new york|one man show,PG-13,2000,922
Anthony Powell,31,Tom Hamann,Adventure|Biography|Documentary|Drama,Anthony Powell,antarctica,PG,2013,24
Kief Davidson,43,Brian Whitaker,Documentary,Jason Bateman,artist|denmark|lego|toy|toy company,G,2014,8
Johnny Remo,2,Randy Wayne,Action|Drama,Raquel Elizabeth Ames,family relationships|loss of mother|san diego california|single mother|suicide attempt,PG-13,2012,984
Vivek Agnihotri,4,Anil Kapoor,Thriller,Sunil Shetty,chocolate|christmas|christmas eve|death|suspect,,2005,668
Ti West,238,Greta Gerwig,Horror,Dee Wallace,cult film|eclipse|haunted house|lunar eclipse|secret,R,2009,962
Nick Tomnay,112,Clayne Crawford,Comedy|Crime|Thriller,Nathaniel Parker,arm tattoo|bank robbery|cauterizing a wound|dancing on a table|dinner party,R,2010,298
John Hamburg,33,Michael Lerner,Comedy|Crime,Josh Pais,gangster|organized crime|robbery|rosh hashanah|safecracking,R,1998,230
Nickolas Perry,8,Patsy Kensit,Crime|Drama|Romance,Adrienne Frantz,car racing|crush|hustler|scam|watching television,R,1999,231
Dan Zukovic,95,Louis Mustillo,Comedy|Drama,James Lorinz,actor|magazine|model|rock band|suburb,R,1996,71
Craig Mazin,29,James Gunn,Action|Comedy|Fantasy|Sci-Fi,Jamie Kennedy,action figure|press conference|superhero|superhero team|toy,R,2000,571
Becky Smith,3,Emily Baldoni,Comedy|Romance,Hallee Hirsh,birthday|digit in title|love|masturbation|teenager,,2009,261
Eric Nicholas,71,Ana Claudia Talancón,Crime|Drama|Thriller,Jonathon Trent,female nudity|female pubic hair|masturbation|panties|pubic hair,Not Rated,2006,163
Benjamin Dickinson,36,Alexia Rasmussen,Drama|Sci-Fi,Meredith Hagner,art exhibition|augmented reality|cocaine|nervous breakdown|speculative fiction,R,2015,171
Hal Haberman,56,Paul Blackthorne,Comedy|Drama|Sci-Fi,Ian Bohen,dream sequence|locked in a room|looking at self in mirror|medication|superhero,R,2006,645
Darren Stein,8,Jamie Kennedy,Comedy|Drama,Veronica Cartwright,automobile association of america|cheating|psychic|reference to tom jones the singer|trailer park,R,1997,490
A. Raven Cruz,3,Vanilla Ice,Action|Adventure|Comedy|Fantasy|Sci-Fi,Jennifer Sky,cnn reporter|ellipsis in title|matrix|punctuation in title|secret agent,R,2005,361
Brian Trenchard-Smith,8,Mariel Hemingway,Action|Drama,Jesse Hutch,camp|die hard scenario|female protagonist|island|vice president,R,2006,288
Frank Whaley,9,Frank Whaley,Comedy|Drama,Heather Bucha,based on play|character name in title,R,2001,436
Amat Escalante,87,Andrea Vergara,Crime|Drama|Romance,Gabriel Reyes,corrupt police|drug cartel|drugs|mexico|police,Not Rated,2013,9
Wajahat Rauf,6,Ayesha Omar,Comedy|Family,Javed Sheikh,pakistan|road trip,,2015,5
Katherine Brooks,14,Kevin McCarthy,Drama|Romance,Laura Breckenridge,older woman younger woman relationship|sex with student|teacher|teacher student relationship|title directed by female,Not Rated,2006,403
David Cross,20,Matt Walsh,Comedy|Drama,Amy Sedaris,courtroom|independent film|internet|small town|youtube,,2014,490
Randall Rubin,23,A.J. Buckley,Crime|Drama|Thriller,James Eckhouse,police|revenge|sex|suburb|video camera,R,2006,275
Robert Bennett,6,Lauren C. Mayhew,Comedy,Alicia Ziegler,erotica|masseuse|sister sister relationship|temptation|threesome,R,2009,157
Guy Hamilton,12,Eddie Albert,Drama,Louise Sorel,beatnik|businessman|necrophilia|party|partying,,1965,196
Mary Pat Kelly,2,Ossie Davis,Drama,Janet Hubert,,PG,2004,282
Lori Petty,12,Chloë Grace Moretz,Drama,Bokeem Woodbine,basketball|drug abuse|interracial rape|iowa|tween girl,R,2008,17000
Charlie Levi,,Barbara Hershey,Drama,Diane Venora,,R,2008,618
Kevin Hamedani,64,Janette Armand,Comedy|Horror|Sci-Fi,Kevin Hamedani,cult|homosexual|island|survival horror|zombie,R,2009,37
David DeCoteau,7,Shanley Caswell,Horror,Tim Abell,reference to snow white|sleeping bag|stepmother stepdaughter relationship|strangulation|totem pole,PG-13,2012,383
Mikel Rueda,9,Germán Alcarazu,Drama|Romance,Joseba Ugalde,best friend|deportation|moroccan|unrequited love|xenophobia,Unrated,2014,0
Stefan C. Schaefer,21,Marlene Forte,Comedy|Drama|Romance,Reg E. Cathey,business trip|german|love|new york|singer songwriter,,2011,395
Michael Taliferro,,Sticky Fingaz,Comedy|Music,Chrystee Pharris,,PG-13,2009,207
David DeCoteau,1,Tom Berenger,Western,Randy Jay Burrell,1880s|cowboy|low budget film|shoot out|wild west,PG-13,2014,854
Katie Aselton,95,Anslem Richardson,Horror|Thriller,Jay Paulson,bare breasts|female frontal nudity|hunter|island|weekend,R,2012,59
Robert Heath,40,Alexander Vlahos,Horror|Mystery,Jennie Jacques,cabin in the woods|drinking acid|introvert|lesbian kiss|truth or dare,Not Rated,2012,334
D. Stevens,6,Pierre Dulat,Drama|Thriller,Summer Napoles,dominance submissiveness|female nudity|human branding|human pet|power exchange,,2006,17
Jeffrey St. Jules,16,Chloe Rose,Drama|Musical|Sci-Fi,Kristian Bruun,,,2014,40
Robert Hall,39,Kevin Gage,Horror,Fiona Dourif,bare breasts|based on web series|claustrophobia|doctor|phobia,R,2015,366
K. King,150,Shona Kay,Action|Comedy|Horror,Jarrod Phillips,desert|drifter|seduction|siege|zombie,Not Rated,2013,211
Jonathan Meyers,1,Luke Perry,Drama,Leonor Varela,,PG,2014,608
Danny Boyle,393,Spencer Wilding,Crime|Drama|Mystery|Thriller,Tuppence Middleton,amnesia|criminal|heist|hypnotherapy|lost painting,R,2013,1000
Ralph Nelson,32,Dick Van Patten,Drama|Romance|Sci-Fi,Claire Bloom,disability|experiment|genius|intelligence|mouse,PG,1968,605
Blair Erickson,78,Katia Winter,Horror|Thriller,Michael McMillian,experiment|lsd|missing friend|mk ultra|radio broadcast,R,2013,371
,,David DeLuise,Comedy,Bruno Campos,1990s|brother sister relationship|female protagonist|single mother|sitcom,,,275
Allison Burnett,8,Gia Mantegna,Drama,Cathryn de Prume,bare breasts|female protagonist,Not Rated,2014,413
Richard Schenkman,6,Mike Colter,Comedy|Romance,Eartha Kitt,facebook|imdb|mediaatlarge.com|mediaatlargellc|sperm donor,,2007,569
Sanjay Rawal,9,Robert Kennedy Jr.,Documentary|News,Eve Ensler,two word title,,2014,28
Elia Kazan,134,Karl Malden,Crime|Drama|Romance,Rod Steiger,death|dock|longshoreman|murder|union,Not Rated,1954,416
Kat Coiro,18,Geoff Stults,Comedy,Kristen Johnston,friendship|los angeles california|one night stand|roommate|single mother,R,2011,756
Cristian Mungiu,233,Vlad Ivanov,Drama,Alexandru Potocean,female rear nudity|friend|hotel|rainy night|towel,Not Rated,2007,60
Brian Dorton,10,Brian Dorton,Horror,Jan Cornet,anthology,,2015,171
David Slade,231,G.J. Echternkamp,Crime|Drama|Thriller,Patrick Wilson,chatting|missing person poster|online dating|photographer|sexual predator,R,2005,8
Jamie Babbit,65,David Gallagher,Drama|Thriller,Edie Falco,deaf|death|dysfunctional family|godparent|secret,R,2005,796
Maryam Keshavarz,76,Reza Sixo Safai,Drama,Sina Amedson,closeted lesbian|iranian|islamophobia|propaganda|teenager,R,2011,127
Ryan Coogler,327,Melonie Diaz,Biography|Drama|Romance,Ariana Neal,22 year old|b.a.r.t.|bay area|birthday|police,R,2013,270
Ramaa Mosley,62,Michael Angarano,Comedy|Fantasy|Thriller,Alia Shawkat,mini dress|mini skirt|money|voyeur|voyeurism,R,2012,947
James Algar,116,Donnie Dunagan,Animation|Drama|Family,Ann Gillis,animal|bambi|deer|forest|hunter,Approved,1942,12
Charles Herman-Wurmfeld,73,Rian Bishop,Comedy|Romance|Sport,Adam Carolla,birthday|boxing|coach|gym|olympics,R,2007,140
Ric Roman Waugh,238,Harold Perrineau,Action|Drama|Thriller,Nadine Velazquez,cigarette smoking|dea|drugs|inspired by true events|undercover,PG-13,2013,1000
C. Jay Cox,35,Rob McElhenney,Comedy|Drama|Romance,Jacqueline Bisset,christian|male frontal nudity|mormon|mormon missionary|nudity,R,2003,813
Mariette Monpierre,2,Christophe Cherki,Drama,Teddy Doloir,foreign|french,,2011,0
Tommy Oliver,6,Ruby Dee,Drama,Quinton Aaron,number in title|semi autobiographical,R,2013,782
Jamie Travis,115,Ari Graynor,Comedy,Nia Vardalos,friend|friendship|gay|phone sex|sex,R,2012,904
Lee Toland Krieger,193,Janel Parrish,Comedy|Drama|Romance,Rob Huebel,best friends|friendship|masturbation|reference to matthias steiner|single,R,2012,517
Rich Christiano,16,D. David Morin,Drama|Fantasy|Sci-Fi,Hal Linden,bible|christian propaganda|christianity|time machine|zealot,PG,2002,234
Paul Andrew Williams,68,Johnny Harris,Crime|Drama|Thriller,Georgia Groome,bathroom|chase|girl|pimp|toilet,R,2006,146
Nick Love,16,Christopher Berry,Action|Comedy|Drama|Sci-Fi,Michelle Tabora,father son relationship|female nudity|mother daughter relationship|reconciliation|superhero,,2015,207
Natalie Bible',7,Samaire Armstrong,Mystery|Thriller,Matt Cohen,,,2015,806
Asghar Farhadi,354,Leila Hatami,Drama|Mystery,Peyman Moaadi,alzheimer's disease|caregiver|divorce|iran|iranian,PG-13,2011,712
Justin Molotnikov,16,Stephen McCole,Thriller,Joe Cassidy,cocaine|edinburgh scotland|stand up comedian,,2009,11
Todd Solondz,74,Ken Leung,Comedy|Drama,Christina Vidal,bully|first crush|school|social outcast|taunting,R,1995,502
Victor Nunez,11,Todd Field,Drama|Romance,Dorothy Lyman,desire|florida|identity|resort town|sales,R,1993,143
Peter Sollett,59,Melonie Diaz,Drama|Romance,Judy Marte,based on short film|manhattan new york city|urination|vomiting|watching television,R,2002,270
Georg Wilhelm Pabst,71,Francis Lederer,Crime|Drama|Romance,Fritz Kortner,escape|femme fatale|german expressionism|lust|violence,Not Rated,1929,20
Daniel Davila,5,Melora Walters,Drama,Diane Baker,abusive relationship|character name in title|magic|san francisco california|tenderloin san francisco,,2008,188
Jorge Gaggero,25,Hilda Bernard,Drama,Claudia Lapacó,buenos aires argentina|economics|housekeeper|maid|servant,Unrated,2004,5
Rod Lurie,29,Kathryn Morris,Drama|Thriller,Timothy Hutton,colorado|diner|iraq|nuclear missile|president,R,1999,573
Michael Burke,17,Tom Guiry,Crime|Drama|Romance,Ryan Donowho,death|farm|fur coat|grief|misfit,R,2003,262
Catherine Jelski,13,Eion Bailey,Drama,Arly Jover,based on play|independent film,R,2000,749
Shane Dawson,6,Kurt Angle,Comedy,Cherami Leigh,,Not Rated,2014,217
Tommy Wirkola,224,Stig Frode Henriksen,Comedy|Horror,Ane Dahl Torp,medical student|nazi|snow|snowmobile|zombie,Not Rated,2009,16
Ryan Little,33,Larry Bagby,Action|Adventure|Drama|War,Kirby Heyborne,ardennes forest|battle of the bulge|behind enemy lines|winter|world war two in belgium,PG-13,2003,115
Clark Baker,1,Alan Pietruszewski,Horror|Sci-Fi|Short|Thriller,Whit Spurgeon,alien|flight attendant|monster|pilot|tentacle,,2012,93
George Lucas,100,Ron Howard,Comedy|Drama|Music,Mackenzie Phillips,california|car|drag racing|high school|rock 'n' roll,PG,1973,2000
Robert Greenwald,21,Katy Helvenston-Wettengal,Documentary|War,Donna Zovko,american politics|armed forces|political corruption|shady|war profiteer,,2006,0
Matt Maiellaro,82,Fred Armisen,Action|Adventure|Animation|Comedy|Fantasy|Sci-Fi,Chris Kattan,based on cult tv series|critically acclaimed|exercise machine|midnight movie|robot,R,2007,424
Colin Trevorrow,271,Mark Duplass,Comedy|Drama|Romance,Jeff Garlin,classified ad|intern|magazine|time machine|time travel,R,2012,830
Leslie Small,5,Larry King,Comedy|Documentary,Jeanette Branch,stand up comedy,R,2011,135
Ben Wheatley,255,Ben Crompton,Crime|Horror|Thriller,Neil Maskell,female full frontal nudity|hitman|knee breaking|male full frontal nudity|sniper,Not Rated,2011,257
Ti West,292,Jake Ryan,Horror,Pat Healy,bathtub|dead body in a bathtub|dead body in bathtub|hotel|inn,R,2011,128
David S. Goyer,178,Atticus Shaffer,Drama|Fantasy|Horror|Mystery|Thriller,Rachel Brosnahan,babysitting|experiment|nightmare|possession|twin,PG-13,2009,787
Bernardo Bertolucci,120,Stefania Sandrelli,Drama,Dominique Sanda,fascist|gun|italy|nudity|sexuality,R,1970,90
Neil Burger,31,Christel Khalil,Drama,Renee Faia,conspiracy theory|kennedy assassination|mock documentary|paranoia,R,2002,72
Oliver Blackburn,114,Nichola Burley,Crime|Drama|Horror|Thriller,Tom Burke,male frontal nudity|male nudity|male pubic hair|male rear nudity|spain,R,2008,233
