num_critic_for_reviews,actor_1_facebook_likes,gross,movie_title,num_voted_users,cast_total_facebook_likes,movie_imdb_link,content_rating
152,10000,25799043,The Lazarus Effect ,28513,11771,http://www.imdb.com/title/tt2918436/?ref_=fn_tt_tt_1,PG-13
274,716,25530884,Memento ,845580,1997,http://www.imdb.com/title/tt0209144/?ref_=fn_tt_tt_1,R
336,972,27689474,Oculus ,85688,2071,http://www.imdb.com/title/tt2388715/?ref_=fn_tt_tt_1,R
174,1000,24138847,Clerks II ,114797,2990,http://www.imdb.com/title/tt0424345/?ref_=fn_tt_tt_1,R
151,838,21994911,Billy Elliot ,98354,1122,http://www.imdb.com/title/tt0249462/?ref_=fn_tt_tt_1,R
276,7000,21501098,The Way Way Back ,115813,8375,http://www.imdb.com/title/tt1727388/?ref_=fn_tt_tt_1,PG-13
12,901,19281235,House Party 2 ,3571,2523,http://www.imdb.com/title/tt0102065/?ref_=fn_tt_tt_1,R
18,492,,The Man from Snowy River ,5894,854,http://www.imdb.com/title/tt0084296/?ref_=fn_tt_tt_1,PG
28,2000,19421271,Doug's 1st Movie ,2448,2908,http://www.imdb.com/title/tt0187819/?ref_=fn_tt_tt_1,G
95,205,20733485,The Apostle ,11622,428,http://www.imdb.com/title/tt0118632/?ref_=fn_tt_tt_1,PG-13
74,977,,Mommie Dearest ,10564,2014,http://www.imdb.com/title/tt0082766/?ref_=fn_tt_tt_1,R
179,11000,24809547,Our Idiot Brother ,74875,15710,http://www.imdb.com/title/tt1637706/?ref_=fn_tt_tt_1,R
125,882,19097994,Race ,11744,2410,http://www.imdb.com/title/tt3499096/?ref_=fn_tt_tt_1,PG-13
22,1000,23031390,The Players Club ,4345,2868,http://www.imdb.com/title/tt0119905/?ref_=fn_tt_tt_1,R
92,1000,16017403,O ,17333,3300,http://www.imdb.com/title/tt0184791/?ref_=fn_tt_tt_1,R
196,1000,21197315,"As Above, So Below ",49948,1410,http://www.imdb.com/title/tt2870612/?ref_=fn_tt_tt_1,R
9,1000,17382982,Addicted ,5975,2840,http://www.imdb.com/title/tt2205401/?ref_=fn_tt_tt_1,R
31,2000,14821531,Eve's Bayou ,6915,3843,http://www.imdb.com/title/tt0119080/?ref_=fn_tt_tt_1,R
309,17000,18656400,Still Alice ,86077,19673,http://www.imdb.com/title/tt3316960/?ref_=fn_tt_tt_1,PG-13
15,535,,The Egyptian ,2498,2112,http://www.imdb.com/title/tt0046949/?ref_=fn_tt_tt_1,Approved
36,13000,,Nighthawks ,12519,14306,http://www.imdb.com/title/tt0082817/?ref_=fn_tt_tt_1,R
129,935,14343976,Friday the 13th Part VIII: Jason Takes Manhattan ,22961,1327,http://www.imdb.com/title/tt0097388/?ref_=fn_tt_tt_1,R
168,567,241437427,My Big Fat Greek Wedding ,102071,1495,http://www.imdb.com/title/tt0259446/?ref_=fn_tt_tt_1,PG
444,11000,14123773,Spring Breakers ,108683,12306,http://www.imdb.com/title/tt2101441/?ref_=fn_tt_tt_1,R
123,742,15126948,Halloween: The Curse of Michael Myers ,20815,1227,http://www.imdb.com/title/tt0113253/?ref_=fn_tt_tt_1,R
173,269,13622333,Y Tu Mamá También ,91377,361,http://www.imdb.com/title/tt0245574/?ref_=fn_tt_tt_1,R
246,605,13464388,Shaun of the Dead ,395921,1686,http://www.imdb.com/title/tt0365748/?ref_=fn_tt_tt_1,R
74,1000,13350177,The Haunting of Molly Hartley ,7904,4856,http://www.imdb.com/title/tt1045655/?ref_=fn_tt_tt_1,PG-13
68,11000,13269963,Lone Star ,23202,11400,http://www.imdb.com/title/tt0116905/?ref_=fn_tt_tt_1,R
144,742,17768000,Halloween 4: The Return of Michael Myers ,29629,1136,http://www.imdb.com/title/tt0095271/?ref_=fn_tt_tt_1,R
96,690,12947763,April Fool's Day ,10624,1160,http://www.imdb.com/title/tt0090655/?ref_=fn_tt_tt_1,R
42,801,14100000,Diner ,14995,2943,http://www.imdb.com/title/tt0083833/?ref_=fn_tt_tt_1,R
29,926,12200000,Lone Wolf McQuade ,7973,2383,http://www.imdb.com/title/tt0085862/?ref_=fn_tt_tt_1,PG
228,520,17683670,Apollo 18 ,47227,1520,http://www.imdb.com/title/tt1772240/?ref_=fn_tt_tt_1,PG-13
195,968,12055108,Sunshine Cleaning ,61151,2528,http://www.imdb.com/title/tt0862846/?ref_=fn_tt_tt_1,R
203,155,27285953,No Escape ,48675,259,http://www.imdb.com/title/tt1781922/?ref_=fn_tt_tt_1,R
44,21000,,The Beastmaster ,15345,23714,http://www.imdb.com/title/tt0083630/?ref_=fn_tt_tt_1,PG
14,746,,Solomon and Sheba ,2017,1332,http://www.imdb.com/title/tt0053290/?ref_=fn_tt_tt_1,
59,729,11675178,Fifty Shades of Black ,9509,2848,http://www.imdb.com/title/tt4667094/?ref_=fn_tt_tt_1,R
45,849,10572742,Not Easily Broken ,2326,2269,http://www.imdb.com/title/tt0795438/?ref_=fn_tt_tt_1,PG-13
42,998,,A Farewell to Arms ,3519,1284,http://www.imdb.com/title/tt0022879/?ref_=fn_tt_tt_1,Unrated
12,927,9658370,The Perfect Match ,1180,3552,http://www.imdb.com/title/tt4871980/?ref_=fn_tt_tt_1,R
29,93,9628751,Digimon: The Movie ,5164,315,http://www.imdb.com/title/tt0259974/?ref_=fn_tt_tt_1,PG
121,3000,8786715,Saved! ,40274,5668,http://www.imdb.com/title/tt0332375/?ref_=fn_tt_tt_1,PG-13
135,150,3432342,The Barbarian Invasions ,24921,253,http://www.imdb.com/title/tt0338135/?ref_=fn_tt_tt_1,R
27,559,,Robin and Marian ,8930,1199,http://www.imdb.com/title/tt0075147/?ref_=fn_tt_tt_1,PG
56,847,6755271,The Forsaken ,7319,3004,http://www.imdb.com/title/tt0245120/?ref_=fn_tt_tt_1,R
22,11000,,Force 10 from Navarone ,13587,13591,http://www.imdb.com/title/tt0077572/?ref_=fn_tt_tt_1,PG
59,859,6157157,UHF ,21416,3942,http://www.imdb.com/title/tt0098546/?ref_=fn_tt_tt_1,PG-13
61,2000,6088249,Grandma's Boy ,67853,5202,http://www.imdb.com/title/tt0456554/?ref_=fn_tt_tt_1,R
60,1000,5480318,Slums of Beverly Hills ,9427,2691,http://www.imdb.com/title/tt0120831/?ref_=fn_tt_tt_1,R
164,973,,Once Upon a Time in the West ,216005,2589,http://www.imdb.com/title/tt0064116/?ref_=fn_tt_tt_1,PG-13
81,4000,5308707,Made ,15053,5245,http://www.imdb.com/title/tt0227005/?ref_=fn_tt_tt_1,R
415,18000,5009677,Moon ,260607,19404,http://www.imdb.com/title/tt1182345/?ref_=fn_tt_tt_1,R
43,2000,4328294,Keeping Up with the Steins ,2719,5900,http://www.imdb.com/title/tt0415949/?ref_=fn_tt_tt_1,PG-13
7,55,4074023,Sea Rex 3D: Journey to a Prehistoric World ,296,55,http://www.imdb.com/title/tt1529567/?ref_=fn_tt_tt_1,
120,990,4306697,The Sweet Hereafter ,26720,2820,http://www.imdb.com/title/tt0120255/?ref_=fn_tt_tt_1,R
195,186,3950029,Of Gods and Men ,12411,416,http://www.imdb.com/title/tt1588337/?ref_=fn_tt_tt_1,PG-13
109,25000,4040588,Bottle Shock ,12233,25676,http://www.imdb.com/title/tt0914797/?ref_=fn_tt_tt_1,PG-13
21,922,,Jekyll and Hyde... Together Again ,881,1324,http://www.imdb.com/title/tt0084171/?ref_=fn_tt_tt_1,R
93,14000,3049135,Heavenly Creatures ,50197,14574,http://www.imdb.com/title/tt0110005/?ref_=fn_tt_tt_1,R
12,4000,4700361,90 Minutes in Heaven ,2047,6617,http://www.imdb.com/title/tt4337690/?ref_=fn_tt_tt_1,PG-13
155,8000,2711210,Everything Must Go ,40305,10517,http://www.imdb.com/title/tt1531663/?ref_=fn_tt_tt_1,R
81,624,1980338,Zero Effect ,12366,1209,http://www.imdb.com/title/tt0120906/?ref_=fn_tt_tt_1,R
204,23000,1082044,The Machinist ,281649,24994,http://www.imdb.com/title/tt0361862/?ref_=fn_tt_tt_1,R
19,722,1100000,Light Sleeper ,3665,1201,http://www.imdb.com/title/tt0102307/?ref_=fn_tt_tt_1,R
163,10000,2445646,Kill the Messenger ,32382,12897,http://www.imdb.com/title/tt1216491/?ref_=fn_tt_tt_1,R
248,967,2221809,Rabbit Hole ,40618,1582,http://www.imdb.com/title/tt0935075/?ref_=fn_tt_tt_1,PG-13
39,3000,296665,Party Monster ,12675,5185,http://www.imdb.com/title/tt0320244/?ref_=fn_tt_tt_1,R
322,727,3219029,Green Room ,28845,1836,http://www.imdb.com/title/tt4062536/?ref_=fn_tt_tt_1,R
50,740,,The Oh in Ohio ,5494,1665,http://www.imdb.com/title/tt0422861/?ref_=fn_tt_tt_1,R
12,578,830210,Atlas Shrugged: Who Is John Galt? ,1900,3382,http://www.imdb.com/title/tt2800038/?ref_=fn_tt_tt_1,PG-13
83,387,1040879,Bottle Rocket ,54478,648,http://www.imdb.com/title/tt0115734/?ref_=fn_tt_tt_1,R
37,10000,326308,Albino Alligator ,6632,13718,http://www.imdb.com/title/tt0115495/?ref_=fn_tt_tt_1,R
16,75,240425,"Gandhi, My Father ",1311,172,http://www.imdb.com/title/tt0459293/?ref_=fn_tt_tt_1,
121,6,228830,Standard Operating Procedure ,3329,6,http://www.imdb.com/title/tt0896866/?ref_=fn_tt_tt_1,R
24,311,,Out of the Blue ,1599,498,http://www.imdb.com/title/tt0081291/?ref_=fn_tt_tt_1,R
324,948,223615,Tucker and Dale vs Evil ,127842,2958,http://www.imdb.com/title/tt1465522/?ref_=fn_tt_tt_1,R
27,3000,124720,"Lovely, Still ",1560,4987,http://www.imdb.com/title/tt1150947/?ref_=fn_tt_tt_1,PG
9,197,,Tycoon ,989,538,http://www.imdb.com/title/tt0039927/?ref_=fn_tt_tt_1,Approved
31,1000,99147,Desert Blue ,1884,3207,http://www.imdb.com/title/tt0126261/?ref_=fn_tt_tt_1,R
35,889,,Decoys ,4041,2984,http://www.imdb.com/title/tt0357585/?ref_=fn_tt_tt_1,R
371,432,65069140,The Visit ,65299,1010,http://www.imdb.com/title/tt3567288/?ref_=fn_tt_tt_1,PG-13
133,343,65087,Redacted ,8824,408,http://www.imdb.com/title/tt0937237/?ref_=fn_tt_tt_1,R
13,811,16066,Fascination ,1207,1789,http://www.imdb.com/title/tt0305632/?ref_=fn_tt_tt_1,R
9,1000,,Saving Grace             ,3852,5203,http://www.imdb.com/title/tt0830900/?ref_=fn_tt_tt_1,TV-MA
56,46,,Area 51 ,7888,117,http://www.imdb.com/title/tt1519461/?ref_=fn_tt_tt_1,R
191,331,,Sleep Tight ,23756,526,http://www.imdb.com/title/tt1437358/?ref_=fn_tt_tt_1,Not Rated
80,570,,The Cottage ,10056,1258,http://www.imdb.com/title/tt0465430/?ref_=fn_tt_tt_1,Unrated
19,866,,Dead Like Me: Life After Death ,10734,3724,http://www.imdb.com/title/tt1079444/?ref_=fn_tt_tt_1,R
19,3000,,Farce of the Penguins ,4322,10727,http://www.imdb.com/title/tt0488539/?ref_=fn_tt_tt_1,R
,695,,Flying By ,215,3217,http://www.imdb.com/title/tt1131732/?ref_=fn_tt_tt_1,PG-13
38,1000,,Psych             ,67315,4092,http://www.imdb.com/title/tt0491738/?ref_=fn_tt_tt_1,TV-PG
44,745,37440,Rudderless ,12672,1986,http://www.imdb.com/title/tt1798243/?ref_=fn_tt_tt_1,R
3,979,,Henry & Me ,83,2509,http://www.imdb.com/title/tt1460798/?ref_=fn_tt_tt_1,PG
6,989,,Christmas Eve ,1091,3514,http://www.imdb.com/title/tt3703148/?ref_=fn_tt_tt_1,PG
,708,,We Have Your Husband ,216,3059,http://www.imdb.com/title/tt2063015/?ref_=fn_tt_tt_1,TV-PG
64,12000,,Dying of the Light ,6964,12676,http://www.imdb.com/title/tt1274586/?ref_=fn_tt_tt_1,R
8,1000,,Born of War ,237,1681,http://www.imdb.com/title/tt1554921/?ref_=fn_tt_tt_1,R
64,1000,,Capricorn One ,15988,5191,http://www.imdb.com/title/tt0077294/?ref_=fn_tt_tt_1,PG
2,975,,Should've Been Romeo ,38,4991,http://www.imdb.com/title/tt1717210/?ref_=fn_tt_tt_1,
,784,,Running Forever ,8,3021,http://www.imdb.com/title/tt4453560/?ref_=fn_tt_tt_1,
35,40000,,Yoga Hosers ,849,46115,http://www.imdb.com/title/tt3838992/?ref_=fn_tt_tt_1,PG-13
21,741,,Navy Seals vs. Zombies ,928,2849,http://www.imdb.com/title/tt4511566/?ref_=fn_tt_tt_1,
99,61,617228,I Served the King of England ,6183,92,http://www.imdb.com/title/tt0284363/?ref_=fn_tt_tt_1,R
115,595,274385,Soul Kitchen ,29203,1519,http://www.imdb.com/title/tt1244668/?ref_=fn_tt_tt_1,
104,3000,24475416,Sling Blade ,72443,3967,http://www.imdb.com/title/tt0117666/?ref_=fn_tt_tt_1,R
195,874,,The Awakening ,46347,2363,http://www.imdb.com/title/tt1687901/?ref_=fn_tt_tt_1,R
303,1000,47277326,Hostel ,138814,2990,http://www.imdb.com/title/tt0450278/?ref_=fn_tt_tt_1,R
122,1000,1247453,Tristram Shandy: A Cock and Bull Story ,11202,3690,http://www.imdb.com/title/tt0423409/?ref_=fn_tt_tt_1,R
359,982,1729969,Take Shelter ,68211,1520,http://www.imdb.com/title/tt1675192/?ref_=fn_tt_tt_1,R
130,968,1705139,Lady in White ,4695,2545,http://www.imdb.com/title/tt0095484/?ref_=fn_tt_tt_1,R
64,10000,238774,Driving Lessons ,9611,11703,http://www.imdb.com/title/tt0446687/?ref_=fn_tt_tt_1,PG-13
13,927,,Let's Kill Ward's Wife ,4247,2469,http://www.imdb.com/title/tt2980708/?ref_=fn_tt_tt_1,Unrated
159,237,8025872,The Texas Chainsaw Massacre 2 ,19234,302,http://www.imdb.com/title/tt0092076/?ref_=fn_tt_tt_1,X
54,773,,Pat Garrett & Billy the Kid ,13467,2409,http://www.imdb.com/title/tt0070518/?ref_=fn_tt_tt_1,R
440,33000,778565,Only God Forgives ,83234,34779,http://www.imdb.com/title/tt1602613/?ref_=fn_tt_tt_1,R
7,226,,Camping sauvage ,262,286,http://www.imdb.com/title/tt0451673/?ref_=fn_tt_tt_1,
4,571,,Without Men ,1427,2006,http://www.imdb.com/title/tt1547090/?ref_=fn_tt_tt_1,R
1,5,,Barfi ,57,5,http://www.imdb.com/title/tt3099638/?ref_=fn_tt_tt_1,
96,18000,1340891,Dear Frankie ,18940,18105,http://www.imdb.com/title/tt0377752/?ref_=fn_tt_tt_1,PG-13
8,584,,All Hat ,436,2668,http://www.imdb.com/title/tt0903131/?ref_=fn_tt_tt_1,R
87,74,513836,The Names of Love ,6304,143,http://www.imdb.com/title/tt1646974/?ref_=fn_tt_tt_1,R
10,943,,Treading Water ,421,1795,http://www.imdb.com/title/tt2091427/?ref_=fn_tt_tt_1,
121,13000,434417,Savage Grace ,8867,15093,http://www.imdb.com/title/tt0379976/?ref_=fn_tt_tt_1,Not Rated
43,109,728,Out of the Blue ,2776,122,http://www.imdb.com/title/tt0839938/?ref_=fn_tt_tt_1,
45,801,81200000,Police Academy ,87739,3113,http://www.imdb.com/title/tt0087928/?ref_=fn_tt_tt_1,R
36,1000,,The Blue Lagoon ,50125,1662,http://www.imdb.com/title/tt0080453/?ref_=fn_tt_tt_1,R
84,1000,52700832,Four Weddings and a Funeral ,107923,1862,http://www.imdb.com/title/tt0109831/?ref_=fn_tt_tt_1,R
118,1000,,Fast Times at Ridgemont High ,71217,5002,http://www.imdb.com/title/tt0083929/?ref_=fn_tt_tt_1,X
42,232,,Moby Dick ,13474,588,http://www.imdb.com/title/tt0049513/?ref_=fn_tt_tt_1,Unrated
202,22000,13060843,25th Hour ,149528,26050,http://www.imdb.com/title/tt0307901/?ref_=fn_tt_tt_1,R
5,562,,Secrets and Lies             ,6762,1587,http://www.imdb.com/title/tt3516878/?ref_=fn_tt_tt_1,
120,3000,3798532,Bound ,41138,3668,http://www.imdb.com/title/tt0115736/?ref_=fn_tt_tt_1,R
234,1000,3609278,Requiem for a Dream ,573541,2235,http://www.imdb.com/title/tt0180093/?ref_=fn_tt_tt_1,R
17,188,,State Fair ,2756,496,http://www.imdb.com/title/tt0038116/?ref_=fn_tt_tt_1,Approved
35,341,1687311,Tango ,2412,371,http://www.imdb.com/title/tt0120274/?ref_=fn_tt_tt_1,PG-13
48,854,,Salvador ,15175,2762,http://www.imdb.com/title/tt0091886/?ref_=fn_tt_tt_1,R
49,589,10429707,Moms' Night Out ,10483,2705,http://www.imdb.com/title/tt3014666/?ref_=fn_tt_tt_1,PG
283,15000,727883,Donnie Darko ,580999,17040,http://www.imdb.com/title/tt0246578/?ref_=fn_tt_tt_1,R
16,274,1391770,Saving Private Perez ,1592,793,http://www.imdb.com/title/tt0461336/?ref_=fn_tt_tt_1,PG-13
54,25,713413,Character ,9171,48,http://www.imdb.com/title/tt0119448/?ref_=fn_tt_tt_1,R
92,835,410241,Spun ,32357,2110,http://www.imdb.com/title/tt0283003/?ref_=fn_tt_tt_1,R
159,1000,278821,Life During Wartime ,5465,5041,http://www.imdb.com/title/tt0808526/?ref_=fn_tt_tt_1,R
202,717,211667,Lady Vengeance ,53508,907,http://www.imdb.com/title/tt0451094/?ref_=fn_tt_tt_1,R
50,24,706622,Mozart's Sister ,1213,53,http://www.imdb.com/title/tt1653911/?ref_=fn_tt_tt_1,
54,26000,92191,Mean Machine ,29463,29325,http://www.imdb.com/title/tt0291341/?ref_=fn_tt_tt_1,R
98,155,49413,Exiled ,6919,398,http://www.imdb.com/title/tt0796212/?ref_=fn_tt_tt_1,R
92,820,199652,Blackthorn ,7390,1950,http://www.imdb.com/title/tt1629705/?ref_=fn_tt_tt_1,R
112,129,181655,Lilya 4-Ever ,35464,131,http://www.imdb.com/title/tt0300140/?ref_=fn_tt_tt_1,R
138,14000,108229,After.Life ,30836,15860,http://www.imdb.com/title/tt0838247/?ref_=fn_tt_tt_1,R
9,327,,Fugly ,781,496,http://www.imdb.com/title/tt3683702/?ref_=fn_tt_tt_1,
149,888,112000000,One Flew Over the Cuckoo's Nest ,680041,2176,http://www.imdb.com/title/tt0073486/?ref_=fn_tt_tt_1,R
5,19000,,R.L. Stine's Monsterville: The Cabinet of Souls ,917,20397,http://www.imdb.com/title/tt4386242/?ref_=fn_tt_tt_1,PG
