director_name,num_critic_for_reviews,actor_3_facebook_likes,actor_2_name,genres,movie_title,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,plot_keywords,num_user_for_reviews,country,budget,title_year,actor_2_facebook_likes,aspect_ratio,movie_facebook_likes
Stephen Chow,83,3,Yuqi Zhang,Comedy|Family|Sci-Fi,CJ7 ,11391,82,1,father son relationship|miracle|school|ufo|written and directed by cast member,66,Hong Kong,,2008,33,2.35,1000
Jean-Marie Poiré,8,11,Philippe Nahon,Comedy|Family|Fantasy|Sci-Fi,Les couloirs du temps: Les visiteurs II ,7147,182,0,jewel|knight|magical potion|sequel|time travel comedy,16,France,140000000,1998,56,2.35,136
Kevin Munroe,138,311,Laura Spencer,Action|Comedy|Crime|Fantasy|Horror|Mystery|Sci-Fi|Thriller,Dylan Dog: Dead of Night ,13026,1577,1,close up of eyes|monster|quirkiness|supernatural|vomiting,75,USA,20000000,2010,368,2.35,0
Daniel Algrant,42,442,Richard Schiff,Crime|Drama|Mystery,People I Know ,9868,15612,3,actor|client|new york|protection|scandal,81,USA,22000000,2002,506,1.85,217
,,9,George Coulouris,Drama|Family,The Doombolt Chase             ,18,344,4,,,UK,,,11,,0
Julie Taymor,92,181,Reeve Carney,Comedy|Drama|Fantasy|Romance,The Tempest ,6147,3785,2,banishment|sorcery|spirit|staff|storm at sea,36,USA,20000000,2010,602,2.35,0
Alejandro Amenábar,140,648,Aaron Ashmore,Crime|Drama|Mystery|Thriller,Regression ,20821,10982,1,inspired by true events|memory|minnesota|police|year 1990,62,Spain,,2015,750,2.35,0
Jane Clark,,51,Traci Dinwiddie,Romance|Short,The Touch ,118,726,0,lesbian|paris france|period piece|poem|poetess,,USA,13000,2007,281,1.85,30
Daniel Lee,29,60,Sammo Kam-Bo Hung,Action|Drama|History|War,Three Kingdoms: Resurrection of the Dragon ,5154,1113,3,art of war|china|civil war|female warrior|musician,29,China,25000000,2008,472,2.35,314
Mike Barker,29,716,Nicholas Lea,Crime|Drama|Thriller,Shattered ,25450,20472,1,daughter|gun|nanny|sociopath|suburb,118,UK,20000000,2007,867,2.35,0
Wayne Thornley,39,700,Phil LaMarr,Adventure|Animation|Comedy|Family,Zambezia ,5203,15680,0,bird|city name in title|falcon|one word title|place name in title,11,South Africa,20000000,2012,857,1.78,1000
Gnana Rajasekaran,2,7,Michael Lieber,Biography|Drama|History,Ramanujan ,102,164,0,ramanujan,1,India,,2014,36,2.35,58
Tom Walsh,2,53,Maggie Wheeler,Animation,Dwegons and Leprechauns ,50,1092,4,dwegons,3,USA,20000000,2014,282,,70
Jonathan Jakubowicz,,897,Jurnee Smollett-Bell,Action|Biography|Drama|Sport,Hands of Stone ,178,27425,0,boxer|boxing|three word title,1,Panama,20000000,2016,2000,,0
James McTeigue,64,889,Roger Rees,Action|Crime|Thriller,Survivor ,21833,17957,2,cigarette lighter|death|fire|on the run|terrorist,101,USA,20000000,2015,1000,2.35,0
Scott Walker,120,897,Radha Mitchell,Crime|Drama|Mystery|Thriller,The Frozen Ground ,43879,16355,3,anchorage alaska|based on true story|pole dancer|serial killer|strip club,133,USA,27220000,2013,991,2.35,11000
John Curran,143,7,Sally Hawkins,Drama|Romance,The Painted Veil ,77656,2608,0,china|cholera|epidemic|love|marriage,220,China,19400000,2006,594,2.35,0
Uli Edel,160,155,Alexandra Maria Lara,Action|Biography|Crime|Drama,The Baader Meinhof Complex ,29602,1601,2,bonn germany|failed kidnapping|handcuffs|projectile|terrorist,110,Germany,20000000,2008,471,1.85,0
Kevin Costner,92,232,Michael Spears,Adventure|Drama|Western,Dances with Wolves ,186485,2398,1,friendship|frontier|honor|outpost|soldier,382,USA,22000000,1990,839,2.35,0
Jake Kasdan,286,384,John Michael Higgins,Comedy,Bad Teacher ,160418,5547,0,boob job|breast enlargement|breast surgery|cheating on a test|ejaculation,296,USA,20000000,2011,957,1.85,16000
Harold Becker,43,551,Michael O'Neill,Crime|Drama|Mystery|Thriller,Sea of Love ,30213,15914,1,detective|love|single|suspect|title from song,112,USA,19000000,1989,599,1.85,0
Mark Rosman,69,528,Lin Shaye,Comedy|Family|Romance,A Cinderella Story ,62861,3092,2,cinderella story|correspondence|evil step mother|female protagonist|teenage girl,232,USA,20000000,2004,852,1.85,0
Wes Craven,242,157,W. Earl Brown,Horror|Mystery,Scream ,222018,1212,0,mask|mystery killer|slasher|teenage girl|telephone,869,USA,15000000,1996,422,2.35,11000
Steve Beck,149,670,Embeth Davidtz,Horror,Thir13en Ghosts ,65512,3023,0,collector|ghost|ghost hunter|glass house|machine,478,USA,20000000,2001,795,1.33,0
Stanley Kubrick,253,413,Shelley Duvall,Drama|Horror,The Shining ,610333,2560,0,breaking down a door|haunted hotel|identical twins|labyrinth|twin sisters,1320,USA,19000000,1980,629,1.37,37000
Robert Zemeckis,198,459,Thomas F. Wilson,Adventure|Comedy|Sci-Fi,Back to the Future ,732212,3230,0,clock tower|delorean|future|time travel|time travel comedy,809,USA,19000000,1985,690,1.18,39000
William Malone,147,545,Peter Gallagher,Horror|Mystery|Thriller,House on Haunted Hill ,45317,2872,0,billionaire|corpse|eccentric|haunted hospital|haunted house,536,USA,19000000,1999,828,1.37,0
Tyler Perry,36,256,Mary J. Blige,Comedy|Drama,I Can Do Bad All by Myself ,8346,1465,6,aunt|immigrant|looting|love|nightclub singer,59,USA,13000000,2009,269,1.85,1000
Rob Hawk,6,319,Erin O'Brien,Action|Drama,Fight Valley ,60,2374,4,,6,USA,27000000,2016,634,,1000
Josh Gordon,181,110,Scott Elrod,Comedy|Drama|Romance,The Switch ,77987,1292,2,artificial insemination|best friend|new york city|sperm|sperm donor,120,USA,19000000,2010,449,2.35,0
Shawn Levy,97,306,David Agranov,Comedy|Romance,Just Married ,57479,2020,2,fall|honeymoon|love|marriage|newlywed,205,USA,18000000,2003,308,1.85,0
Lee Tamahori,167,521,Dominic Cooper,Biography|Drama|Thriller,The Devil's Double ,53977,35561,1,betrayal|debauchery|lust|palace|saddam hussein,125,Belgium,15000000,2011,3000,2.35,14000
,,211,Jenni 'Jwoww' Farley,Comedy|Drama|Reality-TV|Romance,"Gone, Baby, Gone             ",29,1462,1,lifestyle,,,,,230,1.33,0
Britt Allcroft,47,402,Colm Feore,Adventure|Comedy|Drama|Family|Fantasy,Thomas and the Magic Railroad ,2855,2429,1,locomotive|magic|mountain|railroad|steam locomotive,119,UK,19000000,2000,539,1.85,663
Breck Eisner,308,219,Glenn Morshower,Horror|Thriller,The Crazies ,93272,2609,0,deputy|iowa|rural setting|sheriff|survival,251,USA,20000000,2010,894,2.35,0
Hayao Miyazaki,246,7,Ryûnosuke Kamiki,Adventure|Animation|Family|Fantasy,Spirited Away ,417971,44,0,anime|bathhouse|pig|spirit|work,902,Japan,19000000,2001,10,1.85,28000
Alan Yuen,23,30,Michael Wong,Action|Crime|Thriller,Firestorm ,1904,635,1,die hard scenario|gunfight|hong kong police|police escort attacked|shootout,12,China,,2013,91,2.35,332
Roger Donaldson,29,1000,Anthony Hopkins,Action|Adventure|Drama|History|Romance,The Bounty ,17982,28094,2,lieutenant|lifeboat|mutiny|sailing ship|ship,95,UK,25000000,1984,12000,2.35,1000
Brian Percival,252,326,Sophie Nélisse,Drama|War,The Book Thief ,98741,1985,1,basement|book|girl|library|track,236,USA,19000000,2013,526,2.35,53000
Sean Anders,102,630,Michael Cudlitz,Adventure|Comedy|Romance,Sex Drive ,72715,4324,1,amish|friend|friendship|high school|virgin,103,USA,19000000,2008,822,1.85,0
Anand Tucker,134,356,Kaitlin Olson,Comedy|Romance,Leap Year ,71276,4094,2,ireland|irish|journey|tradition|travel,181,USA,19000000,2010,547,2.35,13000
Anthony Mann,30,102,Mel Ferrer,Drama|History|War,The Fall of the Roman Empire ,6156,1131,0,2nd century|emperor|european history|loosely based on historical events|roman empire,91,USA,19000000,1964,134,2.2,560
Michael Dowse,136,562,Michael Biehn,Comedy|Drama|Romance,Take Me Home Tonight ,43867,5519,4,friend|night|party|sex scene|sister,83,USA,23000000,2011,2000,2.35,0
Daniel Barnz,102,505,Rosie Perez,Drama,Won't Back Down ,5147,3260,2,children|inner city|parent|school|teacher,37,USA,,2012,919,2.35,0
Emile Ardolino,10,0,Kyra Nichols,Family|Fantasy|Music,The Nutcracker ,1153,2,0,christmas|lifting female in air|lifting male in air|lifting someone into the air|little girl,15,USA,19000000,1993,0,1.85,238
Robert Altman,31,530,Jennifer Jason Leigh,Crime|Drama|Music|Thriller,Kansas City ,3536,14579,2,1930s|election|female frontal nudity|kansas city|politician,44,France,19000000,1996,1000,1.85,228
James Schamus,63,85,Sarah Gadon,Drama,Indignation ,550,8972,0,based on novel,3,USA,,2016,691,2.0,599
Andrew Douglas,220,16000,Chloë Grace Moretz,Drama|Horror|Mystery|Thriller,The Amityville Horror ,80903,120797,0,ghost|haunted house|murder|nightmare|priest,518,USA,19000000,2005,17000,2.35,0
Spike Jonze,241,836,Meryl Streep,Comedy|Drama,Adaptation. ,143251,25489,0,book|orchid|screenwriter|thief|twin,710,USA,19000000,2002,11000,1.85,0
George A. Romero,252,233,Shawn Roberts,Horror,Land of the Dead ,78883,1876,8,apocalypse|mercenary|skyscraper|urban setting|zombie apocalypse,662,Canada,15000000,2005,529,2.35,0
Danny Pang,23,27,Angelica Lee,Action,Out of Inferno ,625,151,2,,4,China,,2013,39,1.85,124
Terry Gilliam,156,551,Michael Jeter,Adventure|Comedy|Drama,Fear and Loathing in Las Vegas ,213226,43105,0,american dream|convertible|drugs|journalist|lawyer,648,USA,18500000,1998,693,2.35,15000
Ricky Gervais,192,985,Tina Fey,Comedy|Fantasy|Romance,The Invention of Lying ,94292,7252,3,genetics|heaven|lie|screenwriter|truth,287,USA,18500000,2009,2000,1.85,13000
Nicholas Stoller,351,329,Carla Gallo,Comedy,Neighbors ,216581,2771,3,broken leg|friendship|jewish|topless female nudity|urination,397,USA,18000000,2014,798,2.35,21000
Chuck Russell,57,360,Amy Yasbeck,Action|Comedy|Crime|Fantasy,The Mask ,265818,2085,0,bank|bank clerk|gangster|loki|mask,213,USA,18000000,1994,424,1.85,0
Penny Marshall,99,697,Jon Lovitz,Comedy|Drama|Family|Fantasy|Romance,Big ,153468,28018,1,friend|job|new york city|toy|wish,204,USA,18000000,1988,11000,1.85,0
Larry Charles,343,6,Ken Davitian,Comedy,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan ,297014,505,1,california|city|kazakhstan|travel|tv reporter,1198,USA,18000000,2006,165,1.85,0
Robert Luketic,163,584,Raquel Welch,Comedy|Romance,Legally Blonde ,131801,4380,1,blonde|harvard|law|law school|sorority,548,USA,18000000,2001,788,2.35,0
Leonard Nimoy,110,643,Nichelle Nichols,Action|Adventure|Sci-Fi,Star Trek III: The Search for Spock ,58743,14762,1,dying planet|planet|regaining one's memory|sacrifice|stabbed to death,192,USA,17000000,1984,664,2.35,0
Scott Derrickson,233,457,Colm Feore,Drama|Horror|Thriller,The Exorcism of Emily Rose ,96569,2759,0,death|demonic possession|exorcism|lawyer|priest,522,USA,20000000,2005,539,2.35,0
Mike Mitchell,91,489,Eddie Griffin,Comedy|Romance,Deuce Bigalow: Male Gigolo ,59380,2604,1,aquarium|fish|fish tank|gigolo|norwegian,202,USA,17000000,1999,489,1.85,0
Vic Armstrong,169,734,Lea Thompson,Action|Drama|Fantasy|Mystery|Thriller,Left Behind ,24854,15044,1,bible quote|chaos|faith|riot|shrine,374,USA,16000000,2014,1000,2.35,31000
Thomas Bezucha,142,172,Paul Schneider,Comedy|Drama|Romance,The Family Stone ,49077,1615,0,christmas|cruelty|ring|secret|tension,475,USA,17000000,2005,552,1.85,0
Kevin Rodney Sullivan,50,521,Sean Patrick Thomas,Comedy|Drama,Barbershop 2: Back in Business ,10104,3956,4,barbecue|barbershop|blaxploitation|marriage|politics,69,USA,18000000,2004,656,1.85,265
Terry Zwigoff,195,566,Tony Cox,Comedy|Crime|Drama,Bad Santa ,107815,3151,2,bartender|christmas|christmas eve|department store|drink,485,USA,18000000,2003,624,1.85,10000
Jay Roach,129,481,Charles Napier,Comedy|Crime,Austin Powers: International Man of Mystery ,183425,10557,2,cartoon on tv|reference to frankenstein|reference to jimi hendrix|scene during end credits|surrealism,425,USA,17000000,1997,503,2.35,0
Kirk Jones,156,261,Louis Mandylor,Comedy|Family|Romance,My Big Fat Greek Wedding 2 ,13562,2259,10,family restaurant|greek|remarriage|suburb|wedding,103,USA,18000000,2016,312,2.35,19000
David Bowers,103,557,Rachael Harris,Comedy|Family,Diary of a Wimpy Kid: Rodrick Rules ,18727,3567,2,brother|middle school|no opening credits|photograph|school,45,USA,21000000,2011,569,2.35,0
John McTiernan,217,794,Bill Duke,Action|Horror|Sci-Fi,Predator ,290949,4223,1,box office hit|commando|death of friend|jungle|severed arm,629,USA,15000000,1987,1000,1.85,13000
Milos Forman,134,521,F. Murray Abraham,Biography|Drama|History|Music,Amadeus ,270790,3076,0,1800s|classical composer|composer|first person narration|opera,549,USA,18000000,1984,670,2.35,16000
Nelson McCormick,146,458,Scott Porter,Horror|Mystery,Prom Night ,27664,4867,0,friend|hotel|killer|murder|prom,260,USA,20000000,2008,690,2.35,1000
Mark Waters,159,625,Amy Poehler,Comedy,Mean Girls ,245989,5032,4,bully|clique|high school|high school girl|secret,554,USA,17000000,2004,1000,1.85,0
Audrey Wells,111,148,Lindsay Duncan,Comedy|Drama|Romance,Under the Tuscan Sun ,35718,1310,1,author|book|vacation|villa|writer,317,USA,18000000,2003,171,1.85,0
Robert Altman,187,555,Bob Balaban,Drama|Mystery,Gosford Park ,65201,3261,0,country house|murder|producer|servant|shooting party,651,UK,19800000,2001,559,2.35,0
,20,650,Melinda Clarke,Comedy|Drama|Romance,The O.C.             ,65785,2546,8,california|lawyer|love|orange county california|wealth,281,USA,,,787,1.78,0
Francis Ford Coppola,44,805,Kathleen Turner,Comedy|Drama|Fantasy|Romance,Peggy Sue Got Married ,27149,14672,0,alternate history|alternate timeline|divorce|high school|reunion,96,USA,18000000,1986,899,1.85,0
Alejandro G. Iñárritu,588,529,Naomi Watts,Comedy|Drama|Romance,Birdman or (The Unexpected Virtue of Ignorance) ,395087,21668,8,actor|artist|broadway play|replacement|stage,1101,USA,18000000,2014,6000,1.85,114000
Woody Allen,415,218,Charlie Tahan,Drama,Blue Jasmine ,150082,1353,1,congenital liar|mental breakdown|self deception|snob|talking to oneself,384,USA,18000000,2013,268,2.35,36000
Paul Greengrass,279,64,David Alan Basche,Drama|History|Thriller,United 93 ,83374,313,0,flight|passenger|plane|september 11 2001|terrorist,828,USA,15000000,2006,68,2.35,0
Bille Woodruff,97,582,Mekhi Phifer,Drama|Music|Romance,Honey ,36666,4868,2,choreographer|dance|dancer|dancing|hip hop,144,USA,25000000,2003,1000,1.85,0
Edward Zwick,60,2000,Morgan Freeman,Drama|History|War,Glory ,101889,32930,3,army|black soldier|military uniform|prejudice|u.s. civil war,365,USA,18000000,1989,11000,1.85,0
Rick Friedberg,27,341,Barry Bostwick,Action|Comedy,Spy Hard ,29621,2653,2,1990s|dentist|hit with a door|martial arts|museum,76,USA,18000000,1996,456,1.85,588
John Carpenter,212,606,Hal Holbrook,Fantasy|Horror,The Fog ,46492,4877,0,california|fog|leper|lighthouse|ship,335,USA,1000000,1980,826,2.35,7000
Sean McNamara,110,723,Chris Brochu,Biography|Drama|Family|Sport,Soul Surfer ,35514,5024,1,christian|christian film|shark|surfer|surfing,114,USA,18000000,2011,795,2.35,15000
Mike Nichols,45,191,Bob Balaban,Comedy|Drama|War,Catch-22 ,17277,2032,0,catch 22|friend|insanity|kneed in the groin|military,124,USA,18000000,1970,559,2.35,0
Jody Hill,190,59,Celia Weston,Comedy|Crime|Drama,Observe and Report ,52467,727,1,male pubic hair|mall|police detective|pubic hair|security guard,248,USA,18000000,2009,258,2.35,0
Richard Fleischer,77,406,Olivia d'Abo,Action|Adventure|Fantasy,Conan the Destroyer ,62009,2481,1,gods|princess|queen|rescue|wizard,109,USA,18000000,1984,476,2.35,2000
Martin Scorsese,151,356,Cathy Moriarty,Biography|Drama|Sport,Raging Bull ,235133,23008,1,boxing|domestic violence|hot temper|jealousy|rage,494,USA,18000000,1980,394,1.85,0
Brandon Camp,111,827,Sasha Alexander,Drama|Romance,Love Happens ,25344,4947,0,florist|motivational speaker|self help guru|seminar|widower,77,USA,18000000,2009,980,1.85,0
Barry Levinson,64,124,Roger Ashton-Griffiths,Adventure|Fantasy|Mystery|Thriller,Young Sherlock Holmes ,14870,605,1,cult|death|delusion|girl|sherlock holmes,86,USA,18000000,1985,144,1.85,0
Kevin Tancharoen,134,637,Kay Panabaker,Comedy|Drama|Musical|Romance,Fame ,14062,5734,0,new york|performing arts|school|student|teacher,82,USA,18000000,2009,720,2.35,0
Danny Boyle,450,223,Treat Williams,Adventure|Biography|Drama|Thriller,127 Hours ,279179,11984,0,alone|aron ralston|based on autobiography|canyon|survival,440,USA,18000000,2010,642,1.85,63000
Woody Allen,128,975,Jon Lovitz,Comedy|Crime,Small Time Crooks ,31169,23283,0,apartment building|crook|new york city|three word title|written and directed by cast member,192,USA,18000000,2000,11000,1.85,812
Nicholas Hytner,68,111,Susan May Pratt,Drama|Music|Romance,Center Stage ,15817,1201,2,ballet|dance|dancer|dancing|love,210,USA,18000000,2000,220,2.35,0
Jessie Nelson,97,85,Alex Borstein,Comedy,Love the Coopers ,9051,10691,13,christmas|family dinner|husband wife conflict|husband wife kiss|large family,68,USA,17000000,2015,566,2.35,0
Bart Freundlich,54,362,Corbin Bleu,Comedy|Crime,Catch That Kid ,8023,18711,0,caper|computer genius|dog|heist|security chief,49,USA,18000000,2004,632,1.85,591
Irwin Winkler,99,1000,Hayden Christensen,Drama,Life as a House ,39105,21622,0,cancer|construction|house|house construction|neighbor,359,USA,18000000,2001,4000,2.35,0
Danny Boyle,412,816,Michael Fassbender,Biography|Drama,Steve Jobs ,93548,28933,0,apple computer|box office flop|computer|dialogue driven|father daughter relationship,307,UK,30000000,2015,13000,2.35,23000
Chris Columbus,107,529,Marie Avgeropoulos,Comedy|Romance,"I Love You, Beth Cooper ",28209,4072,1,cheerleader|party|popular girl|speech|valedictorian,80,Canada,18000000,2009,800,1.85,0
Miguel Arteta,192,729,Ari Graynor,Comedy|Drama|Romance,Youth in Revolt ,64646,16004,2,alter ego|boarding school|love|masturbation|teen movie,105,USA,18000000,2009,904,1.85,0
William A. Fraker,25,102,Richard Farnsworth,Action|Adventure|Western,The Legend of the Lone Ranger ,1400,927,0,ambush|hero|masked hero|outlaw|texas ranger,41,USA,18000000,1981,262,2.35,346
John Boorman,104,1000,Jamie Lee Curtis,Drama|Thriller,The Tailor of Panama ,23728,14995,0,canal|panama|president|spy|tailor,213,USA,18000000,2001,2000,2.35,813
Brian De Palma,120,101,Dennis Franz,Mystery|Thriller,Blow Out ,27629,1067,0,conspiracy|political conspiracy|recording|sound|truth,149,USA,18000000,1981,376,2.35,2000
Courtney Solomon,146,179,Paul Freeman,Action|Crime|Thriller,Getaway ,19586,676,1,die hard scenario|earth viewed from space|race against time|race car driver|title at the end,109,USA,18000000,2013,193,2.35,4000
Ang Lee,124,177,Kate Burton,Drama,The Ice Storm ,46396,1466,0,ice|ice storm|storm|thanksgiving|virgin,287,USA,18000000,1997,223,1.85,0
Rob Reiner,107,197,Annie Parisse,Comedy|Drama|Romance,And So It Goes ,8895,1673,2,four word title|grandparent grandchild relationship|reference to facebook|reference to the internet|singer,48,USA,18000000,2014,341,2.35,3000
Jeff Kanew,11,371,Shelley Long,Adventure|Comedy,Troop Beverly Hills ,7470,2368,1,beverly hills hotel|divorce|girl|troop|wilderness,35,USA,18000000,1989,422,1.37,0
István Szabó,93,202,Shaun Evans,Comedy|Drama|Romance,Being Julia ,10680,847,2,diva|marriage|open marriage|revenge|social climber,112,Canada,18000000,2004,204,1.85,562
Adrian Lyne,38,45,Karen Young,Drama|Romance,9½ Weeks ,29591,711,0,blindfolded woman|control|male dominance|sex game|sex in public,118,USA,17000000,1986,67,1.85,0
Matthew Robbins,60,94,Ralph Richardson,Action|Adventure|Fantasy,Dragonslayer ,10832,1263,0,apprentice|dragon|king|kingdom|wizard,102,USA,18000000,1981,115,2.35,0
Michael Hoffman,184,231,Kerry Condon,Biography|Drama|Romance,The Last Station ,15352,1341,2,countess|leo tolstoy|russian|wealth|writing,82,Germany,13000000,2009,416,2.35,0
Tim Burton,148,940,Bill Murray,Biography|Comedy|Drama,Ed Wood ,142416,56585,1,1950s|director|friend|friendship|transvestism,420,USA,18000000,1994,13000,1.85,0
Jason Reitman,217,405,Kate Winslet,Drama,Labor Day ,31898,39307,1,baseball|baseball practice|escaped convict|neighbor|tied to a chair,111,USA,18000000,2013,14000,2.35,0
Sergey Bodrov,160,9,Khulan Chuluun,Adventure|Biography|Drama|History|War,Mongol: The Rise of Genghis Khan ,37635,653,0,epic|genghis khan|one word title|slave|starving,165,Russia,20000000,2007,12,2.35,0
Guy Ritchie,209,1000,Gerard Butler,Action|Crime|Thriller,RocknRolla ,194489,46944,4,accountant|finger gun|homosexual|killed in an elevator|painting,192,UK,18000000,2008,18000,2.35,12000
Hal Needham,40,251,Michael Beck,Action|Sci-Fi,Megaforce ,2541,1356,2,dictator|electronic music score|one word title|secret headquarters|soldier,54,USA,20000000,1982,278,1.85,0
Kenneth Branagh,85,401,Brian Blessed,Drama,Hamlet ,30618,1645,0,classic literature|denmark|funeral|madness|prince,224,UK,18000000,1996,591,2.2,0
Bruce Beresford,83,238,Suzie Steen,Biography|Drama|Music|Romance,Mao's Last Dancer ,6091,1598,0,ballet|beijing|dancer|love|village,53,Australia,,2009,258,1.85,0
Jeff Nichols,263,201,Sam Shepard,Adventure|Drama|Sci-Fi|Thriller,Midnight Special ,31359,5671,0,cult|father son relationship|gas station|on the run|supernatural ability,156,Greece,18000000,2016,820,2.35,0
Woody Allen,128,922,Stockard Channing,Comedy|Romance,Anything Else ,25165,14843,2,love at first sight|new york city|sex|teacher|writer,155,USA,18000000,2003,944,2.35,827
Jonathan Teplitzky,186,212,Colin Firth,Biography|Drama|Romance|War,The Railway Man ,27882,39463,2,japanese soldier|physical torture|pow camp|prisoner of war|reference to adolf hitler,119,Australia,18000000,2013,14000,2.35,18000
,14,405,Dylan Walsh,Drama|Mystery,Unforgettable             ,12854,1906,1,hyperthymesia|new york city|police,44,USA,,,426,,0
Michael Haneke,292,16,Burghart Klaußner,Drama|Mystery,The White Ribbon ,52958,167,0,children|doctor|mysterious event|pastor|small village,193,Germany,12000000,2009,43,1.85,0
Zack Ward,15,161,Anna Harr,Horror,Restoration ,436,1498,0,,6,USA,,2016,290,,378
Mike Marvin,70,415,Randy Quaid,Action|Horror|Romance|Sci-Fi|Thriller,The Wraith ,10082,2319,2,arizona|death|gang|police|sheriff,100,USA,2700000,1986,695,1.85,0
D.J. Caruso,79,576,Meat Loaf,Crime|Drama|Mystery|Thriller,The Salton Sea ,26730,4094,0,male in shower|murder|neighbor neighbor relationship|remote control car|sex scene,180,USA,18000000,2002,783,1.85,2000
Nimród Antal,103,151,Mackenzie Gray,Music,Metallica Through the Never ,13359,1083,0,headbanger|metallica|roadie|song in title|standing on the roof of a car,56,USA,,2013,253,2.35,19000
Gregor Jordan,97,394,Brad Renfro,Crime|Drama|Thriller,The Informers ,14324,2215,1,breasts|female nudity|male pubic hair|pubic hair|sex scene,93,Germany,18000000,2008,551,2.35,1000
,108,30,Nora von Waldstätten,Biography|Crime|Drama|Thriller,Carlos             ,10111,1032,0,opec|pubic hair|revolutionary|terrorism|true crime,36,France,,,30,2.35,0
Tran Anh Hung,59,32,Simón Andreu,Thriller,I Come with the Rain ,2541,198,0,gangster|hong kong|missing person|missing son|serial killer,20,France,18000000,2009,35,2.35,342
Lance Hool,10,353,Joaquim de Almeida,Action|Drama|History|Romance|War|Western,One Man's Hero ,899,2705,2,american|battalion|catholic|mexican|sergeant,42,Spain,11350000,1999,578,2.35,271
George A. Romero,184,83,John Amplas,Horror,Day of the Dead ,49669,1592,1,bunker|experiment|military|research|scientist,419,USA,3500000,1985,177,1.85,3000
Chuck Russell,23,757,Rebecca De Mornay,Action|Crime|Drama|Thriller,I Am Wrath ,4510,3212,1,conspiracy|female scientist|mugging|police detective|tattoo,50,USA,18000000,2016,872,,0
Christian Volckman,112,69,Catherine McCormack,Action|Animation|Sci-Fi|Thriller,Renaissance ,14325,1185,0,future|kidnapping|missing file|paris france|year 2054,90,France,14000000,2006,306,2.35,0
Jon Cassar,45,720,Landon Liboiron,Drama|Western,Forsaken ,4693,4142,1,,49,Canada,11000000,2015,1000,2.35,0
Richard Fleischer,59,183,Brigitte Nielsen,Action|Adventure|Fantasy,Red Sonja ,30215,1243,1,cult film|psychotronic|sword and sorcery|talisman|warrior,95,Netherlands,17900000,1985,312,2.35,0
Rodrigo Cortés,195,920,Toby Jones,Drama|Horror|Mystery|Thriller,Red Lights ,48162,25804,2,fraud|physicist|psychic|skeptic|tailing,140,Spain,14000000,2012,2000,2.35,10000
Greg Mottola,256,778,Joe Lo Truglio,Comedy,Superbad ,422606,17584,2,black comedy|bromance|party|school|teen comedy,555,USA,20000000,2007,833,1.85,0
Tyler Perry,44,543,Keshia Knight Pulliam,Comedy|Crime|Drama,Madea Goes to Jail ,9544,3699,0,adaptation directed by original author|cross dressing|madea series|remake|sequel,45,USA,,2009,619,1.85,804
David Hayter,59,413,Jennifer Hale,Action|Horror,Wolves ,5693,13545,2,bar|female nudity|murder|small town|werewolf,34,France,18000000,2014,918,2.35,0
Jon M. Chu,97,129,Mari Koda,Drama|Music|Musical|Romance,Step Up 2: The Streets ,67653,816,2,audition|dance|kissing in the rain|student|subway,108,USA,23000000,2008,152,1.85,0
Cory Edwards,142,854,Chazz Palminteri,Action|Animation|Comedy|Crime|Family,Hoodwinked! ,45900,14385,1,animal|axe|red riding hood|wolf|woodsman,247,USA,17500000,2005,979,1.85,0
Terry George,187,242,Sophie Okonedo,Drama|History|War,Hotel Rwanda ,264533,4142,1,atrocity|central africa|ethnic warfare|united nations peace keeping force|united nations soldier,609,UK,17500000,2004,460,2.35,12000
Xavier Gens,193,280,Dougray Scott,Action|Crime|Drama|Thriller,Hitman ,140780,2124,1,hitman|impersonation|see through dress|topless female nudity|woman on top,376,France,24000000,2007,794,2.35,0
Kasi Lemmons,40,170,Mary J. Blige,Drama|Family|Music|Musical,Black Nativity ,1633,1373,5,based on stage musical|based on the bible|christmas|color in title|nativity,17,USA,17500000,2013,269,2.35,0
Brian A Miller,46,1000,50 Cent,Action|Thriller,The Prince ,13133,16735,4,assassin|fight|mechanic|rescue|rival,101,USA,18000000,2014,1000,2.35,0
Matt Dillon,38,50,Shawn Andrews,Crime|Drama|Thriller,City of Ghosts ,4387,245,0,bag over head|buddhist temple|loss of friend|male bonding|nightclub,67,USA,17500000,2002,67,1.85,204
Alejandro Amenábar,239,83,Elaine Cassidy,Fantasy|Horror|Thriller,The Others ,268581,956,0,curtain|haunting|mansion|mute|xeroderma pigmentosum,1109,USA,17000000,2001,203,1.85,20000
James Cameron,250,604,Carrie Henn,Action|Adventure|Sci-Fi,Aliens ,488537,4228,1,alien|human versus alien|monster|rescue mission|space marine,1076,USA,18500000,1986,626,1.85,18000
George Cukor,82,244,Rex Harrison,Drama|Family|Musical|Romance,My Fair Lady ,66959,1164,1,colonel|flower girl|professor|street|wager,258,USA,17000000,1964,272,2.2,0
Jim Gillespie,140,681,Sarah Michelle Gellar,Horror|Mystery|Thriller,I Know What You Did Last Summer ,105585,50284,1,beach|corpse|fourth of july|overalls|revenge,419,USA,17000000,1997,4000,2.35,0
