duration,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,cast_total_facebook_likes,actor_3_name,country,content_rating,title_year,aspect_ratio,movie_facebook_likes
100,0,Jerry Brown,21,29233,24,Peter Agnefjall,USA,,2015,,121
86,50,Shelly Varod,603,,854,Ralitsa Paskaleva,Canada,R,2014,1.78,721
92,597,Jake Busey,2000,,3854,Lew Temple,USA,Not Rated,2014,1.85,482
88,322,Jeff Fahey,795,,2497,Rita Wilson,,,2014,2.35,570
90,37,Joe Egan,1000,,1183,Glen Murphy,UK,R,2014,2.35,606
94,605,Harvey Korman,1000,,2861,Dick Van Patten,USA,PG,1977,1.85,0
80,34,Sofie Gråbøl,11000,77413017,11218,Romane Bohringer,France,G,2005,1.85,0
107,969,Demi Moore,18000,5354039,22834,Ashley Williams,USA,R,2011,1.85,21000
99,43,Adrian Gonzalez,141,,320,Edward Conna,USA,Not Rated,2011,2.35,224
92,539,Matt Gerald,1000,2926565,3608,Jonah Bobo,USA,R,2008,1.66,0
107,535,Melissa Benoist,24000,13092000,26495,Chris Mulkey,USA,R,2014,2.4,129000
135,40,Seu Jorge,1000,7563397,1211,Alexandre Rodrigues,Brazil,R,2002,1.85,28000
99,78,John Simm,798,104257,1430,Shaun Parkes,UK,R,1999,1.85,0
102,80,Rus Blackwell,632,,1011,Luis Antonio,USA,PG-13,2012,,0
93,303,Bruce Davison,11000,17311,11860,Piper Laurie,USA,R,2006,1.85,799
115,26,Alexandra Rapaport,74,610968,216,Hana Shuan,Denmark,R,2012,2.35,60000
94,378,Darren McGavin,662,,2076,Scott Schwartz,USA,PG,1983,1.85,18000
91,377,Ramon Rodriguez,625,8108247,2747,Eduardo Verástegui,USA,PG-13,2006,1.85,0
98,129,Perry King,595,,1105,Timothy Van Patten,Canada,R,1982,1.85,934
97,491,Kenan Thompson,756,,3717,Josh Hopkins,USA,,2014,16.0,0
92,405,Rupert Graves,631,7680,2020,Miriam Margolyes,USA,R,1999,,100
128,0,Agame Malembo-Emene,15,3766595,17,Angélica Sancio,France,PG-13,2008,2.35,0
136,449,Mia Farrow,917,,2997,Charles Grodin,USA,R,1968,1.85,13000
113,332,Woody Strode,756,,2693,Vera Miles,USA,Approved,1962,1.85,0
99,194,Terry Walters,828,2277396,1936,Amy Irving,USA,PG-13,2009,2.35,0
101,6,Wilson Guerrero,280,6517198,308,Yenny Paola Vega,Colombia,R,2004,1.85,0
105,157,Lou Taylor Pucci,1000,5776314,2016,Mary Page Keller,USA,R,2010,1.85,15000
95,898,Eric Dane,164000,,170118,Henry Rollins,USA,R,2005,2.35,0
109,559,Karen Allen,1000,141600000,3468,Tim Matheson,USA,R,1978,1.85,0
110,177,Gert Fröbe,387,51100000,1198,Lois Maxwell,UK,Approved,1964,1.37,0
108,463,Douglas Smith,691,,1962,Caleb Landry Jones,Canada,Not Rated,2012,1.85,0
118,248,Lionel Barrymore,488,,1844,Thomas Mitchell,USA,PG,1946,1.37,41000
94,557,Shirley Henderson,2000,16501785,3559,Ewen Bremner,UK,R,1996,1.85,21000
115,360,Cedric the Entertainer,1000,38168022,1964,Steve Harvey,USA,R,2000,1.85,290
98,189,Molly Ephraim,438,84749884,1081,Micah Sloat,USA,R,2010,1.85,14000
91,482,David Kelly,773,24788807,1965,Fionnula Flanagan,UK,PG,1998,2.35,0
120,184,Dick Clark,909,21244913,1779,Bill Clinton,Germany,R,2002,1.85,4000
109,4,Daoming Chen,878,377420,900,Ni Yan,China,PG-13,2014,2.35,0
87,217,Robert Rusler,426,30000000,1472,Marshall Bell,USA,R,1985,1.85,0
117,249,Rupert Graves,687,20966644,1665,Denholm Elliott,UK,Unrated,1985,1.66,0
85,535,Adelaide Kane,942,64423650,3708,Chris Mulkey,USA,R,2013,2.35,31000
110,412,Victoria Leigh,1000,48056940,2239,James Ransone,USA,R,2012,2.35,58000
113,12,Mikki Padilla,71,19184015,159,Dayna Devon,USA,R,2002,1.85,63
108,110,Judith Anderson,253,,649,Jack Carson,USA,Approved,1958,1.85,0
95,158,Gregory Sierra,220,,1186,Victor Buono,USA,G,1970,2.35,0
98,693,Bill Cobbs,2000,24629916,4277,Michael Jeter,USA,PG,1997,1.85,902
93,49,Eric Stuart,88,,373,Lisa Ortiz,Japan,G,2000,1.85,38
86,155,Ron Palillo,956,19472057,1862,Vincent Guastaferro,USA,R,1986,1.85,0
161,87,Sessue Hayakawa,682,27200000,1035,Jack Hawkins,UK,PG,1957,2.35,0
100,175,Royal Dano,610,15369573,1441,Tonya Lee Williams,USA,PG,1990,1.85,710
120,416,Bruce Dern,897,,2811,William Devane,USA,PG,1976,1.85,609
125,180,Ray Walston,516,,1328,David White,USA,Approved,1960,2.35,0
91,307,Leslie Jordan,935,15935068,2899,Erin Gray,USA,R,1993,1.85,949
128,14,Lila Kedrova,18,,70,David Opatoshu,USA,Approved,1966,1.85,933
100,220,Dave Chappelle,989,11694528,2165,Lauryn Hill,USA,R,2005,1.85,635
84,748,Kodi Smit-McPhee,13000,229094,14696,Ben Mendelsohn,UK,R,2015,1.66,0
97,77,LisaGay Hamilton,685,,1163,Bobby Brown,USA,R,1985,,889
84,706,Donald Faison,1000,10017041,4815,Mike Epps,USA,R,2009,1.85,545
146,125,Jean Simmons,556,,1444,Edward Andrews,USA,Approved,1960,1.66,808
186,760,Montgomery Clift,877,,3847,Spencer Tracy,USA,Not Rated,1961,1.75,0
94,200,Deon Richmond,927,9016377,1936,Countess Vaughn,USA,R,1999,1.85,143
11,0,Seth Green,11,,11,Breckin Meyer,USA,TV-MA,,1.33,1000
126,281,Walter Brennan,862,,2269,Harry Carey Jr.,USA,Approved,1948,1.37,0
99,233,Jimmy Jean-Louis,939,7059537,2321,Joyful Drake,USA,PG-13,2006,1.85,837
109,48,Ariane Labed,140,8114507,328,Athina Rachel Tsangari,USA,R,2013,1.85,62000
95,152,Robert Neary,641,7888703,1389,Kim Darby,USA,PG,1987,1.85,491
97,135,A. Michael Baldwin,674,7282851,1395,James Le Gros,USA,R,1988,1.85,812
94,469,Kimberly Elise,912,6879730,3049,Clifton Powell,USA,R,2004,,187
90,453,Lupe Ontiveros,953,5844929,2510,George Lopez,USA,PG-13,2002,1.85,595
197,110,Jessica De Gouw,578,,1400,Luke Ford,Australia,,,,367
117,31,Lisa Ray,1000,3222857,1394,Seema Biswas,Canada,PG-13,2005,2.35,0
96,163,Jimi Mistry,883,4170647,1616,Om Puri,UK,R,1999,1.85,1000
82,51,Brian Van Holt,472,4142507,858,David Heyman,USA,R,2000,1.85,131
109,200,Sarita Choudhury,729,4109095,1292,Rekha,USA,R,1996,1.85,0
90,547,Thomas Ian Nicholas,1000,4033268,3692,Ann Morgan Guilbert,USA,R,2010,2.35,0
89,124,Jack Albertson,240,,1011,Julie Dawn Cole,USA,G,1971,1.33,0
98,222,Zach Galligan,687,3902679,1806,Paula Marshall,USA,R,1993,1.66,217
95,267,George Hamilton,578,3559990,1363,Dyan Cannon,USA,R,1997,1.85,417
94,180,Stuart Margolin,820,,1618,Richard Libertini,USA,PG,1978,1.85,0
104,194,Rob McElhenney,11000,3287435,12250,Amy Irving,USA,R,2001,1.85,430
87,844,Judy Greer,3000,3071947,9555,Jeff Conaway,USA,R,1999,1.85,0
108,353,Michael Wincott,10000,2961991,11459,Courtney Love,USA,R,1996,1.85,0
86,270,Grace Gummer,962,4063238,2260,Vanessa Ray,USA,R,2012,1.85,11000
94,29,Nambitha Mpumlwana,113,2912363,278,Rapulana Seiphemo,UK,R,2005,2.35,0
134,812,Jon Lovitz,22000,3000000,36859,Dylan Baker,USA,,1998,1.85,0
89,24,Joe Howard,489,2223990,539,Robert Noble,USA,R,2003,1.85,26
102,387,Haley Joel Osment,40000,1821983,43810,Michael Parks,USA,R,2014,2.35,20000
120,38,Ji-tae Yu,717,2181290,852,Hye-jeong Kang,South Korea,R,2003,2.35,43000
110,221,Michael Bolten,439,2848578,1567,Christopher Schmidt,USA,PG,2010,1.78,0
86,104,Robb Wells,694,703002,1249,Molly Dunsworth,Canada,Not Rated,2011,2.35,37000
101,165,Héctor Jiménez,574,3105269,1335,Erick Elias,Mexico,R,2016,,174
102,221,Dan Hedaya,904,,1663,Robert Peters,USA,R,1996,1.85,0
87,331,Kevin Gage,702,252726,2715,Brianna Brown,USA,PG,2006,,76
123,168,Harry Treadaway,13000,373060,13636,Jason Maza,UK,Not Rated,2009,1.33,0
99,322,Megalyn Echikunwoke,962,1007535,2452,Zach Woods,USA,PG-13,2011,1.85,0
173,476,Colm Feore,723,,3149,Megalyn Echikunwoke,USA,,,1.78,518
87,416,Adam Scott,4000,418268,8353,Andrew Rannells,USA,R,2012,2.35,0
44,246,Megan Hilty,786,,1551,Zach Grenier,USA,,,16.0,3000
120,249,Aaron Ashmore,912,,2330,Lindsey Haun,USA,PG-13,2004,,47
93,197,William Atherton,536,200803,1467,Bob Ross,USA,R,2012,1.78,0
111,81,Cjon Saulsberry,3000,33631221,3784,Griffin Cleveland,USA,R,2014,2.35,0
60,23,Amanda Mealing,40,,158,Tim Healy,UK,,,1.33,450
98,17,Kostja Ullmann,289,95016,362,Robert Stadlober,Germany,R,2004,1.85,442
100,847,Eric Stoltz,1000,73678,4374,Brendan Fehr,USA,R,2011,,348
88,236,Betsy Russell,487,143000,1495,Noah Segan,USA,R,2009,2.35,0
97,56,Patti LuPone,599,39852,1030,Peter Onorati,USA,R,1999,1.85,117
122,605,Lauren German,2000,22000,4920,Rosanna Arquette,Germany,R,2011,2.35,0
86,77,Iben Hjejle,767,128937,975,Jim Norton,Ireland,R,2009,1.85,580
83,617,Scott Mechlowicz,798,,4756,Aaron Yoo,USA,R,2015,,0
80,19,Darren Keefe Reiher,231,,313,David Douglas,USA,R,2005,1.78,48
108,11000,Alan Rickman,40000,334185206,79957,Anne Hathaway,USA,PG,2010,1.85,24000
90,452,Michael Rapaport,1000,,3882,Talia Shire,USA,PG-13,2009,1.85,54
96,357,Amy Sedaris,433,5005,1929,Chris Kattan,USA,R,2009,,448
85,47,Kristi Clainos,652,,844,Emily Nelson,Brazil,,2013,2.35,433
83,975,Amy Poehler,3000,,7191,Jack McBrayer,USA,R,2014,1.85,0
80,73,Ashley Martin,319,,845,Olivia Alexander,USA,R,2013,1.85,2000
90,454,Alex Meraz,2000,,3666,Jillian Murray,USA,R,2011,1.85,6000
92,480,Angie Dickinson,756,,2715,Carroll O'Connor,USA,Approved,1967,2.35,3000
100,382,Sarah Rafferty,1000,,2890,Salvatore Santone,Italy,,2009,,32
88,471,David Bianchi,2000,,4469,Jason Priestley,USA,,2013,2.35,406
95,375,Shantel VanSanten,1000,,3024,John Robinson,USA,R,2014,,395
82,648,Brooke Newton,904,,4092,Brett Wagner,USA,R,2015,,398
97,37,Jack Taylor,201,,277,Fabio Testi,Italy,,1988,1.85,37
105,502,Derek Jacobi,2000,201148159,4671,Lily James,USA,PG,2015,2.35,56000
94,356,Stacy Keach,854,,1989,Frank Vincent,USA,R,2009,1.78,229
95,463,Cybill Shepherd,2000,,3648,Shea Whigham,USA,R,2010,1.85,480
113,11,Matheus Nachtergaele,119,5595428,167,Othon Bastos,Brazil,R,1998,2.35,0
136,248,Glenn Ford,931,,2167,Thomas Mitchell,USA,Approved,1961,2.35,612
80,214,Nick Chinlund,640,,1517,Scott Evans,USA,,2015,,968
105,183,Michael Nouri,267,3123749,1231,Brenda Vaccaro,USA,R,2005,1.85,88
90,21,Patrick Bauchau,216,,423,Mia Barron,USA,,2014,,421
93,394,James Ransone,875,100675,2305,Tempestt Bledsoe,USA,PG-13,2010,,0
107,108,Patrick Troughton,264,,673,Billie Whitelaw,UK,R,1976,2.35,7000
89,142,Maïwenn,447,3645438,923,Oana Pellea,France,Unrated,2003,2.35,0
90,39,Patrick Brammall,130,,362,Kelly Paterniti,Australia,PG-13,2010,1.85,0
89,29,Gregory Cruz,679,,964,Allegra Carpenter,USA,R,2015,2.35,369
116,165,Paula Jai Parker,275,22201636,727,Elise Neal,USA,R,2005,1.85,0
120,102,Joe E. Brown,105,25000000,527,George Raft,USA,Not Rated,1959,1.66,10000
88,181,Terry Kiser,935,19170001,1855,William Butler,USA,R,1988,1.85,0
102,357,Terry,695,22202612,2509,Billie Burke,USA,Passed,1939,1.37,14000
106,481,Peter Boyle,1000,86300000,2703,Teri Garr,USA,PG,1974,1.85,14000
95,192,Shawn Roberts,569,952620,1797,Joe Dinicol,USA,R,2007,1.85,0
144,327,Sanjay Dutt,464,,1761,Jimmy Shergill,India,PG-13,2006,2.35,349
113,42,Patricia Richardson,402,9054736,787,Vanessa Zima,USA,R,1997,1.66,381
118,48,Kelly Reno,481,,681,Hoyt Axton,USA,G,1979,1.85,0
141,32,Neeru Bajwa,258,,434,Diljit Dosanjh,Canada,,2015,,50
90,13,Frank Hvam,122,,197,Casper Christensen,Denmark,Not Rated,2008,1.85,77
109,359,Cesar Romero,756,,1949,Jack Warden,USA,Not Rated,1963,1.85,573
95,2,Ariane Schluter,20,,25,Henri Garcin,Netherlands,,1996,1.85,121
122,315,Esther Williams,760,,2555,Irene Dunne,USA,Passed,1943,1.37,116
93,628,David Huddleston,1000,119500000,4701,Harvey Korman,USA,R,1974,2.35,12000
97,74,Tom Everett,158,32600000,467,Kimberly Beck,USA,R,1984,1.85,0
82,46,Agata Trzebuchowska,88,3826455,205,Agata Kulesza,Poland,PG-13,2013,1.33,17000
140,239,Denholm Elliott,443,3130592,1269,Simon Callow,UK,R,1987,1.66,963
86,327,Laurie Metcalf,833,475000,2753,Seymour Cassel,USA,R,2006,,323
109,1000,Charlize Theron,40000,10654581,52621,Clea DuVall,USA,R,1999,1.85,1000
105,28,Gabrielle Reece,52,2276368,179,Laird John Hamilton,USA,PG-13,2004,,0
66,36,Nacho Vigalondo,123,38108,239,Bárbara Goenaga,Spain,R,2007,1.85,0
99,4,Bo Huang,11,,19,Zheng Xu,China,,2009,2.35,30
100,209,Nick Searcy,331,,1082,Beth Broderick,USA,R,2007,1.85,254
103,390,Debbie Reynolds,804,,2510,Cyd Charisse,USA,Approved,1952,1.37,0
97,0,Joel Fuhrman,65,,67,Amy Badberg,Australia,,2010,,10000
86,555,Alanna Ubach,713,40041683,3421,J.B. Smoove,USA,R,2013,1.85,0
87,67,Zackary Steven Graham,871,33349949,1111,Dinesh D'Souza,USA,PG,2012,1.85,0
119,593,Tyler Mane,908,33386128,3226,Margot Kidder,USA,R,2009,1.85,3000
149,982,Charlize Theron,15000,25809813,28713,Ethan Embry,USA,PG,1996,1.37,0
98,67,Dan O'Herlihy,381,14400000,684,Nancy Kyes,USA,R,1982,2.35,0
98,450,M. Emmet Walsh,595,,2373,Sal Mineo,USA,G,1971,2.35,819
112,124,Melvyn Douglas,617,,1141,Whit Bissell,USA,Approved,1963,2.35,1000
75,36,La'Princess Jackson,1000,32230907,1385,Dana Hanna,USA,R,2013,1.85,0
104,535,Udo Kier,18000,6401336,19923,Flea,USA,R,1991,1.78,0
102,294,Michael Weston,625,26781723,1655,Jill Flint,USA,R,2004,2.35,0
105,4,Hans Weingartner,15,5400000,36,Dominik Castell,USA,R,1995,1.85,22000
99,6,Michel Côté,50,,79,Jean Pierre Bergeron,Canada,,2003,1.85,39
107,442,Samantha Morton,745,1282084,2125,Mark Webber,USA,R,1999,2.35,500
96,209,Ato Essandoh,643,1186323,1396,Jessica Hecht,USA,R,2004,1.85,774
101,40,Christopher Simpson,56,1094998,150,Tannishtha Chatterjee,UK,PG-13,2007,2.35,430
89,215,Joshua Ormond,902,3325638,1980,Ana Gasteyer,USA,PG-13,2012,2.35,13000
106,471,Julian Richings,900,395592,2972,Amanda Plummer,Spain,R,2003,1.85,0
95,478,Jennifer Jason Leigh,8000,6851969,10040,Dayo Okeniyi,USA,R,2013,2.35,10000
34,362,Elden Henson,882,333658,1967,Michael Bower,USA,,1990,,16
101,0,Tal Bachman,334,12995673,338,Steve Burg,USA,R,2008,1.78,24000
112,125,Sheryl Crow,860,173783,1252,George W. Bush,USA,Not Rated,2008,1.85,588
100,107,Diana Scarwid,655,118666,1064,Tom Bower,USA,,2006,1.85,144
92,936,Stephen Root,989,114324072,4730,Joel David Moore,USA,PG-13,2004,2.35,0
100,249,Carly Schroeder,640,71904,1491,George Harris,USA,PG-13,2006,1.85,140
80,5,Emily Pearson,191,99851,210,Gavin Newsom,USA,R,2010,1.78,0
106,315,Anupam Kher,611,115504,1739,Shriya Saran,UK,PG-13,2008,2.35,0
103,10,Rüdiger Vogler,127,5725,163,Sebastian Blomberg,Germany,R,2000,2.35,560
90,35,Jacob Vargas,426,75727,862,Tenoch Huerta,USA,PG-13,2008,1.85,0
96,370,Rainn Wilson,2000,322157,4590,Paul T. Taylor,USA,R,2010,1.85,19000
89,555,Piper Mackenzie Harris,794,,2579,Lochlyn Munro,USA,TV-PG,2010,,190
87,577,Cecilia Pillado,968,,3157,David Masterson,Germany,Not Rated,2015,2.35,0
94,442,Emmanuel Kabongo,1000,,2406,Mark Webber,USA,,2016,,89
120,702,Harry Lennix,1000,5731103,5963,Andre Braugher,USA,R,1996,1.85,352
101,201,Max Ryan,973,978908,2306,Justine Waddell,Poland,PG-13,2006,2.35,250
84,233,Patrick Fischler,586,438653,1490,David Herman,USA,R,2006,1.85,79000
110,109,Kevin Leslie,490,,881,Kris Sommerville,UK,R,2015,,0
101,698,Joseph Gilgun,1000,327919,3282,Jack O'Connell,UK,Unrated,2006,1.85,11000
101,663,Sean Pertwee,844,,3132,Bianca Brigitte VanDamme,UK,R,2012,2.35,0
101,226,Basil Rathbone,675,,1627,Red Skelton,USA,Passed,1944,1.37,144
105,76,Aimee Garcia,847,178739,1668,Rene Rosado,USA,PG-13,2011,1.85,566
97,326,Michael O'Neill,982,565592,2580,Alexandra Holden,USA,PG,1998,1.85,500
108,244,Ava Gardner,960,,2329,Howard Keel,USA,Approved,1951,1.33,438
95,608,Cinda McCain,1000,27012,3586,Luke Perry,USA,PG-13,2010,2.35,279
108,826,Ellen Burstyn,2000,,4385,Christopher Heyerdahl,USA,R,2014,,0
90,385,Phil Hartman,11000,,12359,Mindy Sterling,USA,Not Rated,1987,,0
120,,Deems Taylor,16,76400000,16,,USA,G,1940,1.37,3000
104,109,Fernando Rey,813,,1196,Tony Lo Bianco,USA,R,1971,1.85,0
90,0,Sebastian Aguilar,210,,210,Ivette Alvarez,USA,PG-13,2014,,224
91,20,Dana Kimmell,72,36200000,174,Catherine Parks,USA,R,1982,2.35,0
92,17,Melanie Kinnaman,42,21300000,170,Dominick Brascia,USA,R,1985,1.85,1000
117,275,Louise Fletcher,861,379643,2161,A.J. Buckley,USA,PG-13,2007,1.85,285
120,835,Delroy Lindo,2000,12985267,6752,Madison Pettis,USA,PG-13,2015,,13000
90,306,Kayla Ewell,676,,1651,Linden Ashby,USA,R,2008,,77
119,275,Greer Garson,509,,1490,Lionel Barrymore,USA,Passed,1945,1.37,68
90,708,Ethan Peck,1000,,3799,Brad Schmidt,Spain,R,2015,,452
90,18,Zohra Segal,114,,244,Shobu Kapoor,UK,,2005,1.85,172
97,782,James Wolk,3000,,6085,Jason Ritter,USA,,2014,,107
90,42,Daniel Kash,371,,558,Stefanie Drummond,Canada,R,2007,1.85,870
172,188,Teresa Wright,749,23650000,1941,Dana Andrews,USA,Not Rated,1946,1.37,0
115,551,Nick Stahl,730,510092,3293,Brad Renfro,USA,R,2001,1.85,0
89,14,Per Christian Ellefsen,117,313436,155,Sven Nordin,Norway,R,2001,1.85,0
125,17,Arturo Castro,128,3330,214,Brad Lee Wind,USA,R,2015,2.35,305
78,7,Pablo Rosso,120,,145,Carlos Lasarte,Spain,R,2007,1.85,15000
89,650,Martha Higareda,919,,3873,Cheyenne Haynes,USA,TV-PG,2010,1.78,162
100,338,David Proval,749,,1814,Carmen Argenziano,USA,,2015,2.39,14
77,260,Michael Chapman,846,,2044,Louise Brealey,UK,,2015,,275
81,106,Maria Doyle Kennedy,412,,1020,Shaun O'Hagan,USA,,2015,2.35,380
115,177,Daniela Bianchi,559,24800000,1456,Lois Maxwell,UK,Approved,1963,1.37,0
96,14,Jessica Dublin,40,792966,99,Lisa Gaye,USA,R,1989,1.33,321
60,213,Alan Autry,480,,1736,Crystal R. Fox,USA,,,1.33,763
89,45,John Beck,11000,,11192,Mews Small,USA,PG,1973,1.85,0
100,159,Ruby Harris,314,14673301,1062,Jake Weary,USA,R,2014,2.35,45000
88,258,John Carradine,11000,,12034,Lynn Redgrave,USA,R,1972,1.85,0
129,161,Brock Peters,3000,,3833,William Windom,USA,Not Rated,1962,1.85,15000
87,41,Bruce Spence,745,9003011,1396,Kjell Nilsson,Australia,R,1981,2.35,0
102,75,Anita Mui,483,11546543,768,Ho-Sung Pak,Hong Kong,R,1994,2.35,0
152,177,Shelley Winters,618,,1404,Lois Maxwell,UK,Not Rated,1962,1.66,0
118,103,Brendan Sexton III,173,11533945,563,Jeannetta Arnette,USA,R,1999,1.85,0
86,32,Julia Taylor Ross,120,12555230,218,Adam Trese,France,R,2011,1.85,0
137,155,Ulrich Mühe,380,11284657,927,Martina Gedeck,Germany,R,2006,2.35,39000
129,341,Alex Kendrick,690,34522221,2300,T.C. Stallings,USA,PG-13,2011,2.35,10000
134,366,Jackie Gleason,654,,2290,Murray Hamilton,USA,Unrated,1961,2.35,0
119,380,Spencer Tracy,1000,,2555,Claudette Colbert,USA,Passed,1940,1.37,236
80,0,Charles Linton,23,7002255,29,Béatrice Bonifassi,France,PG-13,2003,1.66,0
89,580,Irene Bedard,912,6719300,3163,Gary Farmer,Canada,PG-13,1998,1.85,0
101,92,James Urbaniak,14000,6003587,14412,Daniel Tay,USA,R,2003,1.85,0
80,3,Albert Delpy,50,5792822,65,Marie Pillet,USA,R,2004,1.85,13000
115,35,Jorge Salinas,85,5383834,318,Goya Toledo,Mexico,R,2000,1.85,11000
100,374,Sarah Clarke,1000,4599680,2186,Kip Pardue,USA,R,2003,1.85,0
118,167,Celeste Holm,936,,1846,John Garfield,USA,Approved,1947,1.37,0
100,179,Shelley Waggener,34000,6531491,34446,Lauren Sweetser,USA,R,2010,1.85,20000
106,3,Brendan Mackey,21,4581222,29,Joe Simpson,UK,R,2003,1.85,0
106,300,Don Ameche,480,,1833,John Carradine,USA,Approved,1938,1.37,60
91,244,Brad William Henke,538,3885134,1349,Miranda July,USA,R,2005,1.85,0
105,18,George W. Bush,13000,4311834,13145,Barney Frank,USA,PG-13,2010,2.35,63000
96,328,Emily Ratajkowski,804,3590010,3013,Jonny Weston,UK,R,2015,1.85,0
116,116,Gano Grills,251,3300230,675,Richard Portnow,France,R,1999,1.85,0
116,2000,Christian Bale,24000,3335839,50313,Noel Gugliemi,USA,R,2005,1.85,0
97,349,Leonor Varela,1000,2557668,2739,Sydelle Noel,USA,PG-13,2015,1.85,0
101,685,Enrico Colantoni,8000,2506446,11327,Blair Underwood,USA,R,2002,1.85,134
