num_critic_for_reviews,duration,actor_1_facebook_likes,movie_title,num_voted_users,cast_total_facebook_likes,plot_keywords,num_user_for_reviews,country,actor_2_facebook_likes,aspect_ratio
89,117,855,The Last of the Mohicans ,113068,2144,18th century|based on novel|colonel|french and indian war|revenge,382,USA,363,2.35
209,178,904,Ray ,110394,5074,1950s|1960s|racism|rhythm and blues|singer,433,USA,876,1.85
374,147,3000,Sin City ,656640,3924,anthology|corruption|hearing characters thoughts|neo noir|night,1732,USA,472,1.85
235,90,2000,Vantage Point ,127528,6775,explosion|multiple perspectives|president|secret service|shooting,422,USA,897,2.35
215,105,24000,"I Love You, Man ",166194,28928,bromance|friend|gay brother|homosexual subtext|wedding,215,USA,4000,1.85
109,114,700,Shallow Hal ,109445,2842,dying|friend|inner beauty|love|self help guru,426,USA,655,1.85
125,206,433,JFK ,113472,698,death|gay slur|homosexuality|investigation|president,442,France,256,2.35
65,99,17000,Big Momma's House 2 ,31968,19334,cheerleading|fbi|fbi agent|nanny|undercover,82,USA,826,1.85
125,123,24000,The Mexican ,87351,43917,curse|hostage|mexico|pistol|vomiting,344,USA,11000,2.35
322,137,769,Unbroken ,103589,2938,emaciation|male nudity|plane crash|prisoner of war|torture,351,USA,698,2.35
191,102,2000,17 Again ,146899,7009,adult as child|father son relationship|high school student|janitor|school,185,USA,2000,2.35
191,109,982,The Other Woman ,104481,2357,beach house|blonde bombshell|cheating husband|revenge|wife meets mistress,189,USA,971,2.35
221,82,164000,The Final Destination ,75345,303717,attempted suicide|car crash|collapsing scaffold|overflowing bathtub|tooth knocked out,290,USA,137000,2.35
459,142,15000,Bridge of Spies ,178118,16944,cia|cold war|lawyer|negotiation|spy,355,USA,535,2.35
131,106,578,Behind Enemy Lines ,86902,2544,battle|massacre|navigator|navy|rescue,411,USA,563,2.35
222,114,836,Get Him to the Greek ,147317,2091,concert|drugs|recession|record company|rock star,197,USA,719,1.85
118,106,1000,Shall We Dance ,35508,2325,dance|dance competition|dance lesson|love|teacher,211,USA,593,1.85
100,108,4000,Small Soldiers ,77415,8610,action figure|battle|computer|military|toy,139,USA,835,2.35
70,98,2000,Spawn ,52805,7039,based on comic|based on comic book|dark hero|image comics|superhero,209,USA,2000,1.85
138,131,15000,The Count of Monte Cristo ,104991,17152,count|escape|island|revenge|sailor,544,UK,1000,1.85
274,118,11000,The Lincoln Lawyer ,173848,13943,defense attorney|defense lawyer|lawyer|plot twist|prostitute,203,USA,980,2.35
349,113,14000,Unknown ,210542,17152,agriculture|airport|amnesia|nurse|scientist,332,UK,903,2.35
341,130,23000,The Prestige ,844052,63986,illusion|magician|obsession|rivalry|secret,1100,USA,20000,2.35
196,116,18000,Horrible Bosses 2 ,114294,30571,kidnapping|reference to franz beckenbauer|scene during end credits|second part|singing in a car,187,USA,11000,2.35
83,89,3000,Escape from Planet Earth ,20615,3361,alien|cult film|mission control|product placement|rescue,44,USA,190,2.35
283,139,708,Apocalypto ,236000,848,jaguar|mayan|solar eclipse|tribe|village,1043,USA,78,1.85
105,130,387,The Living Daylights ,69457,1233,british agent|defection|escape|kgb|soviet general,271,UK,244,2.35
351,107,2000,Predators ,171418,4243,kicked in the face|martial arts|punched in the face|strong female character|woman punching a man,619,USA,1000,2.35
16,116,954,Legal Eagles ,7900,2179,judicial|judiciary|lawyer|murder|painting,34,USA,568,2.35
195,96,40000,Secret Window ,147504,41293,adultery|extramarital affair|infidelity|unfaithfulness|writer,531,USA,534,2.35
175,99,18000,The Lake House ,114321,18693,house|lake|letter|love across time|parallel time,548,USA,426,2.35
193,104,545,The Skeleton Key ,87447,1274,attic|bound and gagged|hoodoo|secret|southern gothic,371,USA,351,2.35
169,105,3000,The Odd Life of Timothy Green ,37398,9069,dodgeball|portrait|soccer|soccer game|young love,110,USA,2000,1.85
128,101,1000,Made of Honor ,54421,4298,friend|love|maid|maid of honor|marriage,101,USA,689,2.35
249,134,880,Jersey Boys ,25465,2281,band|music group|musical quartet|singer|song,190,USA,413,2.35
91,135,13000,The Rainmaker ,46221,16762,courtroom|domestic violence|insurance company|lawyer|underdog,141,USA,936,2.35
207,98,21000,Gothika ,89557,22318,memory|murder|patient|psychiatrist|the devil,376,USA,534,1.85
77,155,12000,Amistad ,56509,37570,courtroom|mutiny|ship|slave ship|slave trade,227,USA,11000,1.85
25,106,472,Medicine Man ,17443,519,cancer|environment|gas chromatograph|jungle|nature,56,USA,47,2.35
211,102,1000,Aliens vs. Predator: Requiem ,92789,4324,alien|escape|hunting|hybrid|predator,998,USA,741,2.35
19,95,3000,Ri¢hie Ri¢h ,49612,4634,attempted murder|based on comic book|escape from prison|lost at sea|wealth,39,USA,450,1.85
101,103,24000,Autumn in New York ,20201,26938,may december romance|new york|new york city|rockefeller center|title directed by female,180,USA,1000,1.85
175,95,799,Music and Lyrics ,81334,2787,love|lyricist|singer|singing|song,291,USA,690,1.85
342,109,176,Paul ,192462,390,alien|geek|nerd|road trip|ufo,334,USA,61,2.35
147,95,405,The Guilt Trip ,30394,1070,cross country|love|mother son relationship|on the road|trip,103,USA,358,2.35
420,111,2000,Scream 4 ,104119,4486,author|book|deputy|murder|sheriff,518,USA,741,2.35
138,123,12000,8MM ,104564,12970,investigation|obsession|private eye|private investigator|snuff film,587,Germany,638,2.35
82,140,720,The Doors ,68159,3044,death|paris france|rock band|singer|the doors,209,USA,576,2.35
201,94,683,Sex Tape ,84382,1488,sex in a car|sex video|sexual desire|sexuality|undressing,158,USA,392,1.85
82,94,374,Hanging Up ,10132,1238,actress|clown costume|magazine|party planner|soap opera actress,130,Germany,258,1.85
277,92,703,Final Destination 5 ,83788,3074,blood splatter|death|eyeball run over by car|latex gloves|suspension bridge,227,USA,682,2.35
90,102,711,Mickey Blue Eyes ,29968,2913,auctioneer|fbi|mafia|mobster|painting,117,UK,683,1.85
157,123,18000,Pay It Forward ,95860,23920,alcoholism|boy|good deed|protective male|teacher,660,USA,3000,1.85
124,104,787,Fever Pitch ,36223,1827,baltimore orioles|boston red sox|promotion|ups|world series,208,USA,299,2.35
