num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,num_voted_users,facenumber_in_poster,num_user_for_reviews,language,content_rating,budget,title_year,actor_2_facebook_likes,aspect_ratio,movie_facebook_likes
23,118,0,30,Michael Wong,1904,1,12,Mandarin,,,2013,91,2.35,332
29,132,79,1000,Anthony Hopkins,17982,2,95,English,PG,25000000,1984,12000,2.35,1000
252,131,33,326,Sophie Nélisse,98741,1,236,English,PG-13,19000000,2013,526,2.35,53000
102,129,51,630,Michael Cudlitz,72715,1,103,English,R,19000000,2008,822,1.85,0
134,100,14,356,Kaitlin Olson,71276,2,181,English,PG,19000000,2010,547,2.35,13000
30,172,75,102,Mel Ferrer,6156,0,91,English,Approved,19000000,1964,134,2.2,560
136,97,31,562,Michael Biehn,43867,4,83,English,R,23000000,2011,2000,2.35,0
102,121,33,505,Rosie Perez,5147,2,37,English,PG,,2012,919,2.35,0
10,92,22,0,Kyra Nichols,1153,0,15,English,G,19000000,1993,0,1.85,238
31,116,500,530,Jennifer Jason Leigh,3536,2,44,English,R,19000000,1996,1000,1.85,228
63,110,44,85,Sarah Gadon,550,0,3,Hebrew,R,,2016,691,2.0,599
220,90,15,16000,Chloë Grace Moretz,80903,0,518,English,R,19000000,2005,17000,2.35,0
241,81,0,836,Meryl Streep,143251,0,710,English,R,19000000,2002,11000,1.85,0
252,97,0,233,Shawn Roberts,78883,8,662,English,R,15000000,2005,529,2.35,0
23,107,15,27,Angelica Lee,625,2,4,Chinese,PG-13,,2013,39,1.85,124
156,118,0,551,Michael Jeter,213226,0,648,English,R,18500000,1998,693,2.35,15000
192,100,0,985,Tina Fey,94292,3,287,English,PG-13,18500000,2009,2000,1.85,13000
351,97,89,329,Carla Gallo,216581,3,397,English,R,18000000,2014,798,2.35,21000
57,114,55,360,Amy Yasbeck,265818,0,213,English,PG-13,18000000,1994,424,1.85,0
99,130,545,697,Jon Lovitz,153468,1,204,English,PG,18000000,1988,11000,1.85,0
343,82,119,6,Ken Davitian,297014,1,1198,English,R,18000000,2006,165,1.85,0
163,96,126,584,Raquel Welch,131801,1,548,English,PG-13,18000000,2001,788,2.35,0
110,105,12000,643,Nichelle Nichols,58743,1,192,English,PG,17000000,1984,664,2.35,0
233,122,301,457,Colm Feore,96569,0,522,English,PG-13,20000000,2005,539,2.35,0
91,88,31,489,Eddie Griffin,59380,1,202,English,R,17000000,1999,489,1.85,0
169,110,179,734,Lea Thompson,24854,1,374,English,PG-13,16000000,2014,1000,2.35,31000
142,103,15,172,Paul Schneider,49077,0,475,English,PG-13,17000000,2005,552,1.85,0
50,106,8,521,Sean Patrick Thomas,10104,4,69,English,PG-13,18000000,2004,656,1.85,265
195,98,72,566,Tony Cox,107815,2,485,English,R,18000000,2003,624,1.85,10000
129,68,116,481,Charles Napier,183425,2,425,English,PG-13,17000000,1997,503,2.35,0
156,94,52,261,Louis Mandylor,13562,10,103,English,PG-13,18000000,2016,312,2.35,19000
103,99,42,557,Rachael Harris,18727,2,45,English,PG,21000000,2011,569,2.35,0
217,107,323,794,Bill Duke,290949,1,629,English,R,15000000,1987,1000,1.85,13000
134,180,869,521,F. Murray Abraham,270790,0,549,English,R,18000000,1984,670,2.35,16000
146,89,29,458,Scott Porter,27664,0,260,English,PG-13,20000000,2008,690,2.35,1000
159,97,70,625,Amy Poehler,245989,4,554,English,PG-13,17000000,2004,1000,1.85,0
111,113,22,148,Lindsay Duncan,35718,1,317,English,PG-13,18000000,2003,171,1.85,0
187,131,500,555,Bob Balaban,65201,0,651,English,R,19800000,2001,559,2.35,0
20,44,,650,Melinda Clarke,65785,8,281,English,TV-PG,,,787,1.78,0
44,103,0,805,Kathleen Turner,27149,0,96,English,PG-13,18000000,1986,899,1.85,0
588,119,0,529,Naomi Watts,395087,8,1101,English,R,18000000,2014,6000,1.85,114000
415,98,11000,218,Charlie Tahan,150082,1,384,English,PG-13,18000000,2013,268,2.35,36000
279,111,521,64,David Alan Basche,83374,0,828,English,R,15000000,2006,68,2.35,0
97,94,23,582,Mekhi Phifer,36666,2,144,English,PG-13,25000000,2003,1000,1.85,0
60,122,380,2000,Morgan Freeman,101889,3,365,English,R,18000000,1989,11000,1.85,0
27,81,8,341,Barry Bostwick,29621,2,76,English,PG-13,18000000,1996,456,1.85,588
212,89,0,606,Hal Holbrook,46492,0,335,English,R,1000000,1980,826,2.35,7000
110,106,80,723,Chris Brochu,35514,1,114,English,PG,18000000,2011,795,2.35,15000
45,122,0,191,Bob Balaban,17277,0,124,English,R,18000000,1970,559,2.35,0
190,86,62,59,Celia Weston,52467,1,248,English,R,18000000,2009,258,2.35,0
77,103,130,406,Olivia d'Abo,62009,1,109,English,PG,18000000,1984,476,2.35,2000
151,121,17000,356,Cathy Moriarty,235133,1,494,English,R,18000000,1980,394,1.85,0
111,109,7,827,Sasha Alexander,25344,0,77,English,PG-13,18000000,2009,980,1.85,0
64,109,272,124,Roger Ashton-Griffiths,14870,1,86,English,PG-13,18000000,1985,144,1.85,0
134,123,64,637,Kay Panabaker,14062,0,82,English,PG,18000000,2009,720,2.35,0
450,94,0,223,Treat Williams,279179,0,440,English,R,18000000,2010,642,1.85,63000
128,94,11000,975,Jon Lovitz,31169,0,192,English,PG,18000000,2000,11000,1.85,812
68,115,13,111,Susan May Pratt,15817,2,210,English,PG-13,18000000,2000,220,2.35,0
97,107,24,85,Alex Borstein,9051,13,68,English,PG-13,17000000,2015,566,2.35,0
54,91,38,362,Corbin Bleu,8023,0,49,English,PG,18000000,2004,632,1.85,591
99,125,34,1000,Hayden Christensen,39105,0,359,English,R,18000000,2001,4000,2.35,0
412,122,0,816,Michael Fassbender,93548,0,307,English,R,30000000,2015,13000,2.35,23000
107,102,0,529,Marie Avgeropoulos,28209,1,80,English,PG-13,18000000,2009,800,1.85,0
192,90,44,729,Ari Graynor,64646,2,105,English,R,18000000,2009,904,1.85,0
25,98,28,102,Richard Farnsworth,1400,0,41,English,PG,18000000,1981,262,2.35,346
104,109,128,1000,Jamie Lee Curtis,23728,0,213,English,R,18000000,2001,2000,2.35,813
120,107,0,101,Dennis Franz,27629,0,149,English,R,18000000,1981,376,2.35,2000
146,90,31,179,Paul Freeman,19586,1,109,English,PG-13,18000000,2013,193,2.35,4000
124,112,0,177,Kate Burton,46396,0,287,English,R,18000000,1997,223,1.85,0
