director_name,director_facebook_likes,gross,genres,actor_1_name,num_voted_users,language,country,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Mimi Leder,75,41256277,Action|Thriller,Armin Mueller-Stahl,46451,English,USA,1997,273,5.9,2.35,0
Alexander Witt,38,50740078,Action|Horror|Sci-Fi|Thriller,Milla Jovovich,151580,English,Germany,2004,919,6.2,2.35,0
Beeban Kidron,17,40203020,Comedy|Drama|Romance,Colin Firth,74315,English,UK,2004,1000,5.9,2.35,0
Carl Franklin,73,40905277,Crime|Drama|Romance|Thriller,Denzel Washington,45895,English,USA,2003,886,6.5,2.35,1000
Steven Seagal,0,38590500,Action|Adventure|Thriller,Mike Starr,17997,English,USA,1994,643,4.4,2.35,812
Robert Rodriguez,0,39177541,Action|Adventure|Family|Fantasy,Taylor Lautner,20310,English,USA,2005,722,3.5,1.85,0
Danny Boyle,0,39778599,Adventure|Drama|Thriller,Leonardo DiCaprio,176169,English,USA,2000,414,6.6,2.35,0
Garry Marshall,0,37486138,Comedy|Drama|Romance,Amber Valletta,30890,English,USA,2004,508,6.0,1.85,718
James McTeigue,160,38105077,Action|Crime|Thriller,Shô Kosugi,58349,English,USA,2009,119,6.4,2.35,0
Sam Raimi,0,35168395,Drama|Romance|Sport,J.K. Simmons,26034,English,USA,1999,743,6.5,2.35,0
,,,Crime|Drama|Mystery,David Jason,4438,English,UK,,7,7.8,1.33,361
Andrew Bergman,31,32800000,Comedy|Crime|Drama|Thriller,Demi Moore,34896,English,USA,1996,472,4.3,1.85,877
Tom Dey,9,33643461,Comedy|Family,Emma Stone,11257,English,USA,2010,2000,4.2,2.35,0
Clint Eastwood,16000,32741596,Drama|Fantasy,Matt Damon,80140,English,USA,2010,563,6.5,2.35,16000
Barbet Schroeder,58,31874869,Crime|Mystery|Thriller,Ryan Gosling,43574,English,USA,2002,455,6.1,1.85,0
Richard Donner,503,30306268,Action|Crime|Thriller,Muse Watson,62981,English,France,1995,13000,6.3,1.85,0
Peter Webber,73,27667947,Crime|Drama|Thriller,Li Gong,86374,English,UK,2007,184,6.2,2.35,3000
Rob Reiner,0,27067160,Comedy|Drama|Romance,Bruce Willis,18404,English,USA,1999,559,5.9,1.85,0
Andrew Niccol,487,26616999,Action|Adventure|Romance|Sci-Fi|Thriller,J.D. Evermore,92461,English,USA,2013,329,5.9,2.35,43000
John McTiernan,323,26536120,Action|Crime|Drama|Mystery|Thriller,Connie Nielsen,49926,English,Germany,2003,631,6.5,2.35,0
Clint Eastwood,16000,26199517,Action|Crime|Drama|Mystery|Thriller,Clint Eastwood,34356,English,USA,2002,1000,6.4,2.35,705
Tom Tykwer,670,25450527,Action|Crime|Drama|Mystery|Thriller,Naomi Watts,80196,English,USA,2009,450,6.5,2.35,0
John Carpenter,0,25407250,Action|Adventure|Sci-Fi|Thriller,Steve Buscemi,54021,English,USA,1996,898,5.7,2.35,0
,,,Drama|Mystery|Thriller,Grey Damon,7945,English,USA,,512,7.5,16.0,915
Brad Bird,663,23159305,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,Vin Diesel,128455,English,USA,1999,631,8.0,2.35,0
Wes Anderson,0,24006726,Adventure|Comedy|Drama,Bill Murray,139535,English,USA,2004,1000,7.3,2.35,0
Gary Ross,378,20389967,Action|Biography|Drama|History|War,Matthew McConaughey,3077,English,USA,2016,552,6.7,1.85,10000
Alan Parker,317,19593740,Crime|Drama|Thriller,Kevin Spacey,88270,English,USA,2003,14000,7.5,2.35,0
Stephen Herek,65,19118247,Action|Comedy,Christina Milian,19829,English,USA,2005,923,5.4,2.35,779
Jaume Collet-Serra,174,26442251,Action|Crime|Drama|Thriller,Liam Neeson,76010,English,USA,2015,988,6.6,2.35,15000
David Cronenberg,0,17114882,Crime|Mystery|Thriller,Viggo Mortensen,189249,English,USA,2007,6000,7.7,1.85,0
John Stockwell,134,18472363,Action|Adventure|Crime|Thriller,Paul Walker,63599,English,USA,2005,1000,5.8,2.35,0
Luc Besson,0,14131298,Adventure|Biography|Drama|History|War,Paul Brooke,55889,English,France,1999,40,6.4,2.35,0
David Gordon Green,234,21557240,Adventure|Comedy|Fantasy,Natalie Portman,85237,English,USA,2011,11000,5.6,2.35,18000
Jim Sheridan,260,21283440,Drama|Mystery|Thriller,Naomi Watts,46239,English,USA,2011,694,6.0,2.35,0
Costa-Gavras,333,10556196,Crime|Drama|Thriller,Mia Kirshner,16562,English,USA,1997,713,6.2,2.35,697
Patrick Read Johnson,32,16671505,Adventure|Comedy|Crime|Drama|Family,Joe Mantegna,33186,English,USA,1994,619,5.9,1.85,0
Roland Joffé,596,10400000,Drama|Romance,Gary Oldman,12037,English,USA,1995,3000,5.1,2.35,943
Doug Liman,218,9528092,Biography|Drama|Thriller,Naomi Watts,38513,English,USA,2010,3000,6.8,2.35,9000
,,,Action|Drama|Sci-Fi,Julie Benz,33535,English,USA,,845,7.0,1.78,0
Tony Scott,12000,10137232,Action|Biography|Crime|Drama|Thriller,Ian Ziering,58015,English,France,2005,940,6.0,2.35,0
William Friedkin,607,9795017,Crime|Drama|Thriller,Michael Biehn,9227,English,USA,1995,979,5.1,1.85,422
Mark Neveldine,83,20488579,Action|Sci-Fi|Thriller,Gerard Butler,113483,English,USA,2009,8000,5.8,1.85,0
Richard LaGravenese,98,19445217,Drama|Fantasy|Romance,Alden Ehrenreich,67796,English,USA,2013,852,6.2,2.35,14000
Danny DeVito,0,8355815,Comedy|Crime|Drama|Thriller,Robin Williams,34730,English,UK,2002,811,6.4,1.85,0
Ben Stiller,0,28837115,Comedy,Milla Jovovich,34964,English,USA,2016,8000,4.8,2.35,28000
George Armitage,5,6471394,Comedy|Crime,Morgan Freeman,15880,English,USA,2004,387,4.9,2.35,288
Mike Nichols,0,6291602,Comedy|Sci-Fi,Judy Greer,8070,English,USA,2000,602,5.6,1.85,255
Patrick Lussier,71,10706786,Action|Fantasy|Thriller,Nicolas Cage,81800,English,USA,2011,2000,5.5,1.85,15000
Andrzej Bartkowiak,43,8742261,Action|Crime|Drama|Mystery|Thriller,Chris Klein,19824,English,Canada,2009,342,3.7,2.35,0
James Wong,70,43905746,Action|Sci-Fi|Thriller,Jason Statham,77684,English,USA,2001,5000,5.9,2.35,0
,,,Drama|Romance|Sci-Fi,Tobias Menzies,50391,English,USA,,531,8.5,16.0,31000
Renny Harlin,212,21413502,Action|Adventure|Comedy|Crime|Music|Mystery,Lauren Holly,14429,English,USA,1990,560,6.3,2.35,2000
Richard Curtis,628,7994115,Comedy|Drama|Music,Philip Seymour Hoffman,90932,English,UK,2009,882,7.4,2.35,21000
Steven Soderbergh,0,124107476,Crime|Drama|Thriller,Michael O'Neill,170684,English,USA,2000,399,7.6,1.85,0
Steven Spielberg,14000,197171806,Action|Adventure|Fantasy,Harrison Ford,515306,English,USA,1989,844,8.3,2.35,0
Joe Wright,456,12802907,Drama|Romance,Kelly Macdonald,70886,English,UK,2012,35,6.6,2.35,36000
Neill Blomkamp,662,31569268,Action|Crime|Drama|Sci-Fi|Thriller,Hugh Jackman,172965,English,USA,2015,2000,6.9,2.35,67000
Phillip Noyce,176,66488090,Crime|Drama|Mystery|Thriller,Denzel Washington,120202,English,USA,1999,11000,6.7,2.35,0
David Fincher,21000,95308367,Crime|Drama|Thriller,Kristen Stewart,206104,English,USA,2002,324,6.8,2.35,0
Chuck Bowman,42,,Horror|Thriller,P.J. Soles,1263,English,USA,2006,555,4.6,1.78,352
David O. Russell,737,60652036,Action|Adventure|Comedy|Drama|War,Judy Greer,137854,English,USA,1999,490,7.1,2.35,3000
Daniel Espinosa,79,1206135,Crime|Drama|Thriller,Tom Hardy,40568,English,Czech Republic,2015,254,6.4,2.35,18000
Jerry Zucker,109,56607223,Adventure|Comedy,Corinna Harney,93367,English,Canada,2001,629,6.4,2.35,0
Iain Softley,34,50173190,Drama|Mystery|Sci-Fi,Kevin Spacey,148490,English,USA,2001,12000,7.4,2.35,0
James Mangold,446,47095453,Comedy|Fantasy|Romance,Hugh Jackman,64595,English,USA,2001,1000,6.4,1.85,0
Harold Ramis,11000,37879996,Comedy|Fantasy|Romance,Brendan Fraser,81888,English,USA,2000,575,6.0,2.35,0
Francis Ford Coppola,0,25900000,Crime|Drama|Music,Nicolas Cage,12771,English,USA,1984,5000,6.5,1.85,828
James Mangold,446,53574088,Adventure|Crime|Drama|Western,Christian Bale,237872,English,USA,2007,8000,7.8,2.35,0
Olivier Megaton,118,89253340,Action|Thriller,Liam Neeson,133436,English,France,2014,794,6.0,2.35,38000
Steven Soderbergh,0,37339525,Crime|Drama|Romance|Thriller,Don Cheadle,71708,English,USA,1998,745,7.0,1.85,0
Ben Stiller,0,60154431,Comedy|Drama|Thriller,Matthew Broderick,122347,English,USA,1996,1000,6.0,2.35,0
Deepa Mehta,375,528972,Drama|Romance|War,Nandita Das,5639,Hindi,India,1998,102,7.8,,522
Warren Beatty,631,103738726,Action|Comedy|Crime|Music|Romance|Thriller,Charlie Korsmo,47819,English,USA,1990,631,6.1,1.85,2000
John McTiernan,323,69304264,Crime|Romance|Thriller,Mark Margolis,73068,English,USA,1999,977,6.8,2.35,0
Penny Marshall,545,29781453,Biography|Comedy|Drama,Rosie Perez,22447,English,USA,2001,811,6.4,1.85,0
Ted Kotcheff,270,,Action|Adventure|Drama,Sylvester Stallone,172489,English,USA,1982,954,7.7,2.35,0
Andrei Tarkovsky,0,,Drama|Mystery|Sci-Fi,Donatas Banionis,54057,Russian,Soviet Union,1972,29,8.1,2.35,0
Paul Bolger,0,15519841,Adventure|Animation|Comedy|Family|Fantasy,Sarah Michelle Gellar,8693,English,USA,2006,769,4.5,1.85,261
Stephen Frears,350,5600000,Drama|Horror|Romance|Thriller,Julia Roberts,11913,English,USA,1996,115,5.8,1.85,616
P.J. Hogan,29,126805112,Comedy|Romance,Julia Roberts,98199,English,USA,1997,1000,6.3,2.35,0
Joe Roth,148,93607673,Comedy|Romance,Julia Roberts,47573,English,USA,2001,973,5.7,2.35,881
Christopher Nolan,22000,67263182,Drama|Mystery|Thriller,Al Pacino,218771,English,USA,2002,509,7.2,2.35,0
Jonathan Frakes,906,92001027,Action|Adventure|Drama|Sci-Fi|Thriller,LeVar Burton,97838,English,USA,1996,1000,7.6,2.35,3000
Jimmy Hayward,39,10539414,Action|Drama|Fantasy|Thriller|Western,Michael Fassbender,45729,English,USA,2010,541,4.7,2.35,0
Edward Zwick,380,58918501,Action|Drama|Mystery|Thriller|War,Denzel Washington,40126,English,USA,1996,13000,6.6,1.85,975
Tom Shadyac,293,181395380,Comedy|Fantasy|Romance,Maura Tierney,220392,English,USA,1997,418,6.8,1.85,0
Brad Furman,65,14946229,Biography|Crime|Drama|Thriller,Joseph Gilgun,2581,English,UK,2016,423,7.3,2.35,0
Terence Young,92,,Drama|History|War,Laurence Olivier,491,English,South Korea,1981,623,2.7,2.35,115
Brian Levant,32,130512915,Comedy|Family|Fantasy,Jonathan Winters,60884,English,USA,1994,664,4.8,1.33,0
Olivier Megaton,118,139852971,Action|Crime|Thriller,Liam Neeson,238671,English,France,2012,935,6.3,2.35,63000
David Zucker,119,110000082,Comedy,Regina Hall,111526,English,USA,2003,780,5.5,1.85,0
Donald Petrie,80,106807667,Action|Comedy|Crime|Romance,Candice Bergen,137377,English,USA,2000,337,6.2,1.85,0
Eric Brevig,40,101702060,Action|Adventure|Family|Fantasy|Sci-Fi,Josh Hutcherson,85323,English,USA,2008,3000,5.8,1.85,0
Garry Marshall,0,95149435,Comedy|Family|Romance,Anne Hathaway,53687,English,USA,2004,1000,5.7,1.85,1000
Alan J. Pakula,79,100768056,Crime|Drama|Mystery|Thriller,Denzel Washington,59569,English,USA,1993,8000,6.5,2.35,0
Joel Schumacher,541,92115211,Crime|Drama|Mystery|Thriller,Bradley Whitford,45798,English,USA,1994,577,6.7,2.35,1000
Rob Reiner,0,93452056,Adventure|Comedy|Drama,Morgan Freeman,184795,English,USA,2007,2000,7.4,1.85,22000
Phillip Noyce,176,83287363,Action|Thriller,Harrison Ford,81442,English,USA,1992,530,6.9,2.35,0
Robert Luketic,126,82931301,Comedy|Romance,Adam Scott,43358,English,Germany,2005,949,5.5,2.35,0
Denis Villeneuve,777,60962878,Crime|Drama|Mystery|Thriller,Hugh Jackman,383591,English,USA,2013,15000,8.1,1.85,86000
Antoine Fuqua,845,76261036,Crime|Drama|Thriller,Denzel Washington,305929,English,USA,2001,881,7.7,2.35,0
Dean Parisot,23,71423726,Adventure|Comedy|Sci-Fi,Alan Rickman,123558,English,USA,1999,724,7.3,2.35,19000
Keenen Ivory Wayans,322,71277420,Comedy,Natasha Lyonne,119590,English,USA,2001,422,5.2,1.85,0
James Bobin,33,88625922,Adventure|Comedy|Family|Musical,Bill Cobbs,75176,English,USA,2011,91,7.1,1.85,26000
Stephen Norrington,45,70001065,Action|Horror,Sanaa Lathan,191437,English,USA,1998,650,7.1,2.35,0
Thomas Carter,49,67253092,Drama|Sport,Channing Tatum,92702,English,USA,2005,807,7.2,2.35,0
Roger Michell,50,66790248,Drama|Thriller,Sydney Pollack,57281,English,USA,2002,108,6.5,2.35,0
Luis Llosa,49,65557989,Action|Adventure|Horror|Thriller,Frank Welker,73539,English,USA,1997,902,4.6,2.35,0
David McNally,18,60786269,Comedy|Drama|Music|Romance,Adam Garcia,90539,English,USA,2000,625,5.6,2.35,0
Richard Curtis,628,59365105,Comedy|Drama|Romance,Colin Firth,318634,English,UK,2003,14000,7.7,2.35,52000
John Lasseter,487,162792677,Adventure|Animation|Comedy|Family|Fantasy,Kevin Spacey,211226,English,USA,1998,1000,7.2,2.35,0
Albert Hughes,117,31598308,Horror|Mystery|Thriller,Johnny Depp,124765,English,USA,2001,1000,6.8,2.35,0
Luis Llosa,49,57362581,Action|Crime|Drama|Romance|Thriller,Sylvester Stallone,50148,English,Peru,1994,279,5.4,1.85,0
Ron Shelton,41,53854588,Comedy|Drama|Romance|Sport,Don Johnson,37911,English,USA,1996,843,6.3,2.35,1000
Melville Shavelson,5,,Comedy|Family,Lucille Ball,5888,English,USA,1968,584,7.2,1.85,0
Jesse Dylan,58,52580895,Comedy|Family|Romance|Sport,Josh Hutcherson,30255,English,USA,2005,8000,5.6,2.35,743
Garth Jennings,37,51019112,Adventure|Comedy|Sci-Fi,Zooey Deschanel,155745,English,USA,2005,2000,6.8,2.35,10000
Joel Zwick,38,48114556,Comedy|Family|Fantasy|Romance,Dania Ramirez,9380,English,USA,2004,641,4.3,2.35,531
Russell Mulcahy,85,50648679,Action|Horror|Sci-Fi|Thriller,Milla Jovovich,149549,English,France,2007,706,6.3,2.35,0
Frank Coraci,153,46280507,Comedy|Romance,Bella Thorne,87165,English,USA,2014,11000,6.5,1.85,12000
Wayne Wang,61,38360195,Adventure|Comedy|Drama,LL Cool J,21215,English,USA,2006,976,6.4,2.35,0
Curtis Hanson,161,46815748,Action|Adventure|Crime|Thriller,Meryl Streep,32544,English,USA,1994,894,6.3,2.35,0
Frank Oz,0,35617599,Drama|Family|Fantasy,Steve Coogan,20688,English,USA,1995,845,5.9,1.85,0
Oliver Stone,0,47307550,Crime|Drama|Thriller,Demián Bichir,104301,English,USA,2012,463,6.5,2.35,28000
David R. Ellis,160,32003620,Action|Crime|Thriller,Richard Burgi,79141,English,USA,2004,216,6.5,2.35,2000
Peter Howitt,29,27972410,Action|Adventure|Comedy,Kevin McNally,114692,English,UK,2003,304,6.1,1.85,2000
John A. Davis,8,28133159,Adventure|Animation|Comedy|Family|Fantasy,Nicolas Cage,30055,English,USA,2006,11000,5.9,1.85,593
David Lynch,0,27400000,Action|Adventure|Sci-Fi,Virginia Madsen,97087,English,USA,1984,362,6.6,2.35,11000
Julie Taymor,278,24343673,Drama|Fantasy|Musical|Romance,Jim Sturgess,91860,English,USA,2007,117,7.4,2.35,14000
Sam Mendes,0,22877808,Drama|Romance,Leonardo DiCaprio,152591,English,USA,2008,14000,7.3,2.35,0
Richard Donner,503,36883539,Action|Crime|Drama|Thriller,Bruce Willis,112769,English,Germany,2006,929,6.6,2.35,0
Mathieu Kassovitz,326,22531698,Action|Adventure|Sci-Fi|Thriller,Vin Diesel,81523,English,France,2008,844,5.6,2.35,0
John Gray,29,20400913,Action|Comedy|Crime|Drama|Thriller,Alexa PenaVega,15455,English,USA,1996,461,5.3,1.85,451
Harold Ramis,11000,20101861,Comedy|Romance|Sci-Fi,John de Lancie,24757,English,USA,1996,484,6.0,2.35,0
John Schultz,13,25200412,Adventure|Comedy|Family|Fantasy|Sci-Fi,Malese Jow,16580,English,USA,2009,701,5.4,1.85,916
Sean Penn,0,19719930,Crime|Drama|Mystery|Thriller,Costas Mandylor,42621,English,USA,2001,44,6.8,2.35,0
Susan Stroman,38,19377727,Comedy|Musical,Jon Lovitz,35140,English,USA,2005,8000,6.4,2.35,0
Pete Travis,38,13401683,Action|Sci-Fi,Wood Harris,203461,English,UK,2012,107,7.1,2.35,46000
Simon Wincer,23,17300889,Action|Adventure|Comedy|Fantasy,Cary-Hiroyuki Tagawa,27648,English,Australia,1996,642,4.9,2.35,0
Billy Bob Thornton,0,15527125,Drama|Romance|Western,Matt Damon,11388,English,USA,2000,861,5.8,2.35,652
Oliver Stone,0,13560960,Biography|Drama|History,Anthony Hopkins,23996,English,USA,1995,5000,7.1,2.35,915
Roman Polanski,2000,15523168,Mystery|Thriller,Jim Belushi,132423,English,France,2010,766,7.2,2.35,15000
Stephen Sommers,208,11146409,Action|Adventure|Horror|Sci-Fi,Djimon Hounsou,26551,English,USA,1998,1000,6.0,2.35,0
Spike Lee,0,7916887,Action|Crime|Drama|Thriller|War,Joseph Gordon-Levitt,15697,English,USA,2008,1000,6.0,2.35,0
Yimou Zhang,611,6565495,Drama|Romance,Li Gong,36455,Mandarin,China,2006,52,7.0,2.35,0
Danny Pang,15,15279680,Action|Crime|Thriller,Nicolas Cage,48245,English,USA,2008,68,5.4,1.85,0
Barry Sonnenfeld,188,7262288,Comedy|Crime|Thriller,Zooey Deschanel,17307,English,USA,2002,1000,6.5,1.85,892
Mike Newell,179,4584886,Drama|Romance,Marcela Mar,19114,English,USA,2007,202,6.4,2.35,0
,,,Drama|Fantasy|Horror|Mystery,Pierre Perrier,15762,French,France,,116,8.3,16.0,17000
George P. Cosmatos,170,2154540,Action|Thriller,Sam Waterston,3803,English,USA,1997,623,4.9,2.35,68
Oliver Parker,32,8129455,Action|Adventure|Comedy|Crime,Daniel Kaluuya,89568,English,USA,2011,141,6.3,2.35,17000
Lawrence Kasanoff,11,,Action|Animation|Comedy|Family|Fantasy,Jerry Stiller,4377,English,USA,2012,611,1.7,,0
Ben Affleck,0,136019448,Biography|Drama|History|Thriller,Clea DuVall,452465,English,USA,2012,660,7.7,2.35,89000
Andrew Davis,99,183875760,Action|Adventure|Crime|Drama|Mystery|Thriller,Harrison Ford,213668,English,USA,1993,1000,7.8,1.85,0
Andy Tennant,72,67061228,Action|Comedy|Romance,Gerard Butler,96565,English,USA,2010,1000,5.5,2.35,0
Barry Levinson,272,53300852,Crime|Drama|Thriller,Robert De Niro,154487,English,USA,1996,11000,7.5,2.35,0
George P. Cosmatos,170,150415432,Action|Adventure|Thriller|War,Sylvester Stallone,117606,English,USA,1985,738,6.4,2.35,0
Brian Gibson,13,44834712,Drama|Thriller,Joseph Gordon-Levitt,13995,English,USA,1996,2000,5.6,2.35,353
Norman Ferguson,3,84300000,Animation|Family|Fantasy|Musical,Mel Blanc,90360,English,USA,1940,48,7.5,1.37,0
Michael Cimino,517,1500000,Adventure|Drama|Western,Jeff Bridges,9830,English,USA,1980,849,6.8,2.35,1000
Len Wiseman,235,62318875,Action|Adventure|Fantasy|Sci-Fi|Thriller,Sophia Myles,156225,English,USA,2006,845,6.8,2.35,0
Paul McGuigan,118,5773519,Drama|Horror|Sci-Fi|Thriller,Daniel Radcliffe,28618,English,USA,2015,1000,6.0,2.35,11000
Gus Van Sant,835,51768623,Drama,F. Murray Abraham,73006,English,USA,2000,370,7.3,2.35,0
Betty Thomas,84,37035515,Comedy|Drama,Steve Buscemi,34597,English,USA,2000,10000,6.0,1.37,0
Louis Leterrier,255,24520892,Action|Crime|Drama|Thriller,Morgan Freeman,85198,English,France,2005,5000,7.0,2.35,0
Roger Kumble,16,24430272,Comedy|Romance,Judith Chapman,46158,English,USA,2002,28,5.1,1.85,0
Sydney Pollack,521,158348400,Drama|Mystery|Thriller,Tom Cruise,88844,English,USA,1993,1000,6.8,1.85,0
Burr Steers,23,31136950,Drama|Fantasy|Romance,Augustus Prew,47364,English,USA,2010,268,6.5,2.35,0
Simon West,165,29113588,Action|Crime|Thriller,Jason Statham,117999,English,USA,2011,956,6.6,2.35,16000
Phil Lord,97,138447667,Action|Comedy|Crime,Channing Tatum,408302,English,USA,2012,971,7.2,2.35,39000
Roger Michell,50,116006080,Comedy|Drama|Romance,Julia Roberts,203269,English,UK,1999,437,7.0,2.35,11000
Peter Lord,91,106793915,Adventure|Animation|Comedy|Drama|Family,Imelda Staunton,140499,English,UK,2000,530,7.0,1.85,0
John Hamburg,29,87856565,Comedy|Romance,Philip Seymour Hoffman,106909,English,USA,2004,923,5.9,1.85,0
Reginald Hudlin,71,70100000,Comedy|Drama|Romance,John Witherspoon,20183,English,USA,1992,558,5.4,1.85,0
Paul Feig,176,159578352,Action|Comedy|Crime,Michael Rapaport,133177,English,USA,2013,815,6.6,2.35,24000
Joseph L. Mankiewicz,311,57750000,Biography|Drama|History|Romance,Martin Landau,21554,English,UK,1963,726,7.0,2.2,0
Frank Coraci,153,45290318,Action|Comedy|Sport,Salma Hayek,74169,English,USA,2012,828,6.5,1.85,17000
Carl Franklin,73,41543207,Crime|Drama|Mystery|Thriller,Morgan Freeman,30077,English,USA,2002,3000,6.3,2.35,893
Barbra Streisand,0,41252428,Comedy|Drama|Romance,Jeff Bridges,11453,English,USA,1996,592,6.5,1.85,0
Mark Pellington,89,35228696,Drama|Horror|Mystery|Thriller,Debra Messing,63677,English,USA,2002,537,6.5,2.35,0
Larry Charles,119,59992760,Comedy,Bono,119622,English,USA,2009,442,5.8,1.85,0
John Glen,46,34667015,Action|Adventure|Thriller,Robert Davi,74009,English,UK,1989,349,6.6,2.35,0
Catherine Hardwicke,308,37652565,Fantasy|Horror|Mystery|Thriller,Gary Oldman,91151,English,USA,2011,2000,5.4,2.35,20000
John Herzfeld,17,24375436,Action|Crime|Drama|Thriller,Robert De Niro,42547,English,USA,2001,9000,6.1,2.35,748
Annabel Jankel,5,20915465,Adventure|Comedy|Family|Fantasy|Sci-Fi,Bob Hoskins,38203,English,UK,1993,922,4.0,1.85,0
Andrew Niccol,487,24127895,Crime|Drama|Thriller,Nicolas Cage,248123,English,USA,2005,43,7.6,2.35,10000
Yimou Zhang,611,84961,Action|Adventure|History,Jet Li,149414,Mandarin,China,2002,643,7.9,2.35,0
Julie Anne Robinson,30,26404753,Action|Comedy|Crime|Romance|Thriller,Fisher Stevens,34203,English,USA,2012,786,5.3,2.35,19000
Evan Goldberg,133,6105175,Comedy,James Franco,247020,English,USA,2014,392,6.6,2.35,50000
Sngmoo Lee,19,5664251,Action|Fantasy|Western,Tony Cox,22309,English,New Zealand,2010,489,6.3,2.35,0
,,,Comedy|War,Tim Conway,1558,English,USA,,284,7.5,4.0,455
Jean-Pierre Jeunet,0,1260917,Action|Comedy|Crime,Omar Sy,24657,French,France,2009,172,7.2,2.35,0
Curtis Hanson,161,116724075,Drama|Music,Mekhi Phifer,187181,English,USA,2002,418,7.0,2.35,0
Jamel Debbouze,326,,Adventure|Animation|Comedy|Family,Jamel Debbouze,590,French,France,2015,152,4.9,,161
Brian Helgeland,241,56083966,Action|Adventure|Romance,Heath Ledger,137003,English,USA,2001,3000,6.9,2.35,0
Gordon Chan,4,22108977,Action|Comedy|Fantasy,Julian Sands,29861,English,Hong Kong,2003,312,5.2,2.35,505
M. Night Shyamalan,0,293501675,Drama|Mystery|Thriller,Bruce Willis,704766,English,USA,1999,3000,8.1,1.85,14000
Asger Leth,20,18600911,Action|Crime|Thriller,Robert Clohessy,125198,English,USA,2012,81,6.6,2.35,11000
David Frankel,64,7204138,Comedy,Joel McHale,34809,English,USA,2011,574,6.2,2.35,11000
John G. Avildsen,80,90800000,Action|Drama|Family|Sport,Martin Kove,126907,English,USA,1984,641,7.2,1.85,0
David O. Russell,737,150117807,Crime|Drama,Jennifer Lawrence,358416,English,USA,2013,23000,7.3,2.35,63000
Anne Fletcher,98,163947053,Comedy|Drama|Romance,Ryan Reynolds,227824,English,USA,2009,896,6.7,2.35,10000
Bruce Beresford,78,116735231,Crime|Mystery|Thriller,Bruce Greenwood,56646,English,USA,1999,489,6.4,2.35,0
Robert Zemeckis,0,118500000,Adventure|Comedy|Sci-Fi,Lea Thompson,340085,English,USA,1989,869,7.8,1.85,12000
Luc Besson,0,126546825,Action|Sci-Fi|Thriller,Scarlett Johansson,327367,English,France,2014,11000,6.4,2.35,83000
Sam Taylor-Johnson,456,166147885,Drama|Romance,Jennifer Ehle,220020,English,USA,2015,935,4.1,2.35,101000
Robert Rodriguez,0,111760631,Action|Adventure|Comedy|Family|Sci-Fi,Sylvester Stallone,40227,English,USA,2003,4000,4.1,1.85,681
Joel Schumacher,541,108706165,Crime|Drama|Thriller,Kevin Spacey,99558,English,USA,1996,11000,7.4,2.35,0
Shawn Levy,189,138614544,Comedy|Family,Tom Welling,75152,English,USA,2003,2000,5.8,1.85,0
Peter Berg,532,125069696,Action|Biography|Drama|Thriller|War,Jerry Ferrara,203963,English,USA,2013,449,7.6,2.35,58000
Penny Marshall,545,107458785,Comedy|Drama|Sport,Tom Hanks,71754,English,USA,1992,923,7.2,2.35,0
James Wan,0,102310175,Horror|Mystery|Thriller,Javier Botet,64989,English,USA,2016,575,7.8,2.35,40000
David Fincher,21000,96917897,Biography|Drama,Andrew Garfield,479453,English,USA,2010,349,7.7,2.35,74000
Ken Kwapis,42,93952276,Comedy|Drama|Romance,Carmen Perez,132048,English,USA,2009,50,6.4,2.35,12000
David Zucker,119,90703745,Comedy,Beau Mirchoff,93748,English,USA,2006,869,5.1,1.85,1000
Wes Craven,0,89138076,Horror|Mystery,Kelly Rutherford,98535,English,USA,2000,157,5.5,2.35,0
Robert Zemeckis,0,87666629,Adventure|Comedy|Sci-Fi|Western,Lea Thompson,283480,English,USA,1990,869,7.4,1.37,0
Etan Cohen,164,90353764,Comedy|Crime,Will Ferrell,85629,English,USA,2015,2000,6.0,1.85,14000
Francis Ford Coppola,0,82522790,Fantasy|Horror|Romance,Keanu Reeves,143835,English,USA,1992,12000,7.5,1.85,14000
Nora Ephron,0,94125426,Biography|Drama|Romance,Meryl Streep,79264,English,USA,2009,935,7.0,1.85,13000
Brian Helgeland,241,95001343,Biography|Drama|Sport,Harrison Ford,66511,English,USA,2013,3000,7.5,2.35,28000
Anthony Minghella,333,81292135,Crime|Drama|Thriller,Philip Seymour Hoffman,137891,English,USA,1999,13000,7.3,1.85,0
Bobby Farrelly,101,86208010,Comedy,Bill Murray,97045,English,USA,2014,899,5.7,1.85,55000
Frank Marshall,155,81593527,Adventure|Drama|Family,Paul Walker,48806,English,USA,2006,984,7.3,2.35,11000
Nancy Meyers,278,75274748,Comedy|Drama,Robert De Niro,130661,English,USA,2015,11000,7.2,1.85,54000
Tim Story,167,90835030,Action|Comedy,Olivia Munn,28621,English,USA,2016,874,5.9,2.35,0
Michael Mann,0,72455275,Action|Adventure|Drama|Romance|War,Wes Studi,113068,English,USA,1992,363,7.8,2.35,0
Taylor Hackford,138,75305995,Biography|Drama|Music,Bokeem Woodbine,110394,English,USA,2004,876,7.7,1.85,0
Frank Miller,436,74098862,Crime|Thriller,Rosario Dawson,656640,English,USA,2005,472,8.1,1.85,13000
