director_name,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,country,content_rating,budget,actor_2_facebook_likes,movie_facebook_likes
Grant Heslov,939,Jeff Bridges,18000,Comedy|War,32474,Stephen Root,0,first person narration|general|hampster|reference to loch ness monster|reporter,USA,R,25000000,12000,15000
George Gallo,384,Eddie Griffin,1000,Action|Comedy|Crime|Thriller,2557,Garcelle Beauvais,2,cia|cia agent|fbi|mexico|train,USA,PG-13,24000000,489,204
James Mangold,898,Clea DuVall,11000,Biography|Drama,13433,Vanessa Redgrave,0,1960s|father daughter incest|mental hospital|suicide|suicide attempt,USA,R,24000000,1000,0
Robert Luketic,886,Gary Cole,2000,Comedy|Romance,4681,Nathan Lane,1,best friend|contest|date|small town|west virginia,USA,PG-13,24000000,989,876
Tim Hill,611,F. Murray Abraham,1000,Adventure|Comedy|Family|Fantasy|Music|Sci-Fi,3243,David Arquette,0,alien|breakfast|escape|rat|ufo,USA,G,24000000,670,619
Sidney Lumet,227,Diana Ross,738,Adventure|Family|Fantasy|Music|Musical,1458,Theresa Merritt,0,melancholy|new york city|sadness|teacher|wizard,USA,G,24000000,295,0
Brian Robbins,940,Ellen Albertini Dow,1000,Comedy|Sport,4971,Martin Landau,1,gay subtext|homoerotic fight|homoeroticism|homosexual subtext|wcw wrestling,USA,PG-13,24000000,957,650
Ron Shelton,197,Robert Wagner,512,Comedy|Drama|Sport,1523,Lolita Davidovich,0,boxing movie|friendship|highway travel|male rear nudity|road movie,USA,R,24000000,481,153
Douglas McGrath,847,Busy Philipps,2000,Comedy|Romance,5470,Jessica Szohr,0,black comedy|delivery boy|dinner|gym|punishment,USA,PG-13,24000000,1000,0
Alexandre Aja,847,Kelly Brook,3000,Comedy|Horror,5737,Jessica Szohr,0,bloody water|boat|party|piranha|spring break,USA,R,24000000,859,13000
Kevin Spacey,286,Bob Hoskins,18000,Biography|Drama|Music|Musical,23689,Brenda Blethyn,1,bobby darin|career|love|marriage|sandra dee,USA,PG-13,23000000,5000,0
Steve Boyum,254,M.C. Gainey,23000,Comedy|Family,24436,A.J. Langer,2,accidental kiss|eating a worm|park|worm|yellowstone national park,USA,PG,24000000,284,839
Richard Williams,73,Kenneth Williams,742,Action|Adventure|Animation|Comedy|Fantasy,1088,Clive Revill,0,cobbler|desert|gold|princess|thief,UK,G,28000000,83,408
Mary McGuckian,382,F. Murray Abraham,22000,Drama|Romance,23769,Geraldine Chaplin,3,bridge|friar|inquisition|peru|rope bridge,UK,PG,24000000,670,181
George Tillman Jr.,706,Tom Berenger,12000,Action|Crime|Drama|Thriller,14699,Mike Epps,1,gun|prison|reference to god|reference to jesus christ|vengeance,USA,R,24000000,854,12000
Hayao Miyazaki,422,Blythe Danner,23000,Adventure|Animation|Family|Fantasy,24263,Jean Simmons,0,anime|castle|demon|steampunk|witch,Japan,PG,24000000,713,13000
Ruben Fleischer,11,Bill Murray,15000,Adventure|Comedy|Horror|Sci-Fi,28011,Derek Graf,4,amusement park|on the road|zombie|zombie apocalypse|zombie spoof,USA,R,23600000,13000,26000
Peter Jackson,84,Thomas Kretschmann,6000,Action|Adventure|Drama|Romance,7122,Evan Parke,0,animal name in title|ape abducts a woman|gorilla|island|king kong,New Zealand,PG-13,207000000,918,0
Frank Coraci,427,Clint Howard,11000,Comedy|Sport,13823,Peter Dante,0,coach|college|college football|domineering mother|football,USA,PG-13,20000000,1000,0
Irvin Kershner,441,Kenny Baker,11000,Action|Adventure|Fantasy|Sci-Fi,12643,Anthony Daniels,0,duel|famous twist|rebel|rescue|snowy landscape,USA,PG,18000000,504,17000
Michael Bay,244,Tchéky Karyo,10000,Action|Comedy|Crime|Drama|Thriller,11013,Theresa Randle,0,drugs|heroin|murder|police|witness,USA,R,19000000,345,0
David Zucker,144,Priscilla Presley,3000,Comedy|Crime,3847,O.J. Simpson,6,american president|evil industrialist|ex girlfriend|political leader|president,USA,PG-13,23000000,348,0
James Wong,591,Brendan Fehr,1000,Horror|Thriller,3345,Kerr Smith,1,dead teenager|death|explosion|premonition|teenager,USA,R,23000000,847,0
George Clooney,1000,Philip Seymour Hoffman,33000,Drama,57077,Jennifer Ehle,1,governor|intern|manager|ohio|politics,USA,R,12500000,22000,22000
David Twohy,787,Radha Mitchell,14000,Horror|Sci-Fi,16196,Cole Hauser,0,captain|darkness|eclipse|space|survival,USA,R,23000000,991,5000
Tony Goldwyn,99,Ellen Barkin,20000,Comedy|Romance,20798,Catherine Dent,3,apartment|girl in panties|roommate|thong panties|upskirt,USA,PG-13,23000000,551,0
Spike Jonze,105,Brian Johnson,19000,Drama|Romance|Sci-Fi,19359,Matt Letscher,1,divorce|female frontal nudity|future|loneliness|operating system,USA,R,23000000,128,148000
Dexter Fletcher,141,Taron Egerton,20000,Biography|Comedy|Drama|Sport,21195,Tim McInnerny,3,1988 winter olympics|coach|ski jumper|winter|winter olympics,UK,PG-13,23000000,732,15000
John Dahl,62,Jessica Bowman,23000,Mystery|Thriller,23242,Dell Yount,2,embarrassing male nudity|embarrassing nudity|male nudity|truck|truck driver,USA,R,23000000,81,0
Jonathan Newman,88,Keeley Hawes,2000,Adventure|Family|Fantasy,2450,Oliver Stark,4,based on novel|drowning|hanging from a flagpole|hanging from a rope|magic,UK,PG,25000000,228,0
Wayne Wang,407,Eva Amurri Martino,20000,Comedy|Drama,22040,Shawn Hatosy,2,family relationships|female protagonist|nubile woman|policeman|teenager,USA,PG-13,23000000,797,638
Andy Cadiff,120,Stark Sands,448,Comedy|Romance,829,Terence Maynard,0,first daughter|photographer|prague|president|secret service agent,USA,PG-13,23000000,143,0
Michael Dinner,249,Dan Hedaya,327,Comedy|Crime,1509,Lainie Kazan,4,beach|drug lord|drugs|hotel|stripper,USA,PG-13,23000000,281,153
Steven Soderbergh,947,Michael Fassbender,17000,Action|Thriller,31187,Michael Angarano,5,die hard scenario|one woman army|rescue|soldier|super soldier,Ireland,R,23000000,13000,0
Joseph Sargent,434,Mario Van Peebles,912,Adventure|Horror|Thriller,2355,Lynn Whitfield,0,banana boat|boat|christmas|sea|shark,USA,PG-13,23000000,535,0
Jerry Zaks,11000,Robert De Niro,29000,Drama,63194,Meryl Streep,2,house|leukemia|mental institution|nursing home|transplant,USA,PG-13,23000000,22000,1000
Fred Durst,424,Dash Mihok,721,Biography|Comedy|Drama|Family|Sport,2453,Garrett Morris,2,absent father|american football|based on true story|middle school,USA,PG,23000000,463,376
Neil Jordan,57,Ian Hart,327,Drama|Romance,672,James Bolam,0,breasts|jealousy|obsession|sex scene|spiritual,UK,R,23000000,261,0
Simon Wincer,982,Tia Carrere,1000,Action|Crime|Drama|Thriller|Western,3671,Don Johnson,2,bar|biker|cowboy|drugs|marlboro,USA,R,23000000,1000,0
