director_name,actor_3_facebook_likes,movie_imdb_link,language,aspect_ratio
Terry Gilliam,551,http://www.imdb.com/title/tt0120669/?ref_=fn_tt_tt_1,English,2.35
Ricky Gervais,985,http://www.imdb.com/title/tt1058017/?ref_=fn_tt_tt_1,English,1.85
Nicholas Stoller,329,http://www.imdb.com/title/tt2004420/?ref_=fn_tt_tt_1,English,2.35
Chuck Russell,360,http://www.imdb.com/title/tt0110475/?ref_=fn_tt_tt_1,English,1.85
Penny Marshall,697,http://www.imdb.com/title/tt0094737/?ref_=fn_tt_tt_1,English,1.85
Larry Charles,6,http://www.imdb.com/title/tt0443453/?ref_=fn_tt_tt_1,English,1.85
Robert Luketic,584,http://www.imdb.com/title/tt0250494/?ref_=fn_tt_tt_1,English,2.35
Leonard Nimoy,643,http://www.imdb.com/title/tt0088170/?ref_=fn_tt_tt_1,English,2.35
Scott Derrickson,457,http://www.imdb.com/title/tt0404032/?ref_=fn_tt_tt_1,English,2.35
Mike Mitchell,489,http://www.imdb.com/title/tt0205000/?ref_=fn_tt_tt_1,English,1.85
Vic Armstrong,734,http://www.imdb.com/title/tt2467046/?ref_=fn_tt_tt_1,English,2.35
Thomas Bezucha,172,http://www.imdb.com/title/tt0356680/?ref_=fn_tt_tt_1,English,1.85
Kevin Rodney Sullivan,521,http://www.imdb.com/title/tt0337579/?ref_=fn_tt_tt_1,English,1.85
Terry Zwigoff,566,http://www.imdb.com/title/tt0307987/?ref_=fn_tt_tt_1,English,1.85
Jay Roach,481,http://www.imdb.com/title/tt0118655/?ref_=fn_tt_tt_1,English,2.35
Kirk Jones,261,http://www.imdb.com/title/tt3760922/?ref_=fn_tt_tt_1,English,2.35
David Bowers,557,http://www.imdb.com/title/tt1650043/?ref_=fn_tt_tt_1,English,2.35
John McTiernan,794,http://www.imdb.com/title/tt0093773/?ref_=fn_tt_tt_1,English,1.85
Milos Forman,521,http://www.imdb.com/title/tt0086879/?ref_=fn_tt_tt_1,English,2.35
Nelson McCormick,458,http://www.imdb.com/title/tt0926129/?ref_=fn_tt_tt_1,English,2.35
Mark Waters,625,http://www.imdb.com/title/tt0377092/?ref_=fn_tt_tt_1,English,1.85
Audrey Wells,148,http://www.imdb.com/title/tt0328589/?ref_=fn_tt_tt_1,English,1.85
Robert Altman,555,http://www.imdb.com/title/tt0280707/?ref_=fn_tt_tt_1,English,2.35
,650,http://www.imdb.com/title/tt0362359/?ref_=fn_tt_tt_1,English,1.78
Francis Ford Coppola,805,http://www.imdb.com/title/tt0091738/?ref_=fn_tt_tt_1,English,1.85
Alejandro G. Iñárritu,529,http://www.imdb.com/title/tt2562232/?ref_=fn_tt_tt_1,English,1.85
Woody Allen,218,http://www.imdb.com/title/tt2334873/?ref_=fn_tt_tt_1,English,2.35
Paul Greengrass,64,http://www.imdb.com/title/tt0475276/?ref_=fn_tt_tt_1,English,2.35
Bille Woodruff,582,http://www.imdb.com/title/tt0322589/?ref_=fn_tt_tt_1,English,1.85
Edward Zwick,2000,http://www.imdb.com/title/tt0097441/?ref_=fn_tt_tt_1,English,1.85
Rick Friedberg,341,http://www.imdb.com/title/tt0117723/?ref_=fn_tt_tt_1,English,1.85
John Carpenter,606,http://www.imdb.com/title/tt0080749/?ref_=fn_tt_tt_1,English,2.35
Sean McNamara,723,http://www.imdb.com/title/tt1596346/?ref_=fn_tt_tt_1,English,2.35
Mike Nichols,191,http://www.imdb.com/title/tt0065528/?ref_=fn_tt_tt_1,English,2.35
Jody Hill,59,http://www.imdb.com/title/tt1197628/?ref_=fn_tt_tt_1,English,2.35
Richard Fleischer,406,http://www.imdb.com/title/tt0087078/?ref_=fn_tt_tt_1,English,2.35
Martin Scorsese,356,http://www.imdb.com/title/tt0081398/?ref_=fn_tt_tt_1,English,1.85
Brandon Camp,827,http://www.imdb.com/title/tt0899106/?ref_=fn_tt_tt_1,English,1.85
Barry Levinson,124,http://www.imdb.com/title/tt0090357/?ref_=fn_tt_tt_1,English,1.85
Kevin Tancharoen,637,http://www.imdb.com/title/tt1016075/?ref_=fn_tt_tt_1,English,2.35
Danny Boyle,223,http://www.imdb.com/title/tt1542344/?ref_=fn_tt_tt_1,English,1.85
Woody Allen,975,http://www.imdb.com/title/tt0196216/?ref_=fn_tt_tt_1,English,1.85
Nicholas Hytner,111,http://www.imdb.com/title/tt0210616/?ref_=fn_tt_tt_1,English,2.35
Jessie Nelson,85,http://www.imdb.com/title/tt2279339/?ref_=fn_tt_tt_1,English,2.35
Bart Freundlich,362,http://www.imdb.com/title/tt0337917/?ref_=fn_tt_tt_1,English,1.85
Irwin Winkler,1000,http://www.imdb.com/title/tt0264796/?ref_=fn_tt_tt_1,English,2.35
Danny Boyle,816,http://www.imdb.com/title/tt2080374/?ref_=fn_tt_tt_1,English,2.35
Chris Columbus,529,http://www.imdb.com/title/tt1032815/?ref_=fn_tt_tt_1,English,1.85
Miguel Arteta,729,http://www.imdb.com/title/tt0403702/?ref_=fn_tt_tt_1,English,1.85
William A. Fraker,102,http://www.imdb.com/title/tt0082648/?ref_=fn_tt_tt_1,English,2.35
John Boorman,1000,http://www.imdb.com/title/tt0236784/?ref_=fn_tt_tt_1,English,2.35
Brian De Palma,101,http://www.imdb.com/title/tt0082085/?ref_=fn_tt_tt_1,English,2.35
Courtney Solomon,179,http://www.imdb.com/title/tt2167202/?ref_=fn_tt_tt_1,English,2.35
Ang Lee,177,http://www.imdb.com/title/tt0119349/?ref_=fn_tt_tt_1,English,1.85
Rob Reiner,197,http://www.imdb.com/title/tt2465146/?ref_=fn_tt_tt_1,English,2.35
Jeff Kanew,371,http://www.imdb.com/title/tt0098519/?ref_=fn_tt_tt_1,English,1.37
István Szabó,202,http://www.imdb.com/title/tt0340012/?ref_=fn_tt_tt_1,English,1.85
Adrian Lyne,45,http://www.imdb.com/title/tt0091635/?ref_=fn_tt_tt_1,English,1.85
Matthew Robbins,94,http://www.imdb.com/title/tt0082288/?ref_=fn_tt_tt_1,English,2.35
Michael Hoffman,231,http://www.imdb.com/title/tt0824758/?ref_=fn_tt_tt_1,English,2.35
Tim Burton,940,http://www.imdb.com/title/tt0109707/?ref_=fn_tt_tt_1,English,1.85
Jason Reitman,405,http://www.imdb.com/title/tt1967545/?ref_=fn_tt_tt_1,English,2.35
Sergey Bodrov,9,http://www.imdb.com/title/tt0416044/?ref_=fn_tt_tt_1,Mongolian,2.35
Guy Ritchie,1000,http://www.imdb.com/title/tt1032755/?ref_=fn_tt_tt_1,English,2.35
Hal Needham,251,http://www.imdb.com/title/tt0084316/?ref_=fn_tt_tt_1,English,1.85
Kenneth Branagh,401,http://www.imdb.com/title/tt0116477/?ref_=fn_tt_tt_1,English,2.2
Bruce Beresford,238,http://www.imdb.com/title/tt1071812/?ref_=fn_tt_tt_1,English,1.85
Jeff Nichols,201,http://www.imdb.com/title/tt2649554/?ref_=fn_tt_tt_1,English,2.35
Woody Allen,922,http://www.imdb.com/title/tt0313792/?ref_=fn_tt_tt_1,English,2.35
Jonathan Teplitzky,212,http://www.imdb.com/title/tt2058107/?ref_=fn_tt_tt_1,English,2.35
,405,http://www.imdb.com/title/tt1842530/?ref_=fn_tt_tt_1,,
Michael Haneke,16,http://www.imdb.com/title/tt1149362/?ref_=fn_tt_tt_1,German,1.85
Zack Ward,161,http://www.imdb.com/title/tt4517738/?ref_=fn_tt_tt_1,English,
Mike Marvin,415,http://www.imdb.com/title/tt0092240/?ref_=fn_tt_tt_1,English,1.85
D.J. Caruso,576,http://www.imdb.com/title/tt0235737/?ref_=fn_tt_tt_1,English,1.85
Nimród Antal,151,http://www.imdb.com/title/tt2172935/?ref_=fn_tt_tt_1,English,2.35
Gregor Jordan,394,http://www.imdb.com/title/tt0865554/?ref_=fn_tt_tt_1,English,2.35
,30,http://www.imdb.com/title/tt1321865/?ref_=fn_tt_tt_1,English,2.35
Tran Anh Hung,32,http://www.imdb.com/title/tt1024744/?ref_=fn_tt_tt_1,English,2.35
Lance Hool,353,http://www.imdb.com/title/tt0120775/?ref_=fn_tt_tt_1,English,2.35
George A. Romero,83,http://www.imdb.com/title/tt0088993/?ref_=fn_tt_tt_1,English,1.85
Chuck Russell,757,http://www.imdb.com/title/tt3212232/?ref_=fn_tt_tt_1,English,
Christian Volckman,69,http://www.imdb.com/title/tt0386741/?ref_=fn_tt_tt_1,English,2.35
Jon Cassar,720,http://www.imdb.com/title/tt2271563/?ref_=fn_tt_tt_1,English,2.35
Richard Fleischer,183,http://www.imdb.com/title/tt0089893/?ref_=fn_tt_tt_1,English,2.35
Rodrigo Cortés,920,http://www.imdb.com/title/tt1748179/?ref_=fn_tt_tt_1,English,2.35
Greg Mottola,778,http://www.imdb.com/title/tt0829482/?ref_=fn_tt_tt_1,English,1.85
Tyler Perry,543,http://www.imdb.com/title/tt1142800/?ref_=fn_tt_tt_1,English,1.85
David Hayter,413,http://www.imdb.com/title/tt1403241/?ref_=fn_tt_tt_1,English,2.35
Jon M. Chu,129,http://www.imdb.com/title/tt1023481/?ref_=fn_tt_tt_1,English,1.85
Cory Edwards,854,http://www.imdb.com/title/tt0443536/?ref_=fn_tt_tt_1,English,1.85
Terry George,242,http://www.imdb.com/title/tt0395169/?ref_=fn_tt_tt_1,English,2.35
Xavier Gens,280,http://www.imdb.com/title/tt0465494/?ref_=fn_tt_tt_1,English,2.35
Kasi Lemmons,170,http://www.imdb.com/title/tt1425922/?ref_=fn_tt_tt_1,English,2.35
Brian A Miller,1000,http://www.imdb.com/title/tt1085492/?ref_=fn_tt_tt_1,English,2.35
Matt Dillon,50,http://www.imdb.com/title/tt0164003/?ref_=fn_tt_tt_1,English,1.85
Alejandro Amenábar,83,http://www.imdb.com/title/tt0230600/?ref_=fn_tt_tt_1,English,1.85
James Cameron,604,http://www.imdb.com/title/tt0090605/?ref_=fn_tt_tt_1,English,1.85
George Cukor,244,http://www.imdb.com/title/tt0058385/?ref_=fn_tt_tt_1,English,2.2
Jim Gillespie,681,http://www.imdb.com/title/tt0119345/?ref_=fn_tt_tt_1,English,2.35
Luke Greenfield,613,http://www.imdb.com/title/tt1924435/?ref_=fn_tt_tt_1,English,1.85
Alexander Payne,284,http://www.imdb.com/title/tt0375063/?ref_=fn_tt_tt_1,English,1.85
Jay Chandrasekhar,422,http://www.imdb.com/title/tt0486551/?ref_=fn_tt_tt_1,English,2.35
John Carpenter,598,http://www.imdb.com/title/tt0077651/?ref_=fn_tt_tt_1,English,2.35
Yimou Zhang,576,http://www.imdb.com/title/tt0299977/?ref_=fn_tt_tt_1,Mandarin,2.35
John Hoffman,503,http://www.imdb.com/title/tt0326900/?ref_=fn_tt_tt_1,English,1.85
Malcolm D. Lee,849,http://www.imdb.com/title/tt2083355/?ref_=fn_tt_tt_1,English,2.35
Joe Carnahan,968,http://www.imdb.com/title/tt0475394/?ref_=fn_tt_tt_1,English,2.35
Kevin Greutert,298,http://www.imdb.com/title/tt1477076/?ref_=fn_tt_tt_1,English,1.85
Michael Lehmann,486,http://www.imdb.com/title/tt0243736/?ref_=fn_tt_tt_1,English,1.85
Joseph Kosinski,1000,http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1,English,2.35
John Fortenberry,281,http://www.imdb.com/title/tt0120770/?ref_=fn_tt_tt_1,English,1.85
Daniel Barnz,583,http://www.imdb.com/title/tt1152398/?ref_=fn_tt_tt_1,English,2.35
Alexandre Aja,580,http://www.imdb.com/title/tt0454841/?ref_=fn_tt_tt_1,English,2.35
Sam Weisman,428,http://www.imdb.com/title/tt0325258/?ref_=fn_tt_tt_1,English,2.35
Niki Caro,89,http://www.imdb.com/title/tt2097298/?ref_=fn_tt_tt_1,English,2.35
Erik White,826,http://www.imdb.com/title/tt0979434/?ref_=fn_tt_tt_1,English,2.35
Chris Robinson,104,http://www.imdb.com/title/tt0466856/?ref_=fn_tt_tt_1,English,2.35
Jason Moore,746,http://www.imdb.com/title/tt1981677/?ref_=fn_tt_tt_1,English,1.85
Michael Tollin,505,http://www.imdb.com/title/tt0234829/?ref_=fn_tt_tt_1,English,1.85
Sam Raimi,244,http://www.imdb.com/title/tt0120324/?ref_=fn_tt_tt_1,English,1.85
Robert Harmon,973,http://www.imdb.com/title/tt0283632/?ref_=fn_tt_tt_1,English,2.35
Trent Cooper,323,http://www.imdb.com/title/tt0462395/?ref_=fn_tt_tt_1,English,1.33
Gary Halvorson,142,http://www.imdb.com/title/tt0159421/?ref_=fn_tt_tt_1,English,1.85
Antoine Fuqua,625,http://www.imdb.com/title/tt1210042/?ref_=fn_tt_tt_1,English,2.35
Nicholas Ray,86,http://www.imdb.com/title/tt0056800/?ref_=fn_tt_tt_1,English,2.2
Fede Alvarez,58,http://www.imdb.com/title/tt1288558/?ref_=fn_tt_tt_1,English,2.35
Donald Petrie,399,http://www.imdb.com/title/tt0865559/?ref_=fn_tt_tt_1,English,1.85
Paul Weitz,841,http://www.imdb.com/title/tt0465142/?ref_=fn_tt_tt_1,English,1.85
Sidney J. Furie,488,http://www.imdb.com/title/tt0094074/?ref_=fn_tt_tt_1,English,2.35
