director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,genres,actor_1_name,cast_total_facebook_likes,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Tom Hooper,488,158,0,11000,Drama|Musical|Romance,Hugh Jackman,46204,61000000,2012,13000,7.6,1.85,144000
Nora Ephron,153,119,0,744,Comedy|Drama|Romance,Tom Hanks,17768,65000000,1998,793,6.5,1.85,0
Adam McKay,173,106,285,105,Comedy,Will Ferrell,11264,65000000,2008,3000,6.9,2.35,0
Martin Campbell,156,136,258,94,Action|Adventure|Comedy|Romance|Thriller|Western,Anthony Hopkins,12396,65000000,1998,174,6.7,2.35,0
Todd Phillips,307,95,480,490,Comedy|Drama,Robert Downey Jr.,23018,65000000,2010,561,6.6,2.35,25000
Angelina Jolie Pitt,322,137,11000,465,Biography|Drama|Sport|War,Finn Wittrock,2938,65000000,2014,698,7.2,2.35,35000
Clint Eastwood,169,130,16000,416,Action|Adventure|Thriller,Clint Eastwood,17771,65000000,2000,495,6.4,2.35,0
Renny Harlin,74,124,212,369,Action|Adventure|Thriller,Sylvester Stallone,15229,70000000,1993,730,6.4,2.35,0
John Woo,72,108,610,461,Action|Crime|Thriller,Delroy Lindo,2913,50000000,1996,517,6.0,2.35,0
Jon Turteltaub,86,104,226,577,Comedy|Family|Fantasy,Bruce Willis,16452,60000000,2000,718,6.1,1.85,0
Oliver Stone,242,129,0,625,Drama|History|Thriller,Nicolas Cage,14421,63000000,2006,1000,6.0,1.85,0
Mike Newell,141,117,179,403,Drama,Julia Roberts,12850,65000000,2003,4000,6.4,1.85,0
Larry Charles,313,99,119,174,Comedy|Romance,Sayed Badreya,1375,65000000,2012,346,6.4,2.35,59000
Stanley Kubrick,280,159,0,521,Drama|Mystery|Thriller,Tom Cruise,11424,65000000,1999,580,7.3,1.66,10000
Will Gluck,176,118,87,929,Comedy|Drama|Family|Musical,Quvenzhané Wallis,4796,65000000,2014,1000,5.2,2.39,16000
Glenn Ficarra,279,105,43,523,Comedy|Crime|Drama|Romance,Will Smith,11943,50100000,2015,806,6.6,1.85,23000
McG,241,103,368,520,Action|Comedy|Romance,Tom Hardy,29808,65000000,2012,1000,6.3,2.35,18000
David S. Goyer,185,122,687,957,Action|Adventure|Fantasy|Horror|Sci-Fi|Thriller,Ryan Reynolds,19764,65000000,2004,1000,5.9,2.35,0
John Milius,97,114,468,919,Action|Drama|War,Lea Thompson,3860,16900000,1984,1000,6.4,1.85,0
Mike Nichols,117,143,0,210,Comedy|Drama,Maura Tierney,1409,65000000,1998,317,6.7,2.35,688
Paul W.S. Anderson,239,96,545,974,Action|Horror|Sci-Fi|Thriller,Milla Jovovich,17913,65000000,2012,1000,5.4,2.35,32000
Paul W.S. Anderson,230,111,545,805,Action|Sci-Fi|Thriller,Jason Statham,28643,45000000,2008,872,6.4,2.35,0
Renny Harlin,94,121,212,263,Action|Crime|Drama|Mystery|Thriller,Melina Kanakaredes,1531,65000000,1996,380,6.7,2.35,4000
Taylor Hackford,134,135,138,184,Action|Drama|Thriller,Pamela Reed,1013,65000000,2000,192,6.2,2.35,892
Jon Favreau,136,101,4000,539,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,Kristen Stewart,32232,65000000,2005,14000,6.1,1.85,0
David Fincher,315,151,21000,637,Drama,Brad Pitt,13209,63000000,1999,783,8.8,2.35,48000
McG,96,131,368,383,Drama|Sport,Matthew McConaughey,12088,65000000,2006,529,7.1,2.35,0
,14,60,,575,Crime|Drama|Mystery,Jason Flemyng,3537,,,773,8.1,,0
Michael Lehmann,60,100,36,554,Action|Adventure|Comedy,Bruce Willis,15944,70000000,1991,773,5.7,1.85,0
Nora Ephron,60,105,0,506,Comedy|Crime,Michael Rapaport,3580,65000000,2000,909,5.0,1.85,177
Stuart Beattie,308,92,72,568,Action|Fantasy|Sci-Fi|Thriller,Caitlin Stasey,3165,65000000,2014,593,5.1,2.35,15000
Roman Polanski,127,130,2000,25,Crime|Drama,Ian McNeice,450,50000000,2005,85,6.9,2.35,0
Rob Bowman,196,100,38,1000,Action|Crime|Fantasy|Thriller,Jennifer Garner,7048,43000000,2005,1000,4.8,2.35,0
Frank Miller,339,102,436,6000,Action|Crime|Thriller,Joseph Gordon-Levitt,49433,65000000,2014,13000,6.5,1.85,32000
Sydney Pollack,96,133,521,970,Drama|Mystery|Romance,Harrison Ford,16710,64000000,1999,1000,5.1,1.85,295
Baltasar Kormákur,361,121,175,221,Adventure|Biography|Drama|History|Sport|Thriller,Michael Kelly,2131,55000000,2015,580,7.1,2.35,40000
Tom Tykwer,226,147,670,16,Crime|Drama|Fantasy,Michael Smiley,253,50000000,2006,27,7.5,2.35,26000
Jay Roach,194,94,116,481,Action|Comedy|Crime,Verne Troyer,2725,63000000,2002,522,6.2,2.35,0
David Bowers,138,94,42,668,Action|Animation|Comedy|Family|Sci-Fi,Nicolas Cage,23365,65000000,2009,9000,6.3,2.35,0
Steven Spielberg,308,127,14000,191,Adventure|Sci-Fi|Thriller,Wayne Knight,2129,63000000,1993,610,8.1,1.85,19000
Lawrence Kasdan,40,212,759,812,Adventure|Biography|Crime|Drama|Western,Dennis Quaid,5708,63000000,1994,925,6.6,2.35,0
Phillip Noyce,42,141,176,672,Action|Crime|Drama|Thriller,Harrison Ford,14178,62000000,1994,913,6.9,2.35,0
Daniel Lee,68,103,10,7,Action|Adventure|Drama|History,Si Won Choi,58,65000000,2015,18,6.1,2.35,0
Keenen Ivory Wayans,78,98,322,723,Comedy|Crime,Chazz Palminteri,6334,64000000,2006,862,4.3,1.85,0
Jonathan Mostow,178,116,84,563,Action|War,Matthew McConaughey,14931,62000000,2000,919,6.6,2.35,0
Rob Reiner,75,114,0,452,Comedy|Drama|Romance,Shawna Waldron,2668,62000000,1995,517,6.8,2.35,0
Marco Schnabel,150,87,12,645,Comedy|Romance|Sport,Justin Timberlake,6658,62000000,2008,966,3.8,2.35,0
Demian Lichtenstein,113,125,11,867,Action|Comedy|Crime|Thriller,Jon Lovitz,14536,42000000,2001,904,5.9,2.35,0
Quentin Tarantino,596,187,16000,1000,Crime|Drama|Mystery|Thriller|Western,Craig Stark,49912,44000000,2015,1000,7.9,2.76,114000
Josh Gordon,191,93,8,970,Comedy|Sport,Will Ferrell,13232,61000000,2007,1000,6.3,1.85,0
Tim Hill,156,95,25,439,Adventure|Animation|Comedy|Family|Fantasy,Gary Cole,2558,63000000,2011,664,5.5,1.85,0
Zack Snyder,460,117,0,447,Action|Drama|Fantasy|War,Gerard Butler,32360,65000000,2006,13000,7.7,2.35,13000
Jay Roach,141,106,116,708,Comedy|Romance,Robert De Niro,24938,80000000,2004,713,6.3,1.85,0
David Frankel,180,115,64,664,Comedy|Drama|Family,Eric Dane,4811,60000000,2008,899,7.1,2.35,11000
Frank Darabont,186,189,0,693,Crime|Drama|Fantasy|Mystery,Tom Hanks,17716,60000000,1999,745,8.5,1.85,30000
Walt Becker,177,100,12,311,Action|Adventure|Comedy,Jill Hennessy,1412,,2007,330,5.9,2.35,0
Mark Dindal,161,81,10,397,Adventure|Animation|Comedy|Family|Sci-Fi,Catherine O'Hara,2252,150000000,2005,729,5.8,1.85,912
David Fincher,568,149,21000,625,Crime|Drama|Mystery|Thriller,Patrick Fugit,4348,61000000,2014,812,8.1,2.35,146000
Doug Liman,249,119,218,73,Action|Mystery|Thriller,Matt Damon,13249,60000000,2002,147,7.9,2.35,0
Martin Campbell,137,130,258,345,Action|Adventure|Thriller,Izabella Scorupco,1784,58000000,1995,387,7.2,2.35,0
Simon West,113,116,165,475,Drama|Mystery|Thriller,Daniel von Bargen,2321,95000000,1999,501,6.3,2.35,885
Peter Weir,213,103,608,576,Comedy|Drama|Sci-Fi,Natascha McElhone,3698,60000000,1998,617,8.1,1.85,18000
Brenda Chapman,120,99,59,145,Adventure|Animation|Biography|Drama|Family|Fantasy|Musical,Martin Short,1195,70000000,1998,263,7.0,1.85,0
Steve Carr,81,92,41,522,Comedy|Family,Anjelica Huston,4050,60000000,2003,955,5.5,1.85,886
Baltasar Kormákur,265,109,175,459,Action|Comedy|Crime|Drama|Thriller,Denzel Washington,20148,61000000,2013,497,6.7,2.35,22000
Lawrence Guterman,105,87,6,405,Action|Comedy|Family|Fantasy,Carol Ann Susi,4171,60000000,2001,664,5.2,1.85,0
F. Gary Gray,155,111,473,82,Action|Crime|Thriller,Jason Statham,35084,60000000,2003,9000,7.0,2.35,0
Marc Lawrence,118,101,30,268,Comedy|Romance,Dorian Missick,2636,60000000,2002,976,6.1,1.85,0
Eric Darnell,131,83,35,754,Adventure|Animation|Comedy|Family,Sylvester Stallone,25788,105000000,1998,11000,6.6,1.85,0
Peter Billingsley,166,113,0,721,Comedy,Jon Favreau,8172,60000000,2009,722,5.5,1.85,0
Tony Scott,60,107,12000,695,Action|Drama|Sport,Tom Cruise,14006,60000000,1990,3000,5.9,2.35,0
Adam Shankman,77,94,163,2000,Adventure|Comedy|Family,Taylor Lautner,20348,60000000,2005,3000,5.4,2.35,781
Wes Ball,249,132,47,240,Action|Sci-Fi|Thriller,Ki Hong Lee,2517,61000000,2015,960,6.4,2.35,24000
Ryan Murphy,213,140,708,745,Drama|Romance,James Franco,20440,60000000,2010,8000,5.7,1.85,26000
Brett Ratner,121,125,420,627,Comedy|Drama|Fantasy|Romance,Nicolas Cage,16646,60000000,2000,3000,6.7,2.35,0
Robert Schwentke,315,111,124,357,Action|Comedy|Crime|Thriller,Bruce Willis,24928,58000000,2010,11000,7.1,2.35,32000
Oliver Stone,171,156,0,1000,Drama|Sport,Al Pacino,20761,55000000,1999,2000,6.8,2.35,0
Robert Redford,96,170,0,380,Drama|Romance|Western,Scarlett Johansson,20683,60000000,1998,1000,6.5,1.85,0
Michael Mann,299,120,0,680,Crime|Drama|Thriller,Tom Cruise,13581,65000000,2004,851,7.6,2.35,0
Chuck Russell,167,100,55,416,Action|Adventure|Fantasy|Thriller,Dwayne Johnson,14611,60000000,2002,1000,5.5,2.35,0
Jay Russell,125,115,13,579,Action|Drama|Thriller,Billy Burke,4496,55000000,2004,1000,6.5,1.85,0
Christopher McQuarrie,387,130,188,1000,Action|Crime|Mystery|Thriller,Tom Cruise,16385,60000000,2012,3000,7.0,2.35,38000
Renny Harlin,199,105,212,811,Action|Sci-Fi|Thriller,LL Cool J,3697,60000000,1999,975,5.8,2.35,0
Kenny Ortega,136,111,197,6,Documentary|Music,Misha Gabriel Hamilton,679,60000000,2009,208,7.3,1.78,0
Steven Soderbergh,436,106,0,175,Drama|Thriller,Matt Damon,13634,60000000,2011,240,6.6,1.85,42000
David McNally,73,89,18,226,Action|Adventure|Comedy|Crime,Estella Warren,1233,60000000,2003,257,4.4,2.35,858
Henry Selick,310,100,253,57,Animation|Family|Fantasy,Jennifer Saunders,647,60000000,2009,229,7.7,1.85,10000
M. Night Shyamalan,323,91,0,751,Sci-Fi|Thriller,Zooey Deschanel,13654,48000000,2008,946,5.0,1.85,6000
Tony Scott,171,146,12000,451,Action|Crime|Drama|Thriller,Denzel Washington,20454,70000000,2004,992,7.7,2.35,14000
Brian Robbins,76,98,48,722,Comedy|Family|Fantasy,Robert Downey Jr.,24664,50000000,2006,936,4.4,2.35,747
Todd Phillips,173,101,480,767,Comedy|Crime,Snoop Dogg,3943,60000000,2004,869,6.1,2.35,0
Brian Levant,81,94,32,626,Comedy|Family,Jim Belushi,4530,60000000,1996,628,5.4,1.85,0
Guillermo del Toro,242,132,0,160,Action|Fantasy|Horror|Sci-Fi,James Babson,1112,66000000,2004,334,6.8,1.85,0
Steven Zaillian,110,115,234,521,Drama,Robert Duvall,4713,60000000,1998,552,6.5,2.35,1000
Chris Butler,328,92,28,586,Adventure|Animation|Comedy|Family|Fantasy,Anna Kendrick,13597,60000000,2012,884,7.0,2.35,12000
Michael Caton-Jones,83,124,105,460,Action|Adventure|Crime|Thriller,J.K. Simmons,38227,60000000,1997,13000,6.3,2.35,0
John Woo,196,119,610,716,Action|Mystery|Sci-Fi|Thriller,Ivana Milicevic,3637,60000000,2003,780,6.3,2.35,0
Jon Avnet,34,124,50,672,Drama|Romance,Joe Mantegna,3653,60000000,1996,944,6.1,1.85,829
Sam Fell,118,93,18,903,Adventure|Animation|Comedy|Family|Fantasy,Emma Watson,13403,60000000,2008,2000,6.1,2.35,0
,8,22,,402,Comedy|Romance,Bianca Kajlich,2064,,,607,7.3,1.78,0
Kevin Donovan,81,98,11,107,Action|Comedy|Sci-Fi,Romany Malco,2018,60000000,2002,680,5.3,1.85,797
Geoff Murphy,47,92,14,488,Action|Thriller,Peter Greene,2318,60000000,1995,520,5.4,1.85,1000
Kenneth Branagh,313,105,0,288,Action|Drama|Thriller,Colm Feore,1411,60000000,2014,394,6.2,2.35,17000
David O. Russell,315,124,737,14000,Biography|Comedy|Drama,Jennifer Lawrence,75793,60000000,2015,22000,6.6,1.85,24000
Babak Najafi,225,99,24,864,Action|Crime|Drama|Thriller,Gerard Butler,20276,60000000,2016,992,5.9,2.35,28000
Jean-Pierre Jeunet,223,116,0,672,Action|Horror|Sci-Fi,Gary Dourdan,3090,75000000,1997,720,6.3,2.35,0
Antoine Fuqua,198,124,845,295,Action|Crime|Drama|Mystery|Thriller,Tate Donovan,1640,61000000,2007,467,7.2,2.35,0
Graham Annable,219,96,7,642,Adventure|Animation|Comedy|Family|Fantasy,Isaac Hempstead Wright,3151,60000000,2014,668,6.8,1.85,11000
Griffin Dunne,92,104,165,944,Comedy|Drama|Fantasy|Romance,Goran Visnjic,4294,48000000,1998,967,6.1,2.35,0
Phil Lord,435,100,97,2000,Action|Adventure|Animation|Comedy|Family|Fantasy,Morgan Freeman,22128,60000000,2014,8000,7.8,2.35,64000
John Pasquin,111,115,11,642,Action|Comedy|Crime,Eileen Brennan,4305,45000000,2005,759,5.0,2.35,621
Rob Bowman,138,101,38,11000,Action|Adventure|Fantasy|Sci-Fi|Thriller,Christian Bale,53024,60000000,2002,18000,6.2,2.35,0
Ruben Fleischer,415,113,181,300,Action|Crime|Drama|Thriller,Ryan Gosling,34738,60000000,2013,301,6.7,2.35,40000
Harold Ramis,170,100,11000,485,Adventure|Comedy,Olivia Wilde,12258,60000000,2009,1000,4.9,1.85,0
Clint Eastwood,306,134,16000,204,Biography|Drama|History|Sport,Matt Damon,24458,60000000,2009,11000,7.4,2.35,23000
Kevin Macdonald,252,127,162,379,Crime|Drama|Mystery|Thriller,Robin Wright,19776,,2009,748,7.1,2.35,0
Tony Gilroy,211,125,209,896,Comedy|Crime|Romance|Thriller,Julia Roberts,10623,60000000,2009,1000,6.2,2.35,0
Donald Petrie,49,94,80,230,Comedy|Family|Sci-Fi,Steven Anthony Lawrence,2151,65000000,1999,417,4.9,1.85,448
Clark Johnson,161,107,69,206,Action|Crime|Thriller,Blair Brown,1352,60000000,2006,219,6.1,2.35,690
Jorge Blanco,156,91,2,480,Adventure|Animation|Comedy|Family|Sci-Fi,Dwayne Johnson,22668,70000000,2009,10000,6.1,2.35,0
Stuart Baird,172,116,53,906,Action|Adventure|Sci-Fi|Thriller,Tom Hardy,31224,60000000,2002,1000,6.4,2.35,0
Joel Coen,161,100,0,210,Comedy|Crime|Romance,Cedric the Entertainer,1395,60000000,2003,399,6.3,1.85,0
Robert Lorenz,239,111,39,461,Drama|Sport,Clint Eastwood,17871,,2012,897,6.8,2.35,11000
Martin Campbell,258,117,258,896,Crime|Drama|Mystery|Thriller,Bojana Novakovic,7053,80000000,2010,1000,6.6,2.35,0
Peter Hyams,95,110,0,308,Horror|Mystery|Sci-Fi|Thriller,John Kapelos,1976,40000000,1997,344,5.7,2.35,956
Harold Ramis,105,96,11000,236,Comedy|Crime,Robert De Niro,22889,60000000,2002,394,5.9,1.85,846
Jon Avnet,198,101,50,1000,Action|Crime|Drama|Mystery|Thriller,Robert De Niro,38809,60000000,2008,14000,6.0,2.35,0
Harold Becker,79,111,17,652,Action|Crime|Drama|Thriller,Bruce Willis,16536,60000000,1998,968,6.1,2.35,0
Joe Wright,210,117,456,569,Biography|Drama|Music,Robert Downey Jr.,23745,60000000,2009,939,6.7,2.35,0
Robert Redford,125,126,0,9000,Drama|Fantasy|Sport,Matt Damon,34774,60000000,2000,10000,6.7,1.85,0
Cameron Crowe,149,152,488,947,Adventure|Comedy|Drama|Music,Philip Seymour Hoffman,36897,60000000,2000,11000,7.9,1.85,15000
Tim Hill,77,86,25,265,Animation|Comedy|Family|Fantasy,Bill Murray,14918,,2006,1000,5.0,1.85,470
Lee Tamahori,77,101,93,218,Action|Adventure|Crime|Thriller,Sunny Mabrey,993,87000000,2005,233,4.3,2.35,0
Scott Stewart,225,87,124,77,Action|Fantasy|Horror|Sci-Fi|Thriller,Josh Wingate,1417,60000000,2011,441,5.7,2.35,20000
Patrick Gilmore,98,85,0,82,Adventure|Animation|Comedy|Drama|Family|Fantasy|Romance,Brad Pitt,11301,60000000,2003,102,6.7,1.66,880
Paul W.S. Anderson,172,130,545,552,Horror|Sci-Fi|Thriller,Sean Pertwee,2525,60000000,1997,585,6.7,2.35,10000
Joss Whedon,703,173,0,19000,Action|Adventure|Sci-Fi,Chris Hemsworth,87697,220000000,2012,21000,8.1,1.85,123000
Tom Shadyac,117,104,293,256,Drama|Fantasy|Mystery|Romance|Thriller,Joe Morton,2109,60000000,2002,265,6.1,2.35,0
Brian De Palma,240,121,0,854,Crime|Drama|Mystery|Thriller,Scarlett Johansson,22833,50000000,2006,972,5.6,2.35,0
Tony Bill,123,140,23,579,Action|Adventure|Drama|History|Romance|War,James Franco,12634,60000000,2006,779,6.6,2.35,2000
Rod Lurie,110,131,37,507,Action|Drama|Thriller,Clifton Collins Jr.,3012,60000000,2001,848,6.9,2.35,0
Walter Hill,100,91,394,68,Horror|Sci-Fi|Thriller,Robert Forster,1262,65000000,2000,290,4.8,2.35,589
Akiva Goldsman,189,118,167,778,Drama|Fantasy|Mystery|Romance,Matt Bomer,22447,60000000,2014,882,6.2,2.35,17000
Harald Zwart,212,130,91,1000,Fantasy|Horror|Mystery|Romance,Aidan Turner,10247,60000000,2013,2000,6.0,2.35,44000
Brian Robbins,127,90,48,196,Adventure|Comedy|Family|Romance|Sci-Fi,Marc Blucas,1865,60000000,2008,400,4.9,1.85,791
Walter Salles,196,103,179,87,Drama|Horror|Thriller,Dougray Scott,1467,30000000,2005,329,5.6,2.35,0
Ron Howard,115,122,2000,1000,Comedy|Drama,Matthew McConaughey,15275,55000000,1999,1000,6.1,1.85,641
Iain Softley,161,106,34,466,Adventure|Family|Fantasy,Brendan Fraser,5329,60000000,2008,1000,6.1,2.35,0
Frank Miller,223,103,436,437,Action|Crime|Fantasy|Thriller,Scarlett Johansson,20881,60000000,2008,961,4.8,2.35,2000
David Koepp,181,107,192,280,Action|Comedy|Mystery|Romance,Johnny Depp,42683,60000000,2015,2000,5.5,2.35,12000
Uwe Boll,140,156,892,102,Action|Adventure|Fantasy|Thriller,Jason Statham,26564,60000000,2007,368,3.8,2.35,0
Martin Campbell,54,127,258,617,Adventure|Drama|Romance|War,Angelina Jolie Pitt,12947,35000000,2003,708,6.5,2.35,0
Pou-Soi Cheang,14,119,3,22,Action|Adventure|Fantasy,Li Gong,1026,68005000,2016,107,6.0,2.35,426
John Dahl,81,132,131,242,Action|Drama|War,James Franco,12133,80000000,2005,298,6.7,2.35,0
Tim Miller,579,108,84,361,Action|Adventure|Comedy|Romance|Sci-Fi,Ryan Reynolds,18239,58000000,2016,805,8.1,2.35,117000
Stephen Herek,56,114,65,440,Comedy|Drama,Kelly Preston,2367,60000000,1998,730,4.9,2.35,296
Clint Eastwood,490,133,16000,318,Action|Biography|Drama|History|Thriller|War,Bradley Cooper,16277,58800000,2014,962,7.3,2.35,112000
Rob Letterman,218,103,11,543,Adventure|Comedy|Family|Fantasy|Horror,Odeya Rush,5497,58000000,2015,1000,6.4,2.35,35000
,20,22,,271,Comedy|Family|Fantasy,Nate Richert,2433,3000000,,558,6.6,1.33,990
Mark Waters,142,95,70,512,Comedy|Fantasy|Romance,Jon Heder,2876,58000000,2005,834,6.7,1.85,0
Brian Levant,57,90,32,809,Comedy|Family|Romance|Sci-Fi,Taylor Negron,6299,60000000,2000,891,3.6,1.85,500
Peter MacDonald,84,87,10,349,Action|Adventure|Thriller|War,Sylvester Stallone,14574,63000000,1988,1000,5.7,2.35,2000
George Clooney,186,114,0,110,Comedy|Drama|Romance|Sport,Robert Baker,589,58000000,2008,117,6.0,1.85,472
Frank Coraci,53,119,153,11000,Comedy|Western,Taylor Lautner,36167,,2015,11000,4.9,2.35,0
Marc Lawrence,133,103,30,727,Comedy|Drama|Romance,Michael Kelly,3150,58000000,2009,935,4.7,2.35,0
Shawn Levy,246,125,189,839,Comedy,Josh Gad,5081,58000000,2013,847,6.3,2.35,22000
Paul W.S. Anderson,253,97,545,529,Action|Adventure|Horror|Sci-Fi,Milla Jovovich,16098,60000000,2010,1000,5.9,2.35,19000
Anthony Hemingway,144,125,143,519,Action|Adventure|Drama|History|War,David Oyelowo,4416,58000000,2012,664,5.9,2.35,0
,46,30,,479,Comedy|Romance,Chris Noth,2558,,,722,7.0,1.33,0
Taylor Hackford,117,136,138,9000,Drama|Mystery|Thriller,Keanu Reeves,45271,57000000,1997,14000,7.5,2.35,11000
Sean Anders,157,116,51,622,Comedy,Adam Sandler,16484,70000000,2012,3000,5.6,2.35,12000
Rob Cohen,60,103,357,40,Action|Adventure|Fantasy,Dennis Quaid,2710,57000000,1996,663,6.4,2.35,0
Brett Ratner,117,97,420,455,Action|Comedy|Crime|Drama,Salma Hayek,9814,58000000,2004,3000,6.3,2.35,782
Mark Neveldine,287,96,83,1000,Action|Fantasy|Thriller,Nicolas Cage,16121,57000000,2011,1000,4.3,2.35,18000
John Madden,96,131,108,58,Drama|Music|Romance|War,Christian Bale,23325,57000000,2001,243,5.9,2.35,0
,26,22,,676,Comedy|Romance,Barry Corbin,4115,,,701,6.7,16.0,0
Adam Shankman,125,95,163,650,Action|Comedy|Drama|Family|Thriller,Vin Diesel,16884,56000000,2005,799,5.5,2.35,0
Kevin Bray,117,86,10,348,Action|Crime,Dwayne Johnson,14146,56000000,2004,795,6.2,2.35,0
Robert Zemeckis,149,142,0,194,Comedy|Drama,Tom Hanks,15700,55000000,1994,294,8.8,2.35,59000
Tim Hill,131,92,25,639,Animation|Comedy|Family|Fantasy|Music,Jesse McCartney,2847,60000000,2007,718,5.2,1.85,0
Jay Roach,150,108,116,708,Comedy,Robert De Niro,24286,55000000,2000,713,7.0,1.85,0
Mike Gabriel,92,84,12,752,Adventure|Animation|Drama|Family|History|Musical|Romance,Christian Bale,26754,55000000,1995,2000,6.6,1.78,0
Richard Donner,169,188,503,467,Action|Adventure|Drama|Romance|Sci-Fi,Marlon Brando,12940,55000000,1978,593,7.3,2.35,0
Tom Shadyac,57,95,293,744,Comedy|Romance|Sci-Fi,Jada Pinkett Smith,3155,54000000,1996,773,5.6,1.85,960
Andy Tennant,171,118,72,681,Comedy|Romance,Will Smith,13426,70000000,2005,975,6.6,2.35,0
Sam Weisman,53,92,39,458,Action|Adventure|Comedy|Family|Romance,Brendan Fraser,4518,55000000,1997,562,5.4,1.85,5000
Jesse Dylan,153,74,58,729,Comedy|Romance,Alyson Hannigan,5713,55000000,2003,864,6.3,2.35,0
Paul Greengrass,491,134,521,186,Biography|Drama|Thriller,Tom Hanks,16281,55000000,2013,535,7.9,2.35,65000
Shawn Levy,247,101,189,7000,Comedy|Crime|Romance|Thriller,Mila Kunis,39822,55000000,2010,11000,6.3,2.35,0
Brad Silberling,26,100,52,394,Comedy|Family|Fantasy,Eric Idle,2638,50000000,1995,419,6.0,1.85,0
Antoine Fuqua,292,132,845,683,Action|Crime|Thriller,Denzel Washington,37605,55000000,2014,17000,7.2,2.35,56000
Wayne Wang,114,105,61,708,Comedy|Drama|Romance,Bob Hoskins,7184,55000000,2002,827,5.1,2.35,0
Tony Scott,82,123,12000,665,Action|Drama|Thriller|War,Denzel Washington,30132,53000000,1995,10000,7.3,2.35,0
Gabriele Muccino,201,117,125,168,Biography|Drama,Will Smith,11036,55000000,2006,617,8.0,2.35,32000
Robert Schwentke,231,98,124,354,Drama|Mystery|Thriller,Erika Christensen,2287,55000000,2005,507,6.2,2.35,0
Barry Levinson,55,128,272,383,Drama|Thriller,Demi Moore,3888,55000000,1994,812,6.0,2.35,0
Brad Silberling,110,114,52,539,Drama|Fantasy|Romance,Nicolas Cage,13905,55000000,1998,702,6.7,2.35,0
Quentin Tarantino,354,111,16000,640,Action,David Carradine,3983,30000000,2003,890,8.1,2.35,13000
Frank Oz,140,85,0,490,Comedy,Robert Downey Jr.,22458,55000000,1999,860,6.4,1.37,0
,77,44,,72,Action|Adventure|Drama|Sci-Fi,Christopher Judge,1359,1400000,,440,8.4,1.33,0
Quentin Tarantino,304,137,16000,348,Action|Crime|Drama|Thriller,Vivica A. Fox,1959,30000000,2004,387,8.0,2.35,0
Andrey Konchalovskiy,45,97,96,403,Action|Comedy|Crime|Thriller,Sylvester Stallone,14432,55000000,1989,549,6.3,2.35,0
Robert Zemeckis,49,104,0,812,Comedy|Fantasy|Horror,Bruce Willis,25599,55000000,1992,11000,6.4,1.85,8000
Tom Dey,146,110,9,95,Action|Adventure|Comedy|Western,Xander Berkeley,939,55000000,2000,110,6.6,2.35,0
