director_name,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,genres,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,actor_2_facebook_likes
Steven Soderbergh,0,690,13000,33313582,Comedy|Crime|Drama|Thriller,52888,16031,Thomas F. Wilson,1,http://www.imdb.com/title/tt1130080/?ref_=fn_tt_tt_1,175,English,USA,R,21000000,734
Richard Attenborough,0,266,12000,25842000,Biography|Drama|Romance,13455,13619,Julian Fellowes,0,http://www.imdb.com/title/tt0108101/?ref_=fn_tt_tt_1,87,English,UK,PG,22000000,1000
Mike Bigelow,2,137,591,22264487,Comedy,41239,1729,Charles Keating,0,http://www.imdb.com/title/tt0367652/?ref_=fn_tt_tt_1,166,English,USA,R,22000000,489
Ken Scott,31,110,390,30659817,Comedy|Drama,59805,1006,Matthew Daddario,10,http://www.imdb.com/title/tt2387559/?ref_=fn_tt_tt_1,95,English,USA,PG-13,26000000,311
Paul McGuigan,118,287,11000,5773519,Drama|Horror|Sci-Fi|Thriller,28621,12876,Daniel Mays,2,http://www.imdb.com/title/tt1976009/?ref_=fn_tt_tt_1,91,English,USA,PG-13,40000000,1000
Susanna White,24,100,150,3108216,Thriller,2587,540,Grigoriy Dobrygin,2,http://www.imdb.com/title/tt1995390/?ref_=fn_tt_tt_1,21,English,UK,R,,104
Dennis Dugan,221,110,240,19351569,Comedy|Crime|Romance,33287,664,Kyle Gass,1,http://www.imdb.com/title/tt0239948/?ref_=fn_tt_tt_1,201,English,USA,PG-13,22000000,226
David Bowers,42,517,975,49002815,Comedy|Family,15665,3153,Karan Brar,2,http://www.imdb.com/title/tt2023453/?ref_=fn_tt_tt_1,35,English,USA,PG,22000000,569
Spike Lee,0,854,978,19283782,Crime|Drama|Romance|Thriller,31227,5386,Mike Starr,0,http://www.imdb.com/title/tt0162677/?ref_=fn_tt_tt_1,354,English,USA,R,22000000,911
Kevin Smith,0,898,8000,30059386,Comedy,128593,11632,Jason Mewes,5,http://www.imdb.com/title/tt0261392/?ref_=fn_tt_tt_1,867,English,USA,R,22000000,1000
Michael Bay,0,3000,19000,35799026,Action|Adventure|Romance|Sci-Fi|Thriller,263336,34838,Djimon Hounsou,1,http://www.imdb.com/title/tt0399201/?ref_=fn_tt_tt_1,899,English,USA,PG-13,126000000,12000
Daniel Sackheim,12,595,962,17951431,Crime|Drama|Mystery|Thriller,25462,4239,Trevor Morgan,1,http://www.imdb.com/title/tt0221218/?ref_=fn_tt_tt_1,200,English,USA,PG-13,30000000,844
Ethan Coen,1000,1000,19000,29997095,Comedy|Mystery,60926,38494,Alden Ehrenreich,5,http://www.imdb.com/title/tt0475290/?ref_=fn_tt_tt_1,302,English,UK,PG-13,22000000,17000
Harry Elfont,4,83,3000,14252830,Comedy|Music,18900,3769,Aries Spears,0,http://www.imdb.com/title/tt0236348/?ref_=fn_tt_tt_1,242,English,Canada,PG-13,22000000,486
Gary Fleder,39,798,26000,19783777,Action|Crime|Drama|Thriller,82804,39989,Frank Grillo,1,http://www.imdb.com/title/tt2312718/?ref_=fn_tt_tt_1,154,English,USA,R,22000000,11000
Uli Edel,34,368,554,13555988,Adventure|Comedy|Family|Fantasy,7242,2216,Alice Krige,1,http://www.imdb.com/title/tt0192255/?ref_=fn_tt_tt_1,38,English,Germany,PG,22000000,439
David O. Russell,737,678,6000,12784713,Comedy,56813,8094,Isabelle Huppert,11,http://www.imdb.com/title/tt0356721/?ref_=fn_tt_tt_1,381,English,USA,R,22000000,718
Fred Dekker,87,691,1000,10696210,Action|Crime|Sci-Fi|Thriller,35018,3148,Mako,0,http://www.imdb.com/title/tt0107978/?ref_=fn_tt_tt_1,180,English,USA,PG-13,23500000,826
Brian Trenchard-Smith,53,576,2000,5974653,Action|Adventure|Fantasy|Sci-Fi|Thriller,2253,4221,Franco Nero,0,http://www.imdb.com/title/tt0263728/?ref_=fn_tt_tt_1,111,English,USA,PG-13,22000000,595
Blake Edwards,688,42,638,5000000,Comedy|Drama|Musical|Romance|War,1547,788,Jeremy Kemp,2,http://www.imdb.com/title/tt0065611/?ref_=fn_tt_tt_1,50,English,USA,G,25000000,50
Hugh Wilson,37,795,3000,9694105,Comedy|Family|Romance,8176,5568,Eric Idle,0,http://www.imdb.com/title/tt0160236/?ref_=fn_tt_tt_1,77,English,USA,PG,22000000,968
Camille Delamarre,11,150,805,16027866,Action|Crime|Thriller,26767,1411,Radivoje Bukvic,0,http://www.imdb.com/title/tt2938956/?ref_=fn_tt_tt_1,121,English,France,PG-13,25000000,173
Laurence Dunmore,2,567,40000,4829497,Drama|Romance,31433,42484,Richard Coyle,1,http://www.imdb.com/title/tt0375920/?ref_=fn_tt_tt_1,260,English,UK,R,,1000
Paul Verhoeven,719,104,2000,4398392,Drama|Thriller|War,59507,2590,Christian Berkel,1,http://www.imdb.com/title/tt0389557/?ref_=fn_tt_tt_1,232,Dutch,Netherlands,R,21000000,380
Christian Carion,13,140,203,1050445,Drama|History|Music|Romance|War,21394,773,Ian Richardson,0,http://www.imdb.com/title/tt0424205/?ref_=fn_tt_tt_1,147,French,France,PG-13,22000000,172
David Palmer,21,552,14000,13746550,Action|Comedy|Romance,29322,15922,Beau Bridges,5,http://www.imdb.com/title/tt2097307/?ref_=fn_tt_tt_1,104,English,USA,R,2000000,618
Callie Khouri,144,290,939,20668843,Comedy|Crime|Thriller,16831,2453,Roger Cross,3,http://www.imdb.com/title/tt0951216/?ref_=fn_tt_tt_1,54,English,USA,PG-13,22000000,875
Rowan Joffe,17,231,14000,2963012,Drama|Mystery|Thriller,48873,14617,Anne-Marie Duff,1,http://www.imdb.com/title/tt1726592/?ref_=fn_tt_tt_1,105,English,UK,R,22000000,257
William Friedkin,607,35,813,,Adventure|Drama|Thriller,9513,1011,Amidou,0,http://www.imdb.com/title/tt0076740/?ref_=fn_tt_tt_1,116,English,USA,PG,12000000,85
John Curran,43,827,22000,1796024,Drama|Thriller,34985,37766,Frances Conroy,1,http://www.imdb.com/title/tt1423995/?ref_=fn_tt_tt_1,135,English,USA,R,22000000,14000
Laurent Tirard,2,80,809,634277,Comedy|History,5166,1651,Fabrice Luchini,1,http://www.imdb.com/title/tt0796335/?ref_=fn_tt_tt_1,27,French,France,PG-13,16000000,521
Scott Cooper,108,120,23000,11326836,Crime|Drama|Thriller,83171,24134,Dendrie Taylor,0,http://www.imdb.com/title/tt1206543/?ref_=fn_tt_tt_1,231,English,USA,R,22000000,820
Tony Gilroy,209,521,1000,49024969,Crime|Drama|Mystery|Thriller,133367,3284,Sydney Pollack,0,http://www.imdb.com/title/tt0465538/?ref_=fn_tt_tt_1,363,English,USA,R,25000000,896
Peter Segal,88,812,957,22294341,Adventure|Comedy,12278,4629,Sela Ward,3,http://www.imdb.com/title/tt0117119/?ref_=fn_tt_tt_1,71,English,USA,PG-13,21500000,821
Mark Pellington,89,442,12000,24362501,Crime|Drama|Thriller,69980,13576,Hope Davis,1,http://www.imdb.com/title/tt0137363/?ref_=fn_tt_tt_1,591,English,USA,R,21500000,541
Juan José Campanella,195,0,20,,Adventure|Animation|Family|Sport,6920,30,Gabriel Almirón,4,http://www.imdb.com/title/tt1634003/?ref_=fn_tt_tt_1,22,Spanish,Spain,PG,22000000,10
Woody Allen,11000,159,385,16684352,Comedy|Romance,67893,1205,Alessandra Mastronardi,0,http://www.imdb.com/title/tt1859650/?ref_=fn_tt_tt_1,163,English,USA,R,17000000,223
Clint Eastwood,16000,216,16000,46700000,Action|Adventure|Thriller,19832,16805,Kenneth Colley,1,http://www.imdb.com/title/tt0083943/?ref_=fn_tt_tt_1,98,English,USA,PG,21000000,281
Trey Parker,406,406,893,52008288,Animation|Comedy|Fantasy|Musical,162037,3003,Trey Parker,1,http://www.imdb.com/title/tt0158983/?ref_=fn_tt_tt_1,928,English,USA,R,21000000,795
Frank Oz,0,548,22000,8579684,Comedy,89547,24324,Kris Marshall,0,http://www.imdb.com/title/tt0795368/?ref_=fn_tt_tt_1,199,English,USA,R,9000000,557
Stuart Gillard,8,199,533,42660000,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,25086,1254,Matt Hill,0,http://www.imdb.com/title/tt0108308/?ref_=fn_tt_tt_1,87,English,USA,PG,17000000,219
Brian Robbins,48,39,18000,40219708,Drama|Sport,22649,18630,DeWayne Warren,3,http://www.imdb.com/title/tt0180734/?ref_=fn_tt_tt_1,131,English,USA,PG-13,21000000,558
David O. Russell,737,14000,34000,132088910,Comedy|Drama|Romance,533607,72115,Bradley Cooper,0,http://www.imdb.com/title/tt1045658/?ref_=fn_tt_tt_1,692,English,USA,R,21000000,22000
Richard LaGravenese,98,579,2000,36581633,Biography|Crime|Drama,52533,3994,Imelda Staunton,1,http://www.imdb.com/title/tt0463998/?ref_=fn_tt_tt_1,235,English,Germany,PG-13,21000000,826
Tyler Perry,0,637,1000,37721949,Drama,6067,6035,Kimberly Elise,0,http://www.imdb.com/title/tt1405500/?ref_=fn_tt_tt_1,73,English,USA,R,,912
Louis Leterrier,255,447,26000,25296447,Action|Crime|Thriller,237248,27572,Matt Schulze,0,http://www.imdb.com/title/tt0293662/?ref_=fn_tt_tt_1,460,English,France,PG-13,21000000,1000
Jeff Wadlow,65,149,3000,24848292,Action|Drama|Sport,80556,4089,Leslie Hope,1,http://www.imdb.com/title/tt1023111/?ref_=fn_tt_tt_1,184,English,USA,PG-13,20000000,427
Katt Shea,52,484,711,17757087,Horror|Sci-Fi|Thriller,13065,3162,Eddie Kaye Thomas,1,http://www.imdb.com/title/tt0144814/?ref_=fn_tt_tt_1,253,English,USA,R,21000000,490
,,,98,,Game-Show|Reality-TV|Romance,4398,98,,0,http://www.imdb.com/title/tt0313038/?ref_=fn_tt_tt_1,33,English,USA,,3000000,
Sam Mendes,0,374,925,9430988,Comedy|Drama|Romance,45992,1997,Carmen Ejogo,2,http://www.imdb.com/title/tt1176740/?ref_=fn_tt_tt_1,115,English,USA,R,17000000,472
Joshua Michael Stern,0,886,1000,16284360,Comedy|Drama,15079,6212,Nathan Lane,1,http://www.imdb.com/title/tt1027862/?ref_=fn_tt_tt_1,79,English,USA,PG-13,21000000,901
Brad Silberling,52,347,15000,6830957,Drama|Romance,11983,16692,Bob Clendenin,3,http://www.imdb.com/title/tt0179098/?ref_=fn_tt_tt_1,147,English,USA,PG-13,21000000,1000
Tomas Alfredson,140,10000,19000,24104113,Drama|Mystery|Thriller,149066,46241,Gary Oldman,1,http://www.imdb.com/title/tt1340800/?ref_=fn_tt_tt_1,517,English,France,R,20000000,14000
John Duigan,18,186,670,15593,Comedy|Drama|Romance,2295,1562,Sarah Wynter,1,http://www.imdb.com/title/tt0143746/?ref_=fn_tt_tt_1,40,English,USA,PG-13,21000000,419
Jodie Foster,0,220,34000,958319,Drama,39764,34705,Riley Thomas Stewart,0,http://www.imdb.com/title/tt1321860/?ref_=fn_tt_tt_1,148,English,USA,PG-13,21000000,242
Colin Higgins,19,842,1000,69700000,Comedy|Musical,7748,3688,Dom DeLuise,2,http://www.imdb.com/title/tt0083642/?ref_=fn_tt_tt_1,48,English,USA,R,35000000,883
David Cronenberg,0,716,1000,2840417,Horror|Sci-Fi|Thriller,77493,2990,Callum Rennie,0,http://www.imdb.com/title/tt0120907/?ref_=fn_tt_tt_1,527,English,Canada,R,31000000,900
Steven Spielberg,14000,488,11000,242374454,Action|Adventure,661017,12906,William Hootkins,1,http://www.imdb.com/title/tt0082971/?ref_=fn_tt_tt_1,771,English,USA,PG,18000000,783
Chris Columbus,0,1000,3000,173585516,Adventure|Comedy|Family,200077,7860,Devin Ratray,2,http://www.imdb.com/title/tt0104431/?ref_=fn_tt_tt_1,189,English,USA,PG,18000000,1000
Steven Spielberg,14000,252,559,128300000,Drama|Sci-Fi,139288,1591,Melinda Dillon,0,http://www.imdb.com/title/tt0075860/?ref_=fn_tt_tt_1,339,English,USA,PG,19400870,481
Jim Sonzero,2,807,16000,20259297,Drama|Horror|Sci-Fi|Thriller,24969,19952,Rick Gonzalez,0,http://www.imdb.com/title/tt0454919/?ref_=fn_tt_tt_1,258,English,USA,PG-13,20000000,1000
Tony Scott,12000,605,936,153665036,Action|Comedy|Crime|Thriller,84824,4121,Ronny Cox,1,http://www.imdb.com/title/tt0092644/?ref_=fn_tt_tt_1,95,English,USA,R,28000000,901
Adam Shankman,163,338,1000,132541238,Comedy,30058,2505,Steve Harris,2,http://www.imdb.com/title/tt0305669/?ref_=fn_tt_tt_1,236,English,USA,PG-13,33000000,409
Jonathan Demme,438,173,12000,130727000,Crime|Drama|Horror|Thriller,887467,13184,Anthony Heald,0,http://www.imdb.com/title/tt0102926/?ref_=fn_tt_tt_1,916,English,USA,R,19000000,826
Penelope Spheeris,122,617,1000,121697350,Comedy|Music,114610,4263,Kurt Fuller,2,http://www.imdb.com/title/tt0105793/?ref_=fn_tt_tt_1,176,English,USA,PG-13,20000000,619
Jeff Tremaine,79,218,608,117224271,Action|Comedy|Documentary,47794,1787,Chris Pontius,1,http://www.imdb.com/title/tt1116184/?ref_=fn_tt_tt_1,81,English,USA,R,20000000,362
Jeannot Szwarc,82,85,813,102922376,Adventure|Horror|Thriller,51314,1520,Joseph Mascolo,0,http://www.imdb.com/title/tt0077766/?ref_=fn_tt_tt_1,265,English,USA,PG,20000000,366
Raja Gosnell,67,597,2000,94497271,Adventure|Comedy|Drama|Family|Romance,17829,4729,Ali Hillis,1,http://www.imdb.com/title/tt1014775/?ref_=fn_tt_tt_1,99,English,USA,PG,20000000,641
James Wan,0,697,6000,137387272,Horror|Mystery|Thriller,300110,9049,Hayley McFarland,0,http://www.imdb.com/title/tt1457767/?ref_=fn_tt_tt_1,807,English,USA,R,20000000,960
Brian Levant,32,563,826,82301521,Adventure|Comedy|Family|Romance,22679,3558,Jay Mohr,2,http://www.imdb.com/title/tt0368578/?ref_=fn_tt_tt_1,149,English,USA,PG,32000000,642
Ben Falcone,265,265,989,84518155,Comedy,35965,2654,Ben Falcone,0,http://www.imdb.com/title/tt2103254/?ref_=fn_tt_tt_1,144,English,USA,R,20000000,830
D.J. Caruso,154,501,884,80050171,Drama|Mystery|Thriller,186984,2287,Jose Pablo Cantillo,0,http://www.imdb.com/title/tt0486822/?ref_=fn_tt_tt_1,491,English,USA,PG-13,20000000,617
Richard Linklater,0,487,2000,81257845,Comedy|Music,210680,4403,Mike White,1,http://www.imdb.com/title/tt0332379/?ref_=fn_tt_tt_1,479,English,USA,PG-13,35000000,931
Paul W.S. Anderson,545,545,1000,70360285,Action|Adventure|Fantasy|Sci-Fi|Thriller,81783,3816,Bridgette Wilson-Sampras,0,http://www.imdb.com/title/tt0113855/?ref_=fn_tt_tt_1,283,English,USA,PG-13,18000000,1000
Paul McGuigan,118,40,489,12831121,Drama|Mystery|Romance|Thriller,44979,679,Mark Camacho,0,http://www.imdb.com/title/tt0324554/?ref_=fn_tt_tt_1,298,English,USA,PG-13,30000000,93
Keenen Ivory Wayans,322,861,1000,69148997,Comedy|Crime,98794,6313,Brittany Daniel,4,http://www.imdb.com/title/tt0381707/?ref_=fn_tt_tt_1,251,English,USA,PG-13,37000000,960
Alexander Payne,729,552,8000,82624961,Comedy|Drama,205284,9578,Beau Bridges,0,http://www.imdb.com/title/tt1033575/?ref_=fn_tt_tt_1,439,English,USA,R,20000000,727
Andrew Davis,99,165,596,67325559,Adventure|Comedy|Drama|Family|Mystery,58222,1293,Ski Carr,0,http://www.imdb.com/title/tt0311289/?ref_=fn_tt_tt_1,331,English,USA,PG,20000000,265
Julie Anne Robinson,30,318,742,62933793,Drama|Family|Music|Romance,62421,2341,Melissa Ordway,1,http://www.imdb.com/title/tt1294226/?ref_=fn_tt_tt_1,185,English,USA,PG,20000000,360
Steve McQueen,0,500,2000,56667870,Biography|Drama|History,439176,4251,Taran Killam,0,http://www.imdb.com/title/tt2024544/?ref_=fn_tt_tt_1,695,English,USA,R,20000000,660
Charles Stone III,30,284,962,56398162,Comedy|Drama|Music|Romance,28649,2390,Jason Weaver,0,http://www.imdb.com/title/tt0303933/?ref_=fn_tt_tt_1,185,English,USA,PG-13,20000000,593
Tyler Perry,0,721,2000,60072596,Comedy|Drama|Romance,7664,6657,Tasha Smith,8,http://www.imdb.com/title/tt1391137/?ref_=fn_tt_tt_1,68,English,USA,PG-13,20000000,907
Tim Burton,13000,658,40000,56362352,Fantasy|Romance,357581,42330,Conchata Ferrell,0,http://www.imdb.com/title/tt0099487/?ref_=fn_tt_tt_1,588,English,USA,PG-13,20000000,967
Thea Sharrock,17,418,11000,56154094,Drama|Romance,44723,21852,Brendan Coyle,0,http://www.imdb.com/title/tt2674426/?ref_=fn_tt_tt_1,130,English,UK,PG-13,20000000,10000
Tyler Perry,0,582,982,65623128,Comedy|Crime|Drama,7354,2753,Romeo Miller,5,http://www.imdb.com/title/tt2215285/?ref_=fn_tt_tt_1,50,English,USA,PG-13,20000000,618
William Friedkin,607,109,813,,Action|Crime|Drama|Thriller,82476,1196,Tony Lo Bianco,0,http://www.imdb.com/title/tt0067116/?ref_=fn_tt_tt_1,280,English,USA,R,1800000,165
Jon Lucas,24,851,15000,55461307,Comedy,4654,18786,Jada Pinkett Smith,9,http://www.imdb.com/title/tt4651520/?ref_=fn_tt_tt_1,46,English,USA,R,20000000,1000
Aaron Seltzer,64,729,3000,48546578,Comedy|Romance,50415,6539,Fred Willard,0,http://www.imdb.com/title/tt0466342/?ref_=fn_tt_tt_1,613,English,USA,PG-13,20000000,869
Robin Budd,2,434,1000,48423368,Adventure|Animation|Family|Fantasy,13324,3402,Spencer Breslin,1,http://www.imdb.com/title/tt0280030/?ref_=fn_tt_tt_1,79,English,USA,G,20000000,677
Ava DuVernay,151,852,1000,52066000,Biography|Drama|History,61114,3869,Oprah Winfrey,0,http://www.imdb.com/title/tt1020072/?ref_=fn_tt_tt_1,212,English,UK,PG-13,20000000,1000
Steve Trenbirth,0,384,3000,47887943,Adventure|Animation|Family|Musical,11634,4480,Tony Jay,0,http://www.imdb.com/title/tt0283426/?ref_=fn_tt_tt_1,58,English,USA,G,20000000,455
Stephen Kay,19,349,526,46363118,Drama|Horror|Mystery|Thriller,25960,1383,Charles Mesure,0,http://www.imdb.com/title/tt0357507/?ref_=fn_tt_tt_1,389,English,USA,PG-13,20000000,392
Mennan Yapo,9,107,826,47852604,Drama|Mystery|Thriller,62364,1825,Marc Macaulay,0,http://www.imdb.com/title/tt0477071/?ref_=fn_tt_tt_1,337,English,USA,PG-13,20000000,626
Jun Falkenstein,25,16,304,45542421,Animation|Comedy|Drama|Family|Musical,13319,575,Ken Sansom,0,http://www.imdb.com/title/tt0220099/?ref_=fn_tt_tt_1,53,English,USA,G,30000000,253
Jaume Collet-Serra,174,602,87000,41573740,Horror|Mystery|Thriller,141663,88953,Aryana Engineer,1,http://www.imdb.com/title/tt1148204/?ref_=fn_tt_tt_1,383,English,USA,R,,1000
Boaz Yakin,132,455,1000,42652003,Adventure|Family,18915,2851,Edgar Arreola,0,http://www.imdb.com/title/tt3369806/?ref_=fn_tt_tt_1,87,English,USA,PG,20000000,465
,,295,607,,Comedy,1922,1530,Denise Boutte,2,http://www.imdb.com/title/tt1319598/?ref_=fn_tt_tt_1,20,English,USA,,,378
Jason Friedberg,82,729,926,39737645,Adventure|Comedy,89687,4293,Fred Willard,11,http://www.imdb.com/title/tt0799949/?ref_=fn_tt_tt_1,666,English,USA,PG-13,20000000,869
John Milius,468,183,919,37567440,Adventure|Fantasy,113068,2024,Sandahl Bergman,0,http://www.imdb.com/title/tt0082198/?ref_=fn_tt_tt_1,337,English,USA,R,20000000,691
Tom McCarthy,310,77,745,44988180,Biography|Crime|Drama|History,195333,1058,Brian d'Arcy James,2,http://www.imdb.com/title/tt1895587/?ref_=fn_tt_tt_1,409,English,USA,R,20000000,168
Neil LaBute,119,332,1000,39263506,Crime|Drama|Thriller,40469,2382,Robert Pine,1,http://www.imdb.com/title/tt0947802/?ref_=fn_tt_tt_1,135,English,USA,PG-13,22000000,931
Takashi Shimizu,70,464,4000,39143839,Horror|Thriller,38658,5746,Matthew Knight,0,http://www.imdb.com/title/tt0433386/?ref_=fn_tt_tt_1,284,English,USA,PG-13,20000000,884
Kevin Rodney Sullivan,8,232,508,37672350,Comedy|Drama|Romance,5427,1660,Barry Shabaka Henley,1,http://www.imdb.com/title/tt0120703/?ref_=fn_tt_tt_1,51,English,USA,R,20000000,270
Peter Hewitt,12,636,18000,38037513,Adventure|Comedy|Fantasy|Music|Sci-Fi,49680,20188,Alex Winter,2,http://www.imdb.com/title/tt0101452/?ref_=fn_tt_tt_1,117,English,USA,PG,20000000,769
Barry Levinson,272,1000,49000,37442180,Comedy|Drama|Romance|Thriller,28005,52571,Amy Poehler,1,http://www.imdb.com/title/tt0483726/?ref_=fn_tt_tt_1,236,English,USA,PG-13,20000000,2000
Gary Nelson,20,160,889,,Action|Sci-Fi,18481,2110,Yvette Mimieux,0,http://www.imdb.com/title/tt0078869/?ref_=fn_tt_tt_1,230,English,USA,PG,20000000,877
Anton Corbijn,210,101,978,35596227,Crime|Drama|Thriller,79461,1454,Filippo Timi,1,http://www.imdb.com/title/tt1440728/?ref_=fn_tt_tt_1,463,English,USA,R,20000000,191
Gregory Nava,16,399,565,35422828,Biography|Drama|Music,19126,1735,Jacob Vargas,1,http://www.imdb.com/title/tt0120094/?ref_=fn_tt_tt_1,155,English,USA,PG,20000000,441
Jason Friedberg,82,354,759,36658108,Comedy,39095,2898,Anneliese van der Pol,7,http://www.imdb.com/title/tt1666186/?ref_=fn_tt_tt_1,187,English,USA,PG-13,20000000,401
Alejandro G. Iñárritu,0,51,11000,34300771,Drama,243799,11248,Dermot Crowley,3,http://www.imdb.com/title/tt0449467/?ref_=fn_tt_tt_1,908,English,France,R,25000000,119
Shawn Levy,189,949,2000,34290142,Comedy|Drama,54242,4662,Jane Fonda,8,http://www.imdb.com/title/tt1371150/?ref_=fn_tt_tt_1,145,English,USA,R,19800000,1000
John Patrick Shanley,53,652,22000,33422556,Drama|Mystery,99236,33903,Carrie Preston,0,http://www.imdb.com/title/tt0918927/?ref_=fn_tt_tt_1,321,English,USA,PG-13,20000000,11000
Trey Parker,406,406,860,32774834,Action|Comedy,136048,2609,Trey Parker,5,http://www.imdb.com/title/tt0372588/?ref_=fn_tt_tt_1,700,English,USA,R,30000000,523
John Luessenhop,34,322,383,34334256,Horror|Thriller,35131,1945,Shaun Sipos,0,http://www.imdb.com/title/tt1572315/?ref_=fn_tt_tt_1,255,English,USA,R,11000000,333
Jon Amiel,36,631,10000,32051917,Crime|Drama|Mystery|Thriller,42315,12338,Harry Connick Jr.,0,http://www.imdb.com/title/tt0112722/?ref_=fn_tt_tt_1,140,English,USA,R,20000000,1000
Malcolm D. Lee,92,636,31000,32014289,Comedy,50337,34319,Molly Shannon,8,http://www.imdb.com/title/tt0795461/?ref_=fn_tt_tt_1,177,English,USA,PG-13,20000000,881
Joshua Logan,32,417,16000,,Comedy|Drama|Musical|Romance|Western,9352,17775,Ray Walston,3,http://www.imdb.com/title/tt0064782/?ref_=fn_tt_tt_1,106,English,USA,PG-13,20000000,756
Gus Van Sant,835,755,11000,31838002,Biography|Drama|History,136673,13189,Lucas Grabeel,1,http://www.imdb.com/title/tt1013753/?ref_=fn_tt_tt_1,281,English,USA,R,20000000,896
Kevin Reynolds,58,47,141,36874745,Action|Adventure|Drama|Mystery,12276,389,María Botto,2,http://www.imdb.com/title/tt3231054/?ref_=fn_tt_tt_1,117,English,USA,PG-13,20000000,76
Steve Beck,17,78,534,30079316,Horror,75920,1083,Francesca Rettondini,0,http://www.imdb.com/title/tt0288477/?ref_=fn_tt_tt_1,474,English,USA,R,35000000,385
Todd Strauss-Schulson,12,587,786,35033759,Adventure|Comedy,55008,2462,Paula Garcés,4,http://www.imdb.com/title/tt1268799/?ref_=fn_tt_tt_1,93,English,USA,R,19000000,651
John McNaughton,39,254,13000,29753944,Crime|Drama|Mystery|Thriller,90677,14275,Jeff Perry,3,http://www.imdb.com/title/tt0120890/?ref_=fn_tt_tt_1,389,English,USA,R,20000000,481
Nelson McCormick,29,429,812,29062561,Crime|Thriller,23424,3292,Skyler Samuels,0,http://www.imdb.com/title/tt0814335/?ref_=fn_tt_tt_1,119,English,USA,PG-13,,533
John Madden,108,22,1000,31146570,Drama|Thriller,55441,1136,Romi Aboulafia,3,http://www.imdb.com/title/tt1226753/?ref_=fn_tt_tt_1,165,English,USA,R,20000000,100
Stephen Frears,350,619,1000,27277055,Comedy|Drama|Music|Romance,143137,3141,Lisa Bonet,0,http://www.imdb.com/title/tt0146882/?ref_=fn_tt_tt_1,602,English,UK,R,20000000,960
Eric Valette,2,270,741,26876529,Horror|Mystery,26624,1834,Margaret Cho,1,http://www.imdb.com/title/tt0479968/?ref_=fn_tt_tt_1,189,English,Japan,PG-13,27000000,297
John Schlesinger,154,497,1000,53146000,Crime|Drama|Thriller,9845,3174,Philip Baker Hall,1,http://www.imdb.com/title/tt0116260/?ref_=fn_tt_tt_1,77,English,USA,R,20000000,816
Roger Donaldson,79,287,26000,30028592,Crime|Drama|Romance|Thriller,152247,27755,Daniel Mays,0,http://www.imdb.com/title/tt0200465/?ref_=fn_tt_tt_1,189,English,UK,R,20000000,811
Michel Gondry,1000,1000,14000,34126138,Drama|Fantasy|Romance|Sci-Fi,666937,19364,Tom Wilkinson,1,http://www.imdb.com/title/tt0338013/?ref_=fn_tt_tt_1,1514,English,USA,R,20000000,4000
Andy Fickman,99,518,2000,25677801,Comedy|Family|Romance,41273,4813,Christine Lakin,6,http://www.imdb.com/title/tt1414382/?ref_=fn_tt_tt_1,136,English,USA,PG,20000000,938
David Ayer,453,2000,18000,26415649,Action|Crime|Drama|Thriller,94892,33878,Noel Gugliemi,4,http://www.imdb.com/title/tt0421073/?ref_=fn_tt_tt_1,189,English,USA,R,20000000,11000
Edgar Wright,1000,24,177,26003149,Action|Comedy|Sci-Fi,185587,278,Jasper Levine,6,http://www.imdb.com/title/tt1213663/?ref_=fn_tt_tt_1,401,English,UK,R,20000000,55
Andrew Fleming,26,650,720,25584685,Comedy|Crime|Family|Mystery|Romance|Thriller,15877,3327,Tate Donovan,5,http://www.imdb.com/title/tt0479500/?ref_=fn_tt_tt_1,102,English,USA,PG,20000000,669
Michael Spierig,35,16,125,29975979,Action|Horror|Sci-Fi|Thriller,105797,189,Tiffany Lamb,0,http://www.imdb.com/title/tt0433362/?ref_=fn_tt_tt_1,281,English,Australia,R,20000000,37
Jim Field Smith,14,756,2000,31584722,Comedy|Romance,101730,5707,Geoff Stults,1,http://www.imdb.com/title/tt0815236/?ref_=fn_tt_tt_1,131,English,USA,R,20000000,934
Thomas Bezucha,15,350,3000,23179303,Adventure|Comedy|Family|Romance,32951,4257,Brett Cullen,3,http://www.imdb.com/title/tt1067774/?ref_=fn_tt_tt_1,44,English,Hungary,PG,20000000,775
William Brent Bell,19,806,1000,23078294,Horror|Thriller,25870,3590,Samaire Armstrong,0,http://www.imdb.com/title/tt0441796/?ref_=fn_tt_tt_1,281,English,USA,PG-13,9000000,934
Simon Wincer,23,748,25000,21413105,Action|Adventure|Drama|Romance|Western,15230,45841,Ben Mendelsohn,1,http://www.imdb.com/title/tt0102744/?ref_=fn_tt_tt_1,97,English,Australia,PG-13,20000000,19000
Anthony Bell,0,518,681,25077977,Adventure|Animation|Comedy|Family|Romance,10986,2486,Christine Lakin,0,http://www.imdb.com/title/tt1213012/?ref_=fn_tt_tt_1,84,English,USA,PG,20000000,611
Renny Harlin,212,637,960,23292105,Action|Fantasy|Horror|Thriller,39541,3261,Toby Hemingway,0,http://www.imdb.com/title/tt0475944/?ref_=fn_tt_tt_1,334,English,USA,PG-13,20000000,917
