director_name,actor_1_facebook_likes,genres,movie_title,num_voted_users,actor_3_name,plot_keywords,movie_imdb_link,num_user_for_reviews,country,content_rating,actor_2_facebook_likes,imdb_score,movie_facebook_likes
Roger Avary,902,Crime|Drama|Thriller,Killing Zoe ,17322,Jean-Hugues Anglade,bank|bastille day|call girl|childhood friend|drugs,http://www.imdb.com/title/tt0110265/?ref_=fn_tt_tt_1,93,France,R,424,6.5,853
Henry Bean,33000,Drama,The Believer ,30314,Summer Phoenix,jew|jewish nazi|nazism|racism|skinhead,http://www.imdb.com/title/tt0247199/?ref_=fn_tt_tt_1,159,USA,R,243,7.2,0
David Gordon Green,947,Drama|Romance,Snow Angels ,10896,Tom Noonan,flashback|football game|school|small town|snow,http://www.imdb.com/title/tt0453548/?ref_=fn_tt_tt_1,57,USA,R,530,6.9,415
Simeon Rice,393,Action|Horror|Thriller,Unsullied ,95,Malone Thomas,,http://www.imdb.com/title/tt3139764/?ref_=fn_tt_tt_1,3,USA,R,191,5.5,307
Brad Anderson,210,Horror|Mystery,Session 9 ,43839,Larry Fessenden,abandoned asylum|abandoned hospital|asbestos|lobotomy|multiple personality,http://www.imdb.com/title/tt0261983/?ref_=fn_tt_tt_1,481,USA,R,148,6.5,0
Jeff Garlin,813,Comedy|Romance,I Want Someone to Eat Cheese With ,2963,Joey Slotnick,cheese|city|ice cream|school|second city,http://www.imdb.com/title/tt0391229/?ref_=fn_tt_tt_1,28,USA,R,522,6.2,0
Qasim Basir,1000,Drama|Family,Mooz-Lum ,919,Evan Ross,one word title,http://www.imdb.com/title/tt1450328/?ref_=fn_tt_tt_1,14,USA,PG-13,826,6.7,0
Adam Green,936,Comedy|Horror,Hatchet ,23349,Joel Murray,bayou|boat|louisiana|swamp|tour,http://www.imdb.com/title/tt0422401/?ref_=fn_tt_tt_1,235,USA,R,935,5.7,0
Charles Chaplin,309,Comedy|Drama|Family,Modern Times ,143086,Fred Malatesta,actor director writer|invention|machine|music score composed by director|tramp,http://www.imdb.com/title/tt0027977/?ref_=fn_tt_tt_1,211,USA,G,8,8.6,0
Pete Jones,954,Drama,Stolen Summer ,2419,Bonnie Hunt,catholic|catholicism|rabbi|school|summer,http://www.imdb.com/title/tt0286162/?ref_=fn_tt_tt_1,55,USA,PG,767,6.5,304
Bruce Campbell,634,Comedy|Fantasy,My Name Is Bruce ,21379,Timothy Patrick Quill,b movie|birthday|chinese|demon|small town,http://www.imdb.com/title/tt0489235/?ref_=fn_tt_tt_1,88,USA,R,328,6.3,0
Mark Brown,890,Comedy|Drama,The Salon ,444,Garrett Morris,,http://www.imdb.com/title/tt0436742/?ref_=fn_tt_tt_1,5,USA,PG-13,597,4.3,68
Adam Carolla,563,Comedy,Road Hard ,1351,David Alan Grier,girl in panties|panties|red panties|stand up comedy,http://www.imdb.com/title/tt3110770/?ref_=fn_tt_tt_1,11,USA,,485,6.1,212
Ira Sachs,826,Drama|Music|Romance,Forty Shades of Blue ,1134,Darren E. Burrows,love|music producer|previous marriage|rock 'n' roll|russian,http://www.imdb.com/title/tt0395543/?ref_=fn_tt_tt_1,26,USA,R,189,6.0,216
John Sayles,38,Drama|War,Amigo ,463,Ronnie Lazaro,american|filipino|friendship|guerrilla army|village,http://www.imdb.com/title/tt1562847/?ref_=fn_tt_tt_1,8,USA,R,8,5.8,594
Bruce McDonald,413,Fantasy|Horror,Pontypool ,22212,Boyd Banks,blood splatter|talk radio|virus|vomiting blood|zombie apocalypse,http://www.imdb.com/title/tt1226681/?ref_=fn_tt_tt_1,142,Canada,Not Rated,98,6.7,0
James Mottern,87000,Drama,Trucker ,2792,Matthew Lawrence,cancer|cigarette smoking|hospital|one night stand|trucker,http://www.imdb.com/title/tt1087527/?ref_=fn_tt_tt_1,22,USA,R,781,6.7,371
Jaime Zevallos,310,Comedy|Drama|Romance,Me You and Five Bucks ,7,Michael Elian,,http://www.imdb.com/title/tt2265431/?ref_=fn_tt_tt_1,,USA,,228,7.6,132
Rob Zombie,1000,Drama|Fantasy|Horror|Thriller,The Lords of Salem ,20376,Michael Berryman,blood|flashback|radio dj|radio station|vinyl,http://www.imdb.com/title/tt1731697/?ref_=fn_tt_tt_1,166,USA,R,725,5.1,15000
Gerard Johnstone,61,Comedy|Horror|Mystery,Housebound ,23323,Cameron Rhodes,bloody violence|exploding head|haunted house|plot twist|slapstick,http://www.imdb.com/title/tt3504048/?ref_=fn_tt_tt_1,83,New Zealand,Not Rated,46,6.8,10000
Robert Greenwald,0,Documentary,Wal-Mart: The High Cost of Low Price ,4120,Matt Hunter,greed|pollution|slave labor|truth|wal mart,http://www.imdb.com/title/tt0473107/?ref_=fn_tt_tt_1,70,USA,Not Rated,0,6.8,0
David Ray,199,Drama|Fantasy|Romance,Fetching Cody ,1232,Kyla Wise,death|high school|prostitute|suicide|time travel,http://www.imdb.com/title/tt0475271/?ref_=fn_tt_tt_1,10,Canada,,134,6.8,193
Dave Rodriguez,979,Comedy|Drama,Once Upon a Time in Queens ,291,Paul Sorvino,,http://www.imdb.com/title/tt1639397/?ref_=fn_tt_tt_1,7,USA,R,975,6.3,283
Nae Caranfil,129,Comedy|Drama,Closer to the Moon ,2841,Martin Hancock,,http://www.imdb.com/title/tt2017486/?ref_=fn_tt_tt_1,13,Romania,Not Rated,98,7.1,0
David Winning,341,Sci-Fi,Mutant World ,459,John DeSantis,,http://www.imdb.com/title/tt3626436/?ref_=fn_tt_tt_1,10,Canada,,265,2.8,236
Frank Lotito,3000,Comedy|Drama|Family,Growing Up Smith ,108,Tim Guinee,adolescence|girl next door|growing vegetables|high standards|sent away,http://www.imdb.com/title/tt1105355/?ref_=fn_tt_tt_1,1,USA,PG-13,660,8.2,232
Timothy Woodward Jr.,835,Action|Crime|Thriller,Checkmate ,735,Michael Paré,,http://www.imdb.com/title/tt3781616/?ref_=fn_tt_tt_1,18,USA,,522,3.1,402
Christopher McQuarrie,10000,Action|Crime|Mystery|Thriller,Jack Reacher ,226583,David Oyelowo,coma|mysterious villain|police chase|shooting range|sniper,http://www.imdb.com/title/tt0790724/?ref_=fn_tt_tt_1,448,USA,PG-13,3000,7.0,38000
Tara Subkoff,501,Drama|Horror|Mystery|Thriller,#Horror ,1547,Lydia Hearst,bullying|cyberbullying|girl|internet|throat slitting,http://www.imdb.com/title/tt3526286/?ref_=fn_tt_tt_1,42,USA,Not Rated,418,3.3,750
Russell Friedenberg,708,Action|Horror|Thriller,Wind Walkers ,133,Kiowa Gordon,after dark horrorfest,http://www.imdb.com/title/tt1236254/?ref_=fn_tt_tt_1,2,USA,R,571,3.6,135
William Cottrell,82,Animation|Family|Fantasy|Musical,Snow White and the Seven Dwarfs ,133348,Lucille La Verne,dwarf|love|princess|queen|snow white,http://www.imdb.com/title/tt0029583/?ref_=fn_tt_tt_1,204,USA,Approved,47,7.7,0
Lucrecia Martel,341,Drama,The Holy Girl ,2720,María Alche,16 year old|doctor|hotel|tinnitus|title directed by female,http://www.imdb.com/title/tt0300270/?ref_=fn_tt_tt_1,37,Argentina,R,5,6.7,57
Edward Dmytryk,984,Western,Shalako ,1978,Honor Blackman,bare chested male bondage|european|female frontal nudity|topless woman|war paint,http://www.imdb.com/title/tt0063592/?ref_=fn_tt_tt_1,41,UK,PG,423,5.5,209
Zak Penn,87,Adventure|Comedy|Horror,Incident at Loch Ness ,3291,John Bailey,boat|director|loch ness|loch ness monster|monster,http://www.imdb.com/title/tt0374639/?ref_=fn_tt_tt_1,63,UK,PG-13,70,6.6,400
Alex Ranarivelo,1000,Drama,The Dog Lover ,162,Cullen Douglas,,http://www.imdb.com/title/tt4063178/?ref_=fn_tt_tt_1,8,USA,PG,301,4.8,724
Jon Knautz,756,Horror|Thriller,Girl House ,4948,Chasty Ballesteros,college student|disfigured face|house|suicide|website,http://www.imdb.com/title/tt2577172/?ref_=fn_tt_tt_1,33,Canada,,382,5.5,969
Mathieu Amalric,412,Crime|Romance|Thriller,The Blue Room ,2082,Laurent Poitrenaux,male pubic hair|manipulative personality|murder of wife|neglected wife|pubic hair,http://www.imdb.com/title/tt3230082/?ref_=fn_tt_tt_1,16,France,R,4,6.3,389
David Worth,847,Horror|Thriller,House at the End of the Drive ,330,Angela Jones,ghost story|manson family|paranormal|real life event|reference to sharon tate,http://www.imdb.com/title/tt0464054/?ref_=fn_tt_tt_1,6,USA,R,147,6.9,223
Leslie H. Martinson,1000,Adventure|Comedy|Family,Batman: The Movie ,22975,Burt Ward,black cat|catwoman|dc comics|penguin|riddler,http://www.imdb.com/title/tt0060153/?ref_=fn_tt_tt_1,155,USA,Approved,370,6.5,0
Guy Ritchie,26000,Comedy|Crime,"Lock, Stock and Two Smoking Barrels ",414976,Dexter Fletcher,antique|cockney accent|hatchet|money|shotgun,http://www.imdb.com/title/tt0120735/?ref_=fn_tt_tt_1,523,UK,R,1000,8.2,21000
Robert M. Young,883,Western,The Ballad of Gregorio Cortez ,39,Ned Beatty,,http://www.imdb.com/title/tt3551840/?ref_=fn_tt_tt_1,2,USA,,655,7.1,32
,416,Action|Crime|Drama|Mystery,The Streets of San Francisco             ,3405,,city name in series title|homicide|older man younger man relationship|place in series title|police partner,http://www.imdb.com/title/tt0068135/?ref_=fn_tt_tt_1,13,USA,,0,7.3,533
Thomas Vinterberg,280,Drama,The Celebration ,65951,Trine Dyrholm,dogme 95|family secret|haunted by the past|secret|speech,http://www.imdb.com/title/tt0154420/?ref_=fn_tt_tt_1,258,Denmark,R,278,8.1,5000
Steve Buscemi,12000,Comedy|Drama,Trees Lounge ,11369,Carol Kane,alcoholic drink|bar|drink|drinking|drunk,http://www.imdb.com/title/tt0117958/?ref_=fn_tt_tt_1,65,USA,R,680,7.2,872
Ham Tran,51,Drama,Journey from the Fall ,775,Cat Ly,1970s|1980s|nonlinear timeline|rescue|vietnam war,http://www.imdb.com/title/tt0433398/?ref_=fn_tt_tt_1,19,USA,R,24,7.4,100
Rich Cowan,2000,Drama,The Basket ,449,Peter Coyote,basketball|german immigrant|opera|two word title|war orphan,http://www.imdb.com/title/tt0190255/?ref_=fn_tt_tt_1,38,USA,PG,783,6.5,117
Boris Rodriguez,413,Comedy|Horror,Eddie: The Sleepwalking Cannibal ,1231,Georgina Reilly,art teacher|cannibal|inspiration|painter|sleepwalking,http://www.imdb.com/title/tt1480658/?ref_=fn_tt_tt_1,10,Canada,Not Rated,197,5.7,932
Harold Becker,13000,Action|Crime|Drama|Thriller,Mercury Rising ,54316,Carrie Preston,autistic child|boy|child in danger|fbi|nsa,http://www.imdb.com/title/tt0120749/?ref_=fn_tt_tt_1,127,USA,R,969,6.1,0
,210,Drama|Sci-Fi,Space: Above and Beyond             ,6381,Kristen Cloke,alien|born in vitro|in vitro fertilization|marine|outer space,http://www.imdb.com/title/tt0112173/?ref_=fn_tt_tt_1,79,USA,,121,7.7,963
Sadyk Sher-Niyaz,0,Action|Biography|Drama|History,Queen of the Mountains ,3144,Mirlan Abdulayev,19th century|central asia|mother son relationship|ruler|russian empire,http://www.imdb.com/title/tt2640460/?ref_=fn_tt_tt_1,24,Kyrgyzstan,PG-13,0,8.7,0
Paul Donovan,232,Action|Sci-Fi,Def-Con 4 ,1339,Tim Choate,canuxploitation|independent film|post apocalypse|remake|survival,http://www.imdb.com/title/tt0087130/?ref_=fn_tt_tt_1,46,Canada,R,23,4.3,220
Jonathan Kesselman,2000,Comedy,The Hebrew Hammer ,4182,Tony Cox,blaxploitation|hanukkah|jewish|kwanzaa|santa claus,http://www.imdb.com/title/tt0317640/?ref_=fn_tt_tt_1,53,USA,R,1000,6.2,3000
Arjun Sablok,374,Comedy|Musical|Romance,Neal 'N' Nikki ,1167,Samantha McLeod,interrupted sex|kiss|love|mistaken sex scene|sex in car,http://www.imdb.com/title/tt0470869/?ref_=fn_tt_tt_1,24,India,,145,3.3,66
Craig Moss,700,Comedy,The 41-Year-Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It ,5579,Matt Crabtree,masturbation|porn actor in mainstream movie|sex|spoof|virginity,http://www.imdb.com/title/tt1498870/?ref_=fn_tt_tt_1,42,USA,R,460,2.7,0
Tyler Oliver,35000,Horror|Romance|Thriller,Forget Me Not ,4866,Christopher Atkins,,http://www.imdb.com/title/tt1147684/?ref_=fn_tt_tt_1,38,USA,R,516,5.2,969
Alfred Hitchcock,1000,Drama|Film-Noir|Mystery|Thriller,Rebecca ,87424,George Sanders,death|estate|housekeeper|love|monte carlo,http://www.imdb.com/title/tt0032976/?ref_=fn_tt_tt_1,276,USA,Not Rated,991,8.2,0
Steve Miner,309,Horror|Mystery|Thriller,Friday the 13th Part 2 ,39690,Amy Steel,ice pick|jason voorhees|lake|pitchfork|shack,http://www.imdb.com/title/tt0082418/?ref_=fn_tt_tt_1,394,USA,R,121,6.1,0
Billy Wilder,287,Drama|Film-Noir,The Lost Weekend ,24959,Frank Faylen,addiction|alcoholic|alcoholism|paranoia|suicidal thoughts,http://www.imdb.com/title/tt0037884/?ref_=fn_tt_tt_1,136,USA,Not Rated,160,8.0,0
Douglas Cheek,796,Horror|Sci-Fi,C.H.U.D. ,7528,Sam McMurray,bum|city|mutant|new york city|street,http://www.imdb.com/title/tt0087015/?ref_=fn_tt_tt_1,88,USA,R,697,5.5,0
Youssef Delara,2000,Drama|Music,Filly Brown ,910,Jorge Diaz,,http://www.imdb.com/title/tt1869425/?ref_=fn_tt_tt_1,11,USA,R,245,5.7,0
Deryck Broom,578,Animation,The Lion of Judah ,458,Anupam Kher,animal|donkey|lamb|pig|rooster,http://www.imdb.com/title/tt1212022/?ref_=fn_tt_tt_1,3,USA,PG,418,3.7,381
Henry Hathaway,469,Crime|Film-Noir|Thriller,Niagara ,11047,Will Wright,hitchcockian|husband murders wife|murder|niagara falls|overhead shot,http://www.imdb.com/title/tt0046126/?ref_=fn_tt_tt_1,116,USA,Approved,79,7.1,1000
John Ford,595,Drama|Family,How Green Was My Valley ,15840,Barry Fitzgerald,coal mine|girl|school|village|wales,http://www.imdb.com/title/tt0033729/?ref_=fn_tt_tt_1,124,USA,Approved,176,7.8,0
,934,Drama,The Girlfriend Experience             ,3282,Paul Sparks,escort|female nudity|friendship|money|sex scene,http://www.imdb.com/title/tt3846642/?ref_=fn_tt_tt_1,17,USA,TV-MA,691,7.3,632
Spike Lee,3000,Comedy|Romance|Thriller,Da Sweet Blood of Jesus ,794,Felicia Pearson,horror movie remake|remake|undead|undead sex|undead sexuality,http://www.imdb.com/title/tt3104930/?ref_=fn_tt_tt_1,9,USA,,372,4.1,447
Steven Soderbergh,828,Drama,"Sex, Lies, and Videotape ",37785,Steven Brill,affair|interview|marriage|sex|videotape,http://www.imdb.com/title/tt0098724/?ref_=fn_tt_tt_1,95,USA,R,531,7.2,2000
James Wan,2000,Horror|Mystery|Thriller,Saw ,299127,Shawnee Smith,chained|flashback|killer|serial killer|surprise ending,http://www.imdb.com/title/tt0387564/?ref_=fn_tt_tt_1,1509,USA,R,878,7.7,0
Jay Chandrasekhar,816,Comedy|Crime|Mystery,Super Troopers ,76151,Jay Chandrasekhar,drugs|highway|police|state trooper|vermont,http://www.imdb.com/title/tt0247745/?ref_=fn_tt_tt_1,333,USA,R,577,7.1,0
Giovanni Zelko,18000,Action|Romance|Thriller,The Algerian ,101,Ben Youcef,algeria|algerian|los angeles california|muslim,http://www.imdb.com/title/tt1681370/?ref_=fn_tt_tt_1,1,USA,,748,7.6,221
Claudia Sainte-Luce,31,Comedy|Drama,The Amazing Catfish ,1229,José Manuel Orozco Angulo,actress shares first name with character|appendicitis|hospital|loss of mother|supermarket,http://www.imdb.com/title/tt2414046/?ref_=fn_tt_tt_1,2,Mexico,,24,7.0,407
Scott Derrickson,18000,Drama|Sci-Fi|Thriller,The Day the Earth Stood Still ,139426,Juan Riedinger,alien|earth|giant robot|military|scientist,http://www.imdb.com/title/tt0970416/?ref_=fn_tt_tt_1,698,USA,PG-13,4000,5.5,0
Mira Nair,307,Comedy|Drama|Romance,Monsoon Wedding ,19397,Lillete Dubey,arranged marriage|bride|celebration|marriage|wedding,http://www.imdb.com/title/tt0265343/?ref_=fn_tt_tt_1,214,India,R,209,7.4,0
Kenneth Lonergan,2000,Drama,You Can Count on Me ,22145,Gaby Hoffmann,bank|car accident|cheating husband|new york|single mother,http://www.imdb.com/title/tt0203230/?ref_=fn_tt_tt_1,231,USA,R,710,7.7,756
Alfred Hitchcock,282,Comedy|Mystery|Romance,The Trouble with Harry ,24891,Royal Dano,artist|death|hunting|sheriff|vermont,http://www.imdb.com/title/tt0048750/?ref_=fn_tt_tt_1,150,USA,Approved,255,7.2,0
Paul McGuigan,13000,Crime|Drama|Mystery|Thriller,Lucky Number Slevin ,262160,Dorian Missick,coroner|death|gay son|love|mistaken identity,http://www.imdb.com/title/tt0425210/?ref_=fn_tt_tt_1,507,Germany,R,11000,7.8,10000
Jamie Babbit,1000,Comedy|Drama,But I'm a Cheerleader ,19986,Eddie Cibrian,cheerleader|gay|homosexual|lesbian|lesbian relationship,http://www.imdb.com/title/tt0179116/?ref_=fn_tt_tt_1,186,USA,R,1000,6.6,0
David Boyd,890,Drama|Sport,Home Run ,2417,Scott Elrod,addiction|alcoholic|baseball|car accident|reference to god,http://www.imdb.com/title/tt2051894/?ref_=fn_tt_tt_1,32,USA,PG-13,848,6.0,0
Quentin Tarantino,16000,Crime|Drama|Thriller,Reservoir Dogs ,664719,Chris Penn,gang|heist|heist gone wrong|nonlinear timeline|robbery,http://www.imdb.com/title/tt0105236/?ref_=fn_tt_tt_1,931,USA,R,12000,8.4,19000
Walter Lang,94,Drama|Family|Fantasy,The Blue Bird ,1047,Gale Sondergaard,1800s|bird|blue bird of happiness|foreign language adaptation|past,http://www.imdb.com/title/tt0032264/?ref_=fn_tt_tt_1,25,USA,Approved,62,6.5,548
Sergio Leone,16000,Western,"The Good, the Bad and the Ugly ",503509,Enzo Petito,civil war|hitman|outlaw|shootout|spaghetti western,http://www.imdb.com/title/tt0060196/?ref_=fn_tt_tt_1,780,Italy,Approved,34,8.9,20000
Anna Muylaert,61,Comedy|Drama,The Second Mother ,7025,Luis Miranda,brazil|exam|housekeeper|northeast region of brazil|portuguese language,http://www.imdb.com/title/tt3742378/?ref_=fn_tt_tt_1,26,Brazil,R,9,7.9,0
Steve Taylor,1000,Comedy|Drama,Blue Like Jazz ,2582,Eric Lange,church|college|color in title|philosophy|texas,http://www.imdb.com/title/tt1758575/?ref_=fn_tt_tt_1,89,USA,PG-13,330,6.0,0
