director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,genres,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score
Will Gluck,262,92,87,424,15000,Comedy|Romance,276746,16982,1,PG-13,8000000,2010,1000,7.1
Matty Rich,7,110,10,582,851,Comedy|Drama|Romance,1103,3293,0,R,,1994,780,6.5
E. Elias Merhige,196,92,54,306,776,Drama|Horror,34191,1761,1,R,8000000,2000,595,6.9
Joe Nussbaum,83,104,18,741,1000,Comedy|Drama,12702,5190,0,PG,8000000,2011,962,5.4
Matt Reeves,18,98,198,636,1000,Comedy|Romance,6124,3502,2,PG-13,8000000,1996,975,4.9
Steve Rash,11,89,15,660,883,Comedy,2870,3291,2,PG-13,8000000,1999,826,5.1
Fina Torres,72,92,26,417,1000,Comedy|Fantasy|Romance,8546,2687,0,R,8000000,2000,905,5.3
James Ivory,51,140,133,136,12000,Drama|Romance,21254,13180,3,PG,,1992,898,7.5
,18,60,,648,3000,Adventure|Drama|Fantasy|Mystery,22848,6034,0,TV-MA,,,788,8.3
Duke Johnson,328,90,26,0,1000,Animation|Comedy|Drama|Romance,31489,1442,0,R,8000000,2015,442,7.3
Mike Leigh,248,129,608,386,1000,Comedy|Drama,23629,2265,0,PG-13,10000000,2010,579,7.3
François Ozon,128,111,341,569,963,Comedy|Crime|Musical|Romance,23660,3543,1,R,8000000,2002,678,7.1
Mark L. Lester,45,79,73,112,1000,Action|Comedy|Crime|Thriller,12561,2404,2,R,8000000,1991,1000,6.0
David Dobkin,49,104,71,168,1000,Comedy|Crime,9494,1795,1,R,8000000,1998,261,6.6
Anna Boden,163,101,16,472,943,Comedy|Drama|Romance,106098,2786,3,PG-13,8000000,2010,769,7.2
Nigel Cole,163,113,13,594,5000,Biography|Comedy|Drama|History,11158,7692,6,R,7200000,2010,629,7.2
Anand Tucker,90,92,14,291,14000,Biography|Drama,3571,15848,2,PG-13,8000000,2007,1000,6.9
Steve James,23,106,23,200,1000,Biography|Drama|Romance|Sport,5673,1610,2,PG-13,8000000,1997,273,6.8
Michael Winner,17,98,136,249,977,Adventure|Drama,802,2413,0,R,8000000,1983,649,4.0
Tomm Moore,118,75,45,4,61,Adventure|Animation|Family|Fantasy,22811,75,0,Not Rated,6500000,2009,5,7.7
John Carney,283,104,109,7,480,Drama|Music,99430,517,1,R,8000000,2013,12,7.4
David Jacobson,74,108,12,710,2000,Drama|Romance|Thriller,16617,3921,2,R,8000000,2005,844,6.5
Michael Corrente,41,99,30,209,480,Crime|Drama,5049,1234,3,R,8000000,2007,257,6.4
Edward Hall,17,180,0,844,3000,Drama|Romance,2098,6343,2,,,2012,2000,7.2
Keith Gordon,66,109,200,1000,21000,Comedy|Crime|Musical|Mystery,7116,41645,2,R,8000000,2003,18000,5.6
David Leland,36,111,2,227,735,Drama|Romance|War,1591,1378,3,R,,1998,306,6.3
Andrew Currie,140,93,8,33,553,Comedy|Drama|Horror|Sci-Fi,25055,786,1,R,8000000,2006,177,6.8
Andrew Wilson,32,99,387,399,8000,Comedy|Drama|Romance,5159,9608,4,PG-13,8000000,2005,489,5.5
Jonathan Lynn,68,98,36,405,10000,Action|Comedy|Crime,29994,11770,4,PG-13,8000000,2010,692,6.9
Marc Schölermann,79,95,3,448,905,Crime|Horror|Thriller,26849,3185,0,R,8000000,2008,513,6.0
,9,142,,427,27000,Drama|Romance,6053,29196,2,,,,698,7.7
Robert Moresco,26,107,53,463,954,Crime|Drama|Thriller,5557,2512,5,R,8000000,2006,551,6.4
Thomas Vinterberg,100,102,346,488,947,Comedy|Crime|Drama|Romance,9003,2572,0,Unrated,50000000,2004,526,6.6
Claudia Llosa,56,97,43,47,144,Drama,2103,326,1,R,8000000,2014,63,5.3
Katsuhiro Ôtomo,150,124,78,4,6,Action|Animation|Sci-Fi,106160,28,0,R,1100000000,1988,5,8.1
John Herzfeld,30,97,17,1000,23000,Action|Crime|Thriller,12078,37457,2,R,22000000,2007,10000,5.9
Charles Binamé,20,124,2,23,413,Biography|Drama|Sport,4412,733,0,PG,8000000,2005,265,7.7
Keith Parmer,21,96,2,600,31000,Action|Crime|Drama|Thriller,1965,33858,6,R,8000000,2014,920,4.6
Dennie Gordon,11,114,29,11,163,Action|Adventure|Comedy|Romance,322,219,2,,,2013,20,5.1
Ol Parker,85,90,21,112,186,Comedy|Drama|Romance,23023,619,0,R,7900000,2005,119,6.9
Bruce Beresford,5,104,78,189,502,Drama,63,1546,0,PG-13,8000000,2016,206,8.0
François Ozon,160,102,341,15,844,Crime|Drama|Mystery|Thriller,35065,1389,0,R,,2003,521,6.8
James Nunn,25,93,16,376,1000,Action|Drama,3740,2284,2,R,,2013,524,5.4
David Webb Peoples,21,90,73,26,848,Action|Sci-Fi|Sport,4792,1526,2,R,10000000,1989,643,6.5
Michael Winnick,15,106,155,391,981,Action,662,2741,0,R,8000000,2016,505,4.2
Bruce Beresford,61,99,78,325,11000,Comedy|Drama|Family,72324,12619,1,PG,7500000,1989,509,7.4
George Tillman Jr.,34,115,88,890,1000,Comedy|Drama,5275,4737,6,R,7500000,1997,1000,6.9
Stanley Tong,62,89,7,36,186,Action|Comedy,29843,407,1,R,7500000,1995,147,6.7
David Oelhoffen,102,101,2,40,10000,Drama|War|Western,4035,10218,0,,7700000,2014,154,7.3
Jason Reitman,239,92,655,88,24000,Comedy|Drama,191998,25092,0,R,6500000,2005,829,7.6
Eli Roth,252,94,0,658,1000,Horror,69989,4707,0,R,10000000,2007,683,5.4
Lone Scherfig,278,100,92,221,3000,Drama,112138,4198,0,PG-13,4500000,2009,766,7.3
Anand Tucker,124,106,14,161,827,Drama|Romance,21225,1871,3,R,,2005,545,6.4
Tony Richardson,9,109,62,518,584,Comedy|Drama|Romance,6595,2024,0,R,7500000,1984,552,6.0
Joe Carnahan,127,105,248,147,673,Crime|Drama|Mystery|Thriller,34098,1442,1,R,7500000,2002,466,7.2
Paul Gross,9,102,329,280,611,Comedy|Drama|Romance|Sport,3709,1834,3,R,7500000,2002,329,6.0
Charles Robert Carner,35,97,18,742,834,Comedy|Crime,5463,4091,2,PG-13,7500000,2008,749,3.1
Russell Holt,6,118,0,249,373,Drama|Romance,833,1233,1,PG,7500000,2004,266,6.9
Mike Judge,192,92,406,968,24000,Comedy|Crime|Romance,37530,41867,6,R,8000000,2009,15000,6.2
Larry Charles,51,112,119,844,12000,Comedy|Drama|Music,3972,15396,0,PG-13,,2003,844,5.5
Claude Miller,38,103,27,59,71,Comedy|Crime|Drama|Romance|Thriller,1439,262,0,,50000000,2001,59,6.9
Michael Winterbottom,133,93,187,158,631,Drama|Romance|Sci-Fi|Thriller,18109,1176,0,R,7500000,2003,163,6.3
Sacha Bennett,4,101,22,447,5000,Comedy,243,7206,3,,7500000,2012,659,4.8
Paul Haggis,287,115,549,911,3000,Crime|Drama|Thriller,361169,5732,0,R,6500000,2004,912,7.9
Rodrigo García,222,113,127,373,3000,Drama,19616,4370,3,R,8000000,2011,415,6.7
Jeta Amata,6,95,20,36,262,Action|Crime|Drama|Thriller,385,409,3,,7500000,2012,65,5.6
Siddharth Anand,16,153,5,60,532,Comedy|Family|Romance,2909,902,3,,6000000,2007,249,5.4
Vincent Paronnaud,242,89,10,106,963,Animation|Biography|Drama|War,70194,1754,0,PG-13,7300000,2007,545,8.0
Joe Dante,147,92,287,664,844,Adventure|Fantasy|Thriller,19157,4099,2,PG-13,12000000,2009,708,5.7
Dennis Gansel,93,107,23,93,287,Drama|Thriller,80639,635,0,,5000000,2008,150,7.6
Nicolas Winding Refn,253,118,0,500,18000,Horror|Thriller,9866,19879,2,R,7000000,2016,860,7.0
Daniel Barber,224,97,12,641,788,Action|Crime|Drama|Thriller,74435,2486,1,R,7300000,2009,698,7.2
Sam Raimi,392,156,0,4000,24000,Action|Adventure|Romance,383071,46055,0,PG-13,258000000,2007,11000,6.2
Robert Marcarelli,39,100,0,440,488,Action|Adventure|Fantasy|Sci-Fi|Thriller,4682,2428,0,PG-13,7500000,1999,488,3.5
Jason Reitman,387,96,655,973,24000,Comedy|Drama|Romance,414335,28817,0,PG-13,7500000,2007,3000,7.5
Ernie Barbarash,36,104,249,96,294,Action|Thriller,4099,835,0,R,7500000,2015,284,5.1
Guy Hamilton,120,120,82,175,244,Action|Adventure|Thriller,74249,1105,2,GP,7200000,1971,177,6.7
Francis Ford Coppola,208,175,0,3000,14000,Crime|Drama,1155770,28122,1,R,6000000,1972,10000,9.2
Adrian Lyne,51,95,213,92,225,Drama|Music|Romance,35172,791,0,R,4000000,1983,174,6.1
Marc Webb,331,95,464,11000,23000,Comedy|Drama|Romance,376600,54075,43,PG-13,7500000,2009,17000,7.7
Jane Campion,83,121,319,11,1000,Drama|Music|Romance,63931,1051,1,R,7000000,1993,18,7.6
Steven Soderbergh,324,110,0,11000,17000,Comedy|Drama,108843,46646,1,R,7000000,2012,15000,6.1
Jonathan Liebesman,140,96,474,82,1000,Horror|Mystery|Thriller,25870,2212,0,PG-13,11000000,2003,970,4.9
Guy Hamilton,136,121,82,189,581,Action|Adventure|Thriller,74957,1865,3,PG,7000000,1973,547,6.8
Jay Russell,79,95,13,430,1000,Drama|Family|Sport,16651,2515,0,PG,5000000,2000,934,7.0
Adam Brooks,160,112,20,61,16000,Comedy|Drama|Romance,127760,16289,5,PG-13,,2008,109,7.2
Salim Akil,52,112,70,826,1000,Comedy|Drama,7973,5959,8,PG-13,6600000,2011,912,5.7
Baz Luhrmann,490,143,1000,76,29000,Drama|Romance,362933,29769,4,PG-13,105000000,2013,509,7.3
George Clooney,351,93,0,566,21000,Biography|Drama|History,84070,22745,0,PG,7500000,2005,650,7.5
Bennett Miller,271,110,152,27,22000,Biography|Crime|Drama,100571,22140,1,R,7000000,2005,68,7.4
Robert Rodriguez,93,104,0,4000,16000,Action|Crime|Thriller,138707,33758,0,R,7000000,1995,12000,7.2
Michael Winterbottom,71,115,187,887,14000,Drama|Romance|Western,5254,17104,4,R,20000000,2000,900,6.5
,54,53,,1000,4000,Crime|Drama|Thriller,170055,19949,0,TV-MA,,,1000,9.0
Michael Anderson,112,119,23,440,1000,Action|Adventure|Sci-Fi,39847,2951,1,PG,9000000,1976,659,6.8
Guy Hamilton,118,125,82,244,16000,Action|Adventure|Thriller,73950,17611,3,PG,13000000,1974,387,6.8
Craig R. Baxley,35,96,22,794,1000,Action|Comedy|Crime|Thriller,7569,5282,2,R,7000000,1988,841,5.2
Neil Marshall,342,100,197,159,513,Adventure|Horror|Thriller,154938,1379,0,R,3500000,2005,239,7.2
Don Kempf,14,46,0,69,13000,Documentary|Sport,1723,13448,0,,,2000,366,7.5
Matt Bettinelli-Olpin,137,89,14,270,971,Horror|Mystery,13913,2517,0,R,7000000,2014,479,4.0
David O. Russell,50,92,737,380,718,Comedy,15088,2240,3,R,7000000,1996,524,6.8
Rob Zombie,261,109,0,597,1000,Crime|Horror,76267,3544,0,R,7000000,2005,649,6.9
,96,44,,970,4000,Action|Drama|Fantasy|Romance,101902,7970,0,TV-14,2300000,,3000,8.2
Rick Famuyiwa,180,103,44,190,637,Comedy|Crime|Drama,56605,1342,3,R,7000000,2015,256,7.3
Michael Rymer,28,95,48,826,1000,Crime|Drama|Thriller,4598,4837,1,R,7000000,1999,865,6.1
Sam Mendes,750,143,0,393,883,Action|Adventure|Thriller,522048,2039,0,PG-13,200000000,2012,563,7.8
Rob Zombie,202,105,0,303,1000,Horror,60709,2444,0,R,7000000,2003,340,6.0
Sharron Miller,8,79,0,23,246,Horror,440,345,0,PG,350000,1978,29,4.1
Ethan Coen,341,106,1000,98,816,Comedy|Drama,102125,1120,1,R,7000000,2009,105,7.0
Aaron Schneider,160,100,11,970,13000,Drama|Mystery,19147,19330,1,PG-13,7500000,2009,3000,7.1
Steve Miner,31,103,49,304,687,Action|Fantasy|Horror|Thriller,11668,1990,0,R,7000000,1989,554,6.2
Gina Prince-Bythewood,71,116,107,658,893,Drama|Music,11191,3110,1,PG-13,7000000,2014,664,6.9
Tom Ford,281,99,192,292,14000,Drama|Romance,83182,14816,2,R,7000000,2009,343,7.6
Martin Scorsese,114,164,17000,159,883,Drama,39680,1934,0,R,7000000,1988,618,7.6
Michael Corrente,72,96,30,407,761,Comedy|Drama|Romance,7736,2018,3,R,7000000,1999,412,6.4
Gurinder Chadha,119,122,98,397,729,Comedy|Drama|Musical|Romance,17436,2321,1,PG-13,7000000,2004,579,6.2
Phillip Noyce,74,94,176,46,116,Adventure|Biography|Drama|History,23486,312,1,PG,6000000,2002,93,7.5
Don Michael Paul,25,93,70,442,692,Comedy|Sport,13815,3128,0,PG-13,7000000,2007,585,2.0
Tony Maylam,39,96,6,38,206,Action|Crime|Horror|Sci-Fi|Thriller,8391,493,0,R,7000000,1992,192,6.2
,27,60,,346,787,Action|Crime|Drama|Thriller,42402,2352,1,,,,485,7.7
Mitch Davis,27,113,7,35,11000,Adventure|Biography|Drama,3203,11116,2,PG,7000000,2001,43,6.5
,11,60,,652,10000,Action|Drama|Mystery|Sci-Fi,25329,12051,1,TV-14,,,794,7.4
Yash Chopra,29,192,147,397,8000,Drama|Musical|Romance,34449,9984,0,,7000000,2004,860,7.9
David Mamet,158,99,342,501,1000,Drama|Sport,18561,2158,0,R,7000000,2008,518,6.8
Jay Duplass,223,91,157,224,490,Comedy|Drama|Romance,29967,1136,2,R,7000000,2010,259,6.3
Kevin Brodie,25,100,0,359,655,Drama|Family,781,1906,0,PG,7000000,1999,476,6.3
Paul Schrader,97,105,261,617,783,Biography|Crime|Drama,11387,2684,3,R,7000000,2002,658,6.6
George Hickenlooper,117,99,60,628,4000,Biography|Drama,18355,6526,0,R,7000000,2006,787,6.4
Lynne Ramsay,389,112,159,77,3000,Drama|Thriller,95529,3547,0,R,7000000,2011,294,7.5
John Stephenson,9,100,0,149,2000,Drama|Family,844,2909,0,PG,,2013,627,5.8
Tim Chambers,34,99,2,455,1000,Drama|Sport,1119,2589,2,G,7000000,2009,690,6.5
Curtis Hanson,7,100,161,172,10000,Comedy|Drama|Family,3114,11059,0,R,7000000,1983,422,4.8
Rodrigo García,161,125,127,798,6000,Drama|Romance,9727,8876,6,R,4825000,2009,941,7.2
Dick Richards,6,107,6,375,963,Adventure|Drama|Romance|War,2215,2209,1,PG,9000000,1977,750,6.3
Jean-Marie Poiré,16,107,8,39,106,Comedy|Fantasy|Sci-Fi,24438,215,1,R,50000000,1993,54,7.0
Sofia Coppola,301,97,0,106,227,Comedy|Drama,35848,684,0,R,7000000,2010,218,6.3
Bob Gosse,52,105,10,184,756,Comedy,7412,1417,1,R,,2009,216,5.3
Alex Zamm,12,95,43,611,1000,Comedy,5143,5213,1,PG-13,10000000,1998,788,2.3
Spencer Susser,134,106,58,973,23000,Drama,43965,44969,0,R,7000000,2010,20000,7.1
Richard Shepard,151,93,47,13,554,Comedy|Crime|Drama,21243,1105,2,R,,2013,524,6.2
Gus Van Sant,103,103,835,,13000,Adventure|Drama|Mystery,15104,13000,0,R,3500000,2002,0,6.2
Thaddeus O'Sullivan,39,96,5,52,766,Drama|Romance,1966,1251,3,R,7000000,2002,358,6.7
Peter Sollett,133,103,6,935,7000,Biography|Drama|Romance,5863,9660,0,PG-13,7000000,2015,1000,6.5
Shari Springer Berman,104,108,30,281,474,Comedy,4124,2029,4,R,7000000,2010,403,5.9
Aleksey German,121,177,23,0,4,Drama|Sci-Fi,2518,8,0,Not Rated,7000000,2013,4,6.7
Stephen Milburn Anderson,27,118,0,410,26000,Comedy|Crime|Thriller,7663,27756,2,R,7000000,2010,854,6.0
Richard E. Grant,49,97,554,530,876,Drama,2670,2544,3,R,7000000,2005,838,6.9
Troy Duffy,100,102,78,184,12000,Action|Crime|Thriller,197845,12680,2,R,7000000,1999,333,7.9
David Lam,12,92,4,4,91,Action|Crime,383,198,1,,7000000,2014,82,5.3
Francis Ford Coppola,112,88,0,507,1000,Comedy|Fantasy|Horror|Mystery,8589,3150,0,R,7000000,2011,844,4.8
Vladlen Barbe,10,80,0,26,99,Adventure|Animation|Family,1159,218,1,PG,7000000,2012,62,5.3
Richard Rich,2,45,24,29,122,Action|Adventure|Animation|Comedy|Drama|Family|Fantasy|Thriller,192,236,0,,7000000,2014,35,6.0
Clint Eastwood,38,115,16000,240,16000,Western,39451,17209,0,R,6900000,1985,455,7.3
Robert C. Cooper,18,97,49,687,878,Action|Adventure|Drama|Fantasy|Sci-Fi,15862,4334,5,,,2008,847,7.4
Richard Linklater,152,102,0,787,14000,Comedy,120036,18643,1,R,6900000,1993,1000,7.7
Kenny Ortega,44,111,197,578,755,Comedy|Drama|Family|Music|Musical|Romance,39786,3009,5,TV-G,7000000,2007,632,4.8
Kim Nguyen,6,96,16,63,149,Drama|Romance,33,414,0,,8700000,2016,147,7.2
Jackie Earle Haley,46,94,0,493,15000,Crime|Drama|Thriller,5255,17377,3,,7000000,2015,725,5.8
Max Färberböck,63,125,4,36,177,Biography|Drama|Romance|War,5153,333,1,,15000000,1999,66,7.3
Arie Posin,74,108,3,436,710,Comedy|Drama,16299,2119,1,R,6800000,2005,697,7.0
Damian Nieman,25,101,0,83,240,Crime|Thriller,10771,490,8,R,6800000,2003,83,6.4
Mark Tonderai,224,101,13,261,34000,Drama|Horror|Thriller,58366,35717,1,PG-13,6900000,2012,924,5.6
Denis Villeneuve,226,139,777,58,131,Drama|Mystery|War,80429,343,0,R,6800000,2010,66,8.2
Gabriele Muccino,36,125,125,11,60,Comedy|Drama|Romance,3548,132,1,R,5000000,2003,29,6.5
Ian Fitzgibbon,54,88,11,415,1000,Action|Comedy|Crime|Drama|Romance|Thriller,5133,2728,8,R,,2009,418,6.4
José Padilha,142,115,294,15,585,Action|Crime|Drama|Thriller,81644,666,1,R,4000000,2007,39,8.1
John R. Leonetti,271,99,40,300,1000,Horror|Mystery,81699,2323,0,R,6500000,2014,421,5.4
Rachel Perkins,33,88,3,38,46,Comedy|Drama|Musical,1388,225,7,PG-13,6500000,2009,46,6.3
John Singleton,64,112,309,15,27,Crime|Drama,94139,106,2,R,6000000,1991,26,7.8
Luis Valdez,18,108,7,51,699,Biography|Drama|Music,21409,936,1,PG-13,6500000,1987,63,6.8
Alan Alda,6,107,0,146,804,Comedy|Drama,3157,1285,2,PG,,1981,167,7.2
Brian De Palma,121,104,0,517,754,Mystery|Romance|Thriller,23986,2442,0,X,6500000,1980,567,7.1
Stephen Sommers,14,108,208,689,876,Adventure|Comedy|Drama|Family,6384,4840,0,PG,6500000,1993,827,6.2
Doug Liman,137,102,218,376,900,Comedy|Crime,59474,2475,3,R,6500000,1999,563,7.3
Nicole Holofcener,111,88,132,180,435,Comedy|Drama|Romance,19715,1140,2,R,6500000,2006,230,5.9
Robert Wise,57,115,338,45,116,Sci-Fi|Thriller,25857,394,0,G,6500000,1971,112,7.2
Louis Morneau,97,91,38,91,730,Horror|Sci-Fi|Thriller,8294,1405,0,PG-13,6500000,1999,461,3.6
Caroline Link,73,141,11,8,56,Biography|Drama,10672,105,0,R,7000000,2001,36,7.7
Steve McQueen,486,101,0,726,13000,Drama,145395,15230,0,NC-17,6500000,2011,898,7.3
Matthew Vaughn,149,105,905,466,27000,Crime|Drama|Thriller,134070,29277,1,R,4000000,2004,594,7.4
Sterling Van Wagenen,4,100,0,266,1000,Drama|Western,564,1942,2,PG-13,6500000,2005,373,6.6
Zal Batmanglij,200,116,129,782,10000,Drama|Thriller,41856,13180,4,PG-13,6500000,2013,918,6.9
Michael Mayer,84,97,15,874,18000,Drama|Romance,12049,21107,2,R,6500000,2004,986,6.8
Hans Petter Moland,28,106,19,0,844,Drama,2601,846,0,,6500000,2000,2,7.3
Oren Moverman,217,105,38,706,12000,Drama|Romance|War,29608,14462,0,R,6500000,2009,712,7.2
Ian Sharp,12,102,9,368,1000,Action|Adventure|Drama|Western,2892,1904,0,R,6500000,2010,433,6.5
Anton Corbijn,183,122,210,471,845,Biography|Drama|Music,51353,2614,1,R,4500000,2007,631,7.7
James Cameron,204,107,0,255,2000,Action|Sci-Fi,600266,3582,1,R,6500000,1984,663,8.1
Wolfgang Becker,153,121,31,43,65,Drama|Romance,114407,200,2,R,4800000,2003,51,7.7
Tom Hooper,145,98,0,27,1000,Biography|Drama|Sport,32307,1163,2,R,10000000,2009,54,7.6
Dan O'Bannon,203,108,228,358,431,Comedy|Horror|Sci-Fi,39856,2020,0,R,4000000,1985,426,7.3
,10,55,,5,18,Crime|Drama|Thriller,9638,39,5,TV-MA,,,9,8.7
Kevin Smith,93,123,0,781,1000,Comedy|Romance,99033,3254,6,R,6000000,1995,898,7.2
Randal Kleiser,124,110,116,898,1000,Musical|Romance,170027,5127,2,PG-13,6000000,1978,944,7.2
Oliver Stone,120,120,0,576,40000,Drama|War,291603,42028,0,R,6000000,1986,854,8.1
Michael Moore,288,122,909,282,503,Documentary|Drama|War,113152,1448,0,R,6000000,2004,328,7.5
George Roy Hill,130,110,131,399,640,Biography|Crime|Drama|Western,152089,2169,1,M,6000000,1969,566,8.1
Robert Stevenson,145,139,55,266,382,Comedy|Family|Fantasy|Musical,107408,2045,2,Approved,6000000,1964,279,7.8
Robert Redford,62,124,0,535,2000,Drama,35130,5122,3,R,6000000,1980,553,7.8
Frank Coraci,188,120,153,447,1000,Action|Adventure|Comedy,68722,3175,0,PG,110000000,2004,1000,5.8
Jerome Robbins,120,152,34,249,804,Crime|Drama|Musical|Romance|Thriller,71919,1802,0,Unrated,6000000,1961,271,7.6
Harold Ramis,71,98,11000,484,13000,Comedy|Sport,81599,14921,3,R,6000000,1980,573,7.4
Gary Hardwick,52,106,10,578,3000,Comedy|Drama,3198,6419,4,R,6000000,2001,685,6.3
Rick Famuyiwa,18,106,44,328,865,Comedy|Drama|Romance,6585,2724,0,R,6000000,1999,405,6.9
Bryan Singer,162,106,0,574,18000,Crime|Drama|Mystery|Thriller,740918,20821,4,R,6000000,1995,979,8.6
