director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,country,title_year,aspect_ratio
406,152,Tim Abell,358,Action|Mystery|Thriller,Tom Stedham,0,military|submarine|suspense|time travel|world war two,16,USA,2015,
33,135,Katherine Boecher,1000,Comedy|Drama,Dave Allen,1,audition|friendship|graduation|high school graduation|love,578,USA,2002,1.85
0,120,Katherine Waterston,322,Mystery|Thriller,Christopher Denham,3,cabin|going in circles|pac man|stranger|woods,45,USA,2011,
0,15,Christian Alvarez,159,Crime|Drama,Claudette Lalí,1,,1,Dominican Republic,2012,16.0
0,212,Randy Jay Burrell,918,Action|Romance|Sport,Vincent De Paul,0,fighting|karate,2,USA,2016,
163,303,Barry Bostwick,636,Horror|Musical,Terrance Zdunich,5,carnival|devil|redemption|reference to god,20,USA,2016,1.78
0,33,Jennifer Landa,84,Comedy|Mystery|Thriller,Felix Avitia,0,,1,USA,2014,
431,317,Joel Paul Reisig,466,Family,Yassie Hawkes,2,,4,USA,2016,
0,0,Sarah Callan,0,Action|Biography|Documentary|Sport,Laura Flanders,1,three word title,10,USA,2014,
0,53,Jeff Delaney,385,Family,Jamison Stalsworth,2,,1,USA,2016,16.0
0,11000,Mila Kunis,44000,Adventure|Family|Fantasy,James Franco,4,circus|magic|magician|oz|witch,511,USA,2013,2.35
6,10,Mark Torgl,488,Action|Comedy|Horror|Sci-Fi,Pat Ryan,0,boy|health club|superhero|toxic waste|troma,147,USA,1984,1.85
10,10,George T. Odom,353,Crime|Drama,Matty Rich,4,domestic violence|housing project|new york city|poverty|racism,11,USA,1991,1.85
521,80,Nicholas Farrell,773,Drama|History|War,Tim Pigott-Smith,0,civil rights|irish|march|northern ireland|protest march,120,UK,2002,1.85
5,237,Dennis L.A. White,472,Action,Fredro Starr,6,prison|prisoner|reverend|terminal illness|two word title,5,USA,2015,
3,446,Thomas Lennon,10000,Comedy|Drama|Romance,Nora Zehetner,0,female frontal nudity|filming a wedding|lingerie slip|memory|wedding,54,UK,2005,2.39
365,49,Lloyd Kaufman,907,Comedy|Horror|Musical,Kate Graham,0,castration|chicken|fast food|indian burial ground|protest,58,USA,2006,1.85
0,304,Cheyenne Jackson,873,Comedy|Romance,Michael Stahl-David,1,bromance|manhattan new york city|new york city|photograph|surprise,3,USA,2013,
24,45,Dick Powell,610,Comedy|Musical|Romance,George Brent,2,chorus girl|chorus line|director|gala premiere|song,97,USA,1933,1.37
0,0,Jack Canfield,8,Documentary,Eric Worre,0,business|entrepreneur|network marketing,10,USA,2014,
89,3,Taylor Nichols,88,Comedy|Drama|Romance,Ellia Thompson,1,apartment|dancing|debutante|new york|upper class,52,USA,1990,1.66
10,19,Frida Hallgren,690,Comedy|Drama|Music|Romance,Nils-Anders Vallgårda,15,amazing grace the hymn|choir|heart attack|hometown|skidding truck,94,Sweden,2004,1.85
15,93,Ace Marrero,847,Drama|Horror|Mystery|Thriller,Alan Pietruszewski,0,dog|gun|hostage|husband wife relationship|jealousy,6,USA,2013,16.0
100,482,Diedrich Bader,970,Comedy,Jon Gries,0,class president|family relationships|friend|high school|jock,1473,USA,2004,1.85
57,92,Eve Plumb,1000,Crime|Drama|Thriller,Amy Hargreaves,0,blood splatter|car|neo noir|vengeance|vomiting,135,USA,2013,2.35
110,21,Ashley Palmer,189,Horror,Amber Armstrong,0,dark force|entity|evil force|found footage|paranormal phenomenon,1189,USA,2007,1.85
147,5,Jay Adams,22,Documentary|Sport,Jeff Ament,0,california|drought|playground|skateboarding|surfer,88,USA,2001,1.37
0,332,Michael Palin,795,Adventure|Comedy|Fantasy,Terry Jones,0,camelot|holy grail|king arthur|knight|lancelot,660,UK,1975,1.66
25,138,Jesse Garcia,231,Drama,Alicia Sixtos,1,15th birthday|birthday|gay|party|security guard,48,USA,2006,2.35
14,6,Sue Corcoran,361,Comedy|Fantasy|Horror|Musical,David Frederick White,2,conspiracy|feminist|hippie|motorcycle|slapstick comedy,18,USA,2003,1.78
,833,Masi Oka,1000,Drama|Fantasy|Sci-Fi|Thriller,Greg Grunberg,4,father daughter relationship|serial killer|superhero|supernatural power|vision of the future,379,USA,,16.0
20,0,Jonathan Caouette,58,Biography|Documentary,Renee Leblanc,3,answering machine|home movie|lithium|schizophrenic|video diary,114,USA,2003,1.37
4,12,Chris Cox,93,Documentary,Mike Huckabee,0,,31,USA,2010,1.78
0,271,Paul Elia,935,Comedy|Horror,Alex Sanborn,3,bigfoot|love|monster|sasquatch|tourist,5,USA,2014,
385,22,David Warbeck,48,Horror,Al Cliver,0,doctor|hell|hotel|painter|plumber,253,Italy,1981,2.35
,6,Ron Lynch,59,Animation|Comedy|Drama,Melissa Bardin Galsky,0,coach|friend|school|series|tv series,82,USA,,1.33
12,149,Andrew Daly,642,Comedy|Romance,Michelle Krusiec,2,casino|father son relationship|jackpot|judge|wedding,151,USA,2008,2.35
3,39,Jeff Seymour,108,Horror|Thriller,Gordon Currie,0,brain tumor|champagne|game|psychiatrist|weekend,52,Canada,2005,1.85
350,33,Roshan Seth,114,Comedy|Drama|Romance,Garry Cooper,1,england|mistress|pakistani|politics|thatcher,64,UK,1985,1.66
0,36,Adam LeFevre,169,Drama|Horror|Mystery|Thriller,Desmond Askew,0,,10,USA,2002,1.78
0,83,Michelle Nolden,918,Drama|Thriller,Gabriel Hogan,0,bathtub|implied incest|lesbian|squeegee|tied to a chair,5,Canada,2004,1.78
0,92,Ingrid Thulin,440,Drama,Erland Josephson,0,dying|love|mansion|selfishness|turn of the century,197,Sweden,1972,1.66
204,9,Mae Marsh,436,Drama|History|War,Walter Long,1,huguenot|intolerance|medicis|protestant|wedding,88,USA,1916,1.33
3,513,DeForest Kelley,643,Documentary,James Doohan,1,autograph|dentist|outer space|star trek|telephone call,75,USA,1997,
4,4,Bessie Love,77,Musical|Romance,Charles King,8,sibling rivalry|singer|sister act|whistling|wisecrack humor,71,USA,1929,1.37
0,58,Betsy Baker,634,Fantasy|Horror,Ellen Sandweiss,0,cult director|cult film|evil dead|necronomicon|psychotronic film,740,USA,1981,1.37
33,118,Nora Arnezeder,470,Horror|Thriller,Liane Balaban,0,exhibition|mannequin|obsession|oral sex|photographer,131,France,2012,2.35
0,,,3,Documentary|History,,0,,3,Israel,2015,1.78
30,0,Joe Bishop,15,Documentary|Sport,Andy Cohn,1,paralympics|quad rugby|rugby|team|wheelchair,70,USA,2005,1.85
44,93,Steve James,615,Action|Drama,Larry Poindexter,0,blood splatter|island|motorboat|ninja|sequel to cult film,46,USA,1987,1.85
0,0,Ellen Block,0,Documentary,Mike Block,2,address as title|number in title|parents,16,Germany,2005,
,576,Tracy Spiridakos,2000,Action|Adventure|Drama|Sci-Fi,David Lyons,6,2020s|near future|one word series title|post apocalypse|year 2027,323,USA,,16.0
0,0,Natalie Welch,196,Family|Sci-Fi,Christian Kapper,2,drone|playing with gun|post apocalypse|road trip|working class family,8,USA,2015,2.35
0,598,Donald Pleasence,2000,Horror|Thriller,P.J. Soles,0,halloween|masked killer|michael myers|slasher|trick or treat,1191,USA,1978,2.35
0,253,Lee J. Cobb,359,Crime|Drama,John Fiedler,1,courtroom|dialogue driven|dialogue driven storyline|jury|murder,888,USA,1957,1.66
3,258,Peter Gerety,812,Animation|Drama,Lynn Redgrave,0,autobiography|dog movie|german shepherd|memoir|old man,15,USA,2009,1.85
964,21,Alan Hale,380,Comedy|Romance,Walter Connolly,1,bus|detective|love|money|reporter,235,USA,1934,1.37
252,14,Mary Tsoni,47,Drama|Thriller,Sissy Petropoulou,0,fellatio|isolated house|overprotective father|social isolation|unsimulated sex,170,Greece,2009,2.35
2,321,Gary Coleman,786,Biography|Documentary|Music,Todd Bridges,0,hip hop|name in title|rap star|rapper|reference to tupac shakur,32,USA,2003,1.85
149,276,Janet McTeer,409,Comedy|Drama,Lois Smith,1,boss|fight|reference to william shakespeare|white trash|written and directed by cast member,73,USA,1999,1.85
10,912,Adam Goldberg,10000,Action|Fantasy|Horror|Mystery|Thriller,Virginia Madsen,0,angel|corpse|girl|heaven|soul,194,USA,1995,2.35
82,8,Zinedine Soualem,75,Comedy|Romance,Jane Bradbury,7,cat|homosexual sex|male homosexuality|neighborhood|noisy neighbor,25,France,1996,1.66
54,543,Adrian Martinez,1000,Comedy|Drama,Derek Luke,3,apartment|oven|stove|thanksgiving|thanksgiving dinner,177,USA,2003,1.85
7,2,Mark Caven,19,Drama,Thierry Harcourt,0,breasts|female frontal nudity|jealousy|male full frontal nudity|male nudity,7,UK,1998,1.33
129,26,Lucy,52,Drama,Will Oldham,2,cell phone|male frontal nudity|oregon|sexual ambiguity|title directed by female,57,USA,2006,1.66
129,26,Lucy,375,Drama,Will Oldham,1,car|dog|flip phone|rape threat|vulnerable,112,USA,2008,1.85
5,301,Edie Falco,795,Drama,Kathryn Erbe,0,number in title,23,USA,2010,
0,0,Anna Karina,710,Crime|Drama|Romance,Graziella Galvani,1,beach|money|on the run|party|smuggling,74,France,1965,2.35
0,,Beatrice Ntuba,2,Documentary,,1,,8,Cameroon,2005,
95,,,,Documentary,,0,eastern philosophy|healing|india|life,12,India,2001,1.85
0,87,Gloria Foster,581,Drama|Romance,Ivan Dixon,1,1960s|father|railroad|town|worker,26,USA,1964,
37,104,Eli Marienthal,318,Drama|Romance,Natasha Gregson Wagner,0,listening to music|misfit|panties|red panties|sex,16,USA,1997,
3,25,Eddie Jones,54,Drama|Sport,Christina Chambers,0,older man younger man relationship|punching bag|school teacher|undressing|unrequited love,23,USA,2004,2.35
0,32,Alexander Wraith,502,Action|Thriller,Darren Kendrick,0,assassin|female assassin|kingdom|martial arts|mission,18,USA,2009,
278,107,T.V. Carpio,5000,Drama|Fantasy|Musical|Romance,Robert Clohessy,0,anti war|liverpool|love|protest|song,524,USA,2007,2.35
44,221,Elizabeth Stenholt,644,Drama|Music,Mary Norwood,0,,1,USA,2015,
43,668,David Carradine,13000,Action|Comedy|Sci-Fi|Sport,Martin Kove,0,cult director|cult film|drive in classic|psychotronic|race,147,USA,1975,1.85
0,309,Ricky Schroder,685,Thriller,Jon Polito,3,digit in title|latino|life or death|philosophy|supernatural,5,USA,2014,1.85
0,87,Wilhelm von Homburg,156,Horror,Thom Mathews,0,cigarette smoking|death|devil|nightmare|satanic cult,4,USA,1990,
3,248,Joanna Cassidy,500,Comedy|Drama|Romance,Ryan Carnes,7,divorce|marriage|mother daughter relationship|sex|teenage boy,7,USA,2010,
77,0,Pierre Prieur,19,Drama|Musical|Romance,Raquel Nave,0,full frontal nudity|group shower|male full frontal nudity|male nudity|shower,1,France,2015,1.78
5,180,Carmen Argenziano,431,Horror|Mystery,Vanna White,0,coach|mask|school principal|team|track,58,USA,1981,1.85
19,313,Barry Bostwick,778,Comedy|Crime|Drama|Horror|Mystery|Thriller,Ahmed Best,2,,58,USA,2011,1.85
25,235,Matt Servitto,601,Biography|Crime|Drama|Thriller,James McCaffrey,0,authority|boss subordinate relationship|fast food restaurant|gullibility|telephone call,175,USA,2012,2.35
0,781,Ethan Suplee,13000,Comedy|Drama|Romance,Joey Lauren Adams,5,comic book|friendship|gay|lesbian|secret,500,USA,1997,1.85
132,225,Brenda Blethyn,400,Comedy|Drama|Romance,Raven Goodwin,3,african american|dog|homecoming queen|insecurity|surgery,85,USA,2001,1.85
2,99,Robert Miano,466,Action|Adventure|Mystery|Romance|Thriller,Ron Roggé,2,murder|oppression|rebirth|reincarnation|revenge,,USA,2010,1.85
681,13,Jason Tobin,94,Crime|Drama|Romance,Collin Kahey,1,asian american|high school|overachiever|pubic hair|vomiting,138,USA,2002,1.85
4,10,Laurel Holloman,360,Comedy|Drama|Romance,Stephanie Berry,0,caught having sex|class|friend|lesbian|lesbian sex,36,USA,1995,1.85
44,129,Mike White,625,Comedy|Drama,Chris Weitz,0,best friend|bisexuality|friend|gay kiss|sexuality,136,USA,2000,1.85
0,51,Rizwan Manji,250,Comedy|Drama|Romance,Anil Kumar,2,college|desi|heritage|india|indian american,40,USA,2001,1.85
0,185,Nicholas Simmons,569,Action|Crime|Drama,Barbie Castro,0,,,USA,2014,
165,319,Julian Richings,686,Mystery|Sci-Fi|Thriller,Nicole de Boer,0,escape|labyrinth|maze|red light|trap,696,Canada,1997,1.85
0,62,Frances O'Connor,991,Comedy|Romance,Matt Day,1,film school|love|medical student|student|university,21,Australia,1996,
45,0,Bill Martone,5,Animation|Comedy|Drama|Fantasy|Sci-Fi,Richard Spore,0,claim in title|exclamation point in title|punctuation in title|reference to babe ruth|sex,21,USA,1997,1.85
7,142,Anne Archer,308,Drama|Mystery|Thriller,Nora Dunn,1,female protagonist|murder|photographer|robbery|shot to death,64,USA,2004,1.85
52,224,Charlie Bewley,34000,Drama|Romance,Finola Hughes,1,girlfriend|immigration|long distance relationship|parents|student visa,150,USA,2011,1.78
0,270,Steffinnie Phrommany,471,Horror,Clint Jung,0,blood|teeth,2,USA,2015,16.0
99,181,Rosanna Arquette,793,Comedy|Music,John Doe,2,drugs|music producer|rock music|title directed by female|vegetarian,22,UK,1999,
269,7,Clint Jordan,100,Comedy|Drama,Jackie Nova,1,absent father|asian american|friendship between men|motel|mother son relationship,11,USA,2005,1.85
261,461,Gus Van Sant,924,Drama|Thriller,James Deen,0,cocaine|homosexual|penis|psychopath|pubic hair,87,USA,2013,2.35
,250,James Norton,887,Crime|Drama,Sarah Lancashire,1,caravan|police|police sergeant|tied to a chair|yorkshire,59,UK,,16.0
5,41,Flaco Navaja,68,Drama,Dominic Colón,3,dominican|drug dealer|prison|single mother|teenage pregnancy,15,USA,2004,
337,22,Natalie Canerday,35,Drama|Thriller,Travis Smith,0,bare chested male|half brother|indifference|shotgun|violence,32,USA,2007,2.35
17,289,Luke Mably,766,Mystery|Thriller,Pollyanna McIntosh,0,band aid|hairpin|one day|single set production|unsubtitled foreign language,120,UK,2009,2.35
0,5,Samantha Buck,119,Sci-Fi,Terumi Matthews,0,future|nonlinear timeline|time travel|title directed by female|writer,7,USA,1997,1.85
