director_name,duration,gross,genres,actor_1_name,cast_total_facebook_likes,facenumber_in_poster,content_rating,movie_facebook_likes
Michael Gornick,85,14000000,Comedy|Fantasy|Horror|Thriller,George Kennedy,3617,0,R,1000
Sam Peckinpah,121,,Comedy|Drama|Romance|Western,Slim Pickens,1970,2,R,357
Richard Brooks,134,,Biography|Crime|Drama|History,John Forsythe,970,1,Approved,0
Fred Zinnemann,149,,Drama,Colleen Dewhurst,646,0,Not Rated,930
Jack Smight,121,,Action|Crime|Drama|Mystery|Thriller,Janet Leigh,2402,1,Not Rated,470
Alfred Hitchcock,116,,Thriller,Bernard Cribbins,771,0,R,0
Robert Eggers,92,25138292,Horror|Mystery,Julian Richings,1122,0,R,43000
Michael Martin,93,10305534,Comedy,Joe Estevez,987,2,R,280
Edward Burns,96,9449219,Comedy|Drama|Romance,John Mahoney,995,2,R,453
Bill Condon,105,6390032,Biography|Drama,Brendan Fraser,4238,2,R,0
Juan José Campanella,129,20167424,Drama|Mystery|Thriller,Ricardo Darín,1044,0,R,33000
George A. Romero,87,,Horror,Greg Nicotero,1592,1,Unrated,3000
Gideon Raff,94,,Horror|Thriller,Gideon Emery,836,1,R,804
Sam Raimi,37,5923044,Comedy|Fantasy|Horror|Thriller,Ted Raimi,1347,0,X,0
Louis C.K.,81,3293258,Action|Adventure|Comedy|Musical,Wanda Sykes,2238,0,PG-13,0
Anthony C. Ferrante,97,,Horror,Ian Ziering,3075,0,TV-14,93000
Salvador Carrasco,106,886410,Drama|History,Elpidia Carrillo,222,0,R,140
André Øvredal,103,252652,Comedy|Drama|Fantasy|Horror,Otto Jespersen,44,0,PG-13,38000
Robert Cary,101,220234,Comedy|Romance,Frances Conroy,3574,3,R,360
Akiva Schaffer,102,34350553,Action|Comedy|Sci-Fi,Will Forte,2486,4,R,15000
Adam Rapp,98,101228,Comedy|Drama,Zooey Deschanel,20009,4,R,414
Angela Robinson,91,96793,Action|Comedy|Romance,Jordana Brewster,6380,3,PG-13,1000
Warren P. Sonoda,105,123777,Action|Biography|Crime|Drama|Family|Fantasy,Diahann Carroll,1043,0,PG-13,0
Amanda Gusack,98,,Crime|Drama|Mystery|Thriller,Alice Krige,668,0,,127
Avi Nesher,104,,Action|Comedy|Crime|Thriller,Fisher Stevens,2406,6,R,18
,45,,Drama|Thriller,James Nesbitt,1393,3,,405
Charles Adelman,96,,Horror|Thriller,Teri Polo,2307,0,,211
Jay Oliva,148,,Action|Animation|Crime|Sci-Fi|Thriller,Michael Emerson,5526,0,PG-13,5000
Charles Ferguson,100,29233,Documentary,Jane Goodall,24,0,,121
Uwe Boll,86,,Action|Adventure|Fantasy|Thriller,Bashar Rahal,854,1,R,721
Mark Young,92,,Action|Crime|Drama|Thriller,Alexa PenaVega,3854,2,Not Rated,482
Daniel Petrie Jr.,88,,Drama|Thriller,Chris Brochu,2497,0,,570
Antonio Simoncini,90,,Crime|Mystery|Thriller,Ray Winstone,1183,1,R,606
Mel Brooks,94,,Comedy,Madeline Kahn,2861,0,PG,0
Luc Jacquet,80,77413017,Documentary,Morgan Freeman,11218,0,G,0
J.C. Chandor,107,5354039,Biography|Drama|Thriller,Kevin Spacey,22834,8,R,21000
Eldar Rapaport,99,,Drama|Romance,Murray Bartlett,320,1,Not Rated,224
Clark Gregg,92,2926565,Comedy|Drama,Anjelica Huston,3608,0,R,0
Damien Chazelle,107,13092000,Drama|Music,J.K. Simmons,26495,0,R,129000
Fernando Meirelles,135,7563397,Crime|Drama,Alice Braga,1211,0,R,28000
Justin Kerrigan,99,104257,Comedy|Music,Danny Dyer,1430,2,R,0
Nathan Frankowski,102,,Biography|Drama|Music,Corbin Bleu,1011,7,PG-13,0
Karen Moncrieff,93,17311,Crime|Drama|Mystery,James Franco,11860,0,R,799
Thomas Vinterberg,115,610968,Drama,Thomas Bo Larsen,216,1,R,60000
Bob Clark,94,,Comedy|Family,Zack Ward,2076,0,PG,18000
Alejandro Monteverde,91,8108247,Drama|Romance,Armando Riesco,2747,0,PG-13,0
Mark L. Lester,98,,Action|Crime|Drama|Thriller,Roddy McDowall,1105,4,R,934
Jennifer Finnigan,97,,Comedy,Geoff Stults,3717,5,,0
Eric Styles,92,7680,Drama|Romance,Samantha Morton,2020,0,R,100
Laurent Cantet,128,3766595,Drama,François Bégaudeau,17,7,PG-13,0
Roman Polanski,136,,Drama|Horror,John Cassavetes,2997,0,R,13000
John Ford,113,,Drama|Western,Lee Marvin,2693,1,Approved,0
Max Mayer,99,2277396,Drama|Romance,Peter Gallagher,1936,0,PG-13,0
Joshua Marston,101,6517198,Crime|Drama,Catalina Sandino Moreno,308,0,R,0
Mike Mills,105,5776314,Comedy|Drama|Romance,Goran Visnjic,2016,4,R,15000
John Gulager,95,,Action|Comedy|Horror|Thriller,Krista Allen,170118,0,R,0
John Landis,109,141600000,Comedy,John Belushi,3468,6,R,0
Guy Hamilton,110,51100000,Action|Adventure|Thriller,Honor Blackman,1198,2,Approved,0
Brandon Cronenberg,108,,Horror|Sci-Fi|Thriller,Sarah Gadon,1962,0,Not Rated,0
Frank Capra,118,,Drama|Family|Fantasy|Romance,Donna Reed,1844,0,PG,41000
Danny Boyle,94,16501785,Drama,Kelly Macdonald,3559,4,R,21000
Spike Lee,115,38168022,Comedy|Documentary,Bernie Mac,1964,0,R,290
Tod Williams,98,84749884,Horror,Sprague Grayden,1081,0,R,14000
Kirk Jones,91,24788807,Comedy,James Nesbitt,1965,0,PG,0
Michael Moore,120,21244913,Crime|Documentary|Drama,Michael Moore,1779,2,R,4000
Yimou Zhang,109,377420,Drama,Li Gong,900,1,PG-13,0
Jack Sholder,87,30000000,Fantasy|Horror,Clu Gulager,1472,0,R,0
James Ivory,117,20966644,Drama|Romance,Julian Sands,1665,0,Unrated,0
James DeMonaco,85,64423650,Horror|Sci-Fi|Thriller,Rhys Wakefield,3708,0,R,31000
Scott Derrickson,110,48056940,Horror|Mystery,Danielle Kotch,2239,0,R,58000
David Raynr,113,19184015,Biography|Comedy|Documentary,Nancy O'Dell,159,1,R,63
Richard Brooks,108,,Drama|Romance,Burl Ives,649,0,Approved,0
Ted Post,95,,Action|Adventure|Sci-Fi,Linda Harrison,1186,0,G,0
Charles Martin Smith,98,24629916,Comedy|Drama|Family|Sport,Kevin Zegers,4277,0,PG,902
Kunihiko Yuyama,93,,Action|Adventure|Animation|Family|Fantasy|Sci-Fi,Veronica Taylor,373,0,G,38
Tom McLoughlin,86,19472057,Horror|Thriller,Tony Goldwyn,1862,0,R,0
David Lean,161,27200000,Adventure|Drama|War,William Holden,1035,2,PG,0
Patrick Read Johnson,100,15369573,Adventure|Comedy|Sci-Fi,Ariana Richards,1441,1,PG,710
Alfred Hitchcock,120,,Comedy|Thriller,Ed Lauter,2811,1,PG,609
Billy Wilder,125,,Comedy|Drama|Romance,Fred MacMurray,1328,2,Approved,0
Adam Marcus,91,15935068,Fantasy|Horror|Thriller,Kane Hodder,2899,0,R,949
Alfred Hitchcock,128,,Thriller,Tamara Toumanova,70,1,Approved,933
Michel Gondry,100,11694528,Comedy|Documentary|Music,Common,2165,0,R,635
John Maclean,84,229094,Western,Michael Fassbender,14696,2,R,0
Michael Schultz,97,,Comedy|Drama|Music,Blair Underwood,1163,0,R,889
Benny Boom,84,10017041,Action|Comedy|Crime,Omari Hardwick,4815,3,R,545
Richard Brooks,146,,Drama,Shirley Jones,1444,1,Approved,808
Stanley Kramer,186,,Drama|War,Maximilian Schell,3847,0,Not Rated,0
David Raynr,94,9016377,Comedy,Donald Faison,1936,3,R,143
,11,,Animation|Comedy,Matthew Senreich,11,0,TV-MA,1000
Howard Hawks,126,,Action|Adventure|Romance|Western,Montgomery Clift,2269,0,Approved,0
Nnegest Likké,99,7059537,Comedy,Mo'Nique,2321,0,PG-13,837
Richard Linklater,109,8114507,Drama|Romance,Seamus Davey-Fitzpatrick,328,1,R,62000
Christopher Leitch,95,7888703,Comedy|Fantasy,John Astin,1389,1,PG,491
Don Coscarelli,97,7282851,Action|Fantasy|Horror|Sci-Fi|Thriller,Angus Scrimm,1395,1,R,812
Michael Schultz,94,6879730,Drama,Loretta Devine,3049,0,R,187
Patricia Cardoso,90,5844929,Comedy|Drama,America Ferrera,2510,1,PG-13,595
,197,,Drama|War,Rachel Griffiths,1400,0,,367
Deepa Mehta,117,3222857,Drama|Romance,John Abraham,1394,0,PG-13,0
Damien O'Donnell,96,4170647,Comedy|Drama,Archie Panjabi,1616,0,R,1000
Peter M. Cohen,82,4142507,Comedy|Romance,Callie Thorne,858,1,R,131
Mira Nair,109,4109095,Crime|Drama|History|Romance,Indira Varma,1292,0,R,0
Nicole Holofcener,90,4033268,Comedy|Drama,Oliver Platt,3692,0,R,0
Mel Stuart,89,,Family|Fantasy|Musical,Peter Ostrum,1011,1,G,0
Anthony Hickox,98,3902679,Fantasy|Horror,Julian Sands,1806,0,R,217
Tom Schulman,95,3559990,Comedy|Crime,Kristy Swanson,1363,0,R,417
Terrence Malick,94,,Drama|Romance,Sam Shepard,1618,0,PG,0
Jill Sprecher,104,3287435,Drama,Matthew McConaughey,12250,2,R,430
Darren Stein,87,3071947,Comedy|Crime|Thriller,Julie Benz,9555,3,R,0
Julian Schnabel,108,2961991,Biography|Drama,Gary Oldman,11459,4,R,0
Noah Baumbach,86,4063238,Comedy|Drama|Romance,Greta Gerwig,2260,0,R,11000
Gavin Hood,94,2912363,Crime|Drama,Terry Pheto,278,1,R,0
Todd Solondz,134,3000000,Comedy|Drama,Philip Seymour Hoffman,36859,9,,0
George Gallo,89,2223990,Comedy|Documentary,Eddie Griffin,539,1,R,26
Kevin Smith,102,1821983,Comedy|Drama|Horror,Johnny Depp,43810,0,R,20000
Chan-wook Park,120,2181290,Drama|Mystery|Thriller,Min-sik Choi,852,0,R,43000
David Nixon,110,2848578,Drama|Family,Robyn Lively,1567,0,PG,0
Jason Eisener,86,703002,Action|Comedy|Thriller,Gregory Smith,1249,4,Not Rated,37000
Enrique Begne,101,3105269,Action|Comedy,Kevin Pollak,1335,2,R,174
Matthew Bright,102,,Comedy|Crime|Drama|Thriller,Bokeem Woodbine,1663,1,R,0
Michael Landon Jr.,87,252726,Drama|Family|Western,William Morgan Sheppard,2715,0,PG,76
Andrea Arnold,123,373060,Drama,Michael Fassbender,13636,0,Not Rated,0
Whit Stillman,99,1007535,Comedy|Drama|Romance,Greta Gerwig,2452,5,PG-13,0
,173,,Horror|Sci-Fi|Thriller,Craig T. Nelson,3149,3,,518
Leslye Headland,87,418268,Comedy|Romance,Kirsten Dunst,8353,3,R,0
,44,,Comedy|Drama|Horror|Sci-Fi|Thriller,Danny Pino,1551,0,,3000
Bobby Roth,120,,Drama|Family|Music,Virginia Madsen,2330,2,PG-13,47
Tim Heidecker,93,200803,Comedy,Michael Gross,1467,3,R,0
Rupert Wyatt,111,33631221,Crime|Drama|Thriller,George Kennedy,3784,1,R,0
,60,,Drama,Susan Hampshire,158,0,,450
Marco Kreuzpaintner,98,95016,Comedy|Drama|Romance|Sport,Alicja Bachleda,362,0,R,442
Kate Connor,100,73678,Drama|History|War,Johnny Pacar,4374,1,R,348
Deon Taylor,88,143000,Horror|Thriller,Matt Cohen,1495,0,R,0
Jason Alexander,97,39852,Comedy|Drama,Gretchen Mol,1030,1,R,117
Xavier Gens,122,22000,Drama|Sci-Fi|Thriller,Michael Biehn,4920,4,R,0
Conor McPherson,86,128937,Drama|Horror|Romance,Aidan Quinn,975,0,R,580
Will Canon,83,,Horror|Thriller,Frank Grillo,4756,1,R,0
Philip Zlotorynski,80,,Comedy,Neil Hopkins,313,1,R,48
Tim Burton,108,334185206,Adventure|Family|Fantasy,Johnny Depp,79957,0,PG,24000
Lance Kawas,90,,Comedy,Taylor Negron,3882,1,PG-13,54
Francesca Gregorini,96,5005,Drama,Tom Everett Scott,1929,2,R,448
Marcio Garcia,85,,Action|Drama|Thriller,John Savage,844,3,,433
David Wain,83,,Comedy,Christopher Meloni,7191,2,R,0
Craig Moss,80,,Comedy,French Stewart,845,0,R,2000
Michael Jai White,90,,Action|Drama|Sport,Michael Jai White,3666,3,R,6000
John Boorman,92,,Crime|Thriller,Lee Marvin,2715,0,Approved,3000
Paolo Monico,100,,Comedy,Stephanie Szostak,2890,0,,32
Youssef Delara,88,,Thriller,Noel Gugliemi,4469,0,,406
Darin Scott,95,,Drama|Horror|Mystery|Thriller,Julian Morris,3024,2,R,395
Christian Sesma,82,,Thriller,Bokeem Woodbine,4092,4,R,398
