actor_3_facebook_likes,gross,genres,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,country,content_rating,imdb_score
11,44566004,Drama,Lost in Translation ,321283,32015,Catherine Lambert,0,fish out of water|japanese|loneliness|older man younger woman relationship|unlikely friendship,1848,USA,R,7.8
629,39200000,Comedy|Romance,Annie Hall ,192940,12691,Shelley Duvall,0,breaking the fourth wall|comedian|jewish|neurosis|singer,491,USA,PG,8.1
132,36000000,Drama|Family|Romance,The Greatest Show on Earth ,9456,825,Cornel Wilde,0,circus|clown|elephant trainer|trapeze|trapeze artist,107,USA,Not Rated,6.7
748,65007045,Action|Adventure|Drama,Exodus: Gods and Kings ,128694,26489,Ben Mendelsohn,0,egypt|exodus|moses|pharaoh|plague,657,UK,PG-13,6.1
80,31252964,Drama|Romance,Monster's Ball ,71495,13707,Marcus Lyle Brown,1,cunnilingus|female frontal nudity|female nudity|interracial sex|rear entry sex,522,USA,R,7.1
428,131175,Drama|Horror,Maggie ,30219,1885,David A Cole,2,father daughter relationship|playing against type|post apocalypse|protective father|zombie apocalypse,200,USA,PG-13,5.6
687,31968347,Drama|Romance,Leaving Las Vegas ,93894,14823,Julian Sands,0,alcoholic|bar|love|prostitute|sex,286,USA,R,7.6
555,,Comedy|Horror,Hansel & Gretel Get Baked ,2806,2634,Lochlyn Munro,0,hansel and gretel|lesbian kiss|marijuana|witch|witchcraft,11,USA,,4.3
358,,Comedy|Horror|Sci-Fi,The Return of the Living Dead ,39857,2020,Beverly Randolph,0,crematorium|female frontal nudity|naked dead woman|paramedic|poison gas,300,USA,R,7.3
116,,Comedy|Drama|Romance,The Front Page ,9007,1218,David Wayne,2,1920s|communist|escape from jail|newspaper|reporter,50,USA,PG,7.3
326,35385560,Mystery|Thriller,The Boy Next Door ,27198,4807,Adam Hicks,1,adultery|argument|older woman younger man relationship|oral sex|sex scene,131,USA,R,4.6
69,,Drama|Romance,Trapeze ,3102,986,Sidney James,0,acrobat|circus|cripple|trapeze|trapeze artist,35,USA,Approved,6.8
904,,Drama|Fantasy,Saving Grace             ,3852,5203,Bokeem Woodbine,1,catholic|death row|inmate|oklahoma city|sexual promiscuity,47,USA,TV-MA,7.5
712,20803237,Comedy|Drama,The Kids Are All Right ,110616,18645,Yaya DaCosta,1,biological father|college|motorcycle|sperm|sperm donor,291,USA,R,7.1
133,13008928,Horror|Sci-Fi|Thriller,They Live ,73501,837,George 'Buck' Flower,0,alien|brainwashing|construction worker|sunglasses|teleportation,333,USA,R,7.3
145,,Adventure|Drama|History|Thriller|War,The Great Escape ,165638,1785,Gordon Jackson,0,digging|escape|escape attempt|prisoner|tunnel,301,USA,Approved,8.3
428,10941801,Comedy|Documentary|Drama|Fantasy|Mystery|Sci-Fi,What the #$*! Do We (K)now!? ,12059,2649,Armin Shimerman,0,consciousness|photographer|radical|science|scientist,486,USA,Unrated,5.4
400,15152879,Drama|Horror|Thriller,The Last Exorcism Part II ,13506,46868,Ashley Bell,0,car fire|evil|hospital|hotel|prophecy,68,France,PG-13,4.0
127,25359200,Drama,Boyhood ,266020,673,Libby Villari,0,12 year time span|coming of age|domestic abuse|growing up|separated parents,836,USA,R,8.0
405,10515579,Comedy|Crime|Mystery,Scoop ,66840,20132,Geoff Bell,0,english garden|fake drowning|fake parent|musical instrument|poker the card game,248,UK,PG-13,6.7
567,180011740,Action|Adventure|Sci-Fi|Thriller,Planet of the Apes ,177729,2776,Erick Avari,0,astronaut|cage|planet|wilhelm scream|year 2029,1368,USA,PG-13,5.7
69,10097096,Comedy,The Wash ,5612,955,DJ Pooh,2,african american stereotype|car wash|rent|roommate|threatening telephone call,38,USA,R,4.6
585,9821335,Comedy,3 Strikes ,1415,3354,Faizon Love,1,adult diaper|diaper|digit in title|dream|sawed off shotgun,10,USA,R,4.0
407,8243880,Crime|Drama|Fantasy|Romance,The Cooler ,28714,3086,Shawn Hatosy,1,female pubic hair|girl in panties|leg spreading|public nudity|sex in bed,215,USA,R,7.0
268,,Drama|Romance|Western,The Misfits ,12981,1652,Thelma Ritter,2,cowboy|divorce|horse|sexy|wild horse,121,USA,Approved,7.4
710,7825820,Crime|Mystery|Thriller,The Night Listener ,13086,50831,Rory Culkin,0,boy|radio show|social worker|telephone|wisconsin,156,USA,R,5.9
27,7557877,Comedy|Crime,The Jerky Boys ,2129,1002,Peter Appel,0,critically bashed|mafia|police|telephone|unemployment,37,USA,R,4.6
255,14637490,Horror|Mystery|Thriller,My Soul to Take ,16411,2537,Zena Grey,2,evil|killer|murder|psychopath|serial killer,136,USA,R,4.8
143,7159147,Drama|Mystery|Thriller,The Orphanage ,120189,954,Fernando Cayo,0,dead children|ghost|missing child|orphan|orphanage,308,Spain,R,7.5
511,17314483,Comedy|Fantasy,A Haunted House 2 ,14621,4073,Gabriel Iglesias,2,bare breasts|parody|sexual innuendo|slip and fall|squirting orgasm,48,USA,R,4.7
968,6525762,Comedy|Drama|Romance,The Rules of Attraction ,44339,19928,Clifton Collins Jr.,2,bisexual|college|drug dealer|drugs|student,425,USA,R,6.7
148,,Drama|Thriller,Topaz ,12677,753,Philippe Noiret,0,1960s|agent|cuba|intelligence|spy,89,USA,M,6.3
242,4613815,Comedy|Crime,Let's Go to Prison ,19622,1566,Amy Hill,0,illinois|judge|male full back nudity|revenge|wine tasting,58,USA,R,6.0
960,4301331,Comedy|Fantasy,Four Rooms ,78241,7921,Lili Taylor,6,bellhop|coven|gangster|hotel|new year's eve,177,USA,R,6.7
296,4046737,Comedy|Drama|Romance,Secretary ,67949,2251,Lesley Ann Warren,1,bdsm|employer employee relationship|hospital|mental hospital|secretary,390,USA,R,7.1
0,3713002,Documentary,The Real Cancun ,3611,972,Benjamin Fletcher,1,cancun mexico|mexico|spring break|vacation|wisconsin,62,USA,R,2.7
237,3468572,Drama,Talk Radio ,10073,1966,Bill Johnson,0,listener|neo nazi|radio|radio station|radio talk show,78,USA,R,7.3
611,2892582,Comedy,Waiting for Guffman ,22697,3559,Larry Miller,0,amateur theater|dentist|missouri|small town|travel agent,202,USA,R,7.6
545,2800000,Comedy,Love Stinks ,4377,2662,Bridgette Wilson-Sampras,3,black comedy|marriage|marriage proposal|not taking no for an answer|obsessive woman,85,USA,R,5.8
90,2426851,Comedy|Crime|Romance|Thriller,You Kill Me ,16224,776,Jayne Eastwood,1,alcoholic|buffalo new york|claim in title|embalming|mortuary,76,USA,R,6.5
71,1325073,Comedy|Drama,Thumbsucker ,18762,1208,Nancy O'Dell,0,attention deficit disorder|debate|drugs|psychologist|school,91,USA,R,6.6
939,,Action|Crime|Horror|Thriller,Red State ,53342,4777,Stephen Root,0,atf agent|ball gag|cult leader|pastor|pretending to be dead,287,USA,R,6.2
161,864959,Adventure|Fantasy,Mirrormask ,20275,1215,Rob Brydon,0,circus|dark fantasy|dream|dream world|fantasy world,151,UK,PG,6.9
0,2601847,Documentary|Music,Samsara ,22457,48,Puti Sri Candra Dewi,0,hall of mirrors|mont saint michel france|palace of versailles|turkey the country|yellowstone national park,69,USA,PG-13,8.5
324,800000,Adventure|Fantasy,The Barbarians ,2308,1700,Richard Lynch,0,bare breasts|comic relief|dragon|gladiator|harem,35,USA,R,4.8
322,1429260,Drama|Romance,The Art of Getting By ,45293,2353,Rita Wilson,1,art teacher|artist|high school|homework|principal,71,USA,PG-13,6.6
842,,Drama|Thriller,Zipper ,4091,3408,Elena Satine,0,escort|f word|no opening credits|one word title|prosecutor,20,USA,R,5.7
444,562059,Drama|Thriller,Poolhall Junkies ,8535,3130,Ernie Reyes Jr.,4,beating|hustler|jail|money|revenge,113,USA,R,7.0
687,399793,Drama,The Loss of Sexual Innocence ,2877,4343,Julian Sands,0,1950s|italian|murder|tunisia|vomiting,70,USA,R,5.4
226,,Drama|Fantasy,Holy Motors ,29440,1298,Denis Lavant,0,boudoir|death|insanity|male full frontal nudity|penis,110,France,Not Rated,7.1
221,371897,Drama,Joe ,36494,13607,Ronnie Gene Blevins,2,alcoholic|cigarette smoking|father son relationship|teenage boy|woods,118,USA,R,6.9
159,302204,Comedy|Crime|Romance,Shooting Fish ,6705,975,Ralph Ineson,3,con artist|money|orphan|scam|secretary,53,UK,PG,6.6
195,354704,Crime|Drama|Horror|Thriller,Prison ,2705,11083,Hal Landon Jr.,0,electric chair|haunting|prison|prisoner|revenge,38,USA,R,5.9
209,265107,Comedy|Horror|Mystery,Psycho Beach Party ,4617,2282,Beth Broderick,1,cliche|exchange student|slasher|spoof|surfing,93,Australia,Unrated,6.3
428,185577,Comedy,The Big Tease ,2133,2805,Mary McCormack,1,competition|fake documentary|hairdresser|nudity|reference to liberace,31,UK,R,6.3
69,100412,Drama,Buen Día, Ramón ,2112,824,Arcelia Ramírez,0,,7,Mexico,PG-13,7.7
67,58214,Crime|Drama|Thriller,Trust ,34224,916,Zoe Levin,0,counselor|fbi|revenge motive|school|teenage girl,137,USA,R,7.0
70,75078,Comedy,An Everlasting Piece ,1398,1403,Pauline McLynn,4,alopecia|belfast northern ireland|ireland|irish republican army|scalper,26,USA,R,6.3
15,64359,Comedy|Romance,Among Giants ,811,643,Rob Jarvis,1,australian|female armpit hair|friend|sheffield|yorkshire,26,UK,R,5.9
748,317125,Drama|Romance,Adore ,23334,25269,Ben Mendelsohn,0,beach|friend|friendship|happiness|neighbor,87,Australia,R,6.2
476,,Comedy|Drama|Romance,The Velocity of Gary ,1555,5796,Olivia d'Abo,0,dying|hospital|parenthesis in title|punctuation in title|tears,40,USA,R,5.0
9,146402,Comedy|Drama,Mondays in the Sun ,9913,387,Aida Folch,1,australia|bar|shipyard|siamese twins|tuna,38,Spain,R,7.7
65,18469,Drama|Horror|Sci-Fi,Stake Land ,34263,1038,Nick Damici,1,canada|post apocalypse|road movie|vampire|vampire hunter,141,USA,R,6.5
218,,Comedy|Family|Romance,Sonny with a Chance             ,7673,915,Brandon Mychal Smith,1,cafeteria|female protagonist|rival|teenage girl|teenager,47,USA,TV-G,6.1
599,12836,Biography|Drama,The Last Time I Committed Suicide ,1686,20135,Gretchen Mol,1,1940s|female bare foot|picket fence|tire|vomiting,28,USA,R,5.8
9,20262,Drama,Futuro Beach ,1738,629,Jesuíta Barbosa,2,gay|male frontal nudity|male nudity|male rear nudity|nudity,10,Brazil,Unrated,6.1
2000,,Comedy|Drama,Another Happy Day ,3297,10984,Demi Moore,4,countryside|marriage|maryland|usa|wedding,42,USA,R,6.0
641,,Action|Adventure|Crime|Thriller,A Lonely Place to Die ,22220,2631,Sean Harris,1,kidnapper|mountaineering|scotland|scottish highlands|sniper,97,UK,R,6.3
150,,Comedy|Fantasy,Nothing ,5137,1298,Marie-Josée Croze,0,imagination|one word title|part animation|surrealism|virtual reality,50,Canada,R,6.3
22,,Adventure|Drama,The Geographer Drank His Globe Away ,2488,183,Eugenia Khirivskaya,0,rafting|russia|school|student|teacher,3,Russia,,7.5
69,,Drama|Family|History|Musical,1776 ,6303,1541,Howard Caine,0,continental congress|debate|declaration of independence|massachusetts|pennsylvania,129,USA,PG,7.6
5,4063,Drama|Mystery|Romance|Thriller,Inescapable ,2086,242,Fadia Nadda,3,,20,Canada,R,5.2
4,,Drama|War,Hell's Angels ,3753,457,James Hall,1,bomb|bombing mission|munitions|oxford|royal flying corps,53,USA,Passed,7.8
183,,Comedy|Drama|Romance,Purple Violets ,2727,1585,Peter Jacobson,5,directed by star|written and directed by cast member,19,USA,,6.6
359,,Horror,The Veil ,4146,2651,Kira McLean,2,documentary crew|mass suicide|survivor|tied feet|tied up while barefoot,29,USA,R,4.7
35,,Horror|Thriller,The Loved Ones ,27781,644,Victoria Thaine,1,escape|high school|high school prom|prom|prom king,104,Australia,R,6.7
104,,Horror,No Vacancy ,1561,609,Black Thomas,0,motel|psychopath|psychopathic killer|road trip|vomiting,21,USA,R,4.2
271,,Comedy|Romance,How to Fall in Love ,1929,1932,Brooke D'Orsay,2,,4,USA,TV-G,6.3
111,,Adventure|Biography|Drama|Romance,The Perfect Wave ,724,1150,Diana Vickers,1,boyfriend girlfriend relationship|friend|praying|surfing|wave,15,South Africa,PG,4.7
635,,Adventure|Drama|History,Ben-Hur ,67,13391,Moises Arias,2,chariot race|epic|false accusation|jerusalem|slave,1,USA,PG-13,6.0
94,,Biography|Drama|History,A Man for All Seasons ,23713,1238,Paul Scofield,0,catholic|chancellor|divorce|king henry viii|thomas more,167,UK,Approved,7.9
682,,Drama|Romance,Network ,103493,5987,William Holden,0,media|monologue|television|television network|television news,317,USA,R,8.1
248,198655278,Drama|History|Romance|War,Gone with the Wind ,215340,1862,Thomas Mitchell,1,battle of the sexes|gallantry|honesty|indifference|scandal,706,USA,G,8.2
196,143653,Biography|Drama,Desert Dancer ,1177,1281,Marama Corlett,0,dance|dancer|dancing|desert|iran,10,UK,PG-13,6.0
288,14873,Adventure|War|Western,Major Dundee ,5294,2888,Warren Oates,2,apache|apache indian|confederate|mexico|scout,67,USA,Approved,6.8
601,,Drama,Down for Life ,257,3229,Nicholas Gonzalez,3,latina|south central los angeles,6,USA,R,7.3
83,8000000,Biography|Comedy|Musical|Romance|Western,Annie Get Your Gun ,3167,731,Betty Hutton,0,girl|gun|love|sharpshooter|the end,90,USA,Passed,7.0
106,304137,Comedy|Crime|Drama,Four Lions ,55982,1269,Alex Macqueen,0,accidental shooting|bird|crow|exploding animal|muslim,148,UK,R,7.3
24,,Drama,House of Sand ,2650,222,Fernanda Torres,1,1910s|desert|dunes|goat|slave,35,Brazil,R,7.5
388,37606,Comedy|Crime|Drama,Defendor ,31836,2658,Charlotte Sullivan,0,gun running|organized crime|pimp|superhero|vigilante,90,Canada,R,6.8
48,2956000,Adventure|Comedy|Musical|Romance,The Pirate ,3258,282,Ellen Ross,0,hoop|horseback riding|love|pirate|singer,54,USA,Approved,7.1
64,19959,Drama,The Good Heart ,3579,298,Stephen Henderson,2,bar|bartender|death|heart attack|mentor protege relationship,14,Iceland,R,6.9
480,2706659,Comedy|Drama,The History Boys ,17770,5977,James Corden,0,gay|headmaster|oxford|school|teacher,172,UK,R,6.9
767,61094903,Action|Mystery|Thriller,Unknown ,210548,17151,Aidan Quinn,3,agriculture|airport|amnesia|nurse|scientist,332,UK,PG-13,6.9
395,,Comedy|Drama|War,M*A*S*H             ,36265,2195,Mike Farrell,5,colonel|doctor|korean war|major|nurse,147,USA,TV-PG,8.4
77,,Drama,Midnight Cowboy ,76616,465,John McGiver,2,gay|homosexual|homosexuality|hustler|male rear nudity,334,USA,X,7.9
121,45857453,Comedy|Drama|Music,The Full Monty ,82232,2323,Lesley Sharp,3,dole|male stripper|northern england|steel worker|unemployment,174,UK,R,7.2
318,83400000,Comedy,Airplane! ,160281,2726,Barbara Billingsley,0,air traffic controller|airplane|airport|pilot|spoof,427,USA,PG,7.8
6,,Action|Thriller,Chain of Command ,801,2886,Jon Osbeck,3,army|michael jai white|ohio|steve austin,14,USA,R,3.5
624,27900000,Comedy|Drama,Friday ,74626,3455,Tony Cox,1,bully|drug dealer|first part|neighbor|neighborhood,157,USA,R,7.3
556,27900000,Crime|Drama|Thriller,Menace II Society ,39508,3036,Khandi Alexander,2,1990s|escape|graduation|hustler|street,96,USA,R,7.5
496,,Drama|Music,Empire             ,27418,4337,Malik Yoba,2,music business|new york city|record executive|record label|singer,92,USA,TV-14,7.8
178,14000000,Comedy|Fantasy|Horror|Thriller,Creepshow 2 ,15956,3617,Dorothy Lamour,0,anthology|hit and run|hit by a car|living statue|melting woman,118,USA,R,6.0
242,,Comedy|Drama|Romance|Western,The Ballad of Cable Hogue ,6350,1970,L.Q. Jones,2,desert|partner|prostitute|stagecoach|water,62,USA,R,7.3
188,,Biography|Crime|Drama|History,In Cold Blood ,19026,970,Will Geer,1,homoeroticism|kansas|murder|police|robbery,128,USA,Approved,8.0
75,,Drama,The Nun's Story ,7071,646,Beatrice Straight,0,belgium|congo|convent|nun|nurse,83,USA,Not Rated,7.6
367,,Action|Crime|Drama|Mystery|Thriller,Harper ,5941,2402,Shelley Winters,1,kidnapping|los angeles california|neo noir|private detective|ransom,74,USA,Not Rated,7.0
118,,Thriller,Frenzy ,30982,771,Clive Swift,0,penknife|police|rape|serial killer|united kingdom,199,UK,R,7.5
159,25138292,Horror|Mystery,The Witch ,66483,1122,Ralph Ineson,0,black magic|goat|isolation|naked woman|witch,452,USA,R,6.8
78,10305534,Comedy,I Got the Hook Up ,1721,987,Anthony Johnson,2,friend|obscenity|scam|vacant lot|van,38,USA,R,3.9
111,9449219,Comedy|Drama|Romance,She's the One ,13949,995,Michael McGlone,2,claim in title|infidelity|irish american|love|sex,98,USA,R,6.1
248,6390032,Biography|Drama,Gods and Monsters ,24977,4238,Kevin J. O'Connor,2,friendship|gardener|gay interest|homosexual|memory,229,USA,R,7.5
50,20167424,Drama|Mystery|Thriller,The Secret in Their Eyes ,131831,1044,Guillermo Francella,0,investigation|justice|murder|suspect|tension,231,Argentina,R,8.2
83,,Horror,Day of the Dead ,49672,1592,Joseph Pilato,1,bunker|experiment|military|research|scientist,419,USA,Unrated,7.2
108,,Horror|Thriller,Train ,4790,836,Derek Magyar,1,blood splatter|heart ripped out|jock strap|train|vomiting,52,USA,R,4.8
199,5923044,Comedy|Fantasy|Horror|Thriller,Evil Dead II ,113451,1347,Kassie Wesley DePaiva,0,cabin|cabin in the woods|demon|evil dead|woods,537,USA,X,7.8
542,3293258,Action|Adventure|Comedy|Musical,Pootie Tang ,11399,2238,Robert Vaughn,0,based on sketch comedy|corporation|cult film|evil corporation|sex,131,USA,PG-13,5.2
689,,Horror,Sharknado ,34532,3075,Cassandra Scerbo,0,cult film|hurricane|school bus|shark|shark feature,236,USA,TV-14,3.3
10,886410,Drama|History,La otra conquista ,1024,222,Damián Delgado,0,1520s|aztec|indian|spanish colonization|spanish conquest,494,Mexico,R,6.8
4,252652,Comedy|Drama|Fantasy|Horror,Trollhunter ,54104,44,Glenn Erland Tosterud,0,bear|cameraman|hunter|secret government agency|troll,199,Norway,PG-13,7.0
681,220234,Comedy|Romance,Ira & Abby ,1950,3574,Kevin Sussman,3,erectile dysfunction|mugger|mugging|subway robbery|therapy,24,USA,R,6.5
536,34350553,Action|Comedy|Sci-Fi,The Watch ,104072,2486,Rosemarie DeWitt,4,alien|escape|manager|neighborhood watch|ohio,207,USA,R,5.7
405,101228,Comedy|Drama,Winter Passing ,7228,20009,Dallas Roberts,4,love|michigan|musician|novelist|student,53,USA,R,6.4
660,96793,Action|Comedy|Romance,D.E.B.S. ,12188,6380,Scoot McNairy,3,1959 cadillac|diamonds|female villain|force field|voyeurism,135,USA,PG-13,5.3
131,123777,Action|Biography|Crime|Drama|Family|Fantasy,The Masked Saint ,342,1043,Lara Jean Chorostecki,0,,15,Canada,PG-13,4.7
31,,Crime|Drama|Mystery|Thriller,The Betrayed ,1634,668,Blaine Anderson,0,blood splatter|ski mask|stolen money|vomiting|warehouse,11,USA,,6.1
467,,Action|Comedy|Crime|Thriller,Taxman ,372,2406,Robert Townsend,6,bar|box office flop|dance|one word title|voice over narration,20,USA,R,5.5
119,,Drama|Thriller,The Secret             ,653,1393,Genevieve O'Reilly,3,adultery|baptist church|dentist|double murder|tv mini series,4,UK,,7.3
460,,Horror|Thriller,2:13 ,961,2307,Jere Burns,0,death|forensic|murder|profiler|serial killer,12,USA,,4.8
739,,Action|Animation|Crime|Sci-Fi|Thriller,Batman: The Dark Knight Returns, Part 2 ,30434,5526,Grey Griffin,0,batman|joker|mutant|tattoo on breast|the joker,55,USA,PG-13,8.4
0,29233,Documentary,Time to Choose ,75,24,Peter Agnefjall,0,,2,USA,,7.0
50,,Action|Adventure|Fantasy|Thriller,In the Name of the King: The Last Job ,1285,854,Ralitsa Paskaleva,1,castle|dragon|kidnapping|satire|sword and sorcery,10,Canada,R,3.3
597,,Action|Crime|Drama|Thriller,Wicked Blood ,1928,3854,Lew Temple,2,chess|drugs|love|meth|pawn,10,USA,Not Rated,5.4
322,,Drama|Thriller,Dawn Patrol ,455,2497,Rita Wilson,0,desert|held at gunpoint|marine|revenge|sex on table,13,,,4.8
37,,Crime|Mystery|Thriller,Lords of London ,610,1183,Glen Murphy,1,gang leader|italian woman|period piece|purgatory|suicide,18,UK,R,3.1
605,,Comedy,High Anxiety ,15115,2861,Dick Van Patten,0,belldon's hysteria|high anxiety|hitchcockian|murder|parody,102,USA,PG,6.7
34,77413017,Documentary,March of the Penguins ,45984,11218,Romane Bohringer,0,chick|emperor penguin|journey|ocean|penguin,331,France,G,7.6
969,5354039,Biography|Drama|Thriller,Margin Call ,92599,22834,Ashley Williams,8,capital management|financial crisis|financial disaster|investment fraud|management,225,USA,R,7.1
43,,Drama|Romance,August ,1262,320,Edward Conna,1,apartment|gay parent|job interview|male pubic hair|pubic hair,13,USA,Not Rated,6.1
539,2926565,Comedy|Drama,Choke ,28573,3608,Jonah Bobo,0,choking|friend|hospital|restaurant|scam,72,USA,R,6.5
535,13092000,Drama|Music,Whiplash ,399138,26495,Chris Mulkey,0,conservatory|drummer|emotional abuse|music school|obsession,731,USA,R,8.5
40,7563397,Crime|Drama,City of God ,533200,1211,Alexandre Rodrigues,0,coming of age|male frontal nudity|male nudity|photographer|slum,749,Brazil,R,8.7
78,104257,Comedy|Music,Human Traffic ,19194,1430,Shaun Parkes,2,friday|friend|hip hop|techno rave|weekend,160,UK,R,7.1
80,,Biography|Drama|Music,Day One ,2116,1011,Luis Antonio,7,character name in title|depression|drugs|one word title,13,USA,PG-13,6.6
303,17311,Crime|Drama|Mystery,The Dead Girl ,12304,11860,Piper Laurie,0,dead girl|girl|granddaughter|morgue|storage unit,73,USA,R,6.7
26,610968,Drama,The Hunt ,170155,216,Hana Shuan,1,deer|gun|gunshot|hunt|kindergarten teacher,249,Denmark,R,8.3
378,,Comedy|Family,A Christmas Story ,104908,2076,Scott Schwartz,0,bb gun|boy|bully|christmas|tongue stuck on a pole,458,USA,PG,8.1
377,8108247,Drama|Romance,Bella ,9607,2747,Eduardo Verástegui,0,inter cultural|latino|restaurant|soccer|train,174,USA,PG-13,7.4
129,,Action|Crime|Drama|Thriller,Class of 1984 ,6549,1105,Timothy Van Patten,4,back to school|city|high school|sadism|teacher,75,Canada,R,6.6
491,,Comedy,The Opposite Sex ,557,3717,Josh Hopkins,5,bare breasts,3,USA,,4.5
405,7680,Drama|Romance,Dreaming of Joseph Lees ,704,2020,Miriam Margolyes,0,love crime|love triangle|lust|sister sister relationship|unrequited love,18,USA,R,6.4
0,3766595,Drama,The Class ,29248,17,Angélica Sancio,7,high school|inner city|school|student|teacher,86,France,PG-13,7.5
449,,Drama|Horror,Rosemary's Baby ,140527,2997,Charles Grodin,0,devil worship|incubus|paranoia|raped by a demon|satanism,447,USA,R,8.0
332,,Drama|Western,The Man Who Shot Liberty Valance ,53741,2693,Vera Miles,1,friend|funeral|outlaw|pistol|stagecoach,214,USA,Approved,8.1
194,2277396,Drama|Romance,Adam ,29239,1936,Amy Irving,0,apartment|asperger's syndrome|children|teacher|writer,70,USA,PG-13,7.2
6,6517198,Crime|Drama,Maria Full of Grace ,30474,308,Yenny Paola Vega,0,colombia|colombian|drug mule|money|stomach,172,Colombia,R,7.5
157,5776314,Comedy|Drama|Romance,Beginners ,73349,2016,Mary Page Keller,4,actress|cancer|death|french|gay relationship,142,USA,R,7.2
898,,Action|Comedy|Horror|Thriller,Feast ,25542,170118,Henry Rollins,0,bar|bloody body of child|dead boy|monster|vomiting,252,USA,R,6.4
559,141600000,Comedy,Animal House ,90177,3468,Tim Matheson,6,academic probation|camera shot of feet|fraternity|school expulsion|smashing a guitar,257,USA,R,7.6
177,51100000,Action|Adventure|Thriller,Goldfinger ,139432,1198,Lois Maxwell,2,bikini|covered in melted gold|fort knox|gold|pilot,418,UK,Approved,7.8
463,,Horror|Sci-Fi|Thriller,Antiviral ,9356,1962,Caleb Landry Jones,0,celebrity|injection|near future|scalpel|stabbed in the mouth,47,Canada,Not Rated,5.7
248,,Drama|Family|Fantasy|Romance,It's a Wonderful Life ,275720,1844,Thomas Mitchell,0,angel|bank|guardian angel|second chance|small town life,706,USA,PG,8.6
557,16501785,Drama,Trainspotting ,469561,3559,Ewen Bremner,4,drug culture|drugs|filthy toilet|heroin addict|heroin withdrawal,514,UK,R,8.2
360,38168022,Comedy|Documentary,The Original Kings of Comedy ,4687,1964,Steve Harvey,0,backstage|comedian|concert film|emcee|stand up comedian,83,USA,R,6.6
189,84749884,Horror,Paranormal Activity 2 ,82133,1081,Micah Sloat,0,california|carlsbad california|house|nanny|security camera,359,USA,R,5.7
482,24788807,Comedy,Waking Ned Devine ,21245,1965,Fionnula Flanagan,0,dead body|death|lottery|small town|village,213,UK,PG,7.4
184,21244913,Crime|Documentary|Drama,Bowling for Columbine ,123090,1779,Bill Clinton,2,bank|columbine|columbine high school killings|firearm|school shooting,888,Germany,R,8.0
4,377420,Drama,Coming Home ,2789,900,Ni Yan,1,amnesia|cultural revolution|husband wife relationship|memory|political prisoner,20,China,PG-13,7.3
217,30000000,Fantasy|Horror,A Nightmare on Elm Street 2: Freddy's Revenge ,43485,1472,Marshall Bell,0,freddy krueger|gay|gay subtext|homoeroticism|jock strap,327,USA,R,5.4
249,20966644,Drama|Romance,A Room with a View ,29610,1665,Denholm Elliott,0,male nudity|male pubic hair|nude bathing|piano|pubic hair,94,UK,Unrated,7.4
535,64423650,Horror|Sci-Fi|Thriller,The Purge ,139329,3708,Chris Mulkey,0,class differences|killing spree|one night|suburb|violence,578,USA,R,5.7
412,48056940,Horror|Mystery,Sinister ,155153,2239,James Ransone,0,book|found footage|research|snuff film|writer,524,USA,R,6.8
12,19184015,Biography|Comedy|Documentary,Martin Lawrence Live: Runteldat ,1466,159,Dayna Devon,1,actor name in title|colon in title|four word title|live performance|satire,35,USA,R,5.4
110,,Drama|Romance,Cat on a Hot Tin Roof ,33741,649,Jack Carson,0,cancer|football|homosexuality|marriage|mississippi,141,USA,Approved,8.1
158,,Action|Adventure|Sci-Fi,Beneath the Planet of the Apes ,32378,1186,Victor Buono,0,ape|astronaut|mission|planet|rescue,150,USA,G,6.1
693,24629916,Comedy|Drama|Family|Sport,Air Bud ,12942,4277,Michael Jeter,0,basketball|boy|dog|dog movie|golden retriever,34,USA,PG,5.1
49,,Action|Adventure|Animation|Family|Fantasy|Sci-Fi,Pokémon 3: The Movie ,9066,373,Lisa Ortiz,0,ash|father|mother|pokemon|professor,55,Japan,G,5.6
155,19472057,Horror|Thriller,Jason Lives: Friday the 13th Part VI ,25332,1862,Vincent Guastaferro,0,actual animal killed|death|jason voorhees|slasher flick|teen horror,307,USA,R,5.9
87,27200000,Adventure|Drama|War,The Bridge on the River Kwai ,149444,1035,Jack Hawkins,2,allies|bridge|construction|jungle|sabotage,273,UK,PG,8.2
175,15369573,Adventure|Comedy|Sci-Fi,Spaced Invaders ,2580,1441,Tonya Lee Williams,1,alien|halloween|killer robot|outer space|wrestler costume,54,USA,PG,5.3
416,,Comedy|Thriller,Family Plot ,15293,2811,William Devane,1,actor|diamond|heir|kidnapping|ransom,111,USA,PG,6.8
180,,Comedy|Drama|Romance,The Apartment ,109335,1328,David White,2,apartment|elevator|elevator girl|love|mistress,241,USA,Approved,8.3
307,15935068,Fantasy|Horror|Thriller,Jason Goes to Hell: The Final Friday ,19331,2899,Erin Gray,0,brutality|evil|jason voorhees|paranormal phenomena|terror,317,USA,R,4.3
14,,Thriller,Torn Curtain ,18656,70,David Opatoshu,1,defection|east germany|germany|iron curtain|scientist,137,USA,Approved,6.7
220,11694528,Comedy|Documentary|Music,Dave Chappelle's Block Party ,7721,2165,Lauryn Hill,0,block party|marching band|neighborhood|new york city|tyrannosaurus rex,72,USA,R,7.2
