actor_3_facebook_likes,actor_2_name,actor_1_name,plot_keywords
767,Rebecca De Mornay,Madeline Carroll,apology|falling in love|multiple perspectives|narrated by a girl|younger version of character
11000,Heath Ledger,Jake Gyllenhaal,gay relationship|homosexuality|mountain|ranch|rodeo
429,Danny Woodburn,Noel Fisher,18 wheeler|mutant|ninja|sewer|turtle
201,Dan Hedaya,Donald Faison,female protagonist|high school|makeover|matchmaker|popularity
135,Celia Weston,Dennis Quaid,african american|catastrophe|family relationships|farewell scene|therapy
390,Gillian Jacobs,Adam Scott,acid trip|gameshow|hot tub|time lord|time machine
2,Olaf Lubaszenko,Krystyna Janda,meaning of life|moral challenge|morality|search for meaning|ten commandments
170,Stephen Marcus,Kate Winslet,asylum|lust|male pubic hair|penis|pubic hair
816,Gabourey Sidibe,Abbie Cornish,dognapping|gangster|misfiring gun|screenwriter|shih tzu
400,Tamara Tunie,Colm Feore,chrysler building manhattan new york city|delusion|manhattan new york city|new york city|title directed by female
2,Marian Dziedziel,Jacek Koman,
471,Bruno Ganz,Thomas Kretschmann,bunker|hitler|nazi|no exit|war ruins
93,Lola Dueñas,Belén Rueda,dignity|euthanasia|freedom|lawyer|sailor
21,Paul Brannigan,Scarlett Johansson,alien|desire|female nudity|male frontal nudity|scotland
227,J.T. Walsh,Robin Williams,disc jockey|friendship|radio|vietnam|vietnamese
385,Stephanie Danielson,Jason Mewes,mafia|mafia boss|mafiosi|mafioso|three word title
41,Sean Kingston,Usher Raymond,boyhood friend|manager|plasma tv|prodigy|star
1000,Mila Kunis,Natalie Portman,ballerina|ballet|fear|female protagonist|madness
1000,Abbie Cornish,Gary Oldman,law enforcement|police|robocop|robot|technology
3000,Al Pacino,Robert De Niro,1950s|corrupt politician|lake tahoe nevada|melancholy|revenge
237,Terry Kinney,Sean Patrick Thomas,dance|dancing|ghetto|hip hop|imperative in title
54,Rodney Eastman,Tuesday Knight,demon|dream|elm street|freddy krueger|nightmare
579,Brighton Sharbino,Jennifer Garner,child cancer|christian film|christianity|falling into a hole|inspiring
612,Mary Lynn Rajskub,Jennifer Garner,bare chested male|gay kiss|homoeroticism|lesbian kiss|transsexual
316,Patrick Wayne,Jack Palance,army|cattle|deputy|new mexico|rancher
360,Naomi Watts,Bill Murray,bullying|grumpy old man|school presentation|stroke|stroke recovery
460,Regina Hall,Joe Lo Truglio,bedroom|boyfriend girlfriend relationship|hug|interrupted sex|urban setting
835,Heath Ledger,Joseph Gordon-Levitt,dating|protective father|school|shrew|teen movie
301,Eddie Griffin,Zooey Deschanel,cheerleader|geek|high school|prison|reference to janet jackson
182,Lin Shaye,Jon Lovitz,cookie|detective|microfilm|parody|sergeant
2,Brett Cullen,Óscar Jaenada,beach|island|mexico|prey|trapped
829,Eric Stoltz,Logan Lerman,blackout|child pornography|memory|surprise ending|time travel
329,Mark Webber,Chris Elliott,meteorologist|snow|snowed in|snowplow|weather
912,Chris Brown,Mekhi Phifer,christmas|family home|musician|piano|secret
782,Dom DeLuise,Kathleen Turner,baby|boy|science|scientist|toddler
459,Elliott Gould,Bokeem Woodbine,hitman|kidnapping|kosher|vhs|video store
388,Eartha Kitt,Gregory Smith,binoculars|child spy|notebook|secret|spy
435,Beth Grant,Jenny Agutter,boy|doll|foster home|killer doll|serial killer
334,Kate del Castillo,Leslie Bibb,home invasion|police officer shot|police officer shot in the chest|psychopath|three word title
745,Alexa Davalos,Toby Jones,desperation|fog|giant insect|survival|survival horror
123,Sonoya Mizuno,Elina Alminas,artificial intelligence|robot|robot human relationship|turing test|video surveillance
213,Orson Bean,Willie Garson,body swap|magical realism|portal|puppeteer|surrealism
405,Vivica A. Fox,Mo'Nique,advice|battle of the sexes|lingerie|romantic rivalry|rule
140,Ella Wahlestedt,Teo Halm,alien|bar|construction worker|no opening credits|no title at beginning
525,Jay Hernandez,Kirsten Dunst,congressman|high school|latino|pacific palisades|school
78,Kazunari Ninomiya,Yuki Matsuzaki,blood splatter|general|island|japan|world war two
844,Virginia Madsen,J.K. Simmons,bank|fbi|fuel|rocket|space travel
744,Jada Pinkett Smith,LL Cool J,blind date|law clerk|love|manhattan new york city|world trade center manhattan new york city
491,Jacob Tremblay,Joan Allen,based on novel|escape|imprisonment|kidnapping|mother son relationship
294,Jack Warden,Don Rickles,cult film|gambling debt|job|off screen murder|revenge
650,Sam Waterston,Kathleen Turner,dentist|housewife|howie scream|murder|perfection
4000,Will Ferrell,Ryan Reynolds,political cover up|political satire|teenage girl|white house|witness
75,David Dencik,Michael Nyqvist,
730,Vanessa Williams,Rosario Dawson,black cop|die hard scenario|hostage negotiator|police|police brutality
812,Ellen Albertini Dow,Salma Hayek,angel dust the drug|disco|new york city|quaalude|reference to princess grace of monaco
690,Geoffrey Arend,Jake Gyllenhaal,cigarette smoking|hand on butt|niagara falls|plastic bubble|wedding
258,Mathieu Kassovitz,Mark Gatiss,bank|bank clerk|birthday|mail order bride|russian
499,Josie Loren,Justin Chon,21st birthday|college student|drunken man|pubic hair|standing up to father
280,Miranda Richardson,Steve Buscemi,baby|divorce|oscar wilde|pigalle|tourist
548,Kathryn Morris,Harry Lennix,boxing|colosseum|homeless man|reporter|writer
252,Sarita Choudhury,Tina Fey,adoption|female protagonist|princeton university|wedding|working women
8,Daniel Auteuil,Emir Kusturica,archipelago|guillotine|island|prison|redemption
73,Meghan Heffern,Liam Neeson,bare chested boy|doctor|escort|infidelity|prostitute
150,Ryan O'Neal,Chazz Palminteri,bathroom|bathtub|female protagonist|flashback|kitchen
1000,Jake Gyllenhaal,Natalie Portman,afghanistan|death of soldier|presumed dead|prisoner|war trauma
968,Vin Diesel,Peter Dinklage,court|drugs|judge|mafia|mobster
850,Ezra Miller,Logan Lerman,coming of age|depression|gay|high school|mental illness
147,Ian Gomez,Burt Young,exercise bicycle|face in food|police|police brutality|policeman
442,Isabella Rossellini,Toby Jones,blood|book|cold calculation|murder|writer
887,Sarah Polley,Milla Jovovich,gold|gold mine|miner|railroad|surveyor
794,Alison Lohman,Djimon Hounsou,evil|injury|possession|priest|vatican
304,Luke Treadaway,John Boyega,alien|alien invasion|apartment|creature|gang
116,Nikola Djuricko,Jelena Jovanova,bosnian war|church|emaciation|soldier|violence
383,Tara Platt,Michael Imperioli,911 operator|calling 911|die hard scenario|head held underwater|white villain
29,Dean Dawson,Liam Neeson,
234,Aden Young,Steve Irwin,cia|crocodile|satellite|snake|spider
113,Louis Herthum,Dameon Clarke,character name in title|con artist|fraud|gay|prison break
91,Everett McGill,Rae Dawn Chong,fire|prehistoric times|primitive|tribe|trio
543,Kevin Connolly,Denzel Washington,black american|extortion|navy|psychiatrist|sailor
355,Embeth Davidtz,Gabriel Millman,classroom|fund raising|headmaster|reunion|roman
975,Gary Oldman,Brad Pitt,aspiring actor|cocaine|drugs|pimp|suitcase full of money
1000,Matt Smith,Eva Green,clone|love|male nudity|medical ethics|virginity
99,Al Pacino,Kevin Spacey,office|pressure|real estate|robbery|sales
204,Ned Beatty,Liam Aiken,deputy|murder|revenge|sheriff|texas
697,Ruby Dee,Ed Begley Jr.,cat|cat people|leopard|love|slip the undergarment
472,Margo Harshman,Julian Morris,prank gone wrong|scantily clad female|shotgun|sorority house|stabbed in the neck
135,Mary Astor,David Niven,coronation|fictitious country|king|princess|swashbuckler
552,Kelli Garner,Ryan Gosling,in love with an inanimate object|internet|introvert|psychologist|sex doll
18,Sheila Hancock,Richard Johnson,boy|fence|jew|nazis|poison gas
322,Udo Kier,Catherine Deneuve,ends with quotation|execution|factory|women's prison|year 1964
241,Richard Roxburgh,Tom Wilkinson,australia|church|glass|inheritance|wager
599,Vincent Gallo,Isabella Rossellini,1930s|madness|murder|new york city|violence
506,David Costabile,Jenna Fischer,aging|hdtv|high definition television|love|marriage
844,Don Johnson,Robert De Niro,machete|mexican|mexico|priest|texas
168,Eric Schweig,Kevin Spacey,corruption|lobbyist|murder|washington d.c.|washington d.c. lobbyist
191,Gabriel Damon,Judith Barsi,brontosaurus|classical music|dinosaur|dinosaur feature|earthquake
489,Bin Won,Min-sik Choi,1950s|archeologist|korea|korean war|soldier
655,Cheech Marin,Clifton Collins Jr.,baseball movie|little league|little league baseball|mexico|three word title
259,Linda Blair,Ellen Burstyn,demonic possession|exorcism|exorcist|loss of innocence|priest
366,Robert Shaw,Roy Scheider,beach|blockbuster|fishing|great white shark|shark
1000,Shannon Elizabeth,Alyson Hannigan,1990s|first love|milf|prom|virginity
186,Megan Mullally,Mackenzie Foy,bear|dentist|friendship|mouse|prejudice
148,Randall 'Tex' Cobb,Victor Wong,boy|child|chosen one|demon|detective
807,Romany Malco,Chris Brown,advice|black romance|hip hop|reading a book|sex scene
436,Jason George,Sean Patrick Thomas,barber|barbershop|blaxploitation|loan shark|theft
664,Kirstie Alley,Leonard Nimoy,jamming communications|planet|space station|taunt|trap
567,Udo Kier,Sean Young,detective|dolphin|mascot|nudity|stupidity
793,Barry Corbin,Matthew Broderick,computer|game|high school|norad|teenager
733,Viggo Mortensen,Harrison Ford,amish|love|murder|police|train
11,Jason Cottle,Alex Veadov,mission|navy seal|terrorist|torture|valor
920,Alyson Stoner,Channing Tatum,dance|dancer|school|showcase|student
616,Demi Moore,Bruce Willis,beavis and butt head|fbi|score|television|television set
889,Sid Haig,Robert De Niro,arms dealer|atf|bail|money|multiple perspectives
816,Eric Winter,Danneel Ackles,bong|escape|ex girlfriend|guantanamo bay|texas
371,Alex Russell,Michael Kelly,found footage|high school|subjective camera|teen angst|troubled teen
122,Amy Irving,Miriam Margolyes,love|study|talmud|wedding|yeshiva
504,Michael Palin,Shelley Duvall,cult director|dwarf|robin hood|satire|treasure
135,Katherine Boecher,Britney Spears,audition|friendship|graduation|high school graduation|love
281,Kirby Bliss Blanton,Dax Flame,birthday party|high school|high school senior|millennial generation|party
78,Karl Malden,George C. Scott,allies|dead soldier|destiny|general|tank
933,Gary Cole,Robin Williams,insanity|photo lab|photo shop|photography|voyeur
1000,Jay Hernandez,Andrew Fiscella,apartment building|found footage|television|trapped|virus
451,Alessandro Nivola,Chloë Grace Moretz,cellular memory|eye|eye transplant|seeing dead people|violinist
826,Shannon Elizabeth,Vanessa Williams,cross country|cross country trip|highway travel|on the road|road movie
722,Fred Willard,Hector Elizondo,college|drugs|harvard|pot|smoke
84,Jerry Nelson,Steven Mackintosh,christmas|christmas eve|miser|muppet|scrooge
834,Tobias Menzies,Eva Green,casino|espionage|free running|james bond|terrorist
898,Roger Rees,Salma Hayek,art|bisexual|marriage|pain|revolutionary
8,Ashley Ashida Dixon,Lexie Contursi,female protagonist|reference to britney spears|singer|song|world tour
733,Sam Trammell,Shailene Woodley,cancer|falling in love|friendship|novel|teenager
599,Martin Landau,Matt Damon,breasts|cult film|loan shark|poker|reference to christy turlington
555,Romany Malco,Rosario Dawson,bare breasts|celebrity|in medias res|reference to planet of the apes|sex talk
79,Richard Dysart,Talia Shire,cabin|monster|monster movie|paper mill|pollution
282,Kathryn Erbe,Illeana Douglas,disappearance|hearing voices|hypnosis|post hypnotic suggestion|seeing a ghost
898,Kelvin Taylor,Peter Mensah,female frontal nudity|female full frontal nudity|gladiator|group sex|slave girl
322,Mare Winningham,Steve Coogan,catholic|convent|gay love|gay relationship|irish adoption board
805,Erika Christensen,Alicia Witt,anger|baseball|drinking|radio|secretary
801,Anne Meara,Laurence Olivier,1970s|jew|nazi|nazi hunter|paraguay
717,Joanna 'JoJo' Levesque,Tammin Sursok,beach|love|mermaid|storm|swimming
376,Cara Delevingne,Nat Wolff,based on novel|female neighbor|friendship|travel|trip
581,Marsha Thomason,Michael Imperioli,animal costume|break up|fatherhood|rapper|talking baby
622,Bruce Dern,Devin Ratray,aging|billings montana|lincoln nebraska|nebraska|pickup truck
580,Jada Pinkett Smith,CCH Pounder,blood|blood of christ|demon|key|loud sex
611,Amber Valletta,Noel Fisher,bully|moving|principal|revenge|school
390,Patton Oswalt,Charlize Theron,car damage|computer printer|female band|fingernail polish|narcissism
501,Edi Gathegi,Jason Statham,assassin|cult film|doctor|heart|poison
324,Gilbert Gottfried,Bernie Mac,breaking the fourth wall|doorman|friend|party|sex
604,Eddie Cibrian,Holly Hunter,brooklyn bridge|divorce|female protagonist|female star appears nude|lingerie slip
696,Laz Alonso,Common,basketball|basketball player|nba|physical therapist|therapist
471,Rosemarie DeWitt,Anne Hathaway,12 step program|friend|maid of honor|tears|wedding
85,Michael Lerner,Anjelica Huston,adultery|drifter|lunch wagon|murder|neo noir
1000,Colin Firth,Scarlett Johansson,17th century|girl|maid|painter|painting
18,Martin Semmelrogge,Jürgen Prochnow,duty|submarine|submarine movie|tension|u boat
877,Marc Blucas,Dennis Quaid,army|dictator|general|texan|texas
503,Barry Watson,Heather Matarazzo,college|cruise|drag|female armpit hair|sorority
171,Tom Hollander,Tom Hughes,boyfriend girlfriend relationship|lingerie slip|time travel|time travel romance|wedding
4,Andy Lau,Takeshi Kaneshiro,flying|flying dagger|government|police|secret
360,Curtiss Cook,Nate Parker,accidental death|dead woman|dead woman with eyes open|death of mistress|manager
265,Jonny Weston,Gary Weeks,found footage|teenager|time machine|time travel|video footage
192,Veronika Dash,Cedric the Entertainer,1950s|jazz|jazz music|sex|title directed by female
654,Dave Chappelle,Sarah Silverman,chauffeur|disorganized crime|dog|ransom|slapstick
968,Kurtwood Smith,Christopher Lambert,escape|future|population control|prison|prisoner
783,Catherine O'Hara,John Michael Higgins,actor|internet|make up|publicist|purim
99,Aleksa Palladino,Melanie Griffith,celebrity|journalist|lesbian kiss|strong female character|tv producer
316,Joseph Cross,Jill Clayburgh,alcoholic|fame|therapist|writer|writing
251,Kelly Clarkson,Anika Noni Rose,bar|florida|love|spring break|waitress
599,Debi Mazar,Michael Imperioli,actress|neighbor|phone sex|queens new york city|sex addiction
48,Nick Damici,Jennifer Jason Leigh,blow job|female rear nudity|female removes her clothes|oral sex|three of spades tattoo
103,Vinessa Shaw,Isabella Rossellini,jewish|love|married man|neighbor|photograph
794,Ray Winstone,Bob Hoskins,ashes|butcher|friend|friendship|memory
74,Kang-ho Song,Doona Bae,daughter|han river|monster|river|seoul
212,Treat Williams,Robert Duvall,escape|jumping from an airplane|money|parachute|ransom
611,Jeffrey Jones,Jeremy Davies,based on true story|cannibalism|captain|mexican american war|u.s. frontier
442,Megan Park,Robert Downey Jr.,drugs|high school|prescription drugs|private school|student
70,Sabrina Ferilli,Toni Servillo,genitalia|male frontal nudity|male nudity|old age|party
77,Michael Harding,Kieran Culkin,book|boy|catholic|comic book|friend
520,Alden Ehrenreich,Mia Wasikowska,death|hitchcockian|psychopath|sociopath|vomiting
576,Tony Chiu Wai Leung,Li Gong,number in title|train|woman slaps a man|woman slaps man|written by director
18,Erin Boyes,David Richmond-Peck,bachelor|best friend|divorce|poison|widow
393,Hope Davis,Eamonn Walker,africa|bed|boy|cheetah|south africa
289,Stephen Rea,Tony Curran,celtic mythology|cottage|fisherman|irish|selkie
403,Tatyana Ali,Omar Epps,gang|gangster|subjective camera|written and directed by cast member|yakuza
146,Isaiah Washington,Michael Jeter,boxing knockout|heist|implied sex|keys|prison
745,Anne Bancroft,Kyra Sedgwick,half sister|hospital|latex gloves|medicine|nun
350,Lynn Cohen,Eva Amurri Martino,best friend|nonlinear timeline|school shooting|self sacrifice|shooting
820,Mark Duplass,Dianne Wiest,dog|marriage|search|wedding|woods
289,Kate del Castillo,Zack Ward,friend|girl|mexico city|new jersey|sex
0,Péter Fancsikai,Marcell Nagy,bus|death|gay slur|hatred|jewish
865,Albert Finney,Bruce Willis,breakfast|manitoba|science fiction writer|suicide|writer
3,Ni Yan,Honglei Sun,betrayal|husband wife relationship|murder|noodles|salary
