director_name,actor_2_name,movie_title,actor_3_name,movie_imdb_link,num_user_for_reviews,country,budget,title_year,movie_facebook_likes
Edgar Wright,Dylan Moran,Shaun of the Dead ,Rafe Spall,http://www.imdb.com/title/tt0365748/?ref_=fn_tt_tt_1,859,UK,4000000,2004,19000
Mickey Liddell,Randy Wayne,The Haunting of Molly Hartley ,Haley Bennett,http://www.imdb.com/title/tt1045655/?ref_=fn_tt_tt_1,113,USA,5000000,2008,562
John Sayles,Clifton James,Lone Star ,Miriam Colon,http://www.imdb.com/title/tt0116905/?ref_=fn_tt_tt_1,173,USA,5000000,1996,0
Dwight H. Little,Kathleen Kinmont,Halloween 4: The Return of Michael Myers ,Ellie Cornell,http://www.imdb.com/title/tt0095271/?ref_=fn_tt_tt_1,374,USA,5000000,1988,0
Fred Walton,Deborah Foreman,April Fool's Day ,Clayton Rohner,http://www.imdb.com/title/tt0090655/?ref_=fn_tt_tt_1,125,USA,5000000,1986,0
Barry Levinson,Daniel Stern,Diner ,Ellen Barkin,http://www.imdb.com/title/tt0083833/?ref_=fn_tt_tt_1,87,USA,5000000,1982,0
Steve Carver,William Sanderson,Lone Wolf McQuade ,Robert Beltran,http://www.imdb.com/title/tt0085862/?ref_=fn_tt_tt_1,65,USA,5000000,1983,0
Gonzalo López-Gallego,Ryan Robbins,Apollo 18 ,Andrew Airlie,http://www.imdb.com/title/tt1772240/?ref_=fn_tt_tt_1,323,USA,5000000,2011,0
Christine Jeffs,Mary Lynn Rajskub,Sunshine Cleaning ,Paul Dooley,http://www.imdb.com/title/tt0862846/?ref_=fn_tt_tt_1,134,USA,8000000,2008,0
John Erick Dowdle,Claire Geare,No Escape ,Sahajak Boonthanakit,http://www.imdb.com/title/tt1781922/?ref_=fn_tt_tt_1,214,USA,5000000,2015,16000
Don Coscarelli,John Amos,The Beastmaster ,Rip Torn,http://www.imdb.com/title/tt0083630/?ref_=fn_tt_tt_1,87,USA,8000000,1982,0
King Vidor,George Sanders,Solomon and Sheba ,Finlay Currie,http://www.imdb.com/title/tt0053290/?ref_=fn_tt_tt_1,33,USA,5000000,1959,270
Michael Tiddes,Mike Epps,Fifty Shades of Black ,Russell Peters,http://www.imdb.com/title/tt4667094/?ref_=fn_tt_tt_1,53,USA,5000000,2016,11000
