director_name,num_critic_for_reviews,director_facebook_likes,actor_1_facebook_likes,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,plot_keywords,movie_imdb_link,num_user_for_reviews,language,content_rating,budget,imdb_score,movie_facebook_likes
James McTeigue,64,160,14000,Milla Jovovich,Survivor ,21833,17957,cigarette lighter|death|fire|on the run|terrorist,http://www.imdb.com/title/tt3247714/?ref_=fn_tt_tt_1,101,English,PG-13,20000000,5.6,0
Scott Walker,120,17,12000,Nicolas Cage,The Frozen Ground ,43879,16355,anchorage alaska|based on true story|pole dancer|serial killer|strip club,http://www.imdb.com/title/tt2005374/?ref_=fn_tt_tt_1,133,English,R,27220000,6.4,11000
John Curran,143,43,2000,Toby Jones,The Painted Veil ,77656,2608,china|cholera|epidemic|love|marriage,http://www.imdb.com/title/tt0446755/?ref_=fn_tt_tt_1,220,Mandarin,PG-13,19400000,7.5,0
Uli Edel,160,34,486,Moritz Bleibtreu,The Baader Meinhof Complex ,29602,1601,bonn germany|failed kidnapping|handcuffs|projectile|terrorist,http://www.imdb.com/title/tt0765432/?ref_=fn_tt_tt_1,110,German,R,20000000,7.4,0
Kevin Costner,92,0,933,Mary McDonnell,Dances with Wolves ,186485,2398,friendship|frontier|honor|outpost|soldier,http://www.imdb.com/title/tt0099348/?ref_=fn_tt_tt_1,382,English,PG-13,22000000,8.0,0
Jake Kasdan,286,52,3000,Justin Timberlake,Bad Teacher ,160418,5547,boob job|breast enlargement|breast surgery|cheating on a test|ejaculation,http://www.imdb.com/title/tt1284575/?ref_=fn_tt_tt_1,296,English,R,20000000,5.7,16000
Harold Becker,43,17,14000,Al Pacino,Sea of Love ,30213,15914,detective|love|single|suspect|title from song,http://www.imdb.com/title/tt0098273/?ref_=fn_tt_tt_1,112,English,R,19000000,6.8,0
Mark Rosman,69,15,1000,Dan Byrd,A Cinderella Story ,62861,3092,cinderella story|correspondence|evil step mother|female protagonist|teenage girl,http://www.imdb.com/title/tt0356470/?ref_=fn_tt_tt_1,232,English,PG,20000000,5.9,0
Wes Craven,242,0,611,David Arquette,Scream ,222018,1212,mask|mystery killer|slasher|teenage girl|telephone,http://www.imdb.com/title/tt0117571/?ref_=fn_tt_tt_1,869,English,R,15000000,7.2,11000
Steve Beck,149,17,1000,Shannon Elizabeth,Thir13en Ghosts ,65512,3023,collector|ghost|ghost hunter|glass house|machine,http://www.imdb.com/title/tt0245674/?ref_=fn_tt_tt_1,478,English,R,20000000,5.5,0
Stanley Kubrick,253,0,888,Scatman Crothers,The Shining ,610333,2560,breaking down a door|haunted hotel|identical twins|labyrinth|twin sisters,http://www.imdb.com/title/tt0081505/?ref_=fn_tt_tt_1,1320,English,R,19000000,8.4,37000
Robert Zemeckis,198,0,1000,Lea Thompson,Back to the Future ,732212,3230,clock tower|delorean|future|time travel|time travel comedy,http://www.imdb.com/title/tt0088763/?ref_=fn_tt_tt_1,809,English,PG,19000000,8.5,39000
William Malone,147,37,885,Jeffrey Combs,House on Haunted Hill ,45317,2872,billionaire|corpse|eccentric|haunted hospital|haunted house,http://www.imdb.com/title/tt0185371/?ref_=fn_tt_tt_1,536,English,R,19000000,5.6,0
Tyler Perry,36,0,607,Eric Mendenhall,I Can Do Bad All by Myself ,8346,1465,aunt|immigrant|looting|love|nightclub singer,http://www.imdb.com/title/tt1385912/?ref_=fn_tt_tt_1,59,English,PG-13,13000000,4.1,1000
Rob Hawk,6,97,731,Kari J. Kramer,Fight Valley ,60,2374,,http://www.imdb.com/title/tt4280822/?ref_=fn_tt_tt_1,6,English,,27000000,5.0,1000
Josh Gordon,181,8,544,Caroline Dhavernas,The Switch ,77987,1292,artificial insemination|best friend|new york city|sperm|sperm donor,http://www.imdb.com/title/tt0889573/?ref_=fn_tt_tt_1,120,English,PG-13,19000000,6.1,0
Shawn Levy,97,189,500,Taran Killam,Just Married ,57479,2020,fall|honeymoon|love|marriage|newlywed,http://www.imdb.com/title/tt0305711/?ref_=fn_tt_tt_1,205,English,PG-13,18000000,5.4,0
Lee Tamahori,167,93,31000,Mem Ferda,The Devil's Double ,53977,35561,betrayal|debauchery|lust|palace|saddam hussein,http://www.imdb.com/title/tt1270262/?ref_=fn_tt_tt_1,125,English,R,15000000,7.1,14000
,,,341,Nicole 'Snooki' Polizzi,Gone, Baby, Gone             ,29,1462,lifestyle,http://www.imdb.com/title/tt1697237/?ref_=fn_tt_tt_1,,English,TV-14,,6.6,0
Britt Allcroft,47,2,1000,Mara Wilson,Thomas and the Magic Railroad ,2855,2429,locomotive|magic|mountain|railroad|steam locomotive,http://www.imdb.com/title/tt0205461/?ref_=fn_tt_tt_1,119,English,G,19000000,3.6,663
Breck Eisner,308,42,991,Radha Mitchell,The Crazies ,93272,2609,deputy|iowa|rural setting|sheriff|survival,http://www.imdb.com/title/tt0455407/?ref_=fn_tt_tt_1,251,English,R,20000000,6.5,0
Hayao Miyazaki,246,6000,17,Bunta Sugawara,Spirited Away ,417971,44,anime|bathhouse|pig|spirit|work,http://www.imdb.com/title/tt0245429/?ref_=fn_tt_tt_1,902,Japanese,PG,19000000,8.6,28000
Alan Yuen,23,0,483,Andy Lau,Firestorm ,1904,635,die hard scenario|gunfight|hong kong police|police escort attacked|shootout,http://www.imdb.com/title/tt3341072/?ref_=fn_tt_tt_1,12,Mandarin,,,6.2,332
Roger Donaldson,29,79,14000,Liam Neeson,The Bounty ,17982,28094,lieutenant|lifeboat|mutiny|sailing ship|ship,http://www.imdb.com/title/tt0086993/?ref_=fn_tt_tt_1,95,English,PG,25000000,7.0,1000
Brian Percival,252,33,876,Emily Watson,The Book Thief ,98741,1985,basement|book|girl|library|track,http://www.imdb.com/title/tt0816442/?ref_=fn_tt_tt_1,236,English,PG-13,19000000,7.6,53000
Sean Anders,102,51,948,Katrina Bowden,Sex Drive ,72715,4324,amish|friend|friendship|high school|virgin,http://www.imdb.com/title/tt1135985/?ref_=fn_tt_tt_1,103,English,R,19000000,6.5,0
Anand Tucker,134,14,3000,Adam Scott,Leap Year ,71276,4094,ireland|irish|journey|tradition|travel,http://www.imdb.com/title/tt1216492/?ref_=fn_tt_tt_1,181,English,PG,19000000,6.4,13000
Anthony Mann,30,75,617,James Mason,The Fall of the Roman Empire ,6156,1131,2nd century|emperor|european history|loosely based on historical events|roman empire,http://www.imdb.com/title/tt0058085/?ref_=fn_tt_tt_1,91,English,Approved,19000000,6.7,560
Michael Dowse,136,31,2000,Topher Grace,Take Me Home Tonight ,43867,5519,friend|night|party|sex scene|sister,http://www.imdb.com/title/tt0810922/?ref_=fn_tt_tt_1,83,English,R,23000000,6.3,0
Daniel Barnz,102,33,1000,Holly Hunter,Won't Back Down ,5147,3260,children|inner city|parent|school|teacher,http://www.imdb.com/title/tt1870529/?ref_=fn_tt_tt_1,37,English,PG,,6.4,0
Emile Ardolino,10,22,2,Darci Kistler,The Nutcracker ,1153,2,christmas|lifting female in air|lifting male in air|lifting someone into the air|little girl,http://www.imdb.com/title/tt0107719/?ref_=fn_tt_tt_1,15,English,G,19000000,5.7,238
Robert Altman,31,500,12000,Steve Buscemi,Kansas City ,3536,14579,1930s|election|female frontal nudity|kansas city|politician,http://www.imdb.com/title/tt0116745/?ref_=fn_tt_tt_1,44,English,R,19000000,6.3,228
James Schamus,63,44,8000,Logan Lerman,Indignation ,550,8972,based on novel,http://www.imdb.com/title/tt4193394/?ref_=fn_tt_tt_1,3,Hebrew,R,,7.8,599
Andrew Douglas,220,15,87000,Jimmy Bennett,The Amityville Horror ,80903,120797,ghost|haunted house|murder|nightmare|priest,http://www.imdb.com/title/tt0384806/?ref_=fn_tt_tt_1,518,English,R,19000000,6.0,0
Spike Jonze,241,0,12000,Nicolas Cage,Adaptation. ,143251,25489,book|orchid|screenwriter|thief|twin,http://www.imdb.com/title/tt0268126/?ref_=fn_tt_tt_1,710,English,R,19000000,7.7,0
George A. Romero,252,0,654,Tony Nappo,Land of the Dead ,78883,1876,apocalypse|mercenary|skyscraper|urban setting|zombie apocalypse,http://www.imdb.com/title/tt0418819/?ref_=fn_tt_tt_1,662,English,R,15000000,6.2,0
Danny Pang,23,15,82,Louis Koo,Out of Inferno ,625,151,,http://www.imdb.com/title/tt2957680/?ref_=fn_tt_tt_1,4,Chinese,PG-13,,5.7,124
Terry Gilliam,156,0,40000,Johnny Depp,Fear and Loathing in Las Vegas ,213226,43105,american dream|convertible|drugs|journalist|lawyer,http://www.imdb.com/title/tt0120669/?ref_=fn_tt_tt_1,648,English,R,18500000,7.7,15000
Ricky Gervais,192,0,3000,Jennifer Garner,The Invention of Lying ,94292,7252,genetics|heaven|lie|screenwriter|truth,http://www.imdb.com/title/tt1058017/?ref_=fn_tt_tt_1,287,English,PG-13,18500000,6.4,13000
Nicholas Stoller,351,89,920,Craig Roberts,Neighbors ,216581,2771,broken leg|friendship|jewish|topless female nudity|urination,http://www.imdb.com/title/tt2004420/?ref_=fn_tt_tt_1,397,English,R,18000000,6.4,21000
Chuck Russell,57,55,789,Peter Greene,The Mask ,265818,2085,bank|bank clerk|gangster|loki|mask,http://www.imdb.com/title/tt0110475/?ref_=fn_tt_tt_1,213,English,PG-13,18000000,6.9,0
Penny Marshall,99,545,15000,Tom Hanks,Big ,153468,28018,friend|job|new york city|toy|wish,http://www.imdb.com/title/tt0094737/?ref_=fn_tt_tt_1,204,English,PG,18000000,7.3,0
Larry Charles,343,119,332,Luenell,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan ,297014,505,california|city|kazakhstan|travel|tv reporter,http://www.imdb.com/title/tt0443453/?ref_=fn_tt_tt_1,1198,English,R,18000000,7.3,0
Robert Luketic,163,126,2000,Linda Cardellini,Legally Blonde ,131801,4380,blonde|harvard|law|law school|sorority,http://www.imdb.com/title/tt0250494/?ref_=fn_tt_tt_1,548,English,PG-13,18000000,6.2,0
Leonard Nimoy,110,12000,12000,Leonard Nimoy,Star Trek III: The Search for Spock ,58743,14762,dying planet|planet|regaining one's memory|sacrifice|stabbed to death,http://www.imdb.com/title/tt0088170/?ref_=fn_tt_tt_1,192,English,PG,17000000,6.6,0
Scott Derrickson,233,301,1000,Tom Wilkinson,The Exorcism of Emily Rose ,96569,2759,death|demonic possession|exorcism|lawyer|priest,http://www.imdb.com/title/tt0404032/?ref_=fn_tt_tt_1,522,English,PG-13,20000000,6.7,0
Mike Mitchell,91,31,1000,Amy Poehler,Deuce Bigalow: Male Gigolo ,59380,2604,aquarium|fish|fish tank|gigolo|norwegian,http://www.imdb.com/title/tt0205000/?ref_=fn_tt_tt_1,202,English,R,17000000,5.7,0
Vic Armstrong,169,179,12000,Nicolas Cage,Left Behind ,24854,15044,bible quote|chaos|faith|riot|shrine,http://www.imdb.com/title/tt2467046/?ref_=fn_tt_tt_1,374,English,PG-13,16000000,3.1,31000
Thomas Bezucha,142,15,723,Craig T. Nelson,The Family Stone ,49077,1615,christmas|cruelty|ring|secret|tension,http://www.imdb.com/title/tt0356680/?ref_=fn_tt_tt_1,475,English,PG-13,17000000,6.3,0
Kevin Rodney Sullivan,50,8,748,Harry Lennix,Barbershop 2: Back in Business ,10104,3956,barbecue|barbershop|blaxploitation|marriage|politics,http://www.imdb.com/title/tt0337579/?ref_=fn_tt_tt_1,69,English,PG-13,18000000,5.7,265
Terry Zwigoff,195,72,1000,Bernie Mac,Bad Santa ,107815,3151,bartender|christmas|christmas eve|department store|drink,http://www.imdb.com/title/tt0307987/?ref_=fn_tt_tt_1,485,English,R,18000000,7.1,10000
Jay Roach,129,116,8000,Will Ferrell,Austin Powers: International Man of Mystery ,183425,10557,cartoon on tv|reference to frankenstein|reference to jimi hendrix|scene during end credits|surrealism,http://www.imdb.com/title/tt0118655/?ref_=fn_tt_tt_1,425,English,PG-13,17000000,7.0,0
Kirk Jones,156,52,567,Nia Vardalos,My Big Fat Greek Wedding 2 ,13562,2259,family restaurant|greek|remarriage|suburb|wedding,http://www.imdb.com/title/tt3760922/?ref_=fn_tt_tt_1,103,English,PG-13,18000000,6.1,19000
David Bowers,103,42,975,Zachary Gordon,Diary of a Wimpy Kid: Rodrick Rules ,18727,3567,brother|middle school|no opening credits|photograph|school,http://www.imdb.com/title/tt1650043/?ref_=fn_tt_tt_1,45,English,PG,21000000,6.6,0
John McTiernan,217,323,1000,Shane Black,Predator ,290949,4223,box office hit|commando|death of friend|jungle|severed arm,http://www.imdb.com/title/tt0093773/?ref_=fn_tt_tt_1,629,English,R,15000000,7.8,13000
Milos Forman,134,869,692,Jeffrey Jones,Amadeus ,270790,3076,1800s|classical composer|composer|first person narration|opera,http://www.imdb.com/title/tt0086879/?ref_=fn_tt_tt_1,549,English,R,18000000,8.3,16000
Nelson McCormick,146,29,2000,Ming-Na Wen,Prom Night ,27664,4867,friend|hotel|killer|murder|prom,http://www.imdb.com/title/tt0926129/?ref_=fn_tt_tt_1,260,English,PG-13,20000000,3.9,1000
Mark Waters,159,70,2000,Tina Fey,Mean Girls ,245989,5032,bully|clique|high school|high school girl|secret,http://www.imdb.com/title/tt0377092/?ref_=fn_tt_tt_1,554,English,PG-13,17000000,7.0,0
Audrey Wells,111,22,727,Raoul Bova,Under the Tuscan Sun ,35718,1310,author|book|vacation|villa|writer,http://www.imdb.com/title/tt0328589/?ref_=fn_tt_tt_1,317,English,PG-13,18000000,6.7,0
Robert Altman,187,500,1000,Kristin Scott Thomas,Gosford Park ,65201,3261,country house|murder|producer|servant|shooting party,http://www.imdb.com/title/tt0280707/?ref_=fn_tt_tt_1,651,English,R,19800000,7.3,0
,20,,828,Peter Gallagher,The O.C.             ,65785,2546,california|lawyer|love|orange county california|wealth,http://www.imdb.com/title/tt0362359/?ref_=fn_tt_tt_1,281,English,TV-PG,,7.5,0
Francis Ford Coppola,44,0,12000,Nicolas Cage,Peggy Sue Got Married ,27149,14672,alternate history|alternate timeline|divorce|high school|reunion,http://www.imdb.com/title/tt0091738/?ref_=fn_tt_tt_1,96,English,PG-13,18000000,6.3,0
Alejandro G. Iñárritu,588,0,15000,Emma Stone,Birdman or (The Unexpected Virtue of Ignorance) ,395087,21668,actor|artist|broadway play|replacement|stage,http://www.imdb.com/title/tt2562232/?ref_=fn_tt_tt_1,1101,English,R,18000000,7.8,114000
Woody Allen,415,11000,594,Sally Hawkins,Blue Jasmine ,150082,1353,congenital liar|mental breakdown|self deception|snob|talking to oneself,http://www.imdb.com/title/tt2334873/?ref_=fn_tt_tt_1,384,English,PG-13,18000000,7.3,36000
Paul Greengrass,279,521,97,Christian Clemenson,United 93 ,83374,313,flight|passenger|plane|september 11 2001|terrorist,http://www.imdb.com/title/tt0475276/?ref_=fn_tt_tt_1,828,English,R,15000000,7.6,0
Bille Woodruff,97,23,2000,Christian Monzon,Honey ,36666,4868,choreographer|dance|dancer|dancing|hip hop,http://www.imdb.com/title/tt0322589/?ref_=fn_tt_tt_1,144,English,PG-13,25000000,5.3,0
Edward Zwick,60,380,18000,Denzel Washington,Glory ,101889,32930,army|black soldier|military uniform|prejudice|u.s. civil war,http://www.imdb.com/title/tt0097441/?ref_=fn_tt_tt_1,365,English,R,18000000,7.9,0
Rick Friedberg,27,8,844,Hulk Hogan,Spy Hard ,29621,2653,1990s|dentist|hit with a door|martial arts|museum,http://www.imdb.com/title/tt0117723/?ref_=fn_tt_tt_1,76,English,PG-13,18000000,5.3,588
John Carpenter,212,0,2000,Jamie Lee Curtis,The Fog ,46492,4877,california|fog|leper|lighthouse|ship,http://www.imdb.com/title/tt0080749/?ref_=fn_tt_tt_1,335,English,R,1000000,6.8,7000
Sean McNamara,110,80,2000,Dennis Quaid,Soul Surfer ,35514,5024,christian|christian film|shark|surfer|surfing,http://www.imdb.com/title/tt1596346/?ref_=fn_tt_tt_1,114,English,PG,18000000,7.1,15000
Mike Nichols,45,0,643,Bob Newhart,Catch-22 ,17277,2032,catch 22|friend|insanity|kneed in the groin|military,http://www.imdb.com/title/tt0065528/?ref_=fn_tt_tt_1,124,English,R,18000000,7.2,0
Jody Hill,190,62,390,Collette Wolfe,Observe and Report ,52467,727,male pubic hair|mall|police detective|pubic hair|security guard,http://www.imdb.com/title/tt1197628/?ref_=fn_tt_tt_1,248,English,R,18000000,5.8,0
Richard Fleischer,77,130,691,Mako,Conan the Destroyer ,62009,2481,gods|princess|queen|rescue|wizard,http://www.imdb.com/title/tt0087078/?ref_=fn_tt_tt_1,109,English,PG,18000000,5.8,2000
Martin Scorsese,151,17000,22000,Robert De Niro,Raging Bull ,235133,23008,boxing|domestic violence|hot temper|jealousy|rage,http://www.imdb.com/title/tt0081398/?ref_=fn_tt_tt_1,494,English,R,18000000,8.3,0
Brandon Camp,111,7,2000,Judy Greer,Love Happens ,25344,4947,florist|motivational speaker|self help guru|seminar|widower,http://www.imdb.com/title/tt0899106/?ref_=fn_tt_tt_1,77,English,PG-13,18000000,5.6,0
Barry Levinson,64,272,155,Nicholas Rowe,Young Sherlock Holmes ,14870,605,cult|death|delusion|girl|sherlock holmes,http://www.imdb.com/title/tt0090357/?ref_=fn_tt_tt_1,86,English,PG-13,18000000,6.8,0
Kevin Tancharoen,134,64,808,Kelsey Grammer,Fame ,14062,5734,new york|performing arts|school|student|teacher,http://www.imdb.com/title/tt1016075/?ref_=fn_tt_tt_1,82,English,PG,18000000,5.0,0
Danny Boyle,450,0,11000,James Franco,127 Hours ,279179,11984,alone|aron ralston|based on autobiography|canyon|survival,http://www.imdb.com/title/tt1542344/?ref_=fn_tt_tt_1,440,English,R,18000000,7.6,63000
Woody Allen,128,11000,11000,Woody Allen,Small Time Crooks ,31169,23283,apartment building|crook|new york city|three word title|written and directed by cast member,http://www.imdb.com/title/tt0196216/?ref_=fn_tt_tt_1,192,English,PG,18000000,6.7,812
Nicholas Hytner,68,13,757,Amanda Schull,Center Stage ,15817,1201,ballet|dance|dancer|dancing|love,http://www.imdb.com/title/tt0210616/?ref_=fn_tt_tt_1,210,English,PG-13,18000000,6.7,0
Jessie Nelson,97,24,10000,Olivia Wilde,Love the Coopers ,9051,10691,christmas|family dinner|husband wife conflict|husband wife kiss|large family,http://www.imdb.com/title/tt2279339/?ref_=fn_tt_tt_1,68,English,PG-13,17000000,5.7,0
Bart Freundlich,54,38,17000,Kristen Stewart,Catch That Kid ,8023,18711,caper|computer genius|dog|heist|security chief,http://www.imdb.com/title/tt0337917/?ref_=fn_tt_tt_1,49,English,PG,18000000,5.2,591
Irwin Winkler,99,34,16000,Ian Somerhalder,Life as a House ,39105,21622,cancer|construction|house|house construction|neighbor,http://www.imdb.com/title/tt0264796/?ref_=fn_tt_tt_1,359,English,R,18000000,7.5,0
Danny Boyle,412,0,14000,Kate Winslet,Steve Jobs ,93548,28933,apple computer|box office flop|computer|dialogue driven|father daughter relationship,http://www.imdb.com/title/tt2080374/?ref_=fn_tt_tt_1,307,English,R,30000000,7.2,23000
Chris Columbus,107,0,946,Alan Ruck,I Love You, Beth Cooper ,28209,4072,cheerleader|party|popular girl|speech|valedictorian,http://www.imdb.com/title/tt1032815/?ref_=fn_tt_tt_1,80,English,PG-13,18000000,5.3,0
Miguel Arteta,192,44,12000,Steve Buscemi,Youth in Revolt ,64646,16004,alter ego|boarding school|love|masturbation|teen movie,http://www.imdb.com/title/tt0403702/?ref_=fn_tt_tt_1,105,English,R,18000000,6.5,0
William A. Fraker,25,28,372,Jason Robards,The Legend of the Lone Ranger ,1400,927,ambush|hero|masked hero|outlaw|texas ranger,http://www.imdb.com/title/tt0082648/?ref_=fn_tt_tt_1,41,English,PG,18000000,5.0,346
John Boorman,104,128,11000,Daniel Radcliffe,The Tailor of Panama ,23728,14995,canal|panama|president|spy|tailor,http://www.imdb.com/title/tt0236784/?ref_=fn_tt_tt_1,213,English,R,18000000,6.1,813
Brian De Palma,120,0,517,Nancy Allen,Blow Out ,27629,1067,conspiracy|political conspiracy|recording|sound|truth,http://www.imdb.com/title/tt0082085/?ref_=fn_tt_tt_1,149,English,R,18000000,7.4,2000
Courtney Solomon,146,31,210,Rebecca Budig,Getaway ,19586,676,die hard scenario|earth viewed from space|race against time|race car driver|title at the end,http://www.imdb.com/title/tt2167202/?ref_=fn_tt_tt_1,109,English,PG-13,18000000,4.4,4000
Ang Lee,124,0,805,Joan Allen,The Ice Storm ,46396,1466,ice|ice storm|storm|thanksgiving|virgin,http://www.imdb.com/title/tt0119349/?ref_=fn_tt_tt_1,287,English,R,18000000,7.5,0
Rob Reiner,107,0,712,Yaya DaCosta,And So It Goes ,8895,1673,four word title|grandparent grandchild relationship|reference to facebook|reference to the internet|singer,http://www.imdb.com/title/tt2465146/?ref_=fn_tt_tt_1,48,English,PG-13,18000000,5.7,3000
Jeff Kanew,11,6,723,Craig T. Nelson,Troop Beverly Hills ,7470,2368,beverly hills hotel|divorce|girl|troop|wilderness,http://www.imdb.com/title/tt0098519/?ref_=fn_tt_tt_1,35,English,PG,18000000,5.5,0
István Szabó,93,109,405,Miriam Margolyes,Being Julia ,10680,847,diva|marriage|open marriage|revenge|social climber,http://www.imdb.com/title/tt0340012/?ref_=fn_tt_tt_1,112,English,R,18000000,7.1,562
Adrian Lyne,38,213,567,David Margulies,9½ Weeks ,29591,711,blindfolded woman|control|male dominance|sex game|sex in public,http://www.imdb.com/title/tt0091635/?ref_=fn_tt_tt_1,118,English,R,17000000,5.9,0
Matthew Robbins,60,25,1000,Ian McDiarmid,Dragonslayer ,10832,1263,apprentice|dragon|king|kingdom|wizard,http://www.imdb.com/title/tt0082288/?ref_=fn_tt_tt_1,102,English,PG,18000000,6.7,0
Michael Hoffman,184,97,577,David Masterson,The Last Station ,15352,1341,countess|leo tolstoy|russian|wealth|writing,http://www.imdb.com/title/tt0824758/?ref_=fn_tt_tt_1,82,English,R,13000000,7.0,0
Tim Burton,148,13000,40000,Johnny Depp,Ed Wood ,142416,56585,1950s|director|friend|friendship|transvestism,http://www.imdb.com/title/tt0109707/?ref_=fn_tt_tt_1,420,English,R,18000000,7.9,0
Jason Reitman,217,655,24000,J.K. Simmons,Labor Day ,31898,39307,baseball|baseball practice|escaped convict|neighbor|tied to a chair,http://www.imdb.com/title/tt1967545/?ref_=fn_tt_tt_1,111,English,PG-13,18000000,6.9,0
Sergey Bodrov,160,44,627,Tadanobu Asano,Mongol: The Rise of Genghis Khan ,37635,653,epic|genghis khan|one word title|slave|starving,http://www.imdb.com/title/tt0416044/?ref_=fn_tt_tt_1,165,Mongolian,R,20000000,7.3,0
Guy Ritchie,209,0,27000,Tom Hardy,RocknRolla ,194489,46944,accountant|finger gun|homosexual|killed in an elevator|painting,http://www.imdb.com/title/tt1032755/?ref_=fn_tt_tt_1,192,English,R,18000000,7.3,12000
Hal Needham,40,379,456,Barry Bostwick,Megaforce ,2541,1356,dictator|electronic music score|one word title|secret headquarters|soldier,http://www.imdb.com/title/tt0084316/?ref_=fn_tt_tt_1,54,English,PG,20000000,3.5,0
Kenneth Branagh,85,0,597,Julie Christie,Hamlet ,30618,1645,classic literature|denmark|funeral|madness|prince,http://www.imdb.com/title/tt0116477/?ref_=fn_tt_tt_1,224,English,PG-13,18000000,7.8,0
Bruce Beresford,83,78,989,Bruce Greenwood,Mao's Last Dancer ,6091,1598,ballet|beijing|dancer|love|village,http://www.imdb.com/title/tt1071812/?ref_=fn_tt_tt_1,53,English,PG,,7.4,0
Jeff Nichols,263,337,4000,Kirsten Dunst,Midnight Special ,31359,5671,cult|father son relationship|gas station|on the run|supernatural ability,http://www.imdb.com/title/tt2649554/?ref_=fn_tt_tt_1,156,English,PG-13,18000000,6.7,0
Woody Allen,128,11000,11000,Woody Allen,Anything Else ,25165,14843,love at first sight|new york city|sex|teacher|writer,http://www.imdb.com/title/tt0313792/?ref_=fn_tt_tt_1,155,English,R,18000000,6.4,827
Jonathan Teplitzky,186,6,25000,Jeremy Irvine,The Railway Man ,27882,39463,japanese soldier|physical torture|pow camp|prisoner of war|reference to adolf hitler,http://www.imdb.com/title/tt2058107/?ref_=fn_tt_tt_1,119,English,R,18000000,7.1,18000
,14,,654,Poppy Montgomery,Unforgettable             ,12854,1906,hyperthymesia|new york city|police,http://www.imdb.com/title/tt1842530/?ref_=fn_tt_tt_1,44,,,,6.7,0
Michael Haneke,292,0,63,Ulrich Tukur,The White Ribbon ,52958,167,children|doctor|mysterious event|pastor|small village,http://www.imdb.com/title/tt1149362/?ref_=fn_tt_tt_1,193,German,R,12000000,7.8,0
Zack Ward,15,662,662,Zack Ward,Restoration ,436,1498,,http://www.imdb.com/title/tt4517738/?ref_=fn_tt_tt_1,6,English,,,4.0,378
Mike Marvin,70,28,1000,Clint Howard,The Wraith ,10082,2319,arizona|death|gang|police|sheriff,http://www.imdb.com/title/tt0092240/?ref_=fn_tt_tt_1,100,English,R,2700000,5.9,0
D.J. Caruso,79,154,1000,Adam Goldberg,The Salton Sea ,26730,4094,male in shower|murder|neighbor neighbor relationship|remote control car|sex scene,http://www.imdb.com/title/tt0235737/?ref_=fn_tt_tt_1,180,English,R,18000000,7.2,2000
Nimród Antal,103,190,364,James Hetfield,Metallica Through the Never ,13359,1083,headbanger|metallica|roadie|song in title|standing on the roof of a car,http://www.imdb.com/title/tt2172935/?ref_=fn_tt_tt_1,56,English,R,,7.2,19000
Gregor Jordan,97,34,663,Austin Nichols,The Informers ,14324,2215,breasts|female nudity|male pubic hair|pubic hair|sex scene,http://www.imdb.com/title/tt0865554/?ref_=fn_tt_tt_1,93,English,R,18000000,5.1,1000
,108,,897,Edgar Ramírez,Carlos             ,10111,1032,opec|pubic hair|revolutionary|terrorism|true crime,http://www.imdb.com/title/tt1321865/?ref_=fn_tt_tt_1,36,English,Not Rated,,7.7,0
Tran Anh Hung,59,157,84,Takuya Kimura,I Come with the Rain ,2541,198,gangster|hong kong|missing person|missing son|serial killer,http://www.imdb.com/title/tt1024744/?ref_=fn_tt_tt_1,20,English,Not Rated,18000000,5.5,342
Lance Hool,10,0,854,Tom Berenger,One Man's Hero ,899,2705,american|battalion|catholic|mexican|sergeant,http://www.imdb.com/title/tt0120775/?ref_=fn_tt_tt_1,42,English,R,11350000,6.2,271
George A. Romero,184,0,1000,Greg Nicotero,Day of the Dead ,49669,1592,bunker|experiment|military|research|scientist,http://www.imdb.com/title/tt0088993/?ref_=fn_tt_tt_1,419,English,Unrated,3500000,7.2,3000
Chuck Russell,23,55,1000,Sam Trammell,I Am Wrath ,4510,3212,conspiracy|female scientist|mugging|police detective|tattoo,http://www.imdb.com/title/tt3212232/?ref_=fn_tt_tt_1,50,English,R,18000000,5.2,0
Christian Volckman,112,2,805,Romola Garai,Renaissance ,14325,1185,future|kidnapping|missing file|paris france|year 2054,http://www.imdb.com/title/tt0386741/?ref_=fn_tt_tt_1,90,English,R,14000000,6.7,0
Jon Cassar,45,78,2000,Demi Moore,Forsaken ,4693,4142,,http://www.imdb.com/title/tt2271563/?ref_=fn_tt_tt_1,49,English,R,11000000,6.3,0
Richard Fleischer,59,130,444,Ernie Reyes Jr.,Red Sonja ,30215,1243,cult film|psychotronic|sword and sorcery|talisman|warrior,http://www.imdb.com/title/tt0089893/?ref_=fn_tt_tt_1,95,English,PG-13,17900000,5.0,0
Rodrigo Cortés,195,89,22000,Robert De Niro,Red Lights ,48162,25804,fraud|physicist|psychic|skeptic|tailing,http://www.imdb.com/title/tt1748179/?ref_=fn_tt_tt_1,140,English,R,14000000,6.2,10000
Greg Mottola,256,99,15000,Emma Stone,Superbad ,422606,17584,black comedy|bromance|party|school|teen comedy,http://www.imdb.com/title/tt0829482/?ref_=fn_tt_tt_1,555,English,R,20000000,7.6,0
Tyler Perry,44,0,923,Vanessa Ferlito,Madea Goes to Jail ,9544,3699,adaptation directed by original author|cross dressing|madea series|remake|sequel,http://www.imdb.com/title/tt1142800/?ref_=fn_tt_tt_1,45,English,PG-13,,4.1,804
